,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
18139,766,264.0,,,,,308.0,,883.0,83.3,,,291.0,-502.0,,,,,-458.0,,117.0,-682.7,,,-475.0,,,,,True,,True,False,,,True
18141,13237,6712.0,,,,,5080.0,,7711.2,2885.0,3534.6,,6321.0,-6525.0,,,,,-8157.0,,-5525.8,-10352.0,-9702.4,,-6916.0,,,,,False,,True,False,False,,False
18143,1197,272.0,,,,,430.0,,345.4,120.0,,,128.0,-925.0,,,,,-767.0,,-851.6,-1077.0,,,-1069.0,,,,,True,,True,False,,,False
18145,2126,856.0,,,,,823.0,,769.0,314.5,,,705.0,-1270.0,,,,,-1303.0,,-1357.0,-1811.5,,,-1421.0,,,,,False,,False,False,,,False
18147,840,360.0,,,,,196.0,,431.9,122.6,,,130.0,-480.0,,,,,-644.0,,-408.1,-717.4,,,-710.0,,,,,False,,True,False,,,False
18149,975,480.0,,,,,532.0,,908.6,89.0,,,334.0,-495.0,,,,,-443.0,,-66.4,-886.0,,,-641.0,,,,,True,,True,False,,,False
18151,1626,576.0,,,,,657.0,,1096.9,217.9,,,421.0,-1050.0,,,,,-969.0,,-529.1,-1408.1,,,-1205.0,,,,,True,,True,False,,,False
18153,1037,384.0,,,,,406.0,,622.4,6.1,,,422.0,-653.0,,,,,-631.0,,-414.6,-1030.9,,,-615.0,,,,,True,,True,False,,,True
18155,329,104.0,,,,,156.0,,285.9,,,,315.0,-225.0,,,,,-173.0,,-43.1,,,,-14.0,,,,,True,,True,,,,True
18157,9556,3264.0,,,,,2610.0,,2609.1,1940.8,4222.4,,5032.0,-6292.0,,,,,-6946.0,,-6946.9,-7615.2,-5333.6,,-4524.0,,,,,False,,False,False,True,,True
18159,656,152.0,,,,,253.0,,305.0,0.0,,,211.0,-504.0,,,,,-403.0,,-351.0,-656.0,,,-445.0,,,,,True,,True,False,,,True
18161,308,120.0,,,,,83.0,,619.8,34.4,,,252.0,-188.0,,,,,-225.0,,311.8,-273.6,,,-56.0,,,,,False,,False,False,,,True
18163,7531,5184.0,,,,,2444.0,,4180.1,2938.0,2228.4,,2823.0,-2347.0,,,,,-5087.0,,-3350.9,-4593.0,-5302.6,,-4708.0,,,,,False,,False,False,False,,False
18165,793,512.0,,,,,309.0,,1803.6,94.8,,,248.0,-281.0,,,,,-484.0,,1010.6,-698.2,,,-545.0,,,,,False,,False,False,,,False
18167,5704,2120.0,,,,,1798.0,,2358.3,893.0,1196.6,,1401.0,-3584.0,,,,,-3906.0,,-3345.7,-4811.0,-4507.4,,-4303.0,,,,,False,,True,False,False,,False
18169,1990,528.0,,,,,572.0,,1572.4,162.9,,,402.0,-1462.0,,,,,-1418.0,,-417.6,-1827.1,,,-1588.0,,,,,True,,True,False,,,False
18171,353,136.0,,,,,137.0,,814.6,,,,228.0,-217.0,,,,,-216.0,,461.6,,,,-125.0,,,,,True,,False,,,,True
18173,2557,1400.0,,,,,865.0,,1054.4,659.4,858.9,,791.0,-1157.0,,,,,-1692.0,,-1502.6,-1897.6,-1698.1,,-1766.0,,,,,False,,False,False,False,,False
18175,859,336.0,,,,,455.0,,801.2,77.0,,,561.0,-523.0,,,,,-404.0,,-57.8,-782.0,,,-298.0,,,,,True,,True,False,,,True
18177,3361,1808.0,,,,,1248.0,,2981.8,527.7,807.4,,833.0,-1553.0,,,,,-2113.0,,-379.2,-2833.3,-2553.6,,-2528.0,,,,,False,,True,False,False,,False
18179,1340,352.0,,,,,599.0,,1596.2,170.4,,,152.0,-988.0,,,,,-741.0,,256.2,-1169.6,,,-1188.0,,,,,True,,True,False,,,False
18181,1413,368.0,,,,,481.0,,481.6,86.2,,,266.0,-1045.0,,,,,-932.0,,-931.4,-1326.8,,,-1147.0,,,,,True,,True,False,,,False
18183,1738,400.0,,,,,611.0,,1084.8,178.5,,,528.0,-1338.0,,,,,-1127.0,,-653.2,-1559.5,,,-1210.0,,,,,True,,True,False,,,True
19001,389,264.0,,,,,109.0,,1871.5,64.7,,,152.0,-125.0,,,,,-280.0,,1482.5,-324.3,,,-237.0,,,,,False,,False,False,,,False
19003,150,104.0,,,,,52.0,,407.9,,,,47.0,-46.0,,,,,-98.0,,257.9,,,,-103.0,,,,,False,,False,,,,False
19005,727,328.0,,,,,319.0,,490.2,205.5,,,258.0,-399.0,,,,,-408.0,,-236.8,-521.5,,,-469.0,,,,,False,,True,False,,,False
19007,691,216.0,,,,,228.0,,257.7,45.6,,,160.0,-475.0,,,,,-463.0,,-433.3,-645.4,,,-531.0,,,,,True,,True,False,,,False
19009,202,104.0,,,,,88.0,,293.3,0.0,,,73.0,-98.0,,,,,-114.0,,91.3,-202.0,,,-129.0,,,,,False,,True,False,,,False
19011,1355,624.0,,,,,383.0,,2282.9,320.5,,,190.0,-731.0,,,,,-972.0,,927.9,-1034.5,,,-1165.0,,,,,False,,False,False,,,False
19013,6699,2840.0,,,,,2742.0,,2180.6,73.5,1055.4,,1333.0,-3859.0,,,,,-3957.0,,-4518.4,-6625.5,-5643.6,,-5366.0,,,,,False,,False,False,False,,False
19015,1010,352.0,,,,,453.0,,859.2,244.5,,,238.0,-658.0,,,,,-557.0,,-150.8,-765.5,,,-772.0,,,,,True,,True,False,,,False
19017,1517,408.0,,,,,413.0,,745.2,0.1,,,224.0,-1109.0,,,,,-1104.0,,-771.8,-1516.9,,,-1293.0,,,,,True,,True,False,,,False
19019,927,440.0,,,,,389.0,,900.0,249.1,,,247.0,-487.0,,,,,-538.0,,-27.0,-677.9,,,-680.0,,,,,False,,True,False,,,False
19021,1290,424.0,,,,,581.0,,392.3,47.5,79.2,,276.0,-866.0,,,,,-709.0,,-897.7,-1242.5,-1210.8,,-1014.0,,,,,True,,False,False,False,,False
19023,821,208.0,,,,,203.0,,536.3,186.2,,,139.0,-613.0,,,,,-618.0,,-284.7,-634.8,,,-682.0,,,,,False,,True,False,,,False
19025,857,344.0,,,,,196.0,,394.0,137.3,,,146.0,-513.0,,,,,-661.0,,-463.0,-719.7,,,-711.0,,,,,False,,True,False,,,False
19027,1140,752.0,,,,,536.0,,1049.7,514.6,615.0,,81.0,-388.0,,,,,-604.0,,-90.3,-625.4,-525.0,,-1059.0,,,,,False,,True,False,False,,False
19029,605,704.0,,,,,219.0,,3538.1,217.2,,,291.0,99.0,,,,,-386.0,,2933.1,-387.8,,,-314.0,,,,,False,,False,False,,,False
19031,863,768.0,,,,,238.0,,3367.2,183.1,,,510.0,-95.0,,,,,-625.0,,2504.2,-679.9,,,-353.0,,,,,False,,False,False,,,False
19033,2792,1072.0,,,,,1093.0,,902.1,451.6,723.6,,0.0,-1720.0,,,,,-1699.0,,-1889.9,-2340.4,-2068.4,,-2792.0,,,,,True,,False,False,False,,False
19035,752,288.0,,,,,335.0,,367.7,0.0,,,117.0,-464.0,,,,,-417.0,,-384.3,-752.0,,,-635.0,,,,,True,,True,False,,,False
19037,646,224.0,,,,,233.0,,178.3,0.0,,,148.0,-422.0,,,,,-413.0,,-467.7,-646.0,,,-498.0,,,,,True,,False,False,,,False
19039,245,336.0,,,,,155.0,,299.2,108.4,,,158.0,91.0,,,,,-90.0,,54.2,-136.6,,,-87.0,,,,,True,,True,False,,,True
19041,960,376.0,,,,,633.0,,869.1,329.4,,,148.0,-584.0,,,,,-327.0,,-90.9,-630.6,,,-812.0,,,,,True,,True,False,,,False
19043,891,464.0,,,,,342.0,,443.4,205.8,,,384.0,-427.0,,,,,-549.0,,-447.6,-685.2,,,-507.0,,,,,False,,False,False,,,False
19045,2476,920.0,,,,,1056.0,,928.7,556.3,393.5,,1028.0,-1556.0,,,,,-1420.0,,-1547.3,-1919.7,-2082.5,,-1448.0,,,,,True,,True,False,False,,True
19047,655,400.0,,,,,448.0,,553.3,9.6,106.4,,0.0,-255.0,,,,,-207.0,,-101.7,-645.4,-548.6,,-655.0,,,,,True,,True,False,False,,False
19049,4057,1120.0,,,,,1077.0,,1178.3,406.3,755.4,,595.0,-2937.0,,,,,-2980.0,,-2878.7,-3650.7,-3301.6,,-3462.0,,,,,False,,True,False,False,,False
19051,435,128.0,,,,,103.0,,183.4,30.2,,,97.0,-307.0,,,,,-332.0,,-251.6,-404.8,,,-338.0,,,,,False,,True,False,,,False
19053,244,224.0,,,,,111.0,,832.1,0.0,,,17.0,-20.0,,,,,-133.0,,588.1,-244.0,,,-227.0,,,,,False,,False,False,,,False
19055,819,752.0,,,,,400.0,,1621.7,223.3,,,287.0,-67.0,,,,,-419.0,,802.7,-595.7,,,-532.0,,,,,False,,False,False,,,False
19057,2008,1312.0,,,,,1361.0,,3915.5,759.0,759.6,,608.0,-696.0,,,,,-647.0,,1907.5,-1249.0,-1248.4,,-1400.0,,,,,True,,False,False,False,,False
19059,913,384.0,,,,,519.0,,689.3,0.8,,,146.0,-529.0,,,,,-394.0,,-223.7,-912.2,,,-767.0,,,,,True,,True,False,,,False
19061,5124,4064.0,,,,,2615.0,,4300.1,2131.0,919.5,,950.0,-1060.0,,,,,-2509.0,,-823.9,-2993.0,-4204.5,,-4174.0,,,,,False,,True,False,False,,False
19063,514,272.0,,,,,244.0,,564.2,138.8,,,70.0,-242.0,,,,,-270.0,,50.2,-375.2,,,-444.0,,,,,False,,True,False,,,False
19065,873,296.0,,,,,473.0,,1100.9,131.8,,,145.0,-577.0,,,,,-400.0,,227.9,-741.2,,,-728.0,,,,,True,,True,False,,,False
19067,802,152.0,,,,,317.0,,416.4,0.0,,,67.0,-650.0,,,,,-485.0,,-385.6,-802.0,,,-735.0,,,,,True,,True,False,,,False
19069,466,96.0,,,,,167.0,,126.3,0.0,,,241.0,-370.0,,,,,-299.0,,-339.7,-466.0,,,-225.0,,,,,True,,True,False,,,True
19071,245,152.0,,,,,88.0,,301.1,0.0,,,0.0,-93.0,,,,,-157.0,,56.1,-245.0,,,-245.0,,,,,False,,True,False,,,False
19073,432,112.0,,,,,122.0,,437.3,48.0,,,107.0,-320.0,,,,,-310.0,,5.3,-384.0,,,-325.0,,,,,True,,True,False,,,False
19075,697,192.0,,,,,157.0,,288.5,0.0,,,157.0,-505.0,,,,,-540.0,,-408.5,-697.0,,,-540.0,,,,,False,,True,False,,,False
19077,497,192.0,,,,,137.0,,561.1,0.0,,,52.0,-305.0,,,,,-360.0,,64.1,-497.0,,,-445.0,,,,,False,,True,False,,,False
19079,926,296.0,,,,,272.0,,777.7,0.0,,,94.0,-630.0,,,,,-654.0,,-148.3,-926.0,,,-832.0,,,,,False,,True,False,,,False
19081,787,336.0,,,,,160.0,,884.6,159.8,,,171.0,-451.0,,,,,-627.0,,97.6,-627.2,,,-616.0,,,,,False,,True,False,,,False
19083,918,408.0,,,,,265.0,,1033.1,0.0,,,29.0,-510.0,,,,,-653.0,,115.1,-918.0,,,-889.0,,,,,False,,True,False,,,False
19085,680,760.0,,,,,240.0,,2012.2,0.0,,,313.0,80.0,,,,,-440.0,,1332.2,-680.0,,,-367.0,,,,,False,,False,False,,,False
19087,1349,640.0,,,,,320.0,,727.1,2.5,,,9.0,-709.0,,,,,-1029.0,,-621.9,-1346.5,,,-1340.0,,,,,False,,True,False,,,False
19089,396,208.0,,,,,182.0,,562.7,38.4,,,130.0,-188.0,,,,,-214.0,,166.7,-357.6,,,-266.0,,,,,False,,True,False,,,False
19091,584,336.0,,,,,202.0,,578.8,149.7,,,110.0,-248.0,,,,,-382.0,,-5.2,-434.3,,,-474.0,,,,,False,,True,False,,,False
19093,476,96.0,,,,,159.0,,208.8,0.0,,,44.0,-380.0,,,,,-317.0,,-267.2,-476.0,,,-432.0,,,,,True,,True,False,,,False
19095,704,200.0,,,,,192.0,,853.3,0.0,,,45.0,-504.0,,,,,-512.0,,149.3,-704.0,,,-659.0,,,,,False,,True,False,,,False
19097,1119,624.0,,,,,405.0,,1589.7,255.8,,,148.0,-495.0,,,,,-714.0,,470.7,-863.2,,,-971.0,,,,,False,,True,False,,,False
19099,1592,536.0,,,,,542.0,,638.8,0.7,579.2,,421.0,-1056.0,,,,,-1050.0,,-953.2,-1591.3,-1012.8,,-1171.0,,,,,True,,True,False,True,,False
19101,674,376.0,,,,,215.0,,893.1,98.7,,,551.0,-298.0,,,,,-459.0,,219.1,-575.3,,,-123.0,,,,,False,,True,False,,,True
19103,4791,1552.0,,,,,1841.0,,1081.7,0.5,1188.7,,0.0,-3239.0,,,,,-2950.0,,-3709.3,-4790.5,-3602.3,,-4791.0,,,,,True,,False,False,False,,False
19105,2089,304.0,,,,,470.0,,1193.7,254.0,,,229.0,-1785.0,,,,,-1619.0,,-895.3,-1835.0,,,-1860.0,,,,,True,,True,False,,,False
19107,593,192.0,,,,,153.0,,183.8,52.2,,,325.0,-401.0,,,,,-440.0,,-409.2,-540.8,,,-268.0,,,,,False,,False,False,,,True
19109,977,392.0,,,,,326.0,,924.4,309.8,,,155.0,-585.0,,,,,-651.0,,-52.6,-667.2,,,-822.0,,,,,False,,True,False,,,False
19111,1762,632.0,,,,,500.0,,1480.6,3.9,,,440.0,-1130.0,,,,,-1262.0,,-281.4,-1758.1,,,-1322.0,,,,,False,,True,False,,,False
19113,10557,3528.0,,,,,3660.0,,2495.9,1903.1,2122.5,,3081.0,-7029.0,,,,,-6897.0,,-8061.1,-8653.9,-8434.5,,-7476.0,,,,,True,,False,False,False,,False
19115,485,232.0,,,,,124.0,,248.1,74.3,,,96.0,-253.0,,,,,-361.0,,-236.9,-410.7,,,-389.0,,,,,False,,True,False,,,False
19117,271,160.0,,,,,205.0,,258.7,27.1,,,134.0,-111.0,,,,,-66.0,,-12.3,-243.9,,,-137.0,,,,,True,,True,False,,,False
19119,646,296.0,,,,,302.0,,457.4,0.0,,,0.0,-350.0,,,,,-344.0,,-188.6,-646.0,,,-646.0,,,,,True,,True,False,,,False
19121,527,160.0,,,,,208.0,,617.5,0.0,,,53.0,-367.0,,,,,-319.0,,90.5,-527.0,,,-474.0,,,,,True,,True,False,,,False
19123,903,632.0,,,,,347.0,,1747.3,252.6,,,318.0,-271.0,,,,,-556.0,,844.3,-650.4,,,-585.0,,,,,False,,False,False,,,False
19125,1511,560.0,,,,,559.0,,795.6,24.9,,,276.0,-951.0,,,,,-952.0,,-715.4,-1486.1,,,-1235.0,,,,,False,,True,False,,,False
19127,1878,648.0,,,,,817.0,,587.8,87.1,242.7,,289.0,-1230.0,,,,,-1061.0,,-1290.2,-1790.9,-1635.3,,-1589.0,,,,,True,,False,False,False,,False
19129,847,488.0,,,,,242.0,,1389.1,268.4,,,435.0,-359.0,,,,,-605.0,,542.1,-578.6,,,-412.0,,,,,False,,False,False,,,False
19131,690,336.0,,,,,157.0,,340.2,84.3,,,0.0,-354.0,,,,,-533.0,,-349.8,-605.7,,,-690.0,,,,,False,,True,False,,,False
19133,285,128.0,,,,,183.0,,375.4,80.0,,,36.0,-157.0,,,,,-102.0,,90.4,-205.0,,,-249.0,,,,,True,,True,False,,,False
19135,299,176.0,,,,,145.0,,479.4,0.0,,,69.0,-123.0,,,,,-154.0,,180.4,-299.0,,,-230.0,,,,,False,,False,False,,,False
19137,503,144.0,,,,,129.0,,443.1,74.4,,,73.0,-359.0,,,,,-374.0,,-59.9,-428.6,,,-430.0,,,,,False,,True,False,,,False
19139,1987,800.0,,,,,635.0,,1367.8,276.4,184.0,,687.0,-1187.0,,,,,-1352.0,,-619.2,-1710.6,-1803.0,,-1300.0,,,,,False,,True,False,False,,False
19141,895,600.0,,,,,515.0,,846.0,296.5,,,722.0,-295.0,,,,,-380.0,,-49.0,-598.5,,,-173.0,,,,,False,,True,False,,,True
19143,328,224.0,,,,,179.0,,397.3,54.6,,,45.0,-104.0,,,,,-149.0,,69.3,-273.4,,,-283.0,,,,,False,,True,False,,,False
19145,926,408.0,,,,,269.0,,1642.4,159.6,,,226.0,-518.0,,,,,-657.0,,716.4,-766.4,,,-700.0,,,,,False,,False,False,,,False
19147,470,216.0,,,,,214.0,,328.3,0.0,,,43.0,-254.0,,,,,-256.0,,-141.7,-470.0,,,-427.0,,,,,False,,True,False,,,False
19149,1603,952.0,,,,,790.0,,1187.4,619.6,319.3,,0.0,-651.0,,,,,-813.0,,-415.6,-983.4,-1283.7,,-1603.0,,,,,False,,True,False,False,,False
19151,448,152.0,,,,,96.0,,249.8,0.0,,,98.0,-296.0,,,,,-352.0,,-198.2,-448.0,,,-350.0,,,,,False,,True,False,,,False
19153,20526,7312.0,,,,,7327.0,,4066.5,92.7,5339.3,,4822.0,-13214.0,,,,,-13199.0,,-16459.5,-20433.3,-15186.7,,-15704.0,,,,,True,,False,False,False,,False
19155,4595,2200.0,,,,,1500.0,,3272.8,1252.0,850.4,,1055.0,-2395.0,,,,,-3095.0,,-1322.2,-3343.0,-3744.6,,-3540.0,,,,,False,,True,False,False,,False
19157,688,304.0,,,,,255.0,,777.0,0.0,,,199.0,-384.0,,,,,-433.0,,89.0,-688.0,,,-489.0,,,,,False,,True,False,,,False
19159,251,64.0,,,,,60.0,,99.6,,,,16.0,-187.0,,,,,-191.0,,-151.4,,,,-235.0,,,,,False,,True,,,,False
19161,611,240.0,,,,,229.0,,325.6,0.0,,,250.0,-371.0,,,,,-382.0,,-285.4,-611.0,,,-361.0,,,,,False,,True,False,,,True
19163,9021,3688.0,,,,,3053.0,,4218.5,1639.6,862.8,,0.0,-5333.0,,,,,-5968.0,,-4802.5,-7381.4,-8158.2,,-9021.0,,,,,False,,True,False,False,,False
19165,529,224.0,,,,,210.0,,437.4,182.5,,,115.0,-305.0,,,,,-319.0,,-91.6,-346.5,,,-414.0,,,,,False,,True,False,,,False
19167,1794,992.0,,,,,1517.0,,1047.1,80.5,320.0,,341.0,-802.0,,,,,-277.0,,-746.9,-1713.5,-1474.0,,-1453.0,,,,,True,,True,False,False,,False
19169,3729,1184.0,,,,,1268.0,,1025.5,0.0,945.0,,303.0,-2545.0,,,,,-2461.0,,-2703.5,-3729.0,-2784.0,,-3426.0,,,,,True,,False,False,False,,False
19171,754,376.0,,,,,214.0,,524.7,45.5,,,51.0,-378.0,,,,,-540.0,,-229.3,-708.5,,,-703.0,,,,,False,,True,False,,,False
19173,287,104.0,,,,,98.0,,256.2,0.0,,,46.0,-183.0,,,,,-189.0,,-30.8,-287.0,,,-241.0,,,,,False,,True,False,,,False
19175,744,168.0,,,,,231.0,,637.6,0.0,,,0.0,-576.0,,,,,-513.0,,-106.4,-744.0,,,-744.0,,,,,True,,True,False,,,False
19177,263,168.0,,,,,101.0,,338.7,0.0,,,134.0,-95.0,,,,,-162.0,,75.7,-263.0,,,-129.0,,,,,False,,True,False,,,False
19179,1460,328.0,,,,,781.0,,433.7,0.9,156.3,,202.0,-1132.0,,,,,-679.0,,-1026.3,-1459.1,-1303.7,,-1258.0,,,,,True,,True,False,False,,False
19181,2286,624.0,,,,,676.0,,993.0,665.1,305.7,,538.0,-1662.0,,,,,-1610.0,,-1293.0,-1620.9,-1980.3,,-1748.0,,,,,True,,True,True,False,,False
19183,1092,392.0,,,,,263.0,,647.2,239.3,,,180.0,-700.0,,,,,-829.0,,-444.8,-852.7,,,-912.0,,,,,False,,True,False,,,False
19185,235,48.0,,,,,106.0,,82.2,0.0,,,11.0,-187.0,,,,,-129.0,,-152.8,-235.0,,,-224.0,,,,,True,,True,False,,,False
19187,2395,1304.0,,,,,899.0,,1292.2,3.0,613.7,,226.0,-1091.0,,,,,-1496.0,,-1102.8,-2392.0,-1781.3,,-2169.0,,,,,False,,False,False,False,,False
19189,597,472.0,,,,,163.0,,1023.9,227.0,,,122.0,-125.0,,,,,-434.0,,426.9,-370.0,,,-475.0,,,,,False,,False,False,,,False
19191,827,328.0,,,,,380.0,,980.5,0.0,,,273.0,-499.0,,,,,-447.0,,153.5,-827.0,,,-554.0,,,,,True,,True,False,,,False
19193,4694,3104.0,,,,,3055.0,,2210.7,70.8,911.4,,0.0,-1590.0,,,,,-1639.0,,-2483.3,-4623.2,-3782.6,,-4694.0,,,,,False,,False,False,False,,False
19195,326,128.0,,,,,94.0,,193.8,72.0,,,156.0,-198.0,,,,,-232.0,,-132.2,-254.0,,,-170.0,,,,,False,,True,False,,,True
19197,744,304.0,,,,,227.0,,443.8,21.6,,,187.0,-440.0,,,,,-517.0,,-300.2,-722.4,,,-557.0,,,,,False,,True,False,,,False
20001,430,64.0,,,,,157.0,,544.7,4.4,,,20.0,-366.0,,,,,-273.0,,114.7,-425.6,,,-410.0,,,,,True,,True,False,,,False
20003,299,424.0,,,,,147.0,,3464.1,90.0,,,113.0,125.0,,,,,-152.0,,3165.1,-209.0,,,-186.0,,,,,False,,False,False,,,False
20005,632,416.0,,,,,240.0,,851.6,0.0,,,75.0,-216.0,,,,,-392.0,,219.6,-632.0,,,-557.0,,,,,False,,False,False,,,False
20007,208,80.0,,,,,60.0,,338.3,,,,56.0,-128.0,,,,,-148.0,,130.3,,,,-152.0,,,,,False,,False,,,,False
20009,1308,424.0,,,,,583.0,,1004.3,259.5,,,437.0,-884.0,,,,,-725.0,,-303.7,-1048.5,,,-871.0,,,,,True,,True,False,,,True
20011,493,312.0,,,,,278.0,,2002.7,0.0,,,58.0,-181.0,,,,,-215.0,,1509.7,-493.0,,,-435.0,,,,,False,,False,False,,,False
20013,743,176.0,,,,,154.0,,362.8,0.0,,,47.0,-567.0,,,,,-589.0,,-380.2,-743.0,,,-696.0,,,,,False,,True,False,,,False
20015,3254,656.0,,,,,672.0,,1165.0,380.4,,,334.0,-2598.0,,,,,-2582.0,,-2089.0,-2873.6,,,-2920.0,,,,,True,,True,False,,,False
20017,124,0.0,,,,,38.0,,63.5,,,,39.0,-124.0,,,,,-86.0,,-60.5,,,,-85.0,,,,,True,,True,,,,True
20019,102,0.0,,,,,51.0,,116.4,,,,0.0,-102.0,,,,,-51.0,,14.4,,,,-102.0,,,,,True,,True,,,,False
20021,870,312.0,,,,,543.0,,939.1,121.7,,,176.0,-558.0,,,,,-327.0,,69.1,-748.3,,,-694.0,,,,,True,,True,False,,,False
20023,139,136.0,,,,,70.0,,327.3,0.0,,,28.0,-3.0,,,,,-69.0,,188.3,-139.0,,,-111.0,,,,,False,,False,False,,,False
20025,113,32.0,,,,,50.0,,96.1,,,,15.0,-81.0,,,,,-63.0,,-16.9,,,,-98.0,,,,,True,,True,,,,False
20027,476,160.0,,,,,141.0,,941.2,,,,248.0,-316.0,,,,,-335.0,,465.2,,,,-228.0,,,,,False,,False,,,,True
20029,683,152.0,,,,,182.0,,258.5,125.9,,,107.0,-531.0,,,,,-501.0,,-424.5,-557.1,,,-576.0,,,,,True,,True,False,,,False
20031,295,144.0,,,,,107.0,,250.5,51.9,,,186.0,-151.0,,,,,-188.0,,-44.5,-243.1,,,-109.0,,,,,False,,True,False,,,True
20033,114,8.0,,,,,35.0,,46.3,,,,1.0,-106.0,,,,,-79.0,,-67.7,,,,-113.0,,,,,True,,True,,,,False
20035,1686,256.0,,,,,521.0,,1032.9,251.5,,,257.0,-1430.0,,,,,-1165.0,,-653.1,-1434.5,,,-1429.0,,,,,True,,True,False,,,True
20037,1627,1264.0,,,,,689.0,,2109.2,402.7,846.6,,391.0,-363.0,,,,,-938.0,,482.2,-1224.3,-780.4,,-1236.0,,,,,False,,False,False,False,,False
20039,142,248.0,,,,,65.0,,1193.1,,,,59.0,106.0,,,,,-77.0,,1051.1,,,,-83.0,,,,,True,,False,,,,True
20041,748,216.0,,,,,244.0,,477.8,46.2,,,247.0,-532.0,,,,,-504.0,,-270.2,-701.8,,,-501.0,,,,,True,,True,False,,,True
20043,431,384.0,,,,,96.0,,1233.0,55.7,,,168.0,-47.0,,,,,-335.0,,802.0,-375.3,,,-263.0,,,,,False,,False,False,,,False
20045,3060,856.0,,,,,1037.0,,1045.3,0.0,610.4,,296.0,-2204.0,,,,,-2023.0,,-2014.7,-3060.0,-2449.6,,-2764.0,,,,,True,,True,False,False,,False
20047,160,56.0,,,,,52.0,,59.7,,,,33.0,-104.0,,,,,-108.0,,-100.3,,,,-127.0,,,,,False,,True,,,,False
20049,72,0.0,,,,,40.0,,78.6,,,,0.0,-72.0,,,,,-32.0,,6.6,,,,-72.0,,,,,True,,True,,,,False
20051,1714,600.0,,,,,774.0,,958.9,0.0,573.6,,511.0,-1114.0,,,,,-940.0,,-755.1,-1714.0,-1140.4,,-1203.0,,,,,True,,True,False,False,,False
20053,774,536.0,,,,,120.0,,1429.4,0.0,,,96.0,-238.0,,,,,-654.0,,655.4,-774.0,,,-678.0,,,,,False,,False,False,,,False
20055,2412,2664.0,,,,,1290.0,,2165.3,1044.1,783.4,,0.0,252.0,,,,,-1122.0,,-246.7,-1367.9,-1628.6,,-2412.0,,,,,False,,True,False,False,,False
20057,1646,680.0,,,,,1361.0,,719.8,97.6,133.6,,0.0,-966.0,,,,,-285.0,,-926.2,-1548.4,-1512.4,,-1646.0,,,,,True,,True,False,False,,False
20059,964,304.0,,,,,323.0,,737.4,247.3,,,208.0,-660.0,,,,,-641.0,,-226.6,-716.7,,,-756.0,,,,,True,,True,False,,,False
20061,986,224.0,,,,,509.0,,561.9,0.0,,,152.0,-762.0,,,,,-477.0,,-424.1,-986.0,,,-834.0,,,,,True,,True,False,,,False
20063,163,112.0,,,,,71.0,,229.3,0.0,,,0.0,-51.0,,,,,-92.0,,66.3,-163.0,,,-163.0,,,,,False,,False,False,,,False
20065,140,0.0,,,,,43.0,,49.0,,,,0.0,-140.0,,,,,-97.0,,-91.0,,,,-140.0,,,,,True,,True,,,,False
20067,468,256.0,,,,,210.0,,433.1,0.0,,,5.0,-212.0,,,,,-258.0,,-34.9,-468.0,,,-463.0,,,,,False,,True,False,,,False
20069,311,128.0,,,,,108.0,,295.5,0.0,,,14.0,-183.0,,,,,-203.0,,-15.5,-311.0,,,-297.0,,,,,False,,True,False,,,False
20071,56,96.0,,,,,51.0,,84.3,,,,23.0,40.0,,,,,-5.0,,28.3,,,,-33.0,,,,,True,,True,,,,True
20073,315,112.0,,,,,92.0,,321.4,,,,104.0,-203.0,,,,,-223.0,,6.4,,,,-211.0,,,,,False,,True,,,,False
20075,113,72.0,,,,,71.0,,330.4,,,,53.0,-41.0,,,,,-42.0,,217.4,,,,-60.0,,,,,False,,False,,,,False
20077,242,128.0,,,,,89.0,,289.9,0.0,,,94.0,-114.0,,,,,-153.0,,47.9,-242.0,,,-148.0,,,,,False,,True,False,,,False
20079,1784,416.0,,,,,378.0,,1060.4,167.2,,,134.0,-1368.0,,,,,-1406.0,,-723.6,-1616.8,,,-1650.0,,,,,False,,True,False,,,False
20081,187,0.0,,,,,100.0,,69.4,0.0,,,0.0,-187.0,,,,,-87.0,,-117.6,-187.0,,,-187.0,,,,,True,,True,False,,,False
20083,124,24.0,,,,,44.0,,95.4,,,,44.0,-100.0,,,,,-80.0,,-28.6,,,,-80.0,,,,,True,,True,,,,True
