,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
New York,250098,137088.0,210279.3,138456.0,190239.0,146431.0,,180313.9,339330.0,338058.0,207261.0,,126561.0,193541.8,438093.0,228044.0,242777.8,328332.8,173668.5,191870.5,218369.0,207099.0,,128797.6,164417.4,,216615.3,245232.5,401697.4,163250.9,108107.0,146589.6,-113010.0,-39818.7,-111642.0,-59859.0,-103667.0,,-69784.1,89232.0,87960.0,-42837.0,,-123537.0,-56556.2,187995.0,-22054.0,-7320.2,78234.8,-76429.5,-58227.5,-31729.0,-42999.0,,-121300.4,-85680.6,,-33482.7,-4865.5,151599.4,-86847.1,-141991.0,-103508.4,True,True,True,True,,True,True,True,True,,False,True,False,True,True,True,True,True,True,True,,False,True,,True,True,False,True,False,True
North Carolina,140007,92572.0,167311.3,92190.2,105475.0,107466.0,,88148.9,90064.0,159053.9,97958.1,,103327.0,105310.1,88409.6,153613.0,95062.5,137881.8,110103.0,131844.7,127592.2,146099.0,,141256.1,86976.8,,80012.1,122642.3,87887.1,122498.4,119856.0,95886.6,-47435.0,27304.3,-47816.8,-34532.0,-32541.0,,-51858.1,-49943.0,19046.9,-42048.9,,-36680.0,-34696.9,-51597.4,13606.0,-44944.5,-2125.2,-29904.0,-8162.3,-12414.8,6092.0,,1249.1,-53030.2,,-59994.9,-17364.7,-52119.9,-17508.6,-20151.0,-44120.4,True,False,True,True,,False,False,True,True,,True,True,False,True,True,True,True,True,True,True,,True,False,,False,True,False,True,True,True
North Dakota,18244,34672.0,26868.2,33939.7,32945.0,20604.0,,32309.8,30313.0,45394.4,42145.7,,46423.0,51517.6,21075.8,46644.0,14240.5,33032.5,30312.5,34803.2,41821.0,46289.0,,32432.8,26759.7,,26667.5,75752.7,30705.2,14932.5,37709.0,33051.3,16428.0,8624.2,15695.7,14701.0,2360.0,,14065.8,12069.0,27150.4,23901.7,,28179.0,33273.6,2831.8,28400.0,-4003.5,14788.5,12068.5,16559.2,23577.0,28045.0,,14188.8,8515.7,,8423.5,57508.7,12461.2,-3311.5,19465.0,14807.3,True,True,True,True,,True,True,False,False,,False,False,True,False,True,True,True,False,False,False,,True,True,,True,False,True,True,False,True
Ohio,271143,212172.0,283240.7,214524.6,265168.0,205450.0,,203356.3,439325.0,399443.4,352026.7,,264545.0,298405.9,406179.3,295118.0,203123.2,464841.3,223238.0,240755.5,305493.8,319526.0,,261214.4,422425.2,,292035.9,388286.3,261682.0,166180.6,222731.0,305804.1,-58971.0,12097.7,-56618.4,-5975.0,-65693.0,,-67786.7,168182.0,128300.4,80883.7,,-6598.0,27262.9,135036.3,23975.0,-68019.8,193698.3,-47905.0,-30387.5,34350.8,48383.0,,-9928.6,151282.2,,20892.9,117143.3,-9461.0,-104962.4,-48412.0,34661.1,True,True,True,False,,False,False,False,False,,True,True,False,True,False,False,True,True,True,True,,True,False,,True,False,True,False,True,True
Oklahoma,84944,82876.0,177200.4,86155.5,98279.0,87467.0,,76597.9,98040.0,104312.0,109534.8,,92026.0,114728.4,138095.2,128713.0,44547.5,170583.5,92836.5,99530.7,122750.4,120439.0,,129833.3,37926.7,,80350.4,100272.0,88509.9,75419.6,99931.0,98181.7,-2068.0,92256.4,1211.5,13335.0,2523.0,,-8346.1,13096.0,19368.0,24590.8,,7082.0,29784.4,53151.2,43769.0,-40396.5,85639.5,7892.5,14586.7,37806.4,35495.0,,44889.3,-47017.3,,-4593.6,15328.0,3565.9,-9524.4,14987.0,13237.7,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Oregon,38146,30600.0,64029.2,30367.4,43828.0,35920.0,,29228.0,66133.0,49229.2,47099.4,,33238.0,47346.2,39385.8,52575.0,41086.8,71987.6,46323.5,48547.2,50095.9,49790.0,,56475.6,20178.5,,37791.4,45775.4,55512.4,55231.6,35253.0,35336.7,-7546.0,25883.2,-7778.6,5682.0,-2226.0,,-8918.0,27987.0,11083.2,8953.4,,-4908.0,9200.2,1239.8,14429.0,2940.8,33841.6,8177.5,10401.2,11949.9,11644.0,,18329.6,-17967.5,,-354.6,7629.4,17366.4,17085.6,-2893.0,-2809.3,False,False,True,True,,False,False,False,False,,True,False,True,False,True,False,False,False,False,False,,False,False,,True,False,False,False,True,True
Pennsylvania,245907,171064.0,341692.5,173588.1,232094.0,191248.0,,172155.5,316943.0,342074.6,271648.6,,201376.0,215596.8,522224.3,286915.0,211652.4,368850.5,331886.5,217866.4,261644.9,261549.0,,226429.6,155371.0,,149430.5,230887.8,432245.3,176066.9,289756.0,236695.0,-74843.0,95785.5,-72318.9,-13813.0,-54659.0,,-73751.5,71036.0,96167.6,25741.6,,-44531.0,-30310.2,276317.3,41008.0,-34254.6,122943.5,85979.5,-28040.6,15737.9,15642.0,,-19477.4,-90536.0,,-96476.5,-15019.2,186338.3,-69840.1,43849.0,-9212.0,False,True,True,True,,True,True,False,True,,True,True,False,True,True,False,False,True,True,True,,True,False,,False,True,False,True,True,True
Rhode Island,29811,25888.0,36429.4,25943.2,29958.0,27120.0,,25729.6,36432.0,255684.8,31799.8,,24985.0,36718.2,41989.9,40263.0,15795.3,46348.1,28569.0,28734.0,39081.6,30527.0,,21340.2,39689.0,,31109.0,39956.6,54274.0,9616.0,29349.0,32574.3,-3923.0,6618.4,-3867.8,147.0,-2691.0,,-4081.4,6621.0,225873.8,1988.8,,-4826.0,6907.2,12178.9,10452.0,-14015.7,16537.1,-1242.0,-1077.0,9270.6,716.0,,-8470.8,9878.0,,1298.0,10145.6,24463.0,-20195.0,-462.0,2763.3,False,True,True,True,,False,False,False,True,,False,False,False,False,False,False,True,True,False,True,,False,False,,True,False,False,False,True,True
South Carolina,65519,44016.0,96661.6,43965.6,52569.0,54573.0,,40509.6,76002.0,66480.6,48085.6,,52405.0,62042.9,50431.0,69408.0,31967.6,82062.3,52263.5,48173.6,59210.8,69155.0,,71695.9,25732.7,,38662.1,66289.3,40661.9,40938.4,62294.0,44004.2,-21503.0,31142.6,-21553.4,-12950.0,-10946.0,,-25009.4,10483.0,961.6,-17433.4,,-13114.0,-3476.1,-15088.0,3889.0,-33551.4,16543.3,-13255.5,-17345.4,-6308.2,3636.0,,6176.9,-39786.3,,-26856.9,770.3,-24857.1,-24580.6,-3225.0,-21514.8,False,False,True,True,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,,True,False,,False,True,False,False,True,False
South Dakota,22122,32128.0,38126.2,33672.9,32819.0,20539.0,,30558.9,29312.0,41818.6,40541.9,,42252.0,48603.2,27227.1,45234.0,12433.4,32726.6,20684.0,26566.4,35739.8,40237.0,,29634.3,27540.5,,16342.9,76278.6,39638.2,10146.2,39262.0,33785.4,10006.0,16004.2,11550.9,10697.0,-1583.0,,8436.9,7190.0,19696.6,18419.9,,20130.0,26481.2,5105.1,23112.0,-9688.6,10604.6,-1438.0,4444.4,13617.8,18115.0,,7512.3,5418.5,,-5779.1,54156.6,17516.2,-11975.8,17140.0,11663.4,False,False,False,True,,True,True,False,False,,False,False,True,False,True,False,True,True,False,False,,True,True,,True,False,False,False,False,False
Tennessee,167764,123068.0,226327.6,122220.7,126833.0,113085.0,,127288.1,161495.0,204856.2,153366.7,,117819.0,158184.6,210516.4,187219.0,79943.7,159176.9,125891.5,112922.9,167850.9,176592.0,,104914.1,90817.0,,126017.1,194676.9,105852.6,77201.9,124350.0,133172.9,-44696.0,58563.6,-45543.3,-40931.0,-54679.0,,-40475.9,-6269.0,37092.2,-14397.3,,-49945.0,-9579.4,42752.4,19455.0,-87820.3,-8587.1,-41872.5,-54841.1,86.9,8828.0,,-62849.9,-76947.0,,-41746.9,26912.9,-61911.4,-90562.1,-43414.0,-34591.1,False,False,True,False,,True,True,True,True,,False,True,True,True,False,True,True,False,True,True,,False,False,,True,True,False,False,True,True
Texas,392194,306292.0,388009.8,315011.6,357336.0,329871.0,,283922.1,244124.0,613615.2,399668.0,,351534.0,412849.1,649833.4,503292.0,294817.6,452203.3,427629.5,377031.2,360626.0,410352.0,,467473.4,265312.7,,304360.2,535893.0,260632.5,221264.5,333659.0,335848.5,-85902.0,-4184.2,-77182.4,-34858.0,-62323.0,,-108271.9,-148070.0,221421.2,7474.0,,-40660.0,20655.1,257639.4,111098.0,-97376.4,60009.3,35435.5,-15162.8,-31568.0,18158.0,,75279.4,-126881.3,,-87833.8,143699.0,-131561.5,-170929.5,-58535.0,-56345.5,True,True,True,True,,False,False,False,True,,True,True,False,False,False,True,True,True,True,True,,True,False,,False,False,False,False,True,True
Utah,74991,91352.0,111750.7,91672.4,109266.0,57344.0,,81773.6,123396.0,139343.7,99820.5,,133564.0,136953.3,94006.7,131279.0,61252.8,169625.2,108736.0,102626.0,128166.9,128436.0,,116734.5,72415.5,,118945.1,158774.9,129207.1,48817.9,98285.0,61332.5,16361.0,36759.7,16681.4,34275.0,-17647.0,,6782.6,48405.0,64352.7,24829.5,,58573.0,61962.3,19015.7,56288.0,-13738.2,94634.2,33745.0,27635.0,53175.9,53445.0,,41743.5,-2575.5,,43954.1,83783.9,54216.1,-26173.1,23294.0,-13658.5,False,False,False,False,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,,False,True,,False,False,False,False,False,True
Vermont,2797,2812.0,15566.9,2947.5,4069.0,5471.0,,0.0,33648.0,4002.5,3184.5,,3828.0,2415.6,25757.3,5693.0,2233.7,12738.5,6679.5,3690.5,5700.0,6664.0,,4418.6,3765.1,,2560.4,2897.2,12360.9,5168.7,5403.0,7598.6,15.0,12769.9,150.5,1272.0,2674.0,,-2797.0,30851.0,1205.5,387.5,,1031.0,-381.4,22960.3,2896.0,-563.3,9941.5,3882.5,893.5,2903.0,3867.0,,1621.6,968.1,,-236.6,100.2,9563.9,2371.7,2606.0,4801.6,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Virginia,87293,59520.0,146638.4,59198.1,72480.0,85527.0,,52862.4,43813.0,82028.4,67738.4,,57780.0,67007.5,85039.0,102464.0,66139.5,84945.4,72951.5,74508.1,86369.2,84974.0,,97704.6,15550.6,,75689.9,63151.6,69904.1,81378.6,75028.0,57016.7,-27773.0,59345.4,-28094.9,-14813.0,-1766.0,,-34430.6,-43480.0,-5264.6,-19554.6,,-29513.0,-20285.5,-2254.0,15171.0,-21153.5,-2347.6,-14341.5,-12784.9,-923.8,-2319.0,,10411.6,-71742.4,,-11603.1,-24141.4,-17388.9,-5914.4,-12265.0,-30276.3,False,False,True,True,,False,False,True,True,,False,True,True,True,True,True,True,True,True,True,,True,False,,True,True,True,True,True,False
Washington,74671,54116.0,85717.4,53158.5,64140.0,46443.0,,95429.9,133035.0,90529.4,85238.7,,55460.0,77015.9,184191.9,76091.0,72323.0,114334.6,38029.5,43968.2,73556.9,85037.0,,51449.4,64010.5,,58172.2,98120.3,64030.5,21933.6,63950.0,76981.6,-20555.0,11046.4,-21512.5,-10531.0,-28228.0,,20758.9,58364.0,15858.4,10567.7,,-19211.0,2344.9,109520.9,1420.0,-2348.0,39663.6,-36641.5,-30702.8,-1114.1,10366.0,,-23221.6,-10660.5,,-16498.8,23449.3,-10640.5,-52737.4,-10721.0,2310.6,True,False,True,False,,False,False,True,True,,True,True,False,True,True,False,False,False,True,True,,False,True,,True,False,True,False,True,True
West Virginia,31617,27224.0,29579.9,26974.3,33098.0,35608.0,,23354.4,35499.0,31279.5,40109.1,,30623.0,34210.9,68814.3,46217.0,19391.7,56863.9,44949.0,34308.6,39898.5,45318.0,,35680.4,55433.0,,29269.7,32584.1,71159.6,27005.9,48093.0,32881.5,-4393.0,-2037.1,-4642.7,1481.0,3991.0,,-8262.6,3882.0,-337.5,8492.1,,-994.0,2593.9,37197.3,14600.0,-12225.3,25246.9,13332.0,2691.6,8281.5,13701.0,,4063.4,23816.0,,-2347.3,967.1,39542.6,-4611.1,16476.0,1264.5,True,False,True,True,,False,True,True,False,,True,True,False,False,False,False,False,True,False,False,,True,False,,True,True,False,False,False,True
Wisconsin,118460,194460.0,518708.0,191912.5,193847.0,163654.0,,183114.6,123880.0,321937.4,260698.3,,225501.0,302764.8,187107.0,281195.0,100048.2,280284.4,159696.5,161688.5,221754.2,267465.0,,199094.9,172929.8,,174853.6,341270.0,208116.6,78052.1,173064.0,215658.3,76000.0,400248.0,73452.5,75387.0,45194.0,,64654.6,5420.0,203477.4,142238.3,,107041.0,184304.8,68647.0,162735.0,-18411.8,161824.4,41236.5,43228.5,103294.2,149005.0,,80634.9,54469.8,,56393.6,222810.0,89656.6,-40407.9,54604.0,97198.3,False,True,True,True,,True,True,False,False,,False,False,True,False,True,False,True,True,False,False,,False,True,,True,False,False,True,True,False
Wyoming,14078,22116.0,36454.8,22074.2,28322.0,19676.0,,19961.8,31392.0,31470.2,28857.7,,25626.0,33697.6,41090.7,33108.0,8974.0,43775.6,28305.0,24200.0,32500.1,31273.0,,13484.8,28041.7,,23354.1,37877.7,30219.6,8498.3,30752.0,30041.5,8038.0,22376.8,7996.2,14244.0,5598.0,,5883.8,17314.0,17392.2,14779.7,,11548.0,19619.6,27012.7,19030.0,-5104.0,29697.6,14227.0,10122.0,18422.1,17195.0,,-593.2,13963.7,,9276.1,23799.7,16141.6,-5579.7,16674.0,15963.5,False,True,False,True,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,,True,False,,False,False,False,True,False,False
US,5535997,4738080.0,6826384.1,4741975.4,6024024.0,4879955.0,8504184.0,5255580.7,7859512.0,9301111.5,,5010684.0,5277131.0,6475274.5,8560240.5,7246994.0,4241666.5,8659314.7,4915285.0,5320945.5,6484944.5,9341956.0,6271335.3,7175365.9,4599423.0,5275902.0,6369763.2,,7457080.2,3562737.7,5718644.0,5597378.2,-797917.0,1290387.1,-794021.6,488027.0,-656042.0,2968187.0,-280416.3,2323515.0,3765114.5,,-525313.0,-258866.0,939277.5,3024243.5,1710997.0,-1294330.5,3123317.7,-620712.0,-215051.5,948947.5,3805959.0,735338.3,1639368.9,-936574.0,-260095.0,833766.2,,1921083.2,-1973259.3,182647.0,61381.2,False,True,True,True,False,True,False,False,,True,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,,False,False,True,True
