,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
New Jersey,220994,73829.0,85673.7,,82660.4,,60711.0,68302.4,45362.0,35545.9,109461.0,-147165.0,-135320.3,,-138333.6,,-160283.0,-152691.6,-175632.0,-185448.1,-111533.0,True,,True,,False,False,False,False,True
New Mexico,82440,38150.0,57244.3,,42241.7,,44903.0,41794.4,59074.6,25669.6,24090.0,-44290.0,-25195.7,,-40198.3,,-37537.0,-40645.6,-23365.4,-56770.4,-58350.0,True,,True,,True,True,True,False,False
New York,336017,95977.0,46285.0,,170089.9,,59989.0,76228.0,79169.0,62708.4,105951.0,-240040.0,-289732.0,,-165927.1,,-276028.0,-259789.0,-256848.0,-273308.6,-230066.0,False,,True,,False,False,False,False,True
North Carolina,197633,114401.0,183480.3,,104755.2,,110890.0,124971.1,136732.4,127197.0,116316.0,-83232.0,-14152.7,,-92877.8,,-86743.0,-72661.9,-60900.6,-70436.0,-81317.0,True,,False,,False,True,True,True,True
North Dakota,45868,49294.0,22614.8,,42187.9,,49449.0,64043.4,84938.1,27897.6,57755.0,3426.0,-23253.2,,-3680.1,,3581.0,18175.4,39070.1,-17970.4,11887.0,False,,False,,False,False,False,False,False
Ohio,398732,139237.0,632197.5,,139316.4,,143928.0,136825.7,145498.1,57147.5,118859.0,-259495.0,233465.5,,-259415.6,,-254804.0,-261906.3,-253233.9,-341584.5,-279873.0,True,,True,,True,False,True,False,False
Oklahoma,133106,49539.0,100775.2,,57016.4,,65874.0,95478.3,86849.6,15698.5,25449.0,-83567.0,-32330.8,,-76089.6,,-67232.0,-37627.7,-46256.4,-117407.5,-107657.0,True,,True,,True,True,True,False,False
Oregon,56893,22274.0,31124.7,,21932.1,,19591.0,23785.4,34283.9,9879.4,28432.0,-34619.0,-25768.3,,-34960.9,,-37302.0,-33107.6,-22609.1,-47013.6,-28461.0,True,,False,,False,True,True,False,True
Pennsylvania,340104,107947.0,105774.5,,123253.7,,102014.0,111455.8,133538.0,67628.7,102456.0,-232157.0,-234329.5,,-216850.3,,-238090.0,-228648.2,-206566.0,-272475.3,-237648.0,False,,True,,False,True,True,False,False
Rhode Island,44938,19292.0,16824.8,,26394.6,,53797.0,19879.0,17756.9,7497.3,8090.0,-25646.0,-28113.2,,-18543.4,,8859.0,-25059.0,-27181.1,-37440.7,-36848.0,False,,True,,True,True,False,False,False
