,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
New Mexico,34948,43626.0,56297.5,44723.7,48060.0,36725.0,,45272.3,56312.0,52581.4,67213.8,,42010.0,62498.2,124652.2,50789.0,29909.5,47193.7,55706.0,33250.9,47337.0,51622.0,46763.0,,100970.9,75300.4,,52693.1,92815.4,,17830.8,40644.0,59253.7,8678.0,21349.5,9775.7,13112.0,1777.0,,10324.3,21364.0,17633.4,32265.8,,7062.0,27550.2,89704.2,15841.0,-5038.5,12245.7,20758.0,-1697.1,12389.0,16674.0,11815.0,,66022.9,40352.4,,17745.1,57867.4,,-17117.2,5696.0,24305.7,False,False,False,True,,False,False,False,False,,True,False,False,False,True,False,False,True,False,False,False,,False,False,,False,False,,False,True,False
New York,204615,130845.0,131246.1,131473.8,150398.0,154825.0,,132817.0,281419.0,149902.3,161604.4,,133355.0,151370.6,182569.2,168149.0,185928.4,250886.5,153361.5,150021.3,170175.4,181285.0,188874.0,,143247.4,140870.4,,135704.2,204169.2,,153294.0,159546.0,176868.3,-73770.0,-73368.9,-73141.2,-54217.0,-49790.0,,-71798.0,76804.0,-54712.7,-43010.6,,-71260.0,-53244.4,-22045.8,-36466.0,-18686.6,46271.5,-51253.5,-54593.7,-34439.6,-23330.0,-15741.0,,-61367.6,-63744.6,,-68910.8,-445.8,,-51321.0,-45069.0,-27746.7,True,True,True,True,,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,True
North Carolina,114310,77091.0,103247.7,78703.3,85780.0,94331.0,,70936.3,83830.0,91741.5,93593.3,,79540.0,95210.9,85603.3,95465.0,69286.7,107136.4,84444.5,81876.6,99001.6,99923.0,97609.0,,116953.6,66097.4,,66866.9,111988.9,,79305.2,90113.0,93425.6,-37219.0,-11062.3,-35606.7,-28530.0,-19979.0,,-43373.7,-30480.0,-22568.5,-20716.7,,-34770.0,-19099.1,-28706.7,-18845.0,-45023.3,-7173.6,-29865.5,-32433.4,-15308.4,-14387.0,-16701.0,,2643.6,-48212.6,,-47443.1,-2321.1,,-35004.8,-24197.0,-20884.4,True,True,True,True,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,,True,True,True
North Dakota,11849,19185.0,14367.2,19274.5,17106.0,11824.0,,19878.2,17254.0,16953.9,20932.9,,21746.0,30192.6,11957.9,23131.0,8172.8,13177.4,7374.0,14511.8,20075.0,14610.0,21323.0,,23435.0,18125.3,,10473.8,52261.9,,6553.9,21057.0,20901.7,7336.0,2518.2,7425.5,5257.0,-25.0,,8029.2,5405.0,5104.9,9083.9,,9897.0,18343.6,108.9,11282.0,-3676.2,1328.4,-4475.0,2662.8,8226.0,2761.0,9474.0,,11586.0,6276.3,,-1375.2,40412.9,,-5295.1,9208.0,9052.7,True,False,True,True,,False,True,True,False,,False,False,True,False,True,True,True,True,False,True,False,,False,True,,True,False,,True,False,False
Ohio,207726,190251.0,282241.6,190125.2,206538.0,217789.0,,178114.2,338557.0,169198.7,267272.3,,217470.0,254852.9,211449.2,238509.0,156120.4,372059.3,185360.5,166841.0,198125.1,216504.0,238992.0,,168009.7,350515.4,,247699.3,328962.9,164377.4,151488.4,202314.0,274214.3,-17475.0,74515.6,-17600.8,-1188.0,10063.0,,-29611.8,130831.0,-38527.3,59546.3,,9744.0,47126.9,3723.2,30783.0,-51605.6,164333.3,-22365.5,-40885.0,-9600.9,8778.0,31266.0,,-39716.3,142789.4,,39973.3,121236.9,-43348.6,-56237.6,-5412.0,66488.3,False,False,True,True,,False,False,False,False,,True,False,True,False,False,False,False,False,True,True,False,,False,False,,False,False,False,False,True,False
Oklahoma,62044,68700.0,97770.8,69074.0,72395.0,73204.0,,57838.0,115913.0,43954.1,91451.4,,68052.0,91677.3,72394.6,83686.0,39179.0,123390.3,66718.0,56412.2,72504.2,80764.0,83140.0,,67376.1,27673.5,,74287.3,98825.5,,47072.9,80479.0,91555.4,6656.0,35726.8,7030.0,10351.0,11160.0,,-4206.0,53869.0,-18089.9,29407.4,,6008.0,29633.3,10350.6,21642.0,-22865.0,61346.3,4674.0,-5631.8,10460.2,18720.0,21096.0,,5332.1,-34370.5,,12243.3,36781.5,,-14971.1,18435.0,29511.4,False,False,False,False,,True,False,False,False,,True,False,False,False,False,False,True,True,False,False,False,,True,False,,False,False,,False,False,False
Oregon,29308,26514.0,44824.7,26741.3,32604.0,31402.0,,32917.5,46377.0,23057.8,36394.3,,31418.0,37178.2,31521.2,31423.0,28003.2,51335.3,35209.5,31393.5,36945.5,33285.0,36802.0,,36749.7,16705.2,,31685.7,42119.4,,36540.7,33731.0,34524.6,-2794.0,15516.7,-2566.7,3296.0,2094.0,,3609.5,17069.0,-6250.2,7086.3,,2110.0,7870.2,2213.2,2115.0,-1304.8,22027.3,5901.5,2085.5,7637.5,3977.0,7494.0,,7441.7,-12602.8,,2377.7,12811.4,,7232.7,4423.0,5216.6,False,True,False,True,,False,False,False,False,,True,False,True,True,True,False,False,True,False,False,False,,False,False,,True,False,,False,False,False
Pennsylvania,196950,146871.0,199511.2,146759.3,159134.0,154964.0,,131759.3,274569.0,168645.0,218308.2,,158653.0,196559.2,199021.6,177134.0,153809.4,297285.7,149596.5,139945.6,168002.5,192145.0,193338.0,,212072.2,142924.1,,97261.5,246879.7,211014.8,106585.4,149730.0,213924.1,-50079.0,2561.2,-50190.7,-37816.0,-41986.0,,-65190.7,77619.0,-28305.0,21358.2,,-38297.0,-390.8,2071.6,-19816.0,-43140.6,100335.7,-47353.5,-57004.4,-28947.5,-4805.0,-3612.0,,15122.2,-54025.9,,-99688.5,49929.7,14064.8,-90364.6,-47220.0,16974.1,True,False,True,True,,False,False,True,True,,True,True,True,True,True,False,True,False,True,True,True,,True,False,,False,True,True,False,True,True
Rhode Island,23858,17859.0,20440.0,17446.1,19040.0,19569.0,,17246.0,23489.0,94941.8,22187.5,,17266.0,28452.3,20404.5,21815.0,14166.0,35857.5,20938.0,14382.1,25393.7,16694.0,20686.0,,15807.1,31435.3,,20888.5,37203.3,,8470.0,11658.0,23033.5,-5999.0,-3418.0,-6411.9,-4818.0,-4289.0,,-6612.0,-369.0,71083.8,-1670.5,,-6592.0,4594.3,-3453.5,-2043.0,-9692.0,11999.5,-2920.0,-9475.9,1535.7,-7164.0,-3172.0,,-8050.9,7577.3,,-2969.5,13345.3,,-15388.0,-12200.0,-824.5,True,False,True,True,,False,True,False,True,,False,True,True,True,False,False,True,False,True,False,True,,False,False,,True,False,,False,False,True
South Carolina,55626,29679.0,28260.8,29194.4,31675.0,27185.0,,29085.0,58934.0,33397.5,37369.4,,34649.0,41579.0,30686.0,35025.0,31331.6,47113.4,39417.5,31574.4,38681.5,36848.0,41020.0,,57166.4,18813.1,,23376.2,58466.9,,21911.6,31004.0,36341.5,-25947.0,-27365.2,-26431.6,-23951.0,-28441.0,,-26541.0,3308.0,-22228.5,-18256.6,,-20977.0,-14047.0,-24940.0,-20601.0,-24294.4,-8512.6,-16208.5,-24051.6,-16944.5,-18778.0,-14606.0,,1540.4,-36812.9,,-32249.8,2840.9,,-33714.4,-24622.0,-19284.5,False,False,True,False,,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,,False,True,True
South Dakota,15237,20655.0,18709.3,21200.3,18809.0,13629.0,,18854.2,20152.0,20278.9,23450.4,,22758.0,25167.5,10391.6,25605.0,8743.3,17266.6,17532.5,17128.9,21930.2,15805.0,23192.0,,4867.3,19149.1,,15556.7,49287.2,,11074.5,21361.0,23502.4,5418.0,3472.3,5963.3,3572.0,-1608.0,,3617.2,4915.0,5041.9,8213.4,,7521.0,9930.5,-4845.4,10368.0,-6493.7,2029.6,2295.5,1891.9,6693.2,568.0,7955.0,,-10369.7,3912.1,,319.7,34050.2,,-4162.5,6124.0,8265.4,True,False,True,True,,True,True,True,False,,False,False,True,False,False,True,True,True,False,True,False,,False,True,,True,False,,True,False,False
Tennessee,140185,82737.0,85126.2,82217.9,82635.0,66017.0,,71242.8,105225.0,93057.8,108087.2,,87318.0,111012.5,47908.0,101645.0,55513.8,121448.7,76403.5,78509.3,88354.0,95754.0,101434.0,,37230.8,68156.8,,89629.1,176473.7,,57875.3,77492.0,90633.4,-57448.0,-55058.8,-57967.1,-57550.0,-74168.0,,-68942.2,-34960.0,-47127.2,-32097.8,,-52867.0,-29172.5,-92277.0,-38540.0,-84671.2,-18736.3,-63781.5,-61675.7,-51831.0,-44431.0,-38751.0,,-102954.2,-72028.2,,-50555.9,36288.7,,-82309.7,-62693.0,-49551.6,True,False,False,False,,False,True,True,True,,True,True,False,True,False,True,False,False,True,True,True,,False,False,,True,True,,False,False,True
Texas,318151,207459.0,234056.6,194193.4,228080.0,185754.0,,215616.4,206955.0,319274.9,251567.1,,273533.0,261976.9,418560.6,257983.0,210192.0,214365.2,282329.5,203002.3,182600.3,234593.0,282145.0,,370854.2,203045.0,,232058.6,441668.8,,126553.0,188819.0,287781.0,-110692.0,-84094.4,-123957.6,-90071.0,-132397.0,,-102534.6,-111196.0,1123.9,-66583.9,,-44618.0,-56174.1,100409.6,-60168.0,-107959.0,-103785.8,-35821.5,-115148.7,-135550.7,-83558.0,-36006.0,,52703.2,-115106.0,,-86092.4,123517.8,,-191598.0,-129332.0,-30370.0,True,False,True,False,,True,False,True,True,,True,True,True,True,True,True,True,False,False,True,True,,True,False,,True,False,,False,False,True
Utah,56883,54324.0,57912.9,58073.7,49772.0,28895.0,,55020.3,93373.0,47808.2,54642.7,,75320.0,97554.9,49207.8,60863.0,41170.3,43565.3,32711.0,45803.3,59443.9,40896.0,58580.0,,102613.4,53961.6,,42119.9,131401.5,,21468.1,46321.0,39878.3,-2559.0,1029.9,1190.7,-7111.0,-27988.0,,-1862.7,36490.0,-9074.8,-2240.3,,18437.0,40671.9,-7675.2,3980.0,-15712.7,-13317.7,-24172.0,-11079.7,2560.9,-15987.0,1697.0,,45730.4,-2921.4,,-14763.1,74518.5,,-35414.9,-10562.0,-17004.7,True,True,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,,False,False,False
Vermont,2310,1461.0,3203.9,1554.5,1554.0,1669.0,,0.0,9195.0,2064.5,1916.8,,1974.0,2636.7,2689.2,1979.0,1687.0,932.0,1430.0,1519.0,3083.5,2099.0,4152.0,,4579.9,3156.9,,1478.0,3450.9,,1040.0,1204.0,1454.9,-849.0,893.9,-755.5,-756.0,-641.0,,-2310.0,6885.0,-245.5,-393.2,,-336.0,326.7,379.2,-331.0,-623.0,-1378.0,-880.0,-791.0,773.5,-211.0,1842.0,,2269.9,846.9,,-832.0,1140.9,,-1270.0,-1106.0,-855.1,False,True,True,True,,False,False,True,True,,True,True,True,True,True,False,False,True,True,True,False,,False,True,,True,False,,False,False,False
Virginia,69355,53814.0,85077.5,55105.6,62609.0,67850.0,,50640.6,40271.0,71330.8,66254.3,,54527.0,69388.9,82503.9,66781.0,51503.8,72584.5,68654.0,60977.9,72216.2,75740.0,66622.0,,67101.4,11276.7,,72373.9,63104.1,,45673.5,60638.0,64001.9,-15541.0,15722.5,-14249.4,-6746.0,-1505.0,,-18714.4,-29084.0,1975.8,-3100.7,,-14828.0,33.9,13148.9,-2574.0,-17851.2,3229.5,-701.0,-8377.1,2861.2,6385.0,-2733.0,,-2253.6,-58078.3,,3018.9,-6250.9,,-23681.5,-8717.0,-5353.1,False,True,True,True,,False,False,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,,False,True,True
Washington,55369,58122.0,80380.1,58920.4,67022.0,75629.0,,82209.6,107206.0,44211.4,72886.4,,55395.0,64051.8,66358.0,72880.0,60855.6,98603.0,71843.5,57328.4,80891.6,66974.0,76312.0,,39523.2,50883.2,,69425.9,82681.2,,51795.1,66907.0,77713.0,2753.0,25011.1,3551.4,11653.0,20260.0,,26840.6,51837.0,-11157.6,17517.4,,26.0,8682.8,10989.0,17511.0,5486.6,43234.0,16474.5,1959.4,25522.6,11605.0,20943.0,,-15845.8,-4485.8,,14056.9,27312.2,,-3573.9,11538.0,22344.0,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,,False,False,False
West Virginia,25370,18741.0,20679.5,18883.2,20902.0,19798.0,,16631.8,34954.0,17922.3,28725.3,,20923.0,30280.1,31882.4,22912.0,12870.1,36960.3,26636.0,20600.7,26695.8,24208.0,25436.0,,37298.8,54637.7,,25195.3,34439.4,,17189.1,17944.0,23929.1,-6629.0,-4690.5,-6486.8,-4468.0,-5572.0,,-8738.2,9584.0,-7447.7,3355.3,,-4447.0,4910.1,6512.4,-2458.0,-12499.9,11590.3,1266.0,-4769.3,1325.8,-1162.0,66.0,,11928.8,29267.7,,-174.7,9069.4,,-8180.9,-7426.0,-1440.9,True,True,True,True,,False,False,False,True,,True,True,True,True,False,False,True,True,True,True,True,,False,False,,True,False,,False,False,True
Wisconsin,85680,98340.0,129010.4,96537.8,96539.0,67943.0,,106324.5,99770.0,97417.6,134256.1,,105412.0,162102.1,76554.5,113465.0,59543.1,52900.0,87553.5,84246.6,98049.7,83731.0,109534.0,,128378.2,124177.6,,102229.9,265275.3,90410.6,43401.1,74126.0,126074.0,12660.0,43330.4,10857.8,10859.0,-17737.0,,20644.5,14090.0,11737.6,48576.1,,19732.0,76422.1,-9125.5,27785.0,-26136.9,-32780.0,1873.5,-1433.4,12369.7,-1949.0,23854.0,,42698.2,38497.6,,16549.9,179595.3,4730.6,-42278.9,-11554.0,40394.0,False,True,True,False,,False,False,True,False,,False,False,True,False,False,False,True,True,True,True,False,,False,False,,False,False,True,False,True,False
Wyoming,9560,13554.0,12927.8,13845.3,13532.0,11341.0,,13844.3,19956.0,8673.9,16962.8,,16121.0,24411.4,17165.9,16018.0,6258.3,8364.9,9283.0,10593.8,17035.3,12454.0,15170.0,,8000.8,23757.6,,14839.9,32471.2,,3988.1,9184.0,16831.7,3994.0,3367.8,4285.3,3972.0,1781.0,,4284.3,10396.0,-886.1,7402.8,,6561.0,14851.4,7605.9,6458.0,-3301.7,-1195.1,-277.0,1033.8,7475.3,2894.0,5610.0,,-1559.2,14197.6,,5279.9,22911.2,,-5571.9,-376.0,7271.7,True,False,True,True,,False,False,True,False,,False,False,False,False,True,True,True,True,False,True,False,,True,False,,False,False,,False,True,False
US,4397063,3421155.0,4120171.4,3459844.3,3488557.0,3212718.0,2581956.0,3518452.4,5588845.0,4340403.0,,3433436.0,3653307.0,4798508.9,4128213.7,4132612.0,2980653.6,4404028.9,3472580.5,3081249.5,3735591.7,3969574.0,4747274.0,4180899.0,2060441.0,4485937.1,3486769.0,3226652.6,,3345319.5,2417189.2,3265641.0,4542020.8,-975908.0,-276891.6,-937218.7,-908506.0,-1184345.0,-1815107.0,-878610.6,1191782.0,-56660.0,,-963627.0,-743756.0,401445.9,-268849.3,-264451.0,-1416409.4,6965.9,-924482.5,-1315813.5,-661471.3,-427489.0,350211.0,-216164.0,-2336622.0,88874.1,-910294.0,-1170410.4,,-1051743.5,-1979873.8,-1131422.0,144957.8,True,True,True,False,False,True,False,True,,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,,False,False,False,True
