,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Montana,3975,5575.0,5607.1,5532.0,5006.0,3796.0,,5659.0,4052.0,4759.9,3709.9,4527.4,,4845.7,5291.0,6129.0,6004.2,3912.9,5236.0,2237.7,4931.5,4721.4,3902.5,4966.9,5307.0,5383.0,5298.0,,5132.5,6119.3,,4999.8,8682.5,6960.5,,5519.0,6147.6,4262.1,1600.0,1632.1,1557.0,1031.0,-179.0,,1684.0,77.0,784.9,-265.1,552.4,,870.7,1316.0,2154.0,2029.2,-62.1,1261.0,-1737.3,956.5,746.4,-72.5,991.9,1332.0,1408.0,1323.0,,1157.5,2144.3,,1024.8,4707.5,2985.5,,1544.0,2172.6,287.1,False,True,True,True,,False,True,True,True,True,,True,True,False,False,True,True,False,True,True,True,True,True,True,True,,True,False,,True,False,False,,True,False,True
Nebraska,7727,9120.0,12658.1,9423.5,9006.0,7442.0,,10427.4,13321.0,7944.3,8028.1,8027.8,,8800.0,11275.0,11769.0,10106.7,9144.6,8917.0,5834.2,8504.0,8651.3,7153.0,8607.8,9359.9,9473.0,7877.0,,8798.2,16240.4,,8902.7,19281.4,9997.8,,9109.0,10902.4,9916.4,1393.0,4931.1,1696.5,1279.0,-285.0,,2700.4,5594.0,217.3,301.1,300.8,,1073.0,3548.0,4042.0,2379.7,1417.6,1190.0,-1892.8,777.0,924.3,-574.0,880.8,1632.9,1746.0,150.0,,1071.2,8513.4,,1175.7,11554.4,2270.8,,1382.0,3175.4,2189.4,False,False,True,True,,False,False,True,True,True,,True,False,False,False,False,True,False,True,True,True,True,False,False,True,,True,False,,True,False,False,,True,False,False
Nevada,17909,18321.0,21925.2,17918.2,19976.0,16195.0,,19788.0,21257.0,20823.0,16920.1,21815.2,,20540.6,18362.0,20102.0,22142.6,19220.8,20347.0,10804.7,18618.5,24559.5,20297.0,18769.9,18887.3,20319.0,18656.0,,20809.2,21987.5,,19351.4,24780.2,17236.6,,19574.0,20197.9,21001.8,412.0,4016.2,9.2,2067.0,-1714.0,,1879.0,3348.0,2914.0,-988.9,3906.2,,2631.6,453.0,2193.0,4233.6,1311.8,2438.0,-7104.3,709.5,6650.5,2388.0,860.9,978.3,2410.0,747.0,,2900.2,4078.5,,1442.4,6871.2,-672.4,,1665.0,2288.9,3092.8,False,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
New Hampshire,5365,6106.0,7974.9,6020.4,6709.0,6714.0,,5932.6,7169.0,3686.2,8377.8,6346.9,,7498.1,5362.0,7170.0,6584.0,7899.5,6483.0,4392.2,5976.5,8483.7,7263.5,6264.0,6687.3,6254.0,6392.0,,6522.6,7912.7,,6727.6,5074.9,5248.3,,6035.0,6994.4,6829.3,741.0,2609.9,655.4,1344.0,1349.0,,567.6,1804.0,-1678.8,3012.8,981.9,,2133.1,-3.0,1805.0,1219.0,2534.5,1118.0,-972.8,611.5,3118.7,1898.5,899.0,1322.3,889.0,1027.0,,1157.6,2547.7,,1362.6,-290.1,-116.7,,670.0,1629.4,1464.3,False,True,False,False,,True,False,False,False,False,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,True,True,,True,False,False
New Jersey,35313,34510.0,38573.0,34587.1,36155.0,35946.0,,35424.2,48676.0,32899.4,38747.7,39506.0,,36363.6,27382.0,39251.0,35743.1,37533.9,37853.0,25284.7,36693.5,38058.7,31571.0,32624.1,34828.1,37004.0,34852.0,,35432.9,57453.9,,36965.0,44518.8,34931.3,,37309.0,50842.5,36779.6,-803.0,3260.0,-725.9,842.0,633.0,,111.2,13363.0,-2413.6,3434.7,4193.0,,1050.6,-7931.0,3938.0,430.1,2220.9,2540.0,-10028.3,1380.5,2745.7,-3742.0,-2688.9,-484.9,1691.0,-461.0,,119.9,22140.9,,1652.0,9205.8,-381.7,,1996.0,15529.5,1466.6,False,True,False,True,,True,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,True,False,True,,True,False,,False,False,True,,False,False,False
New Mexico,10572,11502.0,11509.2,12073.5,11046.0,9835.0,,12046.6,13602.0,10823.9,10477.5,12595.1,,11055.7,12505.0,13770.0,14769.5,8268.7,10577.0,6871.5,14273.0,10662.3,11042.0,11252.8,11199.3,10942.0,10158.0,,10616.5,6418.6,,9863.2,19800.0,11708.0,,11049.0,18375.0,10405.6,930.0,937.2,1501.5,474.0,-737.0,,1474.6,3030.0,251.9,-94.5,2023.1,,483.7,1933.0,3198.0,4197.5,-2303.3,5.0,-3700.5,3701.0,90.3,470.0,680.8,627.3,370.0,-414.0,,44.5,-4153.4,,-708.8,9228.0,1136.0,,477.0,7803.0,-166.4,False,False,True,True,,False,False,True,True,False,,True,False,False,False,False,True,False,False,True,True,True,True,True,True,,True,False,,True,False,False,,True,False,True
New York,73550,68841.0,86555.9,69295.6,74513.0,71491.0,,73931.4,101046.0,67345.1,74873.6,76215.3,,87705.1,62663.0,77126.0,79115.6,111673.7,74359.0,60981.3,69694.0,95030.1,67869.5,76779.6,79346.9,82471.0,74221.0,,85270.8,81757.8,,66454.1,84318.5,63802.3,,74707.0,62035.8,82934.6,-4709.0,13005.9,-4254.4,963.0,-2059.0,,381.4,27496.0,-6204.9,1323.6,2665.3,,14155.1,-10887.0,3576.0,5565.6,38123.7,809.0,-12568.7,-3856.0,21480.1,-5680.5,3229.6,5796.9,8921.0,671.0,,11720.8,8207.8,,-7095.9,10768.5,-9747.7,,1157.0,-11514.2,9384.6,False,True,True,True,,True,False,False,True,True,,False,False,True,False,False,True,False,True,False,False,True,False,False,True,,False,False,,False,False,False,,True,False,False
North Carolina,42492,41224.0,43305.3,41173.9,43615.0,45005.0,,41770.2,40826.0,35303.6,52432.8,41307.4,,53238.4,40184.0,47706.0,40700.8,48492.3,43948.0,27651.6,39264.0,47652.5,43999.5,47929.2,45823.6,48653.0,42376.0,,49986.3,30286.2,,39331.2,39803.8,39876.9,,46041.0,55168.2,41975.9,-1268.0,813.3,-1318.1,1123.0,2513.0,,-721.8,-1666.0,-7188.4,9940.8,-1184.6,,10746.4,-2308.0,5214.0,-1791.2,6000.3,1456.0,-14840.4,-3228.0,5160.5,1507.5,5437.2,3331.6,6161.0,-116.0,,7494.3,-12205.8,,-3160.8,-2688.2,-2615.1,,3549.0,12676.2,-516.1,True,False,True,False,,True,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,,False,False,True
North Dakota,2194,5086.0,5895.2,5240.2,3698.0,2053.0,,4523.6,3004.0,2597.2,2052.4,3656.1,,3116.7,4455.0,5625.0,4245.6,3552.2,5585.0,2558.1,3073.0,3542.5,1759.5,3302.8,4014.4,4293.0,5297.0,,1131.6,4649.7,,4840.7,8550.2,4552.6,,4831.0,5323.4,3317.2,2892.0,3701.2,3046.2,1504.0,-141.0,,2329.6,810.0,403.2,-141.6,1462.1,,922.7,2261.0,3431.0,2051.6,1358.2,3391.0,364.1,879.0,1348.5,-434.5,1108.8,1820.4,2099.0,3103.0,,-1062.4,2455.7,,2646.7,6356.2,2358.6,,2637.0,3129.4,1123.2,False,False,True,True,,True,True,True,True,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,False,,True,True,,True,False,True,,True,False,True
Ohio,60968,86029.0,79375.9,86296.5,82423.0,68413.0,,84670.3,109817.0,58352.5,89361.4,94877.3,,89452.6,83125.0,92406.0,80563.6,102510.3,86155.0,46321.0,81353.5,82000.7,67195.0,82423.1,88135.5,82145.0,81580.0,,75039.7,49313.7,,98023.7,87413.6,86803.4,79150.8,78296.0,86925.6,74628.5,25061.0,18407.9,25328.5,21455.0,7445.0,,23702.3,48849.0,-2615.5,28393.4,33909.3,,28484.6,22157.0,31438.0,19595.6,41542.3,25187.0,-14647.0,20385.5,21032.7,6227.0,21455.1,27167.5,21177.0,20612.0,,14071.7,-11654.3,,37055.7,26445.6,25835.4,18182.8,17328.0,25957.6,13660.5,True,False,True,True,,True,False,True,False,False,,False,True,False,True,False,False,True,True,True,True,True,False,True,True,,True,True,,False,False,False,True,True,False,True
Oklahoma,22532,20091.0,25186.5,19300.0,20613.0,18563.0,,21389.0,40554.0,18795.8,18604.9,24634.1,,23253.3,22256.0,25665.0,22648.2,16171.2,20603.0,10983.3,21401.0,21368.2,18271.5,22733.7,22491.9,22911.0,18662.0,,21930.4,17740.6,,20348.3,30165.9,21808.3,,22785.0,22921.8,19700.4,-2441.0,2654.5,-3232.0,-1919.0,-3969.0,,-1143.0,18022.0,-3736.2,-3927.1,2102.1,,721.3,-276.0,3133.0,116.2,-6360.8,-1929.0,-11548.7,-1131.0,-1163.8,-4260.5,201.7,-40.1,379.0,-3870.0,,-601.6,-4791.4,,-2183.7,7633.9,-723.7,,253.0,389.8,-2831.6,False,False,True,False,,True,False,False,False,True,,True,True,False,True,False,True,False,True,True,False,True,True,True,False,,True,False,,True,False,True,,True,True,False
Oregon,8975,9596.0,13139.5,9726.3,10412.0,9131.0,,10585.6,14431.0,8084.5,8148.6,11642.8,,10289.3,10307.0,11660.0,12146.2,11073.5,10116.0,7143.2,11026.5,10731.5,7711.5,9225.8,10085.8,11628.0,8540.0,,10899.1,16299.0,,10534.4,14613.1,10857.6,,10114.0,11858.3,12994.0,621.0,4164.5,751.3,1437.0,156.0,,1610.6,5456.0,-890.5,-826.4,2667.8,,1314.3,1332.0,2685.0,3171.2,2098.5,1141.0,-1831.8,2051.5,1756.5,-1263.5,250.8,1110.8,2653.0,-435.0,,1924.1,7324.0,,1559.4,5638.1,1882.6,,1139.0,2883.3,4019.0,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,,False,False,False,,False,False,False
Pennsylvania,67565,69695.0,85563.8,69740.1,78100.0,74723.0,,74327.7,99817.0,68058.8,73210.3,79956.4,,85381.2,69905.0,79350.0,79537.4,90507.9,74689.0,52507.7,73476.5,95583.5,78100.0,74301.9,74871.8,77605.0,69142.0,,87503.6,80467.5,,63889.1,83032.5,61709.5,83525.8,79959.0,106952.5,76633.8,2130.0,17998.8,2175.1,10535.0,7158.0,,6762.7,32252.0,493.8,5645.3,12391.4,,17816.2,2340.0,11785.0,11972.4,22942.9,7124.0,-15057.3,5911.5,28018.5,10535.0,6736.9,7306.8,10040.0,1577.0,,19938.6,12902.5,,-3675.9,15467.5,-5855.5,15960.8,12394.0,39387.5,9068.8,False,False,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False,False,False
Rhode Island,6994,8681.0,10112.2,8790.6,8711.0,6895.0,,9239.3,7691.0,24986.4,9857.5,7435.5,,10829.1,7192.0,10406.0,9185.1,10684.7,9705.0,4092.5,8058.5,11949.9,7656.5,7307.2,9361.6,6876.0,8333.0,,8741.6,8620.4,,7738.8,10938.2,7999.1,,8048.0,8467.1,10337.7,1687.0,3118.2,1796.6,1717.0,-99.0,,2245.3,697.0,17992.4,2863.5,441.5,,3835.1,198.0,3412.0,2191.1,3690.7,2711.0,-2901.5,1064.5,4955.9,662.5,313.2,2367.6,-118.0,1339.0,,1747.6,1626.4,,744.8,3944.2,1005.1,,1054.0,1473.1,3343.7,False,False,False,True,,False,True,False,False,True,,False,True,False,False,False,False,False,True,False,True,True,False,True,True,,False,True,,True,False,True,,True,True,False
South Carolina,21739,19563.0,21898.7,19621.2,21981.0,22117.0,,19705.5,19596.0,17056.2,21526.3,19993.5,,25491.7,16752.0,22744.0,18754.5,23007.3,23726.0,11608.5,15913.5,24930.6,22301.0,23025.3,22183.6,23842.0,20847.0,,24314.5,15057.6,,19834.3,17896.9,21551.5,,22784.0,23768.1,18271.1,-2176.0,159.7,-2117.8,242.0,378.0,,-2033.5,-2143.0,-4682.8,-212.7,-1745.5,,3752.7,-4987.0,1005.0,-2984.5,1268.3,1987.0,-10130.5,-5825.5,3191.6,562.0,1286.3,444.6,2103.0,-892.0,,2575.5,-6681.4,,-1904.7,-3842.1,-187.5,,1045.0,2029.1,-3467.9,True,True,True,True,,True,True,False,True,True,,False,False,True,False,True,True,False,False,False,True,True,True,True,True,,False,False,,True,False,True,,True,True,False
South Dakota,3929,5103.0,5238.0,5028.8,4814.0,3751.0,,5131.0,5340.0,3692.6,4646.0,4938.0,,4572.5,5253.0,5702.0,5536.6,3795.8,4871.0,2482.4,4278.0,4597.6,3486.0,4686.1,4740.7,4972.0,4937.0,,4746.4,3236.1,,5945.9,8974.5,5506.6,,4918.0,5563.5,4592.5,1174.0,1309.0,1099.8,885.0,-178.0,,1202.0,1411.0,-236.4,717.0,1009.0,,643.5,1324.0,1773.0,1607.6,-133.2,942.0,-1446.6,349.0,668.6,-443.0,757.1,811.7,1043.0,1008.0,,817.4,-692.9,,2016.9,5045.5,1577.6,,989.0,1634.5,663.5,False,True,True,True,,False,False,True,True,True,,True,False,False,False,True,True,False,True,True,True,True,True,True,True,,True,True,,False,False,False,,True,False,True
Tennessee,60698,45431.0,50636.5,46423.1,45271.0,39414.0,,42525.4,36358.0,43793.7,49219.4,48642.0,,62446.4,46090.0,47736.0,42134.2,49660.7,44410.0,21925.3,43419.5,44886.5,55944.0,60701.3,52874.6,49960.0,45142.0,,51671.2,35866.5,,44624.6,44533.6,40729.9,,49689.0,54878.0,44485.8,-15267.0,-10061.5,-14274.9,-15427.0,-21284.0,,-18172.6,-24340.0,-16904.3,-11478.6,-12056.0,,1748.4,-14608.0,-12962.0,-18563.8,-11037.3,-16288.0,-38772.7,-17278.5,-15811.5,-4754.0,3.3,-7823.4,-10738.0,-15556.0,,-9026.8,-24831.5,,-16073.4,-16164.4,-19968.1,,-11009.0,-5820.0,-16212.2,True,True,False,False,,False,False,False,True,True,,True,True,True,False,True,False,False,False,False,True,True,True,True,False,,True,False,,False,False,False,,True,True,False
Texas,110891,89085.0,101416.4,91213.9,92659.0,92289.0,,92681.0,112575.0,90502.7,91106.7,93649.1,,89658.0,91974.0,107063.0,103474.1,107988.3,84355.0,79034.6,137799.5,97882.5,85595.0,85786.9,87993.0,105712.0,83665.0,,97680.2,117857.7,,88272.0,125386.4,104618.5,,93217.0,153042.5,97500.4,-21806.0,-9474.6,-19677.1,-18232.0,-18602.0,,-18210.0,1684.0,-20388.3,-19784.3,-17241.9,,-21233.0,-18917.0,-3828.0,-7416.9,-2902.7,-26536.0,-31856.4,26908.5,-13008.5,-25296.0,-25104.1,-22898.0,-5179.0,-27226.0,,-13210.8,6966.7,,-22619.0,14495.4,-6272.5,,-17674.0,42151.5,-13390.6,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,False,False,False,True,False,False,False,True,False,,True,True,,False,True,True,,True,False,True
Utah,17149,18977.0,18329.7,19438.5,18247.0,13451.0,,21465.5,31896.0,13525.4,16373.5,16011.9,,19837.5,22168.0,23386.0,21362.3,16069.2,18006.0,8557.3,18090.5,19792.5,14728.5,17523.2,18315.8,21345.0,17458.0,,20099.5,18047.9,,17685.6,27860.6,13230.5,,20189.0,16003.4,16966.7,1828.0,1180.7,2289.5,1098.0,-3698.0,,4316.5,14747.0,-3623.6,-775.5,-1137.1,,2688.5,5019.0,6237.0,4213.3,-1079.8,857.0,-8591.7,941.5,2643.5,-2420.5,374.2,1166.8,4196.0,309.0,,2950.5,898.9,,536.6,10711.6,-3918.5,,3040.0,-1145.6,-182.3,True,False,True,False,,False,False,False,True,True,,False,False,False,False,True,True,False,True,False,False,True,True,False,True,,False,True,,True,False,False,,False,True,True
Vermont,717,732.0,1128.0,748.1,866.0,899.0,,833.1,1693.0,1040.9,859.0,847.6,,951.2,215.0,1059.0,863.0,912.5,715.0,507.4,865.0,1495.3,809.5,827.2,847.4,965.0,689.0,,934.5,1570.3,,774.4,1112.4,821.9,,884.0,1091.8,824.0,15.0,411.0,31.1,149.0,182.0,,116.1,976.0,323.9,142.0,130.6,,234.2,-502.0,342.0,146.0,195.5,-2.0,-209.6,148.0,778.3,92.5,110.2,130.4,248.0,-28.0,,217.5,853.3,,57.4,395.4,104.9,,167.0,374.8,107.0,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Virginia,24357,27442.0,28747.8,27201.3,28608.0,31236.0,,27130.0,23263.0,23451.3,33557.0,27237.5,,31827.0,25848.0,28538.0,26537.5,34956.8,34823.0,17461.9,25542.0,29889.2,28204.5,27629.0,28609.7,30207.0,29086.0,,29282.2,15585.7,,28406.1,24065.0,29218.3,,30506.0,36192.6,24043.0,3085.0,4390.8,2844.3,4251.0,6879.0,,2773.0,-1094.0,-905.7,9200.0,2880.5,,7470.0,1491.0,4181.0,2180.5,10599.8,10466.0,-6895.1,1185.0,5532.2,3847.5,3272.0,4252.7,5850.0,4729.0,,4925.2,-8771.3,,4049.1,-292.0,4861.3,,6149.0,11835.6,-314.0,False,True,False,False,,True,True,True,False,True,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,,False,False,,False,True,False,,False,False,True
Washington,13883,23942.0,19765.9,23893.8,23064.0,25966.0,,22307.2,30784.0,19371.5,27699.1,26359.4,,22220.6,22001.0,20850.0,26897.8,22964.3,24188.0,15896.7,22464.5,21118.4,16840.5,23771.0,24154.0,21269.0,23356.0,,23648.2,31544.4,,27308.3,25294.3,23690.1,,23064.0,35645.2,,10059.0,5882.9,10010.8,9181.0,12083.0,,8424.2,16901.0,5488.5,13816.1,12476.4,,8337.6,8118.0,6967.0,13014.8,9081.3,10305.0,2013.7,8581.5,7235.4,2957.5,9888.0,10271.0,7386.0,9473.0,,9765.2,17661.4,,13425.3,11411.3,9807.1,,9181.0,21762.2,,True,True,True,False,,True,False,True,False,False,,True,True,True,False,True,False,True,True,True,True,True,False,True,True,,True,False,,False,False,True,,True,False,
West Virginia,9064,8579.0,10414.6,8518.6,8992.0,8948.0,,8817.4,12608.0,7299.9,9162.0,10079.9,,9077.4,8995.0,9037.0,9423.0,9428.8,8790.0,3933.6,9046.5,11737.7,8241.0,8117.9,8831.1,9578.0,8259.0,,9196.5,6328.1,,9323.1,10557.6,8675.5,,9398.0,10481.7,8654.0,-485.0,1350.6,-545.4,-72.0,-116.0,,-246.6,3544.0,-1764.1,98.0,1015.9,,13.4,-69.0,-27.0,359.0,364.8,-274.0,-5130.4,-17.5,2673.7,-823.0,-946.1,-232.9,514.0,-805.0,,132.5,-2735.9,,259.1,1493.6,-388.5,,334.0,1417.7,-410.0,False,False,True,True,,True,False,False,True,False,,True,True,True,True,True,True,False,True,False,False,False,True,False,False,,True,False,,True,False,True,,True,False,True
Wisconsin,24688,28073.0,31576.1,28444.3,26404.0,23201.0,,28178.4,21974.0,19739.4,20728.7,29748.0,,25577.9,26442.0,29658.0,30990.1,19264.4,29575.0,16097.1,25768.0,24591.2,21341.5,27030.7,25692.9,27636.0,25982.0,,25514.2,17092.6,,26432.0,48996.6,26457.5,26900.6,29256.0,37370.3,21047.5,3385.0,6888.1,3756.3,1716.0,-1487.0,,3490.4,-2714.0,-4948.6,-3959.3,5060.0,,889.9,1754.0,4970.0,6302.1,-5423.6,4887.0,-8590.9,1080.0,-96.8,-3346.5,2342.7,1004.9,2948.0,1294.0,,826.2,-7595.4,,1744.0,24308.6,1769.5,2212.6,4568.0,12682.3,-3640.5,False,False,True,True,,False,True,False,False,False,,True,True,False,False,False,False,False,True,True,True,True,True,True,True,,True,False,,True,False,True,True,False,False,False
Wyoming,2581,2966.0,3832.7,3005.5,2787.0,2716.0,,3125.8,4815.0,2020.4,2082.7,2197.1,,2466.7,2985.0,3339.0,3360.6,2123.0,2809.0,1280.5,2633.0,2172.4,1971.0,2865.8,2863.6,2590.0,2560.0,,1834.4,4654.0,,2792.3,6425.8,3313.2,,3419.0,3292.9,2519.7,385.0,1251.7,424.5,206.0,135.0,,544.8,2234.0,-560.6,-498.3,-383.9,,-114.3,404.0,758.0,779.6,-458.0,228.0,-1300.5,52.0,-408.6,-610.0,284.8,282.6,9.0,-21.0,,-746.6,2073.0,,211.3,3844.8,732.2,,838.0,711.9,-61.3,False,False,True,True,,False,False,False,False,True,,True,False,False,False,False,True,False,True,False,False,True,True,True,True,,False,False,,True,False,False,,False,False,True
US,1517234,1480981.0,1713713.0,1485851.8,1540576.0,1480349.0,1470553.0,1505026.8,1785951.0,1561262.4,1486033.2,,1722489.0,1612323.6,1438920.0,1591264.0,1603769.2,1711120.2,,982642.7,,1697068.2,1469162.5,1525395.4,1547542.3,1596294.0,1379019.0,1540576.0,1666945.9,1366115.2,1557450.0,1493302.5,,1443535.4,1641368.9,1571434.0,2203790.9,,-36253.0,196479.0,-31382.2,23342.0,-36885.0,-46681.0,-12207.2,268717.0,44028.4,-31200.8,,205255.0,95089.6,-78314.0,74030.0,86535.2,193886.2,,-534591.3,,179834.2,-48071.5,8161.4,30308.3,79060.0,-138215.0,23342.0,149711.9,-151118.8,40216.0,-23931.5,,-73698.6,124134.9,54200.0,686556.9,,False,True,True,False,False,True,False,False,True,,False,False,False,False,False,False,,False,,False,False,True,True,False,False,True,False,False,False,True,,False,False,False,False,
