,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Missouri,56978,52986.0,87785.5,52062.5,53588.0,46846.0,,53766.4,84948.0,60886.3,50493.1,,52772.5,63980.0,55289.0,64652.2,31988.1,56867.0,29450.6,67484.5,47129.8,51339.5,56469.2,50788.1,50527.7,49774.0,55690.0,,61767.0,37722.3,,54178.5,90237.6,60867.8,,50679.0,50418.9,,-3992.0,30807.5,-4915.5,-3390.0,-10132.0,,-3211.6,27970.0,3908.3,-6484.9,,-4205.5,7002.0,-1689.0,7674.2,-24989.9,-111.0,-27527.4,10506.5,-9848.2,-5638.5,-508.8,-6189.9,-6450.3,-7204.0,-1288.0,,4789.0,-19255.7,,-2799.5,33259.6,3889.8,,-6299.0,-6559.1,,False,False,True,False,,True,False,True,False,,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,,False,False,,True,False,True,,False,False,
Montana,9550,12448.0,8863.3,12184.2,10798.0,7849.0,,12533.5,9210.0,9383.6,6822.2,,9141.4,11377.0,13884.0,17464.5,10729.7,13574.0,4966.3,11792.0,9945.8,9273.0,11723.1,13039.3,12557.0,11010.0,12566.0,,10683.1,12890.4,,10467.2,22632.7,16382.0,,10475.0,13965.1,2072.6,2898.0,-686.7,2634.2,1248.0,-1701.0,,2983.5,-340.0,-166.4,-2727.8,,-408.6,1827.0,4334.0,7914.5,1179.7,4024.0,-4583.7,2242.0,395.8,-277.0,2173.1,3489.3,3007.0,1460.0,3016.0,,1133.1,3340.4,,917.2,13082.7,6832.0,,925.0,4415.1,-7477.4,True,True,True,True,,False,True,True,True,,True,True,False,False,True,False,False,True,True,True,True,False,False,True,False,,True,False,,True,False,False,,True,False,False
Nebraska,16847,26490.0,38378.7,25462.0,25718.0,26585.0,,26255.8,31371.0,26439.7,20757.3,,21953.9,29645.0,29185.0,24507.8,19564.4,26821.0,15707.0,22247.0,23323.1,25451.5,23715.2,24859.7,24854.2,26297.0,26407.0,,36550.0,33251.3,,24060.3,47021.6,29361.9,,25623.0,33080.6,3373.5,9643.0,21531.7,8615.0,8871.0,9738.0,,9408.8,14524.0,9592.7,3910.3,,5106.9,12798.0,12338.0,7660.8,2717.4,9974.0,-1140.0,5400.0,6476.1,8604.5,6868.2,8012.7,8007.2,9450.0,9560.0,,19703.0,16404.3,,7213.3,30174.6,12514.9,,8776.0,16233.6,-13473.5,False,True,True,False,,True,False,True,True,,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,,False,False,,True,False,False,,True,False,False
Nevada,36230,32798.0,46775.2,34770.5,37454.0,28114.0,,37231.5,46311.0,41492.1,44947.3,,43259.7,37016.0,33387.0,42068.9,39879.5,33113.0,23636.1,36773.5,51114.5,38457.5,38262.6,35516.8,37267.1,37934.0,31953.0,,41477.1,42696.4,,32617.3,56957.7,33202.7,,32618.0,37667.7,7708.7,-3432.0,10545.2,-1459.5,1224.0,-8116.0,,1001.5,10081.0,5262.1,8717.3,,7029.7,786.0,-2843.0,5838.9,3649.5,-3117.0,-12593.9,543.5,14884.5,2227.5,2032.6,-713.2,1037.1,1704.0,-4277.0,,5247.1,6466.4,,-3612.7,20727.7,-3027.3,,-3612.0,1437.7,-28521.3,False,True,True,False,,True,False,False,False,,False,True,True,False,False,True,False,True,False,True,True,True,True,True,False,,False,False,,False,False,True,,False,True,False
New Hampshire,10995,8414.0,17920.5,8353.7,9507.0,9337.0,,8160.6,16097.0,5894.9,10434.2,,10164.1,10473.0,9473.0,9784.2,12157.6,11308.0,8633.2,9171.5,13245.3,9872.0,9506.5,9969.3,10147.5,9185.0,10048.0,,10644.7,13933.5,,9508.9,9195.5,7604.8,,9527.0,10054.6,1653.4,-2581.0,6925.5,-2641.3,-1488.0,-1658.0,,-2834.4,5102.0,-5100.1,-560.8,,-830.9,-522.0,-1522.0,-1210.8,1162.6,313.0,-2361.8,-1823.5,2250.3,-1123.0,-1488.5,-1025.7,-847.5,-1810.0,-947.0,,-350.3,2938.5,,-1486.1,-1799.5,-3390.2,,-1468.0,-940.4,-9341.6,False,False,True,True,,False,False,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,False,,True,True,False
New Jersey,74565,64866.0,74556.0,65654.7,72190.0,71068.0,,65553.0,105959.0,77780.4,65513.3,,81843.3,56825.0,64394.0,75159.0,67603.2,60688.0,56505.8,72742.5,78433.1,66877.0,78701.9,76113.2,76965.5,69920.0,70684.0,,97094.5,105598.0,,89455.3,94616.5,74514.4,,68474.0,102390.0,11423.3,-9699.0,-9.0,-8910.3,-2375.0,-3497.0,,-9012.0,31394.0,3215.4,-9051.7,,7278.3,-17740.0,-10171.0,594.0,-6961.8,-13877.0,-18059.2,-1822.5,3868.1,-7688.0,4136.9,1548.2,2400.5,-4645.0,-3881.0,,22529.5,31033.0,,14890.3,20051.5,-50.6,,-6091.0,27825.0,-63141.7,True,True,True,True,,True,False,True,True,,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,,False,False,,False,False,True,,True,False,False
New Mexico,22074,25748.0,30490.3,27081.3,26003.0,20506.0,,30343.4,33268.0,31468.0,30450.9,,26368.3,31692.0,25046.0,36960.0,25394.6,27250.0,17781.3,34357.5,22337.2,20770.0,23927.4,24408.0,25236.2,24983.0,22050.0,,18489.8,15397.6,,26093.4,54626.6,27084.1,,21277.0,30093.5,8915.2,3674.0,8416.3,5007.3,3929.0,-1568.0,,8269.4,11194.0,9394.0,8376.9,,4294.3,9618.0,2972.0,14886.0,3320.6,5176.0,-4292.7,12283.5,263.2,-1304.0,1853.4,2334.0,3162.2,2909.0,-24.0,,-3584.2,-6676.4,,4019.4,32552.6,5010.1,,-797.0,8019.5,-13158.8,False,False,False,True,,False,False,False,False,,False,False,True,False,True,False,False,False,True,True,True,True,True,True,True,,True,False,,False,False,False,,True,False,False
New York,143095,123374.0,130753.3,123488.8,146233.0,155712.0,,137575.0,191621.0,118160.1,184397.8,,191422.3,101277.0,115550.0,125863.7,217703.8,143430.0,127040.8,132582.0,179964.3,174758.5,173063.3,139937.3,145309.6,152583.0,148192.0,,186817.8,104393.4,,124572.0,143917.4,127487.0,,145406.0,161908.3,24399.5,-19721.0,-12341.7,-19606.2,3138.0,12617.0,,-5520.0,48526.0,-24934.9,41302.8,,48327.3,-41818.0,-27545.0,-17231.3,74608.8,335.0,-16054.2,-10513.0,36869.3,31663.5,29968.3,-3157.7,2214.6,9488.0,5097.0,,43722.8,-38701.6,,-18523.0,822.4,-15608.0,,2311.0,18813.3,-118695.5,True,True,True,True,,True,False,False,False,,False,False,False,True,False,True,True,True,False,False,False,True,True,True,True,,False,False,,True,True,True,,True,True,False
North Carolina,83716,61188.0,75593.2,62229.2,68607.0,67504.0,,58464.2,59409.0,61633.7,52859.8,,82536.3,66693.0,69619.0,74248.0,66737.0,63257.0,47348.6,60041.0,73966.2,76341.0,85469.5,74986.4,77084.2,77626.0,70452.0,,82015.5,58893.5,,56763.8,77692.4,66939.1,,78395.0,70906.0,11237.8,-22528.0,-8122.8,-21486.8,-15109.0,-16212.0,,-25251.8,-24307.0,-22082.3,-30856.2,,-1179.7,-17023.0,-14097.0,-9468.0,-16979.0,-20459.0,-36367.4,-23675.0,-9749.8,-7375.0,1753.5,-8729.6,-6631.8,-6090.0,-13264.0,,-1700.5,-24822.5,,-26952.2,-6023.6,-16776.9,,-5321.0,-12810.0,-72478.2,True,True,True,True,,False,False,True,False,,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,False,,False,True,True,,True,True,False
North Dakota,7280,9138.0,8281.4,8945.0,7443.0,4788.0,,10560.3,7800.0,8556.9,4736.3,,6157.7,9174.0,9895.0,11785.8,4895.1,9542.0,4485.3,6726.5,6585.7,4859.5,7339.0,8961.3,8225.2,6415.0,8957.0,,3837.0,10681.9,,6419.3,25100.0,9322.9,,6813.0,10539.8,1521.8,1858.0,1001.4,1665.0,163.0,-2492.0,,3280.3,520.0,1276.9,-2543.7,,-1122.3,1894.0,2615.0,4505.8,-2384.9,2262.0,-2794.7,-553.5,-694.3,-2420.5,59.0,1681.3,945.2,-865.0,1677.0,,-3443.0,3401.9,,-860.7,17820.0,2042.9,,-467.0,3259.8,-5758.2,True,True,True,False,,False,True,True,False,,True,False,False,False,False,False,False,True,True,False,True,True,True,True,True,,False,False,,True,False,False,,True,False,False
Ohio,146997,121458.0,172750.7,116400.8,127614.0,116077.0,,139077.5,222966.0,117595.0,154015.3,,138001.3,166699.0,129344.0,156785.0,129809.8,119168.0,86939.7,140339.0,133136.8,108001.0,126459.0,131911.6,131646.8,136669.0,120825.0,,134105.8,104001.4,,133572.0,214281.7,125238.7,88131.0,116326.0,161491.1,26351.9,-25539.0,25753.7,-30596.2,-19383.0,-30920.0,,-7919.5,75969.0,-29402.0,7018.3,,-8995.7,19702.0,-17653.0,9788.0,-17187.2,-27829.0,-60057.3,-6658.0,-13860.2,-38996.0,-20538.0,-15085.4,-15350.2,-10328.0,-26172.0,,-12891.2,-42995.6,,-13425.0,67284.7,-21758.3,-58866.0,-30671.0,14494.1,-120645.1,False,False,True,False,,True,False,False,True,,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,,True,False,,True,False,True,False,False,True,False
Oklahoma,42623,38842.0,60811.8,37725.6,41522.0,37146.0,,46529.8,82141.0,34432.4,66863.5,,43520.4,47829.0,46949.0,45916.0,36421.3,37731.0,21917.4,46407.5,34511.4,35839.5,42329.5,43566.1,44284.7,47188.0,36382.0,,56657.5,22008.1,,41801.3,71982.8,44258.7,,43020.0,54325.9,8420.9,-3781.0,18188.8,-4897.4,-1101.0,-5477.0,,3906.8,39518.0,-8190.6,24240.5,,897.4,5206.0,4326.0,3293.0,-6201.7,-4892.0,-20705.6,3784.5,-8111.6,-6783.5,-293.5,943.1,1661.7,4565.0,-6241.0,,14034.5,-20614.9,,-821.7,29359.8,1635.7,,397.0,11702.9,-34202.1,False,False,True,False,,False,False,False,False,,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,,False,False,,True,False,True,,True,False,False
Oregon,18571,21474.0,35819.2,21444.8,23389.0,23818.0,,21700.9,30131.0,15772.5,24267.9,,26211.7,25666.0,22030.0,26725.9,28034.1,25318.0,19396.6,23504.5,33686.5,23102.0,22615.6,25097.3,24949.7,26428.0,22693.0,,17286.4,12292.7,,25380.4,29143.7,26371.2,,23053.0,27082.1,4392.6,2903.0,17248.2,2873.8,4818.0,5247.0,,3129.9,11560.0,-2798.5,5696.9,,7640.7,7095.0,3459.0,8154.9,9463.1,6747.0,825.6,4933.5,15115.5,4531.0,4044.6,6526.3,6378.7,7857.0,4122.0,,-1284.6,-6278.3,,6809.4,10572.7,7800.2,,4482.0,8511.1,-14178.4,False,True,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,,False,False,False,,False,False,False
Pennsylvania,137260,119380.0,153993.6,118471.4,138074.0,141680.0,,118823.8,194721.0,126654.6,160885.5,,155314.6,143884.0,116962.0,135512.8,149831.8,110432.0,103600.5,134212.0,197072.1,141258.5,140982.9,117931.5,122646.5,139320.0,128195.0,,196577.3,151523.8,,112161.8,167894.0,113543.7,139044.8,138145.0,178454.8,22849.9,-17880.0,16733.6,-18788.6,814.0,4420.0,,-18436.2,57461.0,-10605.4,23625.5,,18054.6,6624.0,-20298.0,-1747.2,12571.8,-26828.0,-33659.5,-3048.0,59812.1,3998.5,3722.9,-19328.5,-14613.5,2060.0,-9065.0,,59317.3,14263.8,,-25098.2,30634.0,-23716.3,1784.8,885.0,41194.8,-114410.1,True,False,True,True,,False,False,True,False,,False,True,False,True,True,False,False,True,False,True,True,False,True,True,True,,False,True,,False,False,False,True,True,False,False
Rhode Island,15675,16366.0,17989.1,16116.2,15850.0,10652.0,,14888.1,14536.0,315216.1,8483.4,,11105.5,16561.0,17086.0,18354.4,19615.8,18654.0,8732.5,15142.0,24177.2,14878.0,14368.6,16322.9,16711.4,14405.0,17205.0,,16010.8,17081.6,,15065.2,20932.9,11851.6,,13398.0,15248.4,2342.0,691.0,2314.1,441.2,175.0,-5023.0,,-786.9,-1139.0,299541.1,-7191.6,,-4569.5,886.0,1411.0,2679.4,3940.8,2979.0,-6942.5,-533.0,8502.2,-797.0,-1306.4,647.9,1036.4,-1270.0,1530.0,,335.8,1406.6,,-609.8,5257.9,-3823.4,,-2277.0,-426.6,-13333.0,False,True,True,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,True,False,,True,False,False,,False,True,False
South Carolina,41302,28648.0,33092.5,28561.0,31665.0,32850.0,,23628.7,36962.0,27899.5,38331.7,,37512.8,29824.0,31721.0,29374.4,25900.6,30895.0,20122.7,25252.5,32981.7,35574.0,39711.3,35570.8,35429.7,37109.0,35834.0,,48131.4,28733.3,,32013.5,32172.5,39956.7,,37314.0,31805.4,3721.8,-12654.0,-8209.5,-12741.0,-9637.0,-8452.0,,-17673.3,-4340.0,-13402.5,-2970.3,,-3789.2,-11478.0,-9581.0,-11927.6,-15401.4,-10407.0,-21179.3,-16049.5,-8320.3,-5728.0,-1590.7,-5731.2,-5872.3,-4193.0,-5468.0,,6829.4,-12568.7,,-9288.5,-9129.5,-1345.3,,-3988.0,-9496.6,-37580.2,True,False,True,True,,False,True,False,True,,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,,True,True,,True,True,True,,True,True,False
South Dakota,9032,12410.0,11903.5,12434.2,11618.0,7611.0,,12219.1,12089.0,9454.9,9955.0,,9589.9,12861.0,12275.0,13897.5,8810.3,13336.0,5280.8,9875.5,10542.1,8677.5,10547.2,11956.0,11265.0,10861.0,12473.0,,14620.0,9785.7,,16094.1,23850.6,13699.2,,10338.0,13898.8,1491.5,3378.0,2871.5,3402.2,2586.0,-1421.0,,3187.1,3057.0,422.9,923.0,,557.9,3829.0,3243.0,4865.5,-221.7,4304.0,-3751.2,843.5,1510.1,-354.5,1515.2,2924.0,2233.0,1829.0,3441.0,,5588.0,753.7,,7062.1,14818.6,4667.2,,1306.0,4866.8,-7540.5,True,False,True,True,,True,True,True,True,,True,False,True,False,True,False,False,True,True,True,True,True,True,True,False,,False,True,,False,False,False,,True,False,False
Tennessee,106129,68112.0,55162.0,68986.3,69111.0,68176.0,,67102.5,68426.0,70874.6,67114.0,,65268.6,75629.0,70410.0,73018.3,67263.3,84662.0,38645.1,73594.0,83999.6,61448.0,59342.7,58720.9,60597.3,78617.0,75086.0,,69118.2,60105.1,,67528.7,92708.2,72650.5,,67312.0,80580.9,8395.4,-38017.0,-50967.0,-37142.7,-37018.0,-37953.0,,-39026.5,-37703.0,-35254.4,-39015.0,,-40860.4,-30500.0,-35719.0,-33110.7,-38865.7,-21467.0,-67483.9,-32535.0,-22129.4,-44681.0,-46786.3,-47408.1,-45531.7,-27512.0,-31043.0,,-37010.8,-46023.9,,-38600.3,-13420.8,-33478.5,,-38817.0,-25548.1,-97733.6,False,True,True,True,,False,True,True,False,,False,True,True,True,False,True,False,True,True,False,False,False,False,True,True,,True,False,,False,True,True,,False,True,False
Texas,210278,196132.0,191928.4,203475.2,201685.0,274276.0,,168050.9,231048.0,237204.5,171345.8,,179706.5,193087.0,171617.0,220439.1,254467.0,143060.0,150100.7,166492.0,212113.2,203059.5,196702.5,161117.4,165780.8,190800.0,225408.0,,220753.0,224690.2,,215198.1,215590.4,254416.2,,204125.0,206485.5,26305.6,-14146.0,-18349.6,-6802.8,-8593.0,63998.0,,-42227.1,20770.0,26926.5,-38932.2,,-30571.5,-17191.0,-38661.0,10161.1,44189.0,-67218.0,-60177.3,-43786.0,1835.2,-7218.5,-13575.5,-49160.6,-44497.2,-19478.0,15130.0,,10475.0,14412.2,,4920.1,5312.4,44138.2,,-6153.0,-3792.5,-183972.4,False,True,True,False,,False,False,False,False,,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,,True,False,,True,True,False,,True,True,False
Utah,36126,41514.0,33075.1,39712.0,40510.0,39075.0,,42569.7,63560.0,31734.7,35387.3,,39237.8,48761.0,41243.0,57464.7,31848.3,36607.0,23795.0,37007.0,41324.1,32298.5,40990.6,40959.8,40838.7,39315.0,41101.0,,64370.6,37356.6,,41523.5,64780.4,32005.8,,40495.0,36767.2,5546.3,5388.0,-3050.9,3586.0,4384.0,2949.0,,6443.7,27434.0,-4391.3,-738.7,,3111.8,12635.0,5117.0,21338.7,-4277.7,481.0,-12331.0,881.0,5198.1,-3827.5,4864.6,4833.8,4712.7,3189.0,4975.0,,28244.6,1230.6,,5397.5,28654.4,-4120.2,,4369.0,641.2,-30579.7,True,True,True,True,,False,False,True,True,,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,,False,True,,False,False,True,,True,True,False
Vermont,1449,1722.0,2841.1,1793.1,1917.0,2803.0,,1452.1,4431.0,1374.7,2607.6,,1794.6,2372.0,1686.0,1992.8,2119.1,2175.0,1227.2,1554.0,3080.5,1553.0,1862.0,2122.2,2146.8,1958.0,2370.0,,2627.3,2770.8,,2591.1,2001.8,2084.4,,1903.0,1754.8,318.2,273.0,1392.1,344.1,468.0,1354.0,,3.1,2982.0,-74.3,1158.6,,345.6,923.0,237.0,543.8,670.1,726.0,-221.8,105.0,1631.5,104.0,413.0,673.2,697.8,509.0,921.0,,1178.3,1321.8,,1142.1,552.8,635.4,,454.0,305.8,-1130.8,False,False,False,False,,True,False,True,False,,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Virginia,51799,35112.0,35185.1,35473.0,39877.0,34410.0,,39733.4,39904.0,47368.9,49951.7,,49950.5,37264.0,36566.0,46964.6,42890.0,36277.0,31116.6,37145.0,50074.5,51796.0,53488.2,46629.2,47158.1,44491.0,41401.0,,38768.4,30805.5,,35681.4,50137.1,48623.5,,41306.0,41531.0,9868.3,-16687.0,-16613.9,-16326.0,-11922.0,-17389.0,,-12065.6,-11895.0,-4430.1,-1847.3,,-1848.5,-14535.0,-15233.0,-4834.4,-8909.0,-15522.0,-20682.4,-14654.0,-1724.5,-3.0,1689.2,-5169.8,-4640.9,-7308.0,-10398.0,,-13030.6,-20993.5,,-16117.6,-1661.9,-3175.5,,-10493.0,-10268.0,-41930.7,True,True,True,False,,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,False,,True,True,True,,True,True,False
Washington,39519,30318.0,70516.1,30279.0,31657.0,26867.0,,39265.9,79928.0,30887.5,18534.8,,28615.0,34333.0,27597.0,42873.3,42031.7,36833.0,32735.3,45464.5,35935.2,15543.5,30834.2,36965.3,37848.0,36803.0,29458.0,,16491.8,58145.8,,41586.0,64910.5,37273.2,,25311.0,38139.7,,-9201.0,30997.1,-9240.0,-7862.0,-12652.0,,-253.1,40409.0,-8631.5,-20984.2,,-10904.0,-5186.0,-11922.0,3354.3,2512.7,-2686.0,-6783.7,5945.5,-3583.8,-23975.5,-8684.8,-2553.7,-1671.0,-2716.0,-10061.0,,-23027.2,18626.8,,2067.0,25391.5,-2245.8,,-14208.0,-1379.3,,False,False,True,False,,True,False,True,False,,False,True,False,True,True,True,True,True,True,False,True,True,True,True,False,,False,False,,True,False,True,,False,True,
West Virginia,17643,15454.0,15289.2,15887.2,16971.0,14642.0,,15190.9,24385.0,13484.6,16040.1,,20058.6,17480.0,14823.0,18275.3,17267.0,16357.0,8695.5,16061.0,24370.1,16547.0,18240.7,16993.6,17141.1,17489.0,16714.0,,18012.1,12974.0,,18757.9,22077.0,17365.8,,18099.0,17925.9,3034.5,-2189.0,-2353.8,-1755.8,-672.0,-3001.0,,-2452.1,6742.0,-4158.4,-1602.9,,2415.6,-163.0,-2820.0,632.3,-376.0,-1286.0,-8947.5,-1582.0,6727.1,-1096.0,597.7,-649.4,-501.9,-154.0,-929.0,,369.1,-4669.0,,1114.9,4434.0,-277.2,,456.0,282.9,-14608.5,False,True,True,False,,False,False,False,True,,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,,True,False,,True,False,True,,True,True,False
Wisconsin,52761,65838.0,76771.7,64875.0,59357.0,49914.0,,64325.7,51787.0,59455.3,46924.0,,48161.6,69134.0,54292.0,68252.0,39770.5,54997.0,35483.2,57011.0,51405.9,43220.0,60394.3,57198.0,54546.5,53900.0,68326.0,,73010.5,40189.7,,62732.2,128927.3,62611.6,67660.5,49947.0,76044.3,8481.0,13077.0,24010.7,12114.0,6596.0,-2847.0,,11564.7,-974.0,6694.3,-5837.0,,-4599.4,16373.0,1531.0,15491.0,-12990.5,2236.0,-17277.8,4250.0,-1355.1,-9541.0,7633.3,4437.0,1785.5,1139.0,15565.0,,20249.5,-12571.3,,9971.2,76166.3,9850.6,14899.5,-2814.0,23283.3,-44280.0,False,True,True,True,,True,True,True,True,,True,False,True,False,True,True,False,True,True,True,True,True,True,True,False,,False,True,,True,False,True,False,True,False,False
Wyoming,5547,7876.0,9759.9,8127.3,7445.0,6792.0,,8447.0,11819.0,5197.0,3301.3,,5542.3,8918.0,7859.0,8696.6,6155.4,9527.0,2962.1,7582.0,4521.6,4608.0,6215.8,8294.9,8103.9,6474.0,7283.0,,3118.4,13787.5,,7580.0,17290.3,8373.4,,5851.0,9580.6,1338.3,2329.0,4212.9,2580.3,1898.0,1245.0,,2900.0,6272.0,-350.0,-2245.7,,-4.7,3371.0,2312.0,3149.6,608.4,3980.0,-2584.9,2035.0,-1025.4,-939.0,668.8,2747.9,2556.9,927.0,1736.0,,-2428.6,8240.5,,2033.0,11743.3,2826.4,,304.0,4033.6,-4208.7,False,False,True,True,,False,False,True,True,,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,,False,False,,True,False,False,,True,False,False
US,3033545,2673272.0,3235947.0,2686972.4,2903966.0,2874730.0,3442340.0,2791969.0,3595301.0,3668818.1,,3041298.0,3022931.5,2883229.0,2710143.0,3048000.3,2982978.8,2583351.0,1940732.9,,3178071.9,2914414.0,2813004.1,2665880.5,2708637.2,2869281.0,3746401.0,2639594.0,3589458.5,2235962.2,2868379.0,2893125.9,,2879713.7,3017287.6,2780648.0,3226686.3,,-360273.0,202402.0,-346572.6,-129579.0,-158815.0,408795.0,-241576.0,561756.0,635273.1,,7753.0,-10613.5,-150316.0,-323402.0,14455.3,-50566.2,-450194.0,-1092812.1,,144526.9,-119131.0,-220540.9,-367664.5,-324907.8,-164264.0,712856.0,-393951.0,555913.5,-797582.8,-165166.0,-140419.1,,-153831.3,-16257.4,-252897.0,193141.3,,True,True,True,True,False,True,False,False,,True,True,True,True,True,True,False,False,,True,True,True,False,True,True,False,False,False,False,True,True,,True,True,True,True,
