,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
18077,1327,636.0,,1453.0,,,,,489.0,,2228.4,1280.0,,379.0,-691.0,,126.0,,,,,-838.0,,901.4,-47.0,,-948.0,,True,,,,,False,,False,True,,False
18079,1013,540.0,,2090.0,,,,,454.0,,1261.5,848.0,,503.0,-473.0,,1077.0,,,,,-559.0,,248.5,-165.0,,-510.0,,False,,,,,False,,True,True,,False
18081,6375,2928.0,,5367.0,,,,,2635.0,,5090.6,5034.5,2620.7,1725.0,-3447.0,,-1008.0,,,,,-3740.0,,-1284.4,-1340.5,-3754.3,-4650.0,,True,,,,,False,,True,True,False,False
18083,1552,1116.0,,1472.0,,,,,801.0,,1599.1,1350.0,,446.0,-436.0,,-80.0,,,,,-751.0,,47.1,-202.0,,-1106.0,,True,,,,,False,,True,True,,False
18085,3519,2916.0,,3312.0,,,,,2115.0,,5293.1,3945.0,1975.6,925.0,-603.0,,-207.0,,,,,-1404.0,,1774.1,426.0,-1543.4,-2594.0,,True,,,,,False,,False,True,False,False
18087,900,762.0,,1549.0,,,,,1424.0,,1074.2,818.0,,590.0,-138.0,,649.0,,,,,524.0,,174.2,-82.0,,-310.0,,False,,,,,False,,False,True,,False
18089,18211,15990.0,,24190.0,,,,,9963.0,,25023.3,24830.0,10045.3,5498.0,-2221.0,,5979.0,,,,,-8248.0,,6812.3,6619.0,-8165.7,-12713.0,,False,,,,,False,,False,False,False,False
18091,3568,2706.0,,5603.0,,,,,2970.0,,4098.3,4159.0,1909.3,1379.0,-862.0,,2035.0,,,,,-598.0,,530.3,591.0,-1658.7,-2189.0,,False,,,,,True,,True,True,False,False
18093,1558,936.0,,609.0,,,,,788.0,,1438.1,1359.0,795.3,429.0,-622.0,,-949.0,,,,,-770.0,,-119.9,-199.0,-762.7,-1129.0,,False,,,,,False,,True,True,False,False
18095,4607,2490.0,,3050.0,,,,,2601.0,,2725.1,3234.5,2122.1,1285.0,-2117.0,,-1557.0,,,,,-2006.0,,-1881.9,-1372.5,-2484.9,-3322.0,,True,,,,,True,,True,True,False,False
18097,33001,15276.0,,24145.0,,,,,14372.0,,10002.5,25088.5,8059.6,9733.0,-17725.0,,-8856.0,,,,,-18629.0,,-22998.5,-7912.5,-24941.4,-23268.0,,True,,,,,False,,False,True,False,False
18099,2280,1854.0,,2634.0,,,,,1319.0,,2801.2,2647.0,856.2,473.0,-426.0,,354.0,,,,,-961.0,,521.2,367.0,-1423.8,-1807.0,,True,,,,,False,,False,True,False,False
18101,266,174.0,,52.0,,,,,141.0,,190.0,127.0,,167.0,-92.0,,-214.0,,,,,-125.0,,-76.0,-139.0,,-99.0,,False,,,,,False,,True,False,,False
18103,1521,984.0,,1408.0,,,,,914.0,,1953.2,1530.0,,484.0,-537.0,,-113.0,,,,,-607.0,,432.2,9.0,,-1037.0,,True,,,,,False,,True,True,,False
18105,3556,1908.0,,4603.0,,,,,1965.0,,1724.7,3113.5,1583.8,737.0,-1648.0,,1047.0,,,,,-1591.0,,-1831.3,-442.5,-1972.2,-2819.0,,True,,,,,True,,False,True,False,False
18107,1621,732.0,,3588.0,,,,,602.0,,1780.6,2346.0,,459.0,-889.0,,1967.0,,,,,-1019.0,,159.6,725.0,,-1162.0,,False,,,,,False,,True,True,,False
18109,2429,1314.0,,4487.0,,,,,1173.0,,2153.9,2036.5,1075.8,1097.0,-1115.0,,2058.0,,,,,-1256.0,,-275.1,-392.5,-1353.2,-1332.0,,False,,,,,False,,True,True,False,False
18111,426,516.0,,236.0,,,,,259.0,,1601.5,806.0,,274.0,90.0,,-190.0,,,,,-167.0,,1175.5,380.0,,-152.0,,False,,,,,False,,False,False,,False
18113,2086,1368.0,,2013.0,,,,,1212.0,,2178.1,2063.0,953.3,587.0,-718.0,,-73.0,,,,,-874.0,,92.1,-23.0,-1132.7,-1499.0,,True,,,,,False,,True,True,False,False
18115,172,78.0,,113.0,,,,,73.0,,157.7,49.0,,27.0,-94.0,,-59.0,,,,,-99.0,,-14.3,-123.0,,-145.0,,True,,,,,False,,True,False,,False
18117,551,270.0,,438.0,,,,,331.0,,499.3,300.0,,214.0,-281.0,,-113.0,,,,,-220.0,,-51.7,-251.0,,-337.0,,True,,,,,True,,True,True,,False
18119,796,534.0,,1918.0,,,,,284.0,,1746.3,915.0,,457.0,-262.0,,1122.0,,,,,-512.0,,950.3,119.0,,-339.0,,False,,,,,False,,False,True,,False
18121,730,360.0,,299.0,,,,,281.0,,429.5,396.0,,235.0,-370.0,,-431.0,,,,,-449.0,,-300.5,-334.0,,-495.0,,False,,,,,False,,True,True,,False
18123,455,912.0,,1330.0,,,,,255.0,,4651.0,1665.0,,258.0,457.0,,875.0,,,,,-200.0,,4196.0,1210.0,,-197.0,,False,,,,,True,,False,False,,True
18125,383,144.0,,138.0,,,,,177.0,,230.3,189.0,,40.0,-239.0,,-245.0,,,,,-206.0,,-152.7,-194.0,,-343.0,,False,,,,,True,,True,True,,False
18127,6618,5550.0,,7653.0,,,,,3821.0,,14018.1,9412.0,4413.7,7617.0,-1068.0,,1035.0,,,,,-2797.0,,7400.1,2794.0,-2204.3,999.0,,True,,,,,False,,False,False,False,True
18129,739,510.0,,486.0,,,,,320.0,,962.6,506.0,,0.0,-229.0,,-253.0,,,,,-419.0,,223.6,-233.0,,-739.0,,False,,,,,False,,True,False,,False
18131,491,306.0,,334.0,,,,,269.0,,661.9,579.0,,199.0,-185.0,,-157.0,,,,,-222.0,,170.9,88.0,,-292.0,,True,,,,,False,,True,True,,False
18133,1227,438.0,,850.0,,,,,592.0,,662.2,574.0,,252.0,-789.0,,-377.0,,,,,-635.0,,-564.8,-653.0,,-975.0,,True,,,,,True,,True,True,,False
18135,1063,942.0,,1509.0,,,,,573.0,,4104.1,1782.5,,326.0,-121.0,,446.0,,,,,-490.0,,3041.1,719.5,,-737.0,,False,,,,,False,,False,False,,False
18137,1479,834.0,,1576.0,,,,,493.0,,2343.9,1296.5,,424.0,-645.0,,97.0,,,,,-986.0,,864.9,-182.5,,-1055.0,,True,,,,,False,,False,True,,False
18139,630,390.0,,801.0,,,,,321.0,,998.9,624.5,,131.0,-240.0,,171.0,,,,,-309.0,,368.9,-5.5,,-499.0,,True,,,,,False,,False,True,,False
18141,10843,7944.0,,9683.0,,,,,7712.0,,10452.6,12052.0,4966.9,10354.0,-2899.0,,-1160.0,,,,,-3131.0,,-390.4,1209.0,-5876.1,-489.0,,True,,,,,False,,True,True,False,True
18143,1074,318.0,,485.0,,,,,421.0,,599.1,475.0,,188.0,-756.0,,-589.0,,,,,-653.0,,-474.9,-599.0,,-886.0,,True,,,,,True,,True,True,,False
18145,1791,1200.0,,2701.0,,,,,854.0,,2315.0,2096.0,633.3,593.0,-591.0,,910.0,,,,,-937.0,,524.0,305.0,-1157.7,-1198.0,,False,,,,,False,,True,True,False,False
18147,710,450.0,,543.0,,,,,186.0,,887.0,651.0,,106.0,-260.0,,-167.0,,,,,-524.0,,177.0,-59.0,,-604.0,,True,,,,,False,,True,True,,False
18149,787,666.0,,1040.0,,,,,663.0,,1691.1,588.0,,262.0,-121.0,,253.0,,,,,-124.0,,904.1,-199.0,,-525.0,,False,,,,,False,,False,False,,False
18151,1405,756.0,,1128.0,,,,,1071.0,,1547.0,1084.0,,421.0,-649.0,,-277.0,,,,,-334.0,,142.0,-321.0,,-984.0,,True,,,,,True,,True,True,,False
18153,955,234.0,,322.0,,,,,379.0,,378.6,265.0,,110.0,-721.0,,-633.0,,,,,-576.0,,-576.4,-690.0,,-845.0,,True,,,,,True,,True,True,,False
18155,272,264.0,,572.0,,,,,141.0,,302.3,263.0,,231.0,-8.0,,300.0,,,,,-131.0,,30.3,-9.0,,-41.0,,False,,,,,False,,False,False,,False
18157,8098,5238.0,,9442.0,,,,,3263.0,,9381.3,8880.0,4133.8,6187.0,-2860.0,,1344.0,,,,,-4835.0,,1283.3,782.0,-3964.2,-1911.0,,True,,,,,False,,True,True,False,True
18159,586,294.0,,403.0,,,,,288.0,,501.9,426.0,,228.0,-292.0,,-183.0,,,,,-298.0,,-84.1,-160.0,,-358.0,,True,,,,,False,,True,True,,False
18161,257,192.0,,311.0,,,,,98.0,,374.3,162.0,,228.0,-65.0,,54.0,,,,,-159.0,,117.3,-95.0,,-29.0,,True,,,,,False,,False,False,,True
18163,6301,3906.0,,4165.0,,,,,3065.0,,4220.6,3326.0,4879.6,2061.0,-2395.0,,-2136.0,,,,,-3236.0,,-2080.4,-2975.0,-1421.4,-4240.0,,True,,,,,False,,True,False,True,False
18165,705,288.0,,342.0,,,,,284.0,,622.5,261.5,,148.0,-417.0,,-363.0,,,,,-421.0,,-82.5,-443.5,,-557.0,,True,,,,,False,,True,False,,False
18167,4882,2862.0,,5336.0,,,,,2073.0,,4285.3,4700.5,1433.5,779.0,-2020.0,,454.0,,,,,-2809.0,,-596.7,-181.5,-3448.5,-4103.0,,True,,,,,False,,True,True,False,False
18169,1665,1254.0,,2146.0,,,,,690.0,,5298.0,2885.5,,515.0,-411.0,,481.0,,,,,-975.0,,3633.0,1220.5,,-1150.0,,False,,,,,False,,False,False,,False
18171,299,168.0,,233.0,,,,,130.0,,743.8,146.0,,105.0,-131.0,,-66.0,,,,,-169.0,,444.8,-153.0,,-194.0,,True,,,,,False,,False,False,,False
18173,2129,1506.0,,1864.0,,,,,916.0,,1603.2,1470.0,1381.7,1391.0,-623.0,,-265.0,,,,,-1213.0,,-525.8,-659.0,-747.3,-738.0,,True,,,,,False,,True,False,False,False
18175,772,270.0,,466.0,,,,,400.0,,522.9,351.0,,158.0,-502.0,,-306.0,,,,,-372.0,,-249.1,-421.0,,-614.0,,True,,,,,True,,True,True,,False
18177,2738,1602.0,,1055.0,,,,,1412.0,,4725.5,2313.0,1572.2,565.0,-1136.0,,-1683.0,,,,,-1326.0,,1987.5,-425.0,-1165.8,-2173.0,,False,,,,,False,,False,True,False,False
18179,1105,804.0,,1254.0,,,,,732.0,,1669.1,1656.5,,428.0,-301.0,,149.0,,,,,-373.0,,564.1,551.5,,-677.0,,True,,,,,False,,False,False,,False
18181,1223,618.0,,1236.0,,,,,515.0,,1082.8,962.0,,260.0,-605.0,,13.0,,,,,-708.0,,-140.2,-261.0,,-963.0,,True,,,,,False,,True,True,,False
18183,1491,984.0,,2153.0,,,,,810.0,,2655.1,1435.5,,593.0,-507.0,,662.0,,,,,-681.0,,1164.1,-55.5,,-898.0,,False,,,,,False,,False,True,,False
19001,278,276.0,,314.0,,,,,169.0,,1356.2,361.0,,103.0,-2.0,,36.0,,,,,-109.0,,1078.2,83.0,,-175.0,,False,,,,,False,,False,False,,False
19003,133,60.0,,38.0,,,,,60.0,,93.6,64.0,,36.0,-73.0,,-95.0,,,,,-73.0,,-39.4,-69.0,,-97.0,,False,,,,,False,,True,True,,False
19005,600,354.0,,465.0,,,,,535.0,,893.4,602.0,,171.0,-246.0,,-135.0,,,,,-65.0,,293.4,2.0,,-429.0,,True,,,,,True,,False,True,,False
19007,537,624.0,,997.0,,,,,398.0,,2272.8,1332.0,,303.0,87.0,,460.0,,,,,-139.0,,1735.8,795.0,,-234.0,,False,,,,,False,,False,False,,False
19009,118,204.0,,240.0,,,,,140.0,,1118.4,338.0,,74.0,86.0,,122.0,,,,,22.0,,1000.4,220.0,,-44.0,,False,,,,,True,,False,False,,True
19011,996,1350.0,,1554.0,,,,,856.0,,3855.9,2740.0,,0.0,354.0,,558.0,,,,,-140.0,,2859.9,1744.0,,-996.0,,False,,,,,True,,False,False,,False
19013,4781,6606.0,,10792.0,,,,,5093.0,,10505.6,11871.5,2565.5,590.0,1825.0,,6011.0,,,,,312.0,,5724.6,7090.5,-2215.5,-4191.0,,False,,,,,True,,False,False,False,False
19015,826,684.0,,913.0,,,,,881.0,,1212.6,1095.0,,454.0,-142.0,,87.0,,,,,55.0,,386.6,269.0,,-372.0,,True,,,,,True,,False,False,,False
19017,1138,1638.0,,2012.0,,,,,866.0,,3961.9,3009.5,,77.0,500.0,,874.0,,,,,-272.0,,2823.9,1871.5,,-1061.0,,False,,,,,True,,False,False,,False
19019,698,822.0,,1076.0,,,,,792.0,,2587.0,1728.5,,254.0,124.0,,378.0,,,,,94.0,,1889.0,1030.5,,-444.0,,False,,,,,True,,False,False,,False
19021,1041,870.0,,0.0,,,,,999.0,,703.9,1297.0,304.2,2769.0,-171.0,,-1041.0,,,,,-42.0,,-337.1,256.0,-736.8,1728.0,,False,,,,,True,,False,False,False,False
19023,639,720.0,,1115.0,,,,,422.0,,1577.2,1320.0,,264.0,81.0,,476.0,,,,,-217.0,,938.2,681.0,,-375.0,,False,,,,,False,,False,False,,False
19025,526,1716.0,,907.0,,,,,348.0,,1226.4,1452.0,,0.0,1190.0,,381.0,,,,,-178.0,,700.4,926.0,,-526.0,,True,,,,,True,,True,True,,True
19027,821,1140.0,,576.0,,,,,887.0,,1189.5,1296.5,668.2,0.0,319.0,,-245.0,,,,,66.0,,368.5,475.5,-152.8,-821.0,,True,,,,,True,,False,False,True,False
19029,413,600.0,,579.0,,,,,374.0,,2017.8,491.0,,150.0,187.0,,166.0,,,,,-39.0,,1604.8,78.0,,-263.0,,True,,,,,True,,False,True,,False
19031,667,636.0,,675.0,,,,,477.0,,1388.6,747.0,,267.0,-31.0,,8.0,,,,,-190.0,,721.6,80.0,,-400.0,,True,,,,,False,,False,False,,False
19033,2161,2376.0,,3516.0,,,,,1995.0,,4101.7,3982.0,1140.5,0.0,215.0,,1355.0,,,,,-166.0,,1940.7,1821.0,-1020.5,-2161.0,,False,,,,,True,,False,False,False,False
19035,631,426.0,,298.0,,,,,546.0,,856.6,557.0,,131.0,-205.0,,-333.0,,,,,-85.0,,225.6,-74.0,,-500.0,,False,,,,,True,,False,True,,False
19037,532,426.0,,211.0,,,,,434.0,,663.4,762.0,,194.0,-106.0,,-321.0,,,,,-98.0,,131.4,230.0,,-338.0,,False,,,,,True,,False,False,,False
19039,197,150.0,,168.0,,,,,227.0,,180.7,130.0,,68.0,-47.0,,-29.0,,,,,30.0,,-16.3,-67.0,,-129.0,,True,,,,,True,,True,False,,False
19041,787,642.0,,467.0,,,,,1035.0,,1094.7,883.0,,222.0,-145.0,,-320.0,,,,,248.0,,307.7,96.0,,-565.0,,False,,,,,False,,False,True,,False
19043,631,714.0,,1089.0,,,,,626.0,,3480.6,1330.5,,249.0,83.0,,458.0,,,,,-5.0,,2849.6,699.5,,-382.0,,False,,,,,True,,False,False,,False
19045,2016,1806.0,,1566.0,,,,,1577.0,,2703.4,3256.0,726.8,2584.0,-210.0,,-450.0,,,,,-439.0,,687.4,1240.0,-1289.2,568.0,,False,,,,,False,,False,False,False,False
19047,515,552.0,,408.0,,,,,772.0,,590.1,363.0,204.0,0.0,37.0,,-107.0,,,,,257.0,,75.1,-152.0,-311.0,-515.0,,False,,,,,False,,False,False,False,False
19049,3183,3534.0,,11850.0,,,,,2158.0,,3875.9,5523.0,1954.4,1173.0,351.0,,8667.0,,,,,-1025.0,,692.9,2340.0,-1228.6,-2010.0,,False,,,,,False,,False,False,False,False
19051,350,342.0,,268.0,,,,,214.0,,836.8,538.0,,199.0,-8.0,,-82.0,,,,,-136.0,,486.8,188.0,,-151.0,,False,,,,,False,,False,False,,False
19053,175,276.0,,274.0,,,,,152.0,,804.1,186.0,,0.0,101.0,,99.0,,,,,-23.0,,629.1,11.0,,-175.0,,True,,,,,True,,False,True,,False
19055,581,798.0,,389.0,,,,,724.0,,1483.4,941.0,,253.0,217.0,,-192.0,,,,,143.0,,902.4,360.0,,-328.0,,True,,,,,True,,False,False,,False
19057,1419,2100.0,,2376.0,,,,,2068.0,,3694.1,2744.5,1433.3,370.0,681.0,,957.0,,,,,649.0,,2275.1,1325.5,14.3,-1049.0,,False,,,,,True,,False,False,True,False
19059,702,618.0,,528.0,,,,,850.0,,950.1,950.5,,101.0,-84.0,,-174.0,,,,,148.0,,248.1,248.5,,-601.0,,False,,,,,False,,False,False,,False
19061,3584,5340.0,,6922.0,,,,,3645.0,,6836.1,7351.5,2004.2,109.0,1756.0,,3338.0,,,,,61.0,,3252.1,3767.5,-1579.8,-3475.0,,False,,,,,True,,False,False,True,False
19063,426,282.0,,254.0,,,,,411.0,,300.6,192.5,,41.0,-144.0,,-172.0,,,,,-15.0,,-125.4,-233.5,,-385.0,,False,,,,,True,,True,False,,False
19065,681,726.0,,948.0,,,,,850.0,,2721.7,1427.0,,443.0,45.0,,267.0,,,,,169.0,,2040.7,746.0,,-238.0,,False,,,,,False,,False,False,,False
19067,672,480.0,,419.0,,,,,572.0,,876.0,852.0,,271.0,-192.0,,-253.0,,,,,-100.0,,204.0,180.0,,-401.0,,False,,,,,True,,False,True,,False
19069,381,354.0,,86.0,,,,,339.0,,355.5,445.0,,861.0,-27.0,,-295.0,,,,,-42.0,,-25.5,64.0,,480.0,,False,,,,,False,,True,False,,False
19071,193,180.0,,173.0,,,,,142.0,,226.4,269.0,,0.0,-13.0,,-20.0,,,,,-51.0,,33.4,76.0,,-193.0,,False,,,,,False,,False,False,,False
19073,354,324.0,,329.0,,,,,223.0,,582.8,571.0,,223.0,-30.0,,-25.0,,,,,-131.0,,228.8,217.0,,-131.0,,True,,,,,False,,False,False,,False
19075,537,570.0,,712.0,,,,,369.0,,1389.7,1002.5,,216.0,33.0,,175.0,,,,,-168.0,,852.7,465.5,,-321.0,,False,,,,,False,,False,False,,False
19077,381,438.0,,279.0,,,,,260.0,,651.9,484.0,,119.0,57.0,,-102.0,,,,,-121.0,,270.9,103.0,,-262.0,,False,,,,,False,,False,False,,False
19079,820,426.0,,619.0,,,,,535.0,,475.1,655.0,,237.0,-394.0,,-201.0,,,,,-285.0,,-344.9,-165.0,,-583.0,,True,,,,,True,,True,True,,False
19081,574,720.0,,728.0,,,,,318.0,,2440.8,1133.0,,111.0,146.0,,154.0,,,,,-256.0,,1866.8,559.0,,-463.0,,False,,,,,False,,False,False,,False
19083,719,786.0,,794.0,,,,,586.0,,2004.3,1251.0,,0.0,67.0,,75.0,,,,,-133.0,,1285.3,532.0,,-719.0,,False,,,,,False,,False,False,,False
19085,523,432.0,,294.0,,,,,449.0,,803.2,355.0,,289.0,-91.0,,-229.0,,,,,-74.0,,280.2,-168.0,,-234.0,,False,,,,,True,,False,False,,False
19087,1098,786.0,,326.0,,,,,553.0,,1092.4,1238.0,648.9,0.0,-312.0,,-772.0,,,,,-545.0,,-5.6,140.0,-449.1,-1098.0,,False,,,,,False,,True,True,False,False
19089,338,204.0,,53.0,,,,,307.0,,209.1,144.0,,108.0,-134.0,,-285.0,,,,,-31.0,,-128.9,-194.0,,-230.0,,False,,,,,True,,True,False,,False
19091,446,396.0,,540.0,,,,,427.0,,1033.1,673.0,,92.0,-50.0,,94.0,,,,,-19.0,,587.1,227.0,,-354.0,,False,,,,,True,,False,False,,False
19093,358,366.0,,0.0,,,,,320.0,,1337.6,523.0,,94.0,8.0,,-358.0,,,,,-38.0,,979.6,165.0,,-264.0,,False,,,,,False,,False,False,,False
19095,518,642.0,,479.0,,,,,457.0,,1587.0,950.0,,299.0,124.0,,-39.0,,,,,-61.0,,1069.0,432.0,,-219.0,,True,,,,,True,,False,False,,False
19097,754,1278.0,,1181.0,,,,,636.0,,3102.8,2055.0,,0.0,524.0,,427.0,,,,,-118.0,,2348.8,1301.0,,-754.0,,True,,,,,True,,False,False,,False
19099,1162,1410.0,,3827.0,,,,,1128.0,,3173.5,2638.0,989.1,540.0,248.0,,2665.0,,,,,-34.0,,2011.5,1476.0,-172.9,-622.0,,False,,,,,True,,False,False,True,False
19101,562,432.0,,718.0,,,,,446.0,,1352.7,796.0,,370.0,-130.0,,156.0,,,,,-116.0,,790.7,234.0,,-192.0,,False,,,,,True,,False,False,,False
19103,3726,4110.0,,13206.0,,,,,3589.0,,4081.5,7143.5,2092.7,0.0,384.0,,9480.0,,,,,-137.0,,355.5,3417.5,-1633.3,-3726.0,,False,,,,,True,,True,False,False,False
19105,1212,4494.0,,3272.0,,,,,807.0,,8726.2,4635.5,,0.0,3282.0,,2060.0,,,,,-405.0,,7514.2,3423.5,,-1212.0,,True,,,,,True,,False,False,,True
19107,462,504.0,,846.0,,,,,332.0,,2814.2,850.0,,262.0,42.0,,384.0,,,,,-130.0,,2352.2,388.0,,-200.0,,False,,,,,False,,False,False,,False
19109,838,534.0,,358.0,,,,,570.0,,762.5,776.0,,454.0,-304.0,,-480.0,,,,,-268.0,,-75.5,-62.0,,-384.0,,False,,,,,True,,True,True,,False
19111,1423,1290.0,,1552.0,,,,,852.0,,2275.9,1942.0,686.7,573.0,-133.0,,129.0,,,,,-571.0,,852.9,519.0,-736.3,-850.0,,True,,,,,False,,False,False,False,False
19113,7602,11280.0,,18408.0,,,,,6485.0,,24122.2,21707.0,4619.9,4292.0,3678.0,,10806.0,,,,,-1117.0,,16520.2,14105.0,-2982.1,-3310.0,,False,,,,,True,,False,False,True,True
19115,385,360.0,,164.0,,,,,246.0,,418.6,525.0,,52.0,-25.0,,-221.0,,,,,-139.0,,33.6,140.0,,-333.0,,False,,,,,False,,False,False,,False
19117,225,168.0,,145.0,,,,,330.0,,239.6,305.0,,128.0,-57.0,,-80.0,,,,,105.0,,14.6,80.0,,-97.0,,False,,,,,False,,True,False,,False
19119,554,252.0,,122.0,,,,,506.0,,417.2,287.0,,0.0,-302.0,,-432.0,,,,,-48.0,,-136.8,-267.0,,-554.0,,False,,,,,True,,True,True,,False
19121,437,348.0,,311.0,,,,,380.0,,654.9,468.0,,383.0,-89.0,,-126.0,,,,,-57.0,,217.9,31.0,,-54.0,,False,,,,,True,,False,True,,True
19123,683,768.0,,603.0,,,,,713.0,,1162.5,835.0,,300.0,85.0,,-80.0,,,,,30.0,,479.5,152.0,,-383.0,,True,,,,,True,,False,False,,False
19125,1163,1272.0,,2214.0,,,,,972.0,,2255.3,2169.5,621.7,513.0,109.0,,1051.0,,,,,-191.0,,1092.3,1006.5,-541.3,-650.0,,False,,,,,False,,False,False,False,False
19127,1340,1950.0,,5436.0,,,,,1620.0,,2539.0,3327.5,735.5,0.0,610.0,,4096.0,,,,,280.0,,1199.0,1987.5,-604.5,-1340.0,,False,,,,,True,,False,False,True,False
19129,647,804.0,,696.0,,,,,406.0,,1786.8,1220.0,,1385.0,157.0,,49.0,,,,,-241.0,,1139.8,573.0,,738.0,,True,,,,,False,,False,False,,False
19131,545,624.0,,572.0,,,,,310.0,,942.8,1000.0,,0.0,79.0,,27.0,,,,,-235.0,,397.8,455.0,,-545.0,,True,,,,,False,,False,False,,False
19133,235,156.0,,122.0,,,,,354.0,,307.8,155.0,,130.0,-79.0,,-113.0,,,,,119.0,,72.8,-80.0,,-105.0,,False,,,,,False,,True,False,,False
19135,244,210.0,,77.0,,,,,269.0,,183.0,190.5,,101.0,-34.0,,-167.0,,,,,25.0,,-61.0,-53.5,,-143.0,,False,,,,,True,,False,False,,False
19137,410,336.0,,498.0,,,,,236.0,,809.0,477.5,,226.0,-74.0,,88.0,,,,,-174.0,,399.0,67.5,,-184.0,,False,,,,,False,,False,True,,False
19139,1597,1362.0,,1327.0,,,,,1168.0,,1534.9,2478.5,634.9,532.0,-235.0,,-270.0,,,,,-429.0,,-62.1,881.5,-962.1,-1065.0,,False,,,,,False,,True,False,False,False
19141,593,768.0,,323.0,,,,,764.0,,1909.6,1093.0,,931.0,175.0,,-270.0,,,,,171.0,,1316.6,500.0,,338.0,,False,,,,,True,,False,False,,False
19143,250,204.0,,83.0,,,,,260.0,,246.6,209.0,,14.0,-46.0,,-167.0,,,,,10.0,,-3.4,-41.0,,-236.0,,False,,,,,True,,True,True,,False
19145,663,1320.0,,658.0,,,,,370.0,,1948.4,1520.0,,249.0,657.0,,-5.0,,,,,-293.0,,1285.4,857.0,,-414.0,,True,,,,,True,,False,False,,True
19147,379,336.0,,232.0,,,,,389.0,,456.8,420.0,,0.0,-43.0,,-147.0,,,,,10.0,,77.8,41.0,,-379.0,,False,,,,,True,,False,True,,False
19149,1179,1404.0,,409.0,,,,,1235.0,,1816.9,1969.0,1076.1,0.0,225.0,,-770.0,,,,,56.0,,637.9,790.0,-102.9,-1179.0,,False,,,,,True,,False,False,True,False
19151,332,468.0,,26.0,,,,,187.0,,1000.3,644.5,,62.0,136.0,,-306.0,,,,,-145.0,,668.3,312.5,,-270.0,,False,,,,,False,,False,False,,False
19153,16405,15084.0,,29665.0,,,,,14746.0,,16799.0,27688.0,6559.3,5362.0,-1321.0,,13260.0,,,,,-1659.0,,394.0,11283.0,-9845.7,-11043.0,,False,,,,,False,,True,False,False,False
19155,3810,2862.0,,6204.0,,,,,2301.0,,3515.6,3845.0,2016.0,1179.0,-948.0,,2394.0,,,,,-1509.0,,-294.4,35.0,-1794.0,-2631.0,,False,,,,,False,,True,True,False,False
19157,521,666.0,,810.0,,,,,544.0,,1491.3,980.0,,378.0,145.0,,289.0,,,,,23.0,,970.3,459.0,,-143.0,,False,,,,,True,,False,False,,True
19159,216,114.0,,52.0,,,,,79.0,,237.8,124.0,,68.0,-102.0,,-164.0,,,,,-137.0,,21.8,-92.0,,-148.0,,False,,,,,False,,True,True,,False
19161,488,516.0,,195.0,,,,,411.0,,765.7,841.0,,1065.0,28.0,,-293.0,,,,,-77.0,,277.7,353.0,,577.0,,False,,,,,False,,False,False,,False
19163,7209,6678.0,,11736.0,,,,,4754.0,,11672.6,10629.0,2524.0,0.0,-531.0,,4527.0,,,,,-2455.0,,4463.6,3420.0,-4685.0,-7209.0,,False,,,,,False,,False,False,False,False
19165,405,420.0,,175.0,,,,,371.0,,739.1,828.5,,148.0,15.0,,-230.0,,,,,-34.0,,334.1,423.5,,-257.0,,False,,,,,False,,False,False,,False
19167,1320,1458.0,,730.0,,,,,2112.0,,1837.8,1598.5,691.6,1417.0,138.0,,-590.0,,,,,792.0,,517.8,278.5,-628.4,97.0,,False,,,,,False,,False,False,False,True
19169,2949,3234.0,,14817.0,,,,,2759.0,,2958.9,5015.5,2236.4,0.0,285.0,,11868.0,,,,,-190.0,,9.9,2066.5,-712.6,-2949.0,,False,,,,,True,,True,False,False,False
19171,538,678.0,,251.0,,,,,497.0,,986.4,1131.5,404.4,0.0,140.0,,-287.0,,,,,-41.0,,448.4,593.5,-133.6,-538.0,,False,,,,,True,,False,False,True,False
19173,206,258.0,,85.0,,,,,108.0,,325.8,327.0,,50.0,52.0,,-121.0,,,,,-98.0,,119.8,121.0,,-156.0,,False,,,,,False,,False,False,,False
19175,623,384.0,,471.0,,,,,382.0,,951.6,542.0,,0.0,-239.0,,-152.0,,,,,-241.0,,328.6,-81.0,,-623.0,,True,,,,,False,,False,True,,False
