,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Pennsylvania,11702,9871.0,9411.9,9909.9,9871.0,10897.0,,9443.1,4887.0,11295.1,10708.8,,9626.0,9115.7,9474.2,10154.6,11338.8,12791.6,8105.4,10196.6,10248.7,12054.0,,11056.8,6660.4,8317.0,9471.4,10642.0,-1831.0,-2290.1,-1792.1,-1831.0,-805.0,,-2258.9,-6815.0,-406.9,-993.2,,-2076.0,-2586.3,-2227.8,-1547.4,-363.2,1089.6,-3596.6,-1505.4,-1453.3,352.0,,-645.2,-5041.6,-3385.0,-2230.6,-1060.0,False,True,False,True,,False,False,True,True,,False,False,False,True,True,True,False,True,True,True,,True,False,False,False,True
Rhode Island,2427,1397.0,2622.9,1410.5,1224.0,1314.0,,1203.1,424.0,6336.8,1487.7,,1762.0,1109.3,1223.7,1176.7,1282.3,1536.7,707.0,1221.6,1803.7,1640.0,,2129.9,910.1,1219.7,1055.5,1475.0,-1030.0,195.9,-1016.5,-1203.0,-1113.0,,-1223.9,-2003.0,3909.8,-939.3,,-665.0,-1317.7,-1203.3,-1250.3,-1144.7,-890.3,-1720.0,-1205.4,-623.3,-787.0,,-297.1,-1516.9,-1207.3,-1371.5,-952.0,True,True,False,False,,False,False,False,True,,True,False,False,False,False,True,False,False,True,True,,True,False,False,False,True
South Carolina,6127,6593.0,5998.1,6298.0,5996.0,6916.0,,5996.2,2995.0,6545.8,7602.3,,5768.0,6794.3,5654.2,6828.3,2455.6,6114.6,5900.3,6512.7,7401.4,7328.0,,6999.0,5377.6,5703.5,6240.2,6569.0,466.0,-128.9,171.0,-131.0,789.0,,-130.8,-3132.0,418.8,1475.3,,-359.0,667.3,-472.8,701.3,-3671.4,-12.4,-226.7,385.7,1274.4,1201.0,,872.0,-749.4,-423.5,113.2,442.0,True,True,True,False,,True,False,True,False,,True,False,False,False,False,True,True,True,False,False,,False,False,True,True,True
South Dakota,5530,4664.0,4281.0,4696.3,4533.0,4210.0,,4500.4,3070.0,4889.7,6108.9,,4533.0,4766.1,6116.0,4291.1,883.6,5289.0,4865.3,4898.2,5080.4,5905.0,,5291.9,3504.2,3897.4,5541.0,4570.0,-866.0,-1249.0,-833.7,-997.0,-1320.0,,-1029.6,-2460.0,-640.3,578.9,,-997.0,-763.9,586.0,-1238.9,-4646.4,-241.0,-664.7,-631.8,-449.6,375.0,,-238.1,-2025.8,-1632.6,11.0,-960.0,False,True,False,False,,False,False,True,True,,False,True,True,False,False,True,True,True,True,True,,True,False,False,True,False
Tennessee,17948,13490.0,11744.2,13525.2,13135.0,13135.0,,13502.6,7191.0,14231.6,13957.9,,10156.0,13077.2,14133.3,11338.8,5354.5,9506.0,15602.9,15758.2,13848.8,15956.0,,14674.0,3059.5,11592.5,12987.3,13249.0,-4458.0,-6203.8,-4422.8,-4813.0,-4813.0,,-4445.4,-10757.0,-3716.4,-3990.1,,-7792.0,-4870.8,-3814.7,-6609.2,-12593.5,-8442.0,-2345.1,-2189.8,-4099.2,-1992.0,,-3274.0,-14888.5,-6355.5,-4960.7,-4699.0,False,True,False,False,,True,False,True,True,,False,False,True,False,False,False,True,True,True,True,,True,False,False,False,False
Texas,39920,32527.0,29385.2,30464.8,30465.0,34695.0,,28180.0,15140.0,37870.4,37366.3,,33484.0,33230.9,28861.2,32137.0,22496.9,38577.7,35030.9,40241.1,29922.7,35534.0,,34892.7,20201.2,29079.7,31495.7,30733.0,-7393.0,-10534.8,-9455.2,-9455.0,-5225.0,,-11740.0,-24780.0,-2049.6,-2553.7,,-6436.0,-6689.1,-11058.8,-7783.0,-17423.1,-1342.3,-4889.1,321.1,-9997.3,-4386.0,,-5027.3,-19718.8,-10840.3,-8424.3,-9187.0,False,False,False,True,,False,False,True,True,,True,True,False,False,False,True,True,True,False,True,,True,False,False,False,False
Utah,9820,8653.0,4050.8,8564.1,7144.0,7016.0,,8647.0,3700.0,9278.5,9697.5,,7233.0,9466.7,6728.8,6979.5,3579.7,9717.9,7894.6,8568.9,9088.7,10028.0,,7143.9,3456.7,6897.1,8407.8,8457.0,-1167.0,-5769.2,-1255.9,-2676.0,-2804.0,,-1173.0,-6120.0,-541.5,-122.5,,-2587.0,-353.3,-3091.2,-2840.5,-6240.3,-102.1,-1925.4,-1251.1,-731.3,208.0,,-2676.1,-6363.3,-2922.9,-1412.2,-1363.0,False,False,False,False,,False,False,True,True,,False,True,False,False,False,True,False,False,True,True,,False,False,False,False,False
Vermont,117,69.0,23.4,67.8,69.0,77.0,,45.3,9.0,67.1,92.8,,70.0,54.1,138.5,94.0,118.7,93.0,64.6,76.0,148.6,95.0,,77.4,37.8,62.6,44.9,75.0,-48.0,-93.6,-49.2,-48.0,-40.0,,-71.7,-108.0,-49.9,-24.2,,-47.0,-62.9,21.5,-23.0,1.7,-24.0,-52.4,-41.0,31.6,-22.0,,-39.6,-79.2,-54.4,-72.1,-42.0,False,False,False,True,,False,False,False,True,,True,False,True,True,True,True,False,True,True,True,,True,False,False,False,True
Virginia,7134,7186.0,7680.9,7294.9,7295.0,7475.0,,7222.0,2945.0,7011.7,7762.3,,6460.0,7131.6,7804.8,7728.2,5875.4,7751.1,6209.0,7395.5,7826.1,8890.0,,8213.1,6021.8,6241.4,6964.0,7584.0,52.0,546.9,160.9,161.0,341.0,,88.0,-4189.0,-122.3,628.3,,-674.0,-2.4,670.8,594.2,-1258.6,617.1,-925.0,261.5,692.1,1756.0,,1079.1,-1112.2,-892.6,-170.0,450.0,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False
Washington,4593,4636.0,5580.2,4659.6,4604.0,4994.0,,3545.8,1537.0,3729.8,3785.9,,4000.0,4042.1,4084.8,4739.7,4447.1,4799.3,3898.2,5142.9,5091.1,5102.0,,4786.9,1864.8,4215.5,4248.3,4703.0,43.0,987.2,66.6,11.0,401.0,,-1047.2,-3056.0,-863.2,-807.1,,-593.0,-550.9,-508.2,146.7,-145.9,206.3,-694.8,549.9,498.1,509.0,,193.9,-2728.2,-377.5,-344.7,110.0,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
West Virginia,1911,1878.0,1876.7,1893.7,1878.0,2068.0,,1629.7,1066.0,2101.9,2352.4,,1277.0,1767.4,2326.0,2164.2,1474.7,1434.9,1959.2,2094.4,,2271.0,,1986.5,1974.5,1674.4,1935.1,1937.0,-33.0,-34.3,-17.3,-33.0,157.0,,-281.3,-845.0,190.9,441.4,,-634.0,-143.6,415.0,253.2,-436.3,-476.1,48.2,183.4,,360.0,,75.5,63.5,-236.6,24.1,26.0,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,,False,False,False,True,True
Wisconsin,28354,18626.0,20398.7,18664.8,18626.0,19933.0,,19109.9,13037.0,17388.4,25306.0,,16485.0,22858.9,23561.7,22038.7,9781.9,21111.9,5183.0,14211.8,,20964.0,,18492.0,10887.0,17951.7,18373.4,17644.0,-9728.0,-7955.3,-9689.2,-9728.0,-8421.0,,-9244.1,-15317.0,-10965.6,-3048.0,,-11869.0,-5495.1,-4792.3,-6315.3,-18572.1,-7242.1,-23171.0,-14142.2,,-7390.0,,-9862.0,-17467.0,-10402.3,-9980.6,-10710.0,True,True,False,True,,True,False,False,True,,False,True,True,True,False,True,False,False,,True,,False,False,False,False,False
Wyoming,1989,1361.0,1171.1,1364.2,1361.0,1175.0,,1150.3,734.0,1560.6,1616.4,,1234.0,1357.8,1930.3,1531.5,515.5,1631.5,1388.3,1423.4,,1702.0,,1493.7,766.3,1204.9,1677.3,1310.0,-628.0,-817.9,-624.8,-628.0,-814.0,,-838.7,-1255.0,-428.4,-372.6,,-755.0,-631.2,-58.7,-457.5,-1473.5,-357.5,-600.7,-565.6,,-287.0,,-495.3,-1222.7,-784.1,-311.7,-679.0,False,True,False,False,,False,False,True,True,,False,False,True,True,False,True,True,True,,True,,True,False,False,True,False
US,468927,388452.0,419616.6,389898.0,388452.0,402924.0,394769.3,345632.3,198206.0,408323.1,418193.0,384784.0,340260.0,370695.9,370099.7,,263494.9,418153.7,320366.9,426193.7,379216.0,446955.0,430057.3,427227.5,186400.9,351452.8,416807.3,397822.0,-80475.0,-49310.4,-79029.0,-80475.0,-66003.0,-74157.7,-123294.7,-270721.0,-60603.9,-50734.0,-84143.0,-128667.0,-98231.1,-98827.3,,-205432.1,-50773.3,-148560.1,-42733.3,-89711.0,-21972.0,-38869.7,-41699.5,-282526.1,-117474.2,-52119.7,-71105.0,True,True,False,True,True,False,False,True,True,False,False,False,False,,False,True,False,True,False,True,True,True,False,False,True,True
