,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01115,731,2095.0,6860.0,,,,,820.0,,1175.0,373.6,,2174.4,435.0,,113.1,1018.4,,,1364.0,6129.0,,,,,89.0,,444.0,-357.4,,1443.4,-296.0,,-617.9,287.4,,,False,,,,,True,,True,True,,False,True,,True,True,,
01117,1762,5345.0,20774.0,,,,,1957.0,,2415.7,909.8,,6315.3,1642.6,,490.8,2377.4,,,3583.0,19012.0,,,,,195.0,,653.7,-852.2,,4553.3,-119.4,,-1271.2,615.4,,,False,,,,,True,,True,True,,False,True,,True,True,,
01119,49,70.0,,,,,,95.0,,3.0,13.9,,2.3,0.1,,3.3,,,,21.0,,,,,,46.0,,-46.0,-35.1,,-46.7,-48.9,,-45.7,,,,,,,,,False,,False,False,,False,False,,False,,,
01121,607,3495.0,5778.0,,,,,843.0,,2085.9,345.6,,3544.2,638.8,,141.3,1493.6,,,2888.0,5171.0,,,,,236.0,,1478.9,-261.4,,2937.2,31.8,,-465.7,886.6,,,False,,,,,True,,True,True,,False,True,,True,True,,
01123,202,890.0,485.0,,,,,455.0,,502.0,92.5,,655.3,62.7,,58.2,,,,688.0,283.0,,,,,253.0,,300.0,-109.5,,453.3,-139.3,,-143.8,,,,True,,,,,True,,True,True,,True,True,,True,,,
01125,3151,8400.0,5028.0,,,,,3614.0,,5973.2,621.6,,9034.9,1454.5,,1150.5,3924.4,,,5249.0,1877.0,,,,,463.0,,2822.2,-2529.4,,5883.9,-1696.5,,-2000.5,773.4,,,True,,,,,True,,True,True,,False,True,,True,True,,
01127,577,1000.0,4793.0,,,,,846.0,,183.4,134.2,,469.1,213.1,,223.3,475.5,,,423.0,4216.0,,,,,269.0,,-393.6,-442.8,,-107.9,-363.9,,-353.7,-101.5,,,False,,,,,True,,True,False,,True,True,,True,True,,
01129,203,190.0,0.0,,,,,156.0,,87.8,41.8,,16.9,0.0,,1.9,,,,-13.0,-203.0,,,,,-47.0,,-115.2,-161.2,,-186.1,-203.0,,-201.1,,,,False,,,,,False,,False,False,,False,False,,False,,,
01131,40,255.0,13.0,,,,,57.0,,12.2,18.0,,10.2,20.6,,2.7,,,,215.0,-27.0,,,,,17.0,,-27.8,-22.0,,-29.8,-19.4,,-37.3,,,,True,,,,,True,,True,True,,True,True,,True,,,
01133,226,445.0,369.0,,,,,272.0,,191.9,84.3,,343.3,114.2,,163.7,,,,219.0,143.0,,,,,46.0,,-34.1,-141.7,,117.3,-111.8,,-62.3,,,,True,,,,,True,,True,True,,True,True,,True,,,
02013,5,0.0,0.0,,,,,,,0.0,0.8,,,,,0.0,,,,-5.0,-5.0,,,,,,,-5.0,-4.2,,,,,-5.0,,,,False,,,,,,,False,True,,,,,False,,,
02016,2,0.0,0.0,,,,,,,0.0,1.3,,,,,0.1,,,,-2.0,-2.0,,,,,,,-2.0,-0.7,,,,,-1.9,,,,False,,,,,,,False,True,,,,,True,,,
02020,3099,1440.0,617.0,,,,,,,1223.0,1768.3,,845.1,1049.9,,487.8,772.2,,,-1659.0,-2482.0,,,,,,,-1876.0,-1330.7,,-2253.9,-2049.1,,-2611.2,-2326.8,,,False,,,,,,,False,True,,False,False,,False,False,,
02050,276,50.0,0.0,,,,,,,62.9,48.7,,15.9,,,68.3,,,,-226.0,-276.0,,,,,,,-213.1,-227.3,,-260.1,,,-207.7,,,,False,,,,,,,True,False,,False,,,True,,,
02060,0,0.0,0.0,,,,,,,0.0,0.0,,0.5,,,0.0,,,,0.0,0.0,,,,,,,0.0,0.0,,0.5,,,0.0,,,,True,,,,,,,False,True,,False,,,True,,,
02068,19,0.0,0.0,,,,,,,2.0,2.2,,,,,0.0,,,,-19.0,-19.0,,,,,,,-17.0,-16.8,,,,,-19.0,,,,False,,,,,,,True,True,,,,,False,,,
02070,17,5.0,0.0,,,,,,,9.8,6.4,,0.4,,,3.7,,,,-12.0,-17.0,,,,,,,-7.2,-10.6,,-16.6,,,-13.3,,,,False,,,,,,,True,True,,False,,,False,,,
02090,957,450.0,,,,,,,,589.8,389.0,,450.2,441.6,,279.4,,,,-507.0,,,,,,,,-367.2,-568.0,,-506.8,-515.4,,-677.6,,,,,,,,,,,True,False,,True,False,,False,,,
02100,3,5.0,0.0,,,,,,,4.5,0.8,,,,,0.0,,,,2.0,-3.0,,,,,,,1.5,-2.2,,,,,-3.0,,,,False,,,,,,,True,False,,,,,False,,,
02105,0,0.0,0.0,,,,,,,0.6,2.1,,,,,0.0,,,,0.0,0.0,,,,,,,0.6,2.1,,,,,0.0,,,,True,,,,,,,False,False,,,,,True,,,
02110,135,165.0,176.0,,,,,,,262.8,123.2,,48.4,98.3,,134.7,,,,30.0,41.0,,,,,,,127.8,-11.8,,-86.6,-36.7,,-0.3,,,,False,,,,,,,False,True,,False,False,,True,,,
02122,220,45.0,20.0,,,,,,,187.5,98.7,,6.0,123.5,,0.8,,,,-175.0,-200.0,,,,,,,-32.5,-121.3,,-214.0,-96.5,,-219.2,,,,False,,,,,,,True,True,,False,True,,False,,,
02130,11,5.0,0.0,,,,,,,6.7,4.0,,3.0,,,2.1,,,,-6.0,-11.0,,,,,,,-4.3,-7.0,,-8.0,,,-8.9,,,,False,,,,,,,True,False,,False,,,False,,,
02150,29,5.0,0.0,,,,,,,4.3,5.7,,0.8,,,0.4,,,,-24.0,-29.0,,,,,,,-24.7,-23.3,,-28.2,,,-28.6,,,,False,,,,,,,False,True,,False,,,False,,,
02158,154,10.0,0.0,,,,,,,8.8,,,,,,4.2,,,,-144.0,-154.0,,,,,,,-145.2,,,,,,-149.8,,,,False,,,,,,,False,,,,,,False,,,
02164,13,0.0,0.0,,,,,,,0.5,2.4,,,,,0.0,,,,-13.0,-13.0,,,,,,,-12.5,-10.6,,,,,-13.0,,,,False,,,,,,,True,True,,,,,False,,,
02170,419,220.0,0.0,,,,,,,251.1,358.5,,107.3,303.7,,103.0,,,,-199.0,-419.0,,,,,,,-167.9,-60.5,,-311.7,-115.3,,-316.0,,,,False,,,,,,,True,True,,False,True,,False,,,
02180,71,5.0,0.0,,,,,,,11.7,15.4,,9.3,,,4.7,,,,-66.0,-71.0,,,,,,,-59.3,-55.6,,-61.7,,,-66.3,,,,False,,,,,,,True,True,,True,,,False,,,
02185,147,115.0,0.0,,,,,,,112.6,45.2,,9.2,,,114.1,,,,-32.0,-147.0,,,,,,,-34.4,-101.8,,-137.8,,,-32.9,,,,False,,,,,,,False,False,,False,,,False,,,
02188,139,45.0,0.0,,,,,,,24.8,23.3,,17.0,,,22.3,,,,-94.0,-139.0,,,,,,,-114.2,-115.7,,-122.0,,,-116.7,,,,False,,,,,,,False,False,,False,,,False,,,
02195,4,0.0,0.0,,,,,,,0.6,0.4,,0.2,,,0.0,,,,-4.0,-4.0,,,,,,,-3.4,-3.6,,-3.8,,,-4.0,,,,False,,,,,,,True,True,,True,,,False,,,
02198,3,5.0,0.0,,,,,,,3.7,8.3,,2.1,,,0.0,,,,2.0,-3.0,,,,,,,0.7,5.3,,-0.9,,,-3.0,,,,False,,,,,,,True,False,,True,,,False,,,
02220,14,10.0,0.0,,,,,,,7.5,13.3,,4.5,,,5.1,,,,-4.0,-14.0,,,,,,,-6.5,-0.7,,-9.5,,,-8.9,,,,False,,,,,,,False,True,,False,,,False,,,
02230,6,0.0,0.0,,,,,,,0.0,0.0,,,,,0.0,,,,-6.0,-6.0,,,,,,,-6.0,-6.0,,,,,-6.0,,,,False,,,,,,,True,False,,,,,False,,,
02240,28,5.0,0.0,,,,,,,6.9,0.8,,0.8,,,2.3,,,,-23.0,-28.0,,,,,,,-21.1,-27.2,,-27.2,,,-25.7,,,,False,,,,,,,True,False,,False,,,False,,,
02261,33,0.0,0.0,,,,,,,4.0,2.6,,6.5,,,0.0,,,,-33.0,-33.0,,,,,,,-29.0,-30.4,,-26.5,,,-33.0,,,,False,,,,,,,True,True,,True,,,False,,,
