,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
17199,189,136.0,,135.7,,134.0,133.0,,,,,,150.4,,152.0,,94.2,75.3,,118.4,155.5,93.7,,164.0,238.0,,,,139.8,,,139.0,86.7,-53.0,,-53.3,,-55.0,-56.0,,,,,,-38.6,,-37.0,,-94.8,-113.7,,-70.6,-33.5,-95.3,,-25.0,49.0,,,,-49.2,,,-50.0,-102.3,,False,,False,False,,,,,,True,,True,,False,False,,False,True,False,,True,True,,,,True,,,True,False
17201,1279,1110.0,,1118.2,1164.3,1176.0,1223.0,,,,,,1169.8,,802.0,,1192.9,692.4,,1199.3,1468.9,914.8,,1381.0,733.0,,,,1050.8,1426.0,,949.0,754.5,-169.0,,-160.8,-114.7,-103.0,-56.0,,,,,,-109.2,,-477.0,,-86.1,-586.6,,-79.7,189.9,-364.2,,102.0,-546.0,,,,-228.2,147.0,,-330.0,-524.5,,True,True,True,True,,,,,,True,,False,,True,False,,True,False,False,,True,False,,,,False,True,,False,False
17203,55,66.0,,66.4,,47.0,47.0,,,,,,68.7,,57.0,,30.5,25.8,,30.4,38.5,48.4,,73.0,168.0,,,,,,,17.0,17.2,11.0,,11.4,,-8.0,-8.0,,,,,,13.7,,2.0,,-24.5,-29.2,,-24.6,-16.5,-6.6,,18.0,113.0,,,,,,,-38.0,-37.8,,False,,True,True,,,,,,False,,True,,False,False,,False,False,True,,False,False,,,,,,,False,False
18001,61,90.0,,87.6,,80.0,128.0,,,,,,37.8,,52.0,,119.9,27.2,,52.1,74.8,61.9,,122.0,98.0,,,,,,,95.0,31.6,29.0,,26.6,,19.0,67.0,,,,,,-23.2,,-9.0,,58.9,-33.8,,-8.9,13.8,0.9,,61.0,37.0,,,,,,,34.0,-29.4,,True,,True,False,,,,,,True,,True,,False,False,,True,True,True,,False,False,,,,,,,False,False
18003,757,642.0,,646.3,,643.0,768.0,,,,,,570.1,,551.0,,466.1,407.0,,642.8,680.3,679.2,,807.0,724.0,,,,588.2,884.0,,646.0,162.2,-115.0,,-110.7,,-114.0,11.0,,,,,,-186.9,,-206.0,,-290.9,-350.0,,-114.2,-76.7,-77.8,,50.0,-33.0,,,,-168.8,127.0,,-111.0,-594.8,,True,,True,True,,,,,,False,,False,,False,False,,True,True,True,,True,True,,,,False,False,,True,False
18005,90,90.0,,90.3,,90.0,123.0,,,,,,56.3,,102.0,,65.8,87.5,,65.5,95.0,96.0,,111.0,62.0,,,,85.5,,,103.0,38.1,0.0,,0.3,,0.0,33.0,,,,,,-33.7,,12.0,,-24.2,-2.5,,-24.5,5.0,6.0,,21.0,-28.0,,,,-4.5,,,13.0,-51.9,,False,,True,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,False,,,False,False
18007,7,12.0,,11.4,,9.0,5.0,,,,,,14.7,,9.0,,5.2,4.1,,4.2,9.8,7.4,,12.0,9.0,,,,,,,9.0,3.4,5.0,,4.4,,2.0,-2.0,,,,,,7.7,,2.0,,-1.8,-2.9,,-2.8,2.8,0.4,,5.0,2.0,,,,,,,2.0,-3.6,,True,,True,True,,,,,,False,,True,,True,True,,True,True,True,,False,True,,,,,,,True,True
18009,51,21.0,,20.3,,21.0,28.0,,,,,,12.1,,19.0,,22.9,11.2,,12.1,22.7,16.9,,27.0,25.0,,,,,,,16.0,11.8,-30.0,,-30.7,,-30.0,-23.0,,,,,,-38.9,,-32.0,,-28.1,-39.8,,-38.9,-28.3,-34.1,,-24.0,-26.0,,,,,,,-35.0,-39.2,,False,,False,True,,,,,,False,,False,,True,False,,False,True,False,,True,True,,,,,,,False,False
18011,98,73.0,,73.0,,70.0,109.0,,,,,,56.5,,99.0,,62.4,74.8,,44.5,67.8,137.2,,96.0,95.0,,,,66.6,,,73.0,23.8,-25.0,,-25.0,,-28.0,11.0,,,,,,-41.5,,1.0,,-35.6,-23.2,,-53.5,-30.2,39.2,,-2.0,-3.0,,,,-31.4,,,-25.0,-74.2,,True,,False,True,,,,,,False,,True,,False,True,,False,False,False,,True,True,,,,False,,,False,False
18013,19,8.0,,8.7,,10.0,13.0,,,,,,9.2,,16.0,,15.4,6.2,,2.8,9.7,13.9,,17.0,7.0,,,,,,,12.0,2.0,-11.0,,-10.3,,-9.0,-6.0,,,,,,-9.8,,-3.0,,-3.6,-12.8,,-16.2,-9.3,-5.1,,-2.0,-12.0,,,,,,,-7.0,-17.0,,True,,True,True,,,,,,True,,True,,True,False,,False,True,True,,True,False,,,,,,,True,False
18015,27,7.0,,7.0,,7.0,0.0,,,,,,13.5,,27.0,,9.8,15.5,,2.5,7.6,14.2,,14.0,24.0,,,,,,,15.0,6.6,-20.0,,-20.0,,-20.0,-27.0,,,,,,-13.5,,0.0,,-17.2,-11.5,,-24.5,-19.4,-12.8,,-13.0,-3.0,,,,,,,-12.0,-20.4,,False,,False,False,,,,,,True,,True,,True,True,,False,True,True,,True,True,,,,,,,True,False
18017,72,89.0,,89.2,,71.0,0.0,,,,,,100.9,,80.0,,80.2,47.0,,48.4,66.7,15.8,,93.0,68.0,,,,75.0,,,17.0,41.4,17.0,,17.2,,-1.0,-72.0,,,,,,28.9,,8.0,,8.2,-25.0,,-23.6,-5.3,-56.2,,21.0,-4.0,,,,3.0,,,-55.0,-30.6,,False,,True,False,,,,,,False,,True,,True,False,,False,True,False,,False,True,,,,True,,,False,False
18019,216,249.0,,239.2,,229.0,303.0,,,,,,261.4,,163.0,,186.8,203.7,,191.1,222.2,205.2,,307.0,215.0,,,,237.4,,,203.0,57.5,33.0,,23.2,,13.0,87.0,,,,,,45.4,,-53.0,,-29.2,-12.3,,-24.9,6.2,-10.8,,91.0,-1.0,,,,21.4,,,-13.0,-158.5,,True,,True,False,,,,,,False,,False,,True,True,,True,True,True,,False,True,,,,True,,,True,False
18021,39,50.0,,53.6,,47.0,60.0,,,,,,28.3,,42.0,,46.7,26.3,,38.9,55.0,33.3,,69.0,64.0,,,,,,,53.0,17.3,11.0,,14.6,,8.0,21.0,,,,,,-10.7,,3.0,,7.7,-12.7,,-0.1,16.0,-5.7,,30.0,25.0,,,,,,,14.0,-21.7,,False,,True,False,,,,,,True,,True,,True,False,,True,False,True,,False,False,,,,,,,False,False
18023,92,74.0,,63.0,,61.0,96.0,,,,,,64.5,,49.0,,52.0,53.2,,38.2,61.4,65.0,,84.0,78.0,,,,,,,64.0,28.0,-18.0,,-29.0,,-31.0,4.0,,,,,,-27.5,,-43.0,,-40.0,-38.8,,-53.8,-30.6,-27.0,,-8.0,-14.0,,,,,,,-28.0,-64.0,,False,,False,True,,,,,,False,,False,,False,False,,False,False,False,,True,True,,,,,,,False,False
18025,20,13.0,,12.4,,9.0,8.0,,,,,,11.0,,12.0,,11.0,5.2,,2.6,9.3,7.8,,16.0,29.0,,,,,,,15.0,6.3,-7.0,,-7.6,,-11.0,-12.0,,,,,,-9.0,,-8.0,,-9.0,-14.8,,-17.4,-10.7,-12.2,,-4.0,9.0,,,,,,,-5.0,-13.7,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,True,False,,,,,,,True,False
18027,89,73.0,,70.4,,61.0,43.0,,,,,,48.2,,61.0,,41.5,53.0,,60.9,72.4,60.4,,78.0,123.0,,,,,,,78.0,33.6,-16.0,,-18.6,,-28.0,-46.0,,,,,,-40.8,,-28.0,,-47.5,-36.0,,-28.1,-16.6,-28.6,,-11.0,34.0,,,,,,,-11.0,-55.4,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,True,False,,,,,,,True,False
18029,110,121.0,,124.3,,88.0,160.0,,,,,,70.1,,52.0,,86.6,54.6,,82.0,97.2,67.8,,156.0,78.0,,,,,,,108.0,47.9,11.0,,14.3,,-22.0,50.0,,,,,,-39.9,,-58.0,,-23.4,-55.4,,-28.0,-12.8,-42.2,,46.0,-32.0,,,,,,,-2.0,-62.1,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,,,,True,False
18031,24,17.0,,17.5,,15.0,7.0,,,,,,15.4,,35.0,,13.6,11.4,,5.0,15.1,31.9,,23.0,16.0,,,,,,,20.0,8.8,-7.0,,-6.5,,-9.0,-17.0,,,,,,-8.6,,11.0,,-10.4,-12.6,,-19.0,-8.9,7.9,,-1.0,-8.0,,,,,,,-4.0,-15.2,,True,,False,False,,,,,,False,,False,,False,False,,False,False,False,,True,False,,,,,,,True,False
18033,84,77.0,,76.5,,77.0,97.0,,,,,,43.7,,60.0,,81.4,48.0,,58.0,82.8,61.3,,110.0,27.0,,,,,,,75.0,29.8,-7.0,,-7.5,,-7.0,13.0,,,,,,-40.3,,-24.0,,-2.6,-36.0,,-26.0,-1.2,-22.7,,26.0,-57.0,,,,,,,-9.0,-54.2,,False,,False,False,,,,,,False,,False,,True,False,,False,True,False,,False,False,,,,,,,False,False
18035,315,326.0,,328.0,,321.0,406.0,,,,,,333.1,,196.0,,303.4,223.9,,307.6,359.9,289.0,,419.0,293.0,,,,316.5,,,336.0,152.2,11.0,,13.0,,6.0,91.0,,,,,,18.1,,-119.0,,-11.6,-91.1,,-7.4,44.9,-26.0,,104.0,-22.0,,,,1.5,,,21.0,-162.8,,False,,True,False,,,,,,False,,False,,False,False,,True,False,False,,False,False,,,,True,,,False,False
18037,105,139.0,,139.5,,124.0,190.0,,,,,,122.3,,62.0,,126.2,55.7,,87.2,116.0,100.9,,188.0,198.0,,,,121.5,,,180.0,68.2,34.0,,34.5,,19.0,85.0,,,,,,17.3,,-43.0,,21.2,-49.3,,-17.8,11.0,-4.1,,83.0,93.0,,,,16.5,,,75.0,-36.8,,False,,True,False,,,,,,True,,False,,True,False,,True,True,True,,False,False,,,,True,,,False,False
18039,871,710.0,,715.4,,710.0,831.0,,,,,,555.5,,414.0,,573.0,302.3,,665.2,774.4,634.8,,782.0,691.0,,,,637.2,837.0,,587.0,325.7,-161.0,,-155.6,,-161.0,-40.0,,,,,,-315.5,,-457.0,,-298.0,-568.7,,-205.8,-96.6,-236.2,,-89.0,-180.0,,,,-233.8,-34.0,,-284.0,-545.3,,True,,False,True,,,,,,False,,False,,False,False,,False,True,False,,True,False,,,,False,True,,False,False
18041,185,59.0,,57.5,,47.0,31.0,,,,,,39.3,,39.0,,60.7,19.2,,32.2,51.3,36.3,,80.0,44.0,,,,,,,33.0,15.5,-126.0,,-127.5,,-138.0,-154.0,,,,,,-145.7,,-146.0,,-124.3,-165.8,,-152.8,-133.7,-148.7,,-105.0,-141.0,,,,,,,-152.0,-169.5,,False,,False,False,,,,,,False,,False,,True,False,,False,False,False,,True,False,,,,,,,False,False
18043,143,119.0,,117.3,,113.0,135.0,,,,,,137.7,,97.0,,112.1,90.5,,99.8,113.1,143.8,,151.0,117.0,,,,106.5,,,117.0,60.6,-24.0,,-25.7,,-30.0,-8.0,,,,,,-5.3,,-46.0,,-30.9,-52.5,,-43.2,-29.9,0.8,,8.0,-26.0,,,,-36.5,,,-26.0,-82.4,,False,,False,True,,,,,,True,,False,,False,False,,False,False,True,,True,False,,,,False,,,False,False
18045,49,63.0,,62.3,,50.0,91.0,,,,,,23.0,,24.0,,134.0,17.5,,33.4,50.2,38.4,,100.0,106.0,,,,,,,58.0,22.5,14.0,,13.3,,1.0,42.0,,,,,,-26.0,,-25.0,,85.0,-31.5,,-15.6,1.2,-10.6,,51.0,57.0,,,,,,,9.0,-26.5,,True,,True,False,,,,,,False,,False,,False,False,,False,True,True,,False,False,,,,,,,True,False
18047,21,31.0,,28.9,,22.0,0.0,,,,,,24.5,,22.0,,15.9,15.4,,15.1,22.1,20.4,,30.0,74.0,,,,,,,26.0,3.8,10.0,,7.9,,1.0,-21.0,,,,,,3.5,,1.0,,-5.1,-5.6,,-5.9,1.1,-0.6,,9.0,53.0,,,,,,,5.0,-17.2,,True,,True,False,,,,,,True,,True,,True,True,,True,True,True,,True,False,,,,,,,True,False
18049,48,41.0,,42.8,,30.0,44.0,,,,,,16.7,,32.0,,29.4,20.4,,17.4,26.3,22.7,,51.0,34.0,,,,,,,58.0,14.5,-7.0,,-5.2,,-18.0,-4.0,,,,,,-31.3,,-16.0,,-18.6,-27.6,,-30.6,-21.7,-25.3,,3.0,-14.0,,,,,,,10.0,-33.5,,True,,False,True,,,,,,False,,False,,False,False,,False,False,False,,True,False,,,,,,,False,False
18051,105,93.0,,81.9,,89.0,120.0,,,,,,85.9,,46.0,,132.4,36.7,,68.8,89.1,91.0,,122.0,14.0,,,,,,,80.0,56.4,-12.0,,-23.1,,-16.0,15.0,,,,,,-19.1,,-59.0,,27.4,-68.3,,-36.2,-15.9,-14.0,,17.0,-91.0,,,,,,,-25.0,-48.6,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,,,,False,False
18053,143,87.0,,83.6,,85.0,92.0,,,,,,113.8,,106.0,,62.9,64.8,,61.8,93.6,106.9,,90.0,126.0,,,,83.9,,,82.0,43.6,-56.0,,-59.4,,-58.0,-51.0,,,,,,-29.2,,-37.0,,-80.1,-78.2,,-81.2,-49.4,-36.1,,-53.0,-17.0,,,,-59.1,,,-61.0,-99.4,,False,,False,True,,,,,,True,,True,,False,False,,False,True,True,,True,True,,,,False,,,False,False
18055,59,35.0,,37.4,,35.0,18.0,,,,,,27.9,,55.0,,26.7,34.9,,24.9,40.9,37.4,,47.0,62.0,,,,,,,49.0,11.1,-24.0,,-21.6,,-24.0,-41.0,,,,,,-31.1,,-4.0,,-32.3,-24.1,,-34.1,-18.1,-21.6,,-12.0,3.0,,,,,,,-10.0,-47.9,,True,,False,False,,,,,,False,,True,,False,False,,False,True,True,,True,True,,,,,,,True,False
18057,471,381.0,,384.0,,384.0,436.0,,,,,,387.4,,314.0,,281.0,443.8,,386.1,400.7,635.9,,460.0,432.0,,,,381.2,482.0,,430.0,166.8,-90.0,,-87.0,,-87.0,-35.0,,,,,,-83.6,,-157.0,,-190.0,-27.2,,-84.9,-70.3,164.9,,-11.0,-39.0,,,,-89.8,11.0,,-41.0,-304.2,,True,,True,True,,,,,,True,,False,,False,True,,True,True,False,,True,True,,,,True,True,,True,False
18059,111,80.0,,83.8,,82.0,109.0,,,,,,57.0,,91.0,,80.5,71.9,,62.4,88.0,94.1,,113.0,57.0,,,,68.8,,,91.0,31.0,-31.0,,-27.2,,-29.0,-2.0,,,,,,-54.0,,-20.0,,-30.5,-39.1,,-48.6,-23.0,-16.9,,2.0,-54.0,,,,-42.2,,,-20.0,-80.0,,True,,True,True,,,,,,False,,True,,True,False,,False,True,True,,True,False,,,,False,,,True,False
18061,56,62.0,,62.2,,49.0,21.0,,,,,,34.8,,49.0,,46.2,31.9,,36.0,49.6,45.8,,75.0,116.0,,,,,,,65.0,22.7,6.0,,6.2,,-7.0,-35.0,,,,,,-21.2,,-7.0,,-9.8,-24.1,,-20.0,-6.4,-10.2,,19.0,60.0,,,,,,,9.0,-33.3,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,,,,False,False
18063,244,152.0,,148.8,,152.0,181.0,,,,,,131.3,,190.0,,102.5,150.0,,131.1,164.8,270.4,,189.0,129.0,,,,152.4,176.0,,182.0,71.7,-92.0,,-95.2,,-92.0,-63.0,,,,,,-112.7,,-54.0,,-141.5,-94.0,,-112.9,-79.2,26.4,,-55.0,-115.0,,,,-91.6,-68.0,,-62.0,-172.3,,False,,False,True,,,,,,False,,True,,False,False,,False,True,True,,True,False,,,,True,True,,True,False
18065,113,179.0,,178.8,,163.0,217.0,,,,,,137.0,,88.0,,127.8,73.3,,177.2,166.7,114.5,,203.0,188.0,,,,159.8,,,113.0,79.0,66.0,,65.8,,50.0,104.0,,,,,,24.0,,-25.0,,14.8,-39.7,,64.2,53.7,1.5,,90.0,75.0,,,,46.8,,,0.0,-34.0,,True,,True,False,,,,,,True,,True,,True,True,,True,True,True,,False,False,,,,True,,,True,True
18067,122,71.0,,67.3,,69.0,82.0,,,,,,92.6,,131.0,,63.5,84.0,,36.5,71.6,139.7,,85.0,54.0,,,,63.1,,,62.0,42.6,-51.0,,-54.7,,-53.0,-40.0,,,,,,-29.4,,9.0,,-58.5,-38.0,,-85.5,-50.4,17.7,,-37.0,-68.0,,,,-58.9,,,-60.0,-79.4,,False,,False,True,,,,,,True,,True,,False,True,,False,True,True,,True,False,,,,False,,,False,False
18069,62,41.0,,41.1,,41.0,48.0,,,,,,23.8,,53.0,,57.2,34.0,,23.8,38.5,46.5,,46.0,22.0,,,,,,,35.0,25.2,-21.0,,-20.9,,-21.0,-14.0,,,,,,-38.2,,-9.0,,-4.8,-28.0,,-38.2,-23.5,-15.5,,-16.0,-40.0,,,,,,,-27.0,-36.8,,True,,False,True,,,,,,False,,True,,True,False,,False,False,True,,True,False,,,,,,,False,False
18071,120,137.0,,137.1,,130.0,223.0,,,,,,96.2,,68.0,,110.7,50.4,,114.1,129.7,101.0,,158.0,109.0,,,,,,,110.0,62.1,17.0,,17.1,,10.0,103.0,,,,,,-23.8,,-52.0,,-9.3,-69.6,,-5.9,9.7,-19.0,,38.0,-11.0,,,,,,,-10.0,-57.9,,False,,True,False,,,,,,False,,False,,True,False,,True,True,False,,False,True,,,,,,,True,False
18073,123,82.0,,81.6,,65.0,101.0,,,,,,46.5,,47.0,,50.7,34.5,,56.1,67.0,49.9,,87.0,97.0,,,,,,,55.0,9.5,-41.0,,-41.4,,-58.0,-22.0,,,,,,-76.5,,-76.0,,-72.3,-88.5,,-66.9,-56.0,-73.1,,-36.0,-26.0,,,,,,,-68.0,-113.5,,False,,False,True,,,,,,False,,False,,False,False,,False,False,False,,True,True,,,,,,,False,False
18075,53,38.0,,39.0,,29.0,38.0,,,,,,27.3,,29.0,,30.0,23.5,,21.3,28.7,19.9,,41.0,38.0,,,,,,,36.0,16.4,-15.0,,-14.0,,-24.0,-15.0,,,,,,-25.7,,-24.0,,-23.0,-29.5,,-31.7,-24.3,-33.1,,-12.0,-15.0,,,,,,,-17.0,-36.6,,True,,False,False,,,,,,False,,False,,False,False,,False,False,False,,True,False,,,,,,,False,False
18077,20,28.0,,27.1,,28.0,42.0,,,,,,20.3,,41.0,,45.4,25.7,,9.8,24.1,28.0,,47.0,20.0,,,,,,,51.0,9.6,8.0,,7.1,,8.0,22.0,,,,,,0.3,,21.0,,25.4,5.7,,-10.2,4.1,8.0,,27.0,0.0,,,,,,,31.0,-10.4,,True,,False,False,,,,,,True,,False,,False,True,,False,True,True,,False,True,,,,,,,False,False
18079,17,19.0,,19.2,,18.0,11.0,,,,,,21.0,,37.0,,14.2,21.2,,9.9,17.9,20.7,,23.0,45.0,,,,,,,20.0,8.4,2.0,,2.2,,1.0,-6.0,,,,,,4.0,,20.0,,-2.8,4.2,,-7.1,0.9,3.7,,6.0,28.0,,,,,,,3.0,-8.6,,False,,True,False,,,,,,False,,False,,False,False,,False,True,False,,False,False,,,,,,,False,False
18081,288,273.0,,277.8,,253.0,339.0,,,,,,135.3,,207.0,,253.1,177.0,,197.7,239.4,267.6,,335.0,166.0,,,,240.2,272.0,,315.0,111.7,-15.0,,-10.2,,-35.0,51.0,,,,,,-152.7,,-81.0,,-34.9,-111.0,,-90.3,-48.6,-20.4,,47.0,-122.0,,,,-47.8,-16.0,,27.0,-176.3,,True,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,False,False,,False,False
18083,117,83.0,,78.9,,65.0,49.0,,,,,,62.3,,64.0,,31.5,33.2,,78.2,70.1,50.1,,87.0,82.0,,,,,,,37.0,20.7,-34.0,,-38.1,,-52.0,-68.0,,,,,,-54.7,,-53.0,,-85.5,-83.8,,-38.8,-46.9,-66.9,,-30.0,-35.0,,,,,,,-80.0,-96.3,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,True,False,,,,,,,False,False
18085,267,190.0,,187.3,,170.0,224.0,,,,,,166.6,,134.0,,138.3,68.4,,143.7,182.2,130.9,,243.0,308.0,,,,169.1,,,147.0,82.9,-77.0,,-79.7,,-97.0,-43.0,,,,,,-100.4,,-133.0,,-128.7,-198.6,,-123.3,-84.8,-136.1,,-24.0,41.0,,,,-97.9,,,-120.0,-184.1,,False,,False,True,,,,,,False,,False,,False,False,,False,False,False,,True,True,,,,False,,,False,False
18087,63,54.0,,54.7,,54.0,82.0,,,,,,47.9,,82.0,,53.7,16.5,,24.8,51.9,24.2,,72.0,58.0,,,,,,,61.0,24.0,-9.0,,-8.3,,-9.0,19.0,,,,,,-15.1,,19.0,,-9.3,-46.5,,-38.2,-11.1,-38.8,,9.0,-5.0,,,,,,,-2.0,-39.0,,True,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,True,,,,,,,True,False
18089,1284,1011.0,,995.0,975.7,1003.0,1200.0,,,,,,717.7,,586.0,,790.2,704.2,,1057.0,1156.0,806.0,,1151.0,980.0,,,,892.1,1534.0,,1032.0,386.2,-273.0,,-289.0,-308.3,-281.0,-84.0,,,,,,-566.3,,-698.0,,-493.8,-579.8,,-227.0,-128.0,-478.0,,-133.0,-304.0,,,,-391.9,250.0,,-252.0,-897.8,,False,False,False,True,,,,,,False,,False,,False,False,,True,True,False,,True,False,,,,False,True,,True,False
18091,248,268.0,,278.9,,237.0,298.0,,,,,,278.3,,186.0,,236.0,166.4,,174.4,217.7,215.8,,312.0,174.0,,,,238.1,,,231.0,129.5,20.0,,30.9,,-11.0,50.0,,,,,,30.3,,-62.0,,-12.0,-81.6,,-73.6,-30.3,-32.2,,64.0,-74.0,,,,-9.9,,,-17.0,-118.5,,False,,True,False,,,,,,False,,False,,True,False,,False,False,False,,False,False,,,,True,,,True,False
18093,201,113.0,,108.6,,109.0,204.0,,,,,,60.7,,71.0,,90.7,40.3,,131.3,127.5,70.2,,142.0,164.0,,,,,,,110.0,54.7,-88.0,,-92.4,,-92.0,3.0,,,,,,-140.3,,-130.0,,-110.3,-160.7,,-69.7,-73.5,-130.8,,-59.0,-37.0,,,,,,,-91.0,-146.3,,False,,False,True,,,,,,False,,False,,False,False,,True,True,False,,True,True,,,,,,,False,False
18095,235,217.0,,216.7,,217.0,238.0,,,,,,242.4,,186.0,,183.8,232.2,,187.3,226.0,184.8,,283.0,240.0,,,,222.2,272.0,,192.0,104.7,-18.0,,-18.3,,-18.0,3.0,,,,,,7.4,,-49.0,,-51.2,-2.8,,-47.7,-9.0,-50.2,,48.0,5.0,,,,-12.8,37.0,,-43.0,-130.3,,False,,False,True,,,,,,True,,False,,False,True,,False,True,False,,False,True,,,,True,False,,False,False
18097,1401,1252.0,,1257.6,1173.4,1183.0,1431.0,,,,,,675.9,,1074.0,,854.7,1386.5,,990.2,1193.3,1662.1,,1430.0,1109.0,,,,1145.4,1440.0,,1171.0,386.2,-149.0,,-143.4,-227.6,-218.0,30.0,,,,,,-725.1,,-327.0,,-546.3,-14.5,,-410.8,-207.7,261.1,,29.0,-292.0,,,,-255.6,39.0,,-230.0,-1014.8,,True,False,False,True,,,,,,False,,False,,False,True,,False,False,False,,True,False,,,,False,True,,False,False
18099,145,145.0,,142.7,,125.0,220.0,,,,,,80.4,,84.0,,131.8,38.5,,82.3,124.9,72.2,,163.0,142.0,,,,124.2,,,148.0,49.3,0.0,,-2.3,,-20.0,75.0,,,,,,-64.6,,-61.0,,-13.2,-106.5,,-62.7,-20.1,-72.8,,18.0,-3.0,,,,-20.8,,,3.0,-95.7,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,False,,,False,False
18101,10,10.0,,9.6,,9.0,0.0,,,,,,15.0,,15.0,,9.1,6.4,,5.0,11.9,3.1,,15.0,12.0,,,,,,,7.0,7.4,0.0,,-0.4,,-1.0,-10.0,,,,,,5.0,,5.0,,-0.9,-3.6,,-5.0,1.9,-6.9,,5.0,2.0,,,,,,,-3.0,-2.6,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,,,,False,False
18103,84,79.0,,72.5,,57.0,27.0,,,,,,44.9,,58.0,,55.6,33.5,,52.0,65.4,44.2,,90.0,89.0,,,,,,,92.0,10.3,-5.0,,-11.5,,-27.0,-57.0,,,,,,-39.1,,-26.0,,-28.4,-50.5,,-32.0,-18.6,-39.8,,6.0,5.0,,,,,,,8.0,-73.7,,False,,False,False,,,,,,False,,False,,False,False,,False,False,False,,False,False,,,,,,,False,False
18105,163,180.0,,183.9,,180.0,205.0,,,,,,374.8,,210.0,,186.4,186.8,,123.1,177.7,0.0,,163.0,112.0,,,,280.5,133.0,,196.0,137.6,17.0,,20.9,,17.0,42.0,,,,,,211.8,,47.0,,23.4,23.8,,-39.9,14.7,-163.0,,0.0,-51.0,,,,117.5,-30.0,,33.0,-25.4,,False,,False,False,,,,,,False,,False,,False,False,,False,True,False,,True,False,,,,False,False,,False,False
18107,49,28.0,,27.3,,25.0,4.0,,,,,,28.8,,49.0,,25.3,22.1,,10.5,25.0,47.7,,35.0,47.0,,,,,,,44.0,10.0,-21.0,,-21.7,,-24.0,-45.0,,,,,,-20.2,,0.0,,-23.7,-26.9,,-38.5,-24.0,-1.3,,-14.0,-2.0,,,,,,,-5.0,-39.0,,False,,False,False,,,,,,True,,True,,False,False,,False,False,True,,True,True,,,,,,,True,False
