,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Rhode Island,3824,2436.0,2449.3,1702.0,2353.0,,1706.5,682.0,3317.2,960.4,,1867.0,2371.0,2096.5,2387.4,1995.0,1824.1,1344.8,2296.3,2371.0,,149.4,1813.8,2037.8,1770.0,1368.9,2885.0,-1388.0,-1374.7,-2122.0,-1471.0,,-2117.5,-3142.0,-506.8,-2863.6,,-1957.0,-1453.0,-1727.5,-1436.6,-1829.0,-1999.9,-2479.2,-1527.7,-1453.0,,-3674.6,-2010.2,-1786.2,-2054.0,-2455.1,-939.0,True,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True
South Carolina,12720,11460.0,12182.8,11035.0,12178.0,,12290.3,6524.0,14636.9,7359.5,,12404.0,11612.0,15691.0,11222.8,4707.8,14747.9,9899.0,10938.8,12728.0,,8597.4,11027.6,8576.0,11379.7,10571.0,10556.0,-1260.0,-537.2,-1685.0,-542.0,,-429.7,-6196.0,1916.9,-5360.5,,-316.0,-1108.0,2971.0,-1497.2,-8012.2,2027.9,-2821.0,-1781.2,8.0,,-4122.6,-1692.4,-4144.0,-1340.3,-2149.0,-2164.0,True,False,True,,True,False,False,False,,True,True,False,False,False,False,False,False,True,,False,False,False,False,False,False
South Dakota,10194,7922.0,7973.4,7613.0,7515.0,,6381.3,5779.0,8517.5,6969.9,,8364.0,6565.0,10784.5,8863.4,2716.2,8147.6,8785.5,8353.6,10502.0,,6572.9,6891.9,5746.2,9970.4,10627.5,7322.0,-2272.0,-2220.6,-2581.0,-2679.0,,-3812.7,-4415.0,-1676.5,-3224.1,,-1830.0,-3629.0,590.5,-1330.6,-7477.8,-2046.4,-1408.5,-1840.4,308.0,,-3621.1,-3302.1,-4447.8,-223.6,433.5,-2872.0,True,False,False,,False,False,True,False,,True,False,True,True,False,True,True,True,True,,False,False,False,True,True,False
Tennessee,31438,26108.0,26840.6,21468.0,32815.0,,20329.3,13104.0,24119.1,12609.7,,25579.0,18084.0,20634.6,25021.0,10000.8,12976.2,22428.1,27085.4,30237.0,,19066.0,7374.3,21175.9,23297.4,27831.3,25629.0,-5330.0,-4597.4,-9970.0,1377.0,,-11108.7,-18334.0,-7318.9,-18828.3,,-5859.0,-13354.0,-10803.4,-6417.0,-21437.2,-18461.8,-9009.9,-4352.6,-1201.0,,-12372.0,-24063.7,-10262.1,-8140.6,-3606.7,-5809.0,True,False,True,,False,False,False,False,,False,False,False,False,False,False,False,True,True,,False,False,False,False,True,False
Texas,73628,56980.0,50045.6,50631.0,60559.0,,70973.0,29023.0,63312.6,41489.6,,57205.0,69342.0,70062.7,56520.0,40151.3,70597.1,36334.0,49431.7,67141.0,,50986.2,42894.6,44749.4,61507.4,46851.3,54957.0,-16648.0,-23582.4,-22997.0,-13069.0,,-2655.0,-44605.0,-10315.4,-32138.4,,-16423.0,-4286.0,-3565.3,-17108.0,-33476.7,-3030.9,-37294.0,-24196.3,-6487.0,,-22641.8,-30733.4,-28878.6,-12120.6,-26776.7,-18671.0,False,False,True,,True,False,True,False,,True,True,True,False,False,True,False,False,True,,False,False,False,True,False,False
Utah,18473,16838.0,16151.2,15333.0,16420.0,,18314.8,5564.0,21524.0,10387.2,,16999.0,12590.0,19923.8,12105.1,8922.9,19210.5,15615.6,16544.9,22090.0,,11557.0,7107.2,12273.5,15910.6,15897.1,16109.0,-1635.0,-2321.8,-3140.0,-2053.0,,-158.2,-12909.0,3051.0,-8085.8,,-1474.0,-5883.0,1450.8,-6367.9,-9550.1,737.5,-2857.4,-1928.1,3617.0,,-6916.0,-11365.8,-6199.5,-2562.4,-2575.9,-2364.0,False,False,False,,True,False,False,False,,True,False,True,False,False,True,False,False,False,,False,False,False,False,False,False
Vermont,186,158.0,157.7,125.0,144.0,,134.6,36.0,120.2,89.1,,88.0,86.0,119.6,244.7,222.2,61.3,105.3,159.0,238.0,,31.9,76.0,142.6,86.5,181.7,229.0,-28.0,-28.3,-61.0,-42.0,,-51.4,-150.0,-65.8,-96.9,,-98.0,-100.0,-66.4,58.7,36.2,-124.7,-80.7,-27.0,52.0,,-154.1,-110.0,-43.4,-99.5,-4.3,43.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,False,True,False
Virginia,14467,14052.0,13808.2,12932.0,18685.0,,10961.6,6532.0,12519.3,9915.8,,14902.0,10471.0,11610.9,13618.7,10857.4,11563.4,11686.4,14107.5,17117.0,,14134.3,12348.5,13317.8,13304.3,18922.5,16748.0,-415.0,-658.8,-1535.0,4218.0,,-3505.4,-7935.0,-1947.7,-4551.2,,435.0,-3996.0,-2856.1,-848.3,-3609.6,-2903.6,-2780.6,-359.5,2650.0,,-332.7,-2118.5,-1149.2,-1162.7,4455.5,2281.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False
Washington,9229,7232.0,7263.5,6555.0,7170.0,,6713.5,9476.0,5956.2,5326.3,,7360.0,5594.0,9669.5,7148.4,7560.3,6089.6,4159.3,6475.2,9661.0,,12005.2,3895.9,5580.7,7563.1,4504.2,7424.0,-1997.0,-1965.5,-2674.0,-2059.0,,-2515.5,247.0,-3272.8,-3902.7,,-1869.0,-3635.0,440.5,-2080.6,-1668.7,-3139.4,-5069.7,-2753.8,432.0,,2776.2,-5333.1,-3648.3,-1665.9,-4724.8,-1805.0,True,False,False,,False,True,False,False,,True,False,True,False,True,False,False,False,True,,False,False,False,True,False,True
West Virginia,3789,2892.0,2905.8,2913.0,3120.0,,2518.3,2892.0,3685.9,4002.1,,3189.0,1976.0,2662.1,3476.2,2658.7,3032.9,2879.2,3154.5,3692.0,,1975.5,3776.2,2118.9,3110.2,3882.1,2971.0,-897.0,-883.2,-876.0,-669.0,,-1270.7,-897.0,-103.1,213.1,,-600.0,-1813.0,-1126.9,-312.8,-1130.3,-756.1,-909.8,-634.5,-97.0,,-1813.5,-12.8,-1670.1,-678.8,93.1,-818.0,True,True,True,,False,False,True,True,,True,False,False,True,False,True,False,True,True,,False,True,False,True,True,True
Wisconsin,57579,33524.0,34014.6,34081.0,34834.0,,36333.7,17384.0,43607.8,32405.4,,37839.0,30528.0,45465.4,33756.8,16260.8,39617.8,34418.5,37092.7,43999.0,,37634.5,22885.6,25437.7,31234.3,37430.4,32687.0,-24055.0,-23564.4,-23498.0,-22745.0,,-21245.3,-40195.0,-13971.2,-25173.6,,-19740.0,-27051.0,-12113.6,-23822.2,-41318.2,-17961.2,-23160.5,-20486.3,-13580.0,,-19944.5,-34693.4,-32141.3,-26344.7,-20148.6,-24892.0,True,True,True,,True,False,True,False,,True,False,True,True,False,True,True,True,True,,True,False,False,False,True,False
Wyoming,3350,2180.0,2172.7,2168.0,1987.0,,2007.1,1256.0,2809.5,2018.4,,1955.0,1927.0,2287.2,2661.8,778.7,1968.7,2095.8,2270.3,3065.0,,2081.7,1466.6,1622.5,2985.7,2689.0,2505.0,-1170.0,-1177.3,-1182.0,-1363.0,,-1342.9,-2094.0,-540.5,-1331.6,,-1395.0,-1423.0,-1062.8,-688.2,-2571.3,-1381.3,-1254.2,-1079.7,-285.0,,-1268.3,-1883.4,-1727.5,-364.3,-661.0,-845.0,False,False,False,,False,False,True,False,,False,False,True,True,False,False,False,True,True,,False,False,False,True,True,True
US,868064,671182.0,668385.5,662367.0,732729.0,678581.3,667188.5,374024.0,726251.8,,602279.0,665818.0,564806.0,763668.3,636077.3,483782.0,698501.9,546291.2,762247.2,817059.0,765651.7,622720.9,350832.7,581449.7,699798.3,747372.9,693084.0,-196882.0,-199678.5,-205697.0,-135335.0,-189482.7,-200875.5,-494040.0,-141812.2,,-265785.0,-202246.0,-303258.0,-104395.7,-231986.7,-384282.0,-169562.1,-321772.8,-105816.8,-51005.0,-102412.3,-245343.1,-517231.3,-286614.3,-168265.7,-120691.1,-174980.0,False,False,True,True,False,False,True,,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,True
