,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
20117,141,116.0,,150.1,,136.0,45.0,,,,,136.8,88.0,,,225.0,,234.7,,95.7,,,252.0,78.3,0.0,,161.0,192.9,,,,,,,,,70.9,-25.0,,9.1,,-5.0,-96.0,,,,,-4.2,-53.0,,,84.0,,93.7,,-45.3,,,111.0,-62.7,-141.0,,20.0,51.9,,,,,,,,,-70.1,,True,,True,False,,,,,True,False,,,False,,False,,False,,,False,False,False,,True,False,,,,,,,,,False
20119,79,76.0,,71.0,,57.0,4.0,,,,,63.5,37.1,,,66.0,,38.8,,42.3,,,93.0,36.0,0.0,,78.0,57.7,,,,,,,,,40.0,-3.0,,-8.0,,-22.0,-75.0,,,,,-15.5,-41.9,,,-13.0,,-40.2,,-36.7,,,14.0,-43.0,-79.0,,-1.0,-21.3,,,,,,,,,-39.0,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,True,False,,,,,,,,,False
20121,736,536.0,,542.3,,493.0,290.0,,,,,427.6,373.2,,,648.0,,570.7,,472.7,518.5,,649.0,265.1,164.6,,675.0,460.0,,,,,,,,,503.4,-200.0,,-193.7,,-243.0,-446.0,,,,,-308.4,-362.8,,,-88.0,,-165.3,,-263.3,-217.5,,-87.0,-470.9,-571.4,,-61.0,-276.0,,,,,,,,,-232.6,,True,,False,False,,,,,False,False,,,True,,True,,False,False,,True,False,False,,True,False,,,,,,,,,False
20123,150,120.0,,170.8,,75.0,50.0,,,,,85.0,69.4,,,125.0,,65.2,,65.7,,,175.0,45.9,0.0,,111.0,64.3,,,,,,,,,22.8,-30.0,,20.8,,-75.0,-100.0,,,,,-65.0,-80.6,,,-25.0,,-84.8,,-84.3,,,25.0,-104.1,-150.0,,-39.0,-85.7,,,,,,,,,-127.2,,True,,False,False,,,,,False,False,,,True,,False,,False,,,True,False,False,,False,False,,,,,,,,,False
20125,910,812.0,,779.8,,763.0,923.0,,,,,578.0,437.1,,,864.0,,1899.9,,494.9,778.5,,809.0,401.5,276.5,,736.0,564.9,,,,,,,,,397.1,-98.0,,-130.2,,-147.0,13.0,,,,,-332.0,-472.9,,,-46.0,,989.9,,-415.1,-131.5,,-101.0,-508.5,-633.5,,-174.0,-345.1,,,,,,,,,-512.9,,False,,False,True,,,,,False,False,,,True,,False,,False,False,,False,False,False,,False,False,,,,,,,,,False
20127,106,136.0,,114.1,,99.0,88.0,,,,,83.1,57.7,,,107.0,,182.8,,91.0,,,169.0,56.5,1.7,,124.0,85.4,,,,,,,,,133.8,30.0,,8.1,,-7.0,-18.0,,,,,-22.9,-48.3,,,1.0,,76.8,,-15.0,,,63.0,-49.5,-104.3,,18.0,-20.6,,,,,,,,,27.8,,True,,True,True,,,,,True,False,,,True,,False,,True,,,False,False,False,,True,True,,,,,,,,,True
20129,20,24.0,,23.1,,23.0,0.0,,,,,26.6,24.0,,,68.0,,6.3,,16.6,,,56.0,8.3,0.0,,39.0,27.6,,,,,,,,,15.6,4.0,,3.1,,3.0,-20.0,,,,,6.6,4.0,,,48.0,,-13.7,,-3.4,,,36.0,-11.7,-20.0,,19.0,7.6,,,,,,,,,-4.4,,True,,True,False,,,,,False,True,,,False,,False,,True,,,False,False,False,,False,False,,,,,,,,,False
20131,103,96.0,,48.0,,76.0,24.0,,,,,205.5,58.1,,,214.0,,35.3,,104.0,,,98.0,45.2,0.0,,204.0,201.8,,,,,,,,,86.7,-7.0,,-55.0,,-27.0,-79.0,,,,,102.5,-44.9,,,111.0,,-67.7,,1.0,,,-5.0,-57.8,-103.0,,101.0,98.8,,,,,,,,,-16.3,,False,,False,False,,,,,False,False,,,False,,False,,True,,,True,False,False,,False,False,,,,,,,,,False
20133,476,284.0,,321.6,,248.0,173.0,,,,,258.6,177.7,,,415.0,,254.5,,232.3,,,402.0,125.6,67.6,,308.0,249.2,,,,,,,,,326.7,-192.0,,-154.4,,-228.0,-303.0,,,,,-217.4,-298.3,,,-61.0,,-221.5,,-243.7,,,-74.0,-350.4,-408.4,,-168.0,-226.8,,,,,,,,,-149.3,,True,,False,False,,,,,False,False,,,True,,False,,False,,,True,False,False,,True,False,,,,,,,,,True
20135,19,0.0,,0.6,,11.0,0.0,,,,,47.8,17.3,,,35.0,,27.1,,16.6,,,76.0,7.9,0.0,,40.0,86.2,,,,,,,,,2.3,-19.0,,-18.4,,-8.0,-19.0,,,,,28.8,-1.7,,,16.0,,8.1,,-2.4,,,57.0,-11.1,-19.0,,21.0,67.2,,,,,,,,,-16.7,,True,,True,False,,,,,False,True,,,True,,True,,True,,,False,True,False,,False,False,,,,,,,,,True
20137,40,80.0,,78.8,,72.0,0.0,,,,,158.3,28.6,,,70.0,,14.2,,40.3,,,110.0,36.9,0.0,,110.0,79.8,,,,,,,,,58.2,40.0,,38.8,,32.0,-40.0,,,,,118.3,-11.4,,,30.0,,-25.8,,0.3,,,70.0,-3.1,-40.0,,70.0,39.8,,,,,,,,,18.2,,True,,True,False,,,,,False,True,,,True,,True,,True,,,False,True,True,,False,True,,,,,,,,,True
20139,273,140.0,,136.2,,137.0,49.0,,,,,159.6,168.5,,,305.0,,152.0,,142.8,,,290.0,67.3,0.0,,207.0,111.4,,,,,,,,,177.2,-133.0,,-136.8,,-136.0,-224.0,,,,,-113.4,-104.5,,,32.0,,-121.0,,-130.2,,,17.0,-205.7,-273.0,,-66.0,-161.6,,,,,,,,,-95.8,,False,,False,False,,,,,True,True,,,True,,True,,True,,,True,False,False,,True,False,,,,,,,,,True
20141,101,0.0,,6.0,,16.0,0.0,,,,,30.4,34.6,,,50.0,,44.0,,27.4,,,72.0,12.3,0.0,,46.0,39.7,,,,,,,,,4.4,-101.0,,-95.0,,-85.0,-101.0,,,,,-70.6,-66.4,,,-51.0,,-57.0,,-73.6,,,-29.0,-88.7,-101.0,,-55.0,-61.3,,,,,,,,,-96.6,,True,,True,False,,,,,True,True,,,True,,True,,True,,,True,True,False,,True,True,,,,,,,,,True
20143,118,76.0,,79.6,,80.0,36.0,,,,,95.1,63.3,,,123.0,,90.6,,58.0,,,160.0,36.9,58.9,,99.0,84.2,,,,,,,,,48.1,-42.0,,-38.4,,-38.0,-82.0,,,,,-22.9,-54.7,,,5.0,,-27.4,,-60.0,,,42.0,-81.1,-59.1,,-19.0,-33.8,,,,,,,,,-69.9,,True,,True,False,,,,,True,False,,,True,,True,,False,,,False,False,False,,True,True,,,,,,,,,False
20145,140,264.0,,233.7,,173.0,,,,,,200.8,57.5,,,134.0,,84.1,,128.7,,,314.0,92.4,0.1,,183.0,231.8,,,,,,,,,166.6,124.0,,93.7,,33.0,,,,,,60.8,-82.5,,,-6.0,,-55.9,,-11.3,,,174.0,-47.6,-139.9,,43.0,91.8,,,,,,,,,26.6,,True,,True,,,,,,True,True,,,True,,True,,True,,,False,True,False,,True,True,,,,,,,,,True
20147,80,48.0,,45.7,,47.0,13.0,,,,,103.9,43.0,,,83.0,,20.2,,39.3,,,168.0,29.1,0.0,,101.0,97.5,,,,,,,,,38.5,-32.0,,-34.3,,-33.0,-67.0,,,,,23.9,-37.0,,,3.0,,-59.8,,-40.7,,,88.0,-50.9,-80.0,,21.0,17.5,,,,,,,,,-41.5,,False,,False,False,,,,,True,False,,,True,,False,,False,,,False,False,False,,True,True,,,,,,,,,False
20149,428,328.0,,336.6,,322.0,293.0,,,,,273.4,237.1,,,575.0,,672.2,,287.4,,,310.0,147.5,159.6,,438.0,356.8,,,,,,,,,193.0,-100.0,,-91.4,,-106.0,-135.0,,,,,-154.6,-190.9,,,147.0,,244.2,,-140.6,,,-118.0,-280.5,-268.4,,10.0,-71.2,,,,,,,,,-235.0,,True,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,True,True,,,,,,,,,False
20151,109,112.0,,112.7,,105.0,34.0,,,,,117.9,95.6,,,179.0,,67.0,,61.7,,,196.0,51.2,0.0,,145.0,112.6,,,,,,,,,38.4,3.0,,3.7,,-4.0,-75.0,,,,,8.9,-13.4,,,70.0,,-42.0,,-47.3,,,87.0,-57.8,-109.0,,36.0,3.6,,,,,,,,,-70.6,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,,,,,,,,,False
20153,30,84.0,,83.9,,49.0,,,,,,48.0,18.5,,,34.0,,17.6,,31.2,,,84.0,27.8,0.0,,69.0,84.3,,,,,,,,,23.9,54.0,,53.9,,19.0,,,,,,18.0,-11.5,,,4.0,,-12.4,,1.2,,,54.0,-2.2,-30.0,,39.0,54.3,,,,,,,,,-6.1,,True,,True,,,,,,True,True,,,True,,True,,True,,,False,True,True,,True,False,,,,,,,,,True
20155,1118,744.0,,769.2,,764.0,260.0,,,,,1149.7,534.5,,,1483.0,,414.4,,802.5,657.0,,2162.0,346.0,0.0,,922.0,1359.3,,,,,1807.6,,,,172.1,-374.0,,-348.8,,-354.0,-858.0,,,,,31.7,-583.5,,,365.0,,-703.6,,-315.5,-461.0,,1044.0,-772.0,-1118.0,,-196.0,241.3,,,,,689.6,,,,-945.9,,True,,True,False,,,,,True,False,,,True,,False,,True,False,,False,False,False,,True,True,,,,,False,,,,False
20157,95,140.0,,121.3,,68.0,46.0,,,,,111.4,46.8,,,91.0,,52.0,,65.9,,,32.0,46.3,0.0,,126.0,88.0,,,,,,,,,73.9,45.0,,26.3,,-27.0,-49.0,,,,,16.4,-48.2,,,-4.0,,-43.0,,-29.1,,,-63.0,-48.7,-95.0,,31.0,-7.0,,,,,,,,,-21.1,,True,,True,False,,,,,True,False,,,True,,True,,True,,,False,False,False,,True,True,,,,,,,,,True
20159,229,192.0,,218.2,,153.0,63.0,,,,,158.2,111.0,,,204.0,,158.3,,100.0,,,324.0,78.8,0.0,,188.0,115.1,,,,,,,,,84.9,-37.0,,-10.8,,-76.0,-166.0,,,,,-70.8,-118.0,,,-25.0,,-70.7,,-129.0,,,95.0,-150.2,-229.0,,-41.0,-113.9,,,,,,,,,-144.1,,True,,False,False,,,,,False,False,,,True,,False,,False,,,False,False,False,,False,False,,,,,,,,,False
20161,1126,716.0,,802.9,,654.0,352.0,,,,,863.4,767.4,,,1277.0,,520.3,,748.1,613.5,,1300.5,351.4,0.0,,1117.0,785.9,,,,,546.0,,,,694.4,-410.0,,-323.1,,-472.0,-774.0,,,,,-262.6,-358.6,,,151.0,,-605.7,,-377.9,-512.5,,174.5,-774.6,-1126.0,,-9.0,-340.1,,,,,-580.0,,,,-431.6,,True,,False,False,,,,,True,True,,,True,,False,,True,False,,True,False,False,,True,True,,,,,False,,,,False
20163,148,0.0,,2.9,,19.0,16.0,,,,,69.4,37.2,,,63.0,,0.5,,42.5,,,98.5,7.4,0.0,,69.0,80.6,,,,,,,,,36.0,-148.0,,-145.1,,-129.0,-132.0,,,,,-78.6,-110.8,,,-85.0,,-147.5,,-105.5,,,-49.5,-140.6,-148.0,,-79.0,-67.4,,,,,,,,,-112.0,,True,,True,True,,,,,True,True,,,True,,True,,True,,,True,True,True,,True,True,,,,,,,,,True
20165,76,40.0,,54.2,,39.0,0.0,,,,,55.4,25.1,,,43.0,,32.8,,24.2,,,134.0,24.9,0.0,,60.0,64.6,,,,,,,,,51.2,-36.0,,-21.8,,-37.0,-76.0,,,,,-20.6,-50.9,,,-33.0,,-43.2,,-51.8,,,58.0,-51.1,-76.0,,-16.0,-11.4,,,,,,,,,-24.8,,True,,False,False,,,,,True,False,,,True,,False,,False,,,False,False,False,,True,True,,,,,,,,,True
20167,79,60.0,,61.6,,64.0,27.0,,,,,109.2,58.9,,,117.0,,33.0,,55.4,,,232.0,32.2,0.0,,108.0,121.6,,,,,,,,,51.8,-19.0,,-17.4,,-15.0,-52.0,,,,,30.2,-20.1,,,38.0,,-46.0,,-23.6,,,153.0,-46.8,-79.0,,29.0,42.6,,,,,,,,,-27.2,,True,,True,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,,,,,,,,,False
20169,1335,1256.0,,1239.9,,1063.0,584.0,,,,,998.8,708.6,,,1147.0,,1394.7,,792.9,1051.0,,1741.0,614.5,317.9,,1100.0,1038.1,,,,,511.6,,,,1600.2,-79.0,,-95.1,,-272.0,-751.0,,,,,-336.2,-626.4,,,-188.0,,59.7,,-542.1,-284.0,,406.0,-720.5,-1017.1,,-235.0,-296.9,,,,,-823.4,,,,265.2,,False,,False,False,,,,,False,False,,,False,,True,,False,False,,False,False,False,,False,False,,,,,False,,,,False
20171,56,8.0,,0.0,,23.0,12.0,,,,,79.8,27.9,,,84.0,,2.6,,45.9,,,109.0,20.5,0.0,,68.0,75.1,,,,,,,,,4.0,-48.0,,-56.0,,-33.0,-44.0,,,,,23.8,-28.1,,,28.0,,-53.4,,-10.1,,,53.0,-35.5,-56.0,,12.0,19.1,,,,,,,,,-52.0,,False,,True,True,,,,,True,True,,,True,,False,,True,,,False,True,False,,True,True,,,,,,,,,False
20173,11249,7476.0,,8020.5,3930.6,7576.0,4182.0,,,,,6884.3,4333.3,,10229.7,8972.0,,5429.8,,5688.2,8671.5,,11473.0,3423.1,0.7,,8265.0,8888.5,,,,,9451.4,,,,3523.3,-3773.0,,-3228.5,-7318.4,-3673.0,-7067.0,,,,,-4364.7,-6915.7,,-1019.3,-2277.0,,-5819.2,,-5560.8,-2577.5,,224.0,-7825.9,-11248.3,,-2984.0,-2360.5,,,,,-1797.6,,,,-7725.7,,True,False,True,False,,,,,False,False,,True,True,,False,,False,True,,True,False,False,,True,True,,,,,True,,,,False
20175,202,296.0,,241.8,,210.0,55.0,,,,,585.3,135.9,,,727.0,,91.1,,311.9,,,629.0,122.7,0.0,,376.0,305.9,,,,,167.0,,,,129.5,94.0,,39.8,,8.0,-147.0,,,,,383.3,-66.1,,,525.0,,-110.9,,109.9,,,427.0,-79.3,-202.0,,174.0,103.9,,,,,-35.0,,,,-72.5,,True,,True,False,,,,,False,True,,,False,,False,,False,,,False,True,False,,False,False,,,,,True,,,,True
20177,3752,1940.0,,1988.0,,1999.0,962.0,,,,,2253.5,1692.5,,,3890.0,,1375.5,,1870.9,2038.0,,3772.0,945.7,0.1,,2422.0,2816.4,,,,,1976.1,,,,1728.7,-1812.0,,-1764.0,,-1753.0,-2790.0,,,,,-1498.5,-2059.5,,,138.0,,-2376.5,,-1881.1,-1714.0,,20.0,-2806.3,-3751.9,,-1330.0,-935.6,,,,,-1775.9,,,,-2023.3,,True,,True,False,,,,,True,False,,,True,,False,,False,True,,True,False,False,,True,True,,,,,True,,,,False
20179,49,40.0,,38.3,,39.0,,,,,,51.2,16.3,,,40.0,,26.5,,24.8,,,67.0,13.5,0.2,,58.0,53.6,,,,,,,,,20.5,-9.0,,-10.7,,-10.0,,,,,,2.2,-32.7,,,-9.0,,-22.5,,-24.2,,,18.0,-35.5,-48.8,,9.0,4.6,,,,,,,,,-28.5,,False,,False,,,,,,True,False,,,False,,False,,False,,,False,False,False,,False,True,,,,,,,,,False
20181,39,40.0,,31.7,,35.0,15.0,,,,,72.8,48.8,,,91.0,,15.5,,47.0,,,131.0,20.9,0.0,,75.0,79.7,,,,,,,,,41.0,1.0,,-7.3,,-4.0,-24.0,,,,,33.8,9.8,,,52.0,,-23.5,,8.0,,,92.0,-18.1,-39.0,,36.0,40.7,,,,,,,,,2.0,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,,,,,,,,,False
20183,45,32.0,,27.8,,25.0,0.0,,,,,29.3,36.6,,,56.0,,9.9,,16.3,,,78.0,13.1,0.0,,48.0,35.6,,,,,,,,,10.0,-13.0,,-17.2,,-20.0,-45.0,,,,,-15.7,-8.4,,,11.0,,-35.1,,-28.7,,,33.0,-31.9,-45.0,,3.0,-9.4,,,,,,,,,-35.0,,False,,False,False,,,,,False,True,,,True,,False,,False,,,False,False,False,,True,True,,,,,,,,,False
20185,49,36.0,,33.5,,34.0,5.0,,,,,47.2,40.9,,,50.0,,23.7,,23.4,,,72.0,17.5,0.0,,61.0,46.0,,,,,,,,,22.0,-13.0,,-15.5,,-15.0,-44.0,,,,,-1.8,-8.1,,,1.0,,-25.3,,-25.6,,,23.0,-31.5,-49.0,,12.0,-3.0,,,,,,,,,-27.0,,False,,False,False,,,,,True,True,,,True,,False,,False,,,False,False,False,,True,True,,,,,,,,,False
20187,11,8.0,,7.6,,7.0,0.0,,,,,24.1,11.3,,,29.0,,2.4,,10.5,,,16.0,2.5,0.0,,22.0,22.3,,,,,,,,,4.7,-3.0,,-3.4,,-4.0,-11.0,,,,,13.1,0.3,,,18.0,,-8.6,,-0.5,,,5.0,-8.5,-11.0,,11.0,11.3,,,,,,,,,-6.3,,False,,False,False,,,,,False,True,,,False,,False,,True,,,False,False,False,,False,False,,,,,,,,,False
20189,64,64.0,,69.9,,58.0,14.0,,,,,72.0,43.4,,,161.0,,20.8,,44.6,,,96.0,20.8,0.0,,81.0,60.9,,,,,,,,,72.6,0.0,,5.9,,-6.0,-50.0,,,,,8.0,-20.6,,,97.0,,-43.2,,-19.4,,,32.0,-43.2,-64.0,,17.0,-3.1,,,,,,,,,8.6,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,,,,,,,,,False
20191,511,332.0,,319.8,,281.0,118.0,,,,,283.8,266.5,,,479.0,,245.2,,223.8,,,499.0,149.7,0.0,,363.0,312.5,,,,,,,,,130.9,-179.0,,-191.2,,-230.0,-393.0,,,,,-227.2,-244.5,,,-32.0,,-265.8,,-287.2,,,-12.0,-361.3,-511.0,,-148.0,-198.5,,,,,,,,,-380.1,,False,,False,False,,,,,False,False,,,True,,False,,False,,,True,False,False,,True,False,,,,,,,,,False
20193,146,108.0,,116.5,,90.0,30.0,,,,,150.6,51.0,,,122.0,,36.5,,69.7,,,76.0,59.0,0.0,,124.0,175.8,,,,,,,,,75.6,-38.0,,-29.5,,-56.0,-116.0,,,,,4.6,-95.0,,,-24.0,,-109.5,,-76.3,,,-70.0,-87.0,-146.0,,-22.0,29.8,,,,,,,,,-70.4,,True,,False,False,,,,,True,False,,,True,,False,,False,,,False,False,False,,True,True,,,,,,,,,False
20195,71,48.0,,45.7,,48.0,,,,,,45.2,26.4,,,51.0,,21.5,,23.5,,,85.0,26.5,0.1,,59.0,54.5,,,,,,,,,25.5,-23.0,,-25.3,,-23.0,,,,,,-25.8,-44.6,,,-20.0,,-49.5,,-47.5,,,14.0,-44.5,-70.9,,-12.0,-16.5,,,,,,,,,-45.5,,False,,False,,,,,,False,False,,,True,,False,,False,,,True,False,False,,True,True,,,,,,,,,False
20197,194,72.0,,68.1,,63.0,9.0,,,,,74.8,69.4,,,114.0,,41.2,,52.9,,,92.0,24.4,0.0,,98.0,82.5,,,,,,,,,47.2,-122.0,,-125.9,,-131.0,-185.0,,,,,-119.2,-124.6,,,-80.0,,-152.8,,-141.1,,,-102.0,-169.6,-194.0,,-96.0,-111.5,,,,,,,,,-146.8,,False,,False,False,,,,,True,False,,,True,,False,,False,,,True,False,False,,True,True,,,,,,,,,False
20199,7,4.0,,7.5,,6.0,0.0,,,,,19.8,10.5,,,33.0,,3.9,,6.6,,,23.0,4.1,0.0,,18.0,15.9,,,,,,,,,3.4,-3.0,,0.5,,-1.0,-7.0,,,,,12.8,3.5,,,26.0,,-3.1,,-0.4,,,16.0,-2.9,-7.0,,11.0,8.9,,,,,,,,,-3.6,,True,,True,False,,,,,False,False,,,False,,False,,True,,,False,True,False,,False,False,,,,,,,,,False
20201,86,28.0,,25.0,,29.0,12.0,,,,,59.0,50.0,,,107.0,,29.2,,25.3,,,116.0,16.6,0.0,,83.0,54.1,,,,,,,,,29.5,-58.0,,-61.0,,-57.0,-74.0,,,,,-27.0,-36.0,,,21.0,,-56.8,,-60.7,,,30.0,-69.4,-86.0,,-3.0,-31.9,,,,,,,,,-56.5,,False,,True,False,,,,,True,True,,,True,,True,,False,,,True,False,False,,True,True,,,,,,,,,True
20203,30,4.0,,5.1,,4.0,0.0,,,,,24.3,17.4,,,30.0,,1.8,,6.4,,,50.0,2.5,0.0,,25.0,22.3,,,,,,,,,0.8,-26.0,,-24.9,,-26.0,-30.0,,,,,-5.7,-12.6,,,0.0,,-28.2,,-23.6,,,20.0,-27.5,-30.0,,-5.0,-7.7,,,,,,,,,-29.2,,True,,False,False,,,,,True,True,,,True,,False,,True,,,True,False,False,,True,True,,,,,,,,,False
20205,210,240.0,,241.7,,191.0,102.0,,,,,152.5,103.2,,,220.0,,219.8,,145.0,,,294.0,97.5,37.5,,193.0,156.4,,,,,,,,,287.9,30.0,,31.7,,-19.0,-108.0,,,,,-57.5,-106.8,,,10.0,,9.8,,-65.0,,,84.0,-112.5,-172.5,,-17.0,-53.6,,,,,,,,,77.9,,False,,True,False,,,,,False,False,,,True,,True,,False,,,False,False,False,,True,False,,,,,,,,,False
20207,83,12.0,,10.1,,14.0,0.0,,,,,16.3,25.4,,,47.0,,7.9,,16.4,,,36.0,6.9,,,44.0,34.7,,,,,,,,,16.4,-71.0,,-72.9,,-69.0,-83.0,,,,,-66.7,-57.6,,,-36.0,,-75.1,,-66.6,,,-47.0,-76.1,,,-39.0,-48.3,,,,,,,,,-66.6,,False,,True,False,,,,,True,True,,,True,,False,,True,,,True,False,,,True,True,,,,,,,,,True
20209,2894,3008.0,,3047.2,,2734.0,2357.0,,,,,3556.5,1467.9,,6040.5,3495.0,,3015.3,,2436.1,2838.5,,3626.0,1362.1,437.9,,3322.0,2998.1,,,,,1818.0,1856.0,,,2173.2,114.0,,153.2,,-160.0,-537.0,,,,,662.5,-1426.1,,3146.5,601.0,,121.3,,-457.9,-55.5,,732.0,-1531.9,-2456.1,,428.0,104.1,,,,,-1076.0,-1038.0,,,-720.8,,False,,False,False,,,,,False,False,,False,False,,False,,False,True,,False,False,False,,False,True,,,,,False,False,,,False
21001,213,120.0,,165.5,,141.0,58.0,,,,,249.3,164.1,,,531.0,,620.4,,220.3,,,533.0,125.1,0.0,,227.0,100.2,,,,,,,,,110.0,-93.0,,-47.5,,-72.0,-155.0,,,,,36.3,-48.9,,,318.0,,407.4,,7.3,,,320.0,-87.9,-213.0,,14.0,-112.8,,,,,,,,,-103.0,,True,,True,False,,,,,True,True,,,False,,False,,True,,,False,True,False,,True,False,,,,,,,,,False
21003,381,340.0,,337.3,,312.0,428.0,,,,,311.0,351.9,,,1077.0,,360.5,,336.8,,,552.0,226.4,50.9,,299.0,234.2,,,,,,,,,125.7,-41.0,,-43.7,,-69.0,47.0,,,,,-70.0,-29.1,,,696.0,,-20.5,,-44.2,,,171.0,-154.6,-330.1,,-82.0,-146.8,,,,,,,,,-255.3,,False,,False,False,,,,,False,True,,,False,,True,,False,,,False,False,False,,False,False,,,,,,,,,False
21005,424,448.0,,442.7,,307.0,353.0,,,,,269.1,499.8,,,461.0,,361.2,,316.9,,,411.0,266.4,62.8,,298.0,145.5,,,,,,,,,169.3,24.0,,18.7,,-117.0,-71.0,,,,,-154.9,75.8,,,37.0,,-62.8,,-107.1,,,-13.0,-157.6,-361.2,,-126.0,-278.5,,,,,,,,,-254.7,,True,,False,False,,,,,False,False,,,False,,False,,False,,,True,False,False,,False,False,,,,,,,,,False
21007,69,44.0,,43.0,,35.0,13.0,,,,,45.2,85.8,,,132.0,,19.4,,65.2,,,32.0,36.8,0.0,,67.0,26.0,,,,,,,,,23.4,-25.0,,-26.0,,-34.0,-56.0,,,,,-23.8,16.8,,,63.0,,-49.6,,-3.8,,,-37.0,-32.2,-69.0,,-2.0,-43.0,,,,,,,,,-45.6,,False,,False,False,,,,,True,True,,,False,,False,,True,,,False,False,False,,True,False,,,,,,,,,False
21009,757,404.0,,375.6,,307.0,269.0,,,,,512.2,406.9,,,1681.0,,169.7,,286.5,383.5,,311.0,250.2,0.0,,471.0,256.8,,,,,179.5,,,,254.6,-353.0,,-381.4,,-450.0,-488.0,,,,,-244.8,-350.1,,,924.0,,-587.3,,-470.5,-373.5,,-446.0,-506.8,-757.0,,-286.0,-500.2,,,,,-577.5,,,,-502.4,,False,,False,False,,,,,True,True,,,False,,False,,False,False,,False,False,False,,True,False,,,,,False,,,,False
21011,189,212.0,,240.5,,146.0,156.0,,,,,142.8,166.1,,,220.0,,119.5,,159.6,,,214.0,107.3,1.3,,176.0,90.0,,,,,,,,,121.4,23.0,,51.5,,-43.0,-33.0,,,,,-46.2,-22.9,,,31.0,,-69.5,,-29.4,,,25.0,-81.7,-187.7,,-13.0,-99.0,,,,,,,,,-67.6,,False,,False,False,,,,,False,True,,,False,,False,,False,,,False,False,False,,True,False,,,,,,,,,False
