,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nebraska,5944,5290.0,4994.1,5334.3,5458.0,4063.0,,6256.7,1062.0,5134.6,5576.2,6186.6,,5637.5,6922.0,5251.1,5990.0,4736.5,3990.3,6249.0,6055.6,7403.6,5320.5,6597.0,5939.0,4279.0,,5458.4,,2588.3,,4974.2,6047.5,5489.3,5446.2,5632.0,7053.0,,-654.0,-949.9,-609.7,-486.0,-1881.0,,312.7,-4882.0,-809.4,-367.8,242.6,,-306.5,978.0,-692.9,46.0,-1207.5,-1953.7,305.0,111.6,1459.6,-623.5,653.0,-5.0,-1665.0,,-485.6,,-3355.7,,-969.8,103.5,-454.7,-497.8,-312.0,1109.0,,False,True,True,False,,True,False,False,True,True,,True,False,False,True,False,False,True,True,False,True,True,True,False,,True,,False,,False,True,True,True,True,False,
Nevada,9623,13781.0,14732.3,14027.0,13839.0,18030.0,,15042.3,8628.0,13222.8,11586.7,13463.7,,14029.3,17460.0,16614.7,15841.0,9070.3,12543.8,10950.0,11616.5,11962.7,14780.8,14075.7,14590.0,11238.0,,13151.3,,9675.4,,10908.9,17443.6,12331.2,13879.1,14488.0,19022.6,,4158.0,5109.3,4404.0,4216.0,8407.0,,5419.3,-995.0,3599.8,1963.7,3840.7,,4406.3,7837.0,6991.7,6218.0,-552.7,2920.8,1327.0,1993.5,2339.7,5157.8,4452.7,4967.0,1615.0,,3528.3,,52.4,,1285.9,7820.6,2708.2,4256.1,4865.0,9399.6,,False,False,False,False,,False,True,True,True,True,,False,False,False,False,True,True,True,True,True,False,False,False,True,,True,,True,,True,False,True,False,False,False,
New Hampshire,5631,5074.0,5587.1,5018.4,5074.0,4512.0,,5131.5,2990.0,6995.5,4490.6,5360.6,,4838.0,5825.0,5093.8,5535.0,4028.1,4922.2,4722.0,5170.6,4403.7,3960.9,5607.6,5743.0,3620.0,,4880.4,,6179.8,,4070.2,7147.7,3542.9,5338.0,5160.0,5758.6,,-557.0,-43.9,-612.6,-557.0,-1119.0,,-499.5,-2641.0,1364.5,-1140.4,-270.4,,-793.0,194.0,-537.2,-96.0,-1602.9,-708.8,-909.0,-460.4,-1227.3,-1670.1,-23.4,112.0,-2011.0,,-750.6,,548.8,,-1560.8,1516.7,-2088.1,-293.0,-471.0,127.6,,True,False,False,False,,True,False,False,False,True,,False,True,True,True,False,False,False,True,False,False,True,True,False,,False,,True,,False,False,False,True,True,True,
New Jersey,35447,42839.0,36865.7,43197.5,42275.0,53207.0,,42166.3,26245.0,37189.8,45180.9,43662.2,,49013.1,43364.0,38144.7,44420.0,27603.0,40913.9,40362.5,40609.4,51632.9,34948.6,42611.3,44405.0,36342.0,,47069.0,,25912.6,,37925.2,42875.5,34400.1,45517.1,43109.0,43422.9,,7392.0,1418.7,7750.5,6828.0,17760.0,,6719.3,-9202.0,1742.8,9733.9,8215.2,,13566.1,7917.0,2697.7,8973.0,-7844.0,5466.9,4915.5,5162.4,16185.9,-498.4,7164.3,8958.0,895.0,,11622.0,,-9534.4,,2478.2,7428.5,-1046.9,10070.1,7662.0,7975.9,,True,False,True,False,,True,False,True,False,False,,False,False,True,False,False,True,True,True,False,True,True,False,True,,False,,False,,True,False,True,False,False,False,
New Mexico,5686,7939.0,8000.1,7800.9,7939.0,7358.0,,8456.3,3679.0,6482.4,6162.4,9053.9,,8174.0,8919.0,8261.1,8288.0,4779.6,7017.4,6539.5,6735.8,6911.6,6204.8,8090.4,8783.0,6748.0,,7616.2,,4110.5,,6360.6,9065.4,7901.8,8879.5,8256.0,8515.0,,2253.0,2314.1,2114.9,2253.0,1672.0,,2770.3,-2007.0,796.4,476.4,3367.9,,2488.0,3233.0,2575.1,2602.0,-906.4,1331.4,853.5,1049.8,1225.6,518.8,2404.4,3097.0,1062.0,,1930.2,,-1575.5,,674.6,3379.4,2215.8,3193.5,2570.0,2829.0,,False,True,False,True,,False,True,True,True,False,,False,False,False,False,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,False,False,False,
New York,94445,109583.0,100996.8,108775.1,113809.0,119811.0,,113666.3,121662.0,109193.9,95425.8,110048.2,,119850.8,108555.0,119623.7,,89059.7,118215.2,113799.5,101466.8,119042.2,101828.5,117987.1,128379.0,97037.0,,116113.5,,100558.0,,90644.4,132141.4,86573.3,100551.8,113818.0,191205.7,,15138.0,6551.8,14330.1,19364.0,25366.0,,19221.3,27217.0,14748.9,980.8,15603.2,,25405.8,14110.0,25178.7,,-5385.3,23770.2,19354.5,7021.8,24597.2,7383.5,23542.1,33934.0,2592.0,,21668.5,,6113.0,,-3800.6,37696.4,-7871.7,6106.8,19373.0,96760.7,,True,True,False,False,,False,False,True,True,False,,False,True,False,,True,False,False,True,False,True,False,False,True,,False,,True,,True,False,True,True,False,False,
North Carolina,44890,53471.0,56432.3,52628.9,56153.0,51880.0,,58487.3,42238.0,59787.9,62970.4,56868.2,,62911.9,59036.0,59073.1,57006.0,38118.9,63233.0,50603.0,49572.0,52806.0,57352.0,58825.5,63607.0,45111.0,,58588.4,,49712.9,,44264.1,65118.6,40745.9,54820.3,59105.0,70315.5,,8581.0,11542.3,7738.9,11263.0,6990.0,,13597.3,-2652.0,14897.9,18080.4,11978.2,,18021.9,14146.0,14183.1,12116.0,-6771.1,18343.0,5713.0,4682.0,7916.0,12462.0,13935.5,18717.0,221.0,,13698.4,,4822.9,,-625.9,20228.6,-4144.1,9930.3,14215.0,25425.5,,False,True,False,True,,False,True,False,False,False,,False,False,False,False,True,False,True,True,True,False,False,False,True,,False,,True,,True,False,True,False,False,False,
North Dakota,1006,1156.0,995.9,1213.0,1087.0,858.0,,1206.1,254.0,912.3,679.2,1405.0,,1117.3,1776.0,800.6,1237.0,1183.9,846.1,1007.0,1098.5,1086.7,698.8,1288.3,1159.0,1247.0,,1067.4,,582.9,,750.8,240.0,1476.7,701.4,1119.0,1322.7,,150.0,-10.1,207.0,81.0,-148.0,,200.1,-752.0,-93.7,-326.8,399.0,,111.3,770.0,-205.4,231.0,177.9,-159.9,1.0,92.5,80.7,-307.2,282.3,153.0,241.0,,61.4,,-423.1,,-255.2,-766.0,470.7,-304.6,113.0,316.7,,True,False,True,True,,False,False,True,False,False,,True,False,False,False,False,False,True,True,True,False,False,False,False,,True,,False,,False,False,False,False,True,False,
Ohio,38334,50530.0,51497.4,51810.5,50211.0,47732.0,,52531.5,20824.0,57329.7,42309.7,52865.3,,51266.9,54435.0,48600.9,50368.0,31229.7,44904.0,52363.5,43069.6,40962.5,46082.1,51255.2,56126.0,39860.0,,46898.9,,30562.8,,41484.6,56811.4,40909.0,46869.8,53111.0,68689.4,,12196.0,13163.4,13476.5,11877.0,9398.0,,14197.5,-17510.0,18995.7,3975.7,14531.3,,12932.9,16101.0,10266.9,12034.0,-7104.3,6570.0,14029.5,4735.6,2628.5,7748.1,12921.2,17792.0,1526.0,,8564.9,,-7771.2,,3150.6,18477.4,2575.0,8535.8,14777.0,30355.4,,False,False,True,True,,False,False,False,True,False,,False,False,True,True,True,True,False,True,True,True,False,False,True,,True,,True,,True,False,True,True,False,False,
Oklahoma,18484,26790.0,25990.8,27028.7,26401.0,26169.0,,28108.7,16423.0,26301.2,31521.8,24348.9,,26400.6,28850.0,29848.6,27340.0,14047.5,23683.5,18816.0,21168.6,25981.3,25543.6,27653.3,29001.0,21952.0,,26372.5,,14914.8,,18910.5,30427.5,21182.8,28335.8,27307.0,33065.7,,8306.0,7506.8,8544.7,7917.0,7685.0,,9624.7,-2061.0,7817.2,13037.8,5864.9,,7916.6,10366.0,11364.6,8856.0,-4436.5,5199.5,332.0,2684.6,7497.3,7059.6,9169.3,10517.0,3468.0,,7888.5,,-3569.2,,426.5,11943.5,2698.8,9851.8,8823.0,14581.7,,True,False,True,True,,False,True,True,False,True,,True,False,False,False,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,False,False,False,
Oregon,5188,7936.0,7409.7,7966.3,7487.0,7468.0,,8216.6,5105.0,8295.2,9772.3,8289.7,,8179.9,9267.0,7287.7,8770.0,6266.3,7408.1,6157.5,6629.9,5240.1,6882.7,7783.6,8882.0,5542.0,,7486.9,,8501.9,,6165.6,8702.2,7558.0,8397.9,8531.0,8065.9,,2748.0,2221.7,2778.3,2299.0,2280.0,,3028.6,-83.0,3107.2,4584.3,3101.7,,2991.9,4079.0,2099.7,3582.0,1078.3,2220.1,969.5,1441.9,52.1,1694.7,2595.6,3694.0,354.0,,2298.9,,3313.9,,977.6,3514.2,2370.0,3209.9,3343.0,2877.9,,True,False,True,True,,False,True,False,False,False,,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,True,False,False,False,
Pennsylvania,38096,48212.0,54159.4,48833.3,48572.0,44150.0,,51808.5,26893.0,54551.5,39123.3,49914.0,,49305.9,55480.0,50010.1,49874.0,34820.0,42968.9,41492.5,43222.4,54373.7,46201.7,48941.9,54304.0,35817.0,,44295.3,,64418.9,,38587.3,60694.1,36073.8,33038.8,52148.0,76712.4,,10116.0,16063.4,10737.3,10476.0,6054.0,,13712.5,-11203.0,16455.5,1027.3,11818.0,,11209.9,17384.0,11914.1,11778.0,-3276.0,4872.9,3396.5,5126.4,16277.7,8105.7,10845.9,16208.0,-2279.0,,6199.3,,26322.9,,491.3,22598.1,-2022.2,-5057.2,14052.0,38616.4,,False,False,False,True,,False,False,False,True,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,,True,,False,,True,False,True,True,False,False,
Rhode Island,5292,6829.0,6944.4,6648.5,6829.0,9186.0,,7131.3,2501.0,19488.8,5595.3,7178.7,,7165.6,7808.0,7058.2,6915.0,4426.0,5650.1,6531.0,6282.8,8233.0,7065.8,7635.6,7038.0,5679.0,,5341.7,,3953.1,,5479.9,9936.9,5304.6,5925.7,5854.0,8388.4,,1537.0,1652.4,1356.5,1537.0,3894.0,,1839.3,-2791.0,14196.8,303.3,1886.7,,1873.6,2516.0,1766.2,1623.0,-866.0,358.1,1239.0,990.8,2941.0,1773.8,2343.6,1746.0,387.0,,49.7,,-1338.9,,187.9,4644.9,12.6,633.7,562.0,3096.4,,False,True,False,False,,False,False,False,True,False,,False,False,False,False,True,True,True,True,False,False,False,False,True,,True,,True,,True,False,True,True,True,False,
South Carolina,31367,32338.0,31922.6,32948.0,34369.0,33085.0,,33653.4,51714.0,42880.2,34301.6,36483.9,,38977.5,33677.0,36198.4,30644.0,20087.7,38418.5,33567.5,34587.7,36090.2,26115.7,35778.5,38491.0,27480.0,,39878.4,,34978.8,,28035.1,41606.4,25308.5,36997.1,34369.0,39280.0,,971.0,555.6,1581.0,3002.0,1718.0,,2286.4,20347.0,11513.2,2934.6,5116.9,,7610.5,2310.0,4831.4,-723.0,-11279.3,7051.5,2200.5,3220.7,4723.2,-5251.3,4411.5,7124.0,-3887.0,,8511.4,,3611.8,,-3331.9,10239.4,-6058.5,5630.1,3002.0,7913.0,,True,False,False,False,,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,
South Dakota,1685,2377.0,1922.8,2457.4,2202.0,1727.0,,2369.2,1794.0,2544.9,1860.5,2576.0,,2227.2,2592.0,1753.6,2339.0,1772.8,1893.6,1583.5,1946.3,1885.3,2979.4,2383.9,2262.0,2427.0,,2037.7,,730.2,,2008.2,2300.0,2644.7,3054.9,2202.0,2632.6,,692.0,237.8,772.4,517.0,42.0,,684.2,109.0,859.9,175.5,891.0,,542.2,907.0,68.6,654.0,87.8,208.6,-101.5,261.3,200.3,1294.4,698.9,577.0,742.0,,352.7,,-954.8,,323.2,615.0,959.7,1369.9,517.0,947.6,,True,False,True,True,,True,True,False,True,False,,True,False,True,True,True,True,True,True,True,False,False,True,False,,True,,False,,True,True,False,False,True,False,
Tennessee,25029,34397.0,43565.2,35645.6,34397.0,31425.0,,35825.2,36376.0,35203.0,30595.6,33098.7,,32869.7,37464.0,33208.1,30594.0,24531.0,36615.6,24409.5,26986.7,33502.9,30750.1,38553.1,38493.0,26404.0,,33112.3,,39912.5,,25707.8,50510.6,26548.7,42689.9,36457.0,43225.2,,9368.0,18536.2,10616.6,9368.0,6396.0,,10796.2,11347.0,10174.0,5566.6,8069.7,,7840.7,12435.0,8179.1,5565.0,-498.0,11586.6,-619.5,1957.7,8473.9,5721.1,13524.1,13464.0,1375.0,,8083.3,,14883.5,,678.8,25481.6,1519.7,17660.9,11428.0,18196.2,,False,False,False,True,,False,False,False,True,True,,True,False,True,True,True,False,True,True,True,True,False,False,True,,True,,False,,True,False,True,False,False,False,
Texas,129811,160747.0,143662.5,166822.5,161430.0,168467.0,,162806.4,118062.0,131743.0,176000.8,143325.0,,166221.2,162112.0,169798.5,217069.0,116087.8,153900.2,139139.0,142145.3,,118915.1,163009.7,171215.0,139694.0,,159657.6,,106979.7,,127284.0,179435.9,140813.6,170787.6,155326.0,196207.6,,30936.0,13851.5,37011.5,31619.0,38656.0,,32995.4,-11749.0,1932.0,46189.8,13514.0,,36410.2,32301.0,39987.5,87258.0,-13723.2,24089.2,9328.0,12334.3,,-10895.9,33198.7,41404.0,9883.0,,29846.6,,-22831.3,,-2527.0,49624.9,11002.6,40976.6,25515.0,66396.6,,True,False,False,False,,False,True,True,False,True,,False,False,False,False,True,True,True,True,,True,False,False,True,,True,,True,,True,False,True,False,True,False,
Utah,12637,18529.0,17399.1,17502.6,18478.0,11049.0,,20374.7,19726.0,20221.6,10987.2,18221.5,,19226.6,20537.0,18457.3,18708.0,9942.4,15602.5,10238.5,15691.6,23791.7,17375.1,20178.6,19184.0,15869.0,,18477.7,,8961.1,,13205.4,22831.6,10569.2,20017.9,18806.0,12622.6,,5892.0,4762.1,4865.6,5841.0,-1588.0,,7737.7,7089.0,7584.6,-1649.8,5584.5,,6589.6,7900.0,5820.3,6071.0,-2694.6,2965.5,-2398.5,3054.6,11154.7,4738.1,7541.6,6547.0,3232.0,,5840.7,,-3675.9,,568.4,10194.6,-2067.8,7380.9,6169.0,-14.4,,True,True,True,True,,False,False,False,True,True,,False,False,True,False,True,True,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,False,True,
Vermont,993,1125.0,874.8,1172.9,1147.0,1147.0,,1207.4,800.0,1017.7,1368.5,1178.5,,1400.1,1260.0,2054.9,1364.0,1144.9,1602.2,1080.0,1061.8,1000.7,1153.6,1189.6,1483.0,1026.0,,1226.8,,694.9,,747.3,1117.7,898.6,994.1,1277.0,1249.9,,132.0,-118.2,179.9,154.0,154.0,,214.4,-193.0,24.7,375.5,185.5,,407.1,267.0,1061.9,371.0,151.9,609.2,87.0,68.8,7.7,160.6,196.6,490.0,33.0,,233.8,,-298.1,,-245.7,124.7,-94.4,1.1,284.0,256.9,,True,False,False,False,,False,False,True,False,False,,False,False,False,False,False,False,True,True,True,False,False,False,True,,False,,False,,False,True,True,True,False,False,
Virginia,39264,35676.0,34363.8,35298.3,35735.0,35735.0,,37212.7,29874.0,36455.4,35402.0,51847.2,,49928.7,36865.0,33974.7,35494.0,25400.5,43470.5,40818.0,47935.3,35670.6,37187.2,40882.8,41507.0,33240.0,,45908.4,,27368.0,,34594.2,41699.3,28681.6,39093.6,31871.0,41468.4,,-3588.0,-4900.2,-3965.7,-3529.0,-3529.0,,-2051.3,-9390.0,-2808.6,-3862.0,12583.2,,10664.7,-2399.0,-5289.3,-3770.0,-13863.5,4206.5,1554.0,8671.3,-3593.4,-2076.8,1618.8,2243.0,-6024.0,,6644.4,,-11896.0,,-4669.8,2435.3,-10582.4,-170.4,-7393.0,2204.4,,False,False,True,True,,True,False,True,False,False,,False,True,False,False,False,False,True,False,False,True,True,True,False,,False,,False,,False,True,False,True,False,True,
Washington,14228,14375.0,18888.6,12830.8,17717.0,12401.0,,19171.7,10898.0,15256.9,23907.2,16175.2,,17717.4,19699.0,28021.4,19232.0,11807.5,17200.6,18164.0,18369.4,19623.0,23445.7,20045.8,18514.0,9360.0,,16450.5,,20116.6,,16130.0,21279.5,13081.5,16179.9,16971.0,18812.0,,147.0,4660.6,-1397.2,3489.0,-1827.0,,4943.7,-3330.0,1028.9,9679.2,1947.2,,3489.4,5471.0,13793.4,5004.0,-2420.5,2972.6,3936.0,4141.4,5395.0,9217.7,5817.8,4286.0,-4868.0,,2222.5,,5888.6,,1902.0,7051.5,-1146.5,1951.9,2743.0,4584.0,,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,
West Virginia,6628,8346.0,9789.7,8384.6,8408.0,8247.0,,9191.0,8856.0,8455.6,6547.4,7347.8,,7998.7,8978.0,8275.6,8773.0,5916.6,9269.1,7046.5,6752.8,8847.6,8241.2,9367.2,10245.0,6973.0,,7525.5,,7412.3,,6081.5,12508.1,6777.4,10056.0,9272.0,10228.8,,1718.0,3161.7,1756.6,1780.0,1619.0,,2563.0,2228.0,1827.6,-80.6,719.8,,1370.7,2350.0,1647.6,2145.0,-711.4,2641.1,418.5,124.8,2219.6,1613.2,2739.2,3617.0,345.0,,897.5,,784.3,,-546.5,5880.1,149.4,3428.0,2644.0,3600.8,,False,False,False,True,,False,False,False,True,True,,True,False,True,False,True,False,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,False,False,
Wisconsin,13728,18141.0,17315.6,19556.6,18141.0,18506.0,,20265.4,3975.0,14474.5,12934.2,19563.2,,19733.9,18542.0,19397.6,17674.0,12627.0,14551.0,14875.5,16381.7,16662.2,16397.9,19243.6,20840.0,15380.0,,18497.3,,7399.3,,15038.6,23800.6,14364.9,15556.3,18784.0,22685.1,,4413.0,3587.6,5828.6,4413.0,4778.0,,6537.4,-9753.0,746.5,-793.8,5835.2,,6005.9,4814.0,5669.6,3946.0,-1101.0,823.0,1147.5,2653.7,2934.2,2669.9,5515.6,7112.0,1652.0,,4769.3,,-6328.7,,1310.6,10072.6,636.9,1828.3,5056.0,8957.1,,True,False,False,False,,False,False,True,True,False,,False,False,False,True,True,True,True,True,True,True,False,False,True,,False,,False,,True,False,True,True,False,False,
Wyoming,1515,2349.0,1925.1,2355.3,2227.0,1706.0,,2304.3,302.0,1736.5,3535.7,2377.3,,2278.6,2442.0,3125.9,2643.0,1191.2,1391.8,1865.0,2255.9,2273.0,1424.9,2115.9,2363.0,2017.0,,2225.0,,1129.4,,2229.0,1118.6,1907.1,2519.2,2020.0,2268.0,,834.0,410.1,840.3,712.0,191.0,,789.3,-1213.0,221.5,2020.7,862.3,,763.6,927.0,1610.9,1128.0,-323.8,-123.2,350.0,740.9,758.0,-90.1,600.9,848.0,502.0,,710.0,,-385.6,,714.0,-396.4,392.1,1004.2,505.0,753.0,,True,False,True,True,,True,False,True,False,False,,True,False,False,False,True,True,True,True,True,True,True,False,True,,True,,True,,True,True,True,False,True,True,
US,1232797,1565078.0,1575656.2,1560188.9,1590113.0,1619692.0,1652934.0,1648950.8,1661708.0,2611736.8,1579695.1,,1395134.3,1594907.6,1710956.0,1605523.7,,1112703.8,1574122.8,1393052.5,1432966.0,1892281.3,1486338.7,1642715.5,1754965.0,1557372.0,1672966.0,1585318.9,1416043.0,1307644.2,1551251.0,1269129.6,,1276030.4,1491135.9,1612452.0,2310173.6,1224299.3,332281.0,342859.2,327391.9,357316.0,386895.0,420137.0,416153.8,428911.0,1378939.8,346898.1,,162337.3,362110.6,478159.0,372726.7,,-120093.2,341325.8,160255.5,200169.0,659484.3,253541.7,409918.5,522168.0,324575.0,440169.0,352521.9,183246.0,74847.2,318454.0,36332.6,,43233.4,258338.9,379655.0,1077376.6,-8497.7,False,True,False,False,False,False,False,False,False,,True,False,False,False,,True,False,True,True,False,True,False,False,True,False,False,True,True,True,True,,True,True,False,False,True
