,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
New Jersey,150812,125936.0,114625.5,124898.0,120119.0,113976.0,,120387.9,153670.0,117852.1,101686.8,,102599.4,123032.0,156638.5,74137.9,117940.0,140142.6,127299.0,128463.2,106443.0,90782.2,115823.7,122459.0,,88584.3,257982.6,,108125.6,184931.9,101890.9,122589.0,97268.5,-24876.0,-36186.5,-25914.0,-30693.0,-36836.0,,-30424.1,2858.0,-32959.9,-49125.2,,-48212.6,-27780.0,5826.5,-76674.1,-32872.0,-10669.4,-23513.0,-22348.8,-44369.0,-60029.8,-34988.3,-28353.0,,-62227.7,107170.6,,-42686.4,34119.9,-48921.1,-28223.0,-53543.5,False,False,False,False,,False,True,False,False,,False,False,True,False,False,True,True,True,False,False,False,False,,False,False,,False,False,False,False,False
New Mexico,31353,33184.0,33816.1,32801.1,28210.0,17736.0,,30488.7,19849.0,37942.6,31315.3,,23387.7,39399.0,42726.4,15987.0,33542.0,22120.6,12913.5,27838.8,26887.0,22954.8,27886.3,22695.0,,23506.6,15664.6,,18142.2,38643.4,31375.0,29794.0,28406.7,1831.0,2463.1,1448.1,-3143.0,-13617.0,,-864.3,-11504.0,6589.6,-37.7,,-7965.3,8046.0,11373.4,-15366.0,2189.0,-9232.4,-18439.5,-3514.2,-4466.0,-8398.2,-3466.7,-8658.0,,-7846.4,-15688.4,,-13210.8,7290.4,22.0,-1559.0,-2946.3,False,True,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,True,False
New York,399298,305748.0,437953.4,303562.2,304333.0,320269.0,,307483.4,520044.0,390140.4,264725.3,,327512.7,280459.0,391521.9,278858.4,264475.0,378939.1,239761.5,318266.9,280226.0,246519.7,280867.5,332772.0,,271039.6,468715.5,,301801.6,466049.2,249948.9,293434.0,265571.9,-93550.0,38655.4,-95735.8,-94965.0,-79029.0,,-91814.6,120746.0,-9157.6,-134572.7,,-71785.3,-118839.0,-7776.1,-120439.6,-134823.0,-20358.9,-159536.5,-81031.1,-119072.0,-152778.3,-118430.5,-66526.0,,-128258.4,69417.5,,-97496.4,66751.2,-149349.1,-105864.0,-133726.1,True,False,False,True,,True,False,True,False,,True,False,True,False,False,True,False,True,False,False,False,True,,False,True,,False,True,False,False,False
North Carolina,198786,166648.0,240682.1,164923.1,165910.0,146435.0,,163925.8,222926.0,241126.9,235559.9,,176198.8,187406.0,213335.4,148813.3,144341.0,137937.1,121688.5,283310.8,178983.0,121478.3,191628.4,184826.0,,123025.6,125881.6,,157751.1,283250.0,155464.3,136564.0,171015.6,-32138.0,41896.1,-33862.9,-32876.0,-52351.0,,-34860.2,24140.0,42340.9,36773.9,,-22587.2,-11380.0,14549.4,-49972.7,-54445.0,-60848.9,-77097.5,84524.8,-19803.0,-77307.7,-7157.6,-13960.0,,-75760.4,-72904.4,,-41034.9,84464.0,-43321.7,-62222.0,-27770.4,False,False,False,False,,False,True,False,False,,True,True,True,False,False,False,False,False,True,False,True,True,,False,False,,False,False,False,False,True
North Dakota,5366,6280.0,2127.5,6855.9,5050.0,1764.0,,5958.6,2086.0,8776.8,5131.0,,2356.9,10414.0,6472.1,2174.3,3529.0,7222.4,1401.5,4703.8,2559.5,4812.3,7370.0,14760.0,,2156.2,4441.2,,11518.7,7913.1,5303.1,5684.0,2455.3,914.0,-3238.5,1489.9,-316.0,-3602.0,,592.6,-3280.0,3410.8,-235.0,,-3009.1,5048.0,1106.1,-3191.7,-1837.0,1856.4,-3964.5,-662.2,-2806.5,-553.7,2004.0,9394.0,,-3209.8,-924.8,,6152.7,2547.1,-62.9,318.0,-2910.7,False,False,True,False,,True,False,False,True,,False,False,False,False,False,False,False,True,False,True,False,False,,False,False,,False,False,True,True,False
Ohio,195173,200956.0,227428.9,206942.5,196097.0,141317.0,,212580.1,352135.0,338921.9,178089.3,,153530.3,244918.0,336983.3,124818.6,168569.0,135425.6,100973.5,208298.3,173965.5,166431.5,214032.8,179430.0,,95354.8,237705.2,,184096.1,369574.5,204407.9,246472.0,151455.4,5783.0,32255.9,11769.5,924.0,-53856.0,,17407.1,156962.0,143748.9,-17083.7,,-41642.7,49745.0,141810.3,-70354.4,-26604.0,-59747.4,-94199.5,13125.3,-21207.5,-28741.5,18859.8,-15743.0,,-99818.2,42532.2,,-11076.9,174401.5,9234.9,51299.0,-43717.6,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Oklahoma,93641,82560.0,116624.0,79762.3,82014.0,58391.0,,86670.9,130438.0,206460.4,67716.3,,78758.6,100642.0,117837.4,67061.6,84623.0,55750.1,52529.0,84860.5,99724.0,58978.1,82678.1,77381.0,,68884.5,52302.8,,68226.2,132411.7,72621.7,99412.0,65095.0,-11081.0,22983.0,-13878.7,-11627.0,-35250.0,,-6970.1,36797.0,112819.4,-25924.7,,-14882.4,7001.0,24196.4,-26579.4,-9018.0,-37890.9,-41112.0,-8780.5,6083.0,-34662.9,-10962.9,-16260.0,,-24756.5,-41338.2,,-25414.8,38770.7,-21019.3,5771.0,-28546.0,False,False,False,False,,True,False,False,False,,False,True,False,False,True,False,False,True,True,False,True,False,,False,False,,False,False,False,True,False
Oregon,29274,26048.0,28302.7,25086.6,25683.0,15763.0,,28304.0,49126.0,56616.9,39801.4,,21937.1,31746.0,34966.9,17561.8,23813.0,32478.2,16590.5,23618.2,25630.5,24989.0,29964.3,26183.0,,17013.2,55535.0,,23915.4,57192.0,23942.8,35359.0,24310.0,-3226.0,-971.3,-4187.4,-3591.0,-13511.0,,-970.0,19852.0,27342.9,10527.4,,-7336.9,2472.0,5692.9,-11712.2,-5461.0,3204.2,-12683.5,-5655.8,-3643.5,-4285.0,690.3,-3091.0,,-12260.8,26261.0,,-5358.6,27918.0,-5331.2,6085.0,-4964.0,True,False,False,False,,True,False,False,False,,False,True,False,False,False,True,False,False,False,False,True,True,,False,False,,False,False,False,False,False
Pennsylvania,194818,223488.0,247031.3,208402.6,204769.0,161723.0,,232161.5,492621.0,375138.2,215070.7,,154127.3,245735.0,328941.9,179657.6,190041.0,187021.2,220116.0,200065.4,210633.5,163221.6,204595.5,172922.0,,154901.4,334838.7,,186029.8,428445.3,128233.1,234735.0,218446.0,28670.0,52213.3,13584.6,9951.0,-33095.0,,37343.5,297803.0,180320.2,20252.7,,-40690.7,50917.0,134123.9,-15160.4,-4777.0,-7796.8,25298.0,5247.4,15815.5,-31596.4,9777.5,-21896.0,,-39916.6,140020.7,,-8788.2,233627.3,-66584.9,39917.0,23628.0,False,True,True,False,,False,False,False,True,,False,False,False,True,True,True,True,True,True,False,True,True,,False,False,,True,False,False,False,True
Rhode Island,27669,17016.0,16769.1,16115.6,14622.0,14938.0,,18747.0,13177.0,2631270.4,19993.4,,17414.5,19620.0,22078.6,11481.5,16060.0,17076.6,7671.5,11519.9,15475.0,9610.1,20844.4,12756.0,,11996.1,24234.6,,13053.2,43719.1,12053.3,12136.0,10239.1,-10653.0,-10899.9,-11553.4,-13047.0,-12731.0,,-8922.0,-14492.0,2603601.4,-7675.6,,-10254.5,-8049.0,-5590.4,-16187.5,-11609.0,-10592.4,-19997.5,-16149.1,-12194.0,-18058.9,-6824.6,-14913.0,,-15672.9,-3434.4,,-14615.8,16050.1,-15615.7,-15533.0,-17429.9,False,False,False,False,,True,False,False,True,,True,True,True,False,False,True,False,False,False,False,True,False,,False,True,,False,False,False,False,False
South Carolina,124897,73420.0,124790.6,71925.6,86007.0,52052.0,,93005.7,84923.0,246133.5,88057.8,,145164.9,87006.0,117411.2,84837.9,76627.0,58666.8,79653.0,160452.0,106799.5,92911.6,114100.5,100088.0,,65428.8,104556.3,,79046.2,143364.8,52469.5,77123.0,68658.3,-51477.0,-106.4,-52971.4,-38890.0,-72845.0,,-31891.3,-39974.0,121236.5,-36839.2,,20267.9,-37891.0,-7485.8,-40059.1,-48270.0,-66230.2,-45244.0,35555.0,-18097.5,-31985.4,-10796.5,-24809.0,,-59468.2,-20340.7,,-45850.8,18467.8,-72427.5,-47774.0,-56238.7,True,False,True,False,,True,True,False,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,,True,True,False,True,False
South Dakota,10000,10508.0,8044.3,10563.4,9006.0,4610.0,,11019.3,5596.0,15608.9,10821.1,,6507.9,13734.0,12111.2,4369.5,7712.0,7957.0,3718.5,8888.9,7439.5,8401.9,11534.4,16830.0,,6498.4,3477.1,,16300.9,9064.6,15291.4,10984.0,8935.4,508.0,-1955.7,563.4,-994.0,-5390.0,,1019.3,-4404.0,5608.9,821.1,,-3492.1,3734.0,2111.2,-5630.5,-2288.0,-2043.0,-6281.5,-1111.1,-2560.5,-1598.1,1534.4,6830.0,,-3501.6,-6522.9,,6300.9,-935.4,5291.4,984.0,-1064.6,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Tennessee,144984,228964.0,291369.6,220735.2,221064.0,139300.0,,233782.8,264888.0,314394.1,226535.3,,187690.0,233541.0,359035.4,274679.6,203898.0,114840.5,177357.5,424250.2,329187.0,146960.7,200585.3,175461.0,,132870.3,161729.3,,196987.0,400090.1,208821.9,226489.0,216089.6,83980.0,146385.6,75751.2,76080.0,-5684.0,,88798.8,119904.0,169410.1,81551.3,,42706.0,88557.0,214051.4,129695.6,58914.0,-30143.5,32373.5,279266.2,184203.0,1976.7,55601.3,30477.0,,-12113.7,16745.3,,52003.0,255106.1,63837.9,81505.0,71105.6,False,True,True,True,,False,False,False,True,,True,False,False,False,True,True,True,False,False,True,True,True,,True,True,,True,False,True,True,True
Texas,572118,335724.0,544827.6,351557.0,389091.0,397185.0,,394967.7,359638.0,1261073.0,338644.1,,680972.5,503500.0,538941.3,394556.4,410625.0,378776.9,236499.5,527980.6,453175.0,356721.1,398027.7,448034.0,,210339.0,457629.4,,280313.5,633054.3,315142.9,332249.0,247880.9,-236394.0,-27290.4,-220561.0,-183027.0,-174933.0,,-177150.3,-212480.0,688955.0,-233473.9,,108854.5,-68618.0,-33176.7,-177561.6,-161493.0,-193341.1,-335618.5,-44137.4,-118943.0,-215396.9,-174090.3,-124084.0,,-361779.0,-114488.6,,-291804.5,60936.3,-256975.1,-239869.0,-324237.1,True,True,True,True,,True,True,False,True,,True,True,True,True,True,True,False,True,True,True,True,True,,False,True,,False,True,False,False,False
Utah,70811,60432.0,69897.6,59887.5,57412.0,42193.0,,64443.0,86451.0,92092.1,52688.0,,42245.5,73425.0,75336.8,28770.7,57197.0,31919.5,25853.5,56273.1,50572.5,40195.3,52030.6,63976.0,,,49043.2,,44619.6,90928.5,59775.2,61295.0,41128.7,-10379.0,-913.4,-10923.5,-13399.0,-28618.0,,-6368.0,15640.0,21281.1,-18123.0,,-28565.5,2614.0,4525.8,-42040.3,-13614.0,-38891.5,-44957.5,-14537.9,-20238.5,-30615.7,-18780.4,-6835.0,,,-21767.8,,-26191.4,20117.5,-11035.8,-9516.0,-29682.3,True,False,False,False,,True,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,True,,,False,,False,False,False,True,False
Vermont,3942,2492.0,2094.2,2696.7,2561.0,1662.0,,2376.1,6108.0,2281.5,5711.1,,2141.6,2908.0,3132.1,2095.1,2683.0,4591.3,3128.5,9566.0,2577.0,1834.1,3082.3,4782.0,,1721.5,3904.8,,2939.3,4809.6,2024.0,2837.0,1588.7,-1450.0,-1847.8,-1245.3,-1381.0,-2280.0,,-1565.9,2166.0,-1660.5,1769.1,,-1800.4,-1034.0,-809.9,-1846.9,-1259.0,649.3,-813.5,5624.0,-1365.0,-2107.9,-859.7,840.0,,-2220.5,-37.2,,-1002.7,867.6,-1918.0,-1105.0,-2353.3,False,True,True,False,,False,False,False,False,,False,True,True,False,True,True,True,False,True,False,True,True,,False,True,,True,True,False,True,False
Virginia,139078,106420.0,159520.7,104745.5,108630.0,113593.0,,108197.4,101692.0,154686.5,87860.5,,110336.9,118023.0,138017.2,105723.3,107454.0,106930.9,124566.5,154686.0,111360.5,96092.7,120432.9,121628.0,,97568.9,61018.7,,79643.2,162239.4,106689.0,91910.0,86947.0,-32658.0,20442.7,-34332.5,-30448.0,-25485.0,,-30880.6,-37386.0,15608.5,-51217.5,,-28741.1,-21055.0,-1060.8,-33354.7,-31624.0,-32147.1,-14511.5,15608.0,-27717.5,-42985.3,-18645.1,-17450.0,,-41509.1,-78059.3,,-59434.8,23161.4,-32389.0,-47168.0,-52131.0,True,False,True,True,,True,False,True,False,,True,True,True,False,True,True,True,True,True,False,True,True,,False,False,,False,True,True,False,False
Washington,63479,56476.0,71911.6,49817.4,54559.0,74703.0,,49898.5,54997.0,76322.2,59702.2,,48763.8,61878.0,91157.7,28802.4,53340.0,54218.3,20935.0,50947.9,62537.0,32173.5,59670.5,60374.0,,34707.5,120339.6,,54197.4,95894.0,55446.6,61436.0,50640.4,-7003.0,8432.6,-13661.6,-8920.0,11224.0,,-13580.5,-8482.0,12843.2,-3776.8,,-14715.2,-1601.0,27678.7,-34676.6,-10139.0,-9260.7,-42544.0,-12531.1,-942.0,-31305.5,-3808.5,-3105.0,,-28771.5,56860.6,,-9281.6,32415.0,-8032.4,-2043.0,-12838.6,False,False,False,False,,False,False,False,True,,False,True,False,False,False,False,False,False,True,False,True,True,,False,False,,False,False,False,True,False
West Virginia,34575,35848.0,46573.0,36369.2,35031.0,28575.0,,38190.4,53988.0,67086.5,33310.0,,35434.8,34686.0,51856.7,30270.7,35593.0,25862.0,39128.5,34965.1,34443.5,28467.0,34402.8,32542.0,,26927.3,34427.6,,29672.6,56583.3,43452.6,35301.0,27991.0,1273.0,11998.0,1794.2,456.0,-6000.0,,3615.4,19413.0,32511.5,-1265.0,,859.8,111.0,17281.7,-4304.3,1018.0,-8713.0,4553.5,390.1,-131.5,-6108.0,-172.2,-2033.0,,-7647.7,-147.4,,-4902.4,22008.3,8877.6,726.0,-6584.0,False,False,True,False,,False,False,False,True,,True,True,False,False,True,False,False,True,True,False,True,False,,False,True,,False,False,False,True,False
Wisconsin,73981,61372.0,95078.5,65142.8,57400.0,31947.0,,64734.3,27445.0,118688.5,46282.6,,44357.0,88947.0,99178.6,33820.0,59932.0,48807.3,27095.0,57602.7,54112.0,49891.2,62804.1,89546.0,,34292.1,32322.7,,59018.3,96516.3,17508.8,55875.0,55132.0,-12609.0,21097.5,-8838.2,-16581.0,-42034.0,,-9246.7,-46536.0,44707.5,-27698.4,,-29624.0,14966.0,25197.6,-40161.0,-14049.0,-25173.7,-46886.0,-16378.3,-19869.0,-24089.8,-11176.9,15565.0,,-39688.9,-41658.3,,-14962.7,22535.3,-56472.2,-18106.0,-18849.0,False,True,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False
Wyoming,7437,6632.0,3842.5,6661.3,5357.0,2881.0,,6890.8,4397.0,6724.5,9867.5,,3415.2,8908.0,8601.3,3758.8,5122.0,4693.0,1800.5,3882.7,4157.0,3616.6,7747.1,8690.0,,2789.4,7237.3,,6622.8,10692.5,11627.4,5779.0,4125.7,-805.0,-3594.5,-775.7,-2080.0,-4556.0,,-546.2,-3040.0,-712.5,2430.5,,-4021.8,1471.0,1164.3,-3678.2,-2315.0,-2744.0,-5636.5,-3554.3,-3280.0,-3820.4,310.1,1253.0,,-4647.6,-199.7,,-814.2,3255.5,4190.4,-1658.0,-3311.3,False,True,False,False,,True,False,True,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,True,,False,False,False,False,False
US,5950440,5308172.0,6649777.3,5299076.2,5413386.0,4418992.0,5803431.0,5143017.4,6106536.0,71683599.8,,5086613.0,5661840.0,5537958.0,7767880.7,5315837.2,4977647.0,4495768.3,,8766207.1,5270013.5,4620790.1,5353706.6,5999501.0,5984957.0,4605354.8,5793339.5,5532419.0,4482447.7,,3506341.4,5620727.0,5313454.4,-642268.0,699337.3,-651363.8,-537054.0,-1531448.0,-147009.0,-807422.6,156096.0,65733159.8,,-863827.0,-288600.0,-412482.0,1817440.7,-634602.8,-972793.0,-1454671.7,,2815767.1,-680426.5,-1329649.9,-596733.4,49061.0,34517.0,-1345085.2,-157100.5,-418021.0,-1467992.3,,-2444098.6,-329713.0,-636985.6,False,False,True,False,True,False,True,False,,False,True,True,False,True,False,False,,False,False,False,True,True,True,False,True,True,False,,False,True,True
