,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
New Hampshire,16370,15819.0,16572.8,15987.7,15266.0,22333.0,,15096.2,15155.0,10996.8,17102.4,,13878.4,16061.0,24014.6,17377.0,11667.2,13775.5,12087.1,17299.0,14048.9,16927.7,17162.0,12899.0,,15113.9,27444.4,,12804.7,25529.4,13136.8,17246.0,15885.3,10944.9,-551.0,202.8,-382.3,-1104.0,5963.0,,-1273.8,-1215.0,-5373.2,732.4,,-2491.6,-309.0,7644.6,1007.0,-4702.8,-2594.5,-4282.9,929.0,-2321.1,557.7,792.0,-3471.0,,-1256.1,11074.4,,-3565.3,9159.4,-3233.2,876.0,-484.7,-5425.1,True,True,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False
New Jersey,116334,88413.0,84885.0,88607.0,87564.0,134579.0,,90764.4,89115.0,70354.4,111710.4,,86573.9,88482.0,92221.0,76979.0,80032.5,84571.5,86761.0,75191.5,87435.8,88669.9,87459.0,67444.0,,89454.8,71190.0,,72626.2,135284.3,109032.0,88010.0,106443.3,72834.2,-27921.0,-31449.0,-27727.0,-28770.0,18245.0,,-25569.6,-27219.0,-45979.6,-4623.6,,-29760.1,-27852.0,-24113.0,-39355.0,-36301.5,-31762.5,-29573.0,-41142.5,-28898.2,-27664.1,-28875.0,-48890.0,,-26879.2,-45144.0,,-43707.8,18950.3,-7302.0,-28324.0,-9890.7,-43499.8,False,True,False,True,,True,True,False,True,,False,True,True,False,False,False,False,False,False,True,False,False,,True,False,,False,True,True,False,True,False
New Mexico,23200,24459.0,27852.6,24919.8,20806.0,27437.0,,21936.5,11985.0,16615.2,22958.7,,16726.6,22933.0,25171.5,23745.0,12625.4,18496.0,18386.5,17035.5,21168.8,20585.9,22422.0,17952.0,,17218.3,11573.8,,15627.9,21157.5,27513.3,21822.0,27565.7,16021.9,1259.0,4652.6,1719.8,-2394.0,4237.0,,-1263.5,-11215.0,-6584.8,-241.3,,-6473.4,-267.0,1971.5,545.0,-10574.6,-4704.0,-4813.5,-6164.5,-2031.2,-2614.1,-778.0,-5248.0,,-5981.7,-11626.2,,-7572.1,-2042.5,4313.3,-1378.0,4365.7,-7178.1,False,False,False,False,,False,False,False,True,,False,True,False,True,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,False
New York,311647,262953.0,222439.1,262547.4,265624.0,380966.0,,293142.9,312174.0,249084.9,235903.3,,341254.6,230439.0,402818.0,235795.0,255704.0,234350.5,315337.2,344509.5,293452.3,253501.3,308560.0,262920.0,,221057.1,304716.9,,383221.7,353700.3,381600.6,253689.0,298275.8,198102.5,-48694.0,-89207.9,-49099.6,-46023.0,69319.0,,-18504.1,527.0,-62562.1,-75743.7,,29607.6,-81208.0,91171.0,-75852.0,-55943.0,-77296.5,3690.2,32862.5,-18194.7,-58145.7,-3087.0,-48727.0,,-90589.9,-6930.1,,71574.7,42053.3,69953.6,-57958.0,-13371.2,-113544.5,False,False,True,False,,True,True,False,False,,True,False,False,False,False,False,True,True,True,False,True,False,,False,True,,False,True,False,False,True,False
North Carolina,154279,133521.0,150906.2,133148.2,133761.0,205835.0,,131161.2,170417.0,103449.2,168004.3,,145958.6,142986.0,161034.5,131045.0,93977.0,122409.5,180499.1,115107.5,131168.1,157031.3,148705.0,128168.0,,158519.1,93787.2,,128733.7,209274.4,130474.5,112836.0,170451.8,103640.7,-20758.0,-3372.8,-21130.8,-20518.0,51556.0,,-23117.8,16138.0,-50829.8,13725.3,,-8320.4,-11293.0,6755.5,-23234.0,-60302.0,-31869.5,26220.1,-39171.5,-23110.9,2752.3,-5574.0,-26111.0,,4240.1,-60491.8,,-25545.3,54995.4,-23804.5,-41443.0,16172.8,-50638.3,True,False,True,False,,False,True,False,True,,True,True,True,False,False,False,False,False,False,True,True,False,,True,False,,False,False,False,False,True,False
North Dakota,3829,4611.0,6816.1,4491.4,3477.0,2888.0,,3858.3,1033.0,2704.2,3057.1,,2211.7,5990.0,3486.0,4180.0,4572.0,1783.5,2726.8,2050.5,4070.5,4633.0,3242.0,7333.0,,3126.5,2671.5,,7130.1,0.0,1888.1,3425.0,4026.8,2581.3,782.0,2987.1,662.4,-352.0,-941.0,,29.3,-2796.0,-1124.8,-771.9,,-1617.3,2161.0,-343.0,351.0,743.0,-2045.5,-1102.2,-1778.5,241.5,804.0,-587.0,3504.0,,-702.5,-1157.5,,3301.1,-3829.0,-1940.9,-404.0,197.8,-1247.7,False,True,True,False,,True,False,False,True,,False,False,True,True,True,False,False,False,True,False,True,False,,True,False,,False,False,False,True,True,False
Ohio,145168,150015.0,176682.9,165490.0,133343.0,225085.0,,138304.8,207787.0,95543.3,173962.5,,115939.7,148814.0,134177.6,117401.0,87404.8,119611.5,129667.0,120184.0,118700.5,141169.6,152927.0,127919.0,,114577.4,101262.2,,120675.1,181493.2,194098.8,160739.0,164857.6,79982.0,4847.0,31514.9,20322.0,-11825.0,79917.0,,-6863.2,62619.0,-49624.7,28794.5,,-29228.3,3646.0,-10990.4,-27767.0,-57763.2,-25556.5,-15501.0,-24984.0,-26467.5,-3998.4,7759.0,-17249.0,,-30590.6,-43905.8,,-24492.9,36325.2,48930.8,15571.0,19689.6,-65186.0,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,True,False,False,,False,False,,False,False,False,False,False,False
Oklahoma,74094,58641.0,77446.7,58132.4,60129.0,57766.0,,56070.7,82699.0,65098.2,43488.9,,86346.0,59254.0,61145.5,57371.0,35257.2,47645.0,57686.2,78086.5,65929.6,73039.1,60357.0,55458.0,,58074.1,41862.9,,55798.2,100166.6,63957.4,61446.0,65925.3,58009.9,-15453.0,3352.7,-15961.6,-13965.0,-16328.0,,-18023.3,8605.0,-8995.8,-30605.1,,12252.0,-14840.0,-12948.5,-16723.0,-38836.8,-26449.0,-16407.8,3992.5,-8164.4,-1054.9,-13737.0,-18636.0,,-16019.9,-32231.1,,-18295.8,26072.6,-10136.6,-12648.0,-8168.7,-16084.1,True,False,True,False,,False,True,True,False,,True,True,True,False,False,False,False,True,True,True,True,False,,False,False,,False,False,True,True,True,False
Oregon,21252,24066.0,25994.4,24833.1,22943.0,40516.0,,19356.2,34321.0,17884.1,23550.8,,18985.1,21556.0,23907.9,22686.0,19071.4,22217.5,15551.5,27092.5,22043.4,24098.8,25407.0,20956.0,,19407.2,30491.4,,24661.7,32866.5,21246.3,25432.0,24857.1,13721.2,2814.0,4742.4,3581.1,1691.0,19264.0,,-1895.8,13069.0,-3367.9,2298.8,,-2266.9,304.0,2655.9,1434.0,-2180.6,965.5,-5700.5,5840.5,791.4,2846.8,4155.0,-296.0,,-1844.8,9239.4,,3409.7,11614.5,-5.7,4180.0,3605.1,-7530.8,False,False,True,False,,True,False,False,True,,True,True,True,True,True,True,False,False,True,False,False,True,,True,False,,False,False,True,False,False,False
Pennsylvania,143005,155439.0,163643.5,154825.1,144744.0,286037.0,,148687.0,261811.0,143798.9,140614.6,,118306.2,157144.0,135657.0,119400.0,106630.4,144024.5,120676.9,118730.0,135211.4,131256.5,160834.0,106925.0,,111775.7,227988.6,,174828.7,259864.8,208735.1,153957.0,200889.5,107586.2,12434.0,20638.5,11820.1,1739.0,143032.0,,5682.0,118806.0,793.9,-2390.4,,-24698.8,14139.0,-7348.0,-23605.0,-36374.6,1019.5,-22328.1,-24275.0,-7793.6,-11748.5,17829.0,-36080.0,,-31229.3,84983.6,,31823.7,116859.8,65730.1,10952.0,57884.5,-35418.8,False,True,True,False,,True,False,True,True,,False,False,True,False,False,True,False,False,True,True,False,False,,False,False,,False,False,False,True,False,False
Rhode Island,21786,17649.0,17651.0,17718.2,14522.0,10422.0,,16020.3,8159.0,24356.7,14841.3,,13261.5,15351.0,21538.6,17963.0,9671.5,7144.5,15260.4,9660.0,12010.8,15139.2,8856.0,15110.0,,7186.2,16276.9,,14643.2,18177.5,15871.2,6682.0,15114.9,8158.5,-4137.0,-4135.0,-4067.8,-7264.0,-11364.0,,-5765.7,-13627.0,2570.7,-6944.7,,-8524.5,-6435.0,-247.4,-3823.0,-12114.5,-14641.5,-6525.6,-12126.0,-9775.2,-6646.8,-12930.0,-6676.0,,-14599.8,-5509.1,,-7142.8,-3608.5,-5914.8,-15104.0,-6671.1,-13627.5,True,True,False,False,,False,False,True,False,,False,False,True,True,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,False
South Carolina,101071,71478.0,75021.3,72020.9,74141.0,88072.0,,74540.5,61308.0,87719.4,46523.7,,79287.1,68401.0,95128.6,64428.0,43134.6,68330.5,123881.3,78905.0,73288.3,83170.9,73119.0,75464.0,,54174.5,91410.0,,79588.6,96645.3,53105.9,53960.0,87869.1,72573.8,-29593.0,-26049.7,-29050.1,-26930.0,-12999.0,,-26530.5,-39763.0,-13351.6,-54547.3,,-21783.9,-32670.0,-5942.4,-36643.0,-57936.4,-32740.5,22810.3,-22166.0,-27782.7,-17900.1,-27952.0,-25607.0,,-46896.5,-9661.0,,-21482.4,-4425.7,-47965.1,-47111.0,-13201.9,-28497.2,True,True,True,True,,True,False,True,False,,True,False,True,False,False,False,True,True,True,True,True,True,,False,True,,True,True,False,False,True,True
South Dakota,7134,8598.0,9712.8,8973.2,7168.0,5459.0,,7380.6,3250.0,6326.3,6483.5,,6888.5,8433.0,5401.4,8607.0,5289.7,4418.5,6011.0,6375.5,7941.7,8445.3,6521.0,10152.0,,4375.9,4187.4,,10430.0,2608.0,9005.2,6783.0,9262.1,4799.7,1464.0,2578.8,1839.2,34.0,-1675.0,,246.6,-3884.0,-807.7,-650.5,,-245.5,1299.0,-1732.6,1473.0,-1844.3,-2715.5,-1123.0,-758.5,807.7,1311.3,-613.0,3018.0,,-2758.1,-2946.6,,3296.0,-4526.0,1871.2,-351.0,2128.1,-2334.3,False,False,True,False,,True,False,True,True,,True,True,False,False,False,False,True,True,True,True,True,False,,False,False,,False,False,False,True,False,False
Tennessee,101744,129720.0,159433.9,142893.9,121966.0,134446.0,,130219.2,196363.0,105656.8,142921.1,,99809.3,121234.0,68906.3,110227.0,77130.1,97480.5,108570.9,126882.0,115750.4,125146.5,136460.0,103267.0,,109340.6,140270.5,,106651.3,301114.8,142604.7,135486.0,172534.0,128620.1,27976.0,57689.9,41149.9,20222.0,32702.0,,28475.2,94619.0,3912.8,41177.1,,-1934.7,19490.0,-32837.7,8483.0,-24613.9,-4263.5,6826.9,25138.0,14006.4,23402.5,34716.0,1523.0,,7596.6,38526.5,,4907.3,199370.8,40860.7,33742.0,70790.0,26876.1,False,False,True,False,,False,False,True,False,,True,True,False,True,True,True,True,True,True,True,False,True,,True,False,,True,False,False,False,False,True
Texas,441292,375945.0,353975.5,381087.4,341014.0,810206.0,,336037.5,248228.0,371961.0,278796.9,,254636.7,334996.0,559407.8,,284869.0,299686.0,375397.0,309466.5,313420.5,383030.2,337500.0,432769.0,,309996.4,331976.0,,353260.9,383008.7,342804.6,302141.0,362176.2,232444.0,-65347.0,-87316.5,-60204.6,-100278.0,368914.0,,-105254.5,-193064.0,-69331.0,-162495.1,,-186655.3,-106296.0,118115.8,,-156423.0,-141606.0,-65895.0,-131825.5,-127871.5,-58261.8,-103792.0,-8523.0,,-131295.6,-109316.0,,-88031.1,-58283.3,-98487.4,-139151.0,-79115.8,-208848.0,False,True,False,False,,False,False,False,False,,False,False,False,,False,False,False,False,False,True,False,True,,False,False,,False,True,False,False,False,False
Utah,53235,52728.0,49867.8,51119.6,47606.0,77807.0,,50091.4,58924.0,35323.9,50295.7,,45616.4,47727.0,45282.7,51805.0,25608.4,32090.0,38047.7,53295.0,51487.3,49952.5,61743.0,42528.0,,47965.8,32672.4,,43337.0,57422.3,44067.0,48549.0,40132.5,32370.4,-507.0,-3367.2,-2115.4,-5629.0,24572.0,,-3143.6,5689.0,-17911.1,-2939.3,,-7618.6,-5508.0,-7952.3,-1430.0,-27626.6,-21145.0,-15187.3,60.0,-1747.7,-3282.5,8508.0,-10707.0,,-5269.2,-20562.6,,-9898.0,4187.3,-9168.0,-4686.0,-13102.5,-20864.6,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False
Vermont,3219,2169.0,1752.5,2078.9,2164.0,3806.0,,1845.3,3032.0,1427.7,2216.9,,2371.6,2165.0,3531.5,2280.0,3158.3,1723.0,5958.5,1993.5,1957.7,2997.4,3076.0,1896.0,,2169.6,1887.5,,3093.3,3209.4,2005.6,2239.0,1891.6,1449.4,-1050.0,-1466.5,-1140.1,-1055.0,587.0,,-1373.7,-187.0,-1791.3,-1002.1,,-847.4,-1054.0,312.5,-939.0,-60.7,-1496.0,2739.5,-1225.5,-1261.3,-221.6,-143.0,-1323.0,,-1049.4,-1331.5,,-125.7,-9.6,-1213.4,-980.0,-1327.4,-1769.6,False,False,False,True,,False,True,False,True,,True,False,True,True,True,False,False,False,False,True,True,False,,True,False,,True,True,False,True,False,False
Virginia,109900,87534.0,95683.9,86503.7,89999.0,116623.0,,84994.9,72976.0,88178.5,103155.1,,99088.4,80279.0,104678.8,78622.0,72204.0,88920.0,91751.7,93324.5,92320.8,101002.5,104152.0,83816.0,,97551.4,45274.1,,61180.4,128770.1,90368.3,74003.0,107960.2,81505.3,-22366.0,-14216.1,-23396.3,-19901.0,6723.0,,-24905.1,-36924.0,-21721.5,-6744.9,,-10811.6,-29621.0,-5221.2,-31278.0,-37696.0,-20980.0,-18148.3,-16575.5,-17579.2,-8897.5,-5748.0,-26084.0,,-12348.6,-64625.9,,-48719.6,18870.1,-19531.7,-35897.0,-1939.8,-28394.7,True,False,True,True,,False,False,True,True,,True,False,True,False,False,True,True,True,True,True,True,False,,True,False,,False,True,True,False,True,False
Washington,53446,30099.0,56909.2,30321.8,38117.0,76816.0,,41314.2,24050.0,51879.3,26653.7,,56046.2,42672.0,52606.2,34053.0,28813.9,32742.5,60843.8,47233.0,32021.6,55673.5,36349.0,28815.0,,38149.3,67636.5,,30729.6,53710.0,35788.9,35010.0,35398.7,,-23347.0,3463.2,-23124.2,-15329.0,23370.0,,-12131.8,-29396.0,-1566.7,-26792.3,,2600.2,-10774.0,-839.8,-19393.0,-24632.1,-20703.5,7397.8,-6213.0,-21424.4,2227.5,-17097.0,-24631.0,,-15296.7,14190.5,,-22716.4,264.0,-17657.1,-18436.0,-18047.3,,True,True,True,False,,True,False,True,False,,True,True,True,True,False,True,True,True,True,True,True,False,,True,True,,True,True,True,True,True,
West Virginia,25425,27450.0,28338.9,27691.5,27588.0,33124.0,,26176.6,32676.0,28709.1,33541.8,,31882.4,23818.0,31601.0,26160.0,18360.5,25350.5,28200.0,27032.0,33886.3,31233.5,34533.0,22870.0,,24691.2,22099.6,,25830.6,43847.4,30083.1,25773.0,32242.8,26949.4,2025.0,2913.9,2266.5,2163.0,7699.0,,751.6,7251.0,3284.1,8116.8,,6457.4,-1607.0,6176.0,735.0,-7064.5,-74.5,2775.0,1607.0,8461.3,5808.5,9108.0,-2555.0,,-733.8,-3325.4,,405.6,18422.4,4658.1,348.0,6817.8,1524.4,False,False,False,False,,True,False,False,False,,False,True,False,True,False,True,False,True,False,False,False,False,,True,False,,True,False,False,True,False,True
Wisconsin,56351,52890.0,72637.2,49733.8,42611.0,78041.0,,44332.2,15824.0,41380.5,32844.0,,31951.0,51986.0,44174.5,49129.0,33777.8,31208.0,39599.0,32964.0,46229.2,47666.4,41539.0,59978.0,,33318.2,24256.3,,58594.2,29821.9,19492.0,40189.0,64468.1,29918.5,-3461.0,16286.2,-6617.2,-13740.0,21690.0,,-12018.8,-40527.0,-14970.5,-23507.0,,-24400.0,-4365.0,-12176.5,-7222.0,-22573.2,-25143.0,-16752.0,-23387.0,-10121.8,-8684.6,-14812.0,3627.0,,-23032.8,-32094.7,,2243.2,-26529.1,-36859.0,-16162.0,8117.1,-26432.5,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,False,False
Wyoming,6010,4281.0,7211.7,4313.8,3587.0,2711.0,,4208.8,2350.0,2772.2,3743.0,,2425.6,4636.0,4839.1,4550.0,2618.9,2300.5,2522.0,3815.0,3410.0,4938.9,4042.0,2895.0,,2285.2,4804.6,,5266.3,3674.6,3976.2,3754.0,3446.5,2731.0,-1729.0,1201.7,-1696.2,-2423.0,-3299.0,,-1801.2,-3660.0,-3237.8,-2267.0,,-3584.4,-1374.0,-1170.9,-1460.0,-3391.1,-3709.5,-3488.0,-2195.0,-2600.0,-1071.1,-1968.0,-3115.0,,-3724.8,-1205.4,,-743.7,-2335.4,-2033.8,-2256.0,-2563.5,-3279.0,True,True,False,False,,False,False,False,False,,False,True,True,True,False,False,False,False,False,True,False,False,,False,True,,True,False,False,False,False,False
US,4503141,4302174.0,4490660.8,4247567.3,4268004.0,6465938.0,3571675.0,4245231.0,3895736.0,5129617.3,,4790550.0,3993282.4,3784380.0,4662320.0,,3042498.3,,4495194.9,3947079.0,4262573.2,4241372.4,4458647.0,4553398.0,4669538.0,4144879.2,4066324.3,4656360.0,3981091.3,,5018456.5,4041094.0,5681497.6,,-200967.0,-12480.2,-255573.7,-235137.0,1962797.0,-931466.0,-257910.0,-607405.0,626476.3,,287409.0,-509858.6,-718761.0,159179.0,,-1460642.7,,-7946.1,-556062.0,-240567.8,-261768.6,-44494.0,50257.0,166397.0,-358261.8,-436816.7,153219.0,-522049.7,,515315.5,-462047.0,1178356.6,,True,False,False,False,False,False,False,False,,False,False,False,True,,False,,True,False,False,False,True,True,True,False,False,True,False,,False,False,False,
