,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
New Jersey,16171,16179.1,16909.0,,15967.1,16006.0,16102.8,16266.0,16093.5,16423.9,,16113.6,17208.4,16088.0,,16133.0,8.1,738.0,,-203.9,-165.0,-68.2,95.0,-77.5,252.9,,-57.4,1037.4,-83.0,,-38.0,False,,False,False,False,False,False,False,,False,False,False,,False
New Mexico,907,957.6,877.0,,774.4,879.0,898.0,978.0,855.8,835.7,,882.9,977.6,847.0,,943.1,50.6,-30.0,,-132.6,-28.0,-9.0,71.0,-51.2,-71.3,,-24.1,70.6,-60.0,,36.1,True,,False,True,True,False,False,False,,True,False,False,,True
New York,33466,33177.9,35077.0,,33063.6,32893.0,32675.0,33290.0,33123.2,33310.0,,33073.0,35066.0,33176.0,,33147.5,-320.1,1579.0,,-434.4,-605.0,-823.0,-208.0,-374.8,-188.0,,-425.0,1568.0,-322.0,,-350.5,False,,False,False,False,True,False,True,,False,False,False,,False
North Carolina,3765,3792.7,3389.0,,3237.2,3667.0,3867.4,3394.0,3349.8,2939.3,,3474.8,3897.4,3366.0,,3468.3,27.7,-376.0,,-527.8,-98.0,102.4,-371.0,-415.2,-825.7,,-290.2,132.4,-399.0,,-296.7,False,,False,False,False,False,False,False,,False,False,False,,False
North Dakota,336,211.4,191.0,,234.1,142.0,222.4,196.0,195.0,156.6,,186.5,309.6,253.0,,209.9,-124.6,-145.0,,-101.9,-194.0,-113.6,-140.0,-141.0,-179.4,,-149.5,-26.4,-83.0,,-126.1,False,,True,False,True,False,False,False,,False,True,True,,False
Ohio,4614,5020.3,4601.0,,4294.0,4933.0,4659.5,4902.0,4451.5,4527.6,,4920.0,5398.4,4823.0,,4942.0,118.3,-301.0,,-608.0,31.0,-242.5,0.0,-450.5,-374.4,,18.0,496.4,-79.0,,40.0,False,,False,True,False,True,False,False,,True,False,True,,True
Oklahoma,1095,1171.7,1023.0,,1072.9,1109.0,1029.3,981.0,988.2,932.3,,1076.3,1223.9,1040.0,,1088.6,76.7,-72.0,,-22.1,14.0,-65.7,-114.0,-106.8,-162.7,,-18.7,128.9,-55.0,,-6.4,True,,True,True,True,False,False,False,,True,False,True,,True
Oregon,599,615.9,555.0,,559.7,656.0,761.6,584.0,531.2,454.9,,608.1,604.1,584.0,,625.3,16.9,-44.0,,-39.3,57.0,162.6,-15.0,-67.8,-144.1,,9.1,5.1,-15.0,,26.3,False,,False,False,False,True,False,False,,True,True,True,,False
Pennsylvania,8324,8270.1,8260.0,,7794.3,7981.0,9517.4,7960.0,7898.2,7827.8,,8023.5,9219.4,8153.0,,8207.0,-53.9,-64.0,,-529.7,-343.0,1193.4,-364.0,-425.8,-496.2,,-300.5,895.4,-171.0,,-117.0,False,,False,False,False,False,False,False,,False,False,False,,False
Rhode Island,1148,1091.7,1141.0,,1067.9,1037.0,1077.4,1165.0,1051.8,1050.8,,1082.6,1228.2,1063.0,,1087.7,-20.3,29.0,,-44.1,-75.0,-34.6,53.0,-60.2,-61.2,,-29.4,116.2,-49.0,,-24.3,False,,False,False,False,False,False,False,,False,False,False,,False
South Carolina,3551,4115.4,3449.0,,2435.3,3713.0,3491.8,3273.0,3390.1,3235.3,,3641.3,3327.7,3219.0,,3540.8,564.4,-102.0,,-1115.7,162.0,-59.2,-278.0,-160.9,-315.7,,90.3,-223.3,-332.0,,-10.2,True,,False,True,True,True,True,True,,True,True,True,,True
South Dakota,286,215.9,223.0,,243.7,180.0,206.7,230.0,227.0,178.5,,208.7,338.0,290.0,,213.6,-70.1,-63.0,,-42.3,-106.0,-79.3,-56.0,-59.0,-107.5,,-77.3,52.0,4.0,,-72.4,True,,True,False,False,True,True,False,,False,True,True,,False
Tennessee,2758,2945.3,2370.0,,2209.2,2376.0,2673.1,2436.0,2404.7,2227.2,,2732.7,2275.6,2173.0,,2432.6,187.3,-388.0,,-548.8,-382.0,-84.9,-322.0,-353.3,-530.8,,-25.3,-482.4,-585.0,,-325.4,False,,False,False,True,False,False,False,,True,False,False,,False
Texas,17208,20633.9,16911.0,,12412.6,19565.0,20632.8,20880.0,15611.1,16150.0,15449.0,18050.6,15685.9,18113.0,,17324.0,3769.9,47.0,,-4451.4,2701.0,3768.8,4016.0,-1252.9,-714.0,-1415.0,1186.6,-1178.1,1249.0,,460.0,True,,False,True,True,False,True,True,True,True,True,True,,True
Utah,510,535.9,657.0,,569.1,462.0,526.5,570.0,479.3,432.2,,543.9,489.4,473.0,,545.6,25.9,147.0,,59.1,-48.0,16.5,60.0,-30.7,-77.8,,33.9,-20.6,-37.0,,35.6,False,,False,False,True,False,False,False,,False,True,False,,False
Vermont,58,58.0,66.0,,63.2,59.0,61.4,59.0,59.3,58.0,,58.7,71.5,58.0,,66.6,0.0,8.0,,5.2,1.0,3.4,1.0,1.3,0.0,,0.7,13.5,0.0,,8.6,False,,False,False,False,False,False,True,,False,False,True,,False
Virginia,3354,3056.7,3088.0,,2946.8,2606.0,2523.1,2740.0,2747.9,2835.4,,2737.1,3389.9,2606.0,,2923.0,-297.3,-266.0,,-407.2,-748.0,-830.9,-614.0,-606.1,-518.6,,-616.9,35.9,-748.0,,-431.0,True,,False,False,False,False,False,False,,False,True,False,,False
Washington,2168,2425.3,2250.0,,2144.9,2442.0,2506.7,2244.0,2168.0,2156.8,,2372.2,2516.0,2323.0,,2399.9,243.3,68.0,,-37.1,260.0,324.7,62.0,-14.0,-25.2,,190.2,334.0,141.0,,217.9,True,,True,False,False,True,True,True,,True,False,True,,True
West Virginia,387,309.3,241.0,,213.8,254.0,401.9,252.0,236.1,236.2,,245.8,266.5,290.0,,315.3,-77.7,-146.0,,-173.2,-133.0,14.9,-135.0,-150.9,-150.8,,-141.2,-120.5,-97.0,,-71.7,False,,False,False,True,False,False,False,,False,False,False,,True
Wisconsin,1568,1369.0,1472.0,,1528.5,1480.0,1271.2,1308.0,1259.3,1205.9,,1310.0,1565.8,1299.0,,1398.8,-145.0,-42.0,,14.5,-34.0,-242.8,-206.0,-254.7,-308.1,,-204.0,51.8,-215.0,,-115.2,True,,True,True,False,False,False,False,,False,True,False,,True
Wyoming,54,85.0,57.0,,54.7,53.0,34.0,39.0,47.2,37.0,,58.4,58.9,37.0,,60.5,31.0,3.0,,0.7,-1.0,-20.0,-15.0,-6.8,-17.0,,4.4,4.9,-17.0,,6.5,True,,True,True,True,True,True,True,,True,True,True,,True
US,214613,223087.7,199667.0,206646.0,191791.7,213938.0,227714.0,214293.0,198495.5,195301.1,213713.0,210627.2,219464.3,205527.0,207070.0,209647.6,8567.7,-14853.0,-7874.0,-22728.3,-582.0,13194.0,-227.0,-16024.5,-19218.9,-807.0,-3892.8,4944.3,-8993.0,-7450.0,-4872.4,False,True,False,True,False,True,False,False,True,True,True,False,True,True
