,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Maryland,3995,3977.7,3972.2,3989.0,3990.0,3989.0,3994.0,4058.0,3998.0,3990.8,3983.0,3996.2,,3984.3,4006.3,3994.0,4000.0,3993.4,4003.7,4006.4,3992.9,3997.9,3984.8,3988.5,3998.0,3989.2,,4017.5,3981.6,3992.0,,3998.4,3980.8,,3995.0,4261.8,3995.0,3985.4,,3988.6,3990.0,3999.8,3992.0,4041.0,3970.2,3997.8,4030.0,-17.3,-22.8,-6.0,-5.0,-6.0,-1.0,63.0,3.0,-4.2,-12.0,1.2,,-10.7,11.3,-1.0,5.0,-1.6,8.7,11.4,-2.1,2.9,-10.2,-6.5,3.0,-5.8,,22.5,-13.4,-3.0,,3.4,-14.2,,0.0,266.8,0.0,-9.6,,-6.4,-5.0,4.8,-3.0,46.0,-24.8,2.8,35.0,False,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,True,True,,True,False,True,True,,True,True,True,True,False,False,True,False
Massachusetts,9587,9600.9,9626.6,9620.2,9622.0,9623.0,9620.0,9678.0,9653.0,9586.5,9592.0,9585.0,9603.7,9625.9,9640.5,9598.0,9571.0,9632.8,9692.2,9620.2,9585.0,9635.5,9622.5,9598.0,9572.0,9615.5,,9577.7,9637.4,9563.0,,9593.4,9552.8,,9626.0,9877.6,9622.0,9610.1,,9616.4,9605.0,9620.6,9632.0,9640.0,9543.0,9603.8,9494.0,13.9,39.6,33.2,35.0,36.0,33.0,91.0,66.0,-0.5,5.0,-2.0,16.7,38.9,53.5,11.0,-16.0,45.8,105.2,33.2,-2.0,48.5,35.5,11.0,-15.0,28.5,,-9.3,50.4,-24.0,,6.4,-34.2,,39.0,290.6,35.0,23.1,,29.4,18.0,33.6,45.0,53.0,-44.0,16.8,-93.0,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,,True,False,False,,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Michigan,7219,7192.6,7219.3,7200.5,7203.0,7204.0,7196.0,7223.0,7196.0,7144.3,7165.0,7180.7,,7204.8,7162.5,7204.0,7189.0,7205.0,7215.1,7231.6,7232.7,7201.8,7165.2,7193.9,7220.0,7233.2,7291.0,7153.3,7218.4,7187.0,,7092.7,7174.0,,7202.0,7573.9,7188.0,7196.8,,7233.8,7200.0,7211.2,7206.0,7177.0,7067.5,7190.3,7143.0,-26.4,0.3,-18.5,-16.0,-15.0,-23.0,4.0,-23.0,-74.7,-54.0,-38.3,,-14.2,-56.5,-15.0,-30.0,-14.0,-3.9,12.6,13.7,-17.2,-53.8,-25.1,1.0,14.2,72.0,-65.7,-0.6,-32.0,,-126.3,-45.0,,-17.0,354.9,-31.0,-22.2,,14.8,-19.0,-7.8,-13.0,-42.0,-151.5,-28.7,-76.0,True,True,True,True,True,True,True,False,False,False,,True,False,True,False,True,True,True,True,True,False,True,True,True,False,False,True,False,,False,False,,True,False,False,True,,True,True,True,True,False,False,False,False
Minnesota,2184,2195.6,2191.7,2200.0,2196.0,2196.0,2194.0,2202.0,2199.0,2148.7,2184.0,2185.4,2192.9,2198.9,2161.6,2203.0,2174.0,2189.6,2200.4,2228.8,2194.7,2184.1,2182.6,2201.3,2217.0,2193.5,2259.0,2175.4,2206.3,2182.0,,2172.3,2202.9,,2193.0,2334.7,2208.0,2195.3,,2195.7,2194.0,2188.3,2203.0,2229.0,2112.4,2192.8,2154.0,11.6,7.7,16.0,12.0,12.0,10.0,18.0,15.0,-35.3,0.0,1.4,8.9,14.9,-22.4,19.0,-10.0,5.6,16.4,44.8,10.7,0.1,-1.4,17.3,33.0,9.5,75.0,-8.6,22.3,-2.0,,-11.7,18.9,,9.0,150.7,24.0,11.3,,11.7,10.0,4.3,19.0,45.0,-71.6,8.8,-30.0,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,False,True,False,True,,False,False,,True,False,False,True,,False,True,True,False,False,False,True,False
Mississippi,3096,3093.6,3063.5,3113.7,3109.0,3111.0,3095.0,3079.0,3108.0,3066.5,3082.0,3092.3,3073.4,3105.9,3068.3,3114.0,3108.0,3107.6,3133.0,3109.5,3061.5,3096.3,3092.4,3082.6,3094.0,3071.3,,3078.4,3110.4,3084.0,,3103.8,3098.1,,3112.0,2758.3,3097.0,3109.7,,3069.2,3093.0,3122.0,3113.0,3076.0,3094.4,3095.3,3097.0,-2.4,-32.5,17.7,13.0,15.0,-1.0,-17.0,12.0,-29.5,-14.0,-3.7,-22.6,9.9,-27.7,18.0,12.0,11.6,37.0,13.5,-34.5,0.3,-3.6,-13.4,-2.0,-24.7,,-17.6,14.4,-12.0,,7.8,2.1,,16.0,-337.7,1.0,13.7,,-26.8,-3.0,26.0,17.0,-20.0,-1.6,-0.7,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,False,False,False,,False,True,,False,False,True,False,,False,False,False,False,False,True,True,True
Missouri,2424,2300.0,2301.5,2312.2,2301.0,2300.0,2309.0,2348.0,2343.0,2296.9,2287.0,2287.2,2267.3,2264.4,2130.4,2298.0,2279.0,2278.1,2199.5,2398.2,2285.8,2336.5,2684.2,2292.6,2344.0,2294.8,,2304.6,2329.0,2343.0,,2175.0,2354.9,,2344.0,2385.4,2316.0,2244.8,,2299.1,2250.0,2272.7,2325.0,2335.0,2101.0,2409.4,2181.0,-124.0,-122.5,-111.8,-123.0,-124.0,-115.0,-76.0,-81.0,-127.1,-137.0,-136.8,-156.7,-159.6,-293.6,-126.0,-145.0,-145.9,-224.5,-25.8,-138.2,-87.5,260.2,-131.4,-80.0,-129.2,,-119.4,-95.0,-81.0,,-249.0,-69.1,,-80.0,-38.6,-108.0,-179.2,,-124.9,-174.0,-151.3,-99.0,-89.0,-323.0,-14.6,-243.0,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,,True,True,True,,False,True,,True,True,True,False,,False,False,False,True,True,False,True,False
Montana,209,199.0,199.0,199.7,202.0,201.0,203.0,198.0,220.0,203.3,202.0,201.8,200.7,203.8,214.0,200.0,200.0,208.1,242.6,205.4,204.4,213.3,204.7,202.7,246.0,207.0,,203.5,204.3,201.0,,,190.1,,209.0,247.1,217.0,200.5,,206.5,209.0,201.6,207.0,201.0,196.6,203.5,187.0,-10.0,-10.0,-9.3,-7.0,-8.0,-6.0,-11.0,11.0,-5.7,-7.0,-7.2,-8.3,-5.2,5.0,-9.0,-9.0,-0.9,33.6,-3.6,-4.6,4.3,-4.3,-6.3,37.0,-2.0,,-5.5,-4.7,-8.0,,,-18.9,,0.0,38.1,8.0,-8.5,,-2.5,0.0,-7.4,-2.0,-8.0,-12.4,-5.5,-22.0,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,True,,,False,,True,False,True,True,,True,True,True,True,True,False,True,False
Nebraska,519,527.6,527.9,525.7,525.0,525.0,522.0,543.0,527.0,507.4,525.0,525.9,533.7,510.8,521.6,524.0,519.0,518.2,534.7,527.7,523.4,521.7,520.0,526.0,593.0,520.2,,521.8,532.3,522.0,,,514.3,,523.0,533.3,540.0,505.2,,521.4,523.0,515.9,525.0,538.0,511.7,522.6,508.0,8.6,8.9,6.7,6.0,6.0,3.0,24.0,8.0,-11.6,6.0,6.9,14.7,-8.2,2.6,5.0,0.0,-0.8,15.7,8.7,4.4,2.7,1.0,7.0,74.0,1.2,,2.8,13.3,3.0,,,-4.7,,4.0,14.3,21.0,-13.8,,2.4,4.0,-3.1,6.0,19.0,-7.3,3.6,-11.0,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,,True,False,True,,,True,,True,False,False,False,,True,True,True,True,False,True,True,False
Nevada,1659,1655.6,1638.1,1661.2,1657.0,1658.0,1664.0,1691.0,1680.0,1659.2,1664.0,1665.1,1666.5,1654.7,1682.7,1667.0,1661.0,1668.2,1707.7,1694.9,1656.3,1672.0,1671.3,1658.7,1678.0,1647.9,,1668.7,1662.7,1660.0,,1677.6,1653.2,,1669.0,1707.8,1671.0,1664.3,,1647.1,1667.0,1665.4,1660.0,1666.0,1669.9,1661.1,1638.0,-3.4,-20.9,2.2,-2.0,-1.0,5.0,32.0,21.0,0.2,5.0,6.1,7.5,-4.3,23.7,8.0,2.0,9.2,48.7,35.9,-2.7,13.0,12.3,-0.3,19.0,-11.1,,9.7,3.7,1.0,,18.6,-5.8,,10.0,48.8,12.0,5.3,,-11.9,8.0,6.4,1.0,7.0,10.9,2.1,-21.0,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,,False,False,True,,False,False,,False,False,False,False,,False,False,False,True,False,False,True,False
New Hampshire,455,446.4,446.8,444.8,445.0,445.0,445.0,442.0,444.0,441.6,446.0,446.6,447.4,445.3,446.4,445.0,447.0,443.4,444.2,445.2,448.8,445.1,448.2,443.1,449.0,444.2,,448.4,447.6,443.0,,,443.4,,445.0,471.7,447.0,447.6,,444.6,446.0,448.2,445.0,445.0,444.6,445.9,,-8.6,-8.2,-10.2,-10.0,-10.0,-10.0,-13.0,-11.0,-13.4,-9.0,-8.4,-7.6,-9.7,-8.6,-10.0,-8.0,-11.6,-10.8,-9.8,-6.2,-9.9,-6.8,-11.9,-6.0,-10.8,,-6.6,-7.4,-12.0,,,-11.6,,-10.0,16.7,-8.0,-7.4,,-10.4,-9.0,-6.8,-10.0,-10.0,-10.4,-9.1,,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,,True,True,False,,,False,,False,False,True,True,,False,False,True,False,False,False,False,
New Jersey,16171,16161.7,16216.2,16166.5,16168.0,16167.0,16176.0,16399.0,16197.0,16198.0,16196.0,16166.0,16181.4,16180.6,16245.4,16174.0,16213.5,16183.7,16208.8,16169.1,16167.4,16178.9,16182.5,16176.4,16182.0,16189.8,,16175.9,16172.6,16139.0,,16160.1,16149.4,,16180.0,16772.1,16182.0,16162.0,,16187.3,16167.0,16352.8,16173.0,16354.0,16160.1,16172.5,16374.0,-9.3,45.2,-4.5,-3.0,-4.0,5.0,228.0,26.0,27.0,25.0,-5.0,10.4,9.6,74.4,3.0,42.5,12.7,37.8,-1.9,-3.6,7.9,11.5,5.4,11.0,18.8,,4.9,1.6,-32.0,,-10.9,-21.6,,9.0,601.1,11.0,-9.0,,16.3,-4.0,181.8,2.0,183.0,-10.9,1.5,203.0,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,True,False,False,,True,True,False,,False,False,,True,False,False,True,,False,True,False,True,False,False,True,False
New Mexico,907,910.9,909.3,910.7,910.0,910.0,911.0,906.0,929.0,903.9,906.0,914.1,920.2,904.0,909.5,916.0,911.0,917.2,946.5,917.0,913.0,918.6,920.6,910.1,920.0,910.9,,912.5,919.4,909.5,,,913.9,,915.0,1028.4,929.0,908.8,,911.1,913.0,916.5,915.0,911.0,908.7,913.0,912.0,3.9,2.3,3.7,3.0,3.0,4.0,-1.0,22.0,-3.1,-1.0,7.1,13.2,-3.0,2.5,9.0,4.0,10.2,39.5,10.0,6.0,11.6,13.6,3.1,13.0,3.9,,5.5,12.4,2.5,,,6.9,,8.0,121.4,22.0,1.8,,4.1,6.0,9.5,8.0,4.0,1.7,6.0,5.0,True,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,,,False,,False,False,False,True,,False,False,False,False,False,True,False,False
New York,33466,33268.4,33548.0,33267.8,33248.0,33269.0,33264.0,33335.0,33250.0,33231.8,33277.0,33243.2,33269.9,33276.8,33182.2,33242.0,33257.0,33240.1,33264.4,33269.8,33296.4,33274.2,33270.0,33271.8,33291.0,33264.5,,33264.3,33289.3,33199.0,,33222.1,33253.5,,33241.0,33570.6,33272.0,33229.7,,33261.5,33274.0,33320.9,33271.0,33310.0,33116.2,33284.4,33103.0,-13.6,266.0,-14.2,-34.0,-13.0,-18.0,53.0,-32.0,-50.2,-5.0,-38.8,-12.1,-5.2,-99.8,-40.0,-25.0,-41.9,-17.6,-12.2,14.4,-7.8,-12.0,-10.2,9.0,-17.5,,-17.7,7.3,-83.0,,-59.9,-28.5,,-41.0,288.6,-10.0,-52.3,,-20.5,-8.0,38.9,-11.0,28.0,-165.8,2.4,-179.0,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,True,True,True,False,,False,True,False,,False,False,,False,False,True,False,,False,True,False,True,False,False,True,False
North Carolina,3765,3799.4,3769.0,3814.7,3816.0,3818.0,3794.0,3786.0,3815.0,3726.7,3756.0,3771.7,3805.4,3819.0,3773.0,3823.0,3796.0,3823.6,3822.5,3779.3,3785.6,3812.0,3770.3,3781.5,3795.0,3829.8,,3739.8,3839.7,3755.0,,3792.5,3767.1,,3855.0,3182.6,3797.0,3807.4,,3825.4,3782.0,3813.5,3843.0,3778.0,3750.4,3792.1,3625.0,34.4,4.0,49.7,51.0,53.0,29.0,21.0,50.0,-38.3,-9.0,6.7,40.4,54.0,8.0,58.0,31.0,58.6,57.5,14.3,20.6,47.0,5.3,16.5,30.0,64.8,,-25.2,74.7,-10.0,,27.5,2.1,,90.0,-582.4,32.0,42.4,,60.4,17.0,48.5,78.0,13.0,-14.6,27.1,-140.0,True,False,False,False,True,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,True,True,True,False,,True,False,True,,True,True,,False,False,True,False,,False,True,False,False,True,True,True,False
North Dakota,336,310.9,316.2,315.6,315.0,315.0,310.0,299.0,322.0,308.1,297.0,303.2,309.4,321.1,294.7,303.0,295.0,311.3,293.1,321.6,289.6,319.3,307.2,308.9,333.0,314.8,,315.8,320.2,323.0,,,289.7,,299.0,246.8,303.0,304.1,,316.5,313.0,329.5,323.0,329.0,287.5,312.5,272.0,-25.1,-19.8,-20.4,-21.0,-21.0,-26.0,-37.0,-14.0,-27.9,-39.0,-32.8,-26.6,-14.9,-41.3,-33.0,-41.0,-24.7,-42.9,-14.4,-46.4,-16.7,-28.8,-27.1,-3.0,-21.2,,-20.2,-15.8,-13.0,,,-46.3,,-37.0,-89.2,-33.0,-31.9,,-19.5,-23.0,-6.5,-13.0,-7.0,-48.5,-23.5,-64.0,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,,True,True,True,,,False,,False,False,False,False,,True,True,True,True,True,False,True,False
Ohio,4997,5082.7,5080.5,5107.3,5062.0,5110.0,5075.0,5182.0,5076.0,4974.0,5044.0,5037.8,5041.8,5094.1,5042.4,5092.0,4929.0,5055.9,5073.7,5097.6,5080.1,5094.0,5052.7,5049.6,5054.0,5100.0,5120.0,4995.0,5128.0,5091.0,,5029.1,5092.8,,5074.0,5321.3,5099.0,5056.9,,5107.5,5056.0,5096.2,5075.0,5144.0,5037.3,5071.1,5140.0,85.7,83.5,110.3,65.0,113.0,78.0,185.0,79.0,-23.0,47.0,40.8,44.8,97.1,45.4,95.0,-68.0,58.9,76.7,100.6,83.1,97.0,55.7,52.6,57.0,103.0,123.0,-2.0,131.0,94.0,,32.1,95.8,,77.0,324.3,102.0,59.9,,110.5,59.0,99.2,78.0,147.0,40.3,74.1,143.0,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,False,,True,False,,True,False,False,True,,False,True,False,True,False,True,True,False
Oklahoma,1095,1089.6,1086.7,1099.4,1099.0,1098.0,1099.0,1100.0,1107.0,1087.1,1109.0,1089.1,1093.5,1085.9,1097.8,1100.0,1107.0,1112.3,1115.5,1123.8,1115.9,1110.2,1074.8,1102.6,1138.0,1117.9,,1080.6,1097.6,1083.0,,,1086.9,,1112.0,1460.0,1102.0,1099.0,,1116.3,1106.0,1097.6,1109.0,1089.0,1084.2,1097.0,1055.0,-5.4,-8.3,4.4,4.0,3.0,4.0,5.0,12.0,-7.9,14.0,-5.9,-1.5,-9.1,2.8,5.0,12.0,17.3,20.5,28.8,20.9,15.2,-20.2,7.6,43.0,22.9,,-14.4,2.6,-12.0,,,-8.1,,17.0,365.0,7.0,4.0,,21.3,11.0,2.6,14.0,-6.0,-10.8,2.0,-40.0,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,False,True,,False,False,True,False,False,False,True,False
Oregon,599,596.9,592.8,599.8,599.0,600.0,595.0,591.0,596.0,572.2,589.0,592.4,599.0,601.9,595.7,596.0,594.0,592.2,593.8,618.5,618.3,594.4,590.0,591.3,613.0,600.2,,595.7,603.2,582.0,,,589.8,,597.0,652.3,600.0,599.6,,600.7,594.0,592.6,601.0,586.0,587.9,594.4,570.0,-2.1,-6.2,0.8,0.0,1.0,-4.0,-8.0,-3.0,-26.8,-10.0,-6.6,-0.0,2.9,-3.3,-3.0,-5.0,-6.8,-5.2,19.5,19.3,-4.6,-9.0,-7.7,14.0,1.2,,-3.3,4.2,-17.0,,,-9.2,,-2.0,53.3,1.0,0.6,,1.7,-5.0,-6.4,2.0,-13.0,-11.1,-4.6,-29.0,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,,False,,True,False,True,True,,True,False,False,True,False,False,False,False
Pennsylvania,8324,8288.4,8250.0,8273.6,8277.0,8277.0,8294.0,8279.0,8310.0,8287.9,8270.0,8302.9,8280.5,8279.2,8242.3,8284.0,8280.0,8294.4,8365.3,8309.6,8316.6,8301.1,8305.6,8288.9,8292.0,8251.1,,8351.1,8293.5,8241.0,,8295.0,8264.0,,8294.0,7960.0,8332.0,8269.2,,8246.3,8295.0,8324.7,8292.0,8306.0,8252.6,8307.9,8184.0,-35.6,-74.0,-50.4,-47.0,-47.0,-30.0,-45.0,-14.0,-36.1,-54.0,-21.1,-43.5,-44.8,-81.7,-40.0,-44.0,-29.6,41.3,-14.4,-7.4,-22.9,-18.4,-35.1,-32.0,-72.9,,27.1,-30.5,-83.0,,-29.0,-60.0,,-30.0,-364.0,8.0,-54.8,,-77.7,-29.0,0.7,-32.0,-18.0,-71.4,-16.1,-140.0,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True,True,True,False,,True,True,False,,True,False,,True,False,True,False,,False,True,True,True,True,False,True,False
Rhode Island,1130,1127.4,1123.7,1130.0,,1129.0,1130.0,1125.0,1136.0,1132.5,1127.0,1135.7,1130.7,1127.5,1137.0,1128.0,1135.0,1134.6,1148.4,1127.1,1134.9,1135.9,1129.2,1125.6,1128.0,1123.1,,1132.2,1129.2,1134.0,,,1119.2,,1130.0,1347.8,1128.0,1128.1,,1123.0,1130.0,1136.0,1132.0,1125.0,0.0,1133.2,1121.0,-2.6,-6.3,0.0,,-1.0,0.0,-5.0,6.0,2.5,-3.0,5.7,0.7,-2.5,7.0,-2.0,5.0,4.6,18.4,-2.9,4.9,5.9,-0.8,-4.4,-2.0,-6.9,,2.2,-0.8,4.0,,,-10.8,,0.0,217.8,-2.0,-1.9,,-7.0,0.0,6.0,2.0,-5.0,-1130.0,3.2,-9.0,False,True,,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,,True,True,False,,,False,,True,False,True,True,,False,True,False,True,False,False,False,False
South Carolina,3551,3561.9,3532.0,3560.9,3560.0,3561.0,3553.0,3575.0,3527.0,3480.9,3562.0,3548.5,3573.0,3565.6,3559.8,3581.0,3554.0,3566.5,3506.8,3633.0,3518.0,3584.4,3531.8,3548.3,3545.0,3523.2,,3529.7,3568.0,3516.0,,3569.6,3525.4,,3580.0,4065.5,3561.0,3561.0,,3521.0,3564.0,3573.0,3577.0,3546.0,3551.6,3558.7,3431.0,10.9,-19.0,9.9,9.0,10.0,2.0,24.0,-24.0,-70.1,11.0,-2.5,22.0,14.6,8.8,30.0,3.0,15.5,-44.2,82.0,-33.0,33.4,-19.2,-2.7,-6.0,-27.8,,-21.3,17.0,-35.0,,18.6,-25.6,,29.0,514.5,10.0,10.0,,-30.0,13.0,22.0,26.0,-5.0,0.6,7.7,-120.0,False,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,,False,False,False,,False,False,,False,False,True,True,,False,False,False,False,True,True,True,False
South Dakota,286,273.7,275.2,278.7,278.0,278.0,268.0,259.0,279.0,258.4,265.0,264.9,276.0,288.0,265.0,262.0,255.0,266.7,271.2,315.3,256.2,276.0,268.2,266.2,308.0,269.2,,266.0,283.5,268.0,,,250.7,,275.0,241.0,282.0,261.4,,271.4,269.0,260.3,283.0,267.0,257.1,271.2,248.0,-12.3,-10.8,-7.3,-8.0,-8.0,-18.0,-27.0,-7.0,-27.6,-21.0,-21.1,-10.0,2.0,-21.0,-24.0,-31.0,-19.3,-14.8,29.3,-29.8,-10.0,-17.8,-19.8,22.0,-16.8,,-20.0,-2.5,-18.0,,,-35.3,,-11.0,-45.0,-4.0,-24.6,,-14.6,-17.0,-25.7,-3.0,-19.0,-28.9,-14.8,-38.0,True,True,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,False,,,False,,True,False,True,False,,False,False,False,True,False,False,False,False
Tennessee,2758,2748.4,2766.2,2737.2,2738.0,2746.0,2721.0,2686.0,2725.0,2622.3,2696.0,2707.8,,2749.6,2657.0,2756.0,2657.0,2723.0,2671.2,2894.6,2707.2,2724.6,2721.3,2723.0,2702.0,2749.5,,2678.3,2721.6,2698.0,,2713.3,2667.7,,2734.0,2920.7,2724.0,2742.3,,2751.2,2716.0,2745.4,2754.0,2736.0,2641.8,2715.7,2551.0,-9.6,8.2,-20.8,-20.0,-12.0,-37.0,-72.0,-33.0,-135.7,-62.0,-50.2,,-8.4,-101.0,-2.0,-101.0,-35.0,-86.8,136.6,-50.8,-33.4,-36.7,-35.0,-56.0,-8.5,,-79.7,-36.4,-60.0,,-44.7,-90.3,,-24.0,162.7,-34.0,-15.7,,-6.8,-42.0,-12.6,-4.0,-22.0,-116.2,-42.3,-207.0,True,False,False,False,False,False,False,False,False,False,,True,False,True,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False
Texas,17004,16812.9,16849.7,16907.9,16873.0,16883.0,16823.0,16934.0,17090.0,16657.4,16802.0,16685.3,16980.1,16843.8,16777.3,16919.0,16877.0,16841.6,17146.2,16790.1,16779.8,16849.1,16699.3,16776.2,16850.0,16643.7,,16786.4,16810.4,16764.0,,17013.0,16689.7,16448.0,17002.0,19059.0,16840.0,16875.8,,16634.4,16818.0,16906.7,16950.0,16739.0,16794.5,16830.8,16269.0,-121.1,-84.3,-26.1,-61.0,-51.0,-111.0,0.0,156.0,-276.6,-132.0,-248.7,46.1,-90.2,-156.7,-15.0,-57.0,-92.4,212.2,-143.9,-154.2,-84.9,-234.7,-157.8,-84.0,-290.3,,-147.6,-123.6,-170.0,,79.0,-244.3,-486.0,68.0,2125.0,-94.0,-58.2,,-299.6,-116.0,-27.3,16.0,-195.0,-139.5,-103.2,-665.0,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,False,,False,False,False,,True,False,False,True,False,True,True,,False,True,True,True,False,False,True,False
