,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9587,9537.9,9491.2,9417.0,9550.2,9446.0,9632.0,9207.0,9341.1,9259.0,9567.5,9577.9,,,9363.0,9570.8,9188.0,9519.2,9558.2,9467.4,9463.3,9416.0,9539.0,9409.3,,9353.5,9462.8,9339.0,,9468.8,9399.7,,9406.0,10019.2,9568.0,9405.4,,9425.0,9624.0,,9783.8,9517.0,9451.0,9779.7,9455.2,9360.0,-49.1,-95.8,-170.0,-36.8,-141.0,45.0,-380.0,-245.9,-328.0,-19.5,-9.1,,,-224.0,-16.2,-399.0,-67.8,-28.8,-119.6,-123.7,-171.0,-48.0,-177.7,,-233.5,-124.2,-248.0,,-118.2,-187.3,,-181.0,432.2,-19.0,-181.6,,-162.0,37.0,,196.8,-70.0,-136.0,192.7,-131.8,-227.0,False,False,True,False,True,False,False,False,True,True,,,False,True,False,False,True,False,False,False,True,False,,False,False,False,,False,False,,False,False,True,False,,False,True,,False,False,False,False,False,False
Michigan,7219,7316.0,7326.7,7082.0,7338.8,7280.0,7516.0,7549.0,7330.8,7153.0,7275.7,7276.1,,,7260.0,7295.5,7709.6,7593.4,7293.9,7043.0,7187.0,7174.6,7127.0,7342.9,7544.0,6975.3,7197.0,7323.0,,7043.3,7013.7,,7267.0,7652.3,7300.0,7196.8,,7361.6,7184.0,7623.9,8142.0,7334.0,7047.0,6979.9,7175.5,7159.0,97.0,107.7,-137.0,119.8,61.0,297.0,330.0,111.8,-66.0,56.7,57.1,,,41.0,76.5,490.6,374.4,74.9,-176.0,-32.0,-44.4,-92.0,123.9,325.0,-243.7,-22.0,104.0,,-175.7,-205.3,,48.0,433.3,81.0,-22.2,,142.6,-35.0,404.9,923.0,115.0,-172.0,-239.1,-43.5,-60.0,False,False,False,True,False,False,False,True,True,True,,,True,True,False,False,True,False,True,True,True,False,False,False,True,False,,False,False,,True,False,True,True,,False,True,False,False,False,False,False,True,True
Minnesota,2184,2210.1,2197.8,2145.0,2178.0,2172.0,2221.0,2165.0,2143.5,2017.0,2275.3,2078.8,,,2252.0,2151.2,2254.1,2241.6,2179.4,2064.6,2119.6,2081.3,2151.0,2102.4,2399.0,2350.5,2127.3,2282.0,,2098.7,2114.9,,2140.8,2468.8,2195.0,2177.0,,2105.1,2184.0,2263.3,2441.9,2157.0,2088.0,2082.6,2165.5,2150.0,26.1,13.8,-39.0,-6.0,-12.0,37.0,-19.0,-40.5,-167.0,91.3,-105.2,,,68.0,-32.8,70.1,57.6,-4.6,-119.4,-64.4,-102.7,-33.0,-81.6,215.0,166.5,-56.7,98.0,,-85.3,-69.1,,-43.2,284.8,11.0,-7.0,,-78.9,0.0,79.3,257.9,-27.0,-96.0,-101.4,-18.5,-34.0,True,False,True,True,False,True,False,False,False,False,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,True,,False,True,False,False,False,False,False,True,False
Mississippi,3096,3132.9,3165.9,3028.0,3149.3,3069.0,2811.0,3091.0,2991.0,3058.0,3251.7,3025.3,,,3498.0,3059.2,2920.6,2995.5,3087.2,2963.2,2967.7,3212.8,3040.0,3218.9,,3394.7,3028.8,3240.0,,3197.2,2896.8,,3069.4,2747.3,3039.0,3103.8,,3049.8,3034.0,3191.0,3117.5,2994.0,2963.0,3023.1,3000.7,3016.0,36.9,69.9,-68.0,53.3,-27.0,-285.0,-5.0,-105.0,-38.0,155.7,-70.7,,,402.0,-36.8,-175.4,-100.5,-8.8,-132.8,-128.3,116.8,-56.0,122.9,,298.7,-67.2,144.0,,101.2,-199.2,,-26.6,-348.7,-57.0,7.8,,-46.2,-62.0,95.0,21.5,-102.0,-133.0,-72.9,-95.3,-80.0,False,False,False,True,False,True,False,False,False,False,,,False,True,False,False,True,False,False,False,False,False,,False,False,False,,False,False,,True,False,False,True,,False,False,False,True,False,False,False,False,False
Missouri,2424,1908.4,1956.1,2006.0,1968.6,2084.0,2242.0,2548.0,2273.3,2115.0,2063.9,2032.1,,,2002.0,2154.3,2141.8,2167.2,2104.6,2110.5,2029.7,2189.8,1985.0,2106.9,,2173.6,2167.2,2031.0,,2010.6,1823.5,,2181.5,2950.5,2125.0,1954.5,,2083.8,2022.0,2019.1,2452.6,2043.0,1993.0,1811.2,2027.3,1970.0,-515.6,-467.9,-418.0,-455.4,-340.0,-182.0,124.0,-150.7,-309.0,-360.1,-391.9,,,-422.0,-269.7,-282.2,-256.8,-319.4,-313.5,-394.3,-234.2,-439.0,-317.1,,-250.4,-256.8,-393.0,,-413.4,-600.5,,-242.5,526.5,-299.0,-469.5,,-340.2,-402.0,-404.9,28.6,-381.0,-431.0,-612.8,-396.7,-454.0,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,True,False,True,True
Montana,209,204.4,206.9,194.0,201.0,193.0,141.0,203.0,212.0,166.0,200.7,181.2,,,276.0,189.2,166.8,211.2,196.9,166.9,173.3,227.9,248.0,221.9,,152.1,192.8,187.0,,,147.0,,189.0,253.6,216.0,183.4,,210.4,186.0,169.2,180.5,188.0,211.0,161.5,188.9,173.0,-4.6,-2.1,-15.0,-8.0,-16.0,-68.0,-6.0,3.0,-43.0,-8.3,-27.8,,,67.0,-19.8,-42.2,2.2,-12.1,-42.1,-35.7,18.9,39.0,12.9,,-56.9,-16.2,-22.0,,,-62.0,,-20.0,44.6,7.0,-25.6,,1.4,-23.0,-39.8,-28.5,-21.0,2.0,-47.5,-20.1,-36.0,True,False,False,False,False,False,True,False,False,False,,,False,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,True,False,False,False,False,True,False,False,False
Nebraska,519,549.7,574.6,542.0,569.0,527.0,528.0,564.0,567.2,451.0,554.2,554.1,,,619.0,529.2,514.4,569.4,545.2,482.9,503.9,527.1,624.0,497.0,,478.7,587.5,515.0,,,476.1,,511.0,544.1,557.0,522.0,,525.3,503.0,514.1,533.3,523.0,504.0,472.7,505.8,510.0,30.7,55.6,23.0,50.0,8.0,9.0,45.0,48.2,-68.0,35.2,35.1,,,100.0,10.2,-4.6,50.4,26.2,-36.1,-15.1,8.1,105.0,-22.0,,-40.3,68.5,-4.0,,,-42.9,,-8.0,25.1,38.0,3.0,,6.3,-16.0,-4.9,14.3,4.0,-15.0,-46.3,-13.2,-9.0,False,True,False,True,True,False,False,False,False,False,,,False,True,True,False,True,False,True,True,False,True,,False,False,True,,,False,,True,True,False,True,,True,True,True,True,True,True,False,True,True
Nevada,1659,1695.0,1684.2,1616.0,1693.1,1647.0,1663.0,1628.0,1640.1,1677.0,1816.3,1658.2,,,1734.0,1630.1,1550.0,1663.0,1667.6,1612.2,1584.7,1871.5,1652.0,1572.2,,1531.3,1600.3,1647.0,,1803.4,1502.6,,1656.7,2017.8,1622.0,1735.4,,1594.9,1624.0,1715.2,1630.4,1608.0,1572.0,1650.9,1642.1,1502.0,36.0,25.2,-43.0,34.1,-12.0,4.0,-31.0,-18.9,18.0,157.3,-0.8,,,75.0,-28.9,-109.0,4.0,8.6,-46.8,-74.3,212.5,-7.0,-86.8,,-127.7,-58.7,-12.0,,144.4,-156.4,,-2.3,358.8,-37.0,76.4,,-64.1,-35.0,56.2,-28.6,-51.0,-87.0,-8.1,-16.9,-157.0,True,False,True,True,True,True,True,True,False,True,,,False,True,False,True,True,False,False,False,True,False,,False,False,True,,False,False,,True,False,False,False,,False,True,False,True,False,False,True,True,False
New Hampshire,455,447.6,450.4,445.0,451.0,451.0,479.0,450.0,449.8,438.0,454.3,446.0,,,460.0,450.3,467.9,462.0,438.7,450.3,436.9,445.0,449.0,452.6,,458.2,452.7,438.0,,,478.0,,442.9,465.9,459.0,450.9,,470.0,454.0,495.1,487.9,457.0,444.0,444.4,448.6,,-7.4,-4.6,-10.0,-4.0,-4.0,24.0,-5.0,-5.2,-17.0,-0.7,-9.0,,,5.0,-4.7,12.9,7.0,-16.3,-4.7,-18.1,-10.0,-6.0,-2.4,,3.2,-2.3,-17.0,,,23.0,,-12.1,10.9,4.0,-4.1,,15.0,-1.0,40.1,32.9,2.0,-11.0,-10.6,-6.4,,True,False,True,True,False,True,True,False,True,False,,,True,True,False,True,False,True,False,False,True,True,,True,True,False,,,False,,False,False,True,True,,False,True,False,False,True,False,False,True,
New Jersey,16171,16193.0,16186.2,16163.0,16342.2,16186.0,16670.0,16269.0,16215.5,16068.0,16138.0,16378.4,,,16356.0,16180.4,16386.2,16167.3,16251.4,16138.3,16190.0,16424.5,16123.0,16067.8,,16151.6,16199.3,16145.0,,16165.9,16085.7,,16210.6,16791.5,16256.0,16159.3,,16085.6,16172.0,18044.5,16702.0,16238.0,16139.5,16273.7,16158.8,16356.0,22.0,15.2,-8.0,171.2,15.0,499.0,98.0,44.5,-103.0,-33.0,207.4,,,185.0,9.4,215.2,-3.7,80.4,-32.7,19.0,253.5,-48.0,-103.2,,-19.4,28.3,-26.0,,-5.1,-85.3,,39.6,620.5,85.0,-11.7,,-85.4,1.0,1873.5,531.0,67.0,-31.5,102.7,-12.2,185.0,True,True,False,True,False,False,False,False,False,False,,,False,True,False,True,False,False,True,False,False,False,,True,False,False,,True,False,,False,False,False,True,,False,True,False,False,False,False,False,True,False
New Mexico,907,900.1,906.5,878.0,905.0,896.0,838.0,915.0,892.9,876.0,923.4,907.2,,,976.0,885.5,873.3,939.9,880.9,881.0,875.8,1018.1,899.0,890.0,,897.2,883.6,838.0,,,857.9,,901.8,1186.6,926.0,885.7,,898.8,885.0,961.1,914.6,880.0,851.0,891.2,897.1,875.0,-6.9,-0.5,-29.0,-2.0,-11.0,-69.0,8.0,-14.1,-31.0,16.4,0.2,,,69.0,-21.5,-33.7,32.9,-26.1,-26.0,-31.2,111.1,-8.0,-17.0,,-9.8,-23.4,-69.0,,,-49.1,,-5.2,279.6,19.0,-21.3,,-8.2,-22.0,54.1,7.6,-27.0,-56.0,-15.8,-9.9,-32.0,True,False,True,False,False,False,False,False,False,True,,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False
New York,33293,33161.9,33177.8,33182.0,33432.3,33239.0,33441.0,33419.0,33316.8,33026.0,33163.0,33284.4,,,33458.0,33280.4,33734.6,33619.1,33270.6,33154.8,33119.8,34015.7,33360.0,33517.7,,33470.6,33212.3,33043.0,,33209.6,33681.4,,33161.4,34038.2,33210.0,33157.2,,33399.5,33224.0,37312.9,34449.6,33266.0,33098.0,33132.4,33204.6,33112.0,-131.1,-115.2,-111.0,139.3,-54.0,148.0,126.0,23.8,-267.0,-130.0,-8.6,,,165.0,-12.6,441.6,326.1,-22.4,-138.2,-173.2,722.7,67.0,224.7,,177.6,-80.7,-250.0,,-83.4,388.4,,-131.6,745.2,-83.0,-135.8,,106.5,-69.0,4019.9,1156.6,-27.0,-195.0,-160.6,-88.4,-181.0,True,True,False,True,False,True,True,False,True,True,,,False,True,False,False,True,False,False,False,True,False,,False,True,False,,True,False,,False,False,True,False,,True,True,False,False,True,False,False,True,False
North Carolina,3765,3676.9,3670.2,3583.0,3679.4,3645.0,3510.0,4101.0,3744.3,3645.0,3669.0,3642.2,,,3926.0,3636.1,3425.6,3794.5,3643.1,3506.2,3556.4,3668.0,3569.0,3723.2,,3432.1,3620.3,3295.5,,3694.3,3322.1,,3678.4,4891.3,3701.0,3589.4,,3754.7,3560.0,3619.8,3655.1,3653.0,3870.0,3411.7,3620.6,3556.0,-88.1,-94.8,-182.0,-85.6,-120.0,-255.0,336.0,-20.7,-120.0,-96.0,-122.8,,,161.0,-128.9,-339.4,29.5,-121.9,-258.8,-208.6,-97.0,-196.0,-41.8,,-332.9,-144.7,-469.5,,-70.7,-442.9,,-86.6,1126.3,-64.0,-175.6,,-10.3,-205.0,-145.2,-109.9,-112.0,105.0,-353.3,-144.4,-209.0,False,False,True,False,False,False,True,False,False,False,,,False,False,False,True,False,False,False,False,False,True,,False,False,False,,True,False,,True,False,True,False,,True,False,False,False,False,False,False,False,False
North Dakota,336,214.3,220.2,229.0,215.0,224.0,224.0,241.0,251.1,170.0,237.5,220.2,,,240.0,243.1,221.5,230.4,245.7,222.3,211.1,217.8,277.0,219.4,,260.3,231.7,233.0,,,192.4,,202.2,226.2,228.0,183.2,,226.4,254.0,196.8,281.4,222.0,210.0,188.2,212.6,205.0,-121.7,-115.8,-107.0,-121.0,-112.0,-112.0,-95.0,-84.9,-166.0,-98.5,-115.8,,,-96.0,-92.9,-114.5,-105.6,-90.3,-113.7,-124.9,-118.2,-59.0,-116.6,,-75.7,-104.3,-103.0,,,-143.6,,-133.8,-109.8,-108.0,-152.8,,-109.6,-82.0,-139.2,-54.6,-114.0,-126.0,-147.8,-123.4,-131.0,True,True,True,True,True,True,True,False,True,True,,,True,True,True,True,True,True,False,True,True,True,,True,True,True,,,False,,False,True,True,False,,True,True,False,True,True,False,False,False,False
Ohio,4997,5016.7,4948.8,4911.0,5030.4,4953.0,4932.0,5127.0,4904.5,4948.0,5008.4,4748.1,,,5303.0,4995.3,5001.2,5245.6,4972.8,4786.2,4860.4,5145.8,4743.0,4954.3,5406.0,4462.4,5029.0,4904.0,,4891.3,4670.5,,4977.4,5547.5,5008.0,4952.5,,4889.6,4906.0,5136.5,5454.7,4941.0,4736.0,4785.2,4948.7,5026.0,19.7,-48.2,-86.0,33.4,-44.0,-65.0,130.0,-92.5,-49.0,11.4,-248.9,,,306.0,-1.7,4.2,248.6,-24.2,-210.8,-136.6,148.8,-254.0,-42.7,409.0,-534.6,32.0,-93.0,,-105.7,-326.5,,-19.6,550.5,11.0,-44.5,,-107.4,-91.0,139.5,457.7,-56.0,-261.0,-211.8,-48.3,29.0,False,False,False,False,False,False,False,False,True,False,,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,True,False,,False,False,False,False,False,False,False,False,False
Oklahoma,1095,1105.6,1108.3,1088.0,1095.0,1121.0,1312.0,1274.0,1115.2,1113.0,1218.7,1073.8,,,1229.0,1168.2,1123.2,1260.7,1115.8,1058.1,1080.2,1221.6,1113.0,1140.4,,1122.2,1104.7,1127.0,,,991.4,,1104.2,1988.3,1195.0,1085.6,,1117.1,1138.0,1058.5,1213.2,1126.0,1154.0,1018.8,1100.4,1069.0,10.6,13.3,-7.0,-0.0,26.0,217.0,179.0,20.2,18.0,123.7,-21.2,,,134.0,73.2,28.2,165.7,20.8,-36.9,-14.8,126.6,18.0,45.4,,27.2,9.7,32.0,,,-103.6,,9.2,893.3,100.0,-9.4,,22.1,43.0,-36.5,118.2,31.0,59.0,-76.2,5.4,-26.0,False,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,,True,False,False,True,,False,False,False,False,False,False,False,True,False
Oregon,599,617.0,604.8,578.0,605.0,600.0,570.0,586.0,581.9,589.0,628.0,599.1,,,649.0,593.9,569.5,786.8,603.1,580.2,582.2,660.1,612.0,630.0,,582.1,589.4,570.0,,,561.4,,591.1,760.4,643.0,601.9,,645.6,593.0,592.0,607.0,590.0,605.0,571.2,596.7,577.0,18.0,5.8,-21.0,6.0,1.0,-29.0,-13.0,-17.1,-10.0,29.0,0.1,,,50.0,-5.1,-29.5,187.8,4.1,-18.8,-16.8,61.1,13.0,31.0,,-16.9,-9.6,-29.0,,,-37.6,,-7.9,161.4,44.0,2.9,,46.6,-6.0,-7.0,8.0,-9.0,6.0,-27.8,-2.3,-22.0,True,False,True,True,False,True,True,True,False,True,,,False,True,False,False,True,False,True,False,True,False,,True,True,False,,,False,,True,False,False,True,,False,True,True,True,True,True,False,True,False
Pennsylvania,8324,8133.7,8133.4,8101.0,8164.5,8183.0,8282.0,8399.0,8194.5,8008.0,8232.6,8340.9,,,8192.0,8270.9,8482.2,8478.1,8197.5,8013.0,8069.4,8168.6,8121.0,8230.7,,8179.7,8147.2,8024.0,,8169.1,7962.0,,8193.8,13010.5,8085.0,8067.7,,8183.3,8211.0,8777.6,8910.8,8224.0,8198.0,8031.1,8110.4,8115.0,-190.3,-190.6,-223.0,-159.5,-141.0,-42.0,75.0,-129.5,-316.0,-91.4,16.9,,,-132.0,-53.1,158.2,154.1,-126.5,-311.0,-254.6,-155.4,-203.0,-93.3,,-144.3,-176.8,-300.0,,-154.9,-362.0,,-130.2,4686.5,-239.0,-256.3,,-140.7,-113.0,453.6,586.8,-100.0,-126.0,-292.9,-213.6,-209.0,False,False,True,True,True,True,True,False,True,True,,,True,True,True,True,True,False,False,True,False,True,,True,True,False,,True,False,,True,False,False,False,,True,True,False,False,True,True,False,False,False
Rhode Island,1130,1132.7,1133.4,,1137.0,1122.0,1099.0,1121.0,1117.7,1073.0,1137.3,1130.1,,,1101.0,1114.7,1131.8,1183.5,1146.8,1087.2,1097.7,1269.6,1091.0,1133.5,,1122.7,1147.9,1091.0,,1085.1,1108.2,,1111.0,1355.3,1107.0,1115.0,,1130.6,1100.0,1204.7,1184.6,1125.0,1093.0,0.0,1108.1,1117.0,2.7,3.4,,7.0,-8.0,-31.0,-9.0,-12.3,-57.0,7.3,0.1,,,-29.0,-15.3,1.8,53.5,16.8,-42.8,-32.3,139.6,-39.0,3.5,,-7.3,17.9,-39.0,,-44.9,-21.8,,-19.0,225.3,-23.0,-15.0,,0.6,-30.0,74.7,54.6,-5.0,-37.0,-1130.0,-21.9,-13.0,False,,False,False,False,False,False,False,False,True,,,False,False,True,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False
South Carolina,3551,3746.7,3686.0,3542.0,3691.9,3619.0,3401.0,4064.0,3770.3,3622.0,3674.0,3633.3,,,3616.0,3691.5,3387.4,3479.9,3519.9,3879.8,3577.7,3671.1,3421.0,3512.7,,3698.0,3558.2,3512.0,,3831.8,3372.2,,3702.3,5182.9,4237.0,3611.0,,3548.8,3833.0,3706.5,3775.5,3678.0,3567.0,3451.4,3537.7,3477.0,195.7,135.0,-9.0,140.9,68.0,-150.0,513.0,219.3,71.0,123.0,82.3,,,65.0,140.5,-163.6,-71.1,-31.1,328.8,26.7,120.1,-130.0,-38.3,,147.0,7.2,-39.0,,280.8,-178.8,,151.3,1631.9,686.0,60.0,,-2.2,282.0,155.5,224.5,127.0,16.0,-99.6,-13.3,-74.0,True,True,True,True,True,False,False,True,True,True,,,True,True,True,True,True,False,True,True,True,True,,True,True,True,,False,True,,True,False,False,True,,True,False,True,False,True,True,True,True,True
South Dakota,286,226.4,223.6,230.0,223.0,223.0,236.0,204.0,246.2,192.0,229.5,217.2,,,278.0,242.3,226.6,220.6,233.3,208.6,203.2,273.9,309.0,211.7,,241.4,227.4,211.0,,,203.5,,222.9,219.0,235.0,213.0,,207.8,237.0,215.7,277.5,211.0,207.0,202.6,228.3,209.0,-59.6,-62.4,-56.0,-63.0,-63.0,-50.0,-82.0,-39.8,-94.0,-56.5,-68.8,,,-8.0,-43.7,-59.4,-65.4,-52.7,-77.4,-82.8,-12.1,23.0,-74.3,,-44.6,-58.6,-75.0,,,-82.5,,-63.1,-67.0,-51.0,-73.0,,-78.2,-49.0,-70.3,-8.5,-75.0,-79.0,-83.4,-57.7,-77.0,False,True,False,False,True,False,True,False,True,False,,,True,True,True,False,True,False,False,True,True,False,,True,True,False,,,False,,False,False,True,False,,False,True,False,True,False,False,False,True,False
Tennessee,2758,2899.6,2919.6,2645.0,2872.1,2656.0,3251.0,2771.0,2568.1,2512.0,2756.1,2693.8,,,2746.0,2586.8,2350.6,2735.9,2521.0,2464.0,2603.9,2862.7,2430.0,2658.0,,2327.8,2706.3,2795.0,,2608.3,2376.0,,2584.4,3571.0,2729.0,2766.1,,2533.3,2640.0,2568.6,2483.9,2757.0,2656.0,2373.0,2606.3,2513.0,141.6,161.6,-113.0,114.1,-102.0,493.0,13.0,-189.9,-246.0,-1.9,-64.2,,,-12.0,-171.2,-407.4,-22.1,-237.0,-294.0,-154.1,104.7,-328.0,-100.0,,-430.2,-51.7,37.0,,-149.7,-382.0,,-173.6,813.0,-29.0,8.1,,-224.7,-118.0,-189.4,-274.1,-1.0,-102.0,-385.0,-151.7,-245.0,False,True,True,True,False,True,False,False,True,True,,,True,False,False,True,False,False,False,True,False,True,,False,True,True,,False,False,,False,False,True,True,,False,True,False,False,True,True,False,False,False
Texas,16943,17301.7,17423.3,16675.0,17355.3,16696.0,16525.0,16186.0,16180.8,17133.0,16684.6,16583.4,,,16986.0,16562.2,15898.2,16932.9,16894.7,16700.1,16526.5,18724.5,16511.0,16188.9,,16585.8,16602.2,16739.5,,18145.0,15849.5,16448.0,16720.2,26189.5,19278.0,16966.0,,16569.9,16691.0,17289.6,16608.2,16562.0,16896.5,16231.4,16344.4,14968.0,358.7,480.3,-268.0,412.3,-247.0,-418.0,-757.0,-762.2,190.0,-258.4,-359.6,,,43.0,-380.8,-1044.8,-10.1,-48.3,-242.9,-416.5,1781.5,-432.0,-754.1,,-357.2,-340.8,-203.5,,1202.0,-1093.5,-495.0,-222.8,9246.5,2335.0,23.0,,-373.1,-252.0,346.6,-334.8,-381.0,-46.5,-711.6,-598.6,-1975.0,False,True,False,True,False,False,False,True,True,False,,,True,False,False,True,True,True,False,False,False,False,,True,True,True,,False,False,False,True,False,False,True,,False,True,True,True,False,True,False,False,False
Utah,510,475.4,485.9,502.0,485.1,500.0,540.0,515.0,553.0,474.0,492.5,478.2,,,589.0,505.9,440.6,563.0,512.5,493.2,480.1,510.3,437.0,513.4,,539.0,498.8,457.0,,,441.2,,491.5,871.7,498.0,497.3,,533.7,523.0,507.1,522.7,498.0,500.0,395.9,501.3,461.0,-34.6,-24.1,-8.0,-24.9,-10.0,30.0,5.0,43.0,-36.0,-17.5,-31.8,,,79.0,-4.1,-69.4,53.0,2.5,-16.8,-29.9,0.3,-73.0,3.4,,29.0,-11.2,-53.0,,,-68.8,,-18.5,361.7,-12.0,-12.7,,23.7,13.0,-2.9,12.7,-12.0,-10.0,-114.1,-8.7,-49.0,True,True,True,True,True,True,False,False,True,True,,,False,True,False,False,True,True,True,True,False,True,,True,True,False,,,False,,True,False,True,True,,True,True,True,True,True,True,False,True,False
Vermont,58,58.0,58.0,58.0,59.8,60.0,59.0,58.0,59.3,58.0,62.1,59.9,,,69.0,58.0,64.7,71.1,58.6,59.2,58.0,62.2,80.0,58.9,,59.4,58.0,58.0,,,58.0,,60.0,59.7,62.0,58.3,,79.2,59.0,64.3,64.0,58.0,66.0,58.0,61.4,,0.0,0.0,0.0,1.8,2.0,1.0,0.0,1.3,0.0,4.1,1.9,,,11.0,0.0,6.7,13.1,0.6,1.2,0.0,4.2,22.0,0.9,,1.4,0.0,0.0,,,0.0,,2.0,1.7,4.0,0.3,,21.2,1.0,6.3,6.0,0.0,8.0,-0.0,3.4,,True,True,False,False,False,True,False,True,False,False,,,False,True,False,False,False,False,True,False,False,False,,False,True,True,,,True,,False,False,False,False,,False,False,False,False,True,False,False,False,
Virginia,3354,2901.4,2964.8,2969.0,2905.6,3032.0,3226.0,3227.0,3043.5,2830.0,3055.3,3092.6,,,3286.0,3080.0,3223.5,3226.7,3059.9,2957.0,2928.7,3084.5,3081.0,3137.8,,2782.1,3026.8,3048.0,,3119.2,2830.9,,3009.5,3252.4,2971.0,2874.6,,3083.0,3050.0,3148.6,3355.2,2955.0,2857.0,2926.9,3016.9,2975.0,-452.6,-389.2,-385.0,-448.4,-322.0,-128.0,-127.0,-310.5,-524.0,-298.7,-261.4,,,-68.0,-274.0,-130.5,-127.3,-294.1,-397.0,-425.3,-269.5,-273.0,-216.2,,-571.9,-327.2,-306.0,,-234.8,-523.1,,-344.5,-101.6,-383.0,-479.4,,-271.0,-304.0,-205.4,1.2,-399.0,-497.0,-427.1,-337.1,-379.0,True,True,True,True,True,True,True,False,True,True,,,True,True,True,True,True,True,True,True,True,True,,False,True,True,,True,False,,True,True,True,False,,True,True,True,True,True,False,True,True,True
