,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Maryland,3995,4039.0,4020.5,4020.0,4023.0,4022.0,4054.0,4006.0,3978.7,3948.0,4030.3,4004.6,4061.9,,3985.7,4023.0,4070.0,4004.0,4043.6,4011.6,4012.3,3993.2,4033.9,4065.6,4016.0,4044.6,,4034.2,4019.8,4004.0,,3989.3,3975.4,4020.0,4261.8,4052.0,4008.4,,4052.9,4013.0,4031.4,4204.5,4010.0,4025.0,3972.7,4038.0,4038.0,44.0,25.5,25.0,28.0,27.0,59.0,11.0,-16.3,-47.0,35.3,9.6,66.9,,-9.3,28.0,75.0,9.0,48.6,16.6,17.3,-1.8,38.9,70.6,21.0,49.6,,39.2,24.8,9.0,,-5.7,-19.6,25.0,266.8,57.0,13.4,,57.9,18.0,36.4,209.5,15.0,30.0,-22.3,43.0,43.0,True,True,True,True,False,True,True,False,True,True,False,,True,True,False,True,False,True,True,True,True,False,True,False,,True,True,True,,True,True,True,False,False,True,,False,True,True,False,True,True,True,True,True
Massachusetts,9587,9578.6,9579.2,9573.0,9584.6,9576.0,9613.0,9638.0,9561.6,9464.0,9578.0,9538.0,9579.6,,9574.5,9542.0,9495.0,9611.4,9602.4,9588.8,9570.5,9612.7,9582.7,9589.3,9513.0,9644.8,,9516.4,9614.1,9421.0,,9562.4,9509.0,9624.0,9877.6,9645.0,9543.8,,9652.9,9597.0,9659.3,9700.2,9647.0,9683.5,9477.9,9555.5,9390.0,-8.4,-7.8,-14.0,-2.4,-11.0,26.0,51.0,-25.4,-123.0,-9.0,-49.0,-7.4,,-12.5,-45.0,-92.0,24.4,15.4,1.8,-16.5,25.7,-4.3,2.3,-74.0,57.8,,-70.6,27.1,-166.0,,-24.6,-78.0,37.0,290.6,58.0,-43.2,,65.9,10.0,72.3,113.2,60.0,96.5,-109.1,-31.5,-197.0,True,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,True,False,False,True,True,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Michigan,7219,7183.3,7206.3,7187.0,7195.0,7202.0,7273.0,7190.0,7141.2,7097.0,7187.4,7212.9,7178.7,,7167.8,7161.0,7246.0,7181.6,7495.6,7313.9,7219.0,7114.5,7171.4,7258.7,7230.0,7190.9,7119.0,7112.6,7217.0,7207.0,,7055.5,7114.7,7205.0,7573.9,7167.0,7170.7,,7199.2,7197.0,7278.5,7705.1,7196.0,7155.0,7029.7,7170.2,7069.0,-35.7,-12.7,-32.0,-24.0,-17.0,54.0,-29.0,-77.8,-122.0,-31.6,-6.1,-40.3,,-51.2,-58.0,27.0,-37.4,276.6,94.9,0.0,-104.5,-47.6,39.7,11.0,-28.1,-100.0,-106.4,-2.0,-12.0,,-163.5,-104.3,-14.0,354.9,-52.0,-48.3,,-19.8,-22.0,59.5,486.1,-23.0,-64.0,-189.3,-48.8,-150.0,True,True,True,True,False,True,False,False,True,True,False,,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,,False,False,True,False,False,False,,True,True,False,False,True,False,False,False,False
Minnesota,2184,2139.9,2142.3,2143.0,2138.0,2162.0,2350.0,2170.0,2148.3,2097.0,2179.5,2148.2,2157.1,,2215.1,2157.0,2162.0,2163.8,2240.3,2192.8,2161.6,2172.2,2170.9,2166.9,2213.0,2134.3,2173.0,2092.7,2167.9,2172.0,,2162.3,2097.6,2168.0,2334.7,2165.0,2148.9,,2142.5,2166.0,2174.3,2295.9,2189.0,2116.0,2069.7,2161.5,2138.0,-44.1,-41.7,-41.0,-46.0,-22.0,166.0,-14.0,-35.7,-87.0,-4.5,-35.8,-26.9,,31.1,-27.0,-22.0,-20.2,56.3,8.8,-22.4,-11.8,-13.1,-17.1,29.0,-49.7,-11.0,-91.3,-16.1,-12.0,,-21.7,-86.4,-16.0,150.7,-19.0,-35.1,,-41.5,-18.0,-9.7,111.9,5.0,-68.0,-114.3,-22.5,-46.0,True,True,False,True,False,True,True,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,,True,False,True,False,True,True,,True,True,True,False,True,False,False,True,False
Mississippi,3096,3121.4,3110.7,3105.0,3115.0,3091.0,2984.0,3092.0,3038.0,3078.0,3132.6,3067.4,3076.7,,3169.2,3130.0,3041.0,3090.3,3039.8,3038.0,3076.2,3081.9,3078.7,3107.7,3068.0,3145.3,,3043.9,3161.8,3067.0,,3114.0,3054.6,3131.0,2758.3,3086.0,3109.5,,3153.5,3104.0,3142.8,3111.2,3108.0,3032.0,3086.1,3096.7,3012.0,25.4,14.7,9.0,19.0,-5.0,-112.0,-4.0,-58.0,-18.0,36.6,-28.6,-19.3,,73.2,34.0,-55.0,-5.7,-56.2,-58.0,-19.8,-14.1,-17.3,11.7,-28.0,49.3,,-52.1,65.8,-29.0,,18.0,-41.4,35.0,-337.7,-10.0,13.5,,57.5,8.0,46.8,15.2,12.0,-64.0,-9.9,0.7,-84.0,True,True,True,True,False,True,False,True,False,False,True,,False,False,False,True,False,False,True,True,True,True,False,False,,False,False,False,,True,False,False,False,True,True,,False,True,False,True,True,False,True,True,False
Missouri,2436,2474.6,2511.0,2403.0,2512.0,2331.0,2418.0,2365.0,2138.9,2254.0,2255.6,2343.8,2160.5,,2081.9,2395.0,2125.0,2269.2,2124.0,2299.1,2318.5,2333.9,2404.7,2363.3,2317.0,2323.0,,2263.1,2470.0,2303.0,,2061.6,2235.1,2448.0,2786.3,2465.0,2419.0,,2331.3,2212.0,2237.8,2416.7,2494.0,2355.0,2032.8,2301.0,2154.0,67.6,104.0,-4.0,105.0,-76.0,11.0,-42.0,-268.1,-153.0,-151.4,-63.2,-246.5,,-325.1,-12.0,-282.0,-137.8,-283.0,-107.9,-88.5,-73.1,-2.3,-43.7,-90.0,-84.0,,-143.9,63.0,-104.0,,-345.4,-171.9,41.0,379.3,58.0,12.0,,-75.7,-195.0,-169.2,9.7,87.0,-52.0,-374.2,-106.0,-253.0,False,True,False,False,True,True,False,False,False,True,False,,False,True,False,False,False,False,False,False,True,True,False,False,,False,True,False,,False,False,True,False,True,True,,False,False,False,True,False,True,False,False,False
Montana,209,202.7,199.3,205.0,201.0,207.0,182.0,267.0,219.7,186.0,209.0,224.2,214.0,,213.5,205.0,199.0,209.1,216.6,208.7,223.0,212.2,207.9,228.7,259.0,206.0,,201.3,218.7,210.0,,,186.1,225.0,247.1,248.0,198.3,,214.5,221.0,196.7,201.8,222.0,205.0,191.4,207.9,192.0,-6.3,-9.7,-4.0,-8.0,-2.0,-27.0,58.0,10.7,-23.0,-0.0,15.2,5.0,,4.5,-4.0,-10.0,0.1,7.6,-0.3,14.0,3.2,-1.1,19.7,50.0,-3.0,,-7.7,9.7,1.0,,,-22.9,16.0,38.1,39.0,-10.7,,5.5,12.0,-12.3,-7.2,13.0,-4.0,-17.6,-1.1,-17.0,False,True,False,True,False,False,False,False,True,False,True,,True,True,False,True,False,True,False,True,True,False,False,True,,False,False,True,,,False,False,False,False,False,,True,False,False,False,False,True,False,True,False
Nebraska,519,522.0,527.3,518.0,523.0,513.0,602.0,524.0,505.0,493.0,515.2,514.3,527.1,,537.9,503.0,522.0,510.6,542.6,529.5,521.4,505.2,505.8,510.5,610.0,499.5,,511.5,521.8,512.0,,,500.4,517.0,533.3,537.0,512.3,,507.7,513.0,506.7,525.8,515.0,514.5,492.0,508.7,502.0,3.0,8.3,-1.0,4.0,-6.0,83.0,5.0,-14.0,-26.0,-3.8,-4.7,8.1,,18.9,-16.0,3.0,-8.4,23.6,10.5,2.4,-13.8,-13.2,-8.5,91.0,-19.5,,-7.5,2.8,-7.0,,,-18.6,-2.0,14.3,18.0,-6.7,,-11.3,-6.0,-12.3,6.8,-4.0,-4.5,-27.0,-10.3,-17.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,,,False,True,False,False,False,,False,False,False,False,False,False,False,False,False
Nevada,1659,1685.3,1693.6,1681.0,1690.0,1698.0,1798.0,1762.0,1676.8,1682.0,1714.0,1684.5,1702.9,,1749.0,1709.0,1702.0,1674.9,1649.1,1680.2,1671.7,1726.9,1686.5,1704.4,1694.0,1721.0,,1670.3,1723.0,1674.0,,1727.6,1640.7,1711.0,2017.8,1715.0,1705.6,,1729.4,1694.0,1699.1,1666.9,1734.0,1680.0,1685.9,1674.9,1654.0,26.3,34.6,22.0,31.0,39.0,139.0,103.0,17.8,23.0,55.0,25.5,43.9,,90.0,50.0,43.0,15.9,-9.9,21.2,12.7,67.9,27.5,45.4,35.0,62.0,,11.3,64.0,15.0,,68.6,-18.3,52.0,358.8,56.0,46.6,,70.4,35.0,40.1,7.9,75.0,21.0,26.9,15.9,-5.0,False,True,False,False,False,False,True,True,False,True,False,,False,False,False,True,True,True,True,False,False,False,False,False,,True,False,True,,False,True,False,False,False,False,,False,False,False,True,False,True,False,True,True
New Hampshire,455,440.9,441.3,442.0,443.0,443.0,439.0,442.0,443.8,439.0,447.2,451.1,446.8,,444.0,439.0,443.0,442.6,451.5,453.3,445.9,445.2,439.0,449.7,451.0,450.3,,448.9,441.3,440.0,,,442.0,443.0,471.7,453.0,442.9,,458.5,443.0,458.9,466.2,441.0,440.0,443.2,442.4,,-14.1,-13.7,-13.0,-12.0,-12.0,-16.0,-13.0,-11.2,-16.0,-7.8,-3.9,-8.2,,-11.0,-16.0,-12.0,-12.4,-3.5,-1.7,-9.1,-9.8,-16.0,-5.3,-4.0,-4.7,,-6.1,-13.7,-15.0,,,-13.0,-12.0,16.7,-2.0,-12.1,,3.5,-12.0,3.9,11.2,-14.0,-15.0,-11.8,-12.6,,True,True,True,True,False,True,True,False,True,True,True,,True,False,True,True,True,True,True,True,False,True,True,True,,True,True,False,,,True,True,False,True,True,,True,True,True,True,True,False,True,True,
New Jersey,16171,16178.4,16182.6,16177.0,16197.8,16200.0,16453.0,16275.0,16208.3,16121.0,16163.4,16207.5,16215.3,,16362.8,16181.0,16215.0,16197.7,16382.9,16181.9,16189.4,16199.6,16187.8,16342.0,16191.0,16240.0,,16200.4,16201.7,16105.0,,16161.0,16186.5,16198.0,16772.1,16200.0,16171.0,,16248.3,16191.0,16758.9,16620.6,16185.0,16274.0,16197.1,16190.1,16339.0,7.4,11.6,6.0,26.8,29.0,282.0,104.0,37.3,-50.0,-7.6,36.5,44.3,,191.8,10.0,44.0,26.7,211.9,10.9,18.4,28.6,16.8,171.0,20.0,69.0,,29.4,30.7,-66.0,,-10.0,15.5,27.0,601.1,29.0,-0.0,,77.3,20.0,587.9,449.6,14.0,103.0,26.1,19.1,168.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
New Mexico,907,909.0,914.6,909.0,916.0,915.0,897.0,935.0,897.7,895.0,923.1,926.9,913.8,,905.8,929.0,916.0,912.2,913.2,923.8,920.9,930.6,908.2,935.1,920.0,919.6,,908.3,932.6,893.0,,,885.6,925.0,1114.7,969.0,909.1,,927.8,913.0,935.2,916.8,928.0,895.0,904.9,921.3,889.0,2.0,7.6,2.0,9.0,8.0,-10.0,28.0,-9.3,-12.0,16.1,19.9,6.8,,-1.2,22.0,9.0,5.2,6.2,16.8,13.9,23.6,1.2,28.1,13.0,12.6,,1.3,25.6,-14.0,,,-21.4,18.0,207.7,62.0,2.1,,20.8,6.0,28.2,9.8,21.0,-12.0,-2.1,14.3,-18.0,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,True,False,False,False,,True,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
New York,33466,33212.7,33202.9,33208.0,33229.6,33228.0,33347.0,33216.0,33241.7,33133.0,33205.9,33249.1,33243.8,,33179.6,33183.0,33241.0,33229.6,33603.9,33330.4,33222.9,33219.0,33230.7,33634.0,33295.0,33222.7,,33229.0,33227.6,33155.0,,33182.7,33235.5,33198.0,33570.6,33221.0,33203.5,,33231.1,33244.0,33648.1,34007.1,33219.0,32886.0,33097.6,33257.3,33098.0,-91.3,-101.1,-96.0,-74.4,-76.0,43.0,-88.0,-62.3,-171.0,-98.1,-54.9,-60.2,,-124.4,-121.0,-63.0,-74.4,299.9,26.4,-81.1,-85.0,-73.3,330.0,-9.0,-81.3,,-75.0,-76.4,-149.0,,-121.3,-68.5,-106.0,266.6,-83.0,-100.5,,-72.9,-60.0,344.1,703.1,-85.0,-418.0,-206.4,-46.7,-206.0,False,False,True,True,True,True,True,False,False,True,True,,False,False,True,True,False,True,True,True,True,False,True,True,,True,True,False,,False,True,False,False,True,False,,True,True,False,False,True,False,False,True,False
North Carolina,3765,3808.7,3847.2,3827.0,3850.0,3765.0,3752.0,3823.0,3658.8,3708.0,3737.2,3830.7,3758.6,,3788.2,3848.0,3730.0,3792.9,3787.3,3803.9,3779.4,3823.1,3765.5,3769.2,3741.0,3872.5,,3663.3,3880.0,3878.5,,3757.2,3644.2,3866.0,4715.2,3722.0,3802.8,,3880.7,3757.0,3776.3,3717.9,3781.0,3723.0,3656.8,3786.9,3610.0,43.7,82.2,62.0,85.0,0.0,-13.0,58.0,-106.2,-57.0,-27.8,65.7,-6.4,,23.2,83.0,-35.0,27.9,22.3,38.9,14.4,58.1,0.5,4.2,-24.0,107.5,,-101.7,115.0,113.5,,-7.8,-120.8,101.0,950.2,-43.0,37.8,,115.7,-8.0,11.3,-47.1,16.0,-42.0,-108.2,21.9,-155.0,False,False,False,True,True,False,False,False,True,False,True,,True,False,True,True,True,True,True,False,True,True,True,False,,False,False,False,,True,False,False,False,True,True,,False,True,True,False,True,True,False,True,False
North Dakota,336,303.4,293.7,292.0,297.0,291.0,281.0,298.0,278.1,232.0,288.8,294.6,268.3,,281.6,279.0,245.0,291.9,291.4,259.5,300.8,281.4,289.5,274.2,326.0,290.1,,304.2,319.1,310.0,,,314.6,261.0,246.8,276.0,259.3,,298.3,296.0,289.9,283.9,312.0,314.0,250.5,309.8,262.0,-32.6,-42.3,-44.0,-39.0,-45.0,-55.0,-38.0,-57.9,-104.0,-47.2,-41.4,-67.7,,-54.4,-57.0,-91.0,-44.1,-44.6,-76.5,-35.2,-54.6,-46.5,-61.8,-10.0,-45.9,,-31.8,-16.9,-26.0,,,-21.4,-75.0,-89.2,-60.0,-76.7,,-37.7,-40.0,-46.1,-52.1,-24.0,-22.0,-85.5,-26.2,-74.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,True,True,True,,,True,False,False,False,False,,False,False,False,False,True,True,False,True,False
Ohio,4614,4975.0,4974.9,4988.0,4995.9,4996.0,5097.0,5036.0,5026.6,4998.0,4996.8,4984.4,4955.3,,5049.2,4987.0,4931.0,5044.0,4977.5,5117.3,5053.5,4983.0,4969.3,5114.4,4990.0,4991.8,4911.0,4865.1,5000.2,5082.0,,5074.5,4854.0,5060.0,5321.3,4962.0,4987.4,,5000.1,4992.0,5078.5,5219.7,5002.0,4879.0,4949.0,5011.4,4942.0,-15.0,-15.1,-2.0,5.9,6.0,107.0,46.0,36.6,8.0,6.8,-5.6,-34.7,,59.2,-3.0,-59.0,54.0,-12.5,127.3,63.5,-7.0,-20.7,124.4,0.0,1.8,-79.0,-124.9,10.2,92.0,,84.5,-136.0,70.0,331.3,-28.0,-2.6,,10.1,2.0,88.5,229.7,12.0,-111.0,-41.0,21.4,-48.0,False,True,True,True,False,False,False,True,True,True,False,,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,,False,False,False,False,False,True,,True,True,False,False,True,False,False,False,False
Oklahoma,1095,1117.4,1127.1,1125.0,1126.0,1123.0,1251.0,1132.0,1076.2,1127.0,1114.4,1120.6,1118.7,,1135.4,1128.0,1097.0,1139.0,1199.2,1179.1,1131.0,1080.2,1124.7,1140.1,1153.0,1159.4,,1023.8,1144.3,1105.0,,,1054.5,1136.0,1140.4,1086.0,1120.9,,1167.6,1126.0,1091.4,1192.0,1143.0,1081.5,1070.1,1111.0,1071.0,22.4,32.1,30.0,31.0,28.0,156.0,37.0,-18.8,32.0,19.4,25.6,23.7,,40.4,33.0,2.0,44.0,104.2,84.1,36.0,-14.8,29.7,45.1,58.0,64.4,,-71.2,49.3,10.0,,,-40.5,41.0,45.4,-9.0,25.9,,72.6,31.0,-3.6,97.0,48.0,-13.5,-24.9,16.0,-24.0,False,False,False,False,False,False,True,False,True,False,False,,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,True,,,False,False,False,True,False,,False,False,True,False,False,True,False,True,False
Oregon,599,574.6,574.8,576.0,576.0,589.0,600.0,603.0,573.9,580.0,585.8,590.0,600.7,,602.7,572.0,598.0,582.2,597.0,652.9,578.1,585.3,575.3,596.1,611.0,595.7,,591.5,583.8,627.0,,,560.2,588.0,727.9,600.0,580.2,,603.6,587.0,580.8,589.1,594.0,570.0,573.6,588.3,559.0,-24.4,-24.2,-23.0,-23.0,-10.0,1.0,4.0,-25.1,-19.0,-13.2,-9.0,1.7,,3.7,-27.0,-1.0,-16.8,-2.0,53.9,-20.9,-13.7,-23.7,-2.9,12.0,-3.3,,-7.5,-15.2,28.0,,,-38.8,-11.0,128.9,1.0,-18.8,,4.6,-12.0,-18.2,-9.9,-5.0,-29.0,-25.4,-10.7,-40.0,True,True,True,True,True,True,False,True,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,,True,True,False,,,False,True,False,True,True,,True,True,True,True,True,False,False,True,False
Pennsylvania,8324,8320.0,8360.7,8350.0,8369.2,8331.0,8237.0,8323.0,8305.5,8217.0,8316.8,8294.1,8242.3,,8249.8,8350.0,8325.0,8305.0,8400.5,8392.4,8308.3,8262.7,8310.3,8409.7,8281.0,8475.2,,8200.4,8336.7,8365.0,,8296.0,8181.3,8378.0,12824.5,8338.0,8313.0,,8483.4,8289.0,8421.9,8725.3,8373.0,8421.0,8216.7,8326.1,8231.0,-4.0,36.7,26.0,45.2,7.0,-87.0,-1.0,-18.5,-107.0,-7.2,-29.9,-81.7,,-74.2,26.0,1.0,-19.0,76.5,68.4,-15.7,-61.3,-13.7,85.7,-43.0,151.2,,-123.6,12.7,41.0,,-28.0,-142.7,54.0,4500.5,14.0,-11.0,,159.4,-35.0,97.9,401.3,49.0,97.0,-107.3,2.1,-93.0,False,False,False,False,False,True,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False
Rhode Island,1148,1142.3,1146.9,,1145.0,1144.0,1122.0,1154.0,1144.5,1107.0,1147.3,1144.6,1142.5,,1146.6,1143.0,1134.0,1136.6,1144.2,1150.2,1148.1,1117.3,1123.4,1164.8,1121.0,1145.3,,1143.9,1137.5,1147.5,,,1115.4,1145.0,1347.8,1128.0,1137.3,,1153.4,1137.0,1160.6,1156.2,1146.0,1130.0,0.0,1141.1,1122.0,8.3,12.9,,11.0,10.0,-12.0,20.0,10.5,-27.0,13.3,10.6,8.5,,12.6,9.0,0.0,2.6,10.2,16.2,14.1,-16.7,-10.6,30.8,-13.0,11.3,,9.9,3.5,13.5,,,-18.6,11.0,213.8,-6.0,3.3,,19.4,3.0,26.6,22.2,12.0,-4.0,-1134.0,7.1,-12.0,False,,False,False,False,False,False,False,False,False,False,,False,False,True,True,False,False,False,False,False,False,False,False,,False,True,False,,,False,False,False,True,True,,False,True,False,False,False,True,False,True,False
South Carolina,3551,3561.9,3594.1,3582.0,3593.0,3584.0,3580.0,3617.0,3531.6,3571.0,3551.8,,3586.7,,3645.4,3597.0,3529.0,3616.7,3552.5,3506.4,3659.6,3507.4,3562.9,3578.9,3525.0,3707.6,,3539.2,3617.8,3541.0,,3655.0,3433.0,3666.0,4726.7,3584.0,3586.7,,3715.8,3590.0,3602.5,3647.0,3654.0,3501.0,3529.3,3550.0,3428.0,10.9,43.1,31.0,42.0,33.0,29.0,66.0,-19.4,20.0,0.8,,35.7,,94.4,46.0,-22.0,65.7,1.5,-44.6,108.6,-43.6,11.9,27.9,-26.0,156.6,,-11.8,66.8,-10.0,,104.0,-118.0,115.0,1175.7,33.0,35.7,,164.8,39.0,51.5,96.0,103.0,-50.0,-21.7,-1.0,-123.0,False,False,False,False,False,False,False,False,True,,False,,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,True,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False
South Dakota,286,247.7,254.9,255.0,254.0,253.0,238.0,257.0,252.7,221.0,247.8,,247.6,,254.2,233.0,237.0,248.6,285.8,238.5,256.8,253.3,249.3,249.7,316.0,245.8,,234.8,264.1,258.0,,,222.3,260.0,241.0,271.0,237.1,,253.9,259.0,236.5,264.6,258.0,247.0,231.5,252.4,239.0,-38.3,-31.1,-31.0,-32.0,-33.0,-48.0,-29.0,-33.3,-65.0,-38.2,,-38.4,,-31.8,-53.0,-49.0,-37.4,-0.2,-47.5,-29.2,-32.7,-36.7,-36.3,30.0,-40.2,,-51.2,-21.9,-28.0,,,-63.7,-26.0,-45.0,-15.0,-48.9,,-32.1,-27.0,-49.5,-21.4,-28.0,-39.0,-54.5,-33.6,-47.0,True,True,True,True,False,True,True,False,True,,False,,True,False,False,True,True,False,True,True,True,True,True,False,,False,True,True,,,False,True,False,True,False,,True,True,False,True,True,False,False,True,False
Tennessee,2758,2672.3,2699.2,2669.0,2690.0,2655.0,2690.0,2709.0,2634.7,2627.0,2631.6,2665.8,2615.8,,2951.0,2714.0,2572.0,2651.3,2560.2,2687.8,2716.7,2694.7,2653.3,2671.4,2645.0,2718.3,,2568.5,2691.2,2676.0,,2703.3,2495.9,2713.0,3459.3,2640.0,2687.6,,2726.4,2639.0,2689.7,2602.9,2681.0,2536.0,2530.3,2633.7,2542.0,-85.7,-58.8,-89.0,-68.0,-103.0,-68.0,-49.0,-123.3,-131.0,-126.4,-92.2,-142.2,,193.0,-44.0,-186.0,-106.7,-197.8,-70.2,-41.3,-63.3,-104.7,-86.6,-113.0,-39.7,,-189.5,-66.8,-82.0,,-54.7,-262.1,-45.0,701.3,-118.0,-70.4,,-31.6,-119.0,-68.3,-155.1,-77.0,-222.0,-227.7,-124.3,-216.0,True,False,True,False,True,True,False,False,False,False,False,,False,True,False,False,False,True,True,True,False,False,False,True,,False,True,True,,True,False,True,False,False,True,,True,False,True,False,True,False,False,False,False
Texas,17208,16965.1,17025.5,16966.0,17019.4,16896.0,16487.0,18177.0,16703.5,16827.0,16603.7,,16596.9,,17238.0,17166.0,16832.0,16798.7,17303.6,16912.3,16906.5,16594.7,16919.3,17048.2,16780.0,17568.9,,16795.4,17168.5,16736.0,,17428.0,16190.3,17406.0,23214.1,17222.0,16983.2,,17577.1,16854.0,17113.2,17032.9,17124.0,16669.0,16725.0,16881.7,15827.0,41.1,101.5,42.0,95.4,-28.0,-437.0,1253.0,-220.5,-97.0,-320.3,,-327.1,,314.0,242.0,-92.0,-125.3,379.6,-11.7,-17.5,-329.3,-4.7,124.2,-144.0,644.9,,-128.6,244.5,-188.0,,504.0,-733.7,482.0,6290.1,298.0,59.2,,653.1,-70.0,189.2,108.9,200.0,-255.0,-199.0,-42.3,-1097.0,False,False,False,True,False,False,False,False,False,,False,,False,False,False,False,False,True,True,False,True,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
