,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9991,9918.9,9957.6,9961.4,9896.0,9985.2,9967.0,10273.0,10527.0,10213.3,9786.0,9809.2,9910.5,9866.4,9758.0,10144.0,10140.9,9894.9,9843.5,10126.8,9895.6,9919.4,9726.0,10046.5,,9806.4,10140.4,9707.0,,9821.7,9635.7,,10038.0,10362.0,10187.0,9797.2,,10053.6,9996.0,9974.9,10200.0,9923.0,9714.6,9979.4,9488.0,-72.1,-33.4,-29.6,-95.0,-5.8,-24.0,282.0,536.0,222.3,-205.0,-181.8,-80.5,-124.6,-233.0,153.0,149.9,-96.1,-147.5,135.8,-95.4,-71.6,-265.0,55.5,,-184.6,149.4,-284.0,,-169.3,-355.3,,47.0,371.0,196.0,-193.8,,62.6,5.0,-16.1,209.0,-68.0,-276.4,-11.6,-503.0,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,,False,False,,True,False,False,False,,True,True,True,False,True,False,True,False
Michigan,7699,7432.6,7568.7,7468.8,7428.0,7454.5,7424.0,7649.0,7427.0,7370.4,7277.0,7331.0,,7598.0,7363.0,7480.0,7688.8,7604.1,7634.2,7444.8,7268.7,7422.3,7478.0,7605.6,8203.5,7252.1,7569.9,7382.0,,7212.0,7284.2,,7448.0,8112.4,7361.0,7346.8,,7615.9,7550.0,7482.2,7504.0,7310.0,7167.4,7442.4,7201.0,-266.4,-130.3,-230.2,-271.0,-244.5,-275.0,-50.0,-272.0,-328.6,-422.0,-368.0,,-101.0,-336.0,-219.0,-10.2,-94.9,-64.8,-254.2,-430.3,-276.7,-221.0,-93.4,504.5,-446.9,-129.1,-317.0,,-487.0,-414.8,,-251.0,413.4,-338.0,-352.2,,-83.1,-149.0,-216.8,-195.0,-389.0,-531.6,-256.6,-498.0,True,True,False,True,False,True,False,False,False,False,,True,False,True,True,True,True,True,False,False,True,True,False,False,True,False,,False,False,,True,False,False,False,,True,True,True,True,False,False,True,False
Minnesota,2511,2414.6,2570.1,2391.8,2400.0,2406.2,2390.0,2363.0,2577.0,2367.4,2293.0,2365.1,2423.9,2281.5,2362.0,2429.8,2455.5,2551.1,2400.6,2370.2,2311.8,2439.9,2434.0,2414.9,2885.0,2295.2,2503.8,2342.0,,2311.2,2334.2,,2398.0,2676.8,2526.0,2398.9,,2431.5,2468.0,2379.4,2516.0,2529.5,2207.0,2438.9,2336.0,-96.4,59.1,-119.2,-111.0,-104.8,-121.0,-148.0,66.0,-143.6,-218.0,-145.9,-87.1,-229.5,-149.0,-81.2,-55.5,40.1,-110.4,-140.8,-199.2,-71.1,-77.0,-96.1,374.0,-215.8,-7.2,-169.0,,-199.8,-176.8,,-113.0,165.8,15.0,-112.1,,-79.5,-43.0,-131.6,5.0,18.5,-304.0,-72.1,-175.0,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,,False,False,,False,False,True,False,,True,True,False,True,True,False,True,False
Mississippi,3334,3375.6,3196.5,3415.9,3360.0,3410.7,3335.0,3335.0,3416.0,3363.2,3261.0,3309.8,3276.7,3216.5,3404.0,3413.3,3427.2,3458.4,3204.8,3294.2,3279.6,3288.8,3306.0,3208.6,,3241.0,3443.2,3248.0,,3393.6,3245.1,,3410.0,2762.0,3419.0,3383.0,,3204.2,3354.0,3464.6,3423.0,3232.0,3300.4,3355.3,3071.0,41.6,-137.5,81.9,26.0,76.7,1.0,1.0,82.0,29.2,-73.0,-24.2,-57.3,-117.5,70.0,79.3,93.2,124.4,-129.2,-39.8,-54.4,-45.2,-28.0,-125.4,,-93.0,109.2,-86.0,,59.6,-88.9,,76.0,-572.0,85.0,49.0,,-129.8,20.0,130.6,89.0,-102.0,-33.6,21.3,-263.0,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,True,True,False
Missouri,3037,2699.0,2590.1,2695.9,2667.0,2669.0,2722.0,2898.0,2758.0,2829.2,2641.0,2551.2,2501.9,2426.4,2675.0,2597.7,2645.3,3457.0,2622.2,2821.8,3989.5,2642.4,2712.0,2660.7,,2736.3,2816.3,2953.0,,2557.0,2716.5,,2781.0,2967.3,2776.0,2413.4,,2678.9,2509.0,2570.5,2730.0,2887.0,2249.9,2978.4,2548.0,-338.0,-446.9,-341.1,-370.0,-368.0,-315.0,-139.0,-279.0,-207.8,-396.0,-485.8,-535.1,-610.6,-362.0,-439.3,-391.7,420.0,-414.8,-215.2,952.5,-394.6,-325.0,-376.3,,-300.7,-220.7,-84.0,,-480.0,-320.5,,-256.0,-69.7,-261.0,-623.6,,-358.1,-528.0,-466.5,-307.0,-150.0,-787.1,-58.6,-489.0,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,,True,True,True,,False,True,,True,True,True,False,,False,False,False,True,True,False,True,False
Montana,375,241.0,225.5,243.9,267.0,246.0,260.0,286.0,506.0,331.6,257.0,246.6,245.8,302.7,246.0,312.2,399.8,316.7,261.9,328.8,257.4,271.1,340.0,309.8,,262.7,280.6,236.0,,,193.8,,286.0,409.6,371.0,239.1,,312.9,334.0,245.9,323.0,239.0,218.7,288.5,233.0,-134.0,-149.5,-131.1,-108.0,-129.0,-115.0,-89.0,131.0,-43.4,-118.0,-128.4,-129.2,-72.3,-129.0,-62.8,24.8,-58.3,-113.1,-46.2,-117.6,-103.9,-35.0,-65.2,,-112.3,-94.4,-139.0,,,-181.2,,-89.0,34.6,-4.0,-135.9,,-62.1,-41.0,-129.1,-52.0,-136.0,-156.3,-86.5,-142.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,,False,,True,True,True,False,,True,True,True,True,False,False,True,False
Nebraska,652,620.6,659.9,599.4,624.0,609.0,606.0,668.0,655.0,612.1,595.0,607.4,675.8,602.4,574.0,590.4,627.9,639.6,612.8,604.9,569.3,613.7,748.0,602.0,,611.9,654.5,611.0,,,540.7,,610.0,605.1,707.0,527.2,,614.0,618.0,574.6,632.0,624.0,542.6,608.6,575.0,-31.4,7.9,-52.6,-28.0,-43.0,-46.0,16.0,3.0,-39.9,-57.0,-44.6,23.8,-49.6,-78.0,-61.6,-24.1,-12.4,-39.2,-47.1,-82.7,-38.3,96.0,-50.0,,-40.1,2.5,-41.0,,,-111.3,,-42.0,-46.9,55.0,-124.8,,-38.0,-34.0,-77.4,-20.0,-28.0,-109.4,-43.4,-77.0,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,,False,True,False,,,False,,False,False,False,False,,False,False,False,True,True,False,False,False
Nevada,1777,1769.6,1670.8,1778.1,1775.0,1772.0,1780.0,1877.0,2049.0,1858.8,1772.0,1775.0,1782.1,1871.6,1765.0,1834.5,1907.6,1896.4,1760.3,1827.3,1790.8,1786.9,1798.0,1700.7,,1774.9,1790.8,1748.0,,1866.2,1762.5,,1827.0,1892.4,1893.0,1850.9,,1702.7,1846.0,1804.4,1831.0,1740.0,1783.1,1789.7,1717.0,-7.4,-106.2,1.1,-2.0,-5.0,3.0,100.0,272.0,81.8,-5.0,-2.0,5.1,94.6,-12.0,57.5,130.6,119.4,-16.7,50.3,13.8,9.9,21.0,-76.3,,-2.1,13.8,-29.0,,89.2,-14.5,,50.0,115.4,116.0,73.9,,-74.3,69.0,27.4,54.0,-37.0,6.1,12.7,-60.0,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False
New Hampshire,483,458.4,556.5,452.7,457.0,457.6,457.0,457.0,451.0,448.3,454.0,463.2,466.8,464.8,459.0,448.8,457.8,485.1,469.7,458.9,462.1,443.9,472.0,449.7,,465.6,464.8,445.0,,,444.5,,453.0,479.7,462.0,462.3,,458.7,458.0,474.3,464.0,456.0,449.3,457.9,,-24.6,73.5,-30.3,-26.0,-25.4,-26.0,-26.0,-32.0,-34.7,-29.0,-19.8,-16.2,-18.2,-24.0,-34.2,-25.2,2.1,-13.3,-24.1,-20.9,-39.1,-11.0,-33.3,,-17.4,-18.2,-38.0,,,-38.5,,-30.0,-3.3,-21.0,-20.7,,-24.3,-25.0,-8.7,-19.0,-27.0,-33.7,-25.1,,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,,True,True,False,,,False,,False,True,True,True,,True,False,True,True,False,False,False,
New Jersey,16350,16251.7,16250.9,16260.2,16277.0,16394.6,16330.0,16695.0,16597.0,16442.7,16353.0,16259.5,16608.0,16728.0,16323.5,16372.6,16555.9,16321.0,16335.6,16352.8,16294.0,16327.1,16330.0,16384.2,,16283.8,16319.5,16145.0,,16222.1,16178.2,,16330.0,16969.6,16391.0,16231.3,,16378.0,16282.0,17140.7,16350.0,16411.0,16299.4,16346.5,16362.0,-98.3,-99.1,-89.8,-73.0,44.6,-20.0,345.0,247.0,92.7,3.0,-90.5,258.0,378.0,-26.5,22.6,205.9,-29.0,-14.4,2.8,-56.0,-22.9,-20.0,34.2,,-66.2,-30.5,-205.0,,-127.9,-171.8,,-20.0,619.6,41.0,-118.7,,28.0,-68.0,790.7,0.0,61.0,-50.6,-3.5,12.0,False,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,True,True,True,True
New Mexico,1018,976.9,965.9,979.4,969.0,970.0,985.0,1020.0,1242.0,1017.3,942.0,986.4,995.4,983.7,972.0,1033.5,1081.2,1010.5,1016.5,1004.8,994.4,979.4,995.0,979.2,,983.0,1036.5,962.0,,,978.6,,1002.0,1198.1,1118.0,952.2,,986.6,1023.0,1008.3,1041.0,975.0,955.3,994.6,910.0,-41.1,-52.1,-38.6,-49.0,-48.0,-33.0,2.0,224.0,-0.7,-76.0,-31.6,-22.6,-34.3,-46.0,15.5,63.2,-7.5,-1.5,-13.2,-23.6,-38.6,-23.0,-38.8,,-35.0,18.5,-56.0,,,-39.4,,-16.0,180.1,100.0,-65.8,,-31.4,5.0,-9.7,23.0,-43.0,-62.7,-23.4,-108.0,False,True,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,,True,True,False,,,True,,True,False,False,False,,True,True,True,True,False,False,True,False
New York,33730,33490.4,33952.7,33494.0,33418.0,33654.8,33494.0,33825.0,33462.0,33458.7,33420.0,33362.5,33398.6,33273.4,33401.0,33392.0,33640.4,33682.5,33666.6,33652.7,33426.1,33549.9,33562.0,33521.8,,33455.9,33626.4,33201.0,,33275.1,33481.2,,33393.0,33877.7,33496.0,33324.5,,33509.2,33708.0,33777.5,33604.0,33507.0,33208.6,33648.4,33289.0,-55.6,406.7,-52.0,-128.0,108.8,-52.0,279.0,-84.0,-87.3,-126.0,-183.5,-147.4,-272.6,-145.0,-154.0,94.4,136.5,120.6,106.7,-119.9,3.9,16.0,-24.2,,-90.1,80.4,-345.0,,-270.9,-64.8,,-153.0,331.7,-50.0,-221.5,,-36.8,162.0,231.5,58.0,-39.0,-337.4,102.4,-257.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,,False,False,False,,False,False,,False,False,True,False,,True,False,False,False,True,False,False,False
North Carolina,4378,4378.4,4167.7,4369.7,4297.0,4385.0,4280.0,4678.0,4295.0,4302.6,4130.0,4126.0,4298.5,4149.9,4257.0,4418.1,4293.8,4373.3,4504.5,4306.2,4066.8,4232.5,4208.0,4439.4,,4095.3,4543.3,4018.5,,4265.5,4043.7,,4474.0,3369.3,4205.0,4234.3,,4421.4,4272.0,4348.3,4485.0,4254.5,4037.8,4375.4,4178.0,0.4,-210.3,-8.3,-81.0,7.0,-98.0,300.0,-83.0,-75.4,-248.0,-252.0,-79.5,-228.1,-121.0,40.1,-84.2,-4.7,126.5,-71.8,-311.2,-145.5,-170.0,61.4,,-282.7,165.3,-359.5,,-112.5,-334.3,,96.0,-1008.7,-173.0,-143.7,,43.4,-106.0,-29.7,107.0,-123.5,-340.2,-2.6,-200.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
North Dakota,524,439.9,449.1,447.9,435.0,447.0,442.0,403.0,494.0,491.2,379.0,399.8,445.9,388.6,391.0,457.5,366.2,489.5,336.0,513.8,400.3,427.8,443.0,488.3,,493.7,518.2,578.0,,,309.2,,380.0,305.8,393.0,356.8,,503.0,448.0,632.9,502.0,637.0,322.6,467.4,425.0,-84.1,-74.9,-76.1,-89.0,-77.0,-82.0,-121.0,-30.0,-32.8,-145.0,-124.2,-78.1,-135.4,-133.0,-66.5,-157.8,-34.5,-188.0,-10.2,-123.7,-96.2,-81.0,-35.7,,-30.3,-5.8,54.0,,,-214.8,,-144.0,-218.2,-131.0,-167.2,,-21.0,-76.0,108.9,-22.0,113.0,-201.4,-56.6,-99.0,True,True,False,True,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,True,True,,True,True,True,,,False,,False,False,False,False,,True,True,False,True,False,False,True,False
Ohio,5301,5634.7,5926.2,5631.8,5426.0,5666.2,5542.0,5776.0,5464.0,5396.2,5427.0,5335.7,5489.9,5377.3,5184.0,5469.1,5477.4,5686.2,5614.0,5571.7,5369.3,5468.2,5401.0,5673.4,6032.0,5199.1,5797.8,5591.0,,5326.7,5375.7,,5542.0,5989.7,5713.0,5431.8,,5705.2,5570.0,5613.3,5591.0,5442.5,5316.2,5639.9,5575.0,333.7,625.2,330.8,125.0,365.2,241.0,475.0,163.0,95.2,126.0,34.7,188.9,76.3,-117.0,168.1,176.4,385.2,313.0,270.7,68.3,167.2,100.0,372.4,731.0,-101.9,496.8,290.0,,25.7,74.7,,241.0,688.7,412.0,130.8,,404.2,269.0,312.3,290.0,141.5,15.2,338.9,274.0,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,,True,True,,True,False,False,True,,False,True,True,True,True,True,False,True
Oklahoma,1337,1224.6,1179.9,1233.1,1300.0,1238.9,1250.0,1242.0,1287.0,1304.7,1317.0,1188.8,1240.8,1250.1,1270.0,1318.4,1277.6,1420.2,1325.5,1316.6,1129.2,1266.8,1355.0,1345.7,,1176.1,1272.6,1160.0,,,1162.4,,1284.0,1846.9,1232.0,1251.4,,1345.2,1307.0,1220.8,1283.0,1197.0,1167.6,1296.5,1207.0,-112.4,-157.1,-103.9,-37.0,-98.1,-87.0,-95.0,-50.0,-32.3,-20.0,-148.2,-96.2,-86.9,-67.0,-18.6,-59.4,83.2,-11.5,-20.4,-207.8,-70.2,18.0,8.7,,-160.9,-64.4,-177.0,,,-174.6,,-53.0,509.9,-105.0,-85.6,,8.2,-30.0,-116.2,-54.0,-140.0,-169.4,-40.5,-130.0,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,False,True,False,,,False,,True,False,True,True,,True,True,False,True,False,False,True,False
Oregon,689,683.9,710.6,687.4,669.0,687.1,673.0,654.0,743.0,642.9,643.0,653.3,674.1,678.6,651.0,668.3,667.0,733.3,787.4,667.3,635.4,656.9,715.0,691.1,,673.1,724.0,605.0,,,629.6,,676.0,746.7,680.0,680.1,,699.2,682.0,661.6,691.0,628.0,629.1,681.0,654.0,-5.1,21.6,-1.6,-20.0,-1.9,-16.0,-35.0,54.0,-46.1,-46.0,-35.7,-14.9,-10.4,-38.0,-20.7,-22.0,44.3,98.4,-21.7,-53.6,-32.1,26.0,2.1,,-15.9,35.0,-84.0,,,-59.4,,-13.0,57.7,-9.0,-8.9,,10.2,-7.0,-27.4,2.0,-61.0,-59.9,-8.0,-35.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,False,False,,False,False,False,True,False,False,False,False
Pennsylvania,8800,8615.4,8455.6,8554.2,8545.0,8579.5,8639.0,8635.0,8739.0,8730.0,8428.0,8602.6,8693.2,8511.0,8560.0,8665.9,8907.0,8684.0,8824.8,8658.5,8579.8,8620.6,8593.0,8472.0,,8900.0,8676.9,8324.0,,8610.5,8453.9,,8643.0,8391.1,8929.0,8459.3,,8455.7,8720.0,8768.4,8662.0,8674.0,8423.2,8821.6,8483.0,-184.6,-344.4,-245.8,-255.0,-220.5,-161.0,-165.0,-61.0,-70.0,-372.0,-197.4,-106.8,-289.0,-240.0,-134.1,107.0,-116.0,24.8,-141.5,-220.2,-179.4,-207.0,-328.0,,100.0,-123.1,-476.0,,-189.5,-346.1,,-157.0,-408.9,129.0,-340.7,,-344.3,-80.0,-31.6,-138.0,-126.0,-376.8,21.6,-317.0,False,False,False,False,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,False,False,,True,True,False,,False,False,,True,False,True,False,,False,True,True,True,True,False,True,False
Rhode Island,1201,1160.4,1129.7,1163.7,,1165.6,1170.0,1159.0,1190.0,1193.1,1147.0,1198.8,1186.8,1202.0,1168.0,1200.2,1214.1,1173.3,1200.0,1194.5,1156.7,1146.7,1146.0,1139.5,,1179.3,1178.4,1169.0,,,1119.5,,1170.0,1541.4,1156.0,1149.3,,1145.3,1165.0,1188.7,1173.0,1143.0,0.0,1195.2,1163.0,-40.6,-71.3,-37.3,,-35.4,-31.0,-42.0,-11.0,-7.9,-54.0,-2.2,-14.2,1.0,-33.0,-0.8,13.1,-27.7,-1.0,-6.5,-44.3,-54.3,-55.0,-61.5,,-21.7,-22.6,-32.0,,,-81.5,,-31.0,340.4,-45.0,-51.7,,-55.7,-36.0,-12.3,-28.0,-58.0,-1201.0,-5.8,-38.0,False,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,,True,True,True,,,False,,True,False,False,False,,False,True,True,True,False,False,True,True
South Carolina,3935,3942.9,3824.0,3918.4,3863.0,3918.1,3839.0,3970.0,3722.0,3852.6,3879.0,3798.0,3851.4,3913.8,3826.0,3949.3,3720.6,4149.7,3730.6,4047.2,3727.2,3841.0,3801.0,3727.8,,3741.7,3934.8,3646.0,,3981.5,3694.2,,3951.0,4927.9,3881.0,3905.1,,3720.5,3905.0,3978.2,3928.0,3798.5,3786.2,3911.9,3695.0,7.9,-111.0,-16.6,-72.0,-16.9,-96.0,35.0,-213.0,-82.4,-56.0,-137.0,-83.6,-21.2,-109.0,14.3,-214.4,214.7,-204.4,112.2,-207.8,-94.0,-134.0,-207.2,,-193.3,-0.2,-289.0,,46.5,-240.8,,16.0,992.9,-54.0,-29.9,,-214.5,-30.0,43.2,-7.0,-136.5,-148.8,-23.1,-240.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False
South Dakota,425,363.7,409.6,366.3,364.0,368.0,351.0,318.0,424.0,362.3,331.0,324.5,393.4,332.9,299.0,338.1,360.4,523.4,280.2,370.1,325.2,335.6,420.0,346.3,,340.1,414.3,351.0,,,256.6,,355.0,300.1,391.0,290.1,,362.6,369.0,293.1,426.0,358.0,279.7,360.2,351.0,-61.3,-15.4,-58.7,-61.0,-57.0,-74.0,-107.0,-1.0,-62.7,-94.0,-100.5,-31.6,-92.1,-126.0,-86.9,-64.6,98.4,-144.8,-54.9,-99.8,-89.4,-5.0,-78.7,,-84.9,-10.7,-74.0,,,-168.4,,-70.0,-124.9,-34.0,-134.9,,-62.4,-56.0,-131.9,1.0,-67.0,-145.3,-64.8,-74.0,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,,False,True,False,,,False,,False,False,True,False,,False,True,False,True,False,False,False,False
Tennessee,3353,3348.4,3730.7,3338.7,3193.0,3303.7,3145.0,3041.0,3178.0,3126.7,3072.0,3049.3,,2930.7,3018.0,3182.5,3005.1,3623.6,3110.7,3134.7,3075.9,3189.8,3061.0,3369.9,,2997.2,3145.2,3173.0,,3200.1,2841.0,,3202.0,3445.0,3302.0,3250.9,,3378.9,3166.0,3311.0,3272.0,3281.0,2879.5,3155.1,3075.0,-4.6,377.7,-14.3,-160.0,-49.3,-208.0,-312.0,-175.0,-226.3,-281.0,-303.7,,-422.3,-335.0,-170.5,-347.9,270.6,-242.3,-218.3,-277.1,-163.2,-292.0,16.9,,-355.8,-207.8,-180.0,,-152.9,-512.0,,-151.0,92.0,-51.0,-102.1,,25.9,-187.0,-42.0,-81.0,-72.0,-473.5,-197.9,-278.0,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Texas,18463,18537.9,18430.0,18652.8,18448.0,18645.5,18457.0,19753.0,20738.0,19303.5,18064.0,17527.7,19147.3,17665.1,18468.0,18616.5,19081.4,18762.8,18180.2,18423.7,17624.5,18189.0,18220.0,17358.5,,18079.7,18571.9,17818.0,,19330.0,17815.3,18522.0,18907.0,22982.9,18184.0,18463.8,,17320.6,18436.0,18837.0,18961.0,17867.0,17896.2,18576.2,16679.0,88.9,-19.0,203.8,-1.0,196.5,8.0,1304.0,2289.0,854.5,-385.0,-921.3,698.3,-783.9,19.0,167.5,632.4,313.8,-268.8,-25.3,-824.5,-260.0,-229.0,-1090.5,,-369.3,122.9,-631.0,,881.0,-633.7,73.0,458.0,4533.9,-265.0,14.8,,-1128.4,-13.0,388.0,512.0,-582.0,-552.8,127.2,-1770.0,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,True,False,False,False,True,,False,True,False,False,False,False,False,False
Utah,604,574.4,755.9,586.7,662.0,588.0,576.0,588.0,583.0,586.6,564.0,534.7,590.0,458.8,515.0,558.4,478.8,825.8,586.8,587.1,584.6,637.0,600.0,556.0,,596.8,623.5,499.0,,,515.1,,568.0,455.1,660.0,573.8,,567.0,593.0,564.5,639.0,523.0,421.8,583.5,532.0,-29.6,151.9,-17.3,58.0,-16.0,-28.0,-16.0,-21.0,-17.4,-40.0,-69.3,-14.0,-145.2,-89.0,-45.6,-125.2,221.8,-17.2,-16.9,-19.4,33.0,-4.0,-48.0,,-7.2,19.5,-105.0,,,-88.9,,-36.0,-148.9,56.0,-30.2,,-37.0,-11.0,-39.5,35.0,-81.0,-182.2,-20.5,-72.0,False,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True,False,True,False,,True,True,False,,,False,,False,False,False,False,,False,True,False,False,False,False,True,False
Vermont,58,58.0,59.3,58.0,58.0,59.0,59.0,59.0,58.0,58.9,59.0,60.5,60.9,63.6,58.0,58.0,58.3,59.8,66.5,58.5,60.0,58.0,86.0,58.7,,60.5,58.0,58.0,,,58.0,,61.0,60.3,67.0,58.3,,68.1,59.0,62.7,58.0,60.0,57.9,59.2,,0.0,1.3,0.0,0.0,1.0,1.0,1.0,0.0,0.9,1.0,2.5,2.9,5.6,0.0,0.0,0.3,1.8,8.5,0.5,2.0,0.0,28.0,0.7,,2.5,0.0,0.0,,,0.0,,3.0,2.3,9.0,0.3,,10.1,1.0,4.7,0.0,2.0,-0.1,1.2,,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,,False,True,True,,,True,,False,False,False,False,,False,False,False,True,False,False,False,
