,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,1018,995.3,1006.7,1002.1,996.0,1001.0,1000.0,1026.0,1006.0,1007.7,989.0,996.8,,1017.7,1006.7,,1000.5,999.0,989.0,1006.5,1040.4,1003.0,993.6,993.0,1014.4,998.8,1002.8,1004.0,999.4,1010.3,,991.9,1004.8,977.0,,,968.6,,1014.0,1094.2,1006.0,997.6,,982.0,1005.1,1004.0,996.2,1040.7,1016.0,993.0,983.2,1000.0,-22.7,-11.3,-15.9,-22.0,-17.0,-18.0,8.0,-12.0,-10.3,-29.0,-21.2,,-0.3,-11.3,,-17.5,-19.0,-29.0,-11.5,22.4,-15.0,-24.4,-25.0,-3.6,-19.2,-15.2,-14.0,-18.6,-7.7,,-26.1,-13.2,-41.0,,,-49.4,,-4.0,76.2,-12.0,-20.4,,-36.0,-12.9,-14.0,-21.8,22.7,-2.0,-25.0,-34.8,-18.0,True,True,True,True,True,True,True,True,False,True,,True,True,,True,True,False,True,True,True,False,False,True,True,True,True,True,True,,False,True,False,,,False,,True,False,True,True,,False,True,True,True,True,True,False,False,True
New York,33730,33477.7,33480.9,33489.5,33513.0,33489.0,33499.0,33574.0,33495.0,33656.7,33571.0,33487.0,33470.4,33479.2,33496.8,,33571.4,33458.0,33522.0,33508.9,33520.9,33508.0,33529.6,33493.5,33497.5,33471.0,33490.3,33541.0,33492.4,33501.5,,33489.5,33491.0,33420.0,,33498.0,33521.7,,33505.0,33846.3,33497.0,33483.1,,33491.0,33495.9,33501.0,33537.0,34094.8,33489.0,33524.0,33326.4,33407.0,-32.3,-29.1,-20.5,3.0,-21.0,-11.0,64.0,-15.0,146.7,61.0,-23.0,-39.6,-30.8,-13.2,,61.4,-52.0,12.0,-1.1,10.9,-2.0,19.6,-16.5,-12.5,-39.0,-19.7,31.0,-17.6,-8.5,,-20.5,-19.0,-90.0,,-12.0,11.7,,-5.0,336.3,-13.0,-26.9,,-19.0,-14.1,-9.0,27.0,584.8,-21.0,14.0,-183.6,-103.0,True,True,True,True,True,False,True,False,False,True,False,True,True,,False,False,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,True,True,,True,False,True,True,,True,True,True,True,False,True,True,False,False
North Carolina,4378,4348.1,4408.9,4367.5,4354.0,4359.0,4337.0,4382.0,4348.0,4297.9,4294.0,4347.6,4338.7,4372.5,4343.8,,4221.7,4354.0,4330.0,4350.9,4274.0,4359.0,4277.6,4314.0,4355.1,4304.0,4359.4,4313.0,4364.0,4353.0,,4279.2,4382.1,4324.0,,4284.3,4179.3,,4356.0,3924.0,4331.0,4343.3,,4261.2,4365.9,4321.0,4315.4,4355.1,4374.0,4320.0,4273.1,4376.0,-29.9,30.9,-10.5,-24.0,-19.0,-41.0,4.0,-30.0,-80.1,-84.0,-30.4,-39.3,-5.5,-34.2,,-156.3,-24.0,-48.0,-27.1,-104.0,-19.0,-100.4,-64.0,-22.9,-74.0,-18.6,-65.0,-14.0,-25.0,,-98.8,4.1,-54.0,,-93.7,-198.7,,-22.0,-454.0,-47.0,-34.7,,-116.8,-12.1,-57.0,-62.6,-22.9,-4.0,-58.0,-104.9,-2.0,False,True,True,True,False,True,False,False,False,False,False,True,False,,False,True,False,True,False,True,False,False,True,False,True,False,True,True,,False,True,False,,False,False,,True,False,False,False,,False,True,False,False,True,True,False,False,True
North Dakota,524,500.6,499.2,493.8,510.0,497.0,513.0,490.0,544.0,581.4,514.0,530.6,527.7,542.5,531.8,,557.3,512.0,502.0,520.3,567.7,502.0,463.9,511.5,529.3,507.9,506.0,513.0,508.9,512.1,,526.3,516.0,513.0,,,489.2,,516.0,393.6,508.0,501.4,,524.8,513.1,513.0,511.9,494.1,519.0,517.0,482.8,503.0,-23.4,-24.8,-30.2,-14.0,-27.0,-11.0,-34.0,20.0,57.4,-10.0,6.6,3.7,18.5,7.8,,33.3,-12.0,-22.0,-3.7,43.7,-22.0,-60.1,-12.5,5.3,-16.1,-18.0,-11.0,-15.1,-11.9,,2.3,-8.0,-11.0,,,-34.8,,-8.0,-130.4,-16.0,-22.6,,0.8,-10.9,-11.0,-12.1,-29.9,-5.0,-7.0,-41.2,-21.0,False,False,True,False,True,False,True,False,True,True,True,True,True,,False,True,True,True,False,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,True,,True,True,True,True,False,True,True,False,True
Ohio,5301,5325.1,5413.2,5339.8,5288.0,5345.0,5339.0,5581.0,5304.0,5317.2,5332.0,5323.1,5308.5,5376.9,5403.5,,5426.0,5346.0,5360.0,5293.1,5338.7,5349.0,5349.0,5307.5,5311.3,5284.1,5335.2,5332.0,5365.6,5339.1,5462.0,5297.8,5380.1,5318.0,,5264.9,5158.9,,5344.0,5978.6,5318.0,5327.5,,5206.0,5372.2,5350.0,5331.4,5542.7,5385.0,5391.0,5305.2,,24.1,112.2,38.8,-13.0,44.0,38.0,280.0,3.0,16.2,31.0,22.1,7.5,75.9,102.5,,125.0,45.0,59.0,-7.9,37.7,48.0,48.0,6.5,10.3,-16.9,34.2,31.0,64.6,38.1,161.0,-3.2,79.1,17.0,,-36.1,-142.1,,43.0,677.6,17.0,26.5,,-95.0,71.2,49.0,30.4,241.7,84.0,90.0,4.2,,False,False,True,False,False,False,True,True,False,True,True,False,False,,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,,False,False,,False,False,True,False,,False,False,False,False,False,False,False,True,
Oklahoma,1337,1315.9,1343.4,1326.9,1323.0,1328.0,1319.0,1289.0,1319.0,1296.0,1316.0,1320.5,1319.0,1345.5,1309.2,,1312.9,1323.0,1312.0,1314.8,1305.2,1335.0,1307.8,1315.0,1318.7,1306.2,1329.9,1338.0,1325.8,1332.8,,1297.1,1332.8,1330.0,,,1263.4,,1322.0,1336.5,1318.0,1324.2,,1300.4,1331.5,1312.0,1316.4,1353.4,1328.0,1325.0,1286.3,1327.0,-21.1,6.4,-10.1,-14.0,-9.0,-18.0,-48.0,-18.0,-41.0,-21.0,-16.5,-18.0,8.5,-27.8,,-24.1,-14.0,-25.0,-22.2,-31.8,-2.0,-29.2,-22.0,-18.3,-30.8,-7.1,1.0,-11.2,-4.2,,-39.9,-4.2,-7.0,,,-73.6,,-15.0,-0.5,-19.0,-12.8,,-36.6,-5.5,-25.0,-20.6,16.4,-9.0,-12.0,-50.7,-10.0,True,True,True,True,True,False,True,False,True,True,True,True,False,,False,True,False,False,False,True,False,False,True,False,True,True,True,True,,False,True,True,,,False,,True,True,True,True,,False,True,False,True,True,True,True,False,True
Oregon,689,681.3,686.9,685.8,688.0,687.0,683.0,681.0,677.0,689.7,673.0,677.6,682.0,708.8,683.4,,663.4,680.0,684.0,677.1,672.0,694.0,700.6,681.0,684.6,676.1,677.0,699.0,700.0,683.6,,677.8,683.1,679.0,,,661.2,,686.0,719.5,679.0,685.8,,675.6,705.0,679.0,677.8,694.0,687.0,673.0,669.4,,-7.7,-2.1,-3.2,-1.0,-2.0,-6.0,-8.0,-12.0,0.7,-16.0,-11.4,-7.0,19.8,-5.6,,-25.6,-9.0,-5.0,-11.9,-17.0,5.0,11.6,-8.0,-4.4,-12.9,-12.0,10.0,11.0,-5.4,,-11.2,-5.9,-10.0,,,-27.8,,-3.0,30.5,-10.0,-3.2,,-13.4,16.0,-10.0,-11.2,5.0,-2.0,-16.0,-19.6,,True,True,True,True,True,False,False,True,False,False,True,False,True,,False,False,True,False,False,True,False,False,True,False,False,False,False,True,,False,True,False,,,False,,True,False,False,True,,False,False,False,False,True,True,False,False,
Pennsylvania,8800,8803.0,8845.5,8836.8,8796.0,8830.0,8814.0,8834.0,8844.0,8820.0,8794.0,8856.2,8792.9,8824.2,8854.8,,8826.0,8814.0,8800.0,8822.0,8849.6,8814.0,8782.6,8790.0,8848.8,8769.3,8825.1,8765.0,8838.1,8811.4,,8833.2,8837.1,8743.0,,8774.9,8665.1,,8826.0,8948.9,8812.0,8807.8,,8769.1,8845.2,8794.0,8813.9,9122.0,8839.0,8812.0,8741.8,8808.0,3.0,45.5,36.8,-4.0,30.0,14.0,34.0,44.0,20.0,-6.0,56.2,-7.1,24.2,54.8,,26.0,14.0,0.0,22.0,49.6,14.0,-17.4,-10.0,48.8,-30.7,25.1,-35.0,38.1,11.4,,33.2,37.1,-57.0,,-25.1,-134.9,,26.0,148.9,12.0,7.8,,-30.9,45.2,-6.0,13.9,322.0,39.0,12.0,-58.2,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Rhode Island,1201,1198.4,1209.2,1201.6,1198.0,1202.0,1204.0,1193.0,1214.0,1207.2,1200.0,1226.4,1199.5,1205.6,1197.3,,1190.0,1200.0,1207.0,1202.7,1238.3,1168.0,1197.3,1192.0,1207.3,1192.3,1197.8,1189.0,1202.8,1204.9,,1204.4,1207.0,1204.0,,,1175.6,,1205.0,1276.5,1208.0,1199.1,,1194.9,1208.7,1205.0,1200.2,1224.7,1206.0,1195.0,1156.4,1198.0,-2.6,8.2,0.6,-3.0,1.0,3.0,-8.0,13.0,6.2,-1.0,25.4,-1.5,4.6,-3.7,,-11.0,-1.0,6.0,1.7,37.3,-33.0,-3.7,-9.0,6.3,-8.7,-3.2,-12.0,1.8,3.9,,3.4,6.0,3.0,,,-25.4,,4.0,75.5,7.0,-1.9,,-6.1,7.7,4.0,-0.8,23.7,5.0,-6.0,-44.6,-3.0,False,True,False,True,False,False,False,False,True,False,True,False,False,,False,True,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,False,,,False,,False,False,False,True,,False,False,False,True,False,False,False,False,False
South Carolina,3935,3932.3,3988.9,3956.6,3936.0,3949.0,3907.0,3904.0,3905.0,3837.4,3878.0,3910.4,3903.4,3999.9,3908.9,,3886.5,3946.0,3901.0,3882.9,3847.9,3933.0,3851.3,3910.0,3929.8,3910.2,3930.7,3877.0,3914.3,3926.3,,3881.9,3903.0,3863.0,,3883.1,3802.9,,3926.0,4410.5,3926.0,3941.5,,3867.8,3922.9,3905.0,3942.6,3928.7,3944.0,3912.0,3889.1,3949.0,-2.7,53.9,21.6,1.0,14.0,-28.0,-31.0,-30.0,-97.6,-57.0,-24.6,-31.6,64.9,-26.1,,-48.5,11.0,-34.0,-52.1,-87.1,-2.0,-83.7,-25.0,-5.2,-24.8,-4.3,-58.0,-20.7,-8.7,,-53.1,-32.0,-72.0,,-51.9,-132.1,,-9.0,475.5,-9.0,6.5,,-67.2,-12.1,-30.0,7.6,-6.3,9.0,-23.0,-45.9,14.0,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
South Dakota,425,419.6,422.6,414.6,410.0,417.0,420.0,394.0,426.0,428.3,419.0,428.6,414.6,434.9,420.4,,393.7,392.0,400.0,417.0,413.1,418.0,376.5,407.0,422.2,425.6,420.1,437.0,424.4,426.1,,412.5,425.2,432.0,,,379.1,,424.0,379.1,429.0,419.2,,407.4,430.3,419.0,416.5,420.2,424.0,437.0,391.8,426.0,-5.4,-2.4,-10.4,-15.0,-8.0,-5.0,-31.0,1.0,3.3,-6.0,3.6,-10.4,9.9,-4.6,,-31.3,-33.0,-25.0,-8.0,-11.9,-7.0,-48.5,-18.0,-2.8,0.6,-4.9,12.0,-0.6,1.1,,-12.5,0.2,7.0,,,-45.9,,-1.0,-45.9,4.0,-5.8,,-17.6,5.3,-6.0,-8.5,-4.8,-1.0,12.0,-33.2,1.0,True,False,False,False,True,False,True,True,False,True,False,False,True,,False,False,False,False,False,False,False,False,True,True,True,False,True,True,,False,True,False,,,False,,True,False,True,False,,False,True,False,False,True,True,False,False,True
Tennessee,3353,3321.3,3312.2,3298.7,3257.0,3297.0,3305.0,3307.0,3332.0,3357.1,3264.0,3308.8,3285.6,3279.4,3350.4,,3321.4,3285.0,3276.0,3314.7,3350.2,3280.0,3208.3,3272.5,3334.1,3323.9,3318.3,3249.0,3311.7,3317.4,,3218.2,3325.0,3214.0,,3257.8,3032.7,,3307.0,3240.3,3338.0,3292.4,,3266.6,3316.7,3318.0,3290.3,3233.3,3312.0,3312.5,3199.2,3321.0,-31.7,-40.8,-54.3,-96.0,-56.0,-48.0,-46.0,-21.0,4.1,-89.0,-44.2,-67.4,-73.6,-2.6,,-31.6,-68.0,-77.0,-38.3,-2.8,-73.0,-144.7,-80.5,-18.9,-29.1,-34.7,-104.0,-41.3,-35.6,,-134.8,-28.0,-139.0,,-95.2,-320.3,,-46.0,-112.7,-15.0,-60.6,,-86.4,-36.3,-35.0,-62.7,-119.7,-41.0,-40.5,-153.8,-32.0,False,False,False,False,False,False,True,True,False,False,False,False,True,,True,False,False,False,True,False,False,False,True,True,False,False,False,False,,False,True,False,,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False
Texas,18463,18375.0,18330.7,18394.1,18397.0,18390.0,18390.0,18590.0,18332.0,18465.9,18316.0,18368.6,18400.5,18368.8,18740.8,,17893.4,18488.0,18319.0,18414.1,18498.4,18372.0,18284.2,18015.5,18514.6,18288.0,18425.6,18347.0,18500.9,18414.2,,18357.3,18480.3,18243.0,,18495.2,18100.3,19525.0,18388.0,18871.2,18447.0,18387.1,,18360.8,18509.2,18421.0,18455.4,18487.9,18412.0,18346.0,18359.0,17866.0,-87.0,-131.3,-67.9,-65.0,-72.0,-72.0,128.0,-130.0,3.9,-146.0,-93.4,-61.5,-93.2,278.8,,-568.6,26.0,-143.0,-47.9,36.4,-90.0,-177.8,-446.5,52.6,-174.0,-36.4,-115.0,38.9,-47.8,,-104.7,18.3,-219.0,,33.2,-361.7,1063.0,-74.0,409.2,-15.0,-74.9,,-101.2,47.2,-41.0,-6.6,25.9,-50.0,-116.0,-103.0,-596.0,False,True,True,True,True,False,False,True,False,False,True,False,False,,False,True,False,True,True,False,False,False,True,False,True,False,True,True,,False,True,False,,True,False,False,True,False,True,True,,False,True,True,True,True,True,False,False,False
Utah,604,596.9,599.3,595.0,600.0,596.0,602.0,608.0,607.0,665.4,594.0,602.1,598.3,593.0,491.3,,606.2,591.0,607.0,606.9,496.3,492.0,601.2,598.0,606.4,610.3,611.1,626.0,603.6,610.2,,602.1,600.8,597.0,,,567.8,,604.0,605.7,602.0,596.4,,605.5,608.4,603.0,594.3,621.6,599.0,606.0,469.9,603.0,-7.1,-4.7,-9.0,-4.0,-8.0,-2.0,4.0,3.0,61.4,-10.0,-1.9,-5.7,-11.0,-112.7,,2.2,-13.0,3.0,2.9,-107.7,-112.0,-2.8,-6.0,2.4,6.3,7.1,22.0,-0.4,6.2,,-1.9,-3.2,-7.0,,,-36.2,,0.0,1.7,-2.0,-7.6,,1.5,4.4,-1.0,-9.7,17.6,-5.0,2.0,-134.1,-1.0,True,False,True,False,True,True,True,False,False,True,True,False,False,,True,False,True,True,False,False,True,True,True,True,True,False,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,False,False,True,True,False,True
Vermont,58,58.0,57.9,58.0,58.0,58.0,58.0,59.0,58.0,58.1,59.0,58.5,58.6,58.0,58.5,,58.6,58.0,58.0,58.0,58.1,59.0,59.9,58.0,58.3,59.3,58.0,68.0,58.0,61.5,,58.6,58.0,58.0,,,58.0,,58.0,59.7,61.0,58.0,,58.0,63.7,58.0,58.5,60.3,58.0,59.0,57.9,,0.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.5,0.6,0.0,0.5,,0.6,0.0,0.0,0.0,0.1,1.0,1.9,0.0,0.3,1.3,0.0,10.0,0.0,3.5,,0.6,0.0,0.0,,,0.0,,0.0,1.7,3.0,0.0,,0.0,5.7,0.0,0.5,2.3,0.0,1.0,-0.1,,False,True,True,True,True,False,True,False,False,False,False,True,False,,False,True,True,True,False,False,False,True,False,False,True,False,True,False,,False,True,True,,,True,,True,False,False,True,,False,False,True,False,False,True,False,False,
Virginia,3654,3699.3,3758.1,3717.7,3709.0,3729.0,3676.0,3715.0,3652.0,3622.0,3626.0,3714.9,3665.8,3824.5,3674.4,,3516.4,3730.0,3707.0,3657.0,3645.2,3700.0,3669.9,3682.5,3675.3,3654.2,3687.7,3691.0,3712.3,3680.8,,3635.4,3669.0,3715.0,,3671.8,3585.3,,3704.0,3602.3,3678.0,3711.4,,3603.6,3719.7,3669.0,3701.9,3723.0,3715.0,3663.0,3648.8,3728.0,49.3,108.1,67.7,59.0,79.0,26.0,65.0,2.0,-28.0,-24.0,64.9,15.8,174.5,24.4,,-133.6,80.0,57.0,7.0,-4.8,50.0,19.9,32.5,25.3,4.2,37.7,41.0,62.3,30.8,,-14.6,19.0,65.0,,21.8,-64.7,,54.0,-47.7,28.0,61.4,,-46.4,69.7,19.0,51.9,73.0,65.0,13.0,-1.2,78.0,False,False,False,False,True,False,True,True,True,False,True,False,True,,False,False,False,True,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,False,,False,True,True,False,,True,False,True,False,False,False,True,True,False
Washington,2366,2344.9,2368.2,2354.1,2357.0,2353.0,2354.0,2396.0,2355.0,2349.0,2331.0,2330.6,2343.4,2342.2,2349.9,,2305.1,2341.0,2386.0,2367.3,2368.8,2351.0,2362.6,2346.0,2358.1,2340.9,2339.5,2359.0,2356.2,2355.6,,2322.2,2355.4,2356.0,,2349.3,2321.7,,2361.0,2366.2,2345.0,2351.7,,2345.8,2354.9,2346.0,2354.5,2394.8,2351.0,2371.0,2330.3,2393.0,-21.1,2.2,-11.9,-9.0,-13.0,-12.0,30.0,-11.0,-17.0,-35.0,-35.4,-22.6,-23.8,-16.1,,-60.9,-25.0,20.0,1.3,2.8,-15.0,-3.4,-20.0,-7.9,-25.1,-26.5,-7.0,-9.8,-10.4,,-43.8,-10.6,-10.0,,-16.7,-44.3,,-5.0,0.2,-21.0,-14.3,,-20.2,-11.1,-20.0,-11.5,28.8,-15.0,5.0,-35.7,27.0,True,True,True,True,True,False,True,True,False,False,False,False,True,,False,False,True,True,True,True,True,True,True,False,False,True,True,True,,False,True,True,,True,False,,True,True,True,True,,True,True,True,True,False,True,True,False,False
West Virginia,459,444.7,456.5,447.3,449.0,447.0,447.0,449.0,447.0,442.1,449.0,460.4,442.1,449.6,448.7,,443.1,444.0,462.0,442.4,456.3,453.0,456.3,445.0,449.2,441.6,442.7,467.0,449.4,,,441.6,449.9,446.0,,,420.8,,451.0,504.2,444.0,446.4,,435.7,454.7,441.0,442.8,455.0,449.0,441.0,439.8,,-14.3,-2.5,-11.7,-10.0,-12.0,-12.0,-10.0,-12.0,-16.9,-10.0,1.4,-16.9,-9.4,-10.3,,-15.9,-15.0,3.0,-16.6,-2.7,-6.0,-2.7,-14.0,-9.8,-17.4,-16.3,8.0,-9.6,,,-17.4,-9.1,-13.0,,,-38.2,,-8.0,45.2,-15.0,-12.6,,-23.3,-4.3,-18.0,-16.2,-4.0,-10.0,-18.0,-19.2,,True,True,True,True,True,True,True,False,True,True,False,True,True,,False,False,True,False,True,True,True,True,True,False,False,True,True,,,False,True,True,,,False,,True,False,False,True,,False,True,False,False,True,True,False,False,
Wisconsin,2339,1952.9,2010.8,1966.9,1871.0,1966.0,1959.0,1989.0,1937.0,1943.1,1874.0,1915.7,,2036.3,1928.5,,1844.0,1908.0,1928.0,1949.9,1921.8,1982.0,1898.8,1932.5,1982.8,1911.5,1956.5,1914.0,1970.4,,1884.0,1897.2,2013.4,1982.0,,1875.0,1761.8,,1961.0,1853.3,1964.0,1947.8,,1899.7,1978.0,1920.0,1968.7,2039.5,1947.0,1973.0,1828.8,1985.0,-83.1,-25.2,-69.1,-165.0,-70.0,-77.0,-47.0,-99.0,-92.9,-162.0,-120.3,,0.3,-107.5,,-192.0,-128.0,-108.0,-86.1,-114.2,-54.0,-137.2,-103.5,-53.2,-124.5,-79.5,-122.0,-65.6,,-152.0,-138.8,-22.6,-54.0,,-161.0,-274.2,,-75.0,-182.7,-72.0,-88.2,,-136.3,-58.0,-116.0,-67.3,3.5,-89.0,-63.0,-207.2,-51.0,True,True,False,True,True,True,False,False,False,False,,True,False,,False,False,False,False,False,True,False,False,True,False,True,False,True,,False,False,True,True,,False,False,,True,False,True,False,,False,True,False,True,True,False,True,False,True
Wyoming,87,77.4,87.6,79.3,73.0,79.0,75.0,78.0,75.0,69.0,73.0,75.0,72.6,75.2,76.0,,62.6,68.0,73.0,73.3,69.3,87.0,75.6,74.0,76.1,74.8,73.8,89.0,80.9,,,73.2,82.2,73.0,,,59.2,,77.0,84.4,79.0,70.1,,69.2,86.5,75.0,70.2,79.1,78.0,72.0,71.1,78.0,-9.6,0.6,-7.7,-14.0,-8.0,-12.0,-9.0,-12.0,-18.0,-14.0,-12.0,-14.4,-11.8,-11.0,,-24.4,-19.0,-14.0,-13.7,-17.7,0.0,-11.4,-13.0,-10.9,-12.2,-13.2,2.0,-6.1,,,-13.8,-4.8,-14.0,,,-27.8,,-10.0,-2.6,-8.0,-16.9,,-17.8,-0.5,-12.0,-16.8,-7.9,-9.0,-15.0,-15.9,-9.0,True,True,False,True,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,True,,,False,True,False,,,False,,False,True,True,False,,False,True,False,False,True,True,False,False,True
US,231127,229990.4,231014.4,230433.2,,230492.0,230463.0,230610.0,231323.0,230735.1,229352.0,230371.4,231074.5,231118.3,,235529.0,228168.5,230280.0,229816.0,230649.7,230489.4,228055.0,228871.5,,231043.0,229147.9,231130.1,230061.0,230719.1,230443.4,,229119.6,231009.5,229229.5,230430.8,229901.1,229379.5,229320.0,231254.0,236667.7,230633.0,230231.8,231328.0,,230997.4,230451.0,230721.4,232829.9,231034.5,229907.0,228923.2,230039.0,-583.6,440.4,-140.8,,-82.0,-111.0,36.0,749.0,161.1,-1222.0,-202.6,500.5,544.3,,4955.0,-2405.5,-294.0,-758.0,75.7,-84.6,-2519.0,-1702.5,,469.0,-1426.1,556.1,-513.0,145.1,-130.6,,-1454.4,435.5,-1344.5,-143.2,-672.9,-1194.5,-1254.0,680.0,6093.7,59.0,-342.2,754.0,,423.4,-123.0,147.4,2255.9,460.5,-667.0,-1650.8,-535.0,True,True,,True,True,True,False,True,False,True,True,True,,False,False,True,False,True,True,False,False,,True,False,True,True,True,True,,False,True,False,True,False,False,False,False,False,True,True,False,,True,True,True,False,True,False,False,True
