,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
New Jersey,16350,16319.0,16590.0,16318.0,16073.0,,16530.0,16327.7,16543.5,16178.3,16696.9,,16117.2,,16228.7,17160.2,16420.0,16375.8,16228.0,-31.0,240.0,-32.0,-277.0,,180.0,-22.3,193.5,-171.7,346.9,,-232.8,,-121.3,810.2,70.0,25.8,-122.0,False,False,False,,False,True,False,False,False,,False,,False,False,False,True,False
New Mexico,1018,960.1,1021.0,944.6,897.0,,1079.0,919.9,909.8,899.3,1289.7,,874.1,,915.9,961.0,900.0,925.4,943.3,-57.9,3.0,-73.4,-121.0,,61.0,-98.1,-108.2,-118.7,271.7,,-143.9,,-102.1,-57.0,-118.0,-92.6,-74.7,True,False,False,,False,False,False,False,False,,False,,False,True,False,False,False
New York,33730,33269.9,34012.0,33441.9,33027.0,,33679.0,33521.4,34165.0,33204.9,35153.2,,34162.1,,33250.7,35743.0,33423.0,33210.0,33311.9,-460.1,282.0,-288.1,-703.0,,-51.0,-208.6,435.0,-525.1,1423.2,,432.1,,-479.3,2013.0,-307.0,-520.0,-418.1,True,True,False,,True,True,True,False,False,,True,,False,False,True,False,True
North Carolina,4378,4162.9,5299.0,4166.0,3995.0,,4576.0,3922.6,3698.1,3687.2,4190.7,,3471.7,,3906.7,3892.0,3834.0,3583.6,4009.8,-215.1,921.0,-212.0,-383.0,,198.0,-455.4,-679.9,-690.8,-187.3,,-906.3,,-471.3,-486.0,-544.0,-794.4,-368.2,False,True,False,,True,False,False,False,True,,False,,False,False,False,False,False
North Dakota,524,250.3,359.0,340.5,170.0,,297.0,305.1,257.1,247.1,264.3,,198.5,,196.8,384.4,246.0,198.6,244.0,-273.7,-165.0,-183.5,-354.0,,-227.0,-218.9,-266.9,-276.9,-259.7,,-325.5,,-327.2,-139.6,-278.0,-325.4,-280.0,True,True,False,,True,True,True,False,True,,False,,False,True,False,False,False
Ohio,5271,5484.7,6180.0,5289.9,5269.0,,5955.0,5453.5,5390.1,4936.9,5849.5,,4770.6,,5279.9,6102.1,5210.0,4975.0,5358.2,-69.3,626.0,-264.1,-285.0,,401.0,-100.5,-163.9,-617.1,295.5,,-783.4,,-274.1,548.1,-344.0,-579.0,-195.8,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False
Oklahoma,1337,1261.6,1990.0,1289.8,1250.0,,1481.0,1391.3,1309.7,1123.5,1540.6,,1021.1,,1215.5,1452.3,1251.0,1078.7,1241.7,-75.4,653.0,-47.2,-87.0,,144.0,54.3,-27.3,-213.5,203.6,,-315.9,,-121.5,115.3,-86.0,-258.3,-95.3,False,True,False,,False,True,True,False,False,,False,,False,False,False,False,False
Oregon,689,701.0,630.0,636.4,633.0,,735.0,654.7,623.9,608.6,831.4,,593.6,,669.2,675.6,641.0,601.8,657.4,12.0,-59.0,-52.6,-56.0,,46.0,-34.3,-65.1,-80.4,142.4,,-95.4,,-19.8,-13.4,-48.0,-87.2,-31.6,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False
Pennsylvania,8800,8370.7,9423.0,8512.2,8044.0,,8442.0,8687.8,8851.0,8067.8,8419.5,,8032.1,,8177.9,9488.0,8552.0,8114.5,8315.8,-429.3,623.0,-287.8,-756.0,,-358.0,-112.2,51.0,-732.2,-380.5,,-767.9,,-622.1,688.0,-248.0,-685.5,-484.2,False,True,False,,True,True,True,False,True,,False,,False,False,True,False,False
Rhode Island,1216,1180.7,1156.0,1146.9,1074.0,,1119.0,1137.9,1155.5,1093.3,1609.7,,1116.8,,1132.9,1243.7,1155.0,0.0,1130.6,-10.3,-35.0,-44.1,-117.0,,-72.0,-53.1,-35.5,-97.7,418.7,,-74.2,,-58.1,52.7,-36.0,-1191.0,-60.4,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False
