,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Massachusetts,9991,9872.6,9793.1,9805.5,9799.0,9836.4,9880.0,10021.0,10183.0,10026.9,9994.0,9841.5,9873.8,9970.1,,9791.0,9970.8,10044.5,9873.1,10022.6,9855.4,9880.7,9775.0,9872.4,9942.4,,9857.2,9906.6,9830.5,,9871.6,9678.9,,9980.0,10351.5,9880.0,9759.8,,9875.8,9880.0,9889.4,10381.8,9930.0,9877.0,9750.0,9771.0,-118.4,-197.9,-185.5,-192.0,-154.6,-111.0,30.0,192.0,35.9,3.0,-149.5,-117.2,-20.9,,-200.0,-20.2,53.5,-117.9,31.6,-135.6,-110.3,-216.0,-118.6,-48.6,,-133.8,-84.4,-160.5,,-119.4,-312.1,,-11.0,360.5,-111.0,-231.2,,-115.2,-111.0,-101.6,390.8,-61.0,-114.0,-241.0,-220.0,False,False,False,False,True,True,False,True,True,False,True,True,,False,True,True,True,True,False,True,False,False,True,,False,True,False,,False,False,,True,False,True,False,,True,True,True,False,True,True,False,False
Michigan,7699,7490.4,7635.9,7488.9,7510.0,7506.2,7510.0,7679.0,7514.3,7374.0,7433.0,7409.1,7544.9,7425.8,,7425.0,7592.5,7713.2,7605.5,7543.5,7355.6,7526.0,7513.0,7587.6,7466.4,8118.0,7336.7,7598.3,7377.0,,7315.8,7379.3,,7513.0,8041.4,7402.0,7425.7,,7596.2,7576.0,7496.8,8465.0,7570.0,7393.5,7229.4,7462.0,-208.6,-63.1,-210.1,-189.0,-192.8,-189.0,-20.0,-184.7,-325.0,-266.0,-289.9,-154.1,-273.2,,-274.0,-106.5,14.2,-93.5,-155.5,-343.4,-173.0,-186.0,-111.4,-232.6,419.0,-362.3,-100.7,-322.0,,-383.2,-319.7,,-186.0,342.4,-297.0,-273.3,,-102.8,-123.0,-202.2,766.0,-129.0,-305.5,-469.6,-237.0,True,False,True,True,True,True,True,False,False,False,True,False,,False,True,True,True,True,False,True,True,True,False,False,False,True,False,,False,False,,True,False,False,False,,True,True,True,False,True,False,False,False
Minnesota,2511,2368.3,2427.9,2368.1,2403.0,2357.8,2401.0,2368.0,2465.5,2383.4,2514.0,2329.6,2409.4,2458.1,,2393.0,2395.4,2465.8,2383.7,2419.1,2374.2,2432.9,2441.0,2374.7,2420.2,2499.0,3162.6,2404.6,2301.5,,2364.7,2324.4,,2402.0,2737.6,2449.0,2367.4,,2385.7,2425.0,2369.3,2766.7,2430.0,2462.5,2243.8,2400.0,-142.7,-83.1,-142.9,-108.0,-153.2,-110.0,-143.0,-45.5,-127.6,3.0,-181.4,-101.6,-52.9,,-118.0,-115.6,-45.2,-127.3,-91.9,-136.8,-78.1,-70.0,-136.3,-90.8,-12.0,651.6,-106.4,-209.5,,-146.3,-186.6,,-109.0,226.6,-62.0,-143.6,,-125.3,-86.0,-141.7,255.7,-81.0,-48.5,-267.2,-111.0,True,False,True,False,True,False,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,False,False,,True,False,True,False,,True,True,True,False,True,True,False,True
Mississippi,3334,3352.4,3361.2,3342.0,3331.0,3351.2,3353.0,3353.0,3429.3,3332.9,3274.0,3358.8,3388.5,3324.7,,3418.0,3464.1,3406.6,3231.6,3406.3,3311.6,3305.1,3310.0,3377.6,3381.8,,3260.4,3411.0,3250.0,,3375.8,3252.1,,3378.0,3020.6,3394.0,3354.4,,3385.7,3377.0,3400.4,3440.1,3413.0,3260.0,3314.5,3316.0,18.4,27.2,8.0,-3.0,17.2,19.0,19.0,95.3,-1.1,-60.0,24.8,54.5,-9.3,,84.0,130.1,72.6,-102.4,72.3,-22.4,-28.9,-24.0,43.6,47.8,,-73.6,77.0,-84.0,,41.8,-81.9,,44.0,-313.4,60.0,20.4,,51.7,43.0,66.4,106.1,79.0,-74.0,-19.5,-18.0,False,True,True,True,False,False,False,True,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True
Missouri,3055,3104.0,3529.2,3153.4,2906.0,3165.1,2966.0,2849.0,2936.3,2746.6,2779.0,2859.6,3143.3,2747.2,,2711.0,2997.2,2627.7,2787.6,3067.4,2826.5,2950.9,2859.0,3123.1,2926.8,,2876.3,3444.2,3064.0,,2614.5,2784.5,,2960.0,2946.4,3036.0,2613.8,,3184.6,2786.0,3110.2,2966.0,3248.0,3045.0,2448.2,2966.0,62.0,487.2,111.4,-136.0,123.1,-76.0,-193.0,-105.7,-295.4,-263.0,-182.4,101.3,-294.8,,-331.0,-44.8,-414.3,-254.4,25.4,-215.5,-91.1,-183.0,81.1,-115.2,,-165.7,402.2,22.0,,-427.5,-257.5,,-82.0,-95.6,-6.0,-428.2,,142.6,-256.0,68.2,-76.0,206.0,3.0,-593.8,-76.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,True,False,False,False,False,False,,False,False,True,,False,False,,False,False,True,False,,False,False,False,False,False,True,False,False
Montana,375,275.7,317.9,277.8,285.0,278.0,294.0,310.0,345.7,289.7,276.0,282.1,303.6,339.8,,267.0,306.1,342.6,266.0,331.4,283.2,286.0,342.0,315.7,319.2,,260.6,315.9,277.0,,,222.1,,309.0,411.3,330.0,269.3,,325.3,369.0,261.2,328.5,313.0,251.0,238.6,273.0,-99.3,-57.1,-97.2,-90.0,-97.0,-81.0,-65.0,-29.3,-85.3,-99.0,-92.9,-71.4,-35.2,,-108.0,-68.9,-32.4,-109.0,-43.6,-91.8,-89.0,-33.0,-59.3,-55.8,,-114.4,-59.1,-98.0,,,-152.9,,-66.0,36.3,-45.0,-105.7,,-49.7,-6.0,-113.8,-46.5,-62.0,-124.0,-136.4,-102.0,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,False,True,True,True,True,True,True,,False,True,True,,,False,,True,True,True,False,,True,True,False,True,True,False,False,False
Nebraska,652,570.4,576.4,580.7,601.0,585.0,601.0,656.0,607.4,599.0,621.0,601.1,623.0,609.4,,603.0,593.9,599.6,608.6,635.7,593.2,601.2,724.0,585.9,609.4,,593.3,606.5,602.0,,,552.2,,617.0,605.1,630.0,568.7,,597.7,616.0,578.3,648.2,612.0,593.0,553.2,604.0,-81.6,-75.6,-71.3,-51.0,-67.0,-51.0,4.0,-44.6,-53.0,-31.0,-50.9,-29.0,-42.6,,-49.0,-58.1,-52.4,-43.4,-16.3,-58.8,-50.8,72.0,-66.1,-42.6,,-58.7,-45.5,-50.0,,,-99.8,,-35.0,-46.9,-22.0,-83.3,,-54.3,-36.0,-73.7,-3.8,-40.0,-59.0,-98.8,-48.0,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,True,True,True,False,True
Nevada,1777,1769.6,1794.5,1792.9,1777.0,1776.0,1802.0,1839.0,1891.7,1802.4,1770.0,1785.1,1766.4,1825.8,,1752.0,1814.3,1819.0,1754.3,1860.1,1771.6,1759.9,1787.0,1852.0,1822.9,,1812.1,1808.8,1736.5,,1793.7,1724.0,,1812.0,1960.8,1793.0,1823.0,,1859.3,1807.0,1774.7,1850.3,1831.0,1744.0,1779.7,1785.0,-7.4,17.5,15.9,0.0,-1.0,25.0,62.0,114.7,25.4,-7.0,8.1,-10.6,48.8,,-25.0,37.3,42.0,-22.7,83.1,-5.4,-17.1,10.0,75.0,45.9,,35.1,31.8,-40.5,,16.7,-53.0,,35.0,183.8,16.0,46.0,,82.3,30.0,-2.3,73.3,54.0,-33.0,2.7,8.0,False,False,True,True,False,False,False,False,True,False,False,False,,False,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,True,False,False,False,True,False
New Hampshire,483,493.1,528.8,495.2,489.0,494.0,484.0,494.0,486.1,452.0,482.0,479.9,486.2,472.6,,463.0,471.2,484.0,478.4,487.4,472.5,472.9,483.0,466.5,480.0,,478.8,516.5,465.0,,,561.1,,484.0,493.2,483.0,484.3,,480.6,514.0,490.6,529.3,496.0,505.0,463.4,502.0,10.1,45.8,12.2,6.0,11.0,1.0,11.0,3.1,-31.0,-1.0,-3.1,3.2,-10.4,,-20.0,-11.8,1.0,-4.6,4.4,-10.5,-10.1,0.0,-16.5,-3.0,,-4.2,33.5,-18.0,,,78.1,,1.0,10.2,0.0,1.3,,-2.4,31.0,7.6,46.3,13.0,22.0,-19.6,19.0,False,False,True,False,True,False,True,False,True,True,True,False,,False,False,True,True,True,False,True,True,False,True,,True,False,False,,,False,,True,False,True,True,,True,False,True,False,False,False,False,False
New Jersey,16350,16282.6,16338.2,16277.8,16304.0,16336.5,16320.0,16637.0,16315.2,16353.3,16346.0,16316.4,16318.0,16479.7,,16305.5,16345.4,16502.7,16332.4,16342.8,16306.4,16312.6,16323.0,16302.1,16313.3,,16321.6,16319.3,16180.0,,16245.0,16205.5,,16320.0,18507.9,16326.0,16262.9,,16310.1,16320.0,16850.9,17258.4,16300.0,16453.0,16288.0,16491.0,-67.4,-11.8,-72.2,-46.0,-13.5,-30.0,287.0,-34.8,3.3,-4.0,-33.6,-32.0,129.7,,-44.5,-4.6,152.7,-17.6,-7.2,-43.6,-37.4,-27.0,-47.9,-36.7,,-28.4,-30.7,-170.0,,-105.0,-144.5,,-30.0,2157.9,-24.0,-87.1,,-39.9,-30.0,500.9,908.4,-50.0,103.0,-62.0,141.0,True,False,True,True,True,False,True,True,True,True,True,False,,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,False,,True,False,True,False,,True,True,False,False,True,False,True,False
New Mexico,1018,965.3,948.9,959.1,961.0,958.0,977.0,1035.0,1072.5,999.8,957.0,967.1,997.1,990.5,,970.0,1040.2,1070.4,986.4,1028.5,996.4,971.5,991.0,972.1,1008.2,,974.0,976.7,977.0,,,944.7,,999.0,1136.0,1039.0,950.9,,983.2,1018.0,985.6,1066.5,1014.0,955.0,958.3,977.0,-52.7,-69.1,-58.9,-57.0,-60.0,-41.0,17.0,54.5,-18.2,-61.0,-50.9,-20.9,-27.5,,-48.0,22.2,52.4,-31.6,10.5,-21.6,-46.5,-27.0,-45.9,-9.8,,-44.0,-41.3,-41.0,,,-73.3,,-19.0,118.0,21.0,-67.1,,-34.8,0.0,-32.4,48.5,-4.0,-63.0,-59.7,-41.0,False,False,False,False,True,True,False,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,True,True,True,True,True,False,False,True
New York,33730,33548.3,33960.7,33578.4,33516.0,33626.7,33583.0,33741.0,33708.9,33547.4,33560.0,33465.0,33432.3,33671.6,,33477.0,33648.2,33854.4,33635.4,33696.2,33420.4,33588.7,33586.0,33768.2,33490.5,,33495.3,33660.4,33303.0,,33450.9,33351.1,,33509.0,33796.6,33458.0,33402.0,,33783.9,33608.0,33732.3,35117.0,33710.0,33519.0,33272.0,33472.0,-6.7,405.7,23.4,-39.0,71.7,28.0,186.0,153.9,-7.6,5.0,-90.0,-122.7,116.6,,-78.0,93.2,299.4,80.4,141.2,-134.6,33.7,31.0,213.2,-64.5,,-59.7,105.4,-252.0,,-104.1,-203.9,,-46.0,241.6,-97.0,-153.0,,228.9,53.0,177.3,1562.0,155.0,-36.0,-283.0,-83.0,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
North Carolina,4378,4158.6,4093.1,4190.2,4186.0,4173.2,4268.0,4600.0,4604.8,4248.3,4157.0,4262.1,4246.5,4302.1,,4284.0,4467.6,4495.8,4314.5,4406.0,4159.5,4183.7,4205.0,4379.5,4283.8,,4046.7,4303.1,4273.0,,4279.2,4045.0,,4304.0,3579.4,4262.0,4153.7,,4369.2,4295.0,4243.3,4302.1,4369.0,4100.0,4079.1,4200.0,-219.4,-284.9,-187.8,-192.0,-204.8,-110.0,222.0,226.8,-129.7,-221.0,-115.9,-131.5,-75.9,,-94.0,89.6,117.8,-63.5,28.0,-218.5,-194.3,-173.0,1.5,-94.2,,-331.3,-74.9,-105.0,,-98.8,-333.0,,-74.0,-798.6,-116.0,-224.3,,-8.8,-83.0,-134.7,-75.9,-9.0,-278.0,-298.9,-178.0,False,True,True,True,True,False,False,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,,False,True,True,,True,False,,True,False,True,False,,True,True,True,True,True,False,False,True
North Dakota,524,517.0,633.5,528.6,480.0,531.0,512.0,423.0,539.7,478.6,433.0,455.8,602.7,512.5,,438.0,520.5,447.8,407.2,564.7,508.4,504.7,480.0,603.8,508.1,,524.8,605.2,512.0,,,450.0,,456.0,307.8,481.0,381.0,,620.4,554.0,711.1,456.6,556.0,567.0,390.2,590.0,-7.0,109.5,4.6,-44.0,7.0,-12.0,-101.0,15.7,-45.4,-91.0,-68.2,78.7,-11.5,,-86.0,-3.5,-76.2,-116.8,40.7,-15.6,-19.3,-44.0,79.8,-15.9,,0.8,81.2,-12.0,,,-74.0,,-68.0,-216.2,-43.0,-143.0,,96.4,30.0,187.1,-67.4,32.0,43.0,-133.8,66.0,False,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,,True,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Ohio,5271,5210.4,5228.2,5297.2,5252.0,5216.9,5407.0,5702.0,5568.4,5382.6,5376.0,5308.4,5351.5,5497.0,,5400.0,5337.9,5638.4,5470.8,5512.9,5319.9,5297.5,5360.0,5504.5,5417.9,5635.5,5247.5,5394.8,5469.0,,5387.9,5175.0,,5426.0,5999.6,5432.0,5255.8,,5485.8,5458.0,5432.5,5830.5,5306.0,5282.0,5288.7,5302.0,-428.6,-410.8,-341.8,-387.0,-422.1,-232.0,63.0,-70.6,-256.4,-263.0,-330.6,-287.5,-142.0,,-239.0,-301.1,-0.6,-168.2,-126.1,-319.1,-341.5,-279.0,-134.5,-221.1,-3.5,-391.5,-244.2,-170.0,,-251.1,-464.0,,-213.0,360.6,-207.0,-383.2,,-153.2,-181.0,-206.5,191.5,-333.0,-357.0,-350.3,-337.0,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,True,True,,True,True,True,True,True,True,True,True
Oklahoma,1337,1232.3,1228.8,1235.2,1249.0,1226.9,1244.0,1240.0,1222.7,1244.8,1297.0,1242.5,1252.7,1290.9,,1299.0,1273.7,1255.8,1299.2,1286.2,1202.7,1255.7,1331.0,1294.4,1288.5,,1218.0,1247.0,1213.5,,,1156.4,,1250.0,1835.6,1231.0,1242.3,,1297.9,1286.0,1218.2,1419.8,1233.0,1197.0,1188.7,1223.0,-104.7,-108.2,-101.8,-88.0,-110.1,-93.0,-97.0,-114.3,-92.2,-40.0,-94.5,-84.3,-46.1,,-38.0,-63.3,-81.2,-37.8,-50.8,-134.3,-81.3,-6.0,-42.6,-48.5,,-119.0,-90.0,-123.5,,,-180.6,,-87.0,498.6,-106.0,-94.7,,-39.1,-51.0,-118.8,82.8,-104.0,-140.0,-148.3,-114.0,False,True,True,False,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,,False,True,False,,,False,,True,False,False,True,,True,True,False,True,True,False,False,False
Oregon,689,676.1,749.7,683.6,680.0,683.0,684.0,685.0,716.4,651.9,656.0,675.3,676.4,683.0,,670.0,681.7,699.9,759.5,700.0,665.6,671.1,718.0,689.7,691.7,,682.9,703.6,631.0,,,632.0,,689.0,713.6,697.0,682.6,,697.5,685.0,667.5,709.9,706.0,640.0,644.6,677.0,-12.9,60.7,-5.4,-9.0,-6.0,-5.0,-4.0,27.4,-37.1,-33.0,-13.7,-12.6,-6.0,,-19.0,-7.3,10.9,70.5,11.0,-23.4,-17.9,29.0,0.7,2.7,,-6.1,14.6,-58.0,,,-57.0,,0.0,24.6,8.0,-6.4,,8.5,-4.0,-21.5,20.9,17.0,-49.0,-44.4,-12.0,False,True,True,True,True,True,False,False,False,False,True,True,,False,True,True,False,True,False,False,False,True,True,,True,False,False,,,False,,True,False,True,True,,True,True,False,False,False,False,False,True
Pennsylvania,8800,8715.7,8859.5,8749.4,8739.0,8756.8,8749.0,8926.0,8811.2,8643.8,8581.0,8731.1,8634.1,8756.1,,8624.0,8813.9,8860.2,8724.9,8930.7,8629.5,8736.1,8657.0,8731.5,8686.9,,8895.5,8891.4,8483.0,,8588.7,8537.0,,8765.0,8391.1,8788.0,8642.5,,8749.1,8758.0,8769.8,9521.8,8829.0,8704.5,8505.4,8724.0,-84.3,59.5,-50.6,-61.0,-43.2,-51.0,126.0,11.2,-156.2,-219.0,-68.9,-165.9,-43.9,,-176.0,13.9,60.2,-75.1,130.7,-170.5,-63.9,-143.0,-68.5,-113.1,,95.5,91.4,-317.0,,-211.3,-263.0,,-35.0,-408.9,-12.0,-157.5,,-50.9,-42.0,-30.2,721.8,29.0,-95.5,-294.6,-76.0,True,True,True,True,True,False,True,False,False,True,False,True,,False,True,True,True,False,False,True,False,True,False,,False,False,False,,False,False,,True,False,True,False,,True,True,True,False,True,False,False,True
Rhode Island,1216,1164.3,1146.7,1169.5,1165.0,1167.0,1171.0,1175.0,1196.6,1169.3,1160.0,1171.2,1172.9,1192.2,,1166.0,1173.4,1208.4,1194.0,1180.2,1164.5,1155.9,1152.0,1144.3,1177.2,,1175.7,1187.0,1180.0,,,1140.5,,1172.0,1401.9,1154.0,1145.3,,1155.0,1188.0,1172.2,1229.1,1174.0,1156.0,0.0,1168.0,-27.7,-45.3,-22.5,-27.0,-25.0,-21.0,-17.0,4.6,-22.7,-32.0,-20.8,-19.1,0.2,,-26.0,-18.6,16.4,2.0,-11.8,-27.5,-36.1,-40.0,-47.7,-14.8,,-16.3,-5.0,-12.0,,,-51.5,,-20.0,209.9,-38.0,-46.7,,-37.0,-4.0,-19.8,37.1,-18.0,-36.0,-1192.0,-24.0,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,False,False,False,True,,True,True,True,,,False,,True,False,False,False,,False,True,True,False,True,False,False,True
South Carolina,3935,3834.9,3935.9,3876.9,3861.0,3878.3,3844.0,3911.0,3799.7,3750.5,3829.0,3939.8,3912.3,3894.4,,3874.0,3914.0,3807.5,3757.3,3950.3,3778.3,3785.4,3800.0,3821.5,3923.4,,3787.9,3842.6,3773.0,,3905.5,3748.2,,3884.0,4561.7,3820.0,3879.2,,3829.9,3844.0,3926.8,3986.6,3866.0,3744.0,3807.3,3785.0,-100.1,0.9,-58.1,-74.0,-56.7,-91.0,-24.0,-135.3,-184.5,-106.0,4.8,-22.7,-40.6,,-61.0,-21.0,-127.5,-177.7,15.3,-156.7,-149.6,-135.0,-113.5,-11.6,,-147.1,-92.4,-162.0,,-29.5,-186.8,,-51.0,626.7,-115.0,-55.8,,-105.1,-91.0,-8.2,51.6,-69.0,-191.0,-127.7,-150.0,True,True,True,True,True,True,False,False,False,True,True,True,,True,True,False,False,True,False,False,False,False,True,,False,True,False,,True,False,,True,False,False,True,,False,True,True,True,True,False,False,False
South Dakota,425,394.6,514.1,401.5,402.0,400.0,404.0,338.0,468.9,373.1,368.0,387.9,,413.9,,354.0,421.2,420.0,353.7,422.5,397.7,387.6,436.0,426.5,394.9,,360.5,453.0,406.0,,,321.3,,406.0,334.2,450.0,295.0,,441.7,414.0,345.4,417.7,455.0,402.0,318.0,402.0,-30.4,89.1,-23.5,-23.0,-25.0,-21.0,-87.0,43.9,-51.9,-57.0,-37.1,,-11.1,,-71.0,-3.8,-5.0,-71.3,-2.5,-27.3,-37.4,11.0,1.5,-30.1,,-64.5,28.0,-19.0,,,-103.7,,-19.0,-90.8,25.0,-130.0,,16.7,-11.0,-79.6,-7.3,30.0,-23.0,-107.0,-23.0,False,True,True,True,True,False,False,False,False,False,,True,,False,True,True,False,True,True,False,True,True,True,,False,True,True,,,False,,True,False,True,False,,True,True,False,True,True,True,False,True
Tennessee,3353,3309.9,3616.3,3352.3,3318.0,3351.9,3312.0,3357.0,3369.5,3118.7,3154.0,3424.7,3278.8,3227.6,,3265.0,3294.5,3389.6,3142.1,3228.9,3258.9,3353.2,3170.0,3469.7,3302.4,,3041.3,3441.6,3230.0,,3334.4,3068.2,,3344.0,3445.0,3391.0,3312.9,,3487.6,3297.0,3338.1,3104.0,3428.0,3290.0,3018.5,3329.0,-43.1,263.3,-0.7,-35.0,-1.1,-41.0,4.0,16.5,-234.3,-199.0,71.7,-74.2,-125.4,,-88.0,-58.5,36.6,-210.9,-124.1,-94.1,0.2,-183.0,116.7,-50.6,,-311.7,88.6,-123.0,,-18.6,-284.8,,-9.0,92.0,38.0,-40.1,,134.6,-56.0,-14.9,-249.0,75.0,-63.0,-334.5,-24.0,False,True,True,True,True,True,True,False,False,False,False,False,,False,False,True,False,False,False,True,False,False,False,,False,False,False,,True,False,,True,False,True,True,,False,False,True,False,False,False,False,True
Texas,18788,18831.0,19265.1,18858.6,18711.0,18885.7,18586.0,18771.0,18727.1,18554.9,18149.0,19168.6,18672.7,18550.8,,18548.0,18612.5,18239.1,18262.1,18862.4,17986.3,18717.1,18368.0,19022.9,18603.7,,18139.5,19050.7,18168.0,,19057.6,18381.2,18688.0,18490.0,22183.5,18128.0,18698.0,,19037.0,18406.0,19012.0,18900.0,18824.0,18310.5,18238.9,18241.0,311.0,745.1,338.6,191.0,365.7,66.0,251.0,207.1,34.9,-371.0,648.6,152.7,30.8,,28.0,92.5,-280.9,-257.9,342.4,-533.7,197.1,-152.0,502.9,83.7,,-380.5,530.7,-352.0,,537.6,-138.8,168.0,-30.0,3663.5,-392.0,178.0,,517.0,-114.0,492.0,380.0,304.0,-209.5,-281.1,-279.0,False,False,True,False,True,True,True,True,False,False,True,True,,True,True,True,True,False,False,True,True,False,True,,False,False,False,,False,True,True,True,False,False,True,,False,True,False,False,True,True,True,True
Utah,604,628.4,671.7,621.0,638.0,612.0,621.0,627.0,624.2,594.5,573.0,603.5,621.6,495.7,,595.0,580.0,514.6,616.8,631.7,601.3,662.0,614.0,613.0,658.1,,609.8,625.9,542.0,,,557.6,,609.0,526.6,654.0,600.5,,626.4,629.0,590.2,663.6,636.0,643.0,450.9,612.0,24.4,67.7,17.0,34.0,8.0,17.0,23.0,20.2,-9.5,-31.0,-0.5,17.6,-108.3,,-9.0,-24.0,-89.4,12.8,27.7,-2.7,58.0,10.0,9.0,54.1,,5.8,21.9,-62.0,,,-46.4,,5.0,-77.4,50.0,-3.5,,22.4,25.0,-13.8,59.6,32.0,39.0,-153.1,8.0,False,True,False,True,True,True,True,True,False,True,True,False,,True,True,False,True,False,True,False,True,True,False,,True,True,False,,,False,,True,False,False,True,,True,False,True,False,False,False,False,True
Vermont,58,58.0,59.1,58.0,58.0,58.0,59.0,59.0,58.9,58.4,59.0,59.4,60.1,59.4,,58.0,58.0,58.3,64.4,58.4,60.6,58.0,79.0,58.4,59.6,,60.2,58.0,58.0,,,58.0,,60.0,59.7,65.0,58.2,,69.5,59.0,61.4,63.4,58.0,59.0,57.9,,0.0,1.1,0.0,0.0,0.0,1.0,1.0,0.9,0.4,1.0,1.4,2.1,1.4,,0.0,0.0,0.3,6.4,0.4,2.6,0.0,21.0,0.4,1.6,,2.2,0.0,0.0,,,0.0,,2.0,1.7,7.0,0.2,,11.5,1.0,3.4,5.4,0.0,1.0,-0.1,,False,True,True,True,False,False,False,False,False,False,False,False,,True,True,False,False,False,False,True,False,False,False,,False,True,True,,,True,,False,False,False,False,,False,False,False,False,True,False,False,
