,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Oregon,325,308.3,307.0,309.0,271.0,,299.6,315.0,301.4,,303.0,290.0,374.5,302.8,321.9,306.3,,324.8,315.4,315.0,,73.8,,314.0,301.5,316.0,,362.6,312.3,336.0,310.2,,-16.7,-18.0,-16.0,-54.0,,-25.4,-10.0,-23.6,,-22.0,-35.0,49.5,-22.2,-3.1,-18.7,,-0.2,-9.6,-10.0,,-251.2,,-11.0,-23.5,-9.0,,37.6,-12.7,11.0,-14.8,,False,True,False,,False,True,False,,False,False,False,False,True,False,,True,True,True,,False,,True,False,True,,False,True,True,True,
Pennsylvania,7219,7241.1,7252.0,7269.0,7180.0,,7241.5,7304.0,7233.2,,7319.6,7181.0,7303.9,7233.7,7480.5,7714.9,,7238.2,7262.9,7178.0,,7886.1,,7195.0,7236.1,7270.0,7220.4,7393.1,7273.7,7313.0,7274.5,7272.0,22.1,33.0,50.0,-39.0,,22.5,85.0,14.2,,100.6,-38.0,84.9,14.7,261.5,495.9,,19.2,43.9,-41.0,,667.1,,-24.0,17.1,51.0,1.4,174.1,54.7,94.0,55.5,53.0,False,False,False,,False,False,True,,False,False,False,True,False,False,,True,False,False,,False,,False,True,False,True,False,False,False,False,False
Rhode Island,1007,1016.0,1018.0,1026.0,1029.0,,1033.5,1014.0,1031.2,,1002.7,1069.0,981.0,1034.8,1010.4,1114.1,,1017.9,1024.8,1009.0,,377.3,,1000.0,1015.4,1006.0,1028.7,1023.4,1025.7,1008.0,1013.9,,9.0,11.0,19.0,22.0,,26.5,7.0,24.2,,-4.3,62.0,-26.0,27.8,3.4,107.1,,10.9,17.8,2.0,,-629.7,,-7.0,8.4,-1.0,21.7,16.4,18.7,1.0,6.9,,False,False,False,,False,True,False,,True,False,False,False,True,False,,False,False,True,,False,,True,True,True,False,False,False,True,True,
South Carolina,1751,1515.3,1502.9,1543.0,1418.0,,1319.9,1517.0,1523.2,,1473.5,1319.0,1592.3,1540.9,1194.6,1578.8,,1539.7,1597.4,1663.0,,2150.8,,1550.0,1486.3,1554.0,,1716.0,1537.4,1793.5,1465.1,1352.0,-235.7,-248.1,-208.0,-333.0,,-431.1,-234.0,-227.8,,-277.5,-432.0,-158.7,-210.1,-556.4,-172.2,,-211.3,-153.6,-88.0,,399.8,,-201.0,-264.7,-197.0,,-35.0,-213.6,42.5,-285.9,-399.0,False,True,False,,False,True,True,,False,False,True,True,False,True,,True,True,True,,False,,True,False,True,,True,True,True,False,False
South Dakota,134,134.7,130.0,133.0,117.0,,114.6,127.0,131.8,,133.2,136.0,147.3,133.5,130.0,129.9,,137.2,135.5,129.0,,34.8,,132.0,130.4,132.0,132.5,165.5,133.2,152.0,133.1,,0.7,-4.0,-1.0,-17.0,,-19.4,-7.0,-2.2,,-0.8,2.0,13.3,-0.5,-4.0,-4.1,,3.2,1.5,-5.0,,-99.2,,-2.0,-3.6,-2.0,-1.5,31.5,-0.8,18.0,-0.9,,False,False,False,,False,False,False,,False,False,False,True,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,
Tennessee,1067,1032.4,1038.1,1071.0,1145.0,,1120.7,1134.0,1119.3,,1074.6,993.0,1200.2,1003.1,1109.1,1111.4,,991.2,1086.9,961.5,,2422.2,,1017.0,1023.4,1086.0,1014.3,1103.8,1170.0,1171.0,1047.6,982.0,-34.6,-28.9,4.0,78.0,,53.7,67.0,52.3,,7.6,-74.0,133.2,-63.9,42.1,44.4,,-75.8,19.9,-105.5,,1355.2,,-50.0,-43.6,19.0,-52.7,36.8,103.0,104.0,-19.4,-85.0,True,True,False,,False,False,False,,True,False,False,False,False,False,,False,True,False,,False,,False,False,True,False,False,False,False,True,False
Texas,6865,5490.3,5541.0,5731.0,5592.0,,5180.8,5560.0,,,5954.0,5749.0,5523.6,5182.3,4182.5,5831.2,,5451.3,5961.7,6125.0,,26646.7,6298.0,5968.0,5383.3,5668.0,6000.6,5601.1,6165.4,6602.5,5595.4,4862.0,-1374.7,-1324.0,-1134.0,-1273.0,,-1684.2,-1305.0,,,-911.0,-1116.0,-1341.4,-1682.7,-2682.5,-1033.8,,-1413.7,-903.3,-740.0,,19781.7,-567.0,-897.0,-1481.7,-1197.0,-864.4,-1263.9,-699.6,-262.5,-1269.6,-2003.0,True,True,True,,False,True,,,True,True,True,False,False,True,,False,True,True,,False,True,True,False,True,True,True,True,True,True,False
Utah,310,295.0,305.0,307.0,283.0,,379.0,318.0,340.9,,341.7,279.0,354.0,296.9,266.5,303.5,,319.7,307.3,277.0,,858.2,,293.0,294.9,299.0,281.2,334.2,297.2,318.0,302.8,,-15.0,-5.0,-3.0,-27.0,,69.0,8.0,30.9,,31.7,-31.0,44.0,-13.1,-43.5,-6.5,,9.7,-2.7,-33.0,,548.2,,-17.0,-15.1,-11.0,-28.8,24.2,-12.8,8.0,-7.2,,True,True,False,,False,True,False,,False,False,False,True,False,True,,True,True,False,,False,,False,False,True,False,False,True,True,True,
Vermont,57,56.0,56.4,57.0,56.0,,58.9,56.0,57.0,,56.3,56.0,59.0,57.3,58.7,57.2,,58.1,56.2,56.0,,58.8,,57.0,56.0,57.0,,58.6,56.0,57.0,57.0,,-1.0,-0.6,0.0,-1.0,,1.9,-1.0,-0.0,,-0.7,-1.0,2.0,0.3,1.7,0.2,,1.1,-0.8,-1.0,,1.8,,0.0,-1.0,0.0,,1.6,-1.0,0.0,-0.0,,True,True,False,,False,False,True,,True,False,False,True,False,True,,False,True,False,,False,,True,False,True,,False,True,True,True,
Virginia,2215,2140.3,2151.0,2184.0,2092.0,,2112.9,2162.0,2212.0,,2348.7,2112.0,2311.5,2208.9,2276.3,2364.4,,2179.9,2179.0,2124.0,,3106.5,,2172.0,2135.0,2218.0,2170.6,2265.0,2232.3,2205.0,2143.7,2198.0,-74.7,-64.0,-31.0,-123.0,,-102.1,-53.0,-3.0,,133.7,-103.0,96.5,-6.1,61.3,149.4,,-35.1,-36.0,-91.0,,891.5,,-43.0,-80.0,3.0,-44.4,50.0,17.3,-10.0,-71.3,-17.0,True,True,False,,False,True,True,,False,False,False,True,True,False,,True,True,False,,False,,True,False,True,True,True,True,True,True,True
Washington,1592,1463.7,1484.8,1554.0,1529.0,,1566.5,1600.0,1585.6,,1611.4,1544.0,1636.0,1536.8,1677.7,1581.9,,1592.1,1555.7,1525.0,,428.9,,1539.0,1475.6,1558.0,1491.4,1593.0,1585.3,1604.0,1517.7,1595.0,-128.3,-107.2,-38.0,-63.0,,-25.5,8.0,-6.4,,19.4,-48.0,44.0,-55.2,85.7,-10.1,,0.1,-36.3,-67.0,,-1163.1,,-53.0,-116.4,-34.0,-100.6,1.0,-6.7,12.0,-74.3,3.0,True,True,True,,True,True,True,,True,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,True
West Virginia,116,107.4,108.0,111.0,100.0,,120.5,123.0,107.9,,103.4,104.0,134.3,107.3,113.9,114.1,,108.7,109.3,101.0,,139.9,,106.0,106.8,108.0,,123.4,117.7,118.0,107.0,,-8.6,-8.0,-5.0,-16.0,,4.5,7.0,-8.1,,-12.6,-12.0,18.3,-8.7,-2.1,-1.9,,-7.3,-6.7,-15.0,,23.9,,-10.0,-9.2,-8.0,,7.4,1.7,2.0,-9.0,,True,True,False,,True,True,True,,False,False,False,False,True,True,,True,True,False,,False,,False,False,True,,True,True,True,False,
Wisconsin,947,888.6,887.1,920.0,948.0,,988.4,950.0,922.7,,873.6,861.0,1041.4,896.4,953.2,940.6,952.0,940.6,896.2,895.0,,1605.3,,881.0,893.9,911.0,894.9,1062.8,919.5,871.0,908.0,,-58.4,-59.9,-27.0,1.0,,41.4,3.0,-24.3,,-73.4,-86.0,94.4,-50.6,6.2,-6.4,5.0,-6.4,-50.8,-52.0,,658.3,,-66.0,-53.1,-36.0,-52.1,115.8,-27.5,-76.0,-39.0,,False,True,True,,True,True,True,,False,False,False,True,True,True,True,True,True,True,,False,,False,True,True,True,False,True,False,True,
Wyoming,26,32.4,30.0,29.0,24.0,,30.2,29.0,27.0,,21.3,25.0,37.8,27.2,28.1,27.9,,34.2,29.4,24.0,,53.7,,27.0,30.8,30.0,,30.8,29.3,34.0,29.3,,6.4,4.0,3.0,-2.0,,4.2,3.0,1.0,,-4.7,-1.0,11.8,1.2,2.1,1.9,,8.2,3.4,-2.0,,27.7,,1.0,4.8,4.0,,4.8,3.3,8.0,3.3,,True,True,True,,True,True,True,,True,True,False,True,True,True,,False,True,True,,False,,True,True,True,,True,True,False,True,
US,154447,150430.7,150802.9,151718.0,150849.0,153720.0,148201.5,153611.0,152677.2,,152348.5,150369.0,152790.7,149149.0,143320.9,155755.3,,148643.3,152661.5,150678.5,153324.6,152029.0,149527.0,151269.0,150359.5,152255.0,148034.5,158491.2,153466.7,155864.0,151175.7,145560.0,-4016.3,-3644.1,-2729.0,-3598.0,-727.0,-6245.5,-836.0,-1769.8,,-2098.5,-4078.0,-1656.3,-5298.0,-11126.1,1308.3,,-5803.7,-1785.5,-3768.5,-1122.4,-2418.0,-4920.0,-3178.0,-4087.5,-2192.0,-6412.5,4044.2,-980.3,1417.0,-3271.3,-8887.0,True,True,True,True,False,True,True,,True,False,True,False,False,True,,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False
