,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
North Dakota,103,83.9,98.0,88.7,99.1,94.0,,92.6,120.8,94.0,86.5,,88.4,105.0,127.2,96.4,107.4,90.4,,135.9,103.0,115.0,,93.2,,151.0,83.6,93.0,,92.8,94.7,93.0,94.1,,-19.1,-5.0,-14.3,-3.9,-9.0,,-10.4,17.8,-9.0,-16.5,,-14.6,2.0,24.2,-6.6,4.4,-12.6,,32.9,-0.0,12.0,,-9.8,,48.0,-19.4,-10.0,,-10.2,-8.3,-10.0,-8.9,,True,True,True,True,,True,True,True,True,,True,True,False,True,True,True,,False,True,True,,True,,False,False,True,,True,True,True,True,
Ohio,3185,3312.1,3269.0,3319.9,3612.2,4472.0,,3453.9,3367.2,4996.0,,,3643.8,3182.0,4439.1,3345.3,4124.3,3908.5,3526.5,3126.5,3720.0,3253.5,,3287.8,,3266.0,3421.7,3438.0,,3786.4,3995.2,3234.5,3343.3,3395.0,-147.9,-191.0,-140.1,152.2,1012.0,,-6.1,-92.8,1536.0,,,183.8,-278.0,979.1,-114.7,664.3,448.5,66.5,-333.5,260.0,-206.5,,-172.2,,-194.0,-38.3,-22.0,,326.4,535.2,-225.5,-116.7,-65.0,False,True,False,False,,True,True,False,,,False,False,False,True,False,False,True,False,False,False,,False,,False,True,True,,False,False,False,True,True
Oklahoma,549,448.1,478.0,454.4,474.9,540.0,,573.6,1673.7,611.0,569.7,,460.0,432.0,565.1,452.9,568.5,470.4,,469.4,482.4,413.0,,426.7,,448.0,446.3,483.0,,633.3,536.4,439.5,472.7,,-100.9,-71.0,-94.6,-74.1,-9.0,,24.6,1124.7,62.0,20.7,,-89.0,-117.0,16.1,-96.1,19.5,-78.6,,-79.6,-66.6,-136.0,,-122.3,,-101.0,-102.7,-66.0,,84.3,-12.6,-109.5,-76.3,,True,True,True,True,,True,False,True,True,,True,False,True,True,True,True,,True,True,False,,False,,False,False,True,,True,True,False,True,
Oregon,325,265.1,266.0,257.0,295.5,316.0,,292.7,612.4,330.0,304.6,,266.1,296.0,454.0,283.6,264.4,287.9,,299.5,300.6,238.0,,246.1,,277.0,254.5,334.0,,364.9,317.9,295.0,274.2,,-59.9,-59.0,-68.0,-29.5,-9.0,,-32.3,287.4,5.0,-20.4,,-58.9,-29.0,129.0,-41.4,-60.6,-37.1,,-25.5,-24.4,-87.0,,-78.9,,-48.0,-70.5,9.0,,39.9,-7.1,-30.0,-50.8,,True,False,True,True,,True,False,True,True,,True,True,False,True,False,True,,True,True,False,,False,,True,False,True,,True,True,True,True,
Pennsylvania,7219,7320.0,7233.0,7349.9,7325.9,7589.0,,7282.1,7161.3,7533.0,6970.6,,7547.8,7248.0,7699.6,7267.4,7085.0,7216.5,,7107.1,7136.3,7223.0,,7391.9,,7099.0,7255.7,7286.0,,7388.1,7838.8,7431.0,7344.7,7355.3,101.0,14.0,130.9,106.9,370.0,,63.1,-57.7,314.0,-248.4,,328.8,29.0,480.6,48.4,-134.0,-2.5,,-111.9,-82.7,4.0,,172.9,,-120.0,36.7,67.0,,169.1,619.8,212.0,125.7,136.3,True,False,False,False,,True,True,False,False,,False,True,False,True,False,True,,False,True,True,,False,,False,True,True,,False,False,False,False,False
Rhode Island,1027,1087.3,1044.0,1092.9,1043.9,1389.0,,1036.1,1004.2,1036.0,1014.0,,1090.7,1179.0,690.7,1033.2,1002.0,1082.8,,1024.1,1059.2,1036.0,,1043.5,,974.0,1048.0,1001.0,,1000.0,1035.5,1048.0,1058.0,,88.3,45.0,93.9,44.9,390.0,,37.1,5.2,37.0,15.0,,91.7,180.0,-308.3,34.2,3.0,83.8,,25.1,60.2,37.0,,44.5,,-25.0,49.0,2.0,,1.0,36.5,49.0,59.0,,True,False,True,False,,True,True,True,True,,False,False,False,True,True,True,,True,True,True,,True,,True,True,True,,True,True,True,True,
South Carolina,1751,1221.1,1143.0,1221.0,1315.3,1978.0,,1480.5,3249.8,1599.0,1062.9,,1349.3,1334.0,1379.5,1143.7,975.5,1228.3,,1204.6,1581.1,983.5,,1047.2,,1621.0,1167.9,1552.0,,1581.5,1654.3,1445.0,1257.7,1324.3,-529.9,-608.0,-530.0,-435.7,227.0,,-270.5,1498.8,-152.0,-688.1,,-401.7,-417.0,-371.5,-607.3,-775.5,-522.7,,-546.4,-169.9,-767.5,,-703.8,,-130.0,-583.1,-199.0,,-169.5,-96.7,-306.0,-493.3,-426.7,False,False,True,True,,True,False,True,False,,True,True,True,False,False,True,,False,True,False,,False,,True,False,True,,True,True,True,True,True
South Dakota,134,120.1,131.0,121.0,127.2,105.0,,112.1,153.2,118.0,109.6,,139.4,116.0,158.3,117.0,193.8,115.2,,141.6,127.8,157.0,,119.0,,113.0,104.6,115.0,,111.5,126.7,132.0,132.9,,-13.9,-3.0,-13.0,-6.8,-29.0,,-21.9,19.2,-16.0,-24.4,,5.4,-18.0,24.3,-17.0,59.8,-18.8,,7.6,-6.2,23.0,,-15.0,,-21.0,-29.4,-19.0,,-22.5,-7.3,-2.0,-1.1,,True,True,True,False,,False,False,False,False,,True,False,False,False,False,False,,True,True,False,,False,,False,False,False,,False,True,True,True,
Tennessee,1067,880.3,905.0,849.1,966.7,1724.0,,1006.8,1563.7,1200.0,832.2,,968.5,1058.0,1196.0,853.7,916.9,886.3,,803.3,1127.0,810.0,,767.0,,817.0,846.2,1072.0,,1022.3,1332.0,945.0,971.9,939.3,-186.7,-162.0,-217.9,-100.3,657.0,,-60.2,496.7,133.0,-234.8,,-98.5,-9.0,129.0,-213.3,-150.1,-180.7,,-263.7,60.0,-257.0,,-300.0,,-250.0,-220.8,5.0,,-44.7,265.0,-122.0,-95.1,-127.7,True,False,True,False,,True,False,True,False,,True,True,True,False,True,True,,False,True,False,,False,,False,False,True,,True,False,True,True,True
Texas,7927,3499.7,3629.0,3482.5,3905.3,5985.0,,5048.5,12996.9,5436.0,3943.7,,4288.4,4555.0,5148.2,2985.9,3420.4,3671.1,,3528.5,4046.1,3174.5,,3370.5,4537.0,3228.0,3470.6,3794.0,,4904.7,5493.3,4001.0,3842.0,3707.0,-3866.3,-3737.0,-3883.5,-3460.7,-1381.0,,-2317.5,5630.9,-1930.0,-3422.3,,-3077.6,-2811.0,-2217.8,-4380.1,-3945.6,-3694.9,,-3837.5,-3319.9,-4191.5,,-3995.5,-2829.0,-4138.0,-3895.4,-3572.0,,-2461.3,-1872.7,-3365.0,-3524.0,-3659.0,True,False,True,True,,True,False,True,True,,True,True,True,False,False,True,,True,True,False,,False,True,False,False,True,,True,True,True,True,True
Utah,310,249.6,310.0,237.0,270.7,356.0,,403.7,543.0,351.0,,,242.1,291.0,441.8,234.3,263.8,232.4,,274.4,264.0,276.0,,286.6,,254.0,257.4,265.0,,294.4,260.5,263.0,266.5,,-60.4,0.0,-73.0,-39.3,46.0,,93.7,233.0,41.0,,,-67.9,-19.0,131.8,-75.7,-46.2,-77.6,,-35.6,-46.0,-34.0,,-23.4,,-56.0,-52.6,-45.0,,-15.6,-49.5,-47.0,-43.5,,True,False,True,True,,False,False,True,,,False,True,False,False,True,False,,True,True,True,,True,,True,True,True,,True,True,True,True,
Vermont,57,56.0,61.0,59.0,57.6,56.0,,59.1,68.1,57.0,59.1,,58.1,56.0,65.6,58.8,59.1,56.1,,60.9,56.9,56.0,,62.7,,59.0,57.0,58.0,,56.1,57.3,57.0,58.5,,-1.0,4.0,2.0,0.6,-1.0,,2.1,11.1,0.0,2.1,,1.1,-1.0,8.6,1.8,2.1,-0.9,,3.9,-0.1,-1.0,,5.7,,2.0,-0.0,1.0,,-0.9,0.3,0.0,1.5,,False,False,True,False,,False,False,True,False,,False,False,False,False,False,True,,False,True,False,,False,,False,True,False,,True,True,True,False,
Virginia,2215,2319.7,2184.0,2349.0,2269.3,2163.0,,2008.3,2431.2,2013.0,2412.7,,2379.9,2228.0,2656.3,2205.8,2172.0,2103.2,,2196.5,2364.7,2115.0,,2094.8,,2312.0,2037.6,2227.0,,2114.8,2118.3,2604.0,2109.4,2617.7,104.7,-31.0,134.0,54.3,-52.0,,-206.7,216.2,-202.0,197.7,,164.9,13.0,441.3,-9.2,-43.0,-111.8,,-18.5,149.7,-100.0,,-120.2,,97.0,-177.4,12.0,,-100.2,-96.7,389.0,-105.6,402.7,True,False,True,True,,False,False,False,False,,False,True,False,True,True,False,,True,False,True,,False,,True,False,True,,True,True,False,False,False
Washington,1619,1548.0,1533.0,1529.7,1572.1,1624.0,,1539.7,1639.7,1654.0,,,1539.6,1408.0,1806.3,1543.5,1559.8,1643.8,,1491.8,1627.4,1484.0,,1467.9,,1485.0,1490.6,1611.0,,1685.7,1736.7,1518.0,1535.3,,-88.0,-103.0,-106.3,-63.9,-12.0,,-96.3,3.7,18.0,,,-96.4,-228.0,170.3,-92.5,-76.2,7.8,,-144.2,-8.6,-152.0,,-168.1,,-151.0,-145.4,-25.0,,49.7,100.7,-118.0,-100.7,,False,False,True,True,,False,True,True,,,False,False,False,False,True,True,,False,True,False,,False,,False,False,True,,True,False,False,False,
West Virginia,116,97.9,110.0,102.5,113.6,108.0,,111.4,317.7,127.0,102.1,,105.3,100.0,161.8,116.5,190.8,108.0,,103.3,136.3,98.0,,99.9,,102.0,106.8,111.0,,129.8,116.8,109.0,103.0,,-18.1,-6.0,-13.5,-2.4,-8.0,,-4.6,201.7,11.0,-13.9,,-10.7,-16.0,45.8,0.5,74.8,-8.0,,-12.7,20.3,-18.0,,-16.1,,-14.0,-9.2,-5.0,,13.8,0.8,-7.0,-13.0,,True,True,True,True,,True,False,True,True,,True,True,False,True,False,True,,True,False,True,,True,,True,True,True,,True,True,True,True,
Wisconsin,981,869.3,951.0,873.2,954.0,1204.0,,947.8,960.2,977.0,949.3,,978.2,963.0,1242.2,932.2,1075.5,905.0,1049.5,889.3,946.3,918.0,,947.1,,895.0,931.9,948.0,,1056.7,1014.7,846.0,940.7,,-78.7,3.0,-74.8,6.0,256.0,,-0.2,12.2,29.0,1.3,,30.2,15.0,294.2,-15.8,127.5,-43.0,101.5,-58.7,-1.7,-30.0,,-0.9,,-53.0,-16.1,0.0,,108.7,66.7,-102.0,-7.3,,True,True,True,False,,True,True,True,True,,True,True,False,True,False,True,False,True,True,True,,True,,True,True,True,,False,True,False,True,
Wyoming,26,20.0,28.0,22.0,26.6,20.0,,34.7,40.6,29.0,23.1,,18.4,21.0,37.3,26.6,31.2,27.7,,30.0,33.3,20.0,,20.0,,24.0,23.3,24.0,,30.0,23.7,23.0,23.8,,-6.0,2.0,-4.0,0.6,-6.0,,8.7,14.6,3.0,-2.9,,-7.6,-5.0,11.3,0.6,5.2,1.7,,4.0,7.3,-6.0,,-6.0,,-2.0,-2.7,-2.0,,4.0,-2.3,-3.0,-2.2,,True,True,True,False,,False,False,True,True,,False,True,False,True,True,True,,True,False,False,,True,,True,True,True,,True,True,True,True,
US,155207,143782.6,144499.0,143923.4,147466.0,165626.0,162233.0,149056.9,151457.0,159663.0,142424.9,,146936.9,154142.0,159374.0,141347.6,141931.2,146226.4,,140034.7,149456.9,143200.0,170025.3,130365.6,137229.0,141877.0,142259.5,151348.0,138400.3,153309.8,168877.0,148048.0,145224.3,139927.7,-11060.4,-10344.0,-10919.6,-7377.0,10783.0,7390.0,-5786.1,-3386.0,4820.0,-12418.1,,-7906.1,-701.0,4531.0,-13495.4,-12911.8,-8616.6,,-14808.3,-5386.1,-11643.0,15182.3,-24477.4,-17614.0,-12966.0,-12583.5,-3495.0,-16442.7,-1533.2,14034.0,-6795.0,-9618.7,-14915.3,True,True,True,True,True,True,True,True,False,,True,True,True,False,False,True,,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False
