,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Nevada,832,808.6,817.0,818.0,818.0,816.0,,771.0,830.0,827.4,807.2,,822.1,783.6,849.0,832.0,827.2,820.8,790.1,799.7,742.3,821.9,,799.5,813.9,844.5,,778.1,,824.0,824.4,,802.0,,816.6,817.0,887.0,822.6,828.0,-23.4,-15.0,-14.0,-14.0,-16.0,,-61.0,-2.0,-4.6,-24.8,,-9.9,-48.4,17.0,-0.0,-4.8,-11.2,-41.9,-32.3,-89.7,-10.1,,-32.5,-18.1,12.5,,-53.9,,-8.0,-7.6,,-30.0,,-15.4,-15.0,55.0,-9.4,-4.0,True,True,True,True,,False,True,True,False,,True,False,True,True,True,True,False,False,False,True,,False,True,True,,False,,True,True,,False,,True,True,False,True,True
New Hampshire,416,418.4,422.0,422.0,418.0,416.0,,419.8,415.0,417.5,424.5,,427.3,408.0,409.0,419.6,416.3,414.3,425.2,413.7,424.3,422.6,,421.8,422.3,413.0,,421.1,,421.0,425.4,,416.0,424.2,418.1,420.0,417.0,417.5,,2.4,6.0,6.0,2.0,0.0,,3.8,-1.0,1.5,8.5,,11.3,-8.0,-7.0,3.6,0.3,-1.7,9.2,-2.3,8.3,6.6,,5.8,6.3,-3.0,,5.1,,5.0,9.4,,0.0,8.2,2.1,4.0,1.0,1.5,,False,False,True,True,,False,True,True,False,,False,False,False,False,True,True,False,True,False,False,,False,False,False,,False,,False,False,,True,False,True,False,True,True,
New Jersey,15830,15856.4,15863.0,15853.0,15915.0,15915.0,,15780.0,15880.0,15950.7,,,15927.7,16206.0,15867.0,15820.2,15862.1,15930.7,16040.1,15883.2,15744.7,16096.9,,15924.5,15897.2,15895.0,,15966.0,,15867.0,15826.9,,15866.0,,15922.8,15859.0,15932.0,15854.9,14081.0,26.4,33.0,23.0,85.0,85.0,,-50.0,50.0,120.7,,,97.7,376.0,37.0,-9.8,32.1,100.7,210.1,53.2,-85.3,266.9,,94.5,67.2,65.0,,136.0,,37.0,-3.1,,36.0,,92.8,29.0,102.0,24.9,-1749.0,False,True,False,False,,False,False,False,,,False,False,False,True,False,False,False,False,False,False,,False,False,False,,False,,False,True,,False,,False,False,False,True,False
New Mexico,651,650.9,644.0,645.0,646.0,640.0,,625.6,647.0,642.5,644.1,,646.6,641.4,650.0,654.8,660.8,630.4,638.6,644.9,643.0,639.0,,621.3,651.2,645.0,,634.4,,652.0,648.4,,648.0,644.0,662.9,648.0,655.0,646.6,,-0.1,-7.0,-6.0,-5.0,-11.0,,-25.4,-4.0,-8.5,-6.9,,-4.4,-9.6,-1.0,3.8,9.8,-20.6,-12.4,-6.1,-8.0,-12.0,,-29.7,0.2,-6.0,,-16.6,,1.0,-2.6,,-3.0,-7.0,11.9,-3.0,4.0,-4.4,,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,,False,False,False,False,False,False,
New York,32684,32745.7,32735.0,32738.0,32746.0,32774.0,,32488.2,32651.0,32749.3,32770.5,,32731.5,32990.6,32805.0,32740.0,32363.5,25167.5,32749.2,32731.5,28152.4,32670.2,,32291.1,32741.7,32679.0,,32758.1,,32676.0,32729.6,,32741.0,,32911.2,32745.0,32850.0,32721.2,32775.0,60.7,50.0,53.0,61.0,89.0,,-196.8,-34.0,64.3,85.5,,46.5,305.6,120.0,55.0,-321.5,-7517.5,64.2,46.5,-4532.6,-14.8,,-393.9,56.7,-6.0,,73.1,,-9.0,44.6,,56.0,,226.2,60.0,165.0,36.2,90.0,True,True,False,False,,False,True,False,False,,True,False,False,True,False,False,False,True,False,True,,False,True,True,,False,,True,True,,True,,False,True,False,True,False
North Carolina,1979,1958.4,1975.0,1974.0,1947.0,2047.0,,1962.0,2017.0,1988.9,,2031.0,1981.8,1881.3,1889.0,1970.1,2042.9,1903.1,1916.1,1966.1,1859.0,1948.5,,1849.7,1979.6,1941.0,,1864.5,,1959.0,1980.1,,1936.0,1919.8,1992.9,1951.0,1965.0,1951.4,1908.0,-20.6,-4.0,-5.0,-32.0,68.0,,-17.0,38.0,9.9,,52.0,2.8,-97.7,-90.0,-8.9,63.9,-75.9,-62.9,-12.9,-120.0,-30.5,,-129.3,0.6,-38.0,,-114.5,,-20.0,1.1,,-43.0,-59.2,13.9,-28.0,-14.0,-27.6,-71.0,True,True,False,False,,True,False,True,,False,True,False,False,True,False,False,False,True,False,False,,False,True,False,,False,,True,True,,False,False,True,False,True,False,False
North Dakota,103,105.0,106.0,108.0,105.0,107.0,,101.7,106.0,104.2,107.7,,107.4,102.9,101.0,106.7,112.1,92.9,104.9,103.8,106.6,102.8,,102.8,108.7,104.0,,103.5,,105.0,110.2,,106.0,,106.5,107.0,105.0,105.3,,2.0,3.0,5.0,2.0,4.0,,-1.3,3.0,1.2,4.7,,4.4,-0.1,-2.0,3.7,9.1,-10.1,1.9,0.8,3.6,-0.2,,-0.2,5.7,1.0,,0.5,,2.0,7.2,,3.0,,3.5,4.0,2.0,2.3,,False,False,False,False,,True,False,True,False,,False,True,False,False,False,False,True,True,False,True,,True,False,True,,True,,False,False,,False,,False,False,False,False,
Ohio,3515,3421.0,3460.0,3462.0,3436.0,3492.0,,3449.8,3508.0,3432.8,,,3435.3,3357.1,3379.0,3484.9,3500.1,3453.6,3389.9,3413.5,3599.3,3532.0,3476.0,3366.5,3435.7,3355.0,,3391.2,,3466.0,3485.7,,3432.0,3431.6,3599.8,3437.0,3420.0,3436.2,3396.0,-94.0,-55.0,-53.0,-79.0,-23.0,,-65.2,-7.0,-82.2,,,-79.7,-157.9,-136.0,-30.1,-14.9,-61.4,-125.1,-101.5,84.3,17.0,-39.0,-148.5,-79.3,-160.0,,-123.8,,-49.0,-29.3,,-83.0,-83.4,84.8,-78.0,-95.0,-78.8,-119.0,True,True,True,True,,True,True,True,,,True,False,False,True,True,True,False,False,True,True,True,False,True,False,,False,,True,True,,True,True,True,True,False,True,False
Oklahoma,549,534.6,541.0,541.0,545.0,546.0,,546.7,554.0,549.8,544.5,,562.8,518.8,512.0,545.2,573.3,531.7,540.9,531.8,512.2,535.4,,490.4,541.2,550.0,,504.9,,545.0,543.1,,537.0,,557.4,542.0,553.0,527.7,,-14.4,-8.0,-8.0,-4.0,-3.0,,-2.3,5.0,0.8,-4.5,,13.8,-30.2,-37.0,-3.8,24.3,-17.3,-8.1,-17.2,-36.8,-13.6,,-58.6,-7.8,1.0,,-44.1,,-4.0,-5.9,,-12.0,,8.4,-7.0,4.0,-21.3,,True,True,True,True,,True,True,True,True,,True,False,False,True,False,False,True,False,False,True,,False,True,True,,False,,True,True,,True,,True,True,True,False,
Oregon,325,313.9,310.0,307.0,314.0,307.0,,299.7,316.0,323.9,307.9,,306.2,307.1,306.0,314.4,338.0,316.5,312.6,309.5,322.6,307.9,,318.6,311.4,314.0,,299.6,,317.0,312.1,,314.0,,319.9,314.0,333.0,317.5,,-11.1,-15.0,-18.0,-11.0,-18.0,,-25.3,-9.0,-1.1,-17.1,,-18.8,-17.9,-19.0,-10.6,13.0,-8.5,-12.4,-15.5,-2.4,-17.1,,-6.4,-13.6,-11.0,,-25.4,,-8.0,-12.9,,-11.0,,-5.1,-11.0,8.0,-7.5,,False,False,True,False,,False,True,True,False,,False,False,False,True,False,True,False,False,True,False,,True,False,True,,False,,True,False,,True,,True,True,True,True,
Pennsylvania,7219,7217.0,7232.0,7233.0,7232.0,7275.0,,7222.0,7236.0,7219.3,7252.7,,7238.0,7249.3,7230.0,7217.7,7247.4,7237.5,7211.8,7217.3,7393.8,7396.7,,7226.6,7226.5,7180.0,,7220.1,,7228.0,7233.1,,7228.0,7274.3,7420.3,7212.0,7233.0,7214.0,7173.0,-2.0,13.0,14.0,13.0,56.0,,3.0,17.0,0.3,33.7,,19.0,30.3,11.0,-1.3,28.4,18.5,-7.2,-1.7,174.8,177.7,,7.6,7.5,-39.0,,1.1,,9.0,14.1,,9.0,55.3,201.3,-7.0,14.0,-5.0,-46.0,False,False,False,False,,False,False,True,False,,False,False,False,True,False,False,False,True,False,False,,False,False,False,,True,,False,False,,False,False,False,False,False,False,False
Rhode Island,1007,1012.3,1013.0,1014.0,1014.0,1010.0,,1032.9,1011.0,1009.0,1012.2,,1013.4,1018.3,1037.0,1019.2,982.2,1013.2,1020.4,1006.9,1015.6,1021.1,,1013.7,1012.8,1006.0,,1013.8,,1017.0,1014.6,,1009.0,1026.5,1020.6,1011.0,1009.0,1015.4,,5.3,6.0,7.0,7.0,3.0,,25.9,4.0,2.0,5.2,,6.4,11.3,30.0,12.2,-24.8,6.2,13.4,-0.1,8.6,14.1,,6.7,5.8,-1.0,,6.8,,10.0,7.6,,2.0,19.5,13.6,4.0,2.0,8.4,,False,False,False,True,,False,True,True,True,,False,False,False,False,False,False,False,True,False,False,,False,False,True,,False,,False,False,,True,False,False,True,True,False,
South Carolina,1751,1779.0,1784.0,1795.0,1714.0,1693.0,,1447.2,1681.0,1866.6,,,1933.1,1392.3,1619.0,1830.5,1678.5,1696.0,1690.8,1741.3,1413.2,1693.0,,1593.5,1843.8,1832.5,,1681.3,,1759.0,1824.1,,1734.0,1689.1,1682.2,1763.0,1877.0,1756.7,1748.0,28.0,33.0,44.0,-37.0,-58.0,,-303.8,-70.0,115.6,,,182.1,-358.7,-132.0,79.5,-72.5,-55.0,-60.2,-9.7,-337.8,-58.0,,-157.5,92.8,81.5,,-69.7,,8.0,73.1,,-17.0,-61.9,-68.8,12.0,126.0,5.7,-3.0,False,False,False,False,,False,False,False,,,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,,True,False,,True,False,False,True,False,True,True
South Dakota,134,127.3,128.0,128.0,130.0,123.0,,116.1,129.0,133.7,128.4,,128.3,137.4,132.0,128.4,135.8,131.5,130.9,126.2,131.1,128.0,,133.7,128.8,130.0,,124.2,,128.0,128.6,,129.0,,128.0,130.0,133.0,130.0,,-6.7,-6.0,-6.0,-4.0,-11.0,,-17.9,-5.0,-0.3,-5.6,,-5.7,3.4,-2.0,-5.6,1.8,-2.5,-3.1,-7.8,-2.9,-6.0,,-0.3,-5.2,-4.0,,-9.8,,-6.0,-5.4,,-5.0,,-6.0,-4.0,-1.0,-4.0,,True,True,True,False,,False,True,True,True,,True,True,True,True,True,True,True,False,True,True,,True,True,True,,False,,True,True,,True,,True,True,True,True,
Tennessee,1067,1073.3,1090.0,1090.0,1091.0,1162.0,,1113.0,1111.0,1156.7,1076.6,,1133.0,1054.7,1058.0,1105.3,1127.8,1109.4,1101.1,1089.5,1067.4,1103.0,,1024.4,1087.6,1027.0,,1025.7,,1095.0,1094.7,,1083.0,1049.5,1070.0,1071.0,1105.0,1076.4,1046.0,6.3,23.0,23.0,24.0,95.0,,46.0,44.0,89.7,9.6,,66.0,-12.3,-9.0,38.3,60.8,42.4,34.1,22.5,0.4,36.0,,-42.6,20.6,-40.0,,-41.3,,28.0,27.7,,16.0,-17.5,3.0,4.0,38.0,9.4,-21.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,,False,False,,False,False,True,True,False,False,False
Texas,7576,5988.0,6035.0,6041.0,5862.0,6023.0,,5108.2,5841.0,6545.9,,,6267.3,5700.5,6000.0,6112.6,5771.3,5858.3,5551.1,6024.4,4914.8,5702.6,,5634.6,6140.6,6484.5,,5663.7,6106.0,6178.0,6061.6,,5876.0,5771.9,5769.9,5915.0,6513.5,5994.1,5701.0,-866.0,-819.0,-813.0,-992.0,-831.0,,-1745.8,-1013.0,-308.1,,,-586.7,-1153.5,-854.0,-741.4,-1082.7,-995.7,-1302.9,-829.6,-1939.2,-1151.4,,-1219.4,-713.4,-369.5,,-1190.3,-748.0,-676.0,-792.4,,-978.0,-1082.1,-1084.1,-939.0,-340.5,-859.9,-1153.0,True,True,False,True,,False,False,True,,,True,False,True,True,False,False,False,True,False,False,,False,True,True,,False,True,True,True,,False,False,False,False,True,True,False
Utah,310,300.6,300.0,305.0,306.0,311.0,,370.1,307.0,313.2,300.9,,307.1,318.3,304.0,323.0,313.1,305.9,293.1,295.9,280.5,310.1,,310.0,301.6,315.5,,347.6,,303.0,304.5,,298.0,298.8,295.5,298.0,312.0,307.1,,-9.4,-10.0,-5.0,-4.0,1.0,,60.1,-3.0,3.2,-9.1,,-2.9,8.3,-6.0,13.0,3.1,-4.1,-16.9,-14.1,-29.5,0.1,,-0.0,-8.4,5.5,,37.6,,-7.0,-5.5,,-12.0,-11.2,-14.5,-12.0,2.0,-2.9,,False,True,True,True,,False,True,True,True,,True,True,True,False,True,True,False,False,False,True,,True,True,True,,False,,True,True,,False,False,False,False,True,True,
Vermont,57,56.0,56.0,56.0,56.0,56.0,,58.6,56.0,56.4,56.3,,56.0,56.6,56.0,56.5,57.1,57.9,56.4,56.0,58.5,56.3,,57.5,56.1,56.0,,54.1,,56.0,56.0,,56.0,,57.6,56.0,57.0,56.5,,-1.0,-1.0,-1.0,-1.0,-1.0,,1.6,-1.0,-0.6,-0.7,,-1.0,-0.4,-1.0,-0.5,0.1,0.9,-0.6,-1.0,1.5,-0.7,,0.5,-0.9,-1.0,,-2.9,,-1.0,-1.0,,-1.0,,0.6,-1.0,0.0,-0.5,,False,False,False,False,,False,False,True,True,,False,True,False,True,True,True,True,False,False,True,,True,True,False,,False,,False,False,,False,,True,False,True,True,
Virginia,2215,2121.7,2126.0,2125.0,2143.0,2162.0,,2146.7,2145.0,2134.3,2131.9,,2129.1,2179.0,2137.0,2139.4,2195.3,2207.5,2136.9,2128.6,2214.7,2209.2,,2157.1,2126.2,2123.0,,2191.7,,2122.0,2123.2,,2133.0,2151.3,2188.9,2117.0,2141.0,2122.9,2115.0,-93.3,-89.0,-90.0,-72.0,-53.0,,-68.3,-70.0,-80.7,-83.1,,-85.9,-36.0,-78.0,-75.6,-19.7,-7.5,-78.1,-86.4,-0.3,-5.8,,-57.9,-88.8,-92.0,,-23.3,,-93.0,-91.8,,-82.0,-63.7,-26.1,-98.0,-74.0,-92.1,-100.0,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,,True,True,,True,True,True,False,True,True,False
Washington,1592,1547.3,1545.0,1544.0,1557.0,1585.0,,1557.3,1588.0,1562.2,1554.0,,1562.3,1593.4,1579.0,1586.8,1565.7,1544.4,1535.6,1543.4,1632.1,1560.6,,1599.2,1549.8,1532.0,,1545.4,,1550.0,1554.8,,1552.0,,1622.3,1546.0,1613.0,1530.0,1581.0,-44.7,-47.0,-48.0,-35.0,-7.0,,-34.7,-4.0,-29.8,-38.0,,-29.7,1.4,-13.0,-5.2,-26.3,-47.6,-56.4,-48.6,40.1,-31.4,,7.2,-42.2,-60.0,,-46.6,,-42.0,-37.2,,-40.0,,30.3,-46.0,21.0,-62.0,-11.0,False,False,True,True,,True,True,True,True,,True,True,True,True,True,False,False,False,True,True,,True,True,False,,False,,True,True,,True,,True,False,True,False,True
West Virginia,116,105.6,106.0,106.0,107.0,110.0,,116.1,113.0,105.5,106.8,,106.6,105.2,105.0,112.2,116.7,107.7,106.9,105.7,110.8,107.4,,107.7,105.9,104.0,,104.8,,106.0,105.7,,106.0,,115.9,106.0,109.0,106.4,,-10.4,-10.0,-10.0,-9.0,-6.0,,0.1,-3.0,-10.5,-9.2,,-9.4,-10.8,-11.0,-3.8,0.7,-8.3,-9.1,-10.3,-5.2,-8.6,,-8.3,-10.1,-12.0,,-11.2,,-10.0,-10.3,,-10.0,,-0.1,-10.0,-7.0,-9.6,,True,True,True,True,,True,True,False,True,,True,False,False,True,True,True,True,True,True,True,,True,True,False,,False,,True,True,,True,,True,True,True,True,
Wisconsin,947,933.1,940.0,939.0,932.0,965.0,,978.5,949.0,925.1,949.5,,934.8,883.7,903.0,946.5,978.0,935.9,920.2,930.8,936.8,913.3,925.0,896.8,938.2,903.0,,906.2,,937.0,947.2,,931.0,921.4,969.3,934.0,921.5,933.6,,-13.9,-7.0,-8.0,-15.0,18.0,,31.5,2.0,-21.9,2.5,,-12.2,-63.3,-44.0,-0.5,31.0,-11.1,-26.8,-16.2,-10.2,-33.7,-22.0,-50.2,-8.8,-44.0,,-40.8,,-10.0,0.2,,-16.0,-25.6,22.3,-13.0,-25.5,-13.4,,True,True,False,False,,False,True,False,True,,True,False,False,True,False,True,False,False,True,False,False,False,True,False,,False,,True,True,,False,False,False,True,False,True,
Wyoming,26,25.0,26.0,26.0,26.0,25.0,,29.6,27.0,26.9,26.8,,26.0,21.3,25.0,27.6,30.8,28.7,26.3,25.1,29.1,25.9,,31.3,26.1,25.0,,24.1,,26.0,25.4,,26.0,,27.0,27.0,28.0,26.0,,-1.0,0.0,0.0,0.0,-1.0,,3.6,1.0,0.9,0.8,,-0.0,-4.7,-1.0,1.6,4.8,2.7,0.3,-0.9,3.1,-0.1,,5.3,0.1,-1.0,,-1.9,,0.0,-0.6,,0.0,,1.0,1.0,2.0,0.0,,True,True,True,False,,False,False,True,True,,True,False,False,False,False,False,True,True,False,True,,False,True,False,,False,,True,True,,True,,False,False,False,True,
US,155149,152421.6,,152801.0,153024.0,154024.0,153196.0,147075.0,153030.0,154485.8,153445.7,,154411.2,151670.3,152446.0,153081.3,151667.0,145238.1,151379.4,153314.4,145183.5,153315.0,,149637.7,153023.6,152752.5,153382.3,150755.7,153601.0,153228.0,153131.3,149392.0,152462.0,151360.2,154249.9,151986.0,154770.5,152445.9,148679.0,-2006.4,,-1627.0,-1404.0,-404.0,-1232.0,-7353.0,-1398.0,57.8,-982.3,,-16.8,-2757.7,-1982.0,-1346.7,-2761.0,-9189.9,-3048.6,-1113.6,-9244.5,-1113.0,,-4790.3,-1404.4,-1675.5,-1045.7,-3672.3,-827.0,-1200.0,-1296.7,-5036.0,-1966.0,-3067.8,-178.1,-2442.0,342.5,-1982.1,-5749.0,,True,True,True,True,False,True,True,True,,True,False,True,True,False,False,False,True,False,True,,False,True,True,True,False,True,True,True,False,True,False,True,False,True,True,False
