,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Missouri,30266,26493.0,39867.1,26308.7,26546.0,22555.0,,26779.6,41110.0,27440.9,22097.4,29983.8,,26202.9,29692.0,28192.0,31319.1,18096.6,28892.0,15165.0,33042.0,24465.8,25504.0,28864.2,27179.1,26793.3,25342.0,26077.0,,29421.3,20886.9,,26708.0,44651.3,29214.5,,25737.0,25003.2,,-3773.0,9601.1,-3957.3,-3720.0,-7711.0,,-3486.4,10844.0,-2825.1,-8168.6,-282.2,,-4063.1,-574.0,-2074.0,1053.1,-12169.4,-1374.0,-15101.0,2776.0,-5800.2,-4762.0,-1401.8,-3086.9,-3472.7,-4924.0,-4189.0,,-844.7,-9379.1,,-3558.0,14385.3,-1051.5,,-4529.0,-5262.8,,False,False,True,False,,True,False,True,False,True,,False,True,True,True,False,True,False,True,False,False,True,True,True,False,False,,True,False,,True,False,True,,False,False,
Montana,5575,6224.0,4807.7,6167.6,5753.0,4312.0,,6391.6,5152.0,4733.2,4803.7,3587.4,,4765.3,5269.0,6912.0,8460.2,5732.5,6959.0,2594.6,6081.0,5316.7,4796.0,5996.3,6734.4,6473.0,5796.0,6256.0,,5590.0,6771.1,,5773.2,11165.6,7707.9,,5525.0,7435.8,1039.9,649.0,-767.3,592.6,178.0,-1263.0,,816.6,-423.0,-841.8,-771.3,-1987.6,,-809.7,-306.0,1337.0,2885.2,157.5,1384.0,-2980.4,506.0,-258.3,-779.0,421.3,1159.4,898.0,221.0,681.0,,15.0,1196.1,,198.2,5590.6,2132.9,,-50.0,1860.8,-4535.1,False,True,True,False,,False,True,False,False,False,,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,,True,False,,True,False,False,,True,False,False
Nebraska,9120,13245.0,18144.7,12747.9,12709.0,12752.0,,13179.9,16209.0,11745.0,17610.5,13040.6,,11073.9,13250.0,14801.0,12504.7,10933.5,13204.0,7712.8,11421.0,12098.2,12543.5,11927.4,13420.3,13109.3,12824.0,12811.0,,16607.8,17010.9,,12634.5,22769.9,14273.2,,12471.0,15371.0,1735.1,4125.0,9024.7,3627.9,3589.0,3632.0,,4059.9,7089.0,2625.0,8490.5,3920.6,,1953.9,4130.0,5681.0,3384.7,1813.5,4084.0,-1407.2,2301.0,2978.2,3423.5,2807.4,4300.3,3989.3,3704.0,3691.0,,7487.8,7890.9,,3514.5,13649.9,5153.2,,3351.0,6251.0,-7384.9,False,True,True,True,,True,False,True,False,True,,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,,False,False,,True,False,False,,True,False,False
Nevada,18321,16399.0,22377.8,17201.7,18104.0,14795.0,,18554.7,22352.0,18089.1,15446.9,22580.3,,20085.0,17862.0,17112.0,19543.4,19711.2,16901.0,11620.7,17343.5,23247.6,18980.5,19040.5,18484.9,18934.2,18262.0,16154.0,,19850.2,20706.2,,16241.6,26386.3,16394.4,,16661.0,15716.9,3478.5,-1922.0,4056.8,-1119.3,-217.0,-3526.0,,233.7,4031.0,-231.9,-2874.1,4259.3,,1764.0,-459.0,-1209.0,1222.4,1390.2,-1420.0,-6700.3,-977.5,4926.6,659.5,719.5,163.9,613.2,-59.0,-2167.0,,1529.2,2385.2,,-2079.4,8065.3,-1926.6,,-1660.0,-2604.1,-14842.5,False,True,True,False,,True,False,True,False,False,,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,,True,False,,False,False,False,,True,False,False
New Hampshire,5752,4207.0,7430.8,4135.9,4523.0,4396.0,,4041.6,7052.0,2762.3,5064.6,4219.6,,4531.4,4715.0,4555.0,4489.4,5801.0,5445.0,3997.9,4211.5,5725.0,4848.0,4644.6,5212.6,5159.9,4351.0,4468.0,,5067.8,6020.8,,4526.2,4310.0,3745.4,,4505.0,5239.4,741.2,-1545.0,1678.8,-1616.1,-1229.0,-1356.0,,-1710.4,1300.0,-2989.7,-687.4,-1532.4,,-1220.6,-1037.0,-1197.0,-1262.6,49.0,-307.0,-1754.1,-1540.5,-27.0,-904.0,-1107.4,-539.4,-592.1,-1401.0,-1284.0,,-684.2,268.8,,-1225.8,-1442.0,-2006.6,,-1247.0,-512.6,-5010.8,False,False,True,True,,False,True,False,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,,True,True,False,,True,True,False
New Jersey,39252,32433.0,37015.7,32652.5,34746.0,33628.0,,32459.7,48634.0,35606.5,33975.1,35234.0,,37727.4,28232.0,33124.0,35445.0,34570.3,31852.0,26295.5,34178.0,36922.4,33415.5,38784.4,39052.7,38651.1,34010.0,33446.0,,42119.9,48144.1,,38065.6,44750.5,36461.3,,34425.0,57896.6,5373.0,-6819.0,-2236.3,-6599.5,-4506.0,-5624.0,,-6792.3,9382.0,-3645.5,-5276.9,-4018.0,,-1524.6,-11020.0,-6128.0,-3807.0,-4681.7,-7400.0,-12956.5,-5074.0,-2329.6,-5836.5,-467.6,-199.3,-600.9,-5242.0,-5806.0,,2867.9,8892.1,,-1186.4,5498.5,-2790.7,,-4827.0,18644.6,-33879.0,True,True,True,True,,True,False,True,True,True,,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,False,,True,True,True,,True,False,False
New Mexico,11502,12874.0,15443.5,13316.7,12979.0,10781.0,,15631.4,17153.0,13831.1,13090.3,14221.3,,13171.9,14357.0,12604.0,17170.1,13353.3,13110.0,8719.4,16333.5,11831.3,10358.0,12214.9,12805.5,13044.8,13087.0,11633.0,,10244.2,8978.0,,12919.9,25603.4,13508.5,,11124.0,16032.8,3986.5,1372.0,3941.5,1814.7,1477.0,-721.0,,4129.4,5651.0,2329.1,1588.3,2719.3,,1669.9,2855.0,1102.0,5668.1,1851.3,1608.0,-2782.6,4831.5,329.3,-1144.0,712.9,1303.5,1542.8,1585.0,131.0,,-1257.8,-2524.0,,1417.9,14101.4,2006.5,,-378.0,4530.8,-7515.5,False,False,False,True,,False,False,False,False,False,,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,,True,False,,False,False,False,,True,False,False
New York,69545,61687.0,63870.0,61650.0,68101.0,70467.0,,60097.6,83729.0,53644.7,77448.9,86717.2,,80844.9,51669.0,58949.0,58471.0,95255.4,65131.0,56652.8,59979.5,78298.7,78504.5,81951.3,75317.2,75695.0,69309.0,68677.0,,93243.7,48649.8,,62023.8,67493.8,62514.5,,67729.0,77501.6,10923.5,-7858.0,-5675.0,-7895.0,-1444.0,922.0,,-9447.4,14184.0,-15900.3,7903.9,17172.2,,11299.9,-17876.0,-10596.0,-11074.0,25710.4,-4414.0,-12892.2,-9565.5,8753.7,8959.5,12406.3,5772.2,6150.0,-236.0,-868.0,,23698.7,-20895.2,,-7521.2,-2051.2,-7030.5,,-1816.0,7956.6,-58621.5,True,False,True,True,,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,,False,False,,True,True,True,,True,False,False
North Carolina,41224,30594.0,35297.5,31083.8,33081.0,31700.0,,28893.5,29174.0,27250.9,30365.5,33818.3,,36930.1,32243.0,34370.0,34492.5,33681.3,32839.0,23016.5,28759.0,34466.3,36424.5,41464.3,40694.0,40260.0,35365.0,32553.0,,40327.2,28607.3,,29852.0,36923.7,32673.5,,36948.0,35068.2,5212.4,-10630.0,-5926.5,-10140.2,-8143.0,-9524.0,,-12330.5,-12050.0,-13973.1,-10858.5,-7405.7,,-4293.9,-8981.0,-6854.0,-6731.5,-7542.7,-8385.0,-18207.5,-12465.0,-6757.7,-4799.5,240.3,-530.0,-964.0,-5859.0,-8671.0,,-896.8,-12616.7,,-11372.0,-4300.3,-8550.5,,-4276.0,-6155.8,-36011.6,True,True,True,True,,False,False,False,False,True,,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,False,,False,True,True,,True,True,False
North Dakota,5086,4569.0,4488.5,4466.8,4099.0,2850.0,,5322.4,4559.0,3833.6,4100.7,2899.4,,3467.6,4238.0,4881.0,6013.5,2989.1,4711.0,2340.8,3780.5,3754.5,2700.5,3892.1,4521.4,4212.7,3696.0,4464.0,,2594.3,6032.2,,3908.4,12379.6,4646.1,,3766.0,5792.8,816.2,-517.0,-597.5,-619.2,-987.0,-2236.0,,236.4,-527.0,-1252.4,-985.3,-2186.6,,-1618.4,-848.0,-205.0,927.5,-2096.9,-375.0,-2745.2,-1305.5,-1331.5,-2385.5,-1193.9,-564.6,-873.3,-1390.0,-622.0,,-2491.7,946.2,,-1177.6,7293.6,-439.9,,-1320.0,706.8,-4269.8,False,False,False,False,,True,False,False,False,False,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,,False,False,False
Ohio,86029,60729.0,81958.3,59019.6,64095.0,57988.0,,68999.6,103438.0,51186.3,66573.0,73909.6,,66896.1,73636.0,64570.0,73939.8,66290.6,59756.0,41658.8,66287.5,65349.9,54581.5,64094.9,69360.0,68491.4,66840.0,58841.0,,67088.8,54687.8,,63742.1,100696.7,62230.0,48346.5,58504.0,89332.0,12354.3,-25300.0,-4070.7,-27009.4,-21934.0,-28041.0,,-17029.4,17409.0,-34842.7,-19456.0,-12119.4,,-19132.9,-12393.0,-21459.0,-12089.2,-19738.4,-26273.0,-44370.2,-19741.5,-20679.1,-31447.5,-21934.1,-16669.0,-17537.6,-19189.0,-27188.0,,-18940.2,-31341.2,,-22286.9,14667.7,-23799.0,-37682.5,-27525.0,3303.0,-73674.7,True,False,True,False,,True,True,False,True,True,,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,,True,False,,True,True,True,False,False,True,False
Oklahoma,20091,19421.0,28138.5,18945.6,20529.0,18888.0,,23284.3,37207.0,15541.1,13134.9,31355.5,,20952.2,22790.0,23053.0,22242.8,19254.7,18761.0,10766.1,22206.5,16574.3,18463.5,21756.5,22838.0,22835.2,22716.0,18141.0,,27929.9,11433.7,,20106.1,34034.5,21613.8,,21607.0,28677.3,3994.1,-670.0,8047.5,-1145.4,438.0,-1203.0,,3193.3,17116.0,-4549.9,-6956.1,11264.5,,861.2,2699.0,2962.0,2151.8,-836.3,-1330.0,-9324.9,2115.5,-3516.7,-1627.5,1665.5,2747.0,2744.2,2625.0,-1950.0,,7838.9,-8657.3,,15.1,13943.5,1522.8,,1516.0,8586.3,-16096.9,False,False,True,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,,False,False,False
Oregon,9596,10737.0,15924.1,10717.9,11359.0,11462.0,,10770.6,14165.0,7076.6,11915.8,12087.1,,12006.0,11971.0,11256.0,12415.7,13421.0,12550.0,8826.1,10952.5,14912.4,11210.0,10940.1,12375.2,12192.9,12049.0,10880.0,,13135.0,5986.5,,11673.7,13706.6,12523.2,,10886.0,13434.1,1991.1,1141.0,6328.1,1121.9,1763.0,1866.0,,1174.6,4569.0,-2519.4,2319.8,2491.1,,2410.0,2375.0,1660.0,2819.7,3825.0,2954.0,-769.9,1356.5,5316.4,1614.0,1344.1,2779.2,2596.9,2453.0,1284.0,,3539.0,-3609.5,,2077.7,4110.6,2927.2,,1290.0,3838.1,-7604.9,False,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Pennsylvania,69695,59690.0,73283.7,59567.1,64624.0,64624.0,,58342.3,87332.0,57928.0,77602.4,77846.9,,69898.1,66306.0,58523.0,62953.5,73289.4,55673.0,49837.1,61850.0,86108.6,67808.5,68002.1,64956.4,65341.6,65276.0,61469.0,,88597.6,71143.4,,57614.7,78323.8,56952.6,64749.1,63635.0,83908.6,10494.0,-10005.0,3588.7,-10127.9,-5071.0,-5071.0,,-11352.7,17637.0,-11767.0,7907.4,8151.9,,203.1,-3389.0,-11172.0,-6741.5,3594.4,-14022.0,-19857.9,-7845.0,16413.6,-1886.5,-1692.9,-4738.6,-4353.4,-4419.0,-8226.0,,18902.6,1448.4,,-12080.3,8628.8,-12742.4,-4945.9,-6060.0,14213.6,-59201.0,True,False,True,True,,False,False,False,True,True,,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True,,False,True,,False,True,False,True,True,False,False
Rhode Island,8681,8183.0,8822.0,8084.6,8046.0,5707.0,,7482.4,7567.0,237479.1,9051.4,1580.1,,5442.9,7985.0,8774.0,8655.9,10207.0,9248.0,4353.1,7221.5,10972.3,7302.5,6983.4,8678.0,8638.0,7148.0,8432.0,,7976.0,8461.3,,8040.1,10049.3,5843.8,,6139.0,9096.8,1121.8,-498.0,141.0,-596.4,-635.0,-2974.0,,-1198.6,-1114.0,228798.1,370.4,-7100.9,,-3238.1,-696.0,93.0,-25.1,1526.0,567.0,-4327.9,-1459.5,2291.3,-1378.5,-1697.6,-3.0,-43.0,-1533.0,-249.0,,-705.0,-219.7,,-640.9,1368.3,-2837.2,,-2542.0,415.8,-7559.2,True,False,False,False,,False,False,False,True,False,,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,,False,True,,False,False,False,,False,True,False
South Carolina,19563,14324.0,15476.8,14045.1,15348.0,14241.0,,11709.7,17366.0,12207.0,14722.6,20738.6,,16577.1,14958.0,15996.0,13852.9,13582.9,15830.0,9813.0,12212.5,15371.8,17194.0,19130.9,17821.5,17520.8,16329.0,15934.0,,21629.2,13675.9,,15394.5,15567.1,18485.7,,17277.0,15776.7,1787.4,-5239.0,-4086.2,-5517.9,-4215.0,-5322.0,,-7853.3,-2197.0,-7356.0,-4840.4,1175.6,,-2985.9,-4605.0,-3567.0,-5710.1,-5980.1,-3733.0,-9750.0,-7350.5,-4191.2,-2369.0,-432.1,-1741.5,-2042.2,-3234.0,-3629.0,,2066.2,-5887.1,,-4168.5,-3995.9,-1077.3,,-2286.0,-3786.3,-17775.6,True,False,True,False,,False,True,False,True,True,,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,,True,False,,True,True,True,,True,True,False
South Dakota,5103,6205.0,6297.3,6325.7,6152.0,4183.0,,6165.4,6749.0,4395.8,5883.8,5592.3,,5103.0,5703.0,6145.0,7091.0,5038.4,6776.0,2828.8,5353.5,5632.0,4545.5,5401.1,6162.8,5835.6,5721.0,6156.0,,7225.7,5484.7,,7286.6,11868.1,6708.9,,5433.0,7265.1,799.0,1102.0,1194.3,1222.7,1049.0,-920.0,,1062.4,1646.0,-707.2,780.8,489.3,,0.0,600.0,1042.0,1988.0,-64.6,1673.0,-2274.2,250.5,529.0,-557.5,298.1,1059.8,732.6,618.0,1053.0,,2122.7,381.7,,2183.6,6765.1,1605.9,,330.0,2162.1,-4304.0,False,False,True,True,,True,False,True,True,True,,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,,False,True,,False,False,False,,True,False,False
Tennessee,45431,34056.0,28337.8,34182.5,33991.0,31910.0,,33736.4,34530.0,30578.4,27150.2,34820.5,,31078.4,36490.0,33926.0,35371.8,35247.3,41972.0,19460.1,34838.0,39754.7,29384.0,29742.1,32609.5,32583.7,37765.0,35462.0,,31448.0,30012.9,,34238.5,44825.7,35114.0,,31876.0,39714.2,4182.5,-11375.0,-17093.2,-11248.5,-11440.0,-13521.0,,-11694.6,-10901.0,-14852.6,-18280.8,-10610.5,,-14352.6,-8941.0,-11505.0,-10059.2,-10183.7,-3459.0,-25970.9,-10593.0,-5676.3,-16047.0,-15688.9,-12821.5,-12847.3,-7666.0,-9969.0,,-13983.0,-15418.1,,-11192.5,-605.3,-10317.0,,-13555.0,-5716.8,-41248.5,False,True,False,False,,False,True,False,False,True,,False,True,False,True,True,True,False,True,True,False,False,False,False,True,True,,False,False,,True,True,True,,False,True,False
Texas,99387,98066.0,94796.8,100790.0,98325.0,111019.0,,83841.8,110406.0,100021.4,104572.3,84557.9,,86053.5,95327.0,85923.0,103959.0,121430.5,74867.0,71767.3,80330.5,100868.7,99024.0,97244.4,90506.9,90019.4,90255.0,102944.0,,108789.9,106832.4,,104820.9,106535.2,118984.6,,94489.0,115743.2,12902.7,-1321.0,-4590.2,1403.0,-1062.0,11632.0,,-15545.2,11019.0,634.4,5185.3,-14829.1,,-13333.5,-4060.0,-13464.0,4572.0,22043.5,-24520.0,-27619.7,-19056.5,1481.7,-363.0,-2142.6,-8880.1,-9367.6,-9132.0,3557.0,,9402.9,7445.4,,5433.9,7148.2,19597.6,,-4898.0,16356.2,-86484.3,False,False,True,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Utah,18977,20757.0,17275.9,20035.7,20230.0,16481.0,,21285.4,31664.0,14331.4,19092.9,18334.8,,19345.3,23143.0,20370.0,27100.3,17941.6,19245.0,11556.8,18832.5,20740.7,16247.5,20657.1,22150.9,21631.9,18901.0,20424.0,,29759.4,19308.7,,21213.8,31539.1,15470.1,,20091.0,22224.0,2805.4,1780.0,-1701.1,1058.7,1253.0,-2496.0,,2308.4,12687.0,-4645.6,115.9,-642.2,,368.3,4166.0,1393.0,8123.3,-1035.4,268.0,-7420.2,-144.5,1763.7,-2729.5,1680.1,3173.9,2654.9,-76.0,1447.0,,10782.4,331.7,,2236.8,12562.1,-3506.9,,1114.0,3247.0,-16171.6,True,True,True,False,,False,False,False,True,True,,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,,False,True,,False,False,False,,True,False,False
Vermont,732,861.0,1261.6,910.9,906.0,1068.0,,732.5,1731.0,695.9,924.8,1134.3,,800.2,880.0,817.0,908.5,991.2,997.0,585.7,754.0,1297.9,776.0,903.8,1051.5,1058.3,898.0,976.0,,1238.3,1200.6,,1073.8,944.6,983.5,,875.0,860.5,144.7,129.0,529.6,178.9,174.0,336.0,,0.5,999.0,-36.1,192.8,402.3,,68.2,148.0,85.0,176.5,259.2,265.0,-146.3,22.0,565.9,44.0,171.8,319.5,326.3,166.0,244.0,,506.3,468.6,,341.8,212.6,251.5,,143.0,128.5,-587.3,False,False,False,False,,True,False,True,False,False,,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,,False,False,,False,False,False,,False,True,False
Virginia,27442,17556.0,17637.8,17289.6,19381.0,16649.0,,19371.6,19700.0,21120.7,20607.3,26465.1,,22779.3,18305.0,18524.0,21549.4,20300.4,17896.0,14139.8,17751.0,23040.4,24733.0,25738.2,23785.2,23677.0,20994.0,18692.0,,19389.9,15219.8,,17541.0,24036.5,22289.9,,20676.0,19800.5,4376.3,-9886.0,-9804.2,-10152.4,-8061.0,-10793.0,,-8070.4,-7742.0,-6321.3,-6834.7,-976.9,,-4662.7,-9137.0,-8918.0,-5892.6,-7141.6,-9546.0,-13302.2,-9691.0,-4401.6,-2709.0,-1703.8,-3656.8,-3765.0,-6448.0,-8750.0,,-8052.1,-12222.2,,-9901.0,-3405.5,-5152.1,,-6766.0,-7641.5,-23065.7,True,False,True,False,,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,False,,False,True,True,,True,True,False
Washington,25636,15159.0,30712.6,14894.7,15159.0,14332.0,,20183.7,35473.0,13468.6,16952.1,9969.6,,14747.1,16511.0,14269.0,19917.1,20287.5,17461.0,15121.1,20931.5,17824.9,8640.0,15046.2,20048.1,19828.6,18175.0,14272.0,,11182.1,26598.3,,17849.5,30178.2,18005.1,,13405.0,21229.9,,-10477.0,5076.6,-10741.3,-10477.0,-11304.0,,-5452.3,9837.0,-12167.4,-8683.9,-15666.4,,-10888.9,-9125.0,-11367.0,-5718.9,-5348.5,-8175.0,-10514.9,-4704.5,-7811.1,-16996.0,-10589.8,-5587.9,-5807.4,-7461.0,-11364.0,,-14453.9,962.3,,-7786.5,4542.2,-7630.9,,-12231.0,-4406.1,,True,False,False,False,,True,True,False,True,False,,False,True,False,True,True,True,False,True,True,False,False,True,True,True,False,,False,True,,True,True,True,,False,True,
West Virginia,8579,7727.0,7575.1,7993.2,8332.0,7292.0,,7745.0,11183.0,6473.0,7846.2,9142.5,,9168.4,8050.0,7404.0,8618.6,8350.6,8002.0,4372.4,7773.5,10957.1,8314.0,8955.2,8860.1,8796.8,8398.0,8026.0,,8893.8,6653.3,,8583.6,10379.8,8444.0,,8727.0,8935.6,1410.9,-852.0,-1003.9,-585.8,-247.0,-1287.0,,-834.0,2604.0,-2106.0,-732.8,563.5,,589.4,-529.0,-1175.0,39.6,-228.4,-577.0,-4206.6,-805.5,2378.1,-265.0,376.2,281.1,217.8,-181.0,-553.0,,314.8,-1925.7,,4.6,1800.8,-135.0,,148.0,356.6,-7168.1,False,True,True,False,,True,False,False,True,True,,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,,True,False,,True,False,True,,True,True,False
Wisconsin,28073,32919.0,37725.8,31553.1,29836.0,25478.0,,32068.0,29037.0,26364.9,28418.2,30734.1,,25530.3,33367.0,27330.0,34824.6,23090.0,28111.0,18385.8,29994.5,27689.5,23098.5,30872.9,31012.5,29806.7,28760.0,33105.0,,37871.7,23097.2,,32240.5,63457.6,31538.2,35477.6,26372.0,37652.8,4501.2,4846.0,9652.8,3480.1,1763.0,-2595.0,,3995.0,964.0,-1708.1,345.2,2661.1,,-2542.7,5294.0,-743.0,6751.6,-4983.0,38.0,-9687.2,1921.5,-383.5,-4974.5,2799.9,2939.5,1733.7,687.0,5032.0,,9798.7,-4975.8,,4167.5,35384.6,3465.2,7404.6,-1701.0,9579.8,-23571.8,False,True,True,True,,True,True,True,True,True,,True,False,True,False,False,True,False,True,True,False,True,True,True,True,False,,False,False,,True,False,True,False,True,False,False
Wyoming,2966,3938.0,4838.0,4002.4,3793.0,3596.0,,4350.5,6115.0,2464.9,3339.4,1323.1,,2928.6,4227.0,3889.0,4437.3,3438.2,4698.0,1563.2,3942.5,2600.1,2419.5,3183.8,4001.7,3899.1,3522.0,3723.0,,2101.0,7006.7,,3847.8,8330.5,4099.5,,3119.0,4835.6,678.7,972.0,1872.0,1036.4,827.0,630.0,,1384.5,3149.0,-501.1,373.4,-1642.9,,-37.4,1261.0,923.0,1471.3,472.2,1732.0,-1402.8,976.5,-365.9,-546.5,217.8,1035.7,933.1,556.0,757.0,,-865.0,4040.7,,881.8,5364.5,1133.5,,153.0,1869.6,-2287.3,False,False,True,True,,False,False,True,True,False,,True,False,True,False,True,False,False,False,True,True,True,False,True,True,True,,True,False,,True,False,False,,True,False,False
US,1511774,1336636.0,1553690.9,1337230.8,1412966.0,1324683.0,1596358.0,1311035.1,1724177.0,1781410.5,1423060.0,,1625628.0,1432372.8,1371696.0,1369846.0,1445439.9,1491978.4,1308513.0,928392.1,,1490473.4,1431771.5,1412965.7,1438521.1,1427929.7,1371486.0,1660986.0,1269563.0,1627714.8,1114344.0,1404507.0,1402343.6,,1402658.6,1457907.3,1339401.0,1666035.3,,-175138.0,41916.9,-174543.2,-98808.0,-187091.0,84584.0,-200738.9,212403.0,269636.5,-88714.0,,113854.0,-79401.2,-140078.0,-141928.0,-66334.1,-19795.6,-203261.0,-583381.9,,-21300.6,-80002.5,-98808.3,-73252.9,-83844.3,-140288.0,149212.0,-242211.0,115940.8,-397430.0,-107267.0,-109430.4,,-109115.4,-53866.7,-172373.0,154261.3,,True,True,True,False,True,False,False,False,True,,True,True,True,True,True,True,False,False,,True,True,True,True,True,True,True,False,True,False,True,True,,True,True,True,True,
