,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
North Carolina,120658,71492.0,52373.0,71234.1,80926.0,75705.0,,39436.0,119238.1,76320.1,,74869.0,89690.5,72055.1,115126.0,93387.2,78308.5,83640.9,80860.5,102799.1,93696.8,,90028.7,44277.8,,85685.9,97958.9,62832.7,84666.1,66245.0,93964.7,-49166.0,-68285.0,-49423.9,-39732.0,-44953.0,,-81222.0,-1419.9,-44337.9,,-45789.0,-30967.5,-48602.9,-5532.0,-27270.8,-42349.5,-37017.1,-39797.5,-17858.9,-26961.2,,-30629.3,-76380.2,,-34972.1,-22699.1,-57825.3,-35991.9,-54413.0,-26693.3,False,False,True,True,,False,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,False,True,False,True
North Dakota,24718,38672.0,34999.3,38269.3,40315.0,31930.0,,39636.0,58202.5,49075.3,,40734.0,58384.1,25671.3,60952.0,15360.4,57637.0,62196.5,36916.5,44745.4,51319.9,,49546.6,26143.8,,31839.5,56375.0,51169.1,17065.3,28709.0,43779.6,13954.0,10281.3,13551.3,15597.0,7212.0,,14918.0,33484.5,24357.3,,16016.0,33666.1,953.3,36234.0,-9357.6,32919.0,37478.5,12198.5,20027.4,26601.9,,24828.6,1425.8,,7121.5,31657.0,26451.1,-7652.7,3991.0,19061.6,True,True,False,True,,False,False,False,,False,False,True,False,True,False,False,True,False,False,,False,True,,True,False,False,True,True,False
Ohio,263218,178064.0,281107.1,171878.2,237816.0,239173.0,,45671.0,261435.8,258851.0,,204610.0,189843.7,450609.3,276712.0,195897.7,253959.0,344321.1,397253.0,309685.5,295308.6,,276076.0,270376.8,,90070.0,183485.8,636722.2,265636.4,146629.0,301628.4,-85154.0,17889.1,-91339.8,-25402.0,-24045.0,,-217547.0,-1782.2,-4367.0,,-58608.0,-73374.3,187391.3,13494.0,-67320.3,-9259.0,81103.1,134035.0,46467.5,32090.6,,12858.0,7158.8,,-173148.0,-79732.2,373504.2,2418.4,-116589.0,38410.4,True,False,True,True,,False,True,True,,True,True,False,True,True,True,True,False,True,True,,True,True,,False,True,False,True,False,True
Oklahoma,83131,73816.0,101115.8,72533.1,80891.0,106383.0,,28779.0,78431.6,77793.8,,90038.0,68840.6,171475.1,96160.0,35526.9,64939.5,122743.3,108706.5,111195.8,94573.7,,122554.2,30960.5,,38546.1,43570.3,57164.6,95492.3,42901.0,97114.0,-9315.0,17984.8,-10597.9,-2240.0,23252.0,,-54352.0,-4699.4,-5337.2,,6907.0,-14290.4,88344.1,13029.0,-47604.1,-18191.5,39612.3,25575.5,28064.8,11442.7,,39423.2,-52170.5,,-44584.9,-39560.7,-25966.4,12361.3,-40230.0,13983.0,False,False,True,False,,False,True,True,,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Oregon,36821,25724.0,30625.9,25715.2,32475.0,31715.0,,11082.0,28073.5,35609.2,,26432.0,31568.9,70800.9,42337.0,32387.9,31570.0,79400.7,38178.5,38179.4,36656.8,,46974.4,18791.8,,13365.6,26087.6,54795.5,39802.7,31389.0,40828.4,-11097.0,-6195.1,-11105.8,-4346.0,-5106.0,,-25739.0,-8747.5,-1211.8,,-10389.0,-5252.1,33979.9,5516.0,-4433.1,-5251.0,42579.7,1357.5,1358.4,-164.2,,10153.4,-18029.2,,-23455.4,-10733.4,17974.5,2981.7,-5432.0,4007.4,True,False,True,True,,False,True,True,,True,True,False,True,True,True,False,True,True,True,,True,False,,False,True,False,True,True,True
Pennsylvania,221108,126916.0,243163.8,128122.1,179443.0,204786.0,,123332.0,215047.8,171053.3,,131614.0,158178.8,390949.6,202260.0,184274.5,160457.5,290572.9,232416.5,202492.1,182423.4,,,77601.4,,98375.5,120618.7,387787.7,166090.7,128308.0,180661.7,-94192.0,22055.8,-92985.9,-41665.0,-16322.0,,-97776.0,-6060.2,-50054.7,,-89494.0,-62929.2,169841.6,-18848.0,-36833.5,-60650.5,69464.9,11308.5,-18615.9,-38684.6,,,-143506.6,,-122732.5,-100489.3,166679.7,-55017.3,-92800.0,-40446.3,True,True,True,True,,False,True,True,,True,True,False,True,True,True,True,True,True,True,,,False,,False,False,False,True,True,True
Rhode Island,29289,20596.0,22984.5,20751.1,21759.0,15621.0,,19004.0,2447364.2,32023.8,,20473.0,24463.1,32583.2,30963.0,12841.4,25343.5,38343.4,22093.0,23598.4,28452.6,,17660.7,35325.3,,16701.3,22891.7,42362.8,7277.6,9483.0,19811.7,-8693.0,-6304.5,-8537.9,-7530.0,-13668.0,,-10285.0,2418075.2,2734.8,,-8816.0,-4825.9,3294.2,1674.0,-16447.6,-3945.5,9054.4,-7196.0,-5690.6,-836.4,,-11628.3,6036.3,,-12587.7,-6397.3,13073.8,-22011.4,-19806.0,-9477.3,True,True,True,False,,False,False,True,,False,True,True,True,False,True,False,True,True,True,,False,True,,False,True,False,False,False,False
South Carolina,54784,37088.0,32959.3,37196.3,39438.0,44944.0,,13362.0,42470.1,64514.0,,37688.0,42797.0,36655.6,59994.0,36167.6,36916.0,28740.9,41512.0,60613.0,50184.4,,54302.4,19763.2,,19819.2,42590.6,33760.2,53670.5,40089.0,42887.5,-17696.0,-21824.7,-17587.7,-15346.0,-9840.0,,-41422.0,-12313.9,9730.0,,-17096.0,-11987.0,-18128.4,5210.0,-18616.4,-17868.0,-26043.1,-13272.0,5829.0,-4599.6,,-481.6,-35020.8,,-34964.8,-12193.4,-21023.8,-1113.5,-14695.0,-11896.5,False,True,True,True,,False,True,True,,True,True,False,True,False,False,False,True,True,True,,True,False,,False,True,False,True,True,True
South Dakota,26225,40824.0,39891.7,41355.4,42525.0,42744.0,,27017.0,69265.1,38566.4,,39232.0,57891.3,39560.4,67401.0,14627.7,56150.5,58941.7,40355.5,45713.7,51275.9,,63196.3,27062.6,,25533.8,51842.8,56397.2,20835.6,0.0,46893.5,14599.0,13666.7,15130.4,16300.0,16519.0,,792.0,43040.1,12341.4,,13007.0,31666.3,13335.4,41176.0,-11597.3,29925.5,32716.7,14130.5,19488.7,25050.9,,36971.3,837.6,,-691.2,25617.8,30172.2,-5389.4,-26225.0,20668.5,True,False,False,False,,True,False,True,,True,False,True,False,True,False,False,True,False,False,,False,True,,True,False,False,True,False,False
Tennessee,137833,107620.0,182190.5,113773.0,117895.0,146134.0,,40163.0,160257.8,128605.7,,110497.0,125287.6,220289.7,169116.0,73112.0,112670.0,178204.3,156100.5,164682.7,139846.1,,122348.5,78214.4,,91425.7,102737.5,87027.4,121486.9,66072.0,130216.6,-30213.0,44357.5,-24060.0,-19938.0,8301.0,,-97670.0,22424.8,-9227.3,,-27336.0,-12545.4,82456.7,31283.0,-64721.0,-25163.0,40371.3,18267.5,26849.7,2013.1,,-15484.5,-59618.6,,-46407.3,-35095.5,-50805.6,-16346.1,-71761.0,-7616.4,False,True,True,True,,False,True,True,,True,True,False,False,False,True,False,True,True,True,,True,False,,False,False,False,True,False,True
Texas,366820,268672.0,348278.8,268864.1,310284.0,338707.0,,67614.0,348170.2,267726.9,,320145.0,342804.1,662841.9,362881.0,269922.7,284177.5,334699.0,344241.0,345940.9,318547.4,,438015.4,159704.6,,141102.7,306982.7,208641.7,237878.6,242427.0,266153.4,-98148.0,-18541.2,-97955.9,-56536.0,-28113.0,,-299206.0,-18649.8,-99093.1,,-46675.0,-24015.9,296021.9,-3939.0,-96897.3,-82642.5,-32121.0,-22579.0,-20879.1,-48272.6,,71195.4,-207115.4,,-225717.3,-59837.3,-158178.3,-128941.4,-124393.0,-100666.6,True,True,True,True,,False,True,False,,True,True,False,True,True,True,True,True,True,True,,True,False,,False,True,False,False,False,False
Utah,80680,83624.0,102981.1,85932.6,89523.0,68617.0,,18133.0,108844.8,98831.7,,87014.0,107355.5,82439.1,95530.0,58957.1,103429.0,144195.4,106308.5,111126.2,111090.6,,125733.6,64187.9,,70324.1,88408.5,137358.5,58042.0,42288.0,73274.1,2944.0,22301.1,5252.6,8843.0,-12063.0,,-62547.0,28164.8,18151.7,,6334.0,26675.5,1759.1,14850.0,-21722.9,22749.0,63515.4,25628.5,30446.2,30410.6,,45053.6,-16492.1,,-10355.9,7728.5,56678.5,-22638.0,-38392.0,-7405.9,False,False,False,False,,False,False,False,,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Vermont,2783,1984.0,1883.0,2086.2,2461.0,4961.0,,672.0,2273.4,5751.4,,2180.0,1196.7,29446.8,3435.0,2224.2,2388.0,11284.0,5740.5,2535.5,3175.5,,6582.7,1258.1,,1128.0,1071.2,23102.0,9819.5,3995.0,3339.2,-799.0,-900.0,-696.8,-322.0,2178.0,,-2111.0,-509.6,2968.4,,-603.0,-1586.3,26663.8,652.0,-558.8,-395.0,8501.0,2957.5,-247.5,392.5,,3799.7,-1524.9,,-1655.0,-1711.8,20319.0,7036.5,1212.0,556.2,False,True,True,False,,False,True,False,,True,False,False,True,True,True,False,False,True,True,,False,False,,False,False,False,False,False,True
Virginia,77816,39704.0,114840.3,39034.2,43091.0,42696.0,,23801.0,68638.7,52552.0,,40339.0,49080.1,64545.5,69099.0,57053.8,45255.5,49684.7,42318.5,42215.7,51348.3,,42701.6,16582.4,,28465.7,54604.3,36149.8,29186.3,44096.0,46423.9,-38112.0,37024.3,-38781.8,-34725.0,-35120.0,,-54015.0,-9177.3,-25264.0,,-37477.0,-28735.9,-13270.5,-8717.0,-20762.2,-32560.5,-28131.3,-35497.5,-35600.3,-26467.7,,-35114.4,-61233.6,,-49350.3,-23211.7,-41666.2,-48629.7,-33720.0,-31392.1,True,False,True,True,,False,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,False,False,True,True
Washington,75326,46880.0,84624.2,46251.0,63063.0,72360.0,,12635.0,57603.9,96559.4,,45707.0,46069.3,119090.4,72599.0,71519.6,57329.5,170395.7,85609.0,76934.1,74751.4,,76257.7,31622.5,,33000.8,47581.1,70968.5,106955.0,57938.0,78568.0,-28446.0,9298.2,-29075.0,-12263.0,-2966.0,,-62691.0,-17722.1,21233.4,,-29619.0,-29256.7,43764.4,-2727.0,-3806.4,-17996.5,95069.7,10283.0,1608.1,-574.6,,931.7,-43703.5,,-42325.2,-27744.9,-4357.5,31629.0,-17388.0,3242.0,True,False,True,True,,False,True,True,,False,False,False,True,True,True,False,True,True,True,,True,False,,False,True,True,False,True,True
West Virginia,29359,20732.0,31464.1,20657.9,26724.0,33537.0,,10408.0,25792.1,31654.5,,18594.0,24923.4,60011.6,32533.0,17365.8,25108.5,28550.7,28118.0,33349.8,29598.6,,35312.9,13442.4,,11265.8,19027.5,46073.4,36183.6,12913.0,28160.0,-8627.0,2105.1,-8701.1,-2635.0,4178.0,,-18951.0,-3566.9,2295.5,,-10765.0,-4435.6,30652.6,3174.0,-11993.2,-4250.5,-808.3,-1241.0,3990.8,239.6,,5953.9,-15916.6,,-18093.2,-10331.5,16714.4,6824.6,-16446.0,-1199.0,True,False,True,True,,False,True,True,,False,True,False,True,False,True,True,True,True,True,,True,False,,False,False,False,True,False,True
Wisconsin,142387,184404.0,107341.9,185819.4,224071.0,189022.0,,75988.0,330332.1,176186.0,,224969.0,265839.7,232101.8,285661.0,108270.5,253194.0,255228.9,236029.0,237219.4,209032.3,,258715.3,187078.2,,217026.6,247308.3,221031.8,94824.7,56435.0,267294.4,42017.0,-35045.1,43432.4,81684.0,46635.0,,-66399.0,187945.1,33799.0,,82582.0,123452.7,89714.8,143274.0,-34116.5,110807.0,112841.9,93642.0,94832.4,66645.3,,116328.3,44691.2,,74639.6,104921.3,78644.8,-47562.3,-85952.0,124907.4,True,False,False,False,,False,False,True,,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Wyoming,17026,21136.0,27880.6,21170.7,24172.0,18690.0,,14153.0,30107.8,24166.7,,22948.0,23132.8,55299.6,34277.0,10400.9,28800.0,36242.1,31679.5,23502.6,27994.2,,30306.8,26354.8,,22298.4,20739.7,40627.0,9981.8,10657.0,33614.2,4110.0,10854.6,4144.7,7146.0,1664.0,,-2873.0,13081.8,7140.7,,5922.0,6106.8,38273.6,17251.0,-6625.1,11774.0,19216.1,14653.5,6476.6,10968.2,,13280.8,9328.8,,5272.4,3713.7,23601.0,-7044.2,-6369.0,16588.2,False,False,False,True,,True,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,False
US,5221952,4071240.0,5704596.7,4090002.2,5278232.0,4944825.0,10241624.0,3643363.0,11539446.9,,4522287.0,4157177.0,4879000.0,8014308.3,6028208.0,3857582.2,,7261203.5,6647020.5,5847804.1,5566014.5,5261775.5,7548719.1,3208920.0,3682200.0,5055956.1,,7986871.7,4079472.1,3577192.0,5702569.6,-1150712.0,482644.7,-1131949.8,56280.0,-277127.0,5019672.0,-1578589.0,6317494.9,,-699665.0,-1064775.0,-342952.0,2792356.3,806256.0,-1364369.8,,2039251.5,1425068.5,625852.1,344062.5,39823.5,2326767.1,-2013032.0,-1539752.0,-165995.9,,2764919.7,-1142479.9,-1644760.0,480617.6,True,True,True,True,False,False,False,,True,True,True,False,True,False,,False,False,True,True,True,False,False,False,True,,False,True,False,True
