,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9507,9495.7,9505.1,9478.0,9494.5,9467.0,9495.0,10278.0,9341.4,9330.0,9480.8,9436.4,9286.0,,9459.1,9455.0,9367.0,9476.3,9492.7,9474.1,9460.8,9483.2,9484.2,9411.3,9439.0,9539.3,,9414.8,9503.5,9371.0,,9457.2,9448.3,,9476.0,9594.0,9451.7,,9546.6,9517.0,9798.9,9570.9,9540.0,9628.0,9388.2,9442.3,9294.0,-11.3,-1.9,-29.0,-12.5,-40.0,-12.0,771.0,-165.6,-177.0,-26.2,-70.6,-221.0,,-47.9,-52.0,-140.0,-30.7,-14.3,-32.9,-46.2,-23.8,-22.8,-95.7,-68.0,32.3,,-92.2,-3.5,-136.0,,-49.8,-58.7,,-31.0,87.0,-55.3,,39.6,10.0,291.9,63.9,33.0,121.0,-118.8,-64.7,-213.0,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,False,,False,True,False,False,False,False,False,False,False
Michigan,7124,7076.7,7097.2,7082.0,7086.0,7096.0,7195.0,7170.0,7127.4,7087.0,7099.6,7091.2,6976.5,,7014.6,7065.0,7263.0,7137.2,7353.3,7249.4,7131.9,7016.4,7088.4,7092.7,7095.0,7040.9,7566.0,7027.8,7122.3,7130.0,,7030.2,7081.7,,7130.0,7072.0,7067.0,,7048.1,7090.0,7289.4,7627.8,7059.0,7085.0,6959.2,7081.3,7024.0,-47.3,-26.8,-42.0,-38.0,-28.0,71.0,46.0,3.4,-37.0,-24.4,-32.8,-147.5,,-109.4,-59.0,139.0,13.2,229.3,125.4,7.9,-107.6,-35.6,-31.3,-29.0,-83.1,442.0,-96.2,-1.7,6.0,,-93.8,-42.3,,6.0,-52.0,-57.0,,-75.9,-34.0,165.4,503.8,-65.0,-39.0,-164.8,-42.7,-100.0,True,True,True,True,False,True,True,True,True,True,False,,False,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,,False,True,,True,False,False,,False,True,False,False,False,True,False,True,False
Minnesota,2126,2102.4,2130.2,2131.0,2128.9,2124.0,2163.0,2102.0,2088.1,2060.0,2103.6,2101.3,2081.7,,2078.9,2141.0,2170.0,2122.2,2183.9,2161.4,2111.7,2137.7,2104.5,2068.3,2147.0,2099.1,2287.0,2103.0,2126.5,2142.0,,2121.2,2071.4,,2124.0,2155.0,2130.1,,2106.3,2120.0,2162.5,2252.1,2119.0,2128.5,2016.1,2110.4,2105.0,-23.6,4.2,5.0,2.9,-2.0,37.0,-24.0,-37.9,-66.0,-22.4,-24.7,-44.3,,-47.1,15.0,44.0,-3.8,57.9,35.4,-14.3,11.7,-21.5,-57.7,21.0,-26.9,161.0,-23.0,0.5,16.0,,-4.8,-54.6,,-2.0,29.0,4.1,,-19.7,-6.0,36.5,126.1,-7.0,2.5,-109.9,-15.6,-21.0,True,True,True,True,False,False,False,False,True,False,False,,False,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,,True,False,,True,False,True,,True,True,False,False,True,True,False,True,True
Mississippi,3011,3019.9,3044.2,3042.0,3057.0,3005.0,2865.0,2999.0,2914.3,2988.0,3032.6,,2951.0,,2860.1,3072.0,3162.0,3011.2,2926.2,2959.1,2994.5,3003.0,2957.6,3057.3,3007.0,3059.9,,2947.3,3045.7,2923.0,,3033.9,2898.2,,3029.0,3007.0,3039.9,,3067.1,2998.0,3057.5,3028.3,2987.0,2982.5,2985.9,2975.7,2900.0,8.9,33.2,31.0,46.0,-6.0,-146.0,-12.0,-96.7,-23.0,21.6,,-60.0,,-150.9,61.0,151.0,0.2,-84.8,-51.9,-16.5,-8.0,-53.4,46.3,-4.0,48.9,,-63.7,34.7,-88.0,,22.9,-112.8,,18.0,-4.0,28.9,,56.1,-13.0,46.5,17.3,-24.0,-28.5,-25.1,-35.3,-111.0,False,False,False,True,False,False,False,False,False,,False,,False,False,False,True,False,False,False,True,False,False,True,False,,False,False,False,,False,False,,False,True,False,,False,False,False,False,False,False,False,False,False
Missouri,2177,2002.4,1982.7,2019.0,2019.0,2006.0,2165.0,2066.0,1963.7,2018.0,1995.2,1956.7,1885.7,,1880.5,1990.0,2104.0,2037.7,1979.2,2048.5,2030.8,1960.8,1981.0,2054.6,1952.0,2049.4,,2148.6,2035.1,2051.0,,1869.6,1890.9,,1997.0,2039.0,1996.5,,2056.7,1979.0,1973.0,2162.8,1983.0,1966.0,1805.6,1978.6,1928.0,-174.6,-194.3,-158.0,-158.0,-171.0,-12.0,-111.0,-213.3,-159.0,-181.8,-220.3,-291.3,,-296.5,-187.0,-73.0,-139.3,-197.8,-128.5,-146.2,-216.2,-196.0,-122.4,-225.0,-127.6,,-28.4,-141.9,-126.0,,-307.4,-286.1,,-180.0,-138.0,-180.5,,-120.3,-198.0,-204.0,-14.2,-194.0,-211.0,-371.4,-198.4,-249.0,False,True,True,True,True,True,False,True,False,False,False,,False,False,True,True,False,True,True,False,False,True,False,True,,True,True,True,,False,False,,False,True,False,,True,False,False,True,False,False,False,False,False
Montana,186,197.9,202.7,199.0,202.0,192.0,159.0,197.0,186.7,172.0,206.4,192.8,190.2,,166.1,205.0,173.0,191.3,167.5,191.6,188.5,195.1,188.5,201.6,222.0,203.9,,177.8,213.8,187.0,,,171.4,,197.0,221.0,194.4,,211.4,201.0,176.3,180.1,195.0,231.0,175.3,188.1,182.0,11.9,16.7,13.0,16.0,6.0,-27.0,11.0,0.7,-14.0,20.4,6.8,4.2,,-19.9,19.0,-13.0,5.3,-18.5,5.6,2.5,9.1,2.5,15.6,36.0,17.9,,-8.2,27.8,1.0,,,-14.6,,11.0,35.0,8.4,,25.4,15.0,-9.7,-5.9,9.0,45.0,-10.7,2.1,-4.0,False,False,False,True,False,True,True,False,False,True,True,,False,False,False,True,False,True,True,True,True,False,False,False,,True,False,True,,,False,,True,False,True,,False,False,True,True,True,False,True,True,True
Nebraska,497,456.9,451.4,462.0,452.7,480.0,518.0,497.0,498.9,462.0,478.2,483.0,473.1,,494.1,458.0,486.0,482.9,485.8,502.9,482.4,471.1,471.0,484.8,557.0,469.5,,480.0,480.5,479.0,,,455.0,,481.0,494.0,453.1,,476.7,477.0,479.4,494.6,477.0,480.0,462.1,468.1,471.0,-40.1,-45.6,-35.0,-44.3,-17.0,21.0,0.0,1.9,-35.0,-18.8,-14.0,-23.9,,-2.9,-39.0,-11.0,-14.1,-11.2,5.9,-14.6,-25.9,-26.0,-12.2,60.0,-27.5,,-17.0,-16.5,-18.0,,,-42.0,,-16.0,-3.0,-43.9,,-20.3,-20.0,-17.6,-2.4,-20.0,-17.0,-34.9,-28.9,-26.0,False,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,,,False,,True,True,False,,True,True,True,True,True,True,True,True,True
Nevada,1620,1677.7,1682.7,1661.0,1686.1,1638.0,1613.0,1617.0,1588.5,1642.0,1684.0,1656.2,1711.3,,1595.3,1700.0,1686.0,1627.0,1585.9,1637.0,1633.2,1654.4,1635.9,1730.5,1640.0,1602.9,,1631.9,1666.8,1634.0,,1656.3,1593.5,,1649.0,1648.0,1688.8,,1610.3,1637.0,1668.3,1618.5,1639.0,1626.0,1639.7,1633.5,1610.0,57.7,62.7,41.0,66.1,18.0,-7.0,-3.0,-31.5,22.0,64.0,36.2,91.3,,-24.7,80.0,66.0,7.0,-34.1,17.0,13.2,34.4,15.9,110.5,20.0,-17.1,,11.9,46.8,14.0,,36.3,-26.5,,29.0,28.0,68.8,,-9.7,17.0,48.3,-1.5,19.0,6.0,19.7,13.5,-10.0,False,True,False,True,True,True,True,True,False,True,False,,True,False,False,True,True,True,True,True,True,False,True,True,,True,True,True,,True,True,,True,True,False,,True,True,True,True,True,True,True,True,True
New Hampshire,442,441.7,444.5,443.0,444.8,446.0,447.0,458.0,442.8,439.0,446.2,447.4,437.7,,435.2,446.0,444.0,444.3,456.7,451.7,445.2,446.7,438.8,446.2,446.0,447.4,,450.0,444.7,440.0,,,442.0,,446.0,447.0,445.1,,454.6,443.0,466.0,464.6,445.0,441.0,443.1,444.3,,-0.3,2.5,1.0,2.8,4.0,5.0,16.0,0.8,-3.0,4.2,5.4,-4.3,,-6.8,4.0,2.0,2.3,14.7,9.7,3.2,4.7,-3.2,4.2,4.0,5.4,,8.0,2.7,-2.0,,,0.0,,4.0,5.0,3.1,,12.6,1.0,24.0,22.6,3.0,-1.0,1.1,2.3,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,True,,False,False,False,,False,False,False,False,False,False,False,False,
New Jersey,16135,16133.9,16153.8,16140.0,16159.4,16154.0,16355.0,16224.0,16186.1,16086.0,16148.5,,16041.8,,16260.9,16139.0,16318.0,16138.3,16326.9,16152.8,16160.4,16131.0,16136.0,16251.0,16157.0,16083.7,,16142.6,16148.6,16088.0,,16132.1,16102.3,,16152.0,16170.0,16130.3,,16090.9,16132.0,17164.7,16515.5,16149.0,16324.0,16173.4,16128.0,16303.0,-1.1,18.8,5.0,24.4,19.0,220.0,89.0,51.1,-49.0,13.5,,-93.2,,125.9,4.0,183.0,3.3,191.9,17.8,25.4,-4.0,1.0,116.0,22.0,-51.3,,7.6,13.6,-47.0,,-2.9,-32.7,,17.0,35.0,-4.7,,-44.1,-3.0,1029.7,380.5,14.0,189.0,38.4,-7.0,168.0,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
New Mexico,890,897.3,892.9,890.0,899.0,889.0,856.0,887.0,867.7,876.0,903.1,899.9,882.4,,882.1,907.0,945.0,885.3,873.0,898.6,883.0,891.6,885.8,941.2,891.0,902.3,,887.5,904.4,884.0,,,864.1,,888.0,926.0,890.9,,909.6,888.0,916.0,893.1,889.0,880.0,885.2,890.7,870.0,7.3,2.9,0.0,9.0,-1.0,-34.0,-3.0,-22.3,-14.0,13.1,9.9,-7.6,,-7.9,17.0,55.0,-4.7,-17.0,8.6,-7.0,1.6,-4.2,51.2,1.0,12.3,,-2.5,14.4,-6.0,,,-25.9,,-2.0,36.0,0.9,,19.6,-2.0,26.0,3.1,-1.0,-10.0,-4.8,0.7,-20.0,True,True,False,True,False,True,False,False,False,False,False,,False,False,False,True,False,False,True,True,True,False,True,False,,True,False,True,,,False,,True,False,True,,False,True,False,True,True,False,True,True,False
New York,33375,33205.9,33191.9,33169.0,33211.7,33211.0,33234.0,33214.0,33195.2,33088.0,33184.0,33199.5,33021.6,,33290.9,33158.0,33373.0,33216.5,33550.6,33319.0,33202.0,33168.5,33176.6,33541.8,33268.0,33384.9,,33238.2,33209.7,33081.0,,33132.3,33479.8,,33163.0,33184.0,33179.8,,33392.0,33206.0,35092.4,33864.9,33203.0,33219.0,33087.0,33209.4,33058.0,-169.1,-183.1,-206.0,-163.3,-164.0,-141.0,-161.0,-179.8,-287.0,-191.0,-175.5,-353.4,,-84.1,-217.0,-2.0,-158.5,175.6,-56.0,-173.0,-206.5,-198.4,166.8,-107.0,9.9,,-136.8,-165.3,-294.0,,-242.7,104.8,,-212.0,-191.0,-195.2,,17.0,-169.0,1717.4,489.9,-172.0,-156.0,-288.0,-165.6,-317.0,False,False,True,True,True,True,False,False,False,False,False,,True,False,True,True,False,True,False,False,False,True,True,True,,True,True,False,,False,True,,False,False,False,,True,True,False,False,False,True,False,True,False
North Carolina,3629,3597.7,3622.9,3593.0,3611.0,3549.0,3519.0,3554.0,3485.6,3530.0,3569.9,3599.6,3419.6,,3526.0,3607.0,3714.0,3566.8,3407.4,3599.3,3567.8,3545.7,3536.2,3531.4,3584.0,3650.2,,3467.5,3602.2,3582.0,,3552.0,3419.8,,3576.0,3515.0,3572.2,,3657.5,3534.0,3530.9,3543.0,3545.0,3684.5,3448.6,3533.7,3425.0,-31.3,-6.1,-36.0,-18.0,-80.0,-110.0,-75.0,-143.4,-99.0,-59.1,-29.4,-209.4,,-103.0,-22.0,85.0,-62.2,-221.6,-29.7,-61.2,-83.3,-92.8,-97.6,-45.0,21.2,,-161.5,-26.8,-47.0,,-77.0,-209.2,,-53.0,-114.0,-56.8,,28.5,-95.0,-98.1,-86.0,-84.0,55.5,-180.4,-95.3,-204.0,True,False,True,False,False,False,False,False,False,True,False,,False,True,False,False,False,True,False,False,False,False,False,True,,False,True,False,,False,False,,False,False,False,,True,False,False,False,False,False,False,False,False
North Dakota,271,236.6,243.8,242.0,242.0,226.0,214.0,232.0,220.6,192.0,228.0,238.8,222.2,,200.4,233.0,219.0,233.4,223.5,223.7,245.0,222.3,227.3,216.3,269.0,226.6,,242.5,252.3,229.0,,,207.3,,215.0,232.0,198.1,,233.9,236.0,208.9,241.2,234.0,226.0,206.2,226.9,210.0,-34.4,-27.2,-29.0,-29.0,-45.0,-57.0,-39.0,-50.4,-79.0,-43.0,-32.2,-48.8,,-70.6,-38.0,-52.0,-37.6,-47.5,-47.3,-26.0,-48.7,-43.7,-54.7,-2.0,-44.4,,-28.5,-18.7,-42.0,,,-63.7,,-56.0,-39.0,-72.9,,-37.1,-35.0,-62.1,-29.8,-37.0,-45.0,-64.8,-44.1,-61.0,True,True,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,True,False,,True,True,False,,,False,,False,False,False,,False,False,False,True,False,False,False,False,False
Ohio,4925,4986.4,5058.1,4989.0,5014.0,4910.0,4983.0,4958.0,4792.4,4884.0,4881.6,4800.7,4758.2,,4804.4,4981.0,4957.0,4917.5,4914.3,5015.4,4926.9,4842.5,4898.9,4949.6,4863.0,4897.5,4927.0,4615.1,5010.6,4905.0,,4849.7,4738.7,,4977.0,4922.0,4971.0,,4904.9,4886.0,4988.7,5131.1,4928.0,4936.0,4828.4,4875.3,4885.0,61.4,133.1,64.0,89.0,-15.0,58.0,33.0,-132.6,-41.0,-43.4,-124.3,-166.8,,-120.6,56.0,32.0,-7.5,-10.7,90.4,1.9,-82.5,-26.1,24.6,-62.0,-27.5,2.0,-309.9,85.6,-20.0,,-75.3,-186.3,,52.0,-3.0,46.0,,-20.1,-39.0,63.7,206.1,3.0,11.0,-96.6,-49.7,-40.0,False,False,False,True,True,True,False,True,True,False,False,,False,True,True,True,True,False,True,False,True,True,False,True,True,False,False,True,,False,False,,True,True,True,,True,True,False,False,True,True,False,True,True
Oklahoma,1051,1022.1,1036.0,1022.0,1031.0,1057.0,1135.0,1094.0,1015.0,1061.0,1060.6,1039.4,1045.8,,991.9,1035.0,1122.0,1069.7,1067.2,1104.4,1055.4,1041.6,1027.3,1098.8,1092.0,1068.4,,1069.9,1040.9,1032.0,,,993.0,,1062.0,1078.0,1033.3,,1075.6,1061.0,1030.9,1105.2,1038.0,1022.0,1007.5,1034.4,992.0,-28.9,-15.0,-29.0,-20.0,6.0,84.0,43.0,-36.0,10.0,9.6,-11.6,-5.2,,-59.1,-16.0,71.0,18.7,16.2,53.4,4.4,-9.4,-23.7,47.8,41.0,17.4,,18.9,-10.1,-19.0,,,-58.0,,11.0,27.0,-17.7,,24.6,10.0,-20.1,54.2,-13.0,-29.0,-43.5,-16.6,-59.0,True,False,True,True,False,False,False,True,True,True,True,,False,True,False,True,True,False,True,True,True,False,False,True,,True,True,True,,,False,,True,True,True,,True,True,True,False,True,False,False,True,False
Oregon,571,557.6,551.4,557.0,553.0,567.0,536.0,566.0,559.0,565.0,584.7,555.7,577.8,,549.1,556.0,581.0,569.2,557.2,643.8,558.0,571.8,551.2,597.9,580.0,587.3,,576.8,560.3,578.0,,,551.1,,571.0,587.0,557.1,,594.3,567.0,567.8,571.4,565.0,586.0,558.5,567.2,550.0,-13.4,-19.6,-14.0,-18.0,-4.0,-35.0,-5.0,-12.0,-6.0,13.7,-15.3,6.8,,-21.9,-15.0,10.0,-1.8,-13.8,72.8,-13.0,0.8,-19.8,26.9,9.0,16.3,,5.8,-10.7,7.0,,,-19.9,,0.0,16.0,-13.9,,23.3,-4.0,-3.2,0.4,-6.0,15.0,-12.5,-3.8,-21.0,False,False,False,True,False,True,True,True,False,False,True,,False,False,True,True,False,False,True,True,False,False,True,False,,True,True,True,,,False,,True,False,False,,False,True,True,True,True,False,True,True,False
Pennsylvania,8180,8203.3,8152.3,8147.0,8162.4,8156.0,8167.0,8140.0,8069.5,8082.0,8179.5,8148.5,7999.2,,8154.6,8145.0,8106.0,8140.0,8289.2,8231.6,8129.1,8096.1,8169.8,8114.8,8120.0,8196.5,,8160.5,8187.8,8094.0,,8096.1,8243.8,,8160.0,8214.0,8123.2,,8203.9,8143.0,8424.9,8562.6,8179.0,8248.0,8094.9,8131.6,8059.0,23.3,-27.7,-33.0,-17.6,-24.0,-13.0,-40.0,-110.5,-98.0,-0.5,-31.5,-180.8,,-25.4,-35.0,-74.0,-40.0,109.2,51.6,-50.9,-83.9,-10.2,-65.2,-60.0,16.5,,-19.5,7.8,-86.0,,-83.9,63.8,,-20.0,34.0,-56.8,,23.9,-37.0,244.9,382.6,-1.0,68.0,-85.1,-48.4,-121.0,False,False,True,False,True,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,True,False,False,True,,True,True,False,,False,False,,True,False,False,,False,False,False,False,True,False,False,False,False
Rhode Island,1118,1119.6,1122.0,,1122.0,1122.0,1098.0,1130.0,1109.8,1089.0,1119.3,1124.5,1123.4,,1100.2,1122.0,1109.0,1116.6,1130.4,1132.3,1121.6,1098.8,1109.1,1177.6,1099.0,1145.9,,1113.2,1128.4,1097.0,,,1094.2,,1119.0,1122.0,1115.6,,1153.2,1113.0,1152.0,1140.4,1116.0,1122.0,0.0,1114.3,1104.0,1.6,4.0,,4.0,4.0,-20.0,12.0,-8.2,-29.0,1.3,6.5,5.4,,-17.8,4.0,-9.0,-1.4,12.4,14.3,3.6,-19.2,-8.9,59.6,-19.0,27.9,,-4.8,10.4,-21.0,,,-23.8,,1.0,4.0,-2.4,,35.2,-5.0,34.0,22.4,-2.0,4.0,-1118.0,-3.7,-14.0,False,,False,False,False,False,False,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,False,,False,False,False,False,False,False,False,False,False
South Carolina,3442,3449.7,3486.5,3483.0,3484.0,3478.0,3452.0,3632.0,3468.8,3478.0,3523.2,3521.8,3542.1,,3473.2,3479.0,3591.0,3514.6,3412.6,3377.1,3532.5,3381.7,3417.7,3488.6,3443.0,3472.8,,3451.4,3479.9,3431.0,,3554.4,3341.1,,3534.0,3536.0,3472.3,,3480.1,3462.0,3507.7,3498.0,3488.0,3434.0,3413.5,3441.9,3295.0,7.7,44.5,41.0,42.0,36.0,10.0,190.0,26.8,36.0,81.2,79.8,100.1,,31.2,37.0,149.0,72.6,-29.4,-64.9,90.5,-60.3,-24.3,46.6,1.0,30.8,,9.4,37.9,-11.0,,112.4,-100.9,,92.0,94.0,30.3,,38.1,20.0,65.7,56.0,46.0,-8.0,-28.5,-0.1,-147.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False
South Dakota,248,235.4,233.9,231.0,234.0,229.0,226.0,222.0,221.8,206.0,232.1,,224.8,,199.8,215.0,230.0,229.5,224.6,218.3,236.0,222.3,226.2,247.6,276.0,218.8,,231.4,237.0,216.0,,,229.7,,230.0,256.0,213.3,,226.1,236.0,217.1,245.2,232.0,238.5,214.1,231.7,217.0,-12.6,-14.1,-17.0,-14.0,-19.0,-22.0,-26.0,-26.2,-42.0,-15.9,,-23.2,,-48.2,-33.0,-18.0,-18.5,-23.4,-29.7,-12.0,-25.7,-21.8,-0.4,28.0,-29.2,,-16.6,-11.0,-32.0,,,-18.3,,-18.0,8.0,-34.7,,-21.9,-12.0,-30.9,-2.8,-16.0,-9.5,-33.9,-16.3,-31.0,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,True,False,False,True,False,False,,False,True,False,,,False,,False,True,False,,False,True,False,True,False,True,False,False,False
Tennessee,2560,2478.0,2487.9,2529.0,2520.1,2508.0,2534.0,2688.0,2503.5,2459.0,2544.3,2558.4,2305.1,,2590.4,2592.0,2617.0,2497.8,2387.2,2543.5,2471.3,2543.2,2490.6,2577.5,2538.0,2544.5,,2409.3,2513.1,2662.0,,2593.2,2379.9,,2564.0,2573.0,2518.9,,2551.8,2486.0,2484.4,2440.5,2489.0,2447.0,2374.1,2462.2,2388.0,-82.0,-72.1,-31.0,-39.9,-52.0,-26.0,128.0,-56.5,-101.0,-15.7,-1.6,-254.9,,30.4,32.0,57.0,-62.2,-172.8,-16.5,-88.7,-16.8,-69.4,17.5,-22.0,-15.5,,-150.7,-46.9,102.0,,33.2,-180.1,,4.0,13.0,-41.1,,-8.2,-74.0,-75.6,-119.5,-71.0,-113.0,-185.9,-97.8,-172.0,True,True,True,True,True,False,True,False,True,True,False,,True,True,True,True,False,True,False,True,True,True,True,True,,False,True,False,,True,False,,True,True,True,,True,True,True,False,True,False,False,False,False
Texas,16363,16356.4,16448.1,16445.0,16489.0,16247.0,16051.0,16209.0,15853.5,16344.0,16424.9,16682.4,15924.5,,15793.9,16598.0,16746.0,16287.4,16106.0,16269.8,16311.5,16261.4,16227.6,17145.4,16297.0,16184.3,,16082.5,16391.6,16196.0,,16651.1,15604.7,15907.0,16431.0,16233.0,16409.9,,16191.6,16310.0,16487.8,16203.1,16287.0,16191.5,16131.5,16168.1,15283.0,80.4,172.1,169.0,213.0,-29.0,-225.0,-67.0,-422.5,68.0,148.9,406.4,-351.5,,-482.1,322.0,470.0,11.4,-170.0,-6.2,35.5,-14.6,-48.4,869.4,21.0,-91.7,,-193.5,115.6,-80.0,,375.1,-671.3,-369.0,155.0,-43.0,133.9,,-84.4,34.0,211.8,-72.9,11.0,-84.5,-144.5,-107.9,-993.0,False,False,False,True,False,True,False,True,False,False,False,,False,False,False,True,False,True,True,True,True,False,True,False,,False,False,True,,False,False,False,False,True,False,,False,True,False,True,True,False,False,False,False
Utah,476,453.0,453.0,455.0,454.0,472.0,520.0,472.0,475.1,465.0,474.5,473.0,372.8,,464.9,457.0,483.0,474.9,432.6,491.1,463.3,487.7,460.4,475.9,428.0,458.1,,489.9,461.6,457.0,,,445.5,,468.0,485.0,461.5,,465.3,481.0,473.1,479.7,455.0,492.0,382.5,468.2,451.0,-23.0,-23.0,-21.0,-22.0,-4.0,44.0,-4.0,-0.9,-11.0,-1.5,-3.0,-103.2,,-11.1,-19.0,7.0,-1.1,-43.4,15.1,-12.7,11.7,-15.6,-0.1,-48.0,-17.9,,13.9,-14.4,-19.0,,,-30.5,,-8.0,9.0,-14.5,,-10.7,5.0,-2.9,3.7,-21.0,16.0,-93.5,-7.8,-25.0,False,True,True,True,False,True,True,True,True,True,False,,True,True,True,True,False,True,True,True,True,True,False,True,,True,True,True,,,False,,True,True,True,,True,True,True,True,True,True,False,True,False
Vermont,58,58.0,58.0,58.0,58.0,59.0,59.0,58.0,58.3,59.0,59.3,59.0,58.4,,58.4,58.0,58.0,58.0,60.5,62.8,58.3,58.2,58.0,59.9,67.0,58.1,,59.0,58.0,58.0,,,58.0,,59.0,65.0,58.0,,65.4,58.0,61.0,60.6,58.0,61.0,57.9,59.5,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1.0,1.3,1.0,0.4,,0.4,0.0,0.0,0.0,2.5,4.8,0.3,0.2,0.0,1.9,9.0,0.1,,1.0,0.0,0.0,,,0.0,,1.0,7.0,0.0,,7.4,0.0,3.0,2.6,0.0,3.0,-0.1,1.5,,True,True,True,False,False,True,False,False,False,False,False,,False,True,True,True,False,False,False,False,False,False,False,False,,False,True,True,,,True,,False,False,False,,False,True,False,False,True,False,False,False,
