,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
North Carolina,3629,3610.7,3639.9,3643.0,3645.0,3598.0,3573.0,3633.0,3502.5,3569.0,3595.5,3633.3,3640.6,3599.5,,3587.9,3648.0,3568.0,3617.0,3615.9,3618.5,3614.2,3630.9,3591.5,3591.4,3583.0,3653.4,,3545.1,3640.0,3656.0,,3600.0,3542.3,3632.0,4304.2,3566.0,3633.2,,3656.5,3585.0,3608.3,3574.0,3601.0,3590.5,3552.9,3599.3,3458.0,-18.3,10.9,14.0,16.0,-31.0,-56.0,4.0,-126.5,-60.0,-33.5,4.3,11.6,-29.5,,-41.1,19.0,-61.0,-12.0,-13.1,-10.5,-14.8,1.9,-37.5,-37.6,-46.0,24.4,,-83.9,11.0,27.0,,-29.0,-86.7,3.0,675.2,-63.0,4.2,,27.5,-44.0,-20.7,-55.0,-28.0,-38.5,-76.1,-29.7,-171.0,True,True,True,False,False,True,False,False,False,True,True,False,,False,False,False,True,True,True,True,True,False,False,False,False,,False,True,False,,False,False,True,False,False,True,,False,False,False,False,False,False,False,False,False
North Dakota,271,264.4,260.1,262.0,262.0,257.0,253.0,261.0,242.7,231.0,256.9,255.8,266.1,245.6,,242.9,256.0,230.0,257.3,257.4,243.9,260.9,255.1,258.3,250.0,287.0,256.4,,261.3,271.8,263.0,,,264.2,243.0,226.9,250.0,248.7,,259.6,260.0,255.4,252.7,266.0,269.0,241.2,264.9,225.0,-6.6,-10.9,-9.0,-9.0,-14.0,-18.0,-10.0,-28.3,-40.0,-14.1,-15.2,-4.9,-25.4,,-28.1,-15.0,-41.0,-13.7,-13.6,-27.1,-10.1,-15.9,-12.7,-21.0,16.0,-14.6,,-9.7,0.8,-8.0,,,-6.8,-28.0,-44.1,-21.0,-22.3,,-11.4,-11.0,-15.6,-18.3,-5.0,-2.0,-29.8,-6.1,-46.0,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,False,False,False,False,,False,False,False,False,True,True,False,True,False
Ohio,4925,4849.0,4841.6,4870.0,4868.0,4867.0,4967.0,4896.0,4868.7,4862.0,4874.8,4864.1,4871.5,4852.3,,4896.2,4868.0,4843.0,4894.9,4867.5,4928.4,4899.1,4862.9,4853.3,4905.3,4871.0,4867.2,4819.5,4801.6,4862.7,4910.0,,4908.9,4800.4,4900.0,5103.0,4846.0,4866.0,,4870.3,4861.0,4904.7,4988.2,4874.0,4810.0,4850.3,4861.0,4927.0,-76.0,-83.4,-55.0,-57.0,-58.0,42.0,-29.0,-56.3,-63.0,-50.2,-60.9,-53.5,-72.7,,-28.8,-57.0,-82.0,-30.1,-57.5,3.4,-25.9,-62.1,-71.7,-19.7,-54.0,-57.8,-105.5,-123.4,-62.3,-15.0,,-16.1,-124.6,-25.0,178.0,-79.0,-59.0,,-54.7,-64.0,-20.3,63.2,-51.0,-115.0,-74.7,-64.0,2.0,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,,True,False,True,False,False,True,,True,True,True,True,True,False,True,True,True
Oklahoma,1051,1057.4,1065.2,1065.0,1065.0,1062.0,1117.0,1061.0,1018.1,1062.0,1060.9,1061.3,1066.5,1059.3,,1067.8,1069.0,1047.0,1068.1,1100.4,1092.3,1065.0,1042.8,1062.4,1065.6,1080.0,1079.0,,1014.4,1070.5,1055.0,,,1030.1,1066.0,1039.9,1046.0,1063.7,,1082.1,1061.0,1048.1,1087.9,1068.0,1046.0,1039.5,1054.0,1007.0,6.4,14.2,14.0,14.0,11.0,66.0,10.0,-32.9,11.0,9.9,10.3,15.5,8.3,,16.8,18.0,-4.0,17.1,49.4,41.3,14.0,-8.2,11.4,14.6,29.0,28.0,,-36.6,19.5,4.0,,,-20.9,15.0,-11.1,-5.0,12.7,,31.1,10.0,-2.9,36.9,17.0,-5.0,-11.5,3.0,-44.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,,,False,False,False,True,False,,False,False,True,False,False,True,False,True,False
Oregon,571,557.6,558.1,559.0,559.0,563.0,562.0,569.0,554.5,561.0,563.8,567.2,579.4,571.4,,578.7,559.0,575.0,561.8,571.8,596.5,560.7,564.2,557.6,567.3,582.0,567.6,,566.0,562.5,583.0,,,551.3,563.0,662.5,568.0,560.1,,570.6,562.0,562.1,563.7,565.0,562.0,558.5,562.3,546.0,-13.4,-12.9,-12.0,-12.0,-8.0,-9.0,-2.0,-16.5,-10.0,-7.2,-3.8,8.4,0.4,,7.7,-12.0,4.0,-9.2,0.8,25.5,-10.3,-6.8,-13.4,-3.7,11.0,-3.4,,-5.0,-8.5,12.0,,,-19.7,-8.0,91.5,-3.0,-10.9,,-0.4,-9.0,-8.9,-7.3,-6.0,-9.0,-12.5,-8.7,-25.0,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,,,False,True,False,True,True,,True,True,True,True,True,True,True,True,False
Pennsylvania,8180,8194.0,8222.9,8221.0,8226.0,8205.0,8157.0,8202.0,8165.1,8155.0,8203.9,8184.9,8226.2,8159.3,,8121.0,8223.0,8214.0,8192.2,8248.3,8235.9,8196.5,8176.4,8192.0,8229.2,8176.0,8271.4,,8145.2,8201.9,8221.0,,8191.9,8135.5,8230.0,12084.6,8202.0,8211.8,,8274.6,8177.0,8243.0,8402.7,8227.0,8292.0,8147.5,8193.6,8080.0,14.0,42.9,41.0,46.0,25.0,-23.0,22.0,-14.9,-25.0,23.9,4.9,46.2,-20.7,,-59.0,43.0,34.0,12.2,68.3,55.9,16.5,-3.6,12.0,49.2,-4.0,91.4,,-34.8,21.9,41.0,,11.9,-44.5,50.0,3904.6,22.0,31.8,,94.6,-3.0,63.0,222.7,47.0,112.0,-32.5,13.6,-100.0,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,True,False,False,False,True,True,False,True,False,,False,False,False,,True,False,False,False,False,False,,False,True,False,False,False,False,False,True,False
Rhode Island,1118,1123.3,1126.9,,1126.0,1124.0,1114.0,1129.0,1122.4,1107.0,1125.9,1123.8,1118.5,1124.1,,1123.5,1124.0,1122.0,1121.3,1127.5,1127.9,1127.1,1112.1,1115.9,1131.2,1116.0,1126.0,,1123.9,1122.3,1126.0,,,1111.0,1128.0,1293.3,1118.0,1124.0,,1129.2,1121.0,1132.9,1131.8,1126.0,1118.0,0.0,1122.6,1105.0,5.3,8.9,,8.0,6.0,-4.0,11.0,4.4,-11.0,7.9,5.8,0.5,6.1,,5.5,6.0,4.0,3.3,9.5,9.9,9.1,-5.9,-2.1,13.2,-2.0,8.0,,5.9,4.3,8.0,,,-7.0,10.0,175.3,0.0,6.0,,11.2,3.0,14.9,13.8,8.0,0.0,-1118.0,4.6,-13.0,False,,False,False,True,False,True,False,False,False,True,False,,False,False,True,True,False,False,False,False,True,False,True,False,,False,True,False,,,False,False,False,True,False,,False,True,False,False,False,True,False,True,False
South Carolina,3442,3434.9,3458.9,3458.0,3458.0,3447.0,3447.0,3464.0,3388.5,3445.0,3443.2,,3462.4,3457.5,,3493.2,3462.0,3433.0,3468.2,3436.9,3415.0,3486.7,3416.1,3438.6,3447.1,3424.0,3509.9,,3431.0,3457.9,3439.0,,3486.0,3381.1,3484.0,4324.5,3443.0,3456.8,,3513.0,3448.0,3460.4,3480.8,3481.0,3414.0,3431.0,3431.8,3312.0,-7.1,16.9,16.0,16.0,5.0,5.0,22.0,-53.5,3.0,1.2,,20.4,15.5,,51.2,20.0,-9.0,26.2,-5.1,-27.0,44.7,-25.9,-3.4,5.1,-18.0,67.9,,-11.0,15.9,-3.0,,44.0,-60.9,42.0,882.5,1.0,14.8,,71.0,6.0,18.4,38.8,39.0,-28.0,-11.0,-10.2,-130.0,False,False,False,True,True,False,False,True,True,,False,False,,False,False,False,False,True,False,False,False,True,True,False,False,,False,False,True,,False,False,False,False,True,False,,False,True,False,False,False,False,False,False,False
South Dakota,248,231.7,236.5,237.0,236.0,233.0,228.0,237.0,232.7,219.0,231.9,,247.6,231.2,,235.1,228.0,225.0,232.4,252.9,228.6,236.9,234.8,231.5,232.0,280.0,231.3,,225.4,237.9,236.0,,,220.6,237.0,224.3,240.0,229.7,,234.5,234.0,227.6,238.7,236.0,230.0,225.1,233.3,219.0,-16.3,-11.5,-11.0,-12.0,-15.0,-20.0,-11.0,-15.3,-29.0,-16.1,,-0.4,-16.8,,-12.9,-20.0,-23.0,-15.6,4.9,-19.4,-11.1,-13.2,-16.5,-16.0,32.0,-16.7,,-22.6,-10.1,-12.0,,,-27.4,-11.0,-23.7,-8.0,-18.3,,-13.5,-14.0,-20.4,-9.3,-12.0,-18.0,-22.9,-14.7,-29.0,True,True,True,True,False,True,True,False,True,,True,False,,True,False,False,True,True,False,True,True,False,True,False,False,,False,True,True,,,False,True,False,True,False,,True,True,False,True,True,False,False,True,False
Tennessee,2560,2513.3,2528.0,2528.0,2532.0,2510.0,2530.0,2539.0,2470.1,2495.0,2508.0,2522.1,2529.3,2509.6,,2679.0,2544.0,2458.0,2514.4,2465.1,2534.1,2547.8,2534.8,2505.1,2514.7,2513.0,2545.3,,2469.1,2524.1,2512.0,,2536.3,2438.9,2542.0,3090.4,2492.0,2531.5,,2548.5,2501.0,2530.5,2490.0,2526.0,2449.0,2441.6,2497.6,2380.0,-46.7,-32.0,-32.0,-28.0,-50.0,-30.0,-21.0,-89.9,-65.0,-52.0,-37.9,-30.7,-50.4,,119.0,-16.0,-102.0,-45.6,-94.9,-25.9,-12.2,-25.2,-54.9,-45.3,-47.0,-14.7,,-90.9,-35.9,-48.0,,-23.7,-121.1,-18.0,530.4,-68.0,-28.5,,-11.5,-59.0,-29.5,-70.0,-34.0,-111.0,-118.4,-62.4,-180.0,True,True,True,False,True,True,False,False,False,True,True,False,,False,True,False,True,False,True,True,True,False,True,False,True,,False,True,False,,True,False,True,False,False,True,,True,False,True,False,True,False,False,False,False
Texas,16308,16308.1,16360.2,16363.0,16363.0,16282.0,16108.0,16706.0,15996.3,16281.0,16206.2,,16276.8,16173.0,,16382.9,16438.0,16270.0,16260.3,16536.9,16330.7,16305.8,16176.8,16306.8,16381.4,16259.0,16645.4,,16262.6,16411.9,16257.0,,16551.9,15978.6,16472.0,21165.2,16311.0,16356.0,,16648.5,16282.0,16411.9,16257.9,16425.0,16249.0,16253.6,16282.7,15228.0,15.1,67.2,70.0,70.0,-11.0,-185.0,413.0,-296.7,-12.0,-86.8,,-16.2,-120.0,,89.9,145.0,-23.0,-32.7,243.9,37.7,12.8,-116.2,13.8,88.4,-34.0,352.4,,-30.4,118.9,-36.0,,258.9,-314.4,179.0,4872.2,18.0,63.0,,355.5,-11.0,118.9,-35.1,132.0,-44.0,-39.4,-10.3,-1065.0,False,False,False,True,False,False,False,True,False,,False,False,,False,False,False,False,False,False,True,False,True,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,True,False
Utah,476,464.1,455.9,458.0,456.0,463.0,492.0,459.0,461.0,470.0,466.0,,460.5,379.0,,454.0,456.0,461.0,463.5,447.2,471.7,461.7,478.0,474.6,466.4,493.0,457.1,,479.9,463.6,455.0,,,456.8,460.0,679.3,479.0,457.9,,460.2,469.0,463.3,471.2,459.0,460.0,381.5,467.5,463.0,-11.9,-20.1,-18.0,-20.0,-13.0,16.0,-17.0,-15.0,-6.0,-10.0,,-15.5,-97.0,,-22.0,-20.0,-15.0,-12.5,-28.8,-4.3,-14.3,2.0,-1.4,-9.6,17.0,-18.9,,3.9,-12.4,-21.0,,,-19.2,-16.0,203.3,3.0,-18.1,,-15.8,-7.0,-12.7,-4.8,-17.0,-16.0,-94.5,-8.5,-13.0,False,False,False,False,False,False,False,True,True,,False,False,,False,False,False,False,False,True,False,True,True,True,False,False,,True,False,False,,,False,False,False,True,False,,False,True,False,True,False,False,False,True,False
Vermont,58,58.0,58.0,58.0,58.0,58.0,59.0,58.0,58.1,58.0,58.9,58.4,58.0,58.4,,58.4,58.0,58.0,58.0,58.4,60.2,58.2,58.2,58.0,58.8,68.0,58.3,,58.5,58.0,58.0,,,58.0,58.0,59.1,58.0,58.0,,61.4,58.0,58.8,59.2,58.0,58.0,57.9,58.2,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.9,0.4,0.0,0.4,,0.4,0.0,0.0,0.0,0.4,2.2,0.2,0.2,0.0,0.8,10.0,0.3,,0.5,0.0,0.0,,,0.0,0.0,1.1,0.0,0.0,,3.4,0.0,0.8,1.2,0.0,0.0,-0.1,0.2,,True,True,True,True,False,True,False,True,False,False,True,False,,False,True,True,True,False,False,False,False,True,False,False,False,,False,True,True,,,True,True,False,True,False,,False,True,False,False,True,True,False,False,
Virginia,3270,3280.4,3305.3,3292.0,3296.0,3274.0,3212.0,3345.0,3352.2,3200.0,3287.4,3262.8,3297.9,3260.5,,3078.5,3268.0,3312.0,3269.4,3228.4,3276.0,3299.7,3273.5,3286.3,3272.2,3288.0,3270.6,,3218.5,3264.4,3298.0,,3337.1,3240.3,3338.0,3146.3,3306.0,3279.0,,3273.8,3281.0,3257.5,3293.4,3330.0,3341.0,3231.7,3275.5,3131.0,12.4,37.3,24.0,28.0,6.0,-56.0,77.0,84.2,-68.0,19.4,-5.2,29.9,-7.5,,-189.5,0.0,44.0,1.4,-39.6,8.0,31.7,5.5,18.3,4.2,20.0,2.6,,-49.5,-3.6,30.0,,69.1,-27.7,70.0,-121.7,38.0,11.0,,5.8,13.0,-10.5,25.4,62.0,73.0,-36.3,7.5,-137.0,False,False,False,True,False,False,False,False,False,True,False,True,,False,True,False,True,False,True,False,True,False,True,False,True,,False,True,False,,False,False,False,False,False,True,,True,False,True,False,False,False,False,True,False
Washington,2142,2154.0,2164.6,2163.0,2163.0,2152.0,2199.0,2155.0,2137.4,2168.0,2141.6,2141.3,2174.4,2137.4,,2102.4,2143.0,2152.0,2134.6,2176.3,2172.7,2145.6,2147.1,2144.2,2145.5,2153.0,2151.8,,2139.5,2177.1,2170.0,,2140.2,2123.3,2152.0,2139.8,2147.0,2162.5,,2138.7,2141.0,2160.4,2169.0,2153.0,2227.0,2134.1,2149.4,2151.0,12.0,22.6,21.0,21.0,10.0,57.0,13.0,-4.6,26.0,-0.4,-0.7,32.4,-4.6,,-39.6,1.0,10.0,-7.4,34.3,30.7,3.6,5.1,2.2,3.5,11.0,9.8,,-2.5,35.1,28.0,,-1.8,-18.7,10.0,-2.2,5.0,20.5,,-3.3,-1.0,18.4,27.0,11.0,85.0,-7.9,7.4,9.0,False,False,False,True,False,False,True,False,True,True,False,True,,False,True,True,True,False,False,True,True,True,True,True,True,,True,False,False,,True,False,True,True,True,False,,True,True,False,False,True,False,True,True,True
West Virginia,363,360.4,363.0,363.0,363.0,364.0,353.0,373.0,359.9,363.0,381.0,369.4,363.6,375.5,,410.0,365.0,366.0,375.5,352.7,375.5,370.8,363.0,361.6,373.7,382.0,375.2,,359.2,363.7,371.0,,,352.2,376.0,348.6,371.0,361.3,,378.4,363.0,358.8,363.4,370.0,357.0,355.7,364.9,341.0,-2.6,0.0,0.0,0.0,1.0,-10.0,10.0,-3.1,0.0,18.0,6.4,0.6,12.5,,47.0,2.0,3.0,12.5,-10.3,12.5,7.8,0.0,-1.4,10.7,19.0,12.2,,-3.8,0.7,8.0,,,-10.8,13.0,-14.4,8.0,-1.7,,15.4,0.0,-4.2,0.4,7.0,-6.0,-7.3,1.9,-22.0,True,True,True,True,False,False,False,True,False,False,True,False,,False,True,False,False,False,False,False,True,True,False,False,False,,False,True,False,,,False,False,False,False,True,,False,True,False,True,False,False,False,True,False
Wisconsin,1443,1314.4,1321.2,1323.0,1321.0,1334.0,1597.0,1342.0,1302.4,1342.0,1321.0,1339.2,1306.8,1346.1,,1330.3,1324.0,1337.0,1340.2,1462.5,1368.6,1340.4,1336.4,1343.7,1333.3,1363.0,1326.8,1353.0,1459.5,1330.8,1317.0,,1311.2,1298.1,1339.0,1444.7,1326.0,1322.1,,1329.9,1337.0,1323.8,1402.1,1328.0,1317.0,1308.2,1320.6,1320.0,-39.6,-32.8,-31.0,-33.0,-20.0,243.0,-12.0,-51.6,-12.0,-33.0,-14.8,-47.2,-7.9,,-23.7,-30.0,-17.0,-13.8,108.5,14.6,-13.6,-17.6,-10.3,-20.7,9.0,-27.2,-1.0,105.5,-23.2,-37.0,,-42.8,-55.9,-15.0,90.7,-28.0,-31.9,,-24.1,-17.0,-30.2,48.1,-26.0,-37.0,-45.8,-33.4,-34.0,True,True,True,True,False,True,False,True,True,True,False,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,,False,False,True,False,True,True,,True,True,True,False,True,True,False,True,True
Wyoming,53,50.9,50.0,,51.0,53.0,52.0,56.0,56.9,52.0,55.1,53.2,55.3,53.9,,54.9,51.0,53.0,51.3,60.4,56.6,55.3,55.4,50.5,59.4,66.0,53.9,,52.2,51.4,54.0,,,50.0,55.0,54.6,59.0,51.0,,57.0,53.0,52.9,53.3,51.0,50.0,52.1,51.8,,-2.1,-3.0,,-2.0,0.0,-1.0,3.0,3.9,-1.0,2.1,0.2,2.3,0.9,,1.9,-2.0,0.0,-1.7,7.4,3.6,2.3,2.4,-2.5,6.4,13.0,0.9,,-0.8,-1.6,1.0,,,-3.0,2.0,1.6,6.0,-2.0,,4.0,0.0,-0.1,0.3,-2.0,-3.0,-0.9,-1.2,,False,,True,True,True,False,False,True,True,True,False,True,,True,True,True,True,False,False,False,False,False,False,False,True,,True,True,True,,,False,True,True,False,True,,False,True,True,True,True,False,True,True,
US,209657,209253.4,209697.1,,209698.0,209229.0,208833.0,210157.0,207057.3,208506.0,209157.6,209967.1,209917.8,,214101.0,208492.8,209834.0,207659.0,209004.2,208808.8,209681.2,209294.0,208242.5,209693.4,,209468.0,210279.6,,208300.2,209834.2,209058.5,209338.7,209721.6,,209850.0,226849.1,209288.0,209473.3,207561.0,210555.4,209170.0,210408.3,210306.7,209793.0,207768.5,208528.3,209016.1,207961.0,-135.6,308.1,,309.0,-160.0,-556.0,768.0,-2331.7,-883.0,-231.4,578.1,528.8,,4712.0,-896.2,445.0,-1730.0,-384.8,-580.2,292.2,-95.0,-1146.5,304.4,,79.0,890.6,,-1088.8,445.2,-330.5,-50.3,332.6,,461.0,17460.1,-101.0,84.3,-1828.0,1166.4,-219.0,1019.3,917.7,404.0,-1620.5,-860.7,-372.9,-1428.0,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,,True,False,,False,False,False,True,False,,False,False,True,True,False,False,False,False,False,False,False,False,False,False
