,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9507,9452.9,9416.5,9379.0,9449.3,9381.0,9489.0,9207.0,9315.7,9254.0,9461.3,9469.3,,9354.6,,9319.0,9475.9,9184.2,9436.0,9469.7,9416.6,9404.9,9359.0,9431.0,9360.0,,9321.3,9384.8,9310.5,,9405.5,9364.1,,9353.5,9866.9,9448.0,9369.2,,9374.2,9498.0,,9517.7,9436.0,9405.5,9339.4,9401.1,9273.0,-54.1,-90.5,-128.0,-57.7,-126.0,-18.0,-300.0,-191.3,-253.0,-45.7,-37.7,,-152.4,,-188.0,-31.1,-322.8,-71.0,-37.3,-90.4,-102.1,-148.0,-76.0,-147.0,,-185.7,-122.2,-196.5,,-101.5,-142.9,,-153.5,359.9,-59.0,-137.8,,-132.8,-9.0,,10.7,-71.0,-101.5,-167.6,-105.9,-234.0,False,False,False,False,True,False,False,False,True,True,,False,,False,True,False,False,True,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,True,,True,False,False,False,False,False
Michigan,7124,7211.0,7225.0,7042.0,7228.7,7187.0,7275.0,7344.0,7221.7,7103.0,7156.0,7166.0,,7115.0,,7181.0,7192.1,7548.6,7401.4,7195.3,7019.1,7118.3,7105.0,7047.0,7234.3,7387.0,6937.4,7114.7,7218.0,,6998.3,6996.7,,7178.0,7489.1,7200.0,7143.9,,7289.4,7125.0,7434.9,7842.3,7219.0,7026.0,6948.0,7111.3,7063.0,87.0,101.0,-82.0,104.7,63.0,151.0,220.0,97.7,-21.0,32.0,42.0,,-9.0,,57.0,68.1,424.6,277.4,71.3,-104.9,-5.7,-19.0,-77.0,110.3,263.0,-186.6,-9.3,94.0,,-125.7,-127.3,,54.0,365.1,76.0,19.9,,165.4,1.0,310.9,718.3,95.0,-98.0,-176.0,-12.7,-61.0,False,True,False,True,False,False,False,True,True,True,,True,,True,True,False,False,True,False,True,True,True,False,False,False,True,False,,False,False,,True,False,True,True,,False,True,False,False,False,False,False,True,True
Minnesota,2126,2148.1,2128.0,2097.0,2122.9,2114.0,2163.0,2106.0,2094.7,2013.0,2174.4,2054.8,,2069.5,,2176.0,2110.3,2187.0,2170.6,2121.9,2049.0,2086.6,2048.1,2102.0,2067.8,2277.5,2272.5,2094.0,2190.0,,2063.7,2083.6,,2095.1,2353.2,2132.0,2122.6,,2081.1,2130.0,2181.8,2341.6,2122.0,2070.0,1995.2,2119.1,2097.0,22.1,2.0,-29.0,-3.1,-12.0,37.0,-20.0,-31.3,-113.0,48.4,-71.2,,-56.5,,50.0,-15.7,61.0,44.6,-4.1,-77.0,-39.4,-77.9,-24.0,-58.2,151.5,146.5,-32.0,64.0,,-62.3,-42.4,,-30.9,227.2,6.0,-3.4,,-44.9,4.0,55.8,215.6,-4.0,-56.0,-130.8,-6.9,-29.0,True,False,True,True,False,True,False,False,False,False,,False,,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,True,,False,True,False,False,True,False,False,True,False
Mississippi,3011,3019.9,3030.6,2964.0,3033.1,2988.0,2776.0,2993.0,2928.3,2983.0,3105.8,2943.5,,2970.9,,3308.0,2987.6,2873.7,2930.0,3006.1,2920.7,2912.5,3083.9,2952.0,3100.1,,3245.7,2963.0,3109.0,,3066.0,2855.5,,2974.4,2742.2,2966.0,3008.0,,2997.4,2969.0,3066.0,3044.5,2945.0,2915.0,2956.5,2942.3,2913.0,8.9,19.6,-47.0,22.1,-23.0,-235.0,-18.0,-82.7,-28.0,94.8,-67.5,,-40.1,,297.0,-23.4,-137.3,-81.0,-4.9,-90.3,-98.5,72.9,-59.0,89.1,,234.7,-48.0,98.0,,55.0,-155.5,,-36.6,-268.8,-45.0,-3.0,,-13.6,-42.0,55.0,33.5,-66.0,-96.0,-54.5,-68.7,-98.0,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,True,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False
Missouri,2177,1862.4,1895.1,1935.0,1908.1,1978.0,2106.0,2263.0,2131.2,2016.0,1966.3,1967.4,,1896.5,,1942.0,2038.2,2016.8,2053.9,2012.7,2031.3,1957.2,2057.4,1901.0,2001.8,,2050.9,2039.2,1978.0,,1922.7,1805.9,,2071.4,2622.7,1978.0,1902.2,,1999.7,1936.0,1946.4,2229.0,1966.0,1934.0,1747.4,1950.5,1893.0,-314.6,-281.9,-242.0,-268.9,-199.0,-71.0,86.0,-45.8,-161.0,-210.7,-209.6,,-280.5,,-235.0,-138.8,-160.2,-123.1,-164.3,-145.7,-219.8,-119.6,-276.0,-175.2,,-126.1,-137.8,-199.0,,-254.3,-371.1,,-105.6,445.7,-199.0,-274.8,,-177.3,-241.0,-230.6,52.0,-211.0,-243.0,-429.6,-226.5,-284.0,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,True,False,True,True
Montana,186,186.4,187.3,179.0,184.0,175.0,136.0,182.0,191.4,159.0,181.9,169.0,,181.2,,239.0,174.6,157.1,192.1,180.6,161.2,165.0,197.0,222.0,192.0,,146.9,180.1,172.0,,,145.4,,175.0,216.5,191.0,173.5,,181.9,174.0,160.6,169.5,177.0,173.0,156.4,175.0,159.0,0.4,1.3,-7.0,-2.0,-11.0,-50.0,-4.0,5.4,-27.0,-4.1,-17.0,,-4.8,,53.0,-11.4,-28.9,6.1,-5.4,-24.8,-21.0,11.0,36.0,6.0,,-39.1,-5.9,-14.0,,,-40.6,,-11.0,30.5,5.0,-12.5,,-4.1,-12.0,-25.4,-16.5,-9.0,-13.0,-29.6,-11.0,-27.0,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nebraska,497,519.7,539.0,518.0,536.0,508.0,508.0,522.0,532.0,449.0,517.1,522.1,,497.2,,575.0,503.3,495.1,535.3,515.7,473.2,487.9,498.1,581.0,482.3,,465.7,546.5,494.0,,,468.4,,492.5,519.9,517.0,507.5,,479.2,486.0,494.8,510.4,502.0,490.0,464.4,489.0,487.0,22.7,42.0,21.0,39.0,11.0,11.0,25.0,35.0,-48.0,20.1,25.1,,0.2,,78.0,6.3,-1.9,38.3,18.7,-23.8,-9.1,1.1,84.0,-14.7,,-31.3,49.5,-3.0,,,-28.6,,-4.5,22.9,20.0,10.5,,-17.8,-11.0,-2.2,13.4,5.0,-7.0,-32.6,-8.0,-10.0,False,True,False,True,True,False,False,False,True,False,,True,,False,True,True,False,True,False,True,True,False,True,,False,False,True,,,False,,True,False,True,True,,True,True,True,True,True,True,False,True,True
Nevada,1620,1632.0,1623.0,1585.0,1632.0,1606.0,1628.0,1596.0,1602.4,1629.0,1718.8,1607.3,,1687.7,,1671.0,1599.8,1528.2,1613.0,1624.2,1580.9,1558.7,1755.7,1589.0,1550.6,,1511.0,1575.5,1609.0,,1707.5,1497.3,,1605.7,1865.1,1576.0,1658.9,,1558.1,1591.0,1650.1,1598.1,1582.0,1556.0,1609.4,1604.0,1496.0,12.0,3.0,-35.0,12.0,-14.0,8.0,-24.0,-17.6,9.0,98.8,-12.7,,67.7,,51.0,-20.2,-91.8,-7.0,4.2,-39.1,-61.3,135.7,-31.0,-69.4,,-109.0,-44.5,-11.0,,87.5,-122.7,,-14.3,245.1,-44.0,38.9,,-61.9,-29.0,30.1,-21.9,-38.0,-64.0,-10.6,-16.0,-124.0,True,False,False,False,True,False,False,True,False,False,,False,,False,False,False,True,True,False,False,False,False,False,,False,False,True,,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False
New Hampshire,442,444.6,445.8,443.0,446.2,447.0,459.0,444.0,445.7,438.0,449.0,443.8,,441.5,,453.0,445.5,460.7,454.2,438.0,447.4,436.7,442.4,444.0,448.9,,453.8,447.5,437.0,,,467.5,,440.9,463.0,453.0,446.5,,463.8,448.0,478.5,468.2,449.0,442.0,442.9,445.6,,2.6,3.8,1.0,4.2,5.0,17.0,2.0,3.7,-4.0,7.0,1.8,,-0.5,,11.0,3.5,18.7,12.2,-4.0,5.4,-5.3,0.4,2.0,6.9,,11.8,5.5,-5.0,,,25.5,,-1.1,21.0,11.0,4.5,,21.8,6.0,36.5,26.2,7.0,0.0,0.9,3.6,,False,True,False,False,False,True,False,False,False,True,,True,,False,False,False,False,False,False,False,True,True,False,,False,False,False,,,False,,True,False,False,False,,False,False,False,False,False,True,True,False,
New Jersey,16135,16151.0,16146.6,16135.0,16228.9,16147.0,16468.0,16194.0,16171.7,16064.0,16111.9,16289.0,,16176.6,,16289.0,16136.4,16320.8,16133.3,16192.2,16118.1,16149.9,16327.4,16096.0,16060.3,,16119.9,16158.9,16119.0,,16134.9,16073.7,,16164.7,16721.9,16180.0,16131.8,,16075.7,16140.0,17493.4,16537.4,16180.0,16087.5,16222.1,16130.9,16313.0,16.0,11.6,0.0,93.9,12.0,333.0,59.0,36.7,-71.0,-23.1,154.0,,41.6,,154.0,1.4,185.8,-1.7,57.2,-16.9,14.9,192.4,-39.0,-74.7,,-15.1,23.9,-16.0,,-0.1,-61.3,,29.7,586.9,45.0,-3.2,,-59.3,5.0,1358.4,402.4,45.0,-47.5,87.1,-4.1,178.0,True,True,False,True,False,False,False,False,False,False,,False,,False,True,False,True,False,False,True,False,False,False,,True,False,False,,True,False,,False,False,False,True,,False,True,False,False,False,False,False,True,False
New Mexico,890,880.1,885.7,868.0,884.0,880.0,837.0,889.0,876.8,866.0,896.3,886.4,,887.7,,939.0,871.9,860.7,906.8,869.5,870.9,864.7,955.9,878.0,874.4,,883.7,870.9,837.0,,,850.9,,881.6,1100.0,902.0,872.7,,888.6,872.0,925.2,894.7,869.0,846.0,876.5,879.9,858.0,-9.9,-4.3,-22.0,-6.0,-10.0,-53.0,-1.0,-13.2,-24.0,6.3,-3.6,,-2.3,,49.0,-18.1,-29.3,16.8,-20.5,-19.1,-25.3,65.9,-12.0,-15.6,,-6.3,-19.1,-53.0,,,-39.1,,-8.4,210.0,12.0,-17.3,,-1.4,-18.0,35.2,4.7,-21.0,-44.0,-13.5,-10.1,-32.0,True,False,True,False,False,True,False,False,True,True,,True,,False,False,False,False,False,False,False,False,False,False,,True,False,False,,,False,,True,False,False,False,,True,False,False,True,False,False,False,False,False
New York,33197,33125.9,33133.2,33141.0,33235.5,33179.0,33317.0,33291.0,33249.8,33026.0,33126.8,33224.9,,33010.1,,33371.0,33209.4,33582.8,33437.8,33208.8,33129.3,33096.4,33716.5,33240.0,33387.7,,33338.3,33155.7,33040.0,,33173.2,33517.2,,33126.8,33874.0,33160.0,33125.1,,33298.1,33172.0,36186.9,34055.7,33206.0,33085.0,33091.2,33161.0,33058.0,-71.1,-63.8,-56.0,38.5,-18.0,120.0,94.0,52.8,-171.0,-70.2,27.9,,-186.9,,174.0,12.4,385.8,240.8,11.8,-67.7,-100.6,519.5,43.0,190.7,,141.3,-41.3,-157.0,,-23.8,320.2,,-70.2,677.0,-37.0,-71.9,,101.1,-25.0,2989.9,858.7,9.0,-112.0,-105.8,-36.0,-139.0,True,True,True,True,False,False,True,False,True,True,,False,,False,True,False,False,True,True,False,False,True,False,,False,True,False,,True,False,,True,False,True,False,,False,True,False,False,True,False,False,True,False
North Carolina,3629,3514.9,3534.6,3464.0,3521.1,3505.0,3409.0,3788.0,3581.3,3506.0,3500.3,3502.9,,3438.9,,3707.0,3508.6,3334.3,3605.8,3506.8,3416.6,3443.8,3499.5,3438.0,3548.7,,3329.6,3493.3,3261.0,,3536.9,3261.9,,3525.7,4467.6,3561.0,3468.9,,3573.3,3449.0,3479.4,3536.0,3545.0,3620.0,3336.6,3484.0,3388.0,-114.1,-94.4,-165.0,-107.9,-124.0,-220.0,159.0,-47.7,-123.0,-128.7,-126.1,,-190.1,,78.0,-120.4,-294.7,-23.2,-122.2,-212.4,-185.2,-129.5,-191.0,-80.3,,-299.4,-135.7,-368.0,,-92.1,-367.1,,-103.3,838.6,-68.0,-160.1,,-55.7,-180.0,-149.6,-93.0,-84.0,-9.0,-292.4,-145.0,-241.0,True,False,True,False,False,False,True,False,False,False,,False,,True,False,False,True,False,False,False,False,False,True,,False,False,False,,True,False,,True,False,True,False,,True,False,False,True,True,True,False,False,False
North Dakota,271,202.3,206.7,212.0,203.0,209.0,208.0,216.0,224.4,169.0,214.5,206.4,,212.6,,221.0,222.1,209.0,216.1,220.6,210.3,200.4,202.8,255.0,205.1,,233.1,212.7,213.0,,,188.7,,193.4,210.8,209.0,179.3,,217.1,226.0,189.3,241.4,210.0,201.0,183.8,201.7,192.0,-68.7,-64.3,-59.0,-68.0,-62.0,-63.0,-55.0,-46.6,-102.0,-56.5,-64.6,,-58.4,,-50.0,-48.9,-62.0,-54.9,-50.4,-60.7,-70.6,-68.2,-16.0,-65.9,,-37.9,-58.3,-58.0,,,-82.3,,-77.6,-60.2,-62.0,-91.7,,-53.9,-45.0,-81.7,-29.6,-61.0,-70.0,-87.2,-69.3,-79.0,True,True,True,True,True,True,True,False,True,True,,True,,True,True,True,True,True,True,False,True,True,True,,True,True,True,,,False,,False,True,True,False,,True,True,False,True,True,False,False,False,False
Ohio,4925,4860.7,4843.6,4811.0,4875.2,4836.0,4845.0,4899.0,4767.0,4823.0,4848.3,4673.0,,4729.7,,5087.0,4844.2,4866.4,5035.2,4839.1,4711.0,4760.2,4934.0,4651.0,4818.0,5114.0,4445.5,4872.7,4789.0,,4774.7,4623.5,,4835.8,5298.0,4868.0,4830.4,,4784.3,4791.0,4951.2,5202.9,4827.0,4682.5,4706.5,4814.1,4866.0,-64.3,-81.4,-114.0,-49.8,-89.0,-80.0,-26.0,-158.0,-102.0,-76.7,-252.0,,-195.3,,162.0,-80.8,-58.6,110.2,-85.9,-214.0,-164.8,9.0,-274.0,-107.0,189.0,-479.5,-52.3,-136.0,,-150.3,-301.5,,-89.2,373.0,-57.0,-94.6,,-140.7,-134.0,26.2,277.9,-98.0,-242.5,-218.5,-110.9,-59.0,False,False,True,False,False,True,False,False,False,False,,False,,False,False,True,False,False,False,False,True,False,False,False,False,True,False,,False,False,,False,False,True,False,,False,False,True,False,False,False,False,False,True
Oklahoma,1051,1053.6,1053.9,1041.0,1046.0,1063.0,1185.0,1142.0,1052.3,1062.0,1124.7,1033.2,,1075.3,,1147.0,1094.2,1063.6,1173.4,1064.0,1026.7,1041.1,1127.8,1057.0,1076.0,,1076.8,1054.8,1071.0,,,976.0,,1053.9,1708.1,1106.0,1040.6,,1058.0,1076.0,1020.7,1127.6,1069.0,1068.0,994.3,1052.3,1014.0,2.6,2.9,-10.0,-5.0,12.0,134.0,91.0,1.3,11.0,73.7,-17.8,,24.3,,96.0,43.2,12.6,122.4,13.0,-24.3,-9.9,76.8,6.0,25.0,,25.8,3.8,20.0,,,-75.0,,2.9,657.1,55.0,-10.4,,7.0,25.0,-30.3,76.6,18.0,17.0,-56.7,1.3,-37.0,False,False,False,False,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False
Oregon,571,589.0,582.7,563.0,580.0,579.0,548.0,569.0,564.2,571.0,596.8,579.6,,582.5,,618.0,573.4,552.1,711.2,580.8,565.5,565.7,613.1,581.0,593.0,,565.8,572.5,557.0,,,547.8,,569.6,691.8,613.0,578.4,,607.8,574.0,570.8,582.0,571.0,582.0,558.0,575.7,554.0,18.0,11.7,-8.0,9.0,8.0,-23.0,-2.0,-6.8,0.0,25.8,8.6,,11.5,,47.0,2.4,-18.9,140.2,9.8,-5.5,-5.3,42.1,10.0,22.0,,-5.2,1.5,-14.0,,,-23.2,,-1.4,120.8,42.0,7.4,,36.8,3.0,-0.2,11.0,0.0,11.0,-13.0,4.7,-17.0,True,True,True,True,False,True,True,True,False,True,,True,,False,True,False,False,True,True,True,False,True,False,,True,True,True,,,False,,True,False,False,True,,False,True,True,True,True,True,True,True,True
Pennsylvania,8180,8054.7,8054.8,8042.0,8074.4,8089.0,8145.0,8205.0,8094.0,7983.0,8115.6,8192.0,,8055.6,,8105.0,8146.8,8345.6,8285.5,8108.8,7981.1,8016.0,8082.6,8034.0,8120.1,,8128.5,8070.6,7978.0,,8087.6,7934.0,,8102.6,12254.6,8034.0,8020.4,,8079.0,8106.0,8514.6,8673.9,8118.0,8089.0,7990.3,8040.6,8026.0,-125.3,-125.2,-138.0,-105.6,-91.0,-35.0,25.0,-86.0,-197.0,-64.4,12.0,,-124.4,,-75.0,-33.2,165.6,105.5,-71.2,-198.9,-164.0,-97.4,-146.0,-59.9,,-51.5,-109.4,-202.0,,-92.4,-246.0,,-77.4,4074.6,-146.0,-159.6,,-101.0,-74.0,334.6,493.9,-62.0,-91.0,-189.7,-139.4,-154.0,True,False,True,True,True,True,True,False,True,True,,True,,True,True,False,True,True,False,False,True,False,True,,True,True,False,,True,False,,True,False,False,False,,True,True,False,False,True,True,False,False,False
Rhode Island,1118,1116.7,1117.6,,1119.3,1110.0,1092.0,1109.0,1107.5,1073.0,1115.1,1113.4,,1118.7,,1094.0,1104.8,1121.4,1151.5,1126.0,1084.1,1091.0,1200.5,1085.0,1119.0,,1109.9,1127.3,1086.0,,1082.9,1102.5,,1101.0,1300.6,1100.0,1106.9,,1123.7,1095.0,1167.7,1159.8,1113.0,1089.0,0.0,1099.7,1100.0,-1.3,-0.4,,1.3,-8.0,-26.0,-9.0,-10.5,-45.0,-2.9,-4.6,,0.7,,-24.0,-13.2,3.4,33.5,8.0,-33.9,-27.0,82.5,-33.0,1.0,,-8.1,9.3,-32.0,,-35.1,-15.5,,-17.0,182.6,-18.0,-11.1,,5.7,-23.0,49.7,41.8,-5.0,-29.0,-1118.0,-18.3,-18.0,True,,True,False,False,False,False,False,False,False,,True,,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
South Carolina,3442,3569.7,3525.8,3445.0,3529.0,3491.0,3307.0,3716.0,3574.2,3500.0,3529.1,3452.7,,3603.1,,3481.0,3523.6,3315.5,3375.2,3423.8,3708.9,3460.3,3520.9,3331.0,3414.3,,3564.2,3444.4,3416.0,,3619.6,3309.3,,3540.5,4708.6,3783.0,3482.8,,3372.8,3611.0,3543.7,3507.9,3551.0,3473.5,3382.4,3439.3,3334.0,127.7,83.8,3.0,87.0,49.0,-135.0,274.0,132.2,58.0,87.1,10.7,,161.1,,39.0,81.6,-126.5,-66.8,-18.2,266.9,18.3,78.9,-111.0,-27.7,,122.2,2.4,-26.0,,177.6,-132.7,,98.5,1266.6,341.0,40.8,,-69.2,169.0,101.7,65.9,109.0,31.5,-59.6,-2.7,-108.0,True,True,True,True,False,False,False,True,True,True,,False,,True,True,True,True,True,False,True,True,True,True,,True,True,True,,False,False,,True,False,False,True,,True,False,True,True,True,True,True,True,True
South Dakota,248,215.4,213.4,217.0,213.0,213.0,223.0,198.0,225.2,190.0,215.8,208.7,,211.9,,252.0,226.1,215.1,211.8,218.3,203.5,199.1,244.9,281.0,204.8,,225.1,215.5,204.0,,,200.1,,212.9,206.4,219.0,207.1,,189.1,223.0,207.5,255.7,207.0,202.0,198.7,216.4,200.0,-32.6,-34.6,-31.0,-35.0,-35.0,-25.0,-50.0,-22.8,-58.0,-32.2,-39.3,,-36.1,,4.0,-21.9,-32.9,-36.2,-29.7,-44.5,-48.9,-3.1,33.0,-43.2,,-22.9,-32.5,-44.0,,,-47.9,,-35.1,-41.6,-29.0,-40.9,,-58.9,-25.0,-40.5,7.7,-41.0,-46.0,-49.3,-31.6,-48.0,False,True,False,False,True,False,True,False,True,False,,False,,True,True,False,False,True,False,False,True,False,False,,True,True,False,,,False,,False,False,True,False,,False,True,False,True,False,False,False,True,False
Tennessee,2560,2686.6,2704.5,2530.0,2670.0,2510.0,2770.0,2562.0,2444.7,2414.0,2565.6,2514.8,,2325.7,,2565.0,2467.0,2270.3,2576.9,2425.8,2390.2,2486.6,2608.4,2339.0,2484.9,,2246.0,2577.0,2599.5,,2466.1,2309.7,,2461.0,3195.9,2567.0,2606.4,,2415.6,2510.0,2447.7,2391.5,2610.0,2530.5,2310.9,2486.7,2353.0,126.6,144.5,-30.0,110.0,-50.0,210.0,2.0,-115.3,-146.0,5.6,-45.2,,-234.3,,5.0,-93.0,-289.7,16.9,-134.2,-169.8,-73.4,48.4,-221.0,-75.1,,-314.0,17.0,39.5,,-93.9,-250.3,,-99.0,635.9,7.0,46.4,,-144.4,-50.0,-112.3,-168.5,50.0,-29.5,-249.1,-73.3,-207.0,False,True,True,True,False,True,True,False,True,True,,False,,True,True,False,True,False,False,True,True,False,True,,False,True,True,,True,False,,True,False,True,True,,False,True,True,False,True,True,False,True,False
Texas,16295,16550.7,16606.3,16226.0,16600.1,16173.0,15875.0,15871.0,15819.3,16559.0,16177.1,16111.6,,15853.0,,16286.0,16161.0,15563.9,16338.6,16356.6,16267.4,16078.3,17715.3,15895.0,15852.5,,16138.1,16149.6,16257.5,,17141.2,15558.0,15907.0,16140.2,23766.2,18130.0,16383.9,,16102.0,16196.0,16570.0,16133.6,16188.0,16209.0,15926.8,15969.0,14705.0,255.7,311.3,-69.0,305.1,-122.0,-420.0,-424.0,-475.7,264.0,-117.9,-183.4,,-442.0,,-9.0,-134.0,-731.1,43.6,61.6,-27.6,-216.7,1420.3,-400.0,-442.5,,-156.9,-145.4,-37.5,,846.2,-737.0,-388.0,-154.8,7471.2,1835.0,88.9,,-193.0,-99.0,275.0,-161.4,-107.0,-86.0,-368.2,-326.0,-1590.0,False,True,False,True,False,False,False,False,True,True,,False,,True,True,False,True,True,True,True,False,False,False,,True,True,True,,False,False,False,True,False,False,True,,True,True,False,True,True,True,False,False,False
Utah,476,464.4,472.7,482.0,472.0,483.0,509.0,488.0,510.6,466.0,478.2,469.2,,387.6,,551.0,485.7,421.2,530.0,489.6,481.6,468.9,489.3,418.0,491.0,,518.0,478.4,453.0,,,440.2,,476.9,781.1,472.0,480.0,,503.2,494.0,488.1,491.5,481.0,482.0,388.6,484.0,454.0,-11.6,-3.3,6.0,-4.0,7.0,33.0,12.0,34.6,-10.0,2.2,-6.8,,-88.4,,75.0,9.7,-54.8,54.0,13.6,5.6,-7.1,13.3,-58.0,15.0,,42.0,2.4,-23.0,,,-35.8,,0.9,305.1,-4.0,4.0,,27.2,18.0,12.1,15.5,5.0,6.0,-87.4,8.0,-22.0,True,True,True,True,False,False,False,True,True,True,,False,,False,True,False,False,False,True,True,False,False,False,,False,True,False,,,False,,True,False,True,True,,False,False,False,False,True,True,False,True,False
Vermont,58,58.0,58.0,58.0,59.0,59.0,59.0,58.0,58.7,58.0,60.6,59.4,,60.6,,66.0,58.0,62.1,67.5,58.5,58.9,58.0,60.9,74.0,58.7,,59.2,58.0,58.0,,,58.0,,59.5,59.4,59.0,58.1,,75.8,59.0,62.7,62.5,58.0,62.0,58.0,60.4,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.7,0.0,2.6,1.4,,2.6,,8.0,0.0,4.1,9.5,0.5,0.9,0.0,2.9,16.0,0.7,,1.2,0.0,0.0,,,0.0,,1.5,1.4,1.0,0.1,,17.8,1.0,4.7,4.5,0.0,4.0,-0.0,2.4,,True,True,False,False,False,True,False,True,False,False,,False,,False,True,False,False,False,False,True,False,False,False,,False,True,True,,,True,,False,False,False,False,,False,False,False,False,True,False,False,False,
