,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Pennsylvania,6749,6762.9,6806.0,6787.0,6774.6,6775.0,6837.6,6739.0,6745.2,,6599.7,,,6828.0,6816.9,6800.7,6827.2,6794.3,,6737.2,6790.9,6742.0,,6787.0,6686.0,6743.3,6743.0,6693.3,6804.1,6766.0,6756.9,6781.7,13.9,57.0,38.0,25.6,26.0,88.6,-10.0,-3.8,,-149.3,,,79.0,67.9,51.7,78.2,45.3,,-11.8,41.9,-7.0,,38.0,-63.0,-5.7,-6.0,-55.7,55.1,17.0,7.9,32.7,False,False,False,False,False,True,True,,False,,,False,False,False,False,False,,True,False,True,,False,False,True,True,False,False,False,True,False
Rhode Island,960,955.3,970.0,960.0,958.1,940.0,956.5,950.0,949.9,,965.4,,,1009.0,637.2,940.9,944.0,972.4,,953.2,950.2,959.0,,963.0,932.0,958.5,945.0,789.8,948.6,962.0,954.3,,-4.7,10.0,0.0,-1.9,-20.0,-3.5,-10.0,-10.1,,5.4,,,49.0,-322.8,-19.1,-16.0,12.4,,-6.8,-9.8,-1.0,,3.0,-28.0,-1.5,-15.0,-170.2,-11.4,2.0,-5.7,,False,True,True,False,True,False,False,,False,,,False,False,False,False,False,,False,False,True,,True,False,True,False,False,False,True,False,
South Carolina,813,770.0,791.0,778.0,789.7,1070.0,847.8,834.0,783.8,,766.7,,,721.0,805.0,782.5,804.1,752.6,,765.5,793.6,755.0,,751.0,789.0,738.0,792.0,429.6,809.8,772.0,774.8,,-43.0,-22.0,-35.0,-23.3,257.0,34.8,21.0,-29.2,,-46.3,,,-92.0,-8.0,-30.5,-8.9,-60.4,,-47.5,-19.4,-58.0,,-62.0,-24.0,-75.0,-21.0,-383.4,-3.2,-41.0,-38.2,,True,True,True,False,True,True,True,,False,,,False,True,True,True,False,,False,True,False,,False,True,False,True,False,True,True,True,
South Dakota,97,99.6,104.0,101.0,98.8,95.0,88.7,96.0,99.7,,101.2,,,93.0,107.3,97.0,111.7,96.8,,99.6,98.9,101.0,,97.0,100.0,93.8,97.0,94.0,97.2,104.0,99.1,,2.6,7.0,4.0,1.8,-2.0,-8.3,-1.0,2.7,,4.2,,,-4.0,10.3,0.0,14.7,-0.2,,2.6,1.9,4.0,,0.0,3.0,-3.2,0.0,-3.0,0.2,7.0,2.1,,False,False,True,True,False,True,False,,False,,,False,False,True,False,True,,True,True,False,,True,False,False,True,False,True,False,True,
Tennessee,637,633.7,665.0,644.0,641.7,714.0,595.3,644.0,650.5,,653.6,,,663.0,675.0,616.1,650.2,641.4,,621.9,657.5,618.0,,622.0,614.0,612.4,628.0,543.8,651.0,640.0,635.0,,-3.3,28.0,7.0,4.7,77.0,-41.7,7.0,13.5,,16.6,,,26.0,38.0,-20.9,13.2,4.4,,-15.1,20.5,-19.0,,-15.0,-23.0,-24.6,-9.0,-93.2,14.0,3.0,-2.0,,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,True,True,
Texas,2951,2582.9,2736.0,2593.0,2648.0,3168.0,2652.1,2779.0,2548.5,,2676.2,,,2486.0,2787.7,2560.7,2589.9,2540.3,,2561.6,2653.4,2520.0,2673.0,2581.0,2599.0,2592.9,2665.0,1655.2,2676.4,2626.0,2601.7,2621.0,-142.1,11.0,-132.0,-77.0,443.0,-72.9,54.0,-176.5,,-48.8,,,-239.0,62.7,-164.3,-135.1,-184.7,,-163.4,-71.6,-205.0,-52.0,-144.0,-126.0,-132.1,-60.0,-1069.8,-48.6,-99.0,-123.3,-104.0,True,True,True,False,True,True,False,,True,,,False,True,False,True,False,,False,True,False,True,False,True,True,True,False,True,True,True,True
Utah,181,174.7,210.0,179.0,189.3,230.0,219.1,195.0,,,190.3,,,180.0,199.9,182.4,194.7,180.4,,184.7,177.3,185.0,,177.0,174.0,174.8,183.0,144.9,184.1,184.0,179.3,,-6.3,29.0,-2.0,8.3,49.0,38.1,14.0,,,9.3,,,-1.0,18.9,1.4,13.7,-0.6,,3.7,-3.7,4.0,,-4.0,-7.0,-6.2,2.0,-36.1,3.1,3.0,-1.7,,False,True,False,False,False,False,,,False,,,True,False,True,False,True,,True,True,True,,True,False,True,True,False,True,True,True,
Vermont,56,56.0,58.0,56.0,56.7,56.0,57.2,57.0,56.5,,57.9,,,56.0,58.5,57.5,58.6,56.3,,57.0,56.4,56.0,,,57.0,57.1,56.0,51.1,56.3,57.0,56.3,,0.0,2.0,0.0,0.7,0.0,1.2,1.0,0.5,,1.9,,,0.0,2.5,1.5,2.6,0.3,,1.0,0.4,0.0,,,1.0,1.1,0.0,-4.9,0.3,1.0,0.3,,False,True,False,True,False,False,False,,False,,,True,False,False,False,False,,False,False,True,,,False,False,True,False,False,False,False,
Virginia,1849,1835.7,1853.0,1841.0,1806.5,1833.0,1790.9,1793.0,1771.6,,1753.4,,,1858.0,1860.7,1796.7,1903.0,1801.0,,1795.4,1856.4,1774.0,,1805.0,1838.0,1763.9,1811.0,1648.8,1777.1,1819.0,1795.9,1788.3,-13.3,4.0,-8.0,-42.5,-16.0,-58.1,-56.0,-77.4,,-95.6,,,9.0,11.7,-52.3,54.0,-48.0,,-53.6,7.4,-75.0,,-44.0,-11.0,-85.1,-38.0,-200.2,-71.9,-30.0,-53.1,-60.7,True,True,False,False,False,False,False,,False,,,True,True,False,False,False,,False,True,False,,False,True,False,False,False,False,False,False,False
Washington,1354,1344.3,1372.0,1355.0,1352.0,1394.0,1323.9,1371.0,,,1348.7,,,1330.0,1376.1,1353.7,1378.4,1338.1,,1348.1,1369.5,1332.0,,1329.0,1345.0,1327.8,1352.0,1287.5,1362.7,1354.0,1346.5,,-9.7,18.0,1.0,-2.0,40.0,-30.1,17.0,,,-5.3,,,-24.0,22.1,-0.3,24.4,-15.9,,-5.9,15.5,-22.0,,-25.0,-9.0,-26.2,-2.0,-66.5,8.7,0.0,-7.5,,False,True,True,False,False,False,,,True,,,False,False,True,False,False,,True,False,False,,False,True,False,True,False,True,True,True,
West Virginia,94,96.4,98.0,98.0,97.6,103.0,93.9,98.0,96.9,,99.7,,,93.0,107.4,98.3,121.5,95.2,,99.2,98.0,93.0,,96.0,96.0,96.5,96.0,97.2,98.4,98.0,96.1,,2.4,4.0,4.0,3.6,9.0,-0.1,4.0,2.9,,5.7,,,-1.0,13.4,4.3,27.5,1.2,,5.2,4.0,-1.0,,2.0,2.0,2.5,2.0,3.2,4.4,4.0,2.1,,False,False,False,False,True,False,False,,False,,,True,False,False,False,True,,False,False,True,,True,True,False,True,False,False,False,True,
Wisconsin,796,805.3,832.0,810.0,818.4,825.0,807.6,822.0,825.9,,818.8,,,810.0,861.6,827.5,900.1,815.6,822.0,815.6,821.0,813.0,,813.0,802.0,798.8,815.0,707.1,819.9,809.0,811.0,,9.3,36.0,14.0,22.4,29.0,11.6,26.0,29.9,,22.8,,,14.0,65.6,31.5,104.1,19.6,26.0,19.6,25.0,17.0,,17.0,6.0,2.8,19.0,-88.9,23.9,13.0,15.0,,False,False,False,False,False,False,False,,False,,,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,False,False,False,
Wyoming,20,20.0,22.0,20.0,21.5,20.0,21.8,22.0,21.7,,18.7,,,20.0,24.7,22.5,24.1,21.0,,22.0,22.5,20.0,,22.0,20.0,20.3,21.0,20.8,21.0,22.0,21.1,,0.0,2.0,0.0,1.5,0.0,1.8,2.0,1.7,,-1.3,,,0.0,4.7,2.5,4.1,1.0,,2.0,2.5,0.0,,2.0,0.0,0.3,1.0,0.8,1.0,2.0,1.1,,False,True,False,True,False,False,False,,False,,,True,False,False,False,False,,False,False,True,,False,True,False,False,False,False,False,False,
US,130069,130795.0,130458.0,131358.0,130539.8,132730.0,127624.8,130244.0,130428.6,,128765.2,129321.0,129320.0,128216.0,130343.5,130716.4,130668.6,129338.4,,129430.9,130018.0,128980.0,128313.0,128581.0,130202.0,129258.3,130023.0,120153.9,130719.3,129721.5,129139.2,128491.3,1644.0,1307.0,2207.0,1388.8,3579.0,-1526.2,1093.0,1277.6,,-385.8,170.0,169.0,-935.0,1192.5,1565.4,1517.6,187.4,,279.9,867.0,-171.0,-838.0,-570.0,1051.0,107.3,872.0,-8997.1,1568.3,570.5,-11.8,-659.7,True,False,True,False,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,True
