,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New Jersey,15943,15976.0,16561.0,16105.7,16095.0,16474.0,,15859.2,15993.0,16073.1,,,16302.6,16074.0,15938.3,16053.8,16144.5,16504.0,15981.2,15947.8,,16164.1,15945.6,15833.0,,,16395.3,,16124.0,15984.6,,15999.0,,16463.3,16253.0,16129.0,16093.4,16259.0,33.0,618.0,162.7,152.0,531.0,,-83.8,50.0,130.1,,,359.6,131.0,-4.7,110.8,201.5,561.0,38.2,4.8,,221.1,2.6,-110.0,,,452.3,,181.0,41.6,,56.0,,520.3,310.0,186.0,150.4,316.0,False,False,False,False,,False,False,False,,,False,False,True,False,False,False,False,True,,False,True,False,,,False,,False,False,,False,,False,False,False,False,False
New Mexico,743,768.3,752.0,783.1,761.0,741.0,,728.8,751.0,773.0,789.1,,730.2,814.0,793.2,836.5,746.3,718.4,749.7,770.7,,672.3,785.6,837.0,,,727.7,,746.0,772.9,,751.0,754.0,822.3,791.0,830.0,778.2,,25.3,9.0,40.1,18.0,-2.0,,-14.2,8.0,30.0,46.1,,-12.8,71.0,50.2,93.5,3.3,-24.6,6.7,27.7,,-70.7,42.6,94.0,,,-15.3,,3.0,29.9,,8.0,11.0,79.3,48.0,87.0,35.2,,True,False,True,True,,True,True,False,False,,True,False,False,False,True,True,True,False,,False,False,False,,,True,,True,False,,True,True,False,False,False,False,
New York,32871,32938.6,34379.0,33098.8,32981.0,33117.0,,32763.1,32739.0,32914.9,33073.9,,33298.1,33008.0,33012.2,32872.2,25316.6,32976.5,28407.2,32940.8,,32387.9,32913.6,32832.0,,,33080.2,,32840.0,32850.4,,32953.0,,33822.4,32936.0,32985.5,32940.4,32942.0,67.6,1508.0,227.8,110.0,246.0,,-107.9,-132.0,43.9,202.9,,427.1,137.0,141.2,1.2,-7554.4,105.5,-4463.8,69.8,,-483.1,42.6,-39.0,,,209.2,,-31.0,-20.6,,82.0,,951.4,65.0,114.5,69.4,71.0,False,False,False,False,,False,False,True,False,,False,False,False,True,False,False,False,False,,False,True,True,,,False,,True,True,,False,,False,True,False,False,False
North Carolina,2521,2457.3,2535.0,2483.4,2483.0,2743.0,,2488.5,2681.0,2603.5,,2992.7,2370.0,2283.0,2490.7,3093.0,2832.6,2287.8,2287.3,2492.3,,2082.1,2519.7,2261.0,,,2275.0,,2405.0,2423.9,,2340.0,2373.9,2561.6,2495.0,2590.0,2417.1,2256.0,-63.7,14.0,-37.6,-38.0,222.0,,-32.5,160.0,82.5,,471.7,-151.0,-238.0,-30.3,572.0,311.6,-233.2,-233.7,-28.7,,-438.9,-1.3,-260.0,,,-246.0,,-116.0,-97.1,,-181.0,-147.1,40.6,-26.0,69.0,-103.9,-265.0,True,True,True,False,,True,False,False,,False,False,False,True,False,False,False,False,True,,False,True,False,,,False,,False,False,,False,False,True,True,False,False,False
North Dakota,135,122.1,134.0,115.0,124.0,124.0,,138.3,120.0,127.8,124.2,,127.0,110.0,142.5,163.4,131.0,116.8,135.3,111.4,,111.7,119.3,154.0,,,123.4,,116.0,112.8,,125.0,,140.6,131.0,133.0,125.3,,-12.9,-1.0,-20.0,-11.0,-11.0,,3.3,-15.0,-7.2,-10.8,,-8.0,-25.0,7.5,28.4,-4.0,-18.2,0.3,-23.6,,-23.3,-15.7,19.0,,,-11.6,,-19.0,-22.2,,-10.0,,5.6,-4.0,-2.0,-9.7,,True,False,True,True,,True,False,True,True,,True,False,True,False,True,False,True,False,,False,False,False,,,True,,False,False,,True,,True,True,True,True,
Ohio,3975,4163.3,3983.0,4170.1,4035.0,4035.0,,3849.0,4079.0,4023.7,4337.3,,3999.4,3784.0,4288.0,4497.8,4059.9,3864.0,4127.5,3775.6,3577.5,3580.0,4239.6,4289.0,,,3867.9,,4060.0,4147.3,,3999.0,3939.8,4528.3,4141.0,4198.0,4016.8,3962.0,188.3,8.0,195.1,60.0,60.0,,-126.0,104.0,48.7,362.3,,24.4,-191.0,313.0,522.8,84.9,-111.0,152.5,-199.4,-397.5,-395.0,264.6,314.0,,,-107.1,,85.0,172.3,,24.0,-35.2,553.3,166.0,223.0,41.8,-13.0,True,False,True,True,,True,True,True,False,,True,False,False,False,True,True,True,False,False,False,False,False,,,True,,True,True,,True,True,False,True,False,True,True
Oklahoma,725,704.3,726.0,708.0,740.0,1034.0,,776.7,742.0,803.0,736.5,,678.4,677.0,761.9,952.2,772.9,635.7,664.3,721.1,,546.9,772.9,929.0,,,631.0,,668.0,682.7,,707.0,,801.7,779.0,834.5,702.3,680.0,-20.7,1.0,-17.0,15.0,309.0,,51.7,17.0,78.0,11.5,,-46.6,-48.0,36.9,227.2,47.9,-89.3,-60.7,-3.9,,-178.1,47.9,204.0,,,-94.0,,-57.0,-42.3,,-18.0,,76.7,54.0,109.5,-22.7,-45.0,True,True,True,False,,False,True,False,True,,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,,True,,False,False,False,False,False
Oregon,417,431.7,419.0,445.0,433.0,405.0,,411.2,416.0,477.5,432.7,,391.7,400.0,438.7,595.5,437.3,403.3,488.7,507.0,,421.2,452.8,470.0,,,389.5,,406.0,432.8,,411.0,,438.9,449.0,543.0,455.9,,14.7,2.0,28.0,16.0,-12.0,,-5.8,-1.0,60.5,15.7,,-25.3,-17.0,21.7,178.5,20.3,-13.7,71.7,90.0,,4.2,35.8,53.0,,,-27.5,,-11.0,15.8,,-6.0,,21.9,32.0,126.0,38.9,,True,False,False,True,,True,True,False,False,,False,False,False,False,False,True,False,False,,True,False,False,,,False,,True,False,,True,,False,False,False,False,
Pennsylvania,7555,7497.3,7712.0,7516.2,7492.0,7660.0,,7463.3,7398.0,7464.9,7597.2,,7565.0,7402.0,7545.5,7733.5,7498.6,7406.0,7676.3,7418.8,,7419.3,7471.8,7418.0,,,7541.1,,7438.0,7488.0,,7496.0,7648.5,8266.4,7541.0,7550.5,7501.2,7372.0,-57.7,157.0,-38.8,-63.0,105.0,,-91.7,-157.0,-90.1,42.2,,10.0,-153.0,-9.5,178.5,-56.4,-149.0,121.3,-136.2,,-135.7,-83.2,-137.0,,,-13.9,,-117.0,-67.0,,-59.0,93.5,711.4,-14.0,-4.5,-53.8,-183.0,False,True,False,False,,False,False,False,True,,True,False,True,False,True,False,False,False,,False,False,False,,,True,,False,False,,False,False,False,True,True,True,False
Rhode Island,1030,1021.3,1086.0,1027.3,1029.0,1070.0,,1029.2,1023.0,1024.6,1037.9,,1022.5,1068.0,1030.4,997.5,1064.4,1037.6,1027.2,1147.4,,1033.0,1028.6,1020.0,,,1027.7,,1031.0,1024.6,,1024.0,1078.5,1079.2,1026.0,1017.0,1034.3,,-8.7,56.0,-2.7,-1.0,40.0,,-0.8,-7.0,-5.4,7.9,,-7.5,38.0,0.4,-32.5,34.4,7.6,-2.8,117.4,,3.0,-1.4,-10.0,,,-2.3,,1.0,-5.4,,-6.0,48.5,49.2,-4.0,-13.0,4.3,,False,True,True,False,,True,True,True,True,,True,False,True,False,False,True,True,False,,True,True,False,,,True,,True,True,,True,False,False,True,False,True,
South Carolina,2493,2594.1,2657.0,2609.2,2496.0,2496.0,,2132.4,2341.0,3261.9,,,2552.6,2272.0,2638.0,2554.9,2742.4,2413.5,2230.8,3177.9,,2524.7,2518.4,3808.5,,,2165.1,,2467.0,2345.6,,2402.0,2797.9,2411.7,2556.0,3777.0,2579.9,2286.0,101.1,164.0,116.2,3.0,3.0,,-360.6,-152.0,768.9,,,59.6,-221.0,145.0,61.9,249.4,-79.5,-262.2,684.9,,31.7,25.4,1315.5,,,-327.9,,-26.0,-147.4,,-91.0,304.9,-81.3,63.0,1284.0,86.9,-207.0,False,False,True,True,,False,False,False,,,True,False,False,True,False,True,False,False,,True,True,False,,,False,,True,False,,True,False,True,True,False,True,False
South Dakota,160,169.3,173.0,170.0,160.0,143.0,,150.4,151.0,196.0,156.9,,150.0,157.0,168.0,177.0,166.4,159.8,157.8,155.5,,165.7,179.1,153.0,,,152.2,,195.0,175.1,,166.0,160.0,154.1,150.0,177.0,160.2,,9.3,13.0,10.0,0.0,-17.0,,-9.6,-9.0,36.0,-3.1,,-10.0,-3.0,8.0,17.0,6.4,-0.2,-2.2,-4.5,,5.7,19.1,-7.0,,,-7.8,,35.0,15.1,,6.0,0.0,-5.9,-10.0,17.0,0.2,,False,False,True,False,,False,True,False,True,,False,True,True,False,True,True,True,True,,True,False,True,,,True,,False,False,,True,True,True,False,False,True,
Tennessee,1563,1375.9,1565.0,1376.0,1431.0,2396.0,,1670.6,1486.0,1692.6,1422.8,,1451.5,1376.0,1503.2,1809.3,1680.7,1268.9,1488.0,1542.3,,1368.2,1443.9,1605.0,,,1286.2,,1348.0,1319.2,,1350.0,1401.5,1478.8,1474.0,1542.0,1415.1,1301.0,-187.1,2.0,-187.0,-132.0,833.0,,107.6,-77.0,129.6,-140.2,,-111.5,-187.0,-59.8,246.3,117.7,-294.1,-75.0,-20.7,,-194.8,-119.1,42.0,,,-276.8,,-215.0,-243.8,,-213.0,-161.5,-84.2,-89.0,-21.0,-147.9,-262.0,True,True,True,False,,True,True,True,True,,True,True,True,False,True,False,True,True,,False,True,True,,,False,,False,False,,False,True,True,True,True,True,False
Texas,11581,12026.6,9278.0,12489.7,10352.0,10227.0,,8975.4,9456.0,14080.0,,,9617.8,11626.0,10600.4,9939.7,10777.2,8565.2,8117.3,16226.8,,9190.6,11522.7,19885.0,,,10359.1,9927.0,9659.0,12297.9,,9299.0,,9566.7,10696.0,16633.5,10392.7,10682.0,1148.6,-1600.0,1611.7,-526.0,-651.0,,-1902.6,-1422.0,3202.0,,,-1260.2,748.0,-277.6,-938.3,-100.8,-2312.8,-2760.7,5348.8,,-1687.4,644.7,9007.0,,,-518.9,-951.0,-1219.0,1419.9,,-1579.0,,-1311.3,-182.0,5755.5,-485.3,-196.0,False,False,True,True,,False,False,False,,,False,True,True,True,True,False,False,False,,False,True,False,,,True,True,False,False,,False,,False,True,False,True,True
Utah,385,416.7,493.0,418.0,412.0,374.0,,432.7,402.0,499.2,385.4,,367.0,383.0,427.6,547.1,415.8,369.2,373.2,449.7,,446.8,378.0,470.0,,,,,395.0,412.2,,381.0,407.9,377.8,405.0,473.0,429.4,,31.7,108.0,33.0,27.0,-11.0,,47.7,17.0,114.2,0.4,,-18.0,-2.0,42.6,162.1,30.8,-15.8,-11.8,64.7,,61.8,-7.0,85.0,,,,,10.0,27.2,,-4.0,22.9,-7.2,20.0,88.0,44.4,,False,False,True,True,,False,True,False,True,,True,True,False,False,True,True,True,False,,False,True,False,,,,,True,True,,True,True,True,True,False,False,
Vermont,58,59.9,63.0,60.4,59.0,57.0,,58.6,57.0,58.3,58.2,,56.5,57.0,59.9,63.3,58.8,57.5,58.9,58.1,,61.3,58.5,57.0,,,59.0,,58.0,60.4,,58.0,,61.8,57.0,67.0,59.5,,1.9,5.0,2.4,1.0,-1.0,,0.6,-1.0,0.3,0.2,,-1.5,-1.0,1.9,5.3,0.8,-0.5,0.9,0.1,,3.3,0.5,-1.0,,,1.0,,0.0,2.4,,0.0,,3.8,-1.0,9.0,1.5,,False,False,True,True,,True,True,True,True,,True,True,False,False,True,True,True,True,,False,True,True,,,True,,True,False,,True,,False,True,False,True,
Virginia,2443,2618.0,2616.0,2634.8,2518.0,2530.0,,2495.8,2372.0,2461.6,2496.2,,2177.4,2330.0,2724.1,2762.4,2725.3,2378.7,2412.9,2607.9,,2320.0,2756.9,2353.5,,,2484.0,,2589.0,2687.9,,2574.0,2475.7,2694.9,2439.0,2577.0,2567.0,2758.0,175.0,173.0,191.8,75.0,87.0,,52.8,-71.0,18.6,53.2,,-265.6,-113.0,281.1,319.4,282.3,-64.3,-30.1,164.9,,-123.0,313.9,-89.5,,,41.0,,146.0,244.9,,131.0,32.7,251.9,-4.0,134.0,124.0,315.0,True,False,True,True,,True,True,True,True,,False,True,False,False,False,True,True,True,,True,False,True,,,True,,True,False,,True,True,False,True,True,True,False
Washington,1857,1867.4,1849.0,1886.5,1825.0,1805.0,,1819.7,1860.0,1827.9,1772.1,,1681.3,1805.0,1976.9,1957.2,1808.3,1736.4,1890.3,1874.0,,1705.8,1897.9,1853.5,,,1746.6,,1895.0,1893.7,,1830.0,,2048.5,1846.0,1927.0,1844.8,1804.0,10.4,-8.0,29.5,-32.0,-52.0,,-37.3,3.0,-29.1,-84.9,,-175.7,-52.0,119.9,100.2,-48.7,-120.6,33.3,17.0,,-151.2,40.9,-3.5,,,-110.4,,38.0,36.7,,-27.0,,191.5,-11.0,70.0,-12.2,-53.0,True,False,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,,False,False,True,,,False,,False,False,,False,,False,False,False,False,False
West Virginia,177,157.0,147.0,155.0,147.0,154.0,,150.5,144.0,148.4,146.0,,113.1,128.0,145.7,184.0,142.1,130.4,134.8,145.9,,121.7,148.2,276.5,,,138.5,,148.0,159.4,,146.0,,160.5,151.0,186.0,146.1,,-20.0,-30.0,-22.0,-30.0,-23.0,,-26.5,-33.0,-28.6,-31.0,,-63.9,-49.0,-31.3,7.0,-34.9,-46.6,-42.2,-31.1,,-55.3,-28.8,99.5,,,-38.5,,-29.0,-17.6,,-31.0,,-16.5,-26.0,9.0,-30.9,,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,,False,False,False,,,False,,False,True,,False,,True,False,True,False,
Wisconsin,1081,1108.0,1190.0,1115.1,1113.0,1210.0,,1187.8,1115.0,1075.7,1142.5,,1152.9,1031.0,1159.0,1406.0,1115.7,1052.8,1073.2,1017.4,1075.0,943.2,1117.3,995.0,,,1064.4,,1093.0,1096.1,,1091.0,1046.3,1257.0,1142.0,1113.0,1125.3,1086.0,27.0,109.0,34.1,32.0,129.0,,106.8,34.0,-5.3,61.5,,71.9,-50.0,78.0,325.0,34.7,-28.2,-7.8,-63.6,-6.0,-137.8,36.3,-86.0,,,-16.6,,12.0,15.1,,10.0,-34.7,176.0,61.0,32.0,44.3,5.0,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,True,False,False,False,,,True,,True,True,,True,False,False,False,False,False,True
Wyoming,37,28.9,38.0,29.1,31.0,26.0,,38.1,33.0,33.8,31.1,,32.8,29.0,34.4,53.5,39.0,29.3,34.2,29.2,,57.5,29.4,30.0,,,26.8,,31.0,28.7,,30.0,,34.3,27.0,33.0,29.3,,-8.1,1.0,-7.9,-6.0,-11.0,,1.1,-4.0,-3.2,-5.9,,-4.2,-8.0,-2.6,16.5,2.0,-7.7,-2.8,-7.8,,20.5,-7.6,-7.0,,,-10.2,,-6.0,-8.3,,-7.0,,-2.7,-10.0,-4.0,-7.7,,True,True,True,False,,True,True,True,True,,True,True,True,False,True,True,True,True,,False,True,True,,,False,,True,False,,True,,True,False,True,True,
US,176353,177502.9,172310.0,178388.7,175060.0,179387.0,174193.0,171614.3,172448.0,183590.2,175573.7,,173341.2,173832.0,178511.4,179860.7,170735.3,168840.5,164407.1,185579.7,,165979.9,177623.9,193611.0,178630.4,183747.5,169071.1,196063.0,165319.0,178181.4,167453.0,173916.0,169521.6,182809.3,179860.0,194288.5,175925.9,171140.0,1854.9,-3338.0,2740.7,-588.0,3739.0,-1455.0,-4033.7,-3200.0,7942.2,-74.3,,-2306.8,-1816.0,2863.4,4212.7,-4912.7,-6807.5,-11240.9,9931.7,,-9668.1,1975.9,17963.0,2982.4,8099.5,-6576.9,20415.0,-10329.0,2533.4,-8195.0,-1732.0,-6126.4,7161.3,4212.0,18640.5,277.9,-4508.0,False,False,True,False,True,False,False,False,True,,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
