,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New Jersey,15943,16099.4,16126.0,16334.1,16292.0,16689.0,,16108.3,16051.0,16491.8,,,16799.5,15982.0,15918.0,16175.7,16254.8,16636.4,16137.7,16045.1,16885.8,,16163.9,16320.3,16087.0,,16512.2,,16275.0,15839.7,,16218.0,,16462.8,16190.0,16402.0,16092.4,14451.0,156.4,183.0,391.1,349.0,746.0,,165.3,108.0,548.8,,,856.5,39.0,-25.0,232.7,311.8,693.4,194.7,102.1,942.8,,220.9,377.3,144.0,,569.2,,332.0,-103.3,,275.0,,519.8,247.0,459.0,149.4,-1492.0,False,False,False,False,,False,True,False,,,False,True,True,False,False,False,False,True,False,,False,False,True,,False,,False,True,,False,,False,False,False,True,False
New Mexico,743,779.9,743.0,759.1,758.0,754.0,,722.4,733.0,738.9,756.8,,738.1,716.0,826.9,868.2,712.8,704.9,757.4,730.3,744.5,,672.2,812.7,829.0,,703.5,,814.0,774.3,,769.0,746.2,856.9,758.0,841.5,770.8,,36.9,0.0,16.1,15.0,11.0,,-20.6,-10.0,-4.1,13.8,,-4.9,-27.0,83.9,125.2,-30.2,-38.1,14.4,-12.7,1.5,,-70.8,69.7,86.0,,-39.5,,71.0,31.3,,26.0,3.2,113.9,15.0,98.5,27.8,,True,True,True,True,,True,True,True,True,,True,True,False,False,True,False,True,True,True,,False,False,False,,False,,False,True,,True,True,False,True,False,True,
New York,32839,33150.7,33064.0,33479.9,33077.0,33289.0,,32696.4,32673.0,33287.8,33294.6,,33641.2,33068.0,33155.0,33213.9,25357.8,33030.1,33061.9,28369.9,32872.2,,32387.8,33128.3,32849.0,,33157.1,,32796.0,32981.7,,33080.0,,33970.9,33153.0,33119.5,33057.0,33074.0,310.7,224.0,639.9,237.0,449.0,,-143.6,-167.0,447.8,454.6,,801.2,228.0,315.0,373.9,-7482.2,190.1,221.9,-4470.1,32.2,,-452.2,288.3,9.0,,317.1,,-44.0,141.7,,240.0,,1130.9,313.0,279.5,217.0,234.0,True,False,True,False,,True,True,False,False,,False,True,False,False,False,True,True,False,True,,False,True,True,,False,,True,True,,True,,False,False,True,True,True
North Carolina,2521,2453.4,2490.0,2463.3,2416.0,2904.0,,2516.1,2800.0,2816.4,,3923.7,2272.2,2188.0,2566.6,3206.0,2281.6,2182.3,2466.5,2091.3,2400.2,,2082.1,2578.3,2472.0,,2066.1,,2416.0,2459.9,,2294.0,2296.4,2625.1,2316.0,2597.5,2450.3,2772.0,-67.6,-31.0,-57.7,-105.0,383.0,,-4.9,279.0,295.4,,1402.7,-248.8,-333.0,45.6,685.0,-239.4,-338.7,-54.5,-429.7,-120.8,,-438.9,57.3,-49.0,,-454.9,,-105.0,-61.1,,-227.0,-224.6,104.1,-205.0,76.5,-70.7,251.0,True,True,False,False,,True,False,False,,False,False,False,True,False,False,False,True,False,False,,False,True,True,,False,,False,True,,False,False,False,False,False,False,False
North Dakota,135,126.0,128.0,135.0,129.0,146.0,,135.8,116.0,126.8,138.8,,119.4,108.0,151.9,175.6,98.4,123.2,127.6,136.6,113.8,,111.7,153.1,130.0,,113.0,,127.0,161.4,,141.0,,149.8,147.0,132.0,132.6,,-9.0,-7.0,0.0,-6.0,11.0,,0.8,-19.0,-8.2,3.8,,-15.6,-27.0,16.9,40.6,-36.6,-11.8,-7.4,1.6,-21.2,,-23.3,18.1,-5.0,,-22.0,,-8.0,26.4,,6.0,,14.8,12.0,-3.0,-2.4,,True,True,True,False,,True,False,True,True,,False,False,False,False,False,False,True,True,False,,False,False,True,,False,,True,False,,True,,False,False,True,True,
Ohio,3975,3820.0,3852.0,3956.8,3946.0,4200.0,,3951.2,4017.0,3863.3,,,3581.4,3580.0,4254.1,4606.3,4001.6,3607.2,3767.1,4133.5,4442.6,4044.0,3580.3,3971.3,3511.0,,3686.4,,4011.0,4083.2,,3830.0,3843.0,4676.1,3869.0,3795.0,3909.2,4259.0,-155.0,-123.0,-18.2,-29.0,225.0,,-23.8,42.0,-111.7,,,-393.6,-395.0,279.1,631.3,26.6,-367.8,-207.9,158.5,467.6,69.0,-394.7,-3.7,-464.0,,-288.6,,36.0,108.2,,-145.0,-132.0,701.1,-106.0,-180.0,-65.8,284.0,True,True,True,False,,True,True,True,,,False,False,False,False,True,False,False,False,False,True,False,True,False,,False,,True,True,,True,True,False,True,False,True,False
Oklahoma,725,669.6,685.0,675.9,745.0,845.0,,755.7,745.0,944.8,757.2,,673.5,651.0,782.4,978.3,684.6,689.6,694.1,612.8,683.9,,547.1,740.2,942.0,,549.1,,779.0,666.8,,731.0,,877.7,746.0,877.0,645.8,,-55.4,-40.0,-49.1,20.0,120.0,,30.7,20.0,219.8,32.2,,-51.5,-74.0,57.4,253.3,-40.4,-35.4,-30.9,-112.2,-41.1,,-177.9,15.2,217.0,,-175.9,,54.0,-58.2,,6.0,,152.7,21.0,152.0,-79.2,,True,True,True,False,,True,True,False,True,,True,False,False,False,True,True,True,False,True,,False,True,False,,False,,True,False,,True,,False,True,False,False,
Oregon,417,400.9,397.0,382.0,408.0,343.0,,398.6,413.0,533.0,396.4,,395.1,351.0,414.3,614.2,428.1,379.4,382.2,479.1,397.9,,421.2,374.6,502.0,,341.9,,416.0,374.9,,403.0,,438.1,402.0,720.0,442.3,,-16.1,-20.0,-35.0,-9.0,-74.0,,-18.4,-4.0,116.0,-20.6,,-21.9,-66.0,-2.7,197.2,11.1,-37.6,-34.8,62.1,-19.1,,4.2,-42.4,85.0,,-75.1,,-1.0,-42.1,,-14.0,,21.1,-15.0,303.0,25.3,,False,False,True,False,,False,True,False,False,,False,False,True,False,True,False,False,False,False,,True,False,False,,False,,True,False,,True,,False,True,False,False,
Pennsylvania,7555,7532.0,7522.0,7581.9,7577.0,7910.0,,7551.7,7426.0,7481.3,7684.6,,7530.3,7503.0,7588.0,7822.6,7606.2,7420.9,7499.1,7794.2,8311.8,,7419.3,7589.4,7310.0,,7525.3,,7634.0,7536.1,,7565.0,7765.0,8615.6,7534.0,7652.5,7621.5,7538.0,-23.0,-33.0,26.9,22.0,355.0,,-3.3,-129.0,-73.7,129.6,,-24.7,-52.0,33.0,267.6,51.2,-134.1,-55.9,239.2,756.8,,-135.7,34.4,-245.0,,-29.7,,79.0,-18.9,,10.0,210.0,1060.6,-21.0,97.5,66.5,-17.0,False,False,True,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,True,,True,False,False,True,False,False,True
Rhode Island,1030,1048.3,1040.0,1056.4,1052.0,1031.0,,1090.5,1028.0,1021.4,1056.4,,1048.6,1087.0,1099.0,988.2,1033.7,1066.4,1022.1,1039.6,1062.3,,1033.0,1062.4,1014.0,,1047.9,,1053.0,1051.6,,1025.0,1117.4,1089.5,1042.0,1023.0,1063.6,,18.3,10.0,26.4,22.0,1.0,,60.5,-2.0,-8.6,26.4,,18.6,57.0,69.0,-41.8,3.7,36.4,-7.9,9.6,32.3,,3.0,32.4,-16.0,,17.9,,23.0,21.6,,-5.0,87.4,59.5,12.0,-7.0,33.6,,True,False,False,True,,False,True,True,False,,False,False,False,False,True,False,True,True,False,,True,False,True,,True,,False,False,,True,False,False,True,True,False,
South Carolina,2493,2787.0,2399.0,2785.0,2548.0,2596.0,,2068.8,2418.0,4947.7,,,1787.8,2083.0,3130.3,2586.7,2458.5,2250.5,2594.0,1571.4,2479.0,,2524.9,3083.4,4298.0,,2468.7,,2461.0,2821.6,,2512.0,2689.9,2300.6,2652.0,4470.5,2709.6,4261.0,294.0,-94.0,292.0,55.0,103.0,,-424.2,-75.0,2454.7,,,-705.2,-410.0,637.3,93.7,-34.5,-242.5,101.0,-921.6,-14.0,,31.9,590.4,1805.0,,-24.3,,-32.0,328.6,,19.0,196.9,-192.4,159.0,1977.5,216.6,1768.0,True,True,True,True,,False,True,False,,,False,False,False,True,True,True,True,False,True,,True,False,False,,True,,True,False,,True,True,True,True,False,True,False
South Dakota,160,142.3,155.0,146.0,152.0,123.0,,131.7,146.0,178.5,149.9,,164.0,158.0,148.7,179.5,158.4,152.2,138.1,158.1,143.9,,165.8,153.8,158.0,,128.6,,154.0,156.4,,152.0,,149.9,154.0,172.0,153.3,,-17.7,-5.0,-14.0,-8.0,-37.0,,-28.3,-14.0,18.5,-10.1,,4.0,-2.0,-11.3,19.5,-1.6,-7.8,-21.9,-1.9,-16.1,,5.8,-6.2,-2.0,,-31.4,,-6.0,-3.6,,-8.0,,-10.1,-6.0,12.0,-6.7,,True,True,True,False,,False,True,False,True,,True,True,True,False,True,True,False,True,True,,True,True,True,,False,,True,True,,True,,True,True,True,True,
Tennessee,1563,1445.3,1551.0,1468.1,1540.0,1967.0,,1847.2,1621.0,2393.1,1472.3,,1394.0,1356.0,1772.0,1909.7,1722.6,1512.7,1561.3,1404.3,1655.6,,1368.6,1623.1,1311.0,,1214.9,,1563.0,1457.8,,1515.0,1394.4,1516.9,1403.0,1753.5,1461.4,1721.0,-117.7,-12.0,-94.9,-23.0,404.0,,284.2,58.0,830.1,-90.7,,-169.0,-207.0,209.0,346.7,159.6,-50.3,-1.7,-158.7,92.6,,-194.4,60.1,-252.0,,-348.1,,0.0,-105.2,,-48.0,-168.6,-46.1,-160.0,190.5,-101.6,158.0,True,True,True,False,,False,True,False,True,,False,False,False,False,False,True,True,False,True,,False,True,False,,False,,True,True,,True,False,True,False,False,True,False
Texas,11578,9180.0,8621.0,9195.1,9216.0,9286.0,,8734.1,8712.0,22816.9,,,9960.0,9783.0,10147.9,9434.8,9104.5,6612.0,9161.4,5631.7,7955.2,,9190.8,10009.8,17638.0,,7808.1,9367.0,9439.0,8877.9,,7958.0,9289.1,7988.0,8081.0,15657.0,9211.8,11759.0,-1676.0,-2235.0,-1660.9,-1640.0,-1570.0,,-2121.9,-2144.0,11960.9,,,-896.0,-1073.0,-708.1,-1421.2,-1751.5,-4244.0,-1694.6,-5224.3,-2900.8,,-1665.2,-846.2,6782.0,,-3047.9,-1489.0,-1417.0,-1978.1,,-2898.0,-1566.9,-2868.0,-2775.0,4801.0,-1644.2,903.0,False,True,True,True,,False,False,False,,,True,True,True,True,False,False,False,False,False,,True,True,False,,False,True,True,False,,False,True,False,False,False,True,True
Utah,385,393.6,425.0,398.1,420.0,435.0,,535.8,434.0,509.3,386.3,,444.8,380.0,510.0,591.5,410.6,340.4,363.0,314.7,450.7,,446.8,388.9,545.5,,385.8,,398.0,387.0,,367.0,391.9,363.1,359.0,474.0,435.4,,8.6,40.0,13.1,35.0,50.0,,150.8,49.0,124.3,1.3,,59.8,-5.0,125.0,206.5,25.6,-44.6,-22.0,-70.3,65.7,,61.8,3.9,160.5,,0.8,,13.0,2.0,,-18.0,6.9,-21.9,-26.0,89.0,50.4,,False,False,False,False,,False,False,False,True,,False,True,False,False,False,False,False,False,False,,False,True,False,,True,,False,True,,False,True,False,False,False,False,
Vermont,58,56.0,56.0,58.2,57.0,56.0,,60.3,56.0,58.6,57.2,,56.6,56.0,58.8,63.8,64.1,57.8,56.0,59.1,57.3,,61.3,56.3,56.0,,54.3,,57.0,56.3,,57.0,,64.4,56.0,57.0,58.9,,-2.0,-2.0,0.2,-1.0,-2.0,,2.3,-2.0,0.6,-0.8,,-1.4,-2.0,0.8,5.8,6.1,-0.2,-2.0,1.1,-0.7,,3.3,-1.7,-2.0,,-3.7,,-1.0,-1.7,,-1.0,,6.4,-2.0,-1.0,0.9,,False,True,True,False,,False,False,True,True,,True,False,True,False,False,True,True,True,True,,False,True,False,,False,,True,True,,True,,False,False,True,True,
Virginia,2443,2274.7,2353.0,2276.2,2324.0,2561.0,,2409.1,2258.0,2291.4,2468.0,,2310.1,2255.0,2465.9,2818.5,2866.1,2291.6,2311.6,2431.1,2699.1,,2320.2,2340.3,2237.5,,2361.8,,2263.0,2265.8,,2327.0,2398.7,2715.9,2142.0,2308.0,2339.1,2313.0,-168.3,-90.0,-166.8,-119.0,118.0,,-33.9,-185.0,-151.6,25.0,,-132.9,-188.0,22.9,375.5,423.1,-151.4,-131.4,-11.9,256.1,,-122.8,-102.7,-205.5,,-81.2,,-180.0,-177.2,,-116.0,-44.3,272.9,-301.0,-135.0,-103.9,-130.0,True,True,True,True,,True,False,True,True,,True,False,True,False,False,True,True,True,False,,True,True,False,,True,,False,False,,True,True,False,False,True,True,True
Washington,1857,1709.3,1746.0,1694.0,1782.0,1846.0,,1804.6,1878.0,1831.1,1759.6,,1845.7,1711.0,2002.3,1916.1,1719.8,1628.8,1712.5,1974.6,1810.6,,1706.0,1766.7,1674.0,,1678.2,,1768.0,1763.4,,1782.0,,2109.5,1701.0,1942.0,1652.1,1862.0,-147.7,-111.0,-163.0,-75.0,-11.0,,-52.4,21.0,-25.9,-97.4,,-11.3,-146.0,145.3,59.1,-137.2,-228.2,-144.5,117.6,-46.4,,-151.0,-90.3,-183.0,,-178.8,,-89.0,-93.6,,-75.0,,252.5,-156.0,85.0,-204.9,5.0,True,False,True,True,,True,True,True,True,,True,True,True,True,True,False,True,True,True,,False,True,False,,False,,True,True,,True,,False,False,True,False,True
West Virginia,177,114.6,129.0,116.6,120.0,170.0,,159.1,146.0,115.3,123.5,,111.6,110.0,150.6,190.8,124.6,119.1,118.3,124.3,125.5,,121.7,119.1,105.0,,107.2,,116.0,112.2,,120.0,,164.3,117.0,147.0,119.5,,-62.4,-48.0,-60.4,-57.0,-7.0,,-17.9,-31.0,-61.7,-53.5,,-65.4,-67.0,-26.4,13.8,-52.4,-57.9,-58.7,-52.7,-51.5,,-55.3,-57.9,-72.0,,-69.8,,-61.0,-64.8,,-57.0,,-12.7,-60.0,-30.0,-57.5,,True,True,True,True,,True,True,True,True,,False,False,True,True,True,True,True,True,True,,True,True,False,,False,,True,False,,True,,True,True,True,True,
Wisconsin,1081,1077.1,1100.0,1082.8,1078.0,1277.0,,1244.0,1074.0,1040.8,1159.4,,940.6,972.0,1219.8,1493.9,1095.8,1001.5,1075.7,1053.5,967.5,1082.0,943.2,1143.3,935.0,,970.0,,1124.0,1125.9,,1086.0,1016.0,1330.1,1090.0,1000.0,1140.5,,-3.9,19.0,1.8,-3.0,196.0,,163.0,-7.0,-40.2,78.4,,-140.4,-109.0,138.8,412.9,14.8,-79.5,-5.3,-27.5,-113.5,1.0,-137.8,62.3,-146.0,,-111.0,,43.0,44.9,,5.0,-65.0,249.1,9.0,-81.0,59.5,,False,True,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,,False,False,,False,False,False,False,False,False,
Wyoming,37,25.0,34.0,30.0,33.0,25.0,,41.9,35.0,35.3,32.9,,21.5,25.0,41.6,65.8,45.3,31.0,25.5,37.2,28.5,,57.5,30.8,27.0,,25.6,,34.0,25.8,,31.0,,36.5,33.0,36.0,29.7,,-12.0,-3.0,-7.0,-4.0,-12.0,,4.9,-2.0,-1.7,-4.1,,-15.5,-12.0,4.6,28.8,8.3,-6.0,-11.5,0.2,-8.5,,20.5,-6.2,-10.0,,-11.4,,-3.0,-11.2,,-6.0,,-0.5,-4.0,-1.0,-7.3,,True,True,True,False,,True,True,True,True,,False,False,True,False,True,True,True,True,True,,False,True,True,,True,,True,True,,True,,True,True,True,True,
US,176318,171624.6,,171850.3,173270.0,182628.0,171177.0,169148.4,173270.0,211668.7,171994.8,,171849.3,167934.0,178764.3,180990.0,173601.2,163028.2,174936.5,156810.2,177932.9,,165979.1,175430.2,188972.0,177766.3,164566.4,183345.0,175808.0,172446.1,163717.0,170630.0,165705.2,184189.0,166263.0,197221.0,172946.7,182625.0,-3972.4,,-3746.7,-2327.0,7031.0,-4420.0,-6448.6,-2327.0,36071.7,-3602.2,,-3747.7,-7663.0,3167.3,5393.0,-1995.8,-12568.8,-660.5,-18786.8,2335.9,,-9617.9,-166.8,13375.0,2169.3,-11030.6,7748.0,211.0,-3150.9,-11880.0,-4967.0,-9891.8,8592.0,-9334.0,21624.0,-2650.3,7028.0,,True,True,False,False,False,True,False,True,,True,False,True,False,True,False,True,False,True,,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False
