,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,6526,6343.0,6533.9,6330.9,6544.0,6356.0,6529.0,6856.0,6492.8,6757.0,6164.2,6515.0,6688.8,6373.2,6624.4,,6284.6,6569.0,6557.5,6668.5,6684.0,6584.9,6535.1,6562.0,6518.7,6630.0,6312.5,6619.1,,5999.8,6563.3,6606.0,,6308.9,6459.6,6526.0,6872.3,6590.0,6318.3,,6499.3,6332.8,6726.5,6578.0,,6526.0,6363.5,6448.3,6105.2,6477.2,-183.0,7.9,-195.1,18.0,-170.0,3.0,330.0,-33.2,231.0,-361.8,-11.0,162.8,-152.8,98.4,,-241.4,43.0,31.5,142.5,158.0,58.9,9.1,36.0,-7.3,104.0,-213.5,93.1,,-526.2,37.3,80.0,,-217.1,-66.4,0.0,346.3,64.0,-207.7,,-26.7,-193.2,200.5,52.0,,0.0,-162.5,-77.7,-420.8,-48.8,True,False,True,True,True,False,True,False,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,False,True,,False,True,True,,False,True,True,False,True,False,,True,False,False,True,,True,True,True,False,True
North Dakota,1264,1399.0,1447.2,1414.2,1464.0,1430.0,1307.0,1223.0,1310.4,1267.0,1200.5,1230.0,1401.9,1390.9,1290.7,,1197.3,1458.0,1290.6,1281.5,1358.0,1218.2,1295.1,1276.0,1307.0,1335.0,1381.3,1378.1,,1370.8,1419.0,1336.0,,,1540.2,1305.0,1192.4,1281.0,1421.1,,1291.0,1406.8,1358.8,1306.0,,1307.0,1299.0,1357.6,1267.0,1316.5,135.0,183.2,150.2,200.0,166.0,43.0,-41.0,46.4,3.0,-63.5,-34.0,137.9,126.9,26.7,,-66.7,194.0,26.6,17.5,94.0,-45.8,31.1,12.0,43.0,71.0,117.3,114.1,,106.8,155.0,72.0,,,276.2,41.0,-71.6,17.0,157.1,,27.0,142.8,94.8,42.0,,43.0,35.0,93.6,3.0,52.5,False,False,False,False,True,True,True,True,True,True,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,,True,False,True,,,False,True,True,True,False,,True,False,True,True,,True,True,True,True,True
Ohio,12625,8481.9,8733.9,8472.4,8946.0,8538.7,8778.0,9640.0,8783.5,8883.0,8480.5,8603.0,9110.4,8522.7,8716.1,,8466.9,9137.0,8913.0,8883.4,9147.0,8817.0,8778.9,8697.0,8820.7,9098.0,8949.9,9103.4,8937.0,8081.7,8728.0,9341.0,,8965.5,8820.4,8833.0,9426.8,8709.0,8514.8,,8718.0,8970.4,9074.6,8698.0,8662.6,8653.0,8666.0,8932.2,7815.7,8678.8,-1362.1,-1110.1,-1371.6,-898.0,-1305.3,-1066.0,-204.0,-1060.5,-961.0,-1363.5,-1241.0,-733.6,-1321.3,-1127.9,,-1377.1,-707.0,-931.0,-960.6,-697.0,-1027.0,-1065.1,-1147.0,-1023.3,-746.0,-894.1,-740.6,-907.0,-1762.3,-1116.0,-503.0,,-878.5,-1023.6,-1011.0,-417.2,-1135.0,-1329.2,,-1126.0,-873.6,-769.4,-1146.0,-1181.4,-1191.0,-1178.0,-911.8,-2028.3,-1165.2,True,False,True,True,True,True,True,True,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True
Oklahoma,2357,2376.0,2475.5,2384.5,2446.0,2378.0,2384.0,2465.0,2452.4,2315.0,2183.5,2532.0,2614.6,2347.1,2364.4,,2145.5,2485.0,2361.5,2239.6,2567.0,2376.9,2369.8,2363.0,2452.5,2546.0,2404.3,2457.4,,2155.1,2388.1,2354.0,,,2442.6,2383.0,2420.1,2376.0,2383.0,,2447.3,2430.3,2512.5,2420.0,,2380.0,2473.0,2431.2,2193.4,2337.1,19.0,118.5,27.5,89.0,21.0,27.0,108.0,95.4,-42.0,-173.5,175.0,257.6,-9.9,7.4,,-211.5,128.0,4.5,-117.4,210.0,19.9,12.8,6.0,95.5,189.0,47.3,100.4,,-201.9,31.1,-3.0,,,85.6,26.0,63.1,19.0,26.0,,90.3,73.3,155.5,63.0,,23.0,116.0,74.2,-163.6,-19.9,False,False,False,False,False,False,False,False,False,False,False,True,True,,False,False,True,False,False,False,True,True,False,False,False,False,,False,False,True,,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False
Oregon,1422,1381.6,1524.7,1399.4,1511.0,1396.0,1458.0,1441.0,1444.2,1486.0,1351.7,1413.0,1473.1,1400.2,1448.4,,1438.7,1489.0,1450.7,1469.9,1511.0,1411.1,1448.1,1384.0,1420.9,1536.0,1489.8,1469.4,,1212.7,1481.3,1578.0,,,1470.6,1462.0,1484.4,1362.0,1371.8,,1428.5,1513.3,1427.1,1375.0,,1460.0,1421.0,1558.6,1231.3,1372.5,-40.4,102.7,-22.6,89.0,-26.0,36.0,19.0,22.2,64.0,-70.3,-9.0,51.1,-21.8,26.4,,16.7,67.0,28.7,47.9,89.0,-10.9,26.1,-38.0,-1.1,114.0,67.8,47.4,,-209.3,59.3,156.0,,,48.6,40.0,62.4,-60.0,-50.2,,6.5,91.3,5.1,-47.0,,38.0,-1.0,136.6,-190.7,-49.5,False,True,False,True,True,True,True,False,False,True,False,True,True,,True,False,True,False,False,True,True,True,True,False,False,False,,False,False,False,,,False,True,False,False,False,,True,False,True,False,,True,True,False,False,False
Pennsylvania,14858,14783.6,15745.8,14795.5,14863.0,14730.7,15118.0,14696.0,14756.0,15355.0,13963.6,14991.0,15542.3,14973.4,14945.5,,13911.3,15264.0,15392.4,14838.6,14887.0,14058.6,15473.9,15869.0,15105.6,15007.0,15503.6,15465.7,,12979.1,15480.2,15397.5,,14810.6,15638.0,15118.0,14383.1,14983.0,14568.0,,14180.1,15566.9,14612.5,14755.0,16237.4,15236.0,15866.0,15454.1,12885.5,14788.9,-74.4,887.8,-62.5,5.0,-127.3,260.0,-162.0,-102.0,497.0,-894.4,133.0,684.3,115.4,87.5,,-946.7,406.0,534.4,-19.4,29.0,-799.4,615.9,1011.0,247.6,149.0,645.6,607.7,,-1878.9,622.2,539.5,,-47.4,780.0,260.0,-474.9,125.0,-290.0,,-677.9,708.9,-245.5,-103.0,1379.4,378.0,1008.0,596.1,-1972.5,-69.1,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,True,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True
Rhode Island,1856,1687.3,1742.2,1700.4,1710.0,1701.0,1701.0,1681.0,1592.2,1743.0,1620.0,1660.0,1717.4,1685.9,1744.6,,1648.1,1691.0,1717.0,1769.5,1745.0,1541.5,1741.1,1704.0,1667.7,1689.0,1714.0,1763.4,,1581.3,1749.2,1657.0,,,1711.0,1690.0,1745.4,1582.0,1693.8,,1685.6,1736.9,1695.6,1706.0,,1707.0,1645.0,1762.6,1459.7,1824.9,-25.7,29.2,-12.6,-3.0,-12.0,-12.0,-32.0,-120.8,30.0,-93.0,-53.0,4.4,-27.1,31.6,,-64.9,-22.0,4.0,56.5,32.0,-171.5,28.1,-9.0,-45.3,-24.0,1.0,50.4,,-131.7,36.2,-56.0,,,-2.0,-23.0,32.4,-131.0,-19.2,,-27.4,23.9,-17.4,-7.0,,-6.0,-68.0,49.6,-253.3,111.9,False,True,True,True,True,False,False,False,False,False,True,False,False,,False,True,True,False,False,False,False,True,False,True,True,False,,False,False,False,,,True,True,False,False,True,,False,True,True,True,,True,False,False,False,False
South Carolina,5124,5060.3,5213.5,5040.3,5115.0,5021.0,5116.0,5212.0,5095.9,5218.0,4850.4,5068.0,5196.2,5111.1,5116.8,,4846.9,5089.0,5052.0,5075.6,5167.0,5055.8,5161.9,5172.0,5206.7,5116.0,5087.3,5184.5,,4932.2,5143.3,4938.0,,5115.4,5030.6,5130.0,5639.3,5388.0,5003.8,,4982.4,5111.8,5155.0,5250.0,,5128.0,5156.0,5031.0,4904.0,5132.2,-63.7,89.5,-83.7,-9.0,-103.0,-8.0,88.0,-28.1,94.0,-273.6,-56.0,72.2,-12.9,-7.2,,-277.1,-35.0,-72.0,-48.4,43.0,-68.2,37.9,48.0,82.7,-8.0,-36.7,60.5,,-191.8,19.3,-186.0,,-8.6,-93.4,6.0,515.3,264.0,-120.2,,-141.6,-12.2,31.0,126.0,,4.0,32.0,-93.0,-220.0,8.2,False,False,True,False,True,False,True,False,False,True,False,True,True,,False,True,False,True,True,False,True,True,False,True,True,True,,False,True,False,,True,False,True,False,False,False,,False,True,True,False,,True,True,False,False,True
South Dakota,1446,1535.7,1537.3,1530.6,1607.0,1547.0,1506.0,1332.0,1457.4,1445.0,1452.9,1505.0,1753.4,1528.3,1486.7,,1601.9,1610.0,1578.5,1503.5,1531.0,1325.9,1483.1,1486.0,1472.3,1498.0,1525.9,1545.1,,1462.9,1496.1,1524.0,,,1577.4,1495.0,1289.3,1506.0,1479.3,,1557.5,1544.1,1482.2,1477.0,,1529.0,1584.0,1539.9,1419.1,1480.2,89.7,91.3,84.6,161.0,101.0,60.0,-114.0,11.4,-1.0,6.9,59.0,307.4,82.3,40.7,,155.9,164.0,132.5,57.5,85.0,-120.1,37.1,40.0,26.3,52.0,79.9,99.1,,16.9,50.1,78.0,,,131.4,49.0,-156.7,60.0,33.3,,111.5,98.1,36.2,31.0,,83.0,138.0,93.9,-26.9,34.2,False,True,False,False,True,False,True,True,True,True,False,True,True,,False,False,False,True,True,False,True,True,True,True,True,False,,True,True,True,,,False,True,False,True,True,,False,False,True,True,,True,False,False,True,True
Tennessee,6443,6425.9,6615.9,6395.7,6470.0,6390.1,6432.0,6349.0,6322.4,6411.0,5888.2,6397.0,6804.6,6365.5,6321.9,,5955.4,6446.0,6465.2,6357.3,6489.0,5968.2,6482.7,6661.0,6620.9,6331.0,6533.3,6523.1,,5898.9,6714.1,6450.0,,6094.2,6490.1,6409.0,6228.0,6819.0,6469.4,,6248.0,6556.9,6563.2,6602.0,,6480.0,6407.5,6156.1,5736.5,6587.6,-17.1,172.9,-47.3,27.0,-52.9,-11.0,-94.0,-120.6,-32.0,-554.8,-46.0,361.6,-77.5,-121.1,,-487.6,3.0,22.2,-85.7,46.0,-474.8,39.7,218.0,177.9,-112.0,90.3,80.1,,-544.1,271.1,7.0,,-348.8,47.1,-34.0,-215.0,376.0,26.4,,-195.0,113.9,120.2,159.0,,37.0,-35.5,-286.9,-706.5,144.6,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,True,,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False
Texas,27075,26656.4,27247.1,26670.0,27279.0,26931.1,26993.0,27244.0,26992.7,26992.0,26068.1,26771.0,28129.1,27123.5,26921.2,,25067.7,27613.0,27267.9,27164.9,26994.0,26114.9,27243.4,26948.0,27040.9,26877.0,27083.0,27179.1,,24439.8,27341.7,27379.0,,26881.8,27818.4,26962.0,27270.9,27057.0,26638.7,,27294.2,27111.4,26664.2,26781.0,,27199.0,26671.5,26424.3,25423.8,25821.0,-181.6,409.1,-168.0,441.0,93.1,155.0,406.0,154.7,154.0,-769.9,-67.0,1291.1,285.5,83.2,,-1770.3,775.0,429.9,326.9,156.0,-723.1,405.4,110.0,202.9,39.0,245.0,341.1,,-2398.2,503.7,541.0,,43.8,980.4,124.0,432.9,219.0,-199.3,,456.2,273.4,-173.8,-57.0,,361.0,-166.5,-413.7,-1414.2,-1017.0,False,True,False,True,True,False,True,True,False,True,False,False,True,,False,False,False,False,True,False,False,True,False,True,False,False,,False,False,False,,True,False,True,False,False,False,,False,False,True,True,,False,True,False,False,False
Utah,1212,1270.4,1355.0,1233.1,1274.0,1236.0,1234.0,1212.0,1265.4,1187.0,1226.5,1207.0,1355.6,1230.1,878.3,,1154.8,1280.0,1238.7,1166.1,1308.0,917.5,1214.6,1213.0,1290.7,1294.0,1272.1,1288.3,,1216.1,1272.4,1280.0,,,1267.5,1210.0,1083.4,1234.0,1237.0,,1408.1,1295.9,1246.9,1226.0,,1216.0,1239.5,1229.7,828.8,1228.3,58.4,143.0,21.1,62.0,24.0,22.0,0.0,53.4,-25.0,14.5,-5.0,143.6,18.1,-333.7,,-57.2,68.0,26.7,-45.9,96.0,-294.5,2.6,1.0,78.7,82.0,60.1,76.3,,4.1,60.4,68.0,,,55.5,-2.0,-128.6,22.0,25.0,,196.1,83.9,34.9,14.0,,4.0,27.5,17.7,-383.2,16.3,False,True,False,True,True,True,True,True,True,True,False,True,False,,True,False,True,True,False,False,True,True,False,False,False,False,,True,False,False,,,True,True,False,True,True,,False,False,True,True,,True,True,True,False,True
Vermont,121,124.7,140.6,126.7,133.0,127.0,127.0,105.0,120.2,123.0,106.0,117.0,127.9,132.5,127.3,,109.5,138.0,129.7,107.3,133.0,120.8,138.8,140.0,115.7,139.0,125.6,128.2,,107.9,134.3,95.0,,,131.7,123.0,85.1,117.0,123.0,,117.5,151.1,131.7,118.0,,131.0,150.0,157.2,97.6,121.5,3.7,19.6,5.7,12.0,6.0,6.0,-16.0,-0.8,2.0,-15.0,-4.0,6.9,11.5,6.3,,-11.5,17.0,8.7,-13.7,12.0,-0.2,17.8,19.0,-5.3,18.0,4.6,7.2,,-13.1,13.3,-26.0,,,10.7,2.0,-35.9,-4.0,2.0,,-3.5,30.1,10.7,-3.0,,10.0,29.0,36.2,-23.4,0.5,False,False,False,False,False,False,True,True,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,True,False,False,True,,True,False,False,True,,False,False,False,False,True
Virginia,4840,4802.9,4914.4,4848.0,4932.0,4833.0,4845.0,5067.0,4857.9,4928.0,4657.0,4672.0,4757.1,4831.3,4845.4,,4429.2,4943.0,4862.8,4893.8,4946.0,4856.9,4908.7,4833.0,4895.8,4929.0,4919.0,4885.2,,4707.5,4978.9,4844.5,,4646.5,4918.6,4829.0,5134.9,4838.0,4850.3,,4790.0,4942.3,5009.5,4883.0,,4914.0,4801.0,4747.2,4568.8,4809.0,-37.1,74.4,8.0,92.0,-7.0,5.0,227.0,17.9,88.0,-183.0,-168.0,-82.9,-8.7,5.4,,-410.8,103.0,22.8,53.8,106.0,16.9,68.7,-7.0,55.8,89.0,79.0,45.2,,-132.5,138.9,4.5,,-193.5,78.6,-11.0,294.9,-2.0,10.3,,-50.0,102.3,169.5,43.0,,74.0,-39.0,-92.8,-271.2,-31.0,False,True,False,True,True,False,True,False,False,False,False,True,True,,False,False,True,False,False,True,False,True,False,False,False,False,,False,False,True,,False,False,True,False,True,True,,False,False,False,False,,False,False,False,False,True
Washington,3184,2793.6,3087.4,2881.3,3129.0,2879.0,3245.0,3728.0,3268.4,3101.0,3364.0,3281.0,3190.6,3214.7,3239.3,,3377.3,3337.0,3251.2,3474.7,3288.0,3280.4,3322.7,3195.0,3219.3,3285.0,3305.7,3370.4,,3251.7,3155.4,3147.0,,3157.9,3172.7,3054.0,4158.8,3089.0,2951.4,,3221.3,3313.8,3217.1,3317.0,,3137.0,3295.5,,2973.3,3332.5,-328.4,-34.6,-240.7,7.0,-243.0,123.0,606.0,146.4,-21.0,242.0,159.0,68.6,92.7,117.3,,255.3,215.0,129.2,352.7,166.0,158.4,200.7,73.0,97.3,163.0,183.7,248.4,,129.7,33.4,25.0,,35.9,50.7,-68.0,1036.8,-33.0,-170.6,,99.3,191.8,95.1,195.0,,15.0,173.5,,-148.7,210.5,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,,True,True,True,True,,True,True,,True,True
West Virginia,1253,1209.4,1319.4,1252.2,1302.0,1240.0,1249.0,1320.0,1262.9,1221.0,1120.8,1262.0,1358.7,1259.7,1263.4,,1079.8,1238.0,1296.5,1244.1,1232.0,1159.2,1296.2,1190.0,1215.0,1260.0,1312.3,1257.9,,1129.2,1255.6,1243.0,,,1307.5,1256.0,1220.1,1206.0,1254.3,,1190.8,1336.3,1279.7,1206.0,,1262.0,1214.0,1216.6,1058.9,1216.0,-43.6,66.4,-0.8,49.0,-13.0,-4.0,67.0,9.9,-32.0,-132.2,9.0,105.7,6.7,10.4,,-173.2,-15.0,43.5,-8.9,-21.0,-93.8,43.2,-63.0,-38.0,7.0,59.3,4.9,,-123.8,2.6,-10.0,,,54.5,3.0,-32.9,-47.0,1.3,,-62.2,83.3,26.7,-47.0,,9.0,-39.0,-36.4,-194.1,-37.0,False,True,False,True,True,False,True,True,False,True,False,True,True,,False,True,True,True,True,False,True,False,True,True,False,True,,False,True,True,,,False,True,True,False,True,,False,False,True,False,,True,True,True,False,True
Wisconsin,5029,5057.7,5261.2,5161.3,5295.0,5104.0,4984.0,5073.0,5021.3,4957.0,4693.3,4601.0,5250.9,4930.7,4976.8,,4930.2,5454.0,5140.6,4677.0,5328.0,4861.8,4952.0,5051.0,5136.4,5203.0,5099.0,5143.2,4925.0,4982.5,5107.8,5200.0,,4945.8,5219.3,4985.0,4072.3,4895.0,4938.8,,5172.8,5111.2,5153.1,4883.0,5219.5,4940.0,4942.0,5140.2,4719.7,4631.4,28.7,232.2,132.3,266.0,75.0,-45.0,44.0,-7.7,-72.0,-335.7,-428.0,221.9,-98.3,-52.2,,-98.8,425.0,111.6,-352.0,299.0,-167.2,-77.0,22.0,107.4,174.0,70.0,114.2,-104.0,-46.5,78.8,171.0,,-83.2,190.3,-44.0,-956.7,-134.0,-90.2,,143.8,82.2,124.1,-146.0,190.5,-89.0,-87.0,111.2,-309.3,-397.6,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Wyoming,373,423.1,438.7,432.6,429.0,431.0,407.0,402.0,406.5,394.0,375.2,422.0,460.1,441.8,390.8,,402.2,463.0,386.4,371.1,434.0,372.0,395.8,401.0,382.7,420.0,419.9,435.1,,398.7,413.9,431.0,,,432.3,407.0,351.1,376.0,366.7,,432.0,444.0,439.7,389.0,,404.0,448.0,425.7,370.1,416.4,50.1,65.7,59.6,56.0,58.0,34.0,29.0,33.5,21.0,2.2,49.0,87.1,68.8,17.8,,29.2,90.0,13.4,-1.9,61.0,-1.0,22.8,28.0,9.7,47.0,46.9,62.1,,25.7,40.9,58.0,,,59.3,34.0,-21.9,3.0,-6.3,,59.0,71.0,66.7,16.0,,31.0,75.0,52.7,-2.9,43.4,False,False,False,False,True,True,True,True,True,True,False,False,True,,True,False,True,True,False,True,True,True,True,True,True,False,,True,True,False,,,False,True,True,True,True,,False,False,False,True,,True,False,False,True,True
US,337631,330407.0,341003.1,331057.7,,331082.3,334686.0,334674.0,331638.9,336246.0,317297.2,338219.0,343681.7,332047.2,,340330.0,320118.0,338591.0,335178.0,328657.7,337043.0,320933.2,334332.4,336830.5,340348.8,335652.0,334061.1,337978.6,,317075.0,335100.6,341172.0,332747.9,330218.0,334884.7,334697.0,337359.9,332300.0,329377.4,347929.0,,335412.9,333788.7,333931.0,337385.0,333780.0,334979.0,,309705.2,328443.9,-2935.0,7661.1,-2284.3,,-2259.7,1344.0,1332.0,-1703.1,2904.0,-16044.8,4877.0,10339.7,-1294.8,,6988.0,-13224.0,5249.0,1836.0,-4684.3,3701.0,-12408.8,990.4,3488.5,7006.8,2310.0,719.1,4636.6,,-16267.0,1758.6,7830.0,-594.1,-3124.0,1542.7,1355.0,4017.9,-1042.0,-3964.6,14587.0,,2070.9,446.7,589.0,4043.0,438.0,1637.0,,-23636.8,-4898.1,False,True,,True,True,True,True,True,False,False,False,True,,False,False,False,True,False,False,False,True,False,False,True,True,False,,False,True,False,True,False,True,True,False,True,False,False,,True,True,True,False,True,True,,False,False
