,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Tennessee,524,522.0,740.0,527.0,519.2,571.0,479.0,526.2,510.0,,,530.3,,,521.0,528.6,518.5,522.2,,526.9,498.5,508.0,557.0,510.9,522.0,462.2,505.0,507.0,,-2.0,216.0,3.0,-4.8,47.0,-45.0,2.2,-14.0,,,6.3,,,-3.0,4.6,-5.5,-1.8,,2.9,-25.5,-16.0,33.0,-13.1,-2.0,-61.8,-19.0,-17.0,,False,False,False,False,False,False,False,,,False,,,False,False,False,True,,False,False,False,False,False,False,False,False,False,
Texas,2183,2106.6,2756.0,2109.0,2137.0,2243.0,2167.8,2246.4,2174.0,2044.0,,2116.4,,,2127.0,2202.2,2150.8,2107.2,,2126.6,2120.0,2110.0,2111.0,2094.3,2128.0,1956.1,2130.0,2122.1,2158.0,-76.4,573.0,-74.0,-46.0,60.0,-15.2,63.4,-9.0,-139.0,,-66.6,,,-56.0,19.2,-32.2,-75.8,,-56.4,-63.0,-73.0,-72.0,-88.7,-55.0,-226.9,-53.0,-60.9,-25.0,False,True,True,True,True,True,True,False,,True,,,True,True,True,True,,True,True,True,True,False,True,False,True,True,True
Utah,155,154.4,257.0,157.0,157.3,172.0,161.5,184.9,158.0,154.2,,161.9,,,149.0,170.4,154.7,153.3,,159.6,155.0,149.0,152.0,146.9,156.0,141.1,151.0,153.2,,-0.6,102.0,2.0,2.3,17.0,6.5,29.9,3.0,-0.8,,6.9,,,-6.0,15.4,-0.3,-1.7,,4.6,0.0,-6.0,-3.0,-8.1,1.0,-13.9,-4.0,-1.8,,False,False,False,False,False,False,False,False,,False,,,False,False,True,False,,False,True,False,False,False,False,False,False,False,
Vermont,56,55.0,63.0,55.0,56.4,55.0,56.4,61.9,56.0,56.1,,55.7,,,56.0,55.7,59.5,55.6,,56.1,55.0,55.0,59.0,56.7,56.0,53.3,55.0,55.5,,-1.0,7.0,-1.0,0.4,-1.0,0.4,5.9,0.0,0.1,,-0.3,,,0.0,-0.3,3.5,-0.4,,0.1,-1.0,-1.0,3.0,0.7,0.0,-2.7,-1.0,-0.5,,False,False,True,False,True,False,True,True,,True,,,True,True,False,True,,True,False,False,False,True,True,False,False,True,
Virginia,1607,1609.4,1989.0,1621.0,1650.7,1729.0,1784.2,1736.2,1665.0,1602.0,,1617.3,,,1713.0,1665.6,1602.0,1640.9,,1598.7,1630.0,1632.0,1604.0,1613.1,1603.0,1448.7,1620.0,1616.9,,2.4,382.0,14.0,43.7,122.0,177.2,129.2,58.0,-5.0,,10.3,,,106.0,58.6,-5.0,33.9,,-8.3,23.0,25.0,-3.0,6.1,-4.0,-158.3,13.0,9.9,,False,False,False,False,False,False,False,False,,False,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Washington,1265,1268.4,1423.0,1273.0,1262.5,1260.0,1224.6,1286.2,1302.0,1275.9,,1231.8,,,1279.0,1259.7,1265.6,1245.5,,1280.1,1242.0,1244.0,1280.0,1240.8,1265.0,1222.4,1257.0,1258.8,,3.4,158.0,8.0,-2.5,-5.0,-40.4,21.2,37.0,10.9,,-33.2,,,14.0,-5.3,0.6,-19.5,,15.1,-23.0,-21.0,15.0,-24.2,0.0,-42.6,-8.0,-6.2,,False,False,True,False,False,False,False,False,,False,,,False,False,True,False,,False,False,False,False,False,True,False,False,False,
West Virginia,88,91.4,108.0,92.0,92.4,89.0,82.6,95.0,95.0,95.1,,93.0,,,87.0,94.3,92.4,91.7,,92.4,88.0,89.0,95.0,93.8,91.0,87.8,91.5,92.3,,3.4,20.0,4.0,4.4,1.0,-5.4,7.0,7.0,7.1,,5.0,,,-1.0,6.3,4.4,3.7,,4.4,0.0,1.0,7.0,5.8,3.0,-0.2,3.5,4.3,,False,False,False,True,False,False,False,False,,False,,,True,False,False,False,,False,True,True,False,False,True,True,False,False,
Wisconsin,744,730.6,890.0,737.0,739.2,760.0,741.4,725.6,771.0,,,735.1,,,753.0,765.2,734.4,737.6,757.0,726.1,735.0,737.0,720.0,724.4,725.0,612.3,738.0,733.2,,-13.4,146.0,-7.0,-4.8,16.0,-2.6,-18.4,27.0,,,-8.9,,,9.0,21.2,-9.6,-6.4,13.0,-17.9,-9.0,-7.0,-24.0,-19.6,-19.0,-131.7,-6.0,-10.8,,False,True,True,False,True,False,False,,,True,,,True,False,True,True,True,False,True,True,False,False,False,False,True,True,
Wyoming,20,18.9,26.0,19.0,19.4,18.0,18.6,19.6,20.0,20.6,,16.6,,,18.0,19.8,21.0,19.5,,20.0,18.0,23.0,19.0,18.3,19.0,19.9,20.0,19.1,,-1.1,6.0,-1.0,-0.6,-2.0,-1.4,-0.4,0.0,0.6,,-3.4,,,-2.0,-0.2,1.0,-0.5,,-0.0,-2.0,3.0,-1.0,-1.7,-1.0,-0.1,0.0,-0.9,,False,True,True,False,False,True,True,True,,False,,,False,True,True,True,,True,False,False,True,False,True,True,True,True,
US,120349,120152.3,131430.0,120749.0,120731.8,120840.0,120462.2,121764.0,120461.0,120876.3,,119383.4,120630.0,120630.0,121665.0,120262.6,121625.6,120022.6,,120224.5,120261.0,,125251.0,119526.6,119804.0,116344.0,119913.5,119877.2,121335.0,453.3,11731.0,1050.0,1032.8,1141.0,763.2,2065.0,762.0,1177.3,,-315.6,931.0,931.0,1966.0,563.6,1926.6,323.6,,525.5,562.0,,5552.0,-172.4,105.0,-3355.0,214.5,178.2,1636.0,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,True,,False,False,,False,True,True,False,True,True,False
