,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,8016,8130.1,7781.6,7629.3,7948.9,7900.0,7958.0,7949.0,7653.0,7827.9,,7419.3,7893.0,8080.0,7968.1,8054.0,8025.7,,7817.0,7842.4,7907.0,8084.0,7979.5,8121.0,8100.6,7874.2,7972.0,7957.1,8075.9,8144.7,7893.0,,7802.2,8078.7,,7896.0,8248.6,8116.0,7988.2,,8195.1,7973.8,8145.9,8066.0,7867.8,7802.0,8173.0,,7772.9,7919.0,114.1,-234.4,-386.7,-67.1,-116.0,-58.0,-67.0,-363.0,-188.1,,-596.7,-123.0,64.0,-47.9,38.0,9.7,,-199.0,-173.6,-109.0,68.0,-36.5,105.0,84.6,-141.8,-44.0,-58.9,59.9,128.7,-123.0,,-213.8,62.7,,-120.0,232.6,100.0,-27.8,,179.1,-42.2,129.9,50.0,-148.2,-214.0,157.0,,-243.1,-97.0,False,False,True,False,True,True,False,False,,False,False,True,True,True,True,,False,False,True,True,True,True,True,False,True,True,True,False,False,,False,True,,False,False,True,True,,False,True,False,True,False,False,False,,False,True
North Dakota,1403,1388.0,1390.3,1417.2,1392.6,1400.0,1394.0,1387.0,1352.0,1376.4,,1377.8,1379.0,1390.6,1376.9,1388.0,1376.1,,1407.0,1410.2,1400.0,1398.8,1380.2,1374.0,1383.2,1383.6,1401.0,1383.5,1395.9,1392.4,1384.0,,,1386.2,,1385.0,1213.9,1375.0,1391.4,,1367.3,1396.7,1392.6,1378.0,1414.3,1387.0,1373.0,,1391.5,1384.0,-7.0,-4.7,22.2,-2.4,5.0,-1.0,-8.0,-43.0,-18.6,,-17.2,-16.0,-4.4,-18.1,-7.0,-18.9,,12.0,15.2,5.0,3.8,-14.8,-21.0,-11.8,-11.4,6.0,-11.5,0.9,-2.6,-11.0,,,-8.8,,-10.0,-181.1,-20.0,-3.6,,-27.7,1.7,-2.4,-17.0,19.3,-8.0,-22.0,,-3.5,-11.0,True,False,True,True,True,False,False,False,,False,False,True,False,True,False,,False,False,True,True,False,False,False,False,True,False,True,True,False,,,False,,False,False,False,True,,False,True,True,False,False,False,False,,True,False
Ohio,10135,10099.3,10210.1,9996.0,10173.6,10115.0,10181.0,10146.0,9758.0,10045.7,,9732.8,10023.0,10420.0,9980.8,10045.2,10146.0,,10195.0,10171.7,10161.0,10435.3,10103.0,10160.0,10167.7,10027.1,10188.0,10206.4,10215.5,10219.1,10405.0,,10130.5,9975.7,,10041.0,10988.5,9953.0,10196.0,,10375.8,10211.0,10336.3,10096.0,10210.0,10087.0,10056.0,,9900.1,10047.0,-35.7,75.1,-139.0,38.6,-20.0,46.0,11.0,-377.0,-89.3,,-402.2,-112.0,285.0,-154.2,-89.8,11.0,,60.0,36.7,26.0,300.3,-32.0,25.0,32.7,-107.9,53.0,71.4,80.5,84.1,270.0,,-4.5,-159.3,,-94.0,853.5,-182.0,61.0,,240.8,76.0,201.3,-39.0,75.0,-48.0,-79.0,,-234.9,-88.0,False,False,False,True,False,True,False,False,,False,False,False,False,False,True,,False,False,True,False,True,True,True,False,False,False,False,False,False,,True,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Oklahoma,2952,2944.4,2912.0,2849.3,2949.9,2922.0,2949.0,2946.0,2798.0,2938.9,,2782.8,2913.0,2946.8,2930.2,2914.3,2953.2,,2940.0,3157.2,2953.0,2997.5,2947.2,2930.0,2973.7,2862.2,2987.0,2945.9,2975.4,2997.6,2954.0,,,2950.0,,2928.0,2788.5,2926.0,2961.8,,3083.2,2958.2,3077.9,2946.0,2953.1,2919.0,2940.0,,2852.0,2929.0,-7.6,-40.0,-102.7,-2.1,-30.0,-3.0,-6.0,-154.0,-13.1,,-169.2,-39.0,-5.2,-21.8,-37.7,1.2,,-12.0,205.2,1.0,45.5,-4.8,-22.0,21.7,-89.8,35.0,-6.1,23.4,45.6,2.0,,,-2.0,,-24.0,-163.5,-26.0,9.8,,131.2,6.2,125.9,-6.0,1.1,-33.0,-12.0,,-100.0,-23.0,False,False,True,False,True,True,False,False,,False,False,True,False,False,True,,False,False,True,False,True,False,False,False,False,True,False,False,True,,,True,,False,False,False,False,,False,True,False,True,True,False,False,,False,False
Oregon,1799,1693.1,1673.1,1699.9,1715.4,1692.0,1714.0,1704.0,1701.0,1693.6,,1696.8,1672.0,1738.0,1695.4,1723.7,1696.2,,1727.0,1962.9,1711.0,1802.8,1714.0,1677.0,1679.7,1694.4,1721.0,1704.2,1709.8,1711.2,1704.0,,,1666.7,,1684.0,1821.0,1670.0,1712.9,,1757.5,1717.3,1748.6,1690.0,1696.6,1689.0,1658.0,,1662.6,1695.0,-105.9,-125.9,-99.1,-83.6,-107.0,-85.0,-95.0,-98.0,-105.4,,-102.2,-127.0,-61.0,-103.6,-75.3,-102.8,,-72.0,163.9,-88.0,3.8,-85.0,-122.0,-119.3,-104.6,-78.0,-94.8,-89.2,-87.8,-95.0,,,-132.3,,-115.0,22.0,-129.0,-86.1,,-41.5,-81.7,-50.4,-109.0,-102.4,-110.0,-141.0,,-136.4,-104.0,False,True,True,False,True,True,True,True,,True,False,True,True,True,True,,True,False,True,True,True,False,False,True,True,True,True,True,True,,,False,,False,True,False,True,,True,True,True,False,True,False,False,,False,True
Pennsylvania,19143,18991.6,19012.1,18400.3,19136.1,18854.0,19073.0,18923.0,18763.0,18698.5,,18206.8,18722.0,19323.7,18940.6,18994.1,18852.9,,18999.0,17747.8,18806.0,18704.0,18921.3,19138.0,19035.3,18787.7,18931.0,19195.6,18974.2,19257.1,19584.5,,18999.0,18869.8,,18746.0,18817.9,18745.0,19049.1,,18976.5,19210.6,19037.5,18696.0,19256.4,18830.0,18715.0,,18171.0,18746.0,-151.4,-130.9,-742.7,-6.9,-289.0,-70.0,-220.0,-380.0,-444.5,,-936.2,-421.0,180.7,-202.4,-148.9,-290.1,,-144.0,-1395.2,-337.0,-439.0,-221.7,-5.0,-107.7,-355.3,-212.0,52.6,-168.8,114.1,441.5,,-144.0,-273.2,,-397.0,-325.1,-398.0,-93.9,,-166.5,67.6,-105.5,-447.0,113.4,-313.0,-428.0,,-972.0,-397.0,True,False,True,False,True,False,False,False,,False,False,False,False,True,False,,True,False,False,False,False,True,True,False,False,True,False,True,False,,True,False,,False,False,False,True,,False,True,True,False,True,False,False,,False,False
Rhode Island,2005,2035.1,2033.1,2003.6,2055.7,2029.0,2055.0,2018.0,1978.0,1970.8,,1955.0,1991.0,2123.4,2038.1,2049.4,2031.8,,2103.0,2016.5,2037.0,1922.1,2016.7,2022.0,1999.9,1990.5,2035.0,2044.2,2045.8,2051.0,1976.0,,,,,2002.0,1990.9,1958.0,1951.1,,2024.1,2058.7,2045.4,2011.0,2021.4,1965.0,1984.0,,1883.4,2000.0,30.1,28.1,-1.4,50.7,24.0,50.0,13.0,-27.0,-34.2,,-50.0,-14.0,118.4,33.1,44.4,26.8,,98.0,11.5,32.0,-82.9,11.7,17.0,-5.1,-14.5,30.0,39.2,40.8,46.0,-29.0,,,,,-3.0,-14.1,-47.0,-53.9,,19.1,53.7,40.4,6.0,16.4,-40.0,-21.0,,-121.6,-5.0,True,True,False,True,False,True,True,False,,False,True,False,False,False,True,,False,True,False,False,True,True,True,True,True,False,False,False,True,,,,,True,True,False,False,,True,False,False,True,True,False,True,,False,True
South Carolina,6108,6104.1,6119.6,5904.1,6133.9,6122.0,6131.0,6113.0,6063.0,6082.2,,5782.0,6113.0,6136.4,6111.2,6222.4,6167.6,,6108.0,5904.2,6098.0,6092.0,6181.9,6153.0,6135.4,5973.3,6069.0,6091.8,6153.2,6211.4,6062.0,,6250.9,6131.1,,6142.0,6822.1,6147.0,6146.0,,6184.8,6104.2,6222.0,6150.0,6098.9,6055.0,6180.0,,5929.3,6144.0,-3.9,11.6,-203.9,25.9,14.0,23.0,5.0,-45.0,-25.8,,-326.0,5.0,28.4,3.2,114.4,59.6,,0.0,-203.8,-10.0,-16.0,73.9,45.0,27.4,-134.7,-39.0,-16.2,45.2,103.4,-46.0,,142.9,23.1,,34.0,714.1,39.0,38.0,,76.8,-3.8,114.0,42.0,-9.1,-53.0,72.0,,-178.7,36.0,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,False,,False,False
South Dakota,1633,1646.7,1625.8,1659.1,1646.4,1626.0,1639.0,1635.0,1585.0,1610.9,,1590.0,1642.0,1657.3,1630.9,1648.3,1635.1,,1627.0,1682.1,1631.0,1620.5,1627.2,1627.0,1631.5,1651.8,1643.0,1637.7,1639.5,1644.9,1612.0,,,1631.4,,1624.0,1584.7,1649.0,1632.2,,1624.9,1650.9,1635.6,1641.0,1651.6,1622.0,1645.5,,1638.7,1650.0,13.7,-7.2,26.1,13.4,-7.0,6.0,2.0,-48.0,-22.1,,-43.0,9.0,24.3,-2.1,15.3,2.1,,-6.0,49.1,-2.0,-12.5,-5.8,-6.0,-1.5,18.8,10.0,4.7,6.5,11.9,-21.0,,,-1.6,,-9.0,-48.3,16.0,-0.8,,-8.1,17.9,2.6,8.0,18.6,-11.0,12.5,,5.7,17.0,True,False,True,True,True,True,False,False,,False,True,False,True,False,True,,True,False,True,True,True,True,True,False,True,True,True,True,False,,,True,,True,False,False,True,,True,False,True,True,False,True,True,,True,False
Tennessee,8355,8436.4,8248.1,8085.6,8426.2,8295.0,8438.0,8342.0,8088.0,8244.8,,7861.3,8166.0,8449.4,8376.1,8450.8,8360.6,,8279.0,7916.7,8300.0,8094.2,8371.7,8343.0,8385.4,8180.9,8300.0,8390.2,8406.5,8341.8,8203.5,,8292.4,8361.8,,8263.0,8557.1,8277.0,8486.5,,8599.9,8403.7,8452.6,8316.0,8382.6,8245.0,8399.0,,7882.0,8395.0,81.4,-106.9,-269.4,71.2,-60.0,83.0,-13.0,-267.0,-110.2,,-493.7,-189.0,94.4,21.1,95.8,5.6,,-76.0,-438.3,-55.0,-260.8,16.7,-12.0,30.4,-174.1,-55.0,35.2,51.5,-13.2,-151.5,,-62.6,6.8,,-92.0,202.1,-78.0,131.5,,244.9,48.7,97.6,-39.0,27.6,-110.0,44.0,,-473.0,40.0,False,False,True,True,False,True,False,False,,False,False,False,True,False,True,,True,False,True,False,True,True,True,False,True,True,True,True,False,,True,True,,False,False,True,False,,False,True,False,True,True,False,True,,False,True
Texas,32428,32178.7,32311.0,31052.1,32171.4,31780.0,32184.0,32010.0,31799.0,31660.3,,30253.4,31606.0,32917.5,32338.8,31739.5,32124.5,,31582.0,31582.5,31664.0,32071.0,32075.5,32052.0,32303.5,31360.5,31941.0,32270.4,32092.1,32677.1,31642.0,,31713.6,32040.5,,32240.0,31552.6,32360.0,32228.6,,31652.1,32310.2,32580.4,32030.0,31982.7,31837.0,32010.5,,31226.1,31584.0,-249.3,-117.0,-1375.9,-256.6,-648.0,-244.0,-418.0,-629.0,-767.7,,-2174.6,-822.0,489.5,-89.2,-688.5,-303.5,,-846.0,-845.5,-764.0,-357.0,-352.5,-376.0,-124.5,-1067.5,-487.0,-157.6,-335.9,249.1,-786.0,,-714.4,-387.5,,-188.0,-875.4,-68.0,-199.4,,-775.9,-117.8,152.4,-398.0,-445.3,-591.0,-417.5,,-1201.9,-844.0,True,False,False,False,True,False,False,False,,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,True,False,True,False,,False,False,,True,False,True,True,,False,True,True,False,False,False,False,,False,False
Utah,1485,1470.0,1476.4,1591.5,1489.9,1487.0,1486.0,1482.0,1465.0,1490.7,,1404.9,1465.0,1468.7,1468.6,1487.7,1481.7,,1489.0,1881.0,1498.0,1106.6,1471.5,1464.0,1493.1,1447.8,1498.0,1488.9,1501.3,1494.5,1456.0,,,1475.3,,1491.0,1298.9,1457.0,1488.2,,1657.8,1501.9,1485.9,1466.0,1493.1,1468.0,1459.0,,1029.2,1474.0,-15.0,-8.6,106.5,4.9,2.0,1.0,-3.0,-20.0,5.7,,-80.1,-20.0,-16.3,-16.4,2.7,-3.3,,4.0,396.0,13.0,-378.4,-13.5,-21.0,8.1,-37.2,13.0,3.9,16.3,9.5,-29.0,,,-9.7,,6.0,-186.1,-28.0,3.2,,172.8,16.9,0.9,-19.0,8.1,-17.0,-26.0,,-455.8,-11.0,True,False,True,True,True,True,False,True,,False,False,False,False,True,True,,True,False,True,False,True,False,True,False,True,True,False,True,False,,,True,,True,False,False,True,,False,False,True,False,True,False,False,,False,True
Vermont,163,169.7,171.9,170.2,173.1,174.0,173.0,173.0,164.0,176.5,,174.6,173.0,167.2,173.7,182.5,173.1,,176.0,181.3,175.0,186.5,184.4,173.0,166.2,158.2,187.0,178.4,178.4,175.0,168.0,,,168.3,,180.0,135.6,168.0,172.1,,171.0,192.0,177.1,167.0,169.9,172.0,167.0,,160.6,170.0,6.7,8.9,7.2,10.1,11.0,10.0,10.0,1.0,13.5,,11.6,10.0,4.2,10.7,19.5,10.1,,13.0,18.3,12.0,23.5,21.4,10.0,3.2,-4.8,24.0,15.4,15.4,12.0,5.0,,,5.3,,17.0,-27.4,5.0,9.1,,8.0,29.0,14.1,4.0,6.9,9.0,4.0,,-2.4,7.0,False,False,False,False,False,False,True,False,,False,False,True,False,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,True,,,True,,False,False,True,False,,False,False,False,True,False,False,True,,True,False
Virginia,5706,5605.0,5680.9,5515.7,5650.4,5634.0,5645.0,5664.0,5607.0,5680.7,,5486.4,5571.0,5720.2,5667.8,5643.6,5679.8,,5699.0,5531.8,5680.0,5865.0,5706.6,5667.0,5644.8,5555.1,5758.0,5663.2,5699.1,5680.7,5712.0,,5641.0,5565.2,,5666.0,5998.4,5602.0,5613.5,,5931.8,5674.1,5784.5,5651.0,5675.7,5664.0,5608.0,,5496.6,5639.0,-101.0,-25.1,-190.3,-55.6,-72.0,-61.0,-42.0,-99.0,-25.3,,-219.6,-135.0,14.2,-38.2,-62.4,-26.2,,-7.0,-174.2,-26.0,159.0,0.6,-39.0,-61.2,-150.9,52.0,-42.8,-6.9,-25.3,6.0,,-65.0,-140.8,,-40.0,292.4,-104.0,-92.5,,225.8,-31.9,78.5,-55.0,-30.3,-42.0,-98.0,,-209.4,-67.0,True,False,True,True,True,True,True,True,,False,False,True,True,True,True,,True,False,True,False,True,True,True,False,True,True,True,True,True,,True,False,,True,False,False,True,,False,True,True,True,True,True,True,,False,True
Washington,3903,3902.9,3965.0,3829.6,3921.5,3875.0,3935.0,3909.0,3839.0,3897.0,,3637.6,3814.0,3843.4,3850.1,4028.2,3973.0,,3893.0,3868.9,3928.0,3949.2,3877.4,3849.0,3912.5,3796.1,3973.0,3955.0,3959.0,3937.0,3913.0,,3929.0,3913.7,,3933.0,4123.4,3821.0,3911.9,,3979.0,3960.0,4020.4,3862.0,3930.1,3889.0,3890.0,,3775.4,3672.0,-0.1,62.0,-73.4,18.5,-28.0,32.0,6.0,-64.0,-6.0,,-265.4,-89.0,-59.6,-52.9,125.2,70.0,,-10.0,-34.1,25.0,46.2,-25.6,-54.0,9.5,-106.9,70.0,52.0,56.0,34.0,10.0,,26.0,10.7,,30.0,220.4,-82.0,8.9,,76.0,57.0,117.4,-41.0,27.1,-14.0,-13.0,,-127.6,-231.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
West Virginia,1761,1758.6,1739.5,1654.3,1759.3,1745.0,1767.0,1739.0,1658.0,1726.4,,1608.9,1703.0,1793.2,1746.8,1799.0,1743.5,,1708.0,1646.9,1745.0,1779.6,1747.4,1727.0,1752.2,1721.3,1733.0,1755.6,1747.5,1770.0,1714.0,,,1727.4,,1739.0,1778.3,1735.0,1788.4,,1756.9,1767.1,1780.7,1720.0,1743.2,1732.0,1719.0,,1662.5,1734.0,-2.4,-21.5,-106.7,-1.7,-16.0,6.0,-22.0,-103.0,-34.6,,-152.1,-58.0,32.2,-14.2,38.0,-17.5,,-53.0,-114.1,-16.0,18.6,-13.6,-34.0,-8.8,-39.7,-28.0,-5.4,-13.5,9.0,-47.0,,,-33.6,,-22.0,17.3,-26.0,27.4,,-4.1,6.1,19.7,-41.0,-17.8,-29.0,-42.0,,-98.5,-27.0,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Wisconsin,5905,5834.9,5829.4,5838.5,5878.3,5808.0,5878.0,5811.0,5737.0,5808.5,,5742.7,5732.0,5770.7,5804.5,5813.6,5826.9,,5811.0,6831.5,5839.0,5885.6,5792.6,5790.0,5845.3,5777.0,5836.0,5871.6,5852.2,5847.0,5915.0,,5719.9,5744.4,,5794.0,4885.9,5745.0,5901.6,,5993.7,5880.3,5956.1,5762.0,5931.4,5767.0,5701.0,,5758.5,5443.0,-70.1,-75.6,-66.5,-26.7,-97.0,-27.0,-94.0,-168.0,-96.5,,-162.3,-173.0,-134.3,-100.5,-91.4,-78.1,,-94.0,926.5,-66.0,-19.4,-112.4,-115.0,-59.7,-128.0,-69.0,-33.4,-52.8,-58.0,10.0,,-185.1,-160.6,,-111.0,-1019.1,-160.0,-3.4,,88.7,-24.7,51.1,-143.0,26.4,-138.0,-204.0,,-146.5,-462.0,False,True,True,False,True,False,False,False,,False,False,False,False,False,False,,False,False,True,True,False,False,True,False,True,True,True,True,True,,False,False,,False,False,False,True,,False,True,True,False,True,False,False,,False,False
Wyoming,522,532.7,530.9,527.8,544.4,544.0,540.0,527.0,495.0,526.6,,471.2,515.0,540.0,516.9,534.4,522.4,,546.0,494.4,537.0,517.1,518.8,521.0,515.3,520.6,523.0,538.3,541.0,534.0,529.0,,,532.3,,520.0,442.1,504.0,507.7,,536.5,551.3,538.5,513.0,540.5,527.0,519.0,,515.0,531.0,10.7,8.9,5.8,22.4,22.0,18.0,5.0,-27.0,4.6,,-50.8,-7.0,18.0,-5.1,12.4,0.4,,24.0,-27.6,15.0,-4.9,-3.2,-1.0,-6.7,-1.4,1.0,16.3,19.0,12.0,7.0,,,10.3,,-2.0,-79.9,-18.0,-14.3,,14.5,29.3,16.5,-9.0,18.5,5.0,-3.0,,-7.0,9.0,True,True,False,False,False,True,False,True,,False,True,False,True,False,True,,False,False,False,True,True,True,True,True,True,False,False,False,True,,,True,,True,False,False,False,,False,False,False,True,False,True,True,,True,True
US,395877,393771.6,393964.4,384982.9,394760.1,,394726.0,392740.0,385989.0,389925.1,393789.0,376609.9,390088.0,398171.9,392919.1,393324.8,,403189.0,390507.0,388257.1,,390375.0,393362.8,395476.5,396270.0,,393506.0,394488.7,394454.3,397473.5,392770.5,391545.5,392322.3,392628.8,390077.0,391714.0,394654.7,392069.0,393555.0,394512.0,,395197.0,397554.5,392710.0,396895.4,391455.0,392010.5,389531.5,383165.9,386859.0,-2080.4,-1887.6,-10869.1,-1091.9,,-1126.0,-3112.0,-9863.0,-5926.9,-2063.0,-19242.1,-5764.0,2319.9,-2932.9,-2527.2,,7337.0,-5345.0,-7594.9,,-5477.0,-2489.2,-375.5,418.0,,-2346.0,-1363.3,-1397.7,1621.5,-3081.5,-4306.5,-3529.7,-3223.2,-5775.0,-4138.0,-1197.3,-3783.0,-2297.0,-1340.0,,-655.0,1702.5,-3142.0,1043.4,-4397.0,-3841.5,-6320.5,-12686.1,-8993.0,True,False,True,,True,False,False,False,True,False,False,False,False,False,,False,False,False,,False,False,True,True,,False,True,True,True,False,False,False,False,False,False,True,False,False,True,,True,True,False,True,False,False,False,False,False
