,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,6541,6517.7,6510.9,6533.2,6511.8,6503.0,6541.0,6508.0,6424.0,6495.8,6457.0,6533.4,6330.0,6524.0,6556.3,6590.3,,6527.0,6570.0,6484.6,6566.2,6505.0,6484.0,6420.0,6554.0,6539.3,6541.4,6635.3,6423.0,,6385.1,6492.8,6489.0,6364.8,6430.0,6481.4,,6368.3,6555.8,6564.5,6477.0,6670.3,6483.0,6788.0,6161.6,6532.8,-23.3,-30.1,-7.8,-29.2,-38.0,0.0,-33.0,-117.0,-45.2,-84.0,-7.6,-211.0,-17.0,15.3,49.3,,-14.0,29.0,-56.4,25.2,-36.0,-57.0,-121.0,13.0,-1.7,0.4,94.3,-118.0,,-155.9,-48.2,-52.0,-176.2,-111.0,-59.6,,-172.7,14.8,23.5,-64.0,129.3,-58.0,247.0,-379.4,-8.2,False,True,False,False,True,False,False,False,False,True,False,True,True,False,,True,False,False,False,False,False,False,True,True,True,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,True
Massachusetts,13583,13538.6,13550.8,13376.7,13488.0,13462.0,13486.0,13473.0,13178.0,13347.7,13164.0,13157.8,13444.0,13261.4,13399.7,13528.6,,13495.0,13438.9,13630.7,13697.8,13736.0,13371.4,13352.2,13370.0,13564.8,13580.9,13538.3,13476.0,,13069.2,13324.9,13397.0,14461.8,13556.0,13470.8,,13165.5,13574.5,13507.3,13482.0,13421.9,13475.0,13433.3,12841.6,13528.0,-44.4,-32.2,-206.3,-95.0,-121.0,-97.0,-110.0,-405.0,-235.3,-419.0,-425.2,-139.0,-321.6,-183.3,-54.4,,-88.0,-144.1,47.7,114.8,153.0,-211.6,-230.8,-213.0,-18.2,-2.1,-44.7,-107.0,,-513.8,-258.1,-186.0,878.8,-27.0,-112.2,,-417.5,-8.5,-75.7,-101.0,-161.1,-108.0,-149.7,-741.4,-55.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,True,False,,False,True,False,False,False,False,False,False,False
Michigan,14669,14450.0,14638.2,14655.9,14491.8,14371.0,14538.0,14215.0,13939.0,14208.7,14033.0,14220.2,14243.0,14246.1,14240.5,14273.8,,14518.0,13929.7,14110.0,14309.6,14556.0,14144.8,14386.6,14204.0,14588.7,14177.3,14558.4,14272.0,,14031.3,14083.5,13974.0,13496.0,13966.0,13686.8,,13998.6,14666.1,14422.8,14190.0,14862.0,14123.0,14723.1,13666.7,14393.2,-219.0,-30.8,-13.1,-177.2,-298.0,-131.0,-454.0,-730.0,-460.3,-636.0,-448.8,-426.0,-422.9,-428.5,-395.2,,-151.0,-739.3,-559.0,-359.4,-113.0,-524.2,-282.4,-465.0,-80.3,-491.7,-110.6,-397.0,,-637.7,-585.5,-695.0,-1173.0,-703.0,-982.2,,-670.4,-2.9,-246.2,-479.0,193.0,-546.0,54.1,-1002.3,-275.8,True,True,True,False,True,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,True,False,,False,False,False,False,False,False,,False,True,False,False,True,False,True,False,False
Minnesota,5955,6014.6,6091.5,6158.2,5974.1,5939.0,5976.2,5924.0,5700.0,5848.1,5788.0,5985.5,6118.0,5874.2,5909.8,5882.7,,6053.0,5714.0,5890.1,5914.3,5934.0,5796.4,5854.5,5919.0,6033.8,5990.7,5913.7,5951.0,,5955.3,5778.6,5794.0,5105.8,5859.0,5940.3,,5801.2,6041.3,5919.6,5852.0,6068.7,5817.0,6096.8,5779.1,6056.8,59.6,136.5,203.2,19.1,-16.0,21.2,-31.0,-255.0,-106.9,-167.0,30.5,163.0,-80.8,-45.2,-72.3,,98.0,-241.0,-64.9,-40.7,-21.0,-158.6,-100.5,-36.0,78.8,35.7,-41.3,-4.0,,0.3,-176.4,-161.0,-849.2,-96.0,-14.7,,-153.8,86.3,-35.4,-103.0,113.7,-138.0,141.8,-175.9,101.8,False,False,True,True,True,True,False,False,False,True,False,False,True,False,,False,False,False,True,True,False,False,True,False,True,True,True,,True,False,False,False,False,True,,False,False,True,False,False,False,False,False,False
Mississippi,5481,5363.1,5453.1,5271.7,5341.0,5326.0,5390.0,5313.0,5303.0,5363.8,5171.0,5254.2,5364.0,5331.9,5366.3,5371.0,,5305.0,5328.2,5214.0,5333.5,5312.0,5282.1,5131.6,5225.0,5377.4,5335.5,5420.2,5210.0,,5167.4,5253.2,5320.0,5838.1,5276.0,5436.5,,5120.8,5406.4,5339.1,5313.0,5290.1,5329.0,5313.0,5063.8,5373.6,-117.9,-27.9,-209.3,-140.0,-155.0,-91.0,-168.0,-178.0,-117.2,-310.0,-226.8,-117.0,-149.1,-114.7,-110.0,,-176.0,-152.8,-267.0,-147.5,-169.0,-198.9,-349.4,-256.0,-103.6,-145.5,-60.8,-271.0,,-313.6,-227.8,-161.0,357.1,-205.0,-44.5,,-360.2,-74.6,-141.9,-168.0,-190.9,-152.0,-168.0,-417.2,-107.4,True,False,False,False,True,False,False,True,False,False,True,False,True,True,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,False,False,True,,False,True,False,False,False,False,False,False,True
Missouri,6493,6228.1,6340.1,6564.8,6221.1,6153.0,6210.8,6288.0,6223.0,6225.2,6357.0,6570.5,6452.0,6257.2,6282.9,6557.8,,6633.0,5900.8,6109.4,6431.8,6224.0,6274.3,6076.2,6308.0,6432.1,6322.5,6572.6,6724.0,,6232.4,5996.3,6292.0,6343.6,6208.0,5994.2,,6251.9,6430.3,6338.1,6250.0,6506.3,6146.0,,5740.8,5206.1,-260.9,-148.9,75.8,-267.9,-336.0,-278.2,-201.0,-266.0,-263.8,-132.0,81.5,-37.0,-231.8,-206.1,68.8,,144.0,-588.2,-379.6,-57.2,-265.0,-214.7,-412.8,-181.0,-56.9,-166.5,83.6,235.0,,-256.6,-492.7,-197.0,-145.4,-281.0,-494.8,,-237.1,-58.7,-150.9,-239.0,17.3,-343.0,,-748.2,-1282.9,True,True,False,False,False,True,False,False,True,True,True,True,True,True,,True,False,False,True,False,True,False,True,True,True,True,True,,True,False,True,True,False,False,,True,True,True,True,True,False,,False,False
Montana,1088,1061.1,1057.2,1096.1,1079.6,1072.0,1075.0,1050.0,978.0,1043.7,1032.0,1013.2,1017.0,1039.8,1074.2,1043.1,,1100.0,1040.5,1110.3,1037.9,1026.0,1025.6,1084.0,1112.0,1070.4,1069.8,1038.6,1057.0,,,1047.8,1030.0,1006.9,1027.0,1087.6,,1027.6,1094.7,1113.0,1041.0,1080.5,1040.0,1086.5,1039.4,1059.2,-26.9,-30.8,8.1,-8.4,-16.0,-13.0,-38.0,-110.0,-44.3,-56.0,-74.8,-71.0,-48.2,-13.8,-44.9,,12.0,-47.5,22.3,-50.1,-62.0,-62.4,-4.0,24.0,-17.6,-18.2,-49.4,-31.0,,,-40.2,-58.0,-81.1,-61.0,-0.4,,-60.4,6.7,25.0,-47.0,-7.5,-48.0,-1.5,-48.6,-28.8,False,True,True,True,True,False,False,False,False,False,False,False,True,False,,True,False,True,False,False,False,True,True,True,True,False,False,,,False,False,False,False,True,,False,True,True,False,True,False,True,False,False
Nebraska,1837,1881.9,1930.1,1888.8,1883.4,1855.0,1889.0,1858.0,1789.0,1812.5,1770.0,1871.4,1886.0,1898.8,1856.0,1843.1,,1857.5,1770.7,1905.8,1802.1,1753.0,1826.4,1841.0,1925.0,1880.3,1840.7,1824.0,1836.0,,,1835.2,1804.0,1659.2,1824.0,1877.6,,1816.4,1900.3,1925.6,1810.0,1927.4,1814.0,1866.7,1800.9,1879.1,44.9,93.1,51.8,46.4,18.0,52.0,21.0,-48.0,-24.5,-67.0,34.4,49.0,61.8,19.0,6.1,,20.5,-66.3,68.8,-34.9,-84.0,-10.6,4.0,88.0,43.3,3.7,-13.0,-1.0,,,-1.8,-33.0,-177.8,-13.0,40.6,,-20.6,63.3,88.6,-27.0,90.4,-23.0,29.7,-36.1,42.1,False,False,False,True,False,True,False,True,False,True,False,False,True,True,,True,False,False,True,False,True,True,False,True,True,True,True,,,True,True,False,True,True,,True,False,False,True,False,True,True,True,True
Nevada,3761,3607.1,3514.1,3589.3,3548.7,3488.0,3560.0,3539.0,3427.0,3521.1,3463.0,3589.8,3497.0,3661.6,3535.5,3555.3,,3590.0,3369.6,3552.9,3563.5,3487.0,3497.3,3566.6,3506.0,3580.4,3572.7,3651.9,3528.0,,3475.5,3444.6,3498.0,3710.0,3505.0,3546.8,,3498.7,3594.0,3587.0,3539.0,3538.3,3472.0,,3348.8,3606.8,-153.9,-246.9,-171.7,-212.3,-273.0,-201.0,-222.0,-334.0,-239.9,-298.0,-171.2,-264.0,-99.4,-225.5,-205.7,,-171.0,-391.4,-208.1,-197.5,-274.0,-263.7,-194.4,-255.0,-180.6,-188.3,-109.1,-233.0,,-285.5,-316.4,-263.0,-51.0,-256.0,-214.2,,-262.3,-167.0,-174.0,-222.0,-222.7,-289.0,,-412.2,-154.2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,,False,False,False,False,False,False,,False,False
New Hampshire,927,913.7,1000.7,879.9,905.8,886.0,905.0,890.0,802.0,909.6,885.0,893.0,868.0,877.0,893.5,914.2,,930.0,867.6,979.5,885.4,877.0,873.0,844.6,896.0,907.5,943.0,910.7,976.0,,,889.9,889.0,966.0,883.0,890.3,,880.0,932.8,918.0,883.0,888.3,893.0,920.5,807.2,926.9,-13.3,73.7,-47.1,-21.2,-41.0,-22.0,-37.0,-125.0,-17.4,-42.0,-34.0,-59.0,-50.0,-33.5,-12.8,,3.0,-59.4,52.5,-41.6,-50.0,-54.0,-82.4,-31.0,-19.5,16.0,-16.3,49.0,,,-37.1,-38.0,39.0,-44.0,-36.7,,-47.0,5.8,-9.0,-44.0,-38.7,-34.0,-6.5,-119.8,-0.1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,True,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,True,True,False,False,False,True,False,True
New Jersey,20414,20281.4,20273.8,20171.9,20321.1,20289.0,20335.1,20164.0,20063.0,20078.9,20070.0,19897.4,19659.0,20146.2,20217.0,20230.5,,20164.0,19668.8,20151.6,20156.2,20195.0,20269.8,20636.6,20123.0,20276.0,20156.3,20477.6,20314.0,,19694.9,20314.7,20163.0,19448.7,20035.0,20402.4,,19950.9,20299.4,20339.5,20030.0,19735.4,20140.0,20153.8,19449.2,20328.9,-132.6,-140.2,-242.1,-92.9,-125.0,-78.9,-250.0,-351.0,-335.1,-344.0,-516.6,-755.0,-267.8,-197.0,-183.5,,-250.0,-745.2,-262.4,-257.8,-219.0,-144.2,222.6,-291.0,-138.0,-257.7,63.6,-100.0,,-719.1,-99.3,-251.0,-965.3,-379.0,-11.6,,-463.1,-114.6,-74.5,-384.0,-678.6,-274.0,-260.2,-964.8,-85.1,False,False,True,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,,False,True,False,False,False,True,,False,True,True,False,False,False,False,False,True
New Mexico,2910,2931.7,2858.8,2900.0,2969.1,2860.0,2970.0,2852.0,2779.0,2853.5,2823.0,2776.0,2787.0,2851.1,2856.9,2873.6,,2873.0,2821.4,2749.7,2935.5,2825.0,2838.2,2935.1,2836.0,2923.7,2872.5,2842.4,2927.0,,,2893.1,2841.0,2895.9,2827.0,2935.6,,2677.0,2947.9,2926.6,2863.0,2957.6,2831.0,2909.2,2739.1,2869.8,21.7,-51.2,-10.0,59.1,-50.0,60.0,-58.0,-131.0,-56.5,-87.0,-134.0,-123.0,-58.9,-53.1,-36.4,,-37.0,-88.6,-160.3,25.5,-85.0,-71.8,25.1,-74.0,13.7,-37.5,-67.6,17.0,,,-16.9,-69.0,-14.1,-83.0,25.6,,-233.0,37.9,16.6,-47.0,47.6,-79.0,-0.8,-170.9,-40.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,True,,,True,False,True,False,False,,False,False,True,False,False,False,True,False,False
New York,40806,40279.6,40303.3,40424.8,40285.2,40349.0,40247.5,40300.0,39690.0,40230.7,40559.0,40126.9,39895.0,40092.6,40219.4,41019.6,,40092.0,39737.6,41062.4,40728.4,40723.0,40508.4,40055.1,40342.0,40358.2,40410.2,40660.3,39157.5,,39526.1,40267.2,40977.0,39968.2,40320.0,40208.4,,41016.1,40384.2,40458.5,40300.0,40577.7,40374.0,40736.8,38477.8,40425.1,-526.4,-502.7,-381.2,-520.8,-457.0,-558.5,-506.0,-1116.0,-575.3,-247.0,-679.1,-911.0,-713.4,-586.6,213.6,,-714.0,-1068.4,256.4,-77.6,-83.0,-297.6,-750.9,-464.0,-447.8,-395.8,-145.7,-1648.5,,-1279.9,-538.8,171.0,-837.8,-486.0,-597.6,,210.1,-421.8,-347.5,-506.0,-228.3,-432.0,-69.2,-2328.2,-380.9,True,True,True,True,False,True,False,False,True,False,False,False,False,True,,False,False,True,True,True,True,False,True,True,True,True,False,,False,False,True,False,True,False,,True,True,True,True,True,True,True,False,True
North Carolina,8016,7580.4,7560.4,7576.6,7609.4,7649.0,7624.0,7609.0,7245.0,7691.1,7445.0,7457.7,7876.0,7383.6,7598.4,7795.3,,7722.0,7898.9,8137.9,7871.1,7533.0,7634.2,7592.1,7787.0,7638.3,7621.3,7852.9,7836.0,,7380.7,7381.5,7707.0,8248.6,7552.0,7494.6,,7582.8,7677.0,7878.7,7758.0,7522.6,7544.0,7622.0,7258.7,7533.8,-435.6,-455.6,-439.4,-406.6,-367.0,-392.0,-407.0,-771.0,-324.9,-571.0,-558.3,-140.0,-632.4,-417.6,-220.7,,-294.0,-117.1,121.9,-144.9,-483.0,-381.8,-423.9,-229.0,-377.7,-394.7,-163.1,-180.0,,-635.3,-634.5,-309.0,232.6,-464.0,-521.4,,-433.2,-339.0,-137.3,-258.0,-493.4,-472.0,-394.0,-757.3,-482.2,False,False,True,True,True,True,False,True,False,False,True,False,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,False,True,True,False,False,,True,True,True,True,False,False,True,False,False
North Dakota,1403,1391.7,1379.7,1430.1,1368.3,1388.0,1402.0,1378.0,1319.0,1365.2,1367.0,1408.9,1361.0,1370.2,1421.7,1354.4,,1395.0,1368.8,1399.9,1362.8,1350.0,1357.1,1393.6,1421.0,1380.4,1398.7,1386.4,1374.0,,,1337.3,1362.0,1213.9,1364.0,1389.5,,1318.1,1404.4,1394.7,1366.0,1485.5,1354.0,1382.5,1393.9,1409.4,-4.3,-16.3,34.1,-27.7,-8.0,6.0,-18.0,-77.0,-30.8,-29.0,12.9,-35.0,-25.8,25.7,-41.6,,-1.0,-27.2,3.9,-33.2,-46.0,-38.9,-2.4,25.0,-15.6,2.7,-9.6,-22.0,,,-58.7,-34.0,-182.1,-32.0,-6.5,,-77.9,8.4,-1.3,-30.0,89.5,-42.0,-13.5,-2.1,13.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,True,False,False,False,True,False,False,True,False,False,,,False,False,False,False,False,,False,False,True,False,False,False,False,True,False
Ohio,10135,10129.0,10340.3,10043.1,10065.4,10099.0,10099.1,10024.0,9301.0,9974.4,9710.0,9917.0,10261.0,10126.4,9965.7,9932.0,,10410.0,9760.4,10709.5,9912.9,10169.0,10055.5,9776.5,10117.0,10241.1,10146.3,10006.6,9947.0,,9686.1,9661.7,9770.0,10988.6,9696.0,10185.2,,10052.2,10233.2,10279.8,10042.0,10096.0,9840.0,10011.5,9508.0,10039.9,-6.0,205.3,-91.9,-69.6,-36.0,-35.9,-111.0,-834.0,-160.6,-425.0,-218.0,126.0,-8.6,-169.3,-203.0,,275.0,-374.6,574.5,-222.1,34.0,-79.5,-358.5,-18.0,106.1,11.3,-128.4,-188.0,,-448.9,-473.3,-365.0,853.6,-439.0,50.2,,-82.8,98.2,144.8,-93.0,-39.0,-295.0,-123.5,-627.0,-95.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Oklahoma,2952,2875.7,2848.2,2857.9,2861.5,2846.0,2867.0,2876.0,2598.0,2909.5,2837.0,2804.1,2903.0,2789.1,2863.8,2906.4,,2939.0,2958.5,3064.3,2897.0,2884.0,2867.4,2753.3,2969.0,2894.9,2905.6,2857.6,2910.0,,,2833.3,2853.0,2788.5,2872.0,2880.2,,2916.2,2914.2,3023.4,2890.0,2841.4,2864.0,2849.5,2710.2,2893.0,-76.3,-103.8,-94.1,-90.5,-106.0,-85.0,-76.0,-354.0,-42.5,-115.0,-147.9,-49.0,-162.9,-88.2,-45.6,,-13.0,6.5,112.3,-55.0,-68.0,-84.6,-198.7,17.0,-57.1,-46.4,-94.4,-42.0,,,-118.7,-99.0,-163.5,-80.0,-71.8,,-35.8,-37.8,71.4,-62.0,-110.6,-88.0,-102.5,-241.8,-59.0,False,False,False,False,False,True,False,True,False,False,True,False,False,True,,True,True,False,True,True,False,False,True,True,True,False,True,,,False,False,False,False,True,,True,True,True,True,False,False,False,False,True
Oregon,1799,1635.6,1566.0,1766.0,1607.3,1620.0,1632.0,1672.0,1651.0,1699.8,1642.0,1824.0,1772.0,1679.0,1674.7,1661.1,,1706.0,1811.1,1879.7,1677.9,1612.0,1602.8,1693.1,1707.0,1648.9,1688.4,1780.7,1679.0,,,1585.3,1686.0,1819.1,1647.0,1633.1,,1668.8,1669.5,1764.5,1673.0,1672.3,1606.0,1806.1,1607.4,1708.6,-163.4,-233.0,-33.0,-191.7,-179.0,-167.0,-127.0,-148.0,-99.2,-157.0,25.0,-27.0,-120.0,-124.3,-137.9,,-93.0,12.1,80.7,-121.1,-187.0,-196.2,-105.9,-92.0,-150.1,-110.6,-18.3,-120.0,,,-213.7,-113.0,20.1,-152.0,-165.9,,-130.2,-129.5,-34.5,-126.0,-126.7,-193.0,7.1,-191.6,-90.4,False,True,False,False,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,,,False,True,True,True,False,,True,True,True,True,True,False,True,False,True
Pennsylvania,19143,18571.9,19047.4,18507.0,18785.3,18629.0,18820.8,18500.0,18353.0,18340.4,18098.0,18905.7,19194.0,18418.2,18614.5,18506.8,,19127.0,17288.3,18262.7,18521.9,18514.0,18357.6,18035.6,18344.0,19128.9,18489.9,18667.2,18127.0,,17932.3,17862.3,18213.0,18868.9,17906.0,18775.5,,18640.2,19117.0,18481.0,18150.0,19000.9,18269.0,18798.6,16934.3,18138.3,-571.1,-95.6,-636.0,-357.7,-514.0,-322.2,-643.0,-790.0,-802.6,-1045.0,-237.3,51.0,-724.8,-528.5,-636.2,,-16.0,-1854.7,-880.3,-621.1,-629.0,-785.4,-1107.4,-799.0,-14.1,-653.1,-475.8,-1016.0,,-1210.7,-1280.7,-930.0,-274.1,-1237.0,-367.5,,-502.8,-26.0,-662.0,-993.0,-142.1,-874.0,-344.4,-2208.7,-1004.7,True,False,True,True,True,False,False,False,False,True,True,False,True,False,,True,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,True,False,True,,True,True,False,False,True,False,True,False,False
Rhode Island,2005,1912.6,1996.0,1990.3,1922.8,1917.0,1923.0,1924.0,1864.0,1886.3,1862.0,1982.1,1924.0,2058.0,1951.1,1964.5,,2023.0,1874.8,1862.5,1936.1,1877.0,1885.0,1927.4,1970.0,1972.3,1947.1,1931.4,2035.0,,,1933.5,1847.0,1990.9,1804.0,1835.9,,1916.8,1990.2,1945.5,1901.0,1924.7,1862.0,1991.3,1774.0,1938.7,-92.4,-9.0,-14.7,-82.2,-88.0,-82.0,-81.0,-141.0,-118.7,-143.0,-22.9,-81.0,53.0,-53.9,-40.5,,18.0,-130.2,-142.5,-68.9,-128.0,-120.0,-77.6,-35.0,-32.7,-57.9,-73.6,30.0,,,-71.5,-158.0,-14.1,-201.0,-169.1,,-88.2,-14.8,-59.5,-104.0,-80.3,-143.0,-13.7,-231.0,-66.3,True,True,True,True,True,True,False,False,False,True,True,True,True,True,,True,False,False,True,False,False,True,True,True,True,True,True,,,True,False,True,False,False,,True,True,True,False,True,False,True,False,True
South Carolina,6108,6052.1,6002.5,5820.0,5911.1,5906.0,5907.1,5909.0,5811.0,5952.2,5897.0,5777.9,5948.0,5894.8,,6024.3,,5864.0,6064.9,6080.5,6110.3,6258.0,5882.1,5739.9,5848.0,5925.2,5994.6,6014.7,5807.0,,5837.8,6116.1,5969.0,6821.6,6136.0,5895.7,,5765.7,5953.7,6012.7,6152.0,5779.0,5892.0,5979.0,5675.2,6266.6,-55.9,-105.5,-288.0,-196.9,-202.0,-200.9,-199.0,-297.0,-155.8,-211.0,-330.1,-160.0,-213.2,,-83.7,,-244.0,-43.1,-27.5,2.3,150.0,-225.9,-368.1,-260.0,-182.8,-113.4,-93.3,-301.0,,-270.2,8.1,-139.0,713.6,28.0,-212.3,,-342.3,-154.3,-95.3,44.0,-329.0,-216.0,-129.0,-432.8,158.6,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,True,True,True,False,False,False,False,False,False,False,False,,False,True,False,False,True,False,,False,False,False,True,False,False,False,False,False
South Dakota,1633,1637.4,1628.4,1707.6,1606.8,1582.0,1611.0,1622.0,1537.0,1593.4,1597.0,1644.3,1718.0,1611.7,1589.4,1621.8,,1659.0,1670.3,1608.8,1633.3,1568.0,1572.4,1680.5,1655.0,1600.2,1638.9,1611.1,1627.0,,,1575.7,1606.0,1362.3,1664.0,1544.0,,1607.8,1621.4,1636.0,1650.0,1684.4,1594.0,1640.8,1627.2,1702.3,4.4,-4.6,74.6,-26.2,-51.0,-22.0,-11.0,-96.0,-39.6,-36.0,11.3,85.0,-21.3,-43.6,-11.2,,26.0,37.3,-24.2,0.3,-65.0,-60.6,47.5,22.0,-32.8,5.9,-21.9,-6.0,,,-57.3,-27.0,-270.7,31.0,-89.0,,-25.2,-11.6,3.0,17.0,51.4,-39.0,7.8,-5.8,69.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,True,False,False,False,False,False,False
Tennessee,8355,7977.7,7966.1,8079.4,8033.2,7959.0,8024.2,8033.0,7650.0,8054.2,7536.0,8225.6,8736.0,7843.1,8036.8,8131.7,,8171.0,7953.3,7918.4,8059.2,7845.0,7829.1,7742.4,7957.0,8069.4,8029.1,8141.3,8120.0,,7788.4,7665.4,8161.0,8557.1,7624.0,8077.5,,7922.6,8071.9,8051.3,7989.0,7957.6,7772.0,8113.8,7348.1,8210.8,-377.3,-388.9,-275.6,-321.8,-396.0,-330.8,-322.0,-705.0,-300.8,-819.0,-129.4,381.0,-511.9,-318.2,-223.3,,-184.0,-401.7,-436.6,-295.8,-510.0,-525.9,-612.6,-398.0,-285.6,-325.9,-213.7,-235.0,,-566.6,-689.6,-194.0,202.1,-731.0,-277.5,,-432.4,-283.1,-303.7,-366.0,-397.4,-583.0,-241.2,-1006.9,-144.2,False,True,True,False,True,True,False,True,False,True,False,False,True,True,,True,False,False,True,False,False,False,False,True,True,True,True,,False,False,True,True,False,True,,False,True,True,True,False,False,True,False,True
