,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Massachusetts,13583,13232.9,13117.2,13444.2,13101.0,13180.0,13068.5,13229.0,12865.0,13291.1,13317.0,13619.5,13356.0,13255.6,13079.4,13304.9,,13941.7,13564.0,13481.7,13036.8,13320.0,13691.2,14022.0,12958.0,13210.4,13190.0,13663.6,13542.1,13022.8,12797.0,,12741.0,13079.5,13197.0,15066.2,13184.0,12849.6,,13169.9,13564.9,13293.0,12991.9,13237.0,13521.9,-350.1,-465.8,-138.8,-482.0,-403.0,-514.5,-354.0,-718.0,-291.9,-266.0,36.5,-227.0,-327.4,-503.6,-278.1,,358.7,-19.0,-101.3,-546.2,-263.0,108.2,439.0,-625.0,-372.6,-393.0,80.6,-40.9,-560.2,-786.0,,-842.0,-503.5,-386.0,1483.2,-399.0,-733.4,,-413.1,-18.1,-290.0,-591.1,-346.0,-61.1,False,True,False,False,False,False,False,True,True,True,True,True,False,True,,False,True,True,False,True,True,False,False,False,False,True,True,False,False,,False,False,False,False,False,False,,False,True,True,False,True,True
Michigan,14669,14450.0,14830.1,14235.5,14542.0,14830.0,14537.4,14397.0,13916.0,14245.8,13830.0,14577.7,14138.0,15394.5,14523.5,14458.7,,15355.5,15242.0,15131.5,12890.0,14621.0,14141.7,14399.6,14397.0,13749.1,14276.0,14620.1,14432.7,14264.0,14621.0,,13985.8,13873.8,13623.0,13137.2,13417.0,14229.8,,14367.9,14753.3,13984.0,14730.2,14226.0,14494.4,-219.0,161.1,-433.5,-127.0,161.0,-131.6,-272.0,-753.0,-423.2,-839.0,-91.3,-531.0,725.5,-145.5,-210.3,,686.5,573.0,462.5,-1779.0,-48.0,-527.3,-269.4,-272.0,-919.9,-393.0,-48.9,-236.3,-405.0,-48.0,,-683.2,-795.2,-1046.0,-1531.8,-1252.0,-439.2,,-301.1,84.3,-685.0,61.2,-443.0,-174.6,True,False,True,True,True,False,False,False,False,True,False,False,True,True,,False,False,False,False,True,False,False,False,False,False,True,False,False,True,,False,False,False,False,False,False,,False,True,False,True,False,True
Minnesota,5955,6054.6,6219.2,6127.4,6168.6,6199.0,6147.3,6032.0,5910.0,5944.5,5719.0,5979.2,6151.0,6407.8,6018.9,5860.3,,6484.5,6431.0,6071.6,5177.4,6288.0,5982.3,5822.9,6020.0,5782.5,6036.0,6116.8,6233.3,5979.0,6118.0,,6353.7,5911.2,5673.0,4964.5,5661.0,5812.9,,6037.6,6026.3,5747.0,6320.9,5747.0,6070.9,99.6,264.2,172.4,213.6,244.0,192.3,77.0,-45.0,-10.5,-236.0,24.2,196.0,452.8,63.9,-94.7,,529.5,476.0,116.6,-777.6,333.0,27.3,-132.1,65.0,-172.5,81.0,161.8,278.3,24.0,163.0,,398.7,-43.8,-282.0,-990.5,-294.0,-142.1,,82.6,71.3,-208.0,365.9,-208.0,115.9,False,False,False,False,False,True,True,True,False,True,False,False,True,True,,False,False,False,False,False,True,False,True,False,True,False,False,True,False,,False,True,False,False,False,False,,True,True,False,False,False,False
Mississippi,5481,5168.9,5110.9,5260.3,5111.7,5160.0,5089.8,5204.0,5202.0,5279.8,5353.0,5471.0,5311.0,5157.8,5088.6,5265.6,,5712.9,5471.0,5404.8,5213.5,5283.0,5125.3,5407.7,5980.0,5053.1,5166.0,5268.1,5339.4,5307.8,5117.0,,5043.5,4958.5,5204.0,5363.1,4957.0,5067.0,,5210.0,5150.2,5168.0,4984.2,5023.0,5321.1,-312.1,-370.1,-220.7,-369.3,-321.0,-391.2,-277.0,-279.0,-201.2,-128.0,-10.0,-170.0,-323.2,-392.4,-215.4,,231.9,-10.0,-76.2,-267.5,-198.0,-355.7,-73.3,499.0,-427.9,-315.0,-212.9,-141.6,-173.2,-364.0,,-437.5,-522.5,-277.0,-117.9,-524.0,-414.0,,-271.0,-330.8,-313.0,-496.8,-458.0,-159.9,False,True,False,False,False,True,True,True,True,True,True,False,False,True,,True,True,True,True,True,False,True,False,False,False,True,True,True,False,,False,False,True,True,False,False,,True,False,False,False,False,True
Missouri,6493,6599.6,5962.8,7271.6,6752.6,6780.0,6736.4,6581.0,6450.0,6338.3,6739.0,6493.3,6558.0,6629.5,6478.3,6833.3,,6820.7,7098.0,6699.0,5481.3,6678.0,6269.8,6580.3,7827.0,6280.0,6439.0,6750.4,6593.3,6796.0,6581.0,,6246.0,6369.1,6353.0,6267.1,6037.0,5892.5,,6273.1,6746.3,6223.0,6626.0,6560.0,5180.7,106.6,-530.2,778.6,259.6,287.0,243.4,88.0,-43.0,-154.7,246.0,0.3,65.0,136.5,-14.7,340.3,,327.7,605.0,206.0,-1011.7,185.0,-223.2,87.3,1334.0,-213.0,-54.0,257.4,100.3,303.0,88.0,,-247.0,-123.9,-140.0,-225.9,-456.0,-600.5,,-219.9,253.3,-270.0,133.0,67.0,-1312.3,False,False,False,False,False,True,True,False,False,True,True,False,True,False,,False,False,False,False,False,False,True,False,False,True,False,True,False,True,,False,False,False,False,False,False,,False,False,False,False,True,False
Montana,1088,1092.6,1089.1,1101.7,1073.5,1133.0,1084.0,1042.0,961.0,1052.2,1020.0,1007.4,988.0,999.8,1112.7,1011.6,,1094.1,1169.0,1010.2,1005.2,1109.0,1162.9,1038.6,1063.0,1014.6,1051.0,1068.2,1098.7,1022.6,1067.0,,,1016.7,1032.0,1030.0,1003.0,1177.1,,1002.2,949.1,1038.0,1087.3,1047.0,1081.9,4.6,1.1,13.7,-14.5,45.0,-4.0,-46.0,-127.0,-35.8,-68.0,-80.6,-100.0,-88.2,24.7,-76.4,,6.1,81.0,-77.8,-82.8,21.0,74.9,-49.4,-25.0,-73.4,-37.0,-19.8,10.7,-65.4,-21.0,,,-71.3,-56.0,-58.0,-85.0,89.1,,-85.8,-138.9,-50.0,-0.7,-41.0,-6.1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,False,True,False,False
Nebraska,1837,1767.6,1926.9,1676.8,1824.4,1881.0,1811.0,1816.0,1837.0,1788.9,1801.0,1988.4,1930.0,2010.6,1787.6,1825.3,,2224.5,2041.0,1859.4,1678.2,1859.0,1955.5,1806.4,1823.0,1708.6,1886.0,1826.7,1861.1,1736.7,1777.0,,,1609.0,1776.0,1659.2,1674.0,1719.3,,1888.9,1707.1,1741.0,1920.4,1699.0,1857.1,-69.4,89.9,-160.2,-12.6,44.0,-26.0,-21.0,0.0,-48.1,-36.0,151.4,93.0,173.6,-49.4,-11.7,,387.5,204.0,22.4,-158.8,22.0,118.5,-30.6,-14.0,-128.4,49.0,-10.3,24.1,-100.3,-60.0,,,-228.0,-61.0,-177.8,-163.0,-117.7,,51.9,-129.9,-96.0,83.4,-138.0,20.1,False,False,True,True,True,True,True,True,True,False,False,False,True,True,,False,False,True,False,True,False,True,True,False,True,True,True,False,True,,,False,True,False,False,False,,True,False,False,False,False,True
Nevada,3761,3438.6,3250.7,3620.7,3528.0,3510.0,3521.1,3548.0,3405.0,3558.9,3537.0,3709.9,3426.0,3457.3,3532.5,3654.9,,3966.4,3754.0,3836.8,3125.8,3731.0,3492.2,3571.6,3835.5,3381.0,3522.0,3615.0,3685.0,3695.7,3599.0,,3467.4,3392.2,3507.0,3874.8,3355.0,3418.0,,3691.6,3491.7,3452.0,3422.6,3628.0,3459.1,-322.4,-510.3,-140.3,-233.0,-251.0,-239.9,-213.0,-356.0,-202.1,-224.0,-51.1,-335.0,-303.7,-228.5,-106.1,,205.4,-7.0,75.8,-635.2,-30.0,-268.8,-189.4,74.5,-380.0,-239.0,-146.0,-76.0,-65.3,-162.0,,-293.6,-368.8,-254.0,113.8,-406.0,-343.0,,-69.4,-269.3,-309.0,-338.4,-133.0,-301.9,False,True,True,True,True,True,False,True,True,True,False,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,True,,True,False,True,True,False,False,,True,True,True,False,True,True
New Hampshire,927,856.6,986.8,943.1,850.2,851.0,854.0,862.0,760.0,884.2,872.0,949.9,835.0,863.3,855.9,867.3,,907.7,938.0,942.2,808.7,895.0,1053.3,859.7,858.0,814.4,891.0,869.3,919.1,870.3,893.0,,,876.7,819.0,1210.4,828.0,818.0,,898.5,753.9,857.0,828.3,872.0,896.8,-70.4,59.8,16.1,-76.8,-76.0,-73.0,-65.0,-167.0,-42.8,-55.0,22.9,-92.0,-63.7,-71.1,-59.7,,-19.3,11.0,15.2,-118.3,-32.0,126.3,-67.3,-69.0,-112.6,-36.0,-57.7,-7.9,-56.7,-34.0,,,-50.3,-108.0,283.4,-99.0,-109.0,,-28.5,-173.1,-70.0,-98.7,-55.0,-30.2,True,True,False,False,False,True,False,True,True,True,False,True,False,True,,True,True,True,False,True,False,True,True,False,True,True,True,True,True,,,True,False,False,False,False,,True,False,True,False,True,True
New Jersey,20414,19875.7,19878.4,20153.3,19954.9,19964.0,19933.5,19964.0,19749.0,19920.0,19768.0,20068.6,19392.0,20641.6,20163.0,20063.9,,20784.0,20235.0,20314.0,19182.1,19941.0,20301.8,20068.3,20357.0,19685.3,20027.0,20204.4,20056.2,20102.4,19748.0,,19381.4,19773.2,19957.0,20096.4,19455.0,19929.0,,19854.5,20144.4,19466.0,19371.9,19950.0,19944.6,-538.3,-535.6,-260.7,-459.1,-450.0,-480.5,-450.0,-665.0,-494.0,-646.0,-345.4,-1022.0,227.6,-251.0,-350.1,,370.0,-179.0,-100.0,-1231.9,-473.0,-112.2,-345.7,-57.0,-728.7,-387.0,-209.6,-357.8,-311.6,-666.0,,-1032.6,-640.8,-457.0,-317.6,-959.0,-485.0,,-559.5,-269.6,-948.0,-1042.1,-464.0,-469.4,True,True,True,True,True,True,False,True,False,True,False,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,False,,False,False,True,True,False,True,,False,True,False,False,True,True
New Mexico,2910,2846.0,2661.5,2874.7,2831.0,2771.0,2799.1,2785.0,2802.0,2770.1,2701.0,2765.6,2715.0,2881.0,2729.5,2901.0,,3161.0,2974.0,2861.5,2458.3,2826.0,2704.8,2781.8,2744.0,2725.2,2752.0,2854.4,2908.2,2746.5,3000.0,,,2774.5,2737.0,2879.9,2727.0,2569.8,,2807.4,2732.4,2782.0,2803.1,2757.0,2858.2,-64.0,-248.5,-35.3,-79.0,-139.0,-110.9,-125.0,-108.0,-139.9,-209.0,-144.4,-195.0,-29.0,-180.5,-9.0,,251.0,64.0,-48.5,-451.7,-84.0,-205.2,-128.2,-166.0,-184.8,-158.0,-55.6,-1.8,-163.5,90.0,,,-135.5,-173.0,-30.1,-183.0,-340.2,,-102.6,-177.6,-128.0,-106.9,-153.0,-51.8,False,True,False,False,False,False,False,False,False,False,False,True,False,True,,False,False,True,False,False,False,False,False,False,False,True,True,False,False,,,False,False,True,False,False,,False,False,False,False,False,True
New York,40806,40211.0,39244.8,42171.3,40207.2,40104.0,40192.3,40356.0,39353.0,40412.7,39680.0,40172.4,39648.0,39638.6,40101.4,40566.3,,40906.0,40394.0,40796.1,39187.6,40586.0,41638.0,40530.9,41411.0,40230.9,40273.0,40361.0,40533.8,40501.3,38890.0,,38612.5,40590.1,40778.0,40630.4,39786.0,40651.0,,40114.0,40356.0,39826.0,41178.4,40427.0,40037.4,-595.0,-1561.2,1365.3,-598.8,-702.0,-613.7,-450.0,-1453.0,-393.3,-1126.0,-633.6,-1158.0,-1167.4,-704.6,-239.7,,100.0,-412.0,-9.9,-1618.4,-220.0,832.0,-275.1,605.0,-575.1,-533.0,-445.0,-272.2,-304.7,-1916.0,,-2193.5,-215.9,-28.0,-175.6,-1020.0,-155.0,,-692.0,-450.0,-980.0,372.4,-379.0,-768.6,False,False,False,False,False,True,False,True,False,False,False,False,False,True,,True,True,True,False,True,False,True,False,True,True,True,True,True,False,,False,True,True,True,False,True,,False,True,False,True,True,False
North Carolina,8016,7477.6,7501.1,7908.1,7534.1,7486.0,7551.8,7623.0,7130.0,7826.4,7631.0,7680.3,7883.0,7337.8,7812.8,7941.3,,7749.1,7930.0,7752.7,7554.6,7900.0,8529.0,8010.6,7894.0,7442.7,7801.0,7643.7,7835.8,7800.6,7544.0,,7234.4,7408.2,7808.0,8248.6,7363.0,7389.9,,7612.6,7619.0,7812.0,7495.3,7364.0,7811.9,-538.4,-514.9,-107.9,-481.9,-530.0,-464.2,-393.0,-886.0,-189.6,-385.0,-335.7,-133.0,-678.2,-203.2,-74.7,,-266.9,-86.0,-263.3,-461.4,-116.0,513.0,-5.4,-122.0,-573.3,-215.0,-372.3,-180.2,-215.4,-472.0,,-781.6,-607.8,-208.0,232.6,-653.0,-626.1,,-403.4,-397.0,-204.0,-520.7,-652.0,-204.1,True,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,False,False,True,True,False,False,,True,True,True,True,False,True
North Dakota,1403,1366.0,1389.2,1308.8,1344.1,1434.0,1363.0,1378.0,1295.0,1362.0,1378.0,1426.3,1354.0,1389.6,1382.8,1348.8,,1694.6,1555.0,1399.0,1265.8,1438.0,1428.0,1388.4,1327.0,1323.1,1380.0,1415.2,1445.2,1361.4,1444.0,,,1303.3,1345.0,1213.9,1326.0,1326.2,,1383.8,1298.4,1353.0,1502.2,1339.0,1449.1,-37.0,-13.8,-94.2,-58.9,31.0,-40.0,-25.0,-108.0,-41.0,-25.0,23.3,-49.0,-13.4,-20.2,-54.2,,291.6,152.0,-4.0,-137.2,35.0,25.0,-14.6,-76.0,-79.9,-23.0,12.2,42.2,-41.6,41.0,,,-99.7,-58.0,-189.1,-77.0,-76.8,,-19.2,-104.6,-50.0,99.2,-64.0,46.1,True,False,False,True,False,True,False,False,True,True,False,True,True,False,,False,False,True,False,True,True,True,False,False,True,True,False,False,False,,,False,False,False,False,False,,True,False,False,False,False,False
Ohio,10135,9829.0,9400.4,10028.4,9796.4,10128.0,9811.4,9918.0,9393.0,10078.1,9816.0,10476.6,10430.0,10785.4,9681.2,9884.4,,10609.6,10687.0,10453.5,9265.0,10156.0,11171.5,10019.1,10116.5,9717.7,10279.0,10113.3,10419.7,9564.9,10502.0,,9664.1,9619.1,9544.0,11852.2,9332.0,9704.7,,10284.8,10045.7,9885.0,9921.6,9799.0,9895.6,-306.0,-734.6,-106.6,-338.6,-7.0,-323.6,-217.0,-742.0,-56.9,-319.0,341.6,295.0,650.4,-453.8,-250.6,,474.6,552.0,318.5,-870.0,21.0,1036.5,-115.9,-18.5,-417.3,144.0,-21.7,284.7,-570.1,367.0,,-470.9,-515.9,-591.0,1717.2,-803.0,-430.3,,149.8,-89.3,-250.0,-213.4,-336.0,-239.4,False,True,False,True,False,True,False,True,False,False,True,False,False,True,,False,False,False,False,True,False,True,True,False,True,True,True,False,False,,False,False,False,False,False,False,,True,True,True,True,False,True
Oklahoma,2952,2821.4,2793.4,2958.8,2870.3,2864.0,2861.0,2884.0,2621.0,3002.4,2906.0,2798.5,2954.0,2626.4,2823.5,2838.9,,3024.6,3065.0,2949.2,2950.0,3050.0,3191.1,2854.2,2865.0,2793.6,2958.0,2831.2,2947.7,2896.9,2939.0,,,2773.8,2791.0,2735.5,2658.0,2913.4,,2964.9,2715.6,2804.0,2837.4,2913.0,2825.0,-130.6,-158.6,6.8,-81.7,-88.0,-91.0,-68.0,-331.0,50.4,-46.0,-153.5,2.0,-325.6,-128.5,-113.1,,72.6,113.0,-2.8,-2.0,98.0,239.1,-97.8,-87.0,-158.4,6.0,-120.8,-4.3,-55.1,-13.0,,,-178.2,-161.0,-216.5,-294.0,-38.6,,12.9,-236.4,-148.0,-114.6,-39.0,-127.0,False,True,True,True,True,True,False,True,True,False,True,False,True,True,,True,True,True,True,True,False,True,True,False,True,True,True,True,True,,,False,False,False,False,True,,True,False,False,True,True,True
Oregon,1799,1672.7,1473.9,1772.9,1636.7,1740.0,1668.0,1768.0,1748.0,1818.4,1658.0,1960.7,1826.0,1690.4,1712.6,1907.4,,2050.4,2065.0,1826.8,1612.9,1822.0,2039.0,1787.0,1764.0,1665.6,1824.0,1706.8,1824.8,1975.1,1954.0,,,1601.7,1784.0,1950.0,1673.0,1691.2,,1927.5,1586.1,1698.0,1787.3,1709.0,1737.9,-126.3,-325.1,-26.1,-162.3,-59.0,-131.0,-31.0,-51.0,19.4,-141.0,161.7,27.0,-108.6,-86.4,108.4,,251.4,266.0,27.8,-186.1,23.0,240.0,-12.0,-35.0,-133.4,25.0,-92.2,25.8,176.1,155.0,,,-197.3,-15.0,151.0,-126.0,-107.8,,128.5,-212.9,-101.0,-11.7,-90.0,-61.1,False,True,False,True,False,True,True,True,False,False,True,True,True,True,,False,False,True,False,True,False,True,True,False,True,True,True,False,False,,,False,True,False,True,True,,False,False,True,True,True,True
Pennsylvania,19143,18211.9,18748.8,19141.6,18232.3,18528.0,18170.2,18586.0,18444.0,18457.4,17858.0,20322.9,20344.0,19314.5,18576.3,18509.9,,20662.1,19805.0,20434.6,16748.7,18569.0,18655.2,19085.4,19078.5,17747.9,18705.0,19227.1,18798.7,19505.9,17606.0,,17777.9,17614.7,18057.0,19233.8,17025.0,17073.4,,18222.5,19346.5,17840.0,18795.7,18318.0,18141.6,-931.1,-394.2,-1.4,-910.7,-615.0,-972.8,-557.0,-699.0,-685.6,-1285.0,1179.9,1201.0,171.5,-566.7,-633.1,,1519.1,662.0,1291.6,-2394.3,-574.0,-487.8,-57.6,-64.5,-1395.1,-438.0,84.1,-344.3,362.9,-1537.0,,-1365.1,-1528.3,-1086.0,90.8,-2118.0,-2069.6,,-920.5,203.5,-1303.0,-347.3,-825.0,-1001.4,True,True,True,True,False,True,True,True,False,False,False,True,True,True,,False,True,False,False,True,True,True,True,False,True,True,True,True,False,,False,False,False,True,False,False,,True,True,False,True,True,False
Rhode Island,2005,1929.7,1996.0,1955.7,1903.6,1877.0,1941.0,1945.0,1863.0,1815.5,1859.0,2076.8,1921.0,3151.1,1980.1,2084.0,,2198.9,2104.0,2035.8,1780.2,2005.0,1884.8,1932.0,2036.0,1852.3,2015.0,2030.7,2018.2,2059.1,1914.0,,,1939.2,1800.0,2024.4,1739.0,1784.1,,2048.6,1910.1,1907.0,1974.7,1917.0,1946.7,-75.3,-9.0,-49.3,-101.4,-128.0,-64.0,-60.0,-142.0,-189.5,-146.0,71.8,-84.0,1146.1,-24.9,79.0,,193.9,99.0,30.8,-224.8,0.0,-120.2,-73.0,31.0,-152.7,10.0,25.7,13.2,54.1,-91.0,,,-65.8,-205.0,19.4,-266.0,-220.9,,43.6,-94.9,-98.0,-30.3,-88.0,-58.3,True,True,False,False,True,True,False,False,False,True,False,False,True,False,,False,False,True,False,True,False,True,True,False,True,True,True,True,False,,,True,False,True,False,False,,True,False,False,True,False,True
South Carolina,6108,5783.6,6058.2,6012.2,5801.1,5740.0,5810.9,5915.0,5721.0,5975.4,5991.0,5965.5,5805.0,5562.5,5726.8,5950.6,,5968.7,5941.0,5914.9,5958.0,6018.0,6028.8,6108.7,5986.5,5820.1,5818.0,5884.7,5938.8,5971.0,5534.0,,5752.5,5747.6,6001.0,7058.8,5941.0,5778.3,,5720.2,5783.0,6044.0,5799.6,5909.0,6093.1,-324.4,-49.8,-95.8,-306.9,-368.0,-297.1,-193.0,-387.0,-132.6,-117.0,-142.5,-303.0,-545.5,-381.2,-157.4,,-139.3,-167.0,-193.1,-150.0,-90.0,-79.2,0.7,-121.5,-287.9,-290.0,-223.3,-169.2,-137.0,-574.0,,-355.5,-360.4,-107.0,950.8,-167.0,-329.7,,-387.8,-325.0,-64.0,-308.4,-199.0,-14.9,True,True,True,False,True,True,False,True,True,True,True,False,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,False,False,True,False,True,False,,False,False,True,True,True,True
South Dakota,1633,1688.9,1660.0,1633.5,1730.4,1757.0,1734.0,1668.0,1519.0,1621.0,1662.0,1730.1,1755.0,1708.0,1689.4,1622.4,,1729.5,1728.0,1786.3,1470.8,1733.0,1610.6,1664.4,1603.0,1549.2,1627.0,1717.1,1695.5,1635.1,1678.0,,,1608.1,1610.0,1564.9,1603.0,1647.4,,1646.4,1601.3,1680.0,1799.5,1659.0,1733.8,55.9,27.0,0.5,97.4,124.0,101.0,35.0,-114.0,-12.0,29.0,97.1,122.0,75.0,56.4,-10.6,,96.5,95.0,153.3,-162.2,100.0,-22.4,31.4,-30.0,-83.8,-6.0,84.1,62.5,2.1,45.0,,,-24.9,-23.0,-68.1,-30.0,14.4,,13.4,-31.7,47.0,166.5,26.0,100.8,True,True,False,False,False,True,False,True,True,False,False,False,False,True,,False,False,False,False,False,True,True,True,False,True,False,False,True,True,,,True,True,False,True,True,,True,True,True,False,True,False
Tennessee,8355,7772.0,8023.6,8552.7,7955.9,8018.0,7892.0,8119.0,7931.0,8181.3,9310.0,8852.4,8858.0,7600.3,8089.2,8619.1,,9852.7,8926.0,8652.6,9282.1,8376.0,8008.3,8127.9,11179.0,7841.1,8013.0,7951.8,8316.8,8605.0,8005.0,,7863.2,7345.4,8467.0,8236.7,7316.0,7852.8,,8119.1,7885.6,8028.0,7719.0,8869.0,8495.9,-583.0,-331.4,197.7,-399.1,-337.0,-463.0,-236.0,-424.0,-173.7,955.0,497.4,503.0,-754.7,-265.8,264.1,,1497.7,571.0,297.6,927.1,21.0,-346.7,-227.1,2824.0,-513.9,-342.0,-403.2,-38.2,250.0,-350.0,,-491.8,-1009.6,112.0,-118.3,-1039.0,-502.2,,-235.9,-469.4,-327.0,-636.0,514.0,140.9,True,True,True,True,True,True,True,True,False,True,True,False,True,True,,False,True,True,False,True,True,True,False,True,True,True,True,True,True,,True,False,True,True,False,True,,True,True,True,False,True,True
Texas,32428,30220.3,32576.7,32078.6,30634.5,30875.0,30522.1,31030.0,31690.0,30826.6,32762.0,30897.1,30205.0,30652.2,31264.1,31002.4,,32384.6,31833.0,31667.8,31010.0,31034.0,31752.2,31912.2,32915.5,30350.6,30390.0,31246.5,30917.7,31955.2,30764.5,,30528.3,29496.4,31030.0,31667.6,28788.0,29703.6,,30786.4,31260.2,30416.0,29162.2,31377.0,30414.4,-2043.7,312.7,-185.4,-1629.5,-1389.0,-1741.9,-1234.0,-574.0,-1437.4,498.0,-1366.9,-2059.0,-1611.8,-999.9,-1261.6,,120.6,-431.0,-596.2,-1254.0,-1230.0,-511.8,-351.8,651.5,-1913.4,-1874.0,-1017.5,-1346.3,-308.8,-1499.5,,-1735.7,-2767.6,-1234.0,-596.4,-3476.0,-2560.4,,-1477.6,-1003.8,-1848.0,-3101.8,-887.0,-1849.6,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,False,False,,True,True,True,False,True,True
Utah,1485,1382.6,1292.6,1608.4,1398.8,1454.0,1404.0,1450.0,1471.0,1499.5,1460.0,1577.8,1388.0,1381.0,1406.6,1470.3,,1705.6,1612.0,1496.6,1415.4,1540.0,1184.9,1455.4,1450.0,1433.0,1440.0,1530.4,1529.2,1537.2,1574.0,,,1342.3,1409.0,1291.1,1323.0,1374.0,,1605.3,1412.8,1394.0,1403.2,1449.0,1426.9,-102.4,-192.4,123.4,-86.2,-31.0,-81.0,-35.0,-14.0,14.5,-25.0,92.8,-97.0,-104.0,-78.4,-14.7,,220.6,127.0,11.6,-69.6,55.0,-300.1,-29.6,-35.0,-52.0,-45.0,45.4,44.2,52.2,89.0,,,-142.7,-76.0,-193.9,-162.0,-111.0,,120.3,-72.2,-91.0,-81.8,-36.0,-58.1,False,False,True,True,True,True,True,True,True,True,True,False,True,True,,False,False,True,True,True,False,True,True,True,True,True,True,True,True,,,False,True,False,False,False,,False,True,True,True,True,True
