,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,8016,7770.7,7445.4,8113.9,8326.0,7736.0,8028.0,7352.0,7977.0,8679.0,7571.4,7963.0,7732.5,7854.0,8249.0,,8082.3,7740.0,8303.4,7944.1,8309.0,9014.8,8124.8,8103.0,8120.0,8133.0,8197.7,8108.0,8156.4,7636.0,,7041.1,7565.6,8027.0,8248.6,7880.0,7840.5,,7715.4,8257.1,8140.0,7725.0,8473.0,8199.5,7501.5,6756.4,8210.5,-245.3,-570.6,97.9,310.0,-280.0,12.0,-664.0,-39.0,663.0,-444.6,-53.0,-283.5,-162.0,233.0,,66.3,-276.0,287.4,-71.9,293.0,998.8,108.8,87.0,104.0,117.0,181.7,92.0,140.4,-380.0,,-974.9,-450.4,11.0,232.6,-136.0,-175.5,,-300.6,241.1,124.0,-291.0,457.0,183.5,-514.5,-1259.6,194.5,False,True,False,False,True,False,True,False,False,True,False,True,True,,True,False,False,True,False,False,True,True,True,True,True,True,True,False,,False,False,True,True,True,True,,False,True,True,False,False,True,False,False,True
North Dakota,1403,1535.7,1489.0,1620.7,1804.0,1547.0,1472.0,1312.0,1441.9,1435.0,1385.9,1423.0,1418.7,1506.9,1496.4,,1666.3,1842.0,1460.1,1309.8,1643.0,1494.1,1423.2,1356.0,1447.1,1605.0,1516.5,1617.1,1377.6,1472.0,,,1497.0,1438.0,1213.9,1430.0,1330.9,,1603.8,1564.1,1405.0,1614.2,1389.0,1446.5,2012.9,1425.4,1526.0,132.7,86.0,217.7,401.0,144.0,69.0,-91.0,38.9,32.0,-17.1,20.0,15.7,103.9,93.4,,263.3,439.0,57.1,-93.2,240.0,91.1,20.2,-47.0,44.1,202.0,113.5,214.1,-25.4,69.0,,,94.0,35.0,-189.1,27.0,-72.1,,200.8,161.1,2.0,211.2,-14.0,43.5,609.9,22.4,123.0,True,False,False,False,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,True,True,True,True,False,True,False,True,True,,,True,True,False,True,True,,False,False,True,False,True,True,False,True,True
Ohio,15615,10187.7,9839.9,9999.8,11117.0,10246.0,10502.0,10676.0,10672.0,10532.0,10926.3,10330.0,10840.4,9935.2,10484.8,,10607.5,11344.0,11308.9,9596.1,10653.0,12416.0,10307.7,9932.0,10458.6,11533.0,11079.7,11172.8,10135.8,11477.5,,10048.1,9570.6,10561.0,11852.2,9322.0,10308.6,,11657.9,11082.7,10266.0,10521.2,10373.0,10513.5,10476.0,8677.2,10367.3,-1861.3,-2209.1,-2049.2,-932.0,-1803.0,-1547.0,-1373.0,-1377.0,-1517.0,-1122.7,-1719.0,-1208.6,-2113.8,-1564.2,,-1441.5,-705.0,-740.1,-2452.9,-1396.0,367.0,-1741.3,-2117.0,-1590.4,-516.0,-969.3,-876.2,-1913.2,-571.5,,-2000.9,-2478.4,-1488.0,-196.8,-2727.0,-1740.4,,-391.1,-966.3,-1783.0,-1527.8,-1676.0,-1535.5,-1573.0,-3371.8,-1681.7,False,False,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,False,True,True,True,False,True,True,True,True,False,True,,False,False,True,True,False,True,,True,True,True,True,True,True,True,False,True
Oklahoma,2952,2782.9,2737.2,2840.9,2916.0,2777.2,2884.0,3065.0,3076.5,2737.0,2720.1,2836.0,2755.0,2765.2,2903.8,,2977.7,3099.0,2940.7,2654.0,3344.0,3483.1,2883.8,2819.0,3070.7,3262.0,2710.2,3035.7,2896.1,3031.0,,,2761.8,2864.0,2719.5,2962.0,2793.1,,3073.4,2759.4,2916.0,2868.3,2899.0,2714.5,2933.2,2445.6,2969.9,-169.1,-214.8,-111.1,-36.0,-174.8,-68.0,113.0,124.5,-215.0,-231.9,-116.0,-197.0,-186.8,-48.2,,25.7,147.0,-11.3,-298.0,392.0,531.1,-68.2,-133.0,118.7,310.0,-241.8,83.7,-55.9,79.0,,,-190.2,-88.0,-232.5,10.0,-158.9,,121.4,-192.6,-36.0,-83.7,-53.0,-237.5,-18.8,-506.4,17.9,False,True,True,False,True,True,True,False,False,True,False,False,True,,True,True,True,False,False,False,True,True,True,False,False,True,True,True,,,False,True,False,True,True,,True,False,True,True,True,False,True,False,True
Oregon,1799,2058.4,1621.3,2125.1,2051.0,2100.0,2041.0,2163.0,1997.9,1708.0,1969.3,1900.0,1800.9,2121.5,2038.4,,2117.4,2044.0,2187.1,1684.5,2004.0,2402.0,1996.2,1854.0,1999.3,2236.0,1958.6,2055.3,2098.7,2218.0,,,1950.5,1961.0,1948.9,1802.0,2072.6,,1993.0,2004.2,1830.0,2517.6,1994.0,2060.5,2103.9,1523.6,1925.1,259.4,-177.7,326.1,252.0,301.0,242.0,364.0,198.9,-91.0,170.3,101.0,1.9,322.5,239.4,,318.4,245.0,388.1,-114.5,205.0,603.0,197.2,55.0,200.3,437.0,159.6,256.3,299.7,419.0,,,151.5,162.0,149.9,3.0,273.6,,194.0,205.2,31.0,718.6,195.0,261.5,304.9,-275.4,126.1,True,False,True,False,True,False,True,True,True,True,True,False,True,,False,True,False,True,True,False,True,True,True,False,True,True,False,False,,,True,True,True,True,False,,True,True,True,False,True,False,False,False,True
Pennsylvania,19143,19018.0,20487.5,20414.5,19181.0,19285.4,19886.0,18018.0,19561.6,20619.0,20056.9,19275.0,19919.8,20385.5,19886.2,,20988.5,19982.0,21865.0,19811.8,18880.0,19702.1,19021.0,19918.0,19253.1,19680.0,20892.9,20960.5,20078.6,18657.0,,17796.6,19521.4,21043.0,18919.8,17080.0,18177.7,,18997.7,21027.8,18358.0,23263.4,20539.0,21597.0,23554.6,14606.4,19415.8,-125.0,1344.5,1271.5,38.0,142.4,743.0,-1125.0,418.6,1476.0,913.9,132.0,776.8,1242.5,743.2,,1845.5,839.0,2722.0,668.8,-263.0,559.1,-122.0,775.0,110.1,537.0,1749.9,1817.5,935.6,-486.0,,-1346.4,378.4,1900.0,-223.2,-2063.0,-965.3,,-145.3,1884.8,-785.0,4120.4,1396.0,2454.0,4411.6,-4536.6,272.8,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Rhode Island,2161,2072.4,1972.6,2132.1,2052.0,2088.6,2090.0,1941.0,1807.7,2141.0,2040.4,2025.0,2527.3,1947.5,2302.8,,2183.6,2077.0,2151.2,1999.7,2122.0,1993.7,2046.8,2098.0,1958.2,2036.0,2177.8,2213.1,2145.4,2073.0,,,2432.4,1886.0,2024.4,1696.0,1986.6,,2113.6,2223.7,2090.0,2176.1,1999.0,2007.0,2380.8,1597.8,2046.9,54.4,-45.4,114.1,34.0,70.6,72.0,-77.0,-210.3,123.0,22.4,7.0,509.3,-70.5,284.8,,165.6,59.0,133.2,-18.3,104.0,-24.3,28.8,80.0,-59.8,18.0,159.8,195.1,127.4,55.0,,,414.4,-132.0,6.4,-322.0,-31.4,,95.6,205.7,72.0,158.1,-19.0,-11.0,362.8,-420.2,28.9,True,False,True,False,False,False,False,False,True,True,False,False,False,,False,False,False,True,False,True,True,False,False,True,False,False,False,False,,,False,False,True,False,True,,False,False,False,False,True,True,False,False,True
South Carolina,6108,5691.0,6165.8,5866.9,6015.0,5734.5,6037.0,6165.0,5982.4,7075.0,5754.4,5539.0,5727.6,5970.5,6069.3,,6103.2,5654.0,6144.3,6199.5,6101.0,6202.5,6364.8,5824.0,5980.6,5873.0,6019.4,6069.9,6123.8,5698.0,,5752.9,5742.6,6101.0,7058.8,5865.0,5743.1,,5623.8,6063.0,6116.0,5576.0,6113.0,6288.5,5780.4,5223.9,6104.5,-417.0,57.8,-241.1,-93.0,-373.5,-71.0,57.0,-125.6,967.0,-353.6,-569.0,-380.4,-137.5,-38.7,,-4.8,-454.0,36.3,91.5,-7.0,94.5,256.8,-284.0,-127.4,-235.0,-88.6,-38.1,15.8,-410.0,,-355.1,-365.4,-7.0,950.8,-243.0,-364.9,,-484.2,-45.0,8.0,-532.0,5.0,180.5,-327.6,-884.1,-3.5,True,True,True,True,True,True,True,False,True,False,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,True,,False,True,True,False,True,True,True,False,True
South Dakota,1633,1754.4,1689.6,1647.3,1974.0,1778.0,1713.0,1490.0,1648.8,1716.0,1775.4,1758.0,1786.9,1722.3,1669.5,,1864.1,1996.0,1911.8,1544.7,1813.0,1610.2,1673.1,1593.0,1643.4,1800.0,1680.8,1842.7,1683.4,1666.0,,,1716.8,1698.0,1414.4,1643.0,1624.9,,1855.0,1713.1,1738.0,1842.2,1683.0,1848.0,1857.6,1632.9,1841.0,121.4,56.6,14.3,341.0,145.0,80.0,-143.0,15.8,83.0,142.4,125.0,153.9,89.3,36.5,,231.1,363.0,278.8,-88.3,180.0,-22.8,40.1,-40.0,10.4,167.0,47.8,209.7,50.4,33.0,,,83.8,65.0,-218.6,10.0,-8.1,,222.0,80.1,105.0,209.2,50.0,215.0,224.6,-0.1,208.0,True,True,False,False,True,False,True,True,False,False,False,True,True,,False,False,False,True,False,True,True,True,True,False,True,False,True,True,,,True,True,False,True,True,,False,True,True,False,True,False,False,True,False
Tennessee,8355,8420.0,8078.3,9406.1,9476.0,8201.0,8745.0,8576.0,8644.2,14508.0,8120.2,8735.0,7602.6,8568.0,8754.5,,8674.1,8596.0,9030.3,13482.0,8810.0,8185.2,8976.7,13131.0,9255.3,7894.0,8314.7,8987.0,9378.8,8512.0,,7762.1,8859.3,9174.0,8189.8,10428.0,8295.6,,7779.1,8380.0,9317.0,8635.1,9749.0,8945.5,10101.7,6628.8,9790.9,65.0,-276.7,1051.1,1121.0,-154.0,390.0,221.0,289.2,6153.0,-234.8,380.0,-752.4,213.0,399.5,,319.1,241.0,675.3,5127.0,455.0,-169.8,621.7,4776.0,900.3,-461.0,-40.3,632.0,1023.8,157.0,,-592.9,504.3,819.0,-165.2,2073.0,-59.4,,-575.9,25.0,962.0,280.1,1394.0,590.5,1746.7,-1726.2,1435.9,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,True,,False,True,False,False,False,False,False,False,False
Texas,32428,31331.1,34075.4,31974.8,32421.0,31339.4,31642.0,36501.0,32043.3,32431.0,30448.6,30020.0,30223.0,31946.7,31436.0,,32345.1,30970.0,32763.8,30709.6,30958.0,33099.3,32367.8,31782.5,32175.8,30990.0,32095.1,32025.0,32874.3,30240.0,,30500.2,32004.0,31878.0,31663.5,30154.0,30682.5,,30996.4,32238.5,31434.0,31512.5,32264.0,31196.5,32831.3,27789.7,30741.8,-889.9,1854.4,-246.2,200.0,-881.6,-579.0,4280.0,-177.7,210.0,-1772.4,-2201.0,-1998.0,-274.3,-785.0,,124.1,-1251.0,542.8,-1511.4,-1263.0,878.3,146.8,-438.5,-45.2,-1231.0,-125.9,-196.0,653.3,-1981.0,,-1720.8,-217.0,-343.0,-557.5,-2067.0,-1538.5,,-1224.6,17.5,-787.0,-708.5,43.0,-1024.5,610.3,-4431.3,-1479.2,False,True,True,True,True,False,True,True,False,False,False,True,True,,True,False,True,False,False,True,True,True,True,False,True,True,True,False,,False,True,True,True,False,False,,False,True,True,True,True,False,True,False,False
Utah,1485,1540.7,1368.1,1619.1,1662.0,1588.0,1550.0,1433.0,1646.2,1468.0,1652.6,1394.0,1495.3,1499.5,1546.7,,1719.9,1678.0,1587.8,1364.0,2024.0,1375.2,1488.8,1484.5,1654.1,1702.0,1523.0,1672.3,1571.0,1671.0,,,1564.0,1484.0,1290.2,1444.0,1532.0,,1800.3,1574.2,1458.0,1582.6,1553.0,1484.5,1712.8,938.0,1541.9,55.7,-116.9,134.1,177.0,103.0,65.0,-52.0,161.2,-17.0,167.6,-91.0,10.3,14.5,61.7,,234.9,193.0,102.8,-121.0,539.0,-109.8,3.8,-0.5,169.1,217.0,38.0,187.3,86.0,186.0,,,79.0,-1.0,-194.8,-41.0,47.0,,315.3,89.2,-27.0,97.6,68.0,-0.5,227.8,-547.0,56.9,False,False,False,False,False,True,False,True,False,False,True,True,False,,False,False,False,False,False,False,True,True,False,False,True,False,False,False,,,False,True,False,True,True,,False,False,True,False,False,True,False,False,False
Vermont,163,172.7,165.9,169.7,174.0,160.0,172.0,137.0,157.7,156.0,181.2,140.0,174.0,170.1,196.9,,175.2,198.0,195.7,170.6,191.0,272.8,245.2,179.0,157.2,228.0,165.9,191.8,172.1,124.0,,,149.6,175.0,134.0,171.0,141.8,,186.5,218.5,154.0,160.4,170.0,259.0,292.8,113.4,196.0,9.7,2.9,6.7,11.0,-3.0,9.0,-26.0,-5.3,-7.0,18.2,-23.0,11.0,7.1,33.9,,12.2,35.0,32.7,7.6,28.0,109.8,82.2,16.0,-5.8,65.0,2.9,28.8,9.1,-39.0,,,-13.4,12.0,-29.0,8.0,-21.2,,23.5,55.5,-9.0,-2.6,7.0,96.0,129.8,-49.6,33.0,True,True,False,True,True,False,True,True,False,False,False,True,False,,False,False,False,True,False,False,False,False,True,False,True,False,True,False,,,False,False,False,True,False,,False,False,True,True,True,False,False,False,False
Virginia,5706,5571.9,5971.2,6050.5,5922.0,5578.9,5751.0,5827.0,5671.8,6015.0,5568.0,5533.0,5675.6,5723.1,5863.2,,5823.5,5673.5,5981.5,5750.9,6111.0,6887.0,6000.6,5994.0,5818.9,5899.0,5756.3,5822.4,5849.4,5133.0,,5210.7,5368.8,5750.0,5841.6,5392.0,5425.1,,5594.8,5790.3,5668.0,5585.6,5906.0,5910.0,5549.5,4960.7,5729.4,-134.1,265.2,344.5,216.0,-127.1,45.0,121.0,-34.2,309.0,-138.0,-173.0,-30.4,17.1,157.2,,117.5,-32.5,275.5,44.9,405.0,1181.0,294.6,288.0,112.9,193.0,50.3,116.4,143.4,-573.0,,-495.3,-337.2,44.0,135.6,-314.0,-280.9,,-111.2,84.3,-38.0,-120.4,200.0,204.0,-156.5,-745.3,23.4,False,False,False,True,True,True,True,False,False,False,True,True,False,,True,True,False,True,False,False,False,False,True,False,True,True,False,False,,False,False,True,False,False,False,,True,True,True,True,False,False,False,False,True
Washington,3903,3732.7,3344.9,3636.2,3853.0,3755.8,3657.0,3662.0,3873.7,3284.0,3618.9,3679.0,3523.5,3700.9,3657.3,,3871.9,4039.0,3550.7,3360.9,3781.0,4479.8,3792.3,3158.0,3560.8,3985.0,3892.7,3686.3,3789.0,3537.0,,3307.8,3314.3,3547.0,4649.3,3377.0,3686.2,,4005.4,3919.4,3488.0,3573.8,3641.0,3272.0,,3302.3,3671.8,-170.3,-558.1,-266.8,-50.0,-147.2,-246.0,-241.0,-29.3,-619.0,-284.1,-224.0,-379.5,-202.1,-245.7,,-31.1,136.0,-352.3,-542.1,-122.0,576.8,-110.7,-745.0,-342.2,82.0,-10.3,-216.7,-114.0,-366.0,,-595.2,-588.7,-356.0,746.3,-526.0,-216.8,,102.4,16.4,-415.0,-329.2,-262.0,-631.0,,-600.7,-231.2,False,False,True,True,False,False,True,False,False,False,False,False,False,,True,True,False,False,True,False,True,False,False,True,True,False,True,False,,False,False,False,False,False,False,,True,True,False,False,False,False,,False,False
West Virginia,1761,1745.1,1639.6,1975.6,1863.0,1746.0,1842.0,2122.0,1784.2,1681.0,1583.8,1671.0,1535.5,1884.2,1878.8,,1880.6,1771.0,1995.4,1652.9,1762.0,1928.4,1847.7,1888.5,1748.9,1705.0,2034.0,1877.3,1847.7,1776.5,,,1884.2,1842.0,1798.2,1827.0,1775.0,,1771.1,2080.3,1706.0,1802.9,1879.0,1846.0,2490.4,1326.4,1725.0,-15.9,-121.4,214.6,102.0,-15.0,81.0,361.0,23.2,-80.0,-177.2,-90.0,-225.5,123.2,117.8,,119.6,10.0,234.4,-108.1,1.0,167.4,86.7,127.5,-12.1,-56.0,273.0,116.3,86.7,15.5,,,123.2,81.0,37.2,66.0,14.0,,10.1,319.3,-55.0,41.9,118.0,85.0,729.4,-434.6,-36.0,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,True,False,False,True,False,False,False,True,False,False,False,False,True,,,False,False,False,False,True,,True,False,False,False,False,False,False,False,False
Wisconsin,5905,6301.3,6376.1,5916.4,6374.0,6314.4,6032.0,6417.0,5977.4,5820.0,5747.0,5903.0,5510.5,5769.7,5913.5,,6677.9,6156.0,6342.5,5243.4,6398.0,6397.1,5821.8,6053.0,6242.1,6378.0,6008.5,6330.8,5968.0,6243.0,,5730.0,6063.1,5706.0,4571.6,5723.0,6109.2,,6155.1,6031.7,5698.0,6382.6,6065.0,5722.0,6262.2,5453.0,5668.5,396.3,471.1,11.4,469.0,409.4,127.0,512.0,72.4,-85.0,-158.0,-2.0,-394.5,-135.3,8.5,,772.9,251.0,437.5,-661.6,493.0,492.1,-83.2,148.0,337.1,473.0,103.5,425.8,63.0,338.0,,-175.0,158.1,-199.0,-1333.4,-182.0,204.2,,250.1,126.7,-207.0,477.6,160.0,-183.0,357.2,-452.0,-236.5,False,True,False,False,True,False,True,True,True,True,True,True,True,,False,True,False,False,False,False,True,True,True,False,True,False,True,True,,True,True,True,False,True,True,,True,True,True,False,True,True,True,False,True
Wyoming,522,466.7,453.9,431.6,534.0,471.0,491.0,493.0,477.1,431.0,467.8,502.0,565.2,469.0,465.5,,504.5,594.0,453.1,386.0,509.0,520.6,447.4,516.0,431.6,541.0,530.5,517.7,461.5,515.0,,,370.0,477.0,442.9,422.0,429.0,,593.4,579.3,459.0,491.6,445.0,524.0,540.6,428.8,553.3,-55.3,-68.1,-90.4,12.0,-51.0,-31.0,-29.0,-44.9,-91.0,-54.2,-20.0,43.2,-53.0,-56.5,,-17.5,72.0,-68.9,-136.0,-13.0,-1.4,-74.6,-6.0,-90.4,19.0,8.5,-4.3,-60.5,-7.0,,,-152.0,-45.0,-79.1,-100.0,-93.0,,71.4,57.3,-63.0,-30.4,-77.0,2.0,18.6,-93.2,31.3,False,False,True,True,True,True,True,False,True,True,True,True,False,,True,False,False,False,True,True,False,True,False,True,True,True,False,True,,,False,True,False,False,False,,False,False,False,True,False,True,True,False,True
US,402962,388543.0,439519.7,401904.8,,389167.3,399201.0,392608.0,395108.2,415955.0,382298.0,384735.0,389650.3,397296.5,,399321.0,406925.8,400805.0,410724.6,389417.0,398130.0,413902.3,400204.7,400637.0,400117.6,399142.0,399404.6,408062.8,399201.2,384976.5,395733.9,371931.5,404587.8,400838.0,401610.2,376895.0,384386.0,442638.0,,402058.6,385022.0,408205.4,401905.0,410129.0,,338213.8,382231.2,-9392.0,41584.7,3969.8,,-8767.7,1266.0,-5327.0,-2826.8,18020.0,-15637.0,-13200.0,-8284.7,-638.5,,1386.0,8990.8,2870.0,12789.6,-8518.0,195.0,15967.3,2269.7,2702.0,2182.6,1207.0,1469.6,10127.8,1266.2,-12958.5,-2201.1,-26003.5,6652.8,2903.0,3675.2,-21040.0,-13549.0,44703.0,,4123.6,-12913.0,10270.4,3970.0,12194.0,,-59721.2,-15703.8,False,True,,True,True,True,True,False,False,False,True,True,,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,True,True,True,False,False,False,,True,False,False,True,False,,False,False
