,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Ohio,9017,9077.7,8986.6,9058.3,9118.2,9245.0,9138.8,9223.0,9504.0,9257.6,9308.0,9231.1,9204.0,9518.8,8949.9,9172.8,,9195.1,9714.0,9547.1,8947.4,9347.0,10173.9,9214.5,9006.0,9199.6,9668.0,9416.0,9591.7,9040.9,9510.0,,9151.5,8832.6,9171.0,9981.0,8755.0,9142.2,,9698.1,9414.9,9230.3,9150.0,9236.9,9229.0,9223.0,9271.6,8366.1,9178.3,60.7,-30.4,41.3,101.2,228.0,121.8,206.0,487.0,240.6,291.0,214.1,187.0,501.8,-67.1,155.8,,178.1,697.0,530.1,-69.6,330.0,1156.9,197.5,-11.0,182.6,651.0,399.0,574.7,23.9,493.0,,134.5,-184.4,154.0,964.0,-262.0,125.2,,681.1,397.9,213.3,133.0,219.9,212.0,206.0,254.6,-650.9,161.3,True,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Oklahoma,2527,2486.9,2450.3,2516.5,2500.6,2544.0,2483.0,2521.0,2633.0,2598.0,2499.0,2389.9,2517.0,2533.9,2467.4,2516.2,,2536.5,2629.0,2540.5,2466.9,2687.0,2832.9,2534.1,2494.0,2598.2,2709.0,2447.9,2607.4,2521.2,2575.0,,,2475.2,2516.0,2516.0,2534.0,2475.8,,2586.8,2471.1,2632.9,2542.0,2521.3,2526.0,2515.0,2558.5,2328.2,2548.8,-40.1,-76.7,-10.5,-26.4,17.0,-44.0,-6.0,106.0,71.0,-28.0,-137.1,-10.0,6.9,-59.6,-10.8,,9.5,102.0,13.5,-60.1,160.0,305.9,7.1,-33.0,71.2,182.0,-79.1,80.4,-5.8,48.0,,,-51.8,-11.0,-11.0,7.0,-51.2,,59.8,-55.9,105.9,15.0,-5.7,-1.0,-12.0,31.5,-198.8,21.8,False,True,True,True,False,True,False,False,True,False,True,True,False,True,,True,False,True,False,False,False,True,True,False,False,False,False,True,False,,,False,True,True,True,False,,False,False,False,True,True,True,True,True,False,True
Oregon,1492,1686.4,1548.2,1705.5,1708.4,1656.0,1720.0,1675.0,1734.0,1665.7,1568.0,1580.9,1620.0,1594.2,1697.6,1663.2,,1630.4,1706.0,1735.9,1543.6,1679.0,1812.2,1672.9,1598.0,1655.8,1731.0,1655.8,1677.1,1708.4,1764.5,,,1646.6,1653.0,1587.3,1587.0,1730.6,,1604.8,1677.4,1684.8,1596.0,1818.6,1681.0,1680.0,1687.3,1436.5,1619.9,194.4,56.2,213.5,216.4,164.0,228.0,183.0,242.0,173.7,76.0,88.9,128.0,102.2,205.6,171.2,,138.4,214.0,243.9,51.6,187.0,320.2,180.9,106.0,163.8,239.0,163.8,185.1,216.4,272.5,,,154.6,161.0,95.3,95.0,238.6,,112.8,185.4,192.8,104.0,326.6,189.0,188.0,195.3,-55.5,127.9,True,False,False,True,False,True,False,True,True,True,True,True,False,True,,True,False,False,True,True,False,True,True,True,False,True,True,False,False,,,True,True,True,True,False,,True,True,True,True,False,True,True,False,True,True
Pennsylvania,16179,16330.0,16790.7,17014.3,16636.4,16468.0,16520.5,16670.0,16046.0,16486.0,17028.0,16090.8,16470.0,17110.2,16730.0,16499.3,,16989.5,16888.0,17272.1,16840.9,16370.0,16766.0,16505.9,16757.0,16472.8,16780.0,16998.7,17196.7,16670.1,16194.0,,15970.8,16572.8,17001.0,15832.1,15722.0,16250.0,,15840.3,17063.1,16133.5,16136.0,17760.0,17106.0,17291.0,17751.6,14187.7,16352.6,151.0,611.7,835.3,457.4,289.0,341.5,491.0,-133.0,307.0,849.0,-88.2,291.0,931.2,551.0,320.3,,810.5,709.0,1093.1,661.9,191.0,587.0,326.9,578.0,293.8,601.0,819.7,1017.7,491.1,15.0,,-208.2,393.8,822.0,-346.9,-457.0,71.0,,-338.7,884.1,-45.5,-43.0,1581.0,927.0,1112.0,1572.6,-1991.3,173.6,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,True,,False,False,True,True,False,False,False,False,False,False
Rhode Island,1777,1840.4,1778.9,1877.0,1853.9,1841.0,1856.9,1861.0,1792.0,1720.8,1879.0,1786.0,1827.0,2063.6,1784.5,1894.3,,1901.2,1870.0,1867.3,1862.7,1860.0,1752.3,1842.6,1849.0,1788.9,1841.0,1866.2,1907.6,1876.5,1867.0,,,1989.9,1767.0,1845.5,1672.0,1833.5,,1823.3,1888.1,1837.1,1838.0,1884.1,1845.0,1795.5,1947.7,1561.8,1817.0,63.4,1.9,100.0,76.9,64.0,79.9,84.0,15.0,-56.2,102.0,9.0,50.0,286.6,7.5,117.3,,124.2,93.0,90.3,85.7,83.0,-24.7,65.6,72.0,11.9,64.0,89.2,130.6,99.5,90.0,,,212.9,-10.0,68.5,-105.0,56.5,,46.3,111.1,60.1,61.0,107.1,68.0,18.5,170.7,-215.2,40.0,True,False,False,False,False,False,True,True,False,True,True,False,True,False,,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,False,True,False,False,True,,True,False,True,True,False,False,True,False,False,True
South Carolina,5385,5299.0,5425.3,5358.5,5308.2,5336.0,5315.1,5409.0,5489.0,5373.4,5629.0,5167.2,5247.0,5359.1,5410.9,5401.7,,5456.2,5296.0,5420.6,5571.6,5421.0,5532.5,5492.0,5331.0,5409.6,5404.0,5408.3,5469.3,5455.3,5280.0,,5307.3,5313.5,5409.0,6115.3,5386.0,5326.5,,5233.8,5429.1,5381.1,5422.0,5248.2,5447.0,5479.0,5311.4,5069.8,5430.3,-86.0,40.3,-26.5,-76.8,-49.0,-69.9,24.0,104.0,-11.6,244.0,-217.8,-138.0,-25.9,25.9,16.7,,71.2,-89.0,35.6,186.6,36.0,147.5,107.0,-54.0,24.6,19.0,23.3,84.3,70.3,-105.0,,-77.7,-71.5,24.0,730.3,1.0,-58.5,,-151.2,44.1,-3.9,37.0,-136.8,62.0,94.0,-73.6,-315.2,45.3,True,True,True,True,True,True,False,True,False,False,False,True,True,True,,True,False,True,False,True,False,False,True,True,True,True,True,True,False,,True,True,True,False,True,True,,False,True,True,True,False,True,False,True,False,True
South Dakota,1501,1550.4,1549.0,1529.4,1557.2,1669.0,1564.0,1563.0,1436.0,1509.8,1566.0,1573.5,1577.0,1606.9,1565.0,1518.9,,1655.3,1668.0,1646.8,1475.5,1601.0,1494.4,1539.4,1499.0,1512.9,1577.0,1553.3,1601.1,1529.9,1541.0,,,1548.5,1552.0,1299.1,1520.0,1530.5,,1561.3,1568.2,1512.9,1564.0,1596.4,1542.0,1619.5,1622.6,1510.4,1590.0,49.4,48.0,28.4,56.2,168.0,63.0,62.0,-65.0,8.8,65.0,72.5,76.0,105.9,64.0,17.9,,154.3,167.0,145.8,-25.5,100.0,-6.6,38.4,-2.0,11.9,76.0,52.3,100.1,28.9,40.0,,,47.5,51.0,-201.9,19.0,29.5,,60.3,67.2,11.9,63.0,95.4,41.0,118.5,121.6,9.4,89.0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,,False,False,False,True,False,True,True,True,True,False,False,False,True,True,,,True,False,False,True,True,,False,False,True,False,False,True,False,False,True,False
Tennessee,6970,7202.0,6946.0,7520.8,7084.5,7329.0,7080.3,7261.0,7198.0,7185.2,8457.0,6651.8,7269.0,6995.4,7117.0,7225.6,,7282.5,7263.0,7259.7,9517.9,7247.0,6998.6,7292.7,8690.0,7487.8,7115.0,7117.7,7422.3,7457.8,7112.0,,6905.9,7263.6,7339.0,7147.9,7869.0,7100.3,,6819.0,7147.9,7151.7,7426.0,7219.7,7490.0,7394.0,7588.7,6271.7,7548.0,232.0,-24.0,550.8,114.5,359.0,110.3,291.0,228.0,215.2,1487.0,-318.2,299.0,25.4,147.0,255.6,,312.5,293.0,289.7,2547.9,277.0,28.6,322.7,1720.0,517.8,145.0,147.7,452.3,487.8,142.0,,-64.1,293.6,369.0,177.9,899.0,130.3,,-151.0,177.9,181.7,456.0,249.7,520.0,424.0,618.7,-698.3,578.0,True,False,True,False,True,False,True,True,False,False,False,True,True,False,,False,False,False,False,False,True,False,False,False,True,True,False,False,True,,True,False,False,True,False,True,,True,True,True,False,False,False,False,False,False,False
Texas,28442,28477.1,29346.5,28707.0,28621.2,28644.0,28526.0,28565.0,30213.0,28680.1,28759.0,27405.1,27991.0,28302.5,28837.7,28362.3,,28696.6,28269.0,28884.0,28363.2,28336.0,29161.4,28817.6,28689.0,28886.3,28519.0,28798.1,28761.6,29017.0,28253.0,,28128.2,28793.7,28575.0,28501.4,28132.0,28397.5,,28116.3,28865.6,28835.9,28520.0,28566.7,28849.0,28494.5,28926.8,26815.6,27842.9,242.1,1111.5,472.0,386.2,409.0,291.0,330.0,1978.0,445.1,524.0,-829.9,-244.0,67.5,602.7,127.3,,461.6,34.0,649.0,128.2,101.0,926.4,582.6,454.0,651.3,284.0,563.1,526.6,782.0,18.0,,-106.8,558.7,340.0,266.4,-103.0,162.5,,-118.7,630.6,600.9,285.0,331.7,614.0,259.5,691.8,-1419.4,-392.1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,True,False,True,True,False,False,False,False,False,False,False,False,True,,True,False,False,False,True,True,,True,False,False,False,False,False,False,False,False,False
Utah,1294,1340.7,1278.7,1452.4,1369.6,1386.0,1368.0,1348.0,1305.0,1383.5,1330.0,1331.4,1286.0,1339.2,1323.6,1341.6,,1382.1,1408.0,1359.9,1284.9,1481.0,1095.1,1327.4,1328.0,1392.1,1404.0,1341.6,1404.9,1353.4,1392.0,,,1355.0,1322.0,1202.0,1313.0,1354.5,,1460.8,1365.5,1341.8,1314.0,1365.8,1359.0,1341.0,1406.0,891.9,1336.3,46.7,-15.3,158.4,75.6,92.0,74.0,54.0,11.0,89.5,36.0,37.4,-8.0,45.2,29.6,47.6,,88.1,114.0,65.9,-9.1,187.0,-198.9,33.4,34.0,98.1,110.0,47.6,110.9,59.4,98.0,,,61.0,28.0,-92.0,19.0,60.5,,166.8,71.5,47.8,20.0,71.8,65.0,47.0,112.0,-402.1,42.3,True,False,False,False,False,False,True,False,True,True,True,True,True,False,,False,False,False,True,False,False,True,True,False,False,False,False,False,False,,,False,True,False,True,False,,False,False,False,True,False,False,False,False,False,True
Vermont,139,140.7,137.1,141.8,133.6,142.0,134.0,142.0,123.0,131.6,136.0,144.3,125.0,139.7,134.5,143.1,,143.2,154.0,147.8,143.2,149.0,189.0,159.6,143.0,132.9,158.0,133.1,147.7,135.7,114.0,,,129.9,138.0,105.7,141.0,120.8,,136.5,157.5,138.5,134.0,134.9,140.0,166.0,177.6,110.7,150.5,1.7,-1.9,2.8,-5.4,3.0,-5.0,3.0,-16.0,-7.4,-3.0,5.3,-14.0,0.7,-4.5,4.1,,4.2,15.0,8.8,4.2,10.0,50.0,20.6,4.0,-6.1,19.0,-5.9,8.7,-3.3,-25.0,,,-9.1,-1.0,-33.3,2.0,-18.2,,-2.5,18.5,-0.5,-5.0,-4.1,1.0,27.0,38.6,-28.3,11.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,True,False,False,False,,False,False,True,False,False,True,False,False,False,False
Virginia,5117,5093.9,5201.9,5243.3,5102.3,5150.0,5111.0,5169.0,5234.0,5132.1,5228.0,4936.7,5070.0,5165.4,5105.8,5184.1,,5083.7,5182.0,5219.1,5161.1,5264.0,5654.9,5221.9,5257.0,5202.2,5259.0,5142.2,5209.8,5174.9,4901.0,,4952.3,5005.6,5191.0,5373.7,5036.0,5073.9,,5109.1,5158.6,5189.9,5124.0,5118.7,5239.0,5169.0,5034.3,4810.8,5124.3,-23.1,84.9,126.3,-14.7,33.0,-6.0,52.0,117.0,15.1,111.0,-180.3,-47.0,48.4,-11.2,67.1,,-33.3,65.0,102.1,44.1,147.0,537.9,104.9,140.0,85.2,142.0,25.2,92.8,57.9,-216.0,,-164.7,-111.4,74.0,256.7,-81.0,-43.1,,-7.9,41.6,72.9,7.0,1.7,122.0,52.0,-82.7,-306.2,7.3,False,False,True,False,True,False,False,True,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,True,False,False,True,True,False,False,False,False,True
Washington,3461,3406.7,3244.3,3360.2,3453.2,3423.0,3430.0,3362.0,3439.0,3468.4,3220.0,3323.5,3406.0,3324.5,3410.5,3359.9,,3440.4,3650.0,3312.6,3243.1,3381.0,3755.4,3461.1,3130.0,3330.1,3486.0,3469.3,3398.5,3424.3,3330.0,,3221.9,3221.6,3291.0,3980.3,3248.0,3381.6,,3542.7,3483.1,3450.6,3318.0,3344.7,3418.0,3213.0,,3205.6,3379.7,-54.3,-216.7,-100.8,-7.8,-38.0,-31.0,-99.0,-22.0,7.4,-241.0,-137.5,-55.0,-136.5,-50.5,-101.1,,-20.6,189.0,-148.4,-217.9,-80.0,294.4,0.1,-331.0,-130.9,25.0,8.3,-62.5,-36.7,-131.0,,-239.1,-239.4,-170.0,519.3,-213.0,-79.4,,81.7,22.1,-10.4,-143.0,-116.3,-43.0,-248.0,,-255.4,-81.3,False,False,True,True,True,False,True,True,False,False,False,False,True,False,,True,False,False,False,False,False,True,False,False,True,True,False,True,False,,False,False,False,False,False,False,,False,True,True,False,False,True,False,,False,False
West Virginia,1373,1425.1,1354.3,1503.4,1426.8,1479.0,1434.0,1460.0,1601.0,1448.7,1405.0,1269.6,1407.0,1373.4,1468.0,1460.5,,1464.9,1446.0,1509.0,1395.5,1422.0,1520.6,1467.6,1474.0,1420.8,1432.0,1520.1,1481.3,1457.1,1460.5,,,1482.9,1464.0,1425.1,1451.0,1438.5,,1378.3,1542.0,1423.2,1410.0,1453.7,1478.0,1459.0,1613.9,1231.8,1398.9,52.1,-18.7,130.4,53.8,106.0,61.0,87.0,228.0,75.7,32.0,-103.4,34.0,0.4,95.0,87.5,,91.9,73.0,136.0,22.5,49.0,147.6,94.6,101.0,47.8,59.0,147.1,108.3,84.1,87.5,,,109.9,91.0,52.1,78.0,65.5,,5.3,169.0,50.2,37.0,80.7,105.0,86.0,240.9,-141.2,25.9,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,False,False,False,True,True,False,False,False,True,False,False,False,False,False,,,False,False,True,False,False,,True,False,True,True,False,False,False,False,False,True
Wisconsin,5256,5493.3,5555.7,5375.9,5537.9,5484.0,5518.0,5416.0,5601.0,5370.7,5368.0,5226.3,5381.0,5212.1,5290.4,5329.0,,5747.8,5416.0,5532.7,5011.6,5558.0,5584.0,5349.6,5428.5,5510.3,5543.0,5419.8,5512.3,5421.6,5522.5,,5304.1,5425.9,5264.0,4448.7,5299.0,5467.3,,5376.4,5429.8,5465.9,5282.0,5545.8,5453.0,5284.0,5485.8,5140.6,5076.8,237.3,299.7,119.9,281.9,228.0,262.0,160.0,345.0,114.7,112.0,-29.7,125.0,-43.9,34.4,73.0,,491.8,160.0,276.7,-244.4,302.0,328.0,93.6,172.5,254.3,287.0,163.8,256.3,165.6,266.5,,48.1,169.9,8.0,-807.3,43.0,211.3,,120.4,173.8,209.9,26.0,289.8,197.0,28.0,229.8,-115.4,-179.2,False,True,False,True,False,True,False,True,True,True,True,True,True,True,,False,True,False,False,False,False,True,True,False,False,True,False,True,False,,True,True,True,False,True,True,,True,True,True,True,False,True,True,True,True,True
Wyoming,438,406.7,416.6,400.8,412.0,433.0,411.0,421.0,441.0,414.0,405.0,412.7,434.0,459.6,410.2,414.3,,432.6,470.0,404.6,370.1,433.0,448.3,410.6,430.0,394.8,445.0,445.1,435.7,409.5,435.0,,,366.9,411.0,398.3,391.0,396.9,,448.0,468.0,428.5,409.0,421.8,407.0,438.0,450.8,398.6,443.8,-31.3,-21.4,-37.2,-26.0,-5.0,-27.0,-17.0,3.0,-24.0,-33.0,-25.3,-4.0,21.6,-27.8,-23.7,,-5.4,32.0,-33.4,-67.9,-5.0,10.3,-27.4,-8.0,-43.2,7.0,7.1,-2.3,-28.5,-3.0,,,-71.1,-27.0,-39.7,-47.0,-41.1,,10.0,30.0,-9.5,-29.0,-16.2,-31.0,0.0,12.8,-39.4,5.8,True,False,True,True,True,True,True,True,False,True,True,True,True,True,,True,False,False,False,True,True,True,True,False,True,True,True,True,True,,,False,True,False,False,False,,True,True,True,True,True,True,True,True,False,True
US,350313,351793.0,366449.9,357482.3,352863.6,,352668.7,355533.0,354525.0,353299.1,359034.0,340704.6,350348.0,355632.7,353406.8,,359987.0,356118.6,359278.0,358553.3,353896.5,355775.0,361115.8,355638.5,357736.0,357161.5,358143.0,355335.8,360689.2,355203.1,350997.0,354371.9,346506.1,356812.7,355757.0,358549.3,348325.0,351515.2,379190.0,,356584.1,353248.4,351754.0,359033.6,357447.0,358703.0,,327643.2,346216.9,1689.0,16345.9,7378.3,2759.6,,2564.7,5429.0,4421.0,3195.1,8930.0,-9399.4,244.0,5528.7,3302.8,,9883.0,6014.6,9174.0,8449.3,3792.5,5671.0,11011.8,5534.5,7632.0,7057.5,8039.0,5231.8,10585.2,5099.1,893.0,4267.9,-3597.9,6708.7,5653.0,8445.3,-1779.0,1411.2,29086.0,,6480.1,3144.4,1650.0,8929.6,7343.0,8599.0,,-22460.8,-3887.1,False,False,False,,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,True,False,False,False,,False,False
