,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Maryland,5967,5938.3,5877.5,6016.0,5948.6,5978.0,5948.0,5977.0,5990.0,5961.9,5981.0,5910.7,5920.0,6015.9,5985.2,5929.0,5999.3,,6073.2,6074.0,6010.0,5780.5,5997.0,5915.5,5991.3,6000.0,5944.9,5970.0,5982.7,5954.1,5980.0,5968.0,,5926.3,5925.2,5975.0,5725.7,5928.0,5910.5,,5896.3,5940.8,5935.0,5991.5,5997.0,6004.0,-28.7,-89.5,49.0,-18.4,11.0,-19.0,10.0,23.0,-5.1,14.0,-56.3,-47.0,48.9,18.2,-38.0,32.3,,106.2,107.0,43.0,-186.5,30.0,-51.5,24.3,33.0,-22.1,3.0,15.7,-12.9,13.0,1.0,,-40.7,-41.8,8.0,-241.3,-39.0,-56.5,,-70.7,-26.2,-32.0,24.5,30.0,37.0,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,True,True,True,True,True,True,,False,False,True,False,False,False,,False,True,False,True,False,False
Massachusetts,12502,12446.9,12376.2,12486.2,12374.9,12410.0,12363.0,12419.0,12411.0,12422.4,12441.0,12290.1,12482.0,12457.4,12384.9,12368.5,12451.1,,12715.3,12588.0,12451.2,12360.6,12426.0,12562.5,12566.9,12350.0,12444.7,12405.0,12485.4,12424.4,12392.4,12320.5,,12293.7,12345.4,12433.0,13360.5,12468.0,12338.0,,12341.3,12450.8,12464.0,12359.3,12415.0,12440.8,-55.1,-125.8,-15.8,-127.1,-92.0,-139.0,-83.0,-91.0,-79.6,-61.0,-211.9,-20.0,-44.6,-117.1,-133.5,-50.9,,213.3,86.0,-50.8,-141.4,-76.0,60.5,64.9,-152.0,-57.3,-97.0,-16.6,-77.6,-109.6,-181.5,,-208.3,-156.6,-69.0,858.5,-34.0,-164.0,,-160.7,-51.2,-38.0,-142.7,-87.0,-61.2,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,,False,False,True,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,True,False,,False,True,True,False,False,False
Michigan,13306,13218.0,13403.8,13214.4,13316.7,13434.0,13306.0,13306.0,13273.0,13297.8,13227.0,13230.8,13200.0,13581.9,13372.9,13356.0,13339.2,,13605.9,13561.0,13566.1,12647.1,13432.0,13079.9,13347.4,13443.0,13103.0,13237.0,13375.5,13245.8,13235.2,13423.0,,13238.1,13143.6,13100.0,12501.1,12991.0,13299.0,,13123.1,13418.5,13154.0,13478.7,13338.0,13214.8,-88.0,97.8,-91.6,10.7,128.0,0.0,0.0,-33.0,-8.2,-79.0,-75.2,-106.0,275.9,66.9,50.0,33.2,,299.9,255.0,260.1,-658.9,126.0,-226.1,41.4,137.0,-203.0,-69.0,69.5,-60.2,-70.8,117.0,,-67.9,-162.4,-206.0,-804.9,-315.0,-7.0,,-182.9,112.5,-152.0,172.7,32.0,-91.2,False,False,True,False,True,True,True,True,True,True,False,False,True,True,True,,False,False,False,False,False,False,True,False,False,True,True,True,True,False,,True,False,False,False,False,True,,False,False,False,False,True,False
Minnesota,5436,5460.6,5519.3,5500.0,5510.4,5543.0,5493.0,5496.0,5546.0,5458.6,5430.0,5407.0,5522.0,5536.2,5474.5,5511.1,5433.1,,5634.6,5597.0,5504.2,5104.7,5569.0,5447.5,5438.2,5560.0,5404.7,5471.0,5510.7,5501.4,5466.0,5513.0,,5597.4,5422.9,5360.0,4800.2,5390.0,5437.2,,5393.1,5478.5,5417.0,5541.0,5426.0,5498.9,24.6,83.3,64.0,74.4,107.0,57.0,60.0,110.0,22.6,-6.0,-29.0,86.0,100.2,38.5,75.1,-2.9,,198.6,161.0,68.2,-331.3,133.0,11.5,2.2,124.0,-31.3,35.0,74.7,65.4,30.0,77.0,,161.4,-13.1,-76.0,-635.8,-46.0,1.2,,-42.9,42.5,-19.0,105.0,-10.0,62.9,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,True,False,False,False,True,,False,False,True,False,True,False
Mississippi,4840,4774.9,4756.3,4805.4,4743.6,4772.0,4740.0,4784.0,4844.0,4796.1,4829.0,4745.2,4806.0,4762.6,4738.2,4680.2,4803.3,,5002.6,4914.0,4829.3,4814.2,4806.0,4760.8,4824.2,5073.0,4753.5,4772.0,4788.6,4785.9,4805.0,4783.5,,4739.9,4700.9,4810.0,4914.4,4737.0,4726.6,,4735.3,4747.1,4752.0,4749.2,4721.0,4829.6,-65.1,-83.7,-34.6,-96.4,-68.0,-100.0,-56.0,4.0,-43.9,-11.0,-94.8,-34.0,-77.4,-101.8,-159.8,-36.7,,162.6,74.0,-10.7,-25.8,-34.0,-79.2,-15.8,233.0,-86.5,-68.0,-51.4,-54.1,-35.0,-56.5,,-100.1,-139.1,-30.0,74.4,-103.0,-113.4,,-104.7,-92.9,-88.0,-90.8,-119.0,-10.4,False,True,False,False,False,True,True,True,True,False,True,False,False,False,True,,False,False,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,True,False,False,False,,False,False,False,False,False,True
Missouri,5751,5809.6,5669.4,5986.0,5896.3,5947.0,5892.0,5859.0,5956.0,5771.6,5915.0,5693.7,5804.0,5856.1,5832.1,5837.2,5945.1,,5694.8,6129.0,5888.6,5247.1,5917.0,5482.2,5858.1,6270.0,5754.1,5803.0,5887.0,5800.6,5858.6,5872.0,,5757.9,5747.6,5848.0,5668.8,5687.0,5616.2,,5708.3,5882.2,5726.0,5916.8,5863.0,4823.5,88.6,-51.6,265.0,175.3,226.0,171.0,138.0,235.0,50.6,194.0,-27.3,83.0,135.1,111.1,116.2,224.1,,-26.2,408.0,167.6,-473.9,196.0,-238.8,137.1,549.0,33.1,82.0,166.0,79.6,137.6,151.0,,36.9,26.6,127.0,-52.2,-34.0,-104.8,,-12.7,161.2,5.0,195.8,142.0,-897.5,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,,True,False,False,False,False,False,False,False,True,True,False,True,False,False,,True,True,False,True,True,False,,True,False,True,False,False,False
Montana,971,974.6,978.0,976.2,973.5,988.0,974.0,968.0,944.0,962.5,962.0,927.2,950.0,949.6,986.2,927.8,953.5,,982.6,1013.0,952.3,957.2,984.0,1004.5,965.7,985.0,956.2,964.0,972.4,976.0,958.8,973.0,,,952.6,963.0,961.7,955.0,1007.4,,949.9,930.7,964.0,982.8,971.0,973.7,3.6,7.0,5.2,2.5,17.0,3.0,-3.0,-27.0,-8.5,-9.0,-43.8,-21.0,-21.4,15.2,-43.2,-17.5,,11.6,42.0,-18.7,-13.8,13.0,33.5,-5.3,14.0,-14.8,-7.0,1.4,5.0,-12.2,2.0,,,-18.4,-8.0,-9.3,-16.0,36.4,,-21.1,-40.3,-7.0,11.8,0.0,2.7,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,,False,False,False,False,False,,False,False,False,False,True,True
Nebraska,1669,1621.6,1679.8,1620.9,1642.6,1671.0,1643.0,1652.0,1700.0,1639.9,1658.0,1743.5,1676.0,1678.5,1637.0,1657.4,1660.7,,1865.7,1760.0,1664.2,1618.6,1665.0,1688.5,1656.3,1689.0,1613.2,1679.0,1655.3,1652.2,1617.4,1637.0,,,1583.7,1653.0,1540.9,1603.0,1627.9,,1640.4,1613.2,1623.0,1677.1,1616.0,1669.2,-47.4,10.8,-48.1,-26.4,2.0,-26.0,-17.0,31.0,-29.1,-11.0,74.5,7.0,9.5,-32.0,-11.6,-8.3,,196.7,91.0,-4.8,-50.4,-4.0,19.5,-12.7,20.0,-55.8,10.0,-13.7,-16.8,-51.6,-32.0,,,-85.3,-16.0,-128.1,-66.0,-41.1,,-28.6,-55.8,-46.0,8.1,-53.0,0.2,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,,False,False,True,False,True,True,True,True,False,True,True,True,False,True,,,False,True,False,False,True,,True,False,True,True,False,True
Nevada,3148,3096.6,3080.3,3166.4,3141.2,3167.0,3135.0,3148.0,3160.0,3147.0,3171.0,3136.6,3106.0,3106.8,3142.4,3070.1,3179.4,,3300.0,3253.0,3227.7,2981.1,3201.0,3127.4,3173.7,3267.0,3098.0,3134.0,3159.0,3144.7,3182.0,3171.0,,3129.5,3097.3,3160.0,3344.9,3091.0,3114.9,,3139.8,3115.9,3112.0,3166.1,3187.0,3120.5,-51.4,-67.7,18.4,-6.8,19.0,-13.0,0.0,12.0,-1.0,23.0,-11.4,-42.0,-41.2,-5.6,-77.9,31.4,,152.0,105.0,79.7,-166.9,53.0,-20.6,25.7,119.0,-50.0,-14.0,11.0,-3.3,34.0,23.0,,-18.5,-50.7,12.0,196.9,-57.0,-33.1,,-8.2,-32.1,-36.0,18.1,39.0,-27.5,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,False,False,False,False,False,True,True,False,True,True,True,True,True,True,,True,True,True,False,False,True,,True,True,True,True,True,True
New Hampshire,769,752.6,773.2,770.3,752.3,757.0,752.0,752.0,729.0,760.0,762.0,748.4,747.0,749.4,752.5,751.4,751.3,,749.1,784.0,772.4,728.6,765.0,811.3,758.5,754.0,741.9,757.0,751.3,760.8,755.0,755.0,,,754.4,746.0,903.2,748.0,747.6,,753.7,710.6,747.0,749.4,759.0,761.7,-16.4,4.2,1.3,-16.7,-12.0,-17.0,-17.0,-40.0,-9.0,-7.0,-20.6,-22.0,-19.6,-16.5,-17.6,-17.7,,-19.9,15.0,3.4,-40.4,-4.0,42.3,-10.5,-15.0,-27.1,-12.0,-17.7,-8.2,-14.0,-14.0,,,-14.6,-23.0,134.2,-21.0,-21.4,,-15.3,-58.4,-22.0,-19.6,-10.0,-7.3,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,,False,True,True,False,True,False,True,True,False,True,False,True,True,True,,,True,False,False,False,False,,True,False,False,False,True,True
New Jersey,19187,19003.7,19040.6,19154.1,19053.7,19080.0,19053.0,19076.0,19211.0,19038.0,19043.0,18917.9,18871.0,19209.4,19146.8,19043.8,19095.5,,19310.3,19252.0,19145.3,18772.7,19062.0,19142.2,19095.1,19206.0,18981.7,19063.0,19111.0,19031.7,19063.8,19081.0,,18915.2,18980.2,19094.0,18915.1,18919.0,19048.1,,18955.7,19089.3,18928.0,18874.5,19076.0,19187.9,-183.3,-146.4,-32.9,-133.3,-107.0,-134.0,-111.0,24.0,-149.0,-144.0,-269.1,-316.0,22.4,-40.2,-143.2,-91.5,,123.3,65.0,-41.7,-414.3,-125.0,-44.8,-91.9,19.0,-205.3,-124.0,-76.0,-155.3,-123.2,-106.0,,-271.8,-206.8,-93.0,-271.9,-268.0,-138.9,,-231.3,-97.7,-259.0,-312.5,-111.0,0.9,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,True,,False,False,True,False,False,True,,False,True,False,False,True,True
New Mexico,2534,2496.0,2460.5,2512.2,2482.2,2490.0,2477.0,2486.0,2526.0,2473.6,2476.0,2429.2,2479.0,2497.4,2462.6,2457.7,2524.2,,2615.0,2563.0,2498.1,2342.6,2497.0,2459.9,2488.2,2486.0,2471.6,2476.0,2503.2,2492.7,2473.4,2545.0,,,2468.7,2477.0,2545.5,2488.0,2439.3,,2438.9,2460.7,2493.0,2494.5,2483.0,2507.3,-38.0,-73.5,-21.8,-51.8,-44.0,-57.0,-48.0,-8.0,-60.4,-58.0,-104.8,-55.0,-36.6,-71.4,-76.3,-9.8,,81.0,29.0,-35.9,-191.4,-37.0,-74.1,-45.8,-48.0,-62.4,-58.0,-30.8,-41.3,-60.6,11.0,,,-65.3,-57.0,11.5,-46.0,-94.7,,-95.1,-73.3,-41.0,-39.5,-51.0,-26.7,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,,False,True,True,False,True,False,False,False,False,False,True,False,False,True,,,False,False,True,False,False,,False,False,False,False,False,True
New York,38273,38251.0,38119.8,38790.4,38253.8,38233.0,38254.0,38224.0,38111.0,38260.6,38144.0,37628.4,38037.0,38131.6,38233.5,38378.4,38337.5,,38105.4,38390.0,38330.6,37779.0,38279.0,38419.9,38312.4,38510.0,38251.8,38279.0,38194.7,38222.4,38314.4,37660.0,,37824.2,38272.6,38626.0,38332.8,38186.0,38309.2,,38032.7,38193.5,38152.0,38442.4,38286.0,38146.2,-22.0,-153.2,517.4,-19.2,-40.0,-19.0,-49.0,-162.0,-12.4,-129.0,-644.6,-236.0,-141.4,-39.5,105.4,64.5,,-167.6,117.0,57.6,-494.0,6.0,146.9,39.4,237.0,-21.2,6.0,-78.3,-50.6,41.4,-613.0,,-448.8,-0.4,353.0,59.8,-87.0,36.2,,-240.3,-79.5,-121.0,169.4,13.0,-126.8,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,True,True,False,False,False,False,,False,True,False,False,False,False,,False,False,False,False,True,False
North Carolina,6892,6827.6,6838.5,6894.3,6855.3,6850.0,6868.0,6884.0,6803.0,6930.7,6900.0,6632.3,6917.0,6783.7,6953.0,6750.0,6972.8,,6840.8,6966.0,6898.7,6835.7,6934.0,7147.3,6963.7,6994.0,6836.0,6932.0,6882.6,6896.7,6911.8,6884.0,,6792.3,6795.5,7018.0,7324.4,6818.0,6802.4,,6876.5,6873.2,6899.0,6885.8,6823.0,6904.7,-64.4,-53.5,2.3,-36.7,-42.0,-24.0,-8.0,-89.0,38.7,8.0,-259.7,25.0,-108.3,61.0,-142.0,80.8,,-51.2,74.0,6.7,-56.3,42.0,255.3,71.7,102.0,-56.0,40.0,-9.4,4.7,19.8,-8.0,,-99.7,-96.5,126.0,432.4,-74.0,-89.6,,-15.5,-18.8,7.0,-6.2,-69.0,12.7,True,True,True,True,True,True,False,True,True,False,True,False,True,False,False,,True,False,True,True,True,False,False,False,True,True,True,True,True,True,,False,False,False,False,False,False,,True,True,True,True,False,True
North Dakota,1317,1296.0,1313.3,1285.6,1286.3,1304.0,1297.0,1304.0,1284.0,1299.4,1316.0,1322.0,1302.0,1307.2,1306.4,1281.0,1294.2,,1468.7,1371.0,1316.3,1254.5,1323.0,1323.0,1316.9,1292.0,1287.7,1308.0,1324.2,1318.6,1299.0,1332.0,,,1283.2,1304.0,1186.2,1291.0,1281.0,,1293.2,1283.0,1300.0,1338.9,1296.0,1319.5,-21.0,-3.7,-31.4,-30.7,-13.0,-20.0,-13.0,-33.0,-17.6,-1.0,5.0,-15.0,-9.8,-10.6,-36.0,-22.8,,151.7,54.0,-0.7,-62.5,6.0,6.0,-0.1,-25.0,-29.3,-9.0,7.2,1.6,-18.0,15.0,,,-33.8,-13.0,-130.8,-26.0,-36.0,,-23.8,-34.0,-17.0,21.9,-21.0,2.5,True,False,False,True,True,True,False,True,True,True,True,True,True,False,False,,False,False,True,False,True,True,True,False,False,True,True,True,True,True,,,False,True,False,False,False,,False,False,True,False,False,True
Ohio,13722,8905.0,8828.1,8997.5,8929.3,9035.0,8921.0,8987.0,8926.0,8984.4,8990.0,9000.2,9087.0,9145.9,8857.7,8820.0,8980.7,,9171.9,9331.0,9087.9,8755.6,9050.0,9367.7,9015.9,9166.0,8921.1,9061.0,9014.1,9028.2,8846.0,9124.0,,8924.7,8850.5,8850.0,9981.0,8809.0,8886.1,,9027.6,8989.6,8950.0,8998.5,8943.0,8949.8,-528.0,-604.9,-435.5,-503.7,-398.0,-512.0,-446.0,-507.0,-448.6,-443.0,-432.8,-346.0,-287.1,-575.3,-613.0,-452.3,,-261.1,-102.0,-345.1,-677.4,-383.0,-65.3,-417.1,-267.0,-511.9,-372.0,-418.9,-404.8,-587.0,-309.0,,-508.3,-582.5,-583.0,548.0,-624.0,-546.9,,-405.4,-443.4,-483.0,-434.5,-490.0,-483.2,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,True,,True,False,False,False,False,False,,True,True,True,True,True,True
Oklahoma,2527,2505.4,2495.4,2539.9,2528.6,2548.0,2525.0,2526.0,2487.0,2557.8,2537.0,2430.0,2540.0,2453.8,2506.8,2504.2,2520.1,,2561.3,2608.0,2539.7,2561.3,2550.0,2635.2,2522.0,2516.0,2501.7,2559.0,2513.7,2528.5,2527.0,2539.5,,,2486.9,2524.0,2525.0,2475.0,2532.6,,2541.7,2473.0,2505.0,2525.0,2532.0,2500.3,-21.6,-31.6,12.9,1.6,21.0,-2.0,-1.0,-40.0,30.8,10.0,-97.0,13.0,-73.2,-20.2,-22.8,-6.9,,34.3,81.0,12.7,34.3,23.0,108.2,-5.0,-11.0,-25.3,32.0,-13.3,1.5,0.0,12.5,,,-40.1,-3.0,-2.0,-52.0,5.6,,14.7,-54.0,-22.0,-2.0,5.0,-26.7,False,True,True,True,True,True,False,False,True,False,True,False,True,False,True,,False,False,True,False,False,False,True,True,False,False,True,True,True,True,,,False,True,True,False,True,,True,False,False,True,True,False
Oregon,1492,1500.7,1456.1,1542.6,1496.6,1548.0,1504.0,1545.0,1568.0,1551.1,1528.0,1592.6,1554.0,1512.6,1523.0,1483.7,1585.2,,1613.0,1680.0,1555.3,1495.8,1564.0,1615.4,1555.1,1567.0,1507.8,1550.0,1522.0,1540.4,1592.0,1591.0,,,1494.7,1561.0,1588.2,1513.0,1508.3,,1548.3,1479.8,1519.0,1561.7,1526.0,1520.4,8.7,-35.9,50.6,4.6,56.0,12.0,53.0,76.0,59.1,36.0,100.6,62.0,20.6,31.0,-8.3,93.2,,121.0,188.0,63.3,3.8,72.0,123.4,63.1,75.0,15.8,58.0,30.0,48.4,100.0,99.0,,,2.7,69.0,96.2,21.0,16.3,,56.3,-12.2,27.0,69.7,34.0,28.4,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False,False,,False,False,False,False,False,False
Pennsylvania,16179,15941.9,16142.8,16272.8,15919.4,16132.0,15962.0,16142.0,16317.0,16024.8,16048.0,16112.8,16450.0,16210.1,16092.4,16087.0,16164.7,,16727.3,16719.0,16570.4,15391.5,16196.0,16209.0,16328.2,16476.5,15919.7,16173.0,16247.8,16012.9,16308.0,15943.0,,15954.6,15776.4,16086.0,16057.4,15725.0,15779.8,,15719.0,16284.9,15930.0,16247.7,16086.0,16008.1,-237.1,-36.2,93.8,-259.6,-47.0,-217.0,-37.0,138.0,-154.2,-131.0,-66.2,271.0,31.1,-86.6,-92.0,-14.3,,548.3,540.0,391.4,-787.5,17.0,30.0,149.2,297.5,-259.3,-6.0,68.8,-166.1,129.0,-236.0,,-224.4,-402.6,-93.0,-121.6,-454.0,-399.2,,-460.0,105.9,-249.0,68.7,-93.0,-170.9,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,,False,False,False,False,True,True,True,False,False,True,True,True,True,True,,True,False,True,True,False,False,,False,True,False,True,True,True
Rhode Island,1957,1771.7,1790.1,1792.2,1774.2,1778.0,1783.0,1790.0,1775.0,1749.9,1777.0,1807.2,1775.0,2115.3,1799.9,1788.2,1830.1,,1894.2,1871.0,1816.5,1736.1,1810.0,1714.1,1794.7,1843.0,1759.0,1813.0,1801.5,1793.4,1824.0,1782.0,,,1788.3,1741.0,1845.5,1721.0,1732.4,,1790.8,1759.1,1770.0,1801.6,1790.0,1775.2,-20.3,-1.9,0.2,-17.8,-14.0,-9.0,-2.0,-17.0,-42.1,-15.0,15.2,-17.0,323.3,7.9,-3.8,38.1,,102.2,79.0,24.5,-55.9,18.0,-77.9,2.7,51.0,-33.0,21.0,9.5,1.4,32.0,-10.0,,,-3.7,-51.0,53.5,-71.0,-59.6,,-1.2,-32.9,-22.0,9.6,-2.0,-16.8,True,True,True,True,True,True,True,False,True,True,True,False,True,True,False,,False,False,False,False,True,False,True,False,False,False,True,True,False,True,,,True,False,False,False,False,,True,False,False,True,True,True
South Carolina,5385,5343.6,5388.6,5373.0,5354.7,5321.0,5353.0,5360.0,5384.0,5385.5,5380.0,5212.8,5345.0,5270.3,5331.2,5377.3,5401.8,,5366.9,5408.0,5357.4,5391.4,5377.0,5407.6,5395.0,5394.0,5347.4,5353.0,5360.6,5360.8,5374.0,5264.0,,5322.9,5318.5,5461.0,6115.3,5356.0,5349.9,,5303.5,5324.4,5385.0,5333.8,5371.0,5393.3,-41.4,3.6,-12.0,-30.3,-64.0,-32.0,-25.0,-1.0,0.5,-5.0,-172.2,-40.0,-114.7,-53.8,-7.7,16.8,,-18.1,23.0,-27.6,6.4,-8.0,22.6,10.0,9.0,-37.6,-32.0,-24.4,-24.2,-11.0,-121.0,,-62.1,-66.5,76.0,730.3,-29.0,-35.1,,-81.5,-60.6,0.0,-51.2,-14.0,8.3,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,False,False,False,False,True,True,,False,False,True,False,True,True
South Dakota,1501,1518.9,1531.1,1517.0,1541.6,1557.0,1542.0,1532.0,1482.0,1510.2,1533.0,1533.8,1547.0,1514.5,1535.0,1496.4,1513.1,,1555.2,1546.0,1571.0,1429.2,1543.0,1501.8,1532.2,1505.0,1485.9,1507.0,1544.5,1528.0,1511.0,1532.0,,,1510.7,1509.0,1419.1,1503.0,1535.3,,1498.3,1503.7,1522.0,1556.5,1532.0,1528.8,17.9,30.1,16.0,40.6,56.0,41.0,31.0,-19.0,9.2,32.0,32.8,46.0,13.5,34.0,-4.6,12.1,,54.2,45.0,70.0,-71.8,42.0,0.8,31.2,4.0,-15.1,6.0,43.5,27.0,10.0,31.0,,,9.7,8.0,-81.9,2.0,34.3,,-2.7,2.7,21.0,55.5,31.0,27.8,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,,False,False,False,False,False,True,False,True,True,True,False,False,True,False,,,True,True,False,True,False,,True,True,False,False,False,False
Tennessee,6970,6890.0,6934.9,7090.0,6940.0,6993.0,6926.0,6972.0,7083.0,6969.7,7234.0,6815.7,7147.0,6818.6,6983.5,7111.9,7130.5,,7670.9,7382.0,7073.7,7436.0,7088.0,6845.5,7034.9,7994.0,6929.5,7006.0,6959.3,6973.0,7043.0,6958.0,,6943.9,6783.7,7220.0,7179.6,6814.0,6900.8,,6967.4,6935.3,6968.0,6941.4,7203.0,7059.6,-80.0,-35.1,120.0,-30.0,23.0,-44.0,2.0,113.0,-0.3,264.0,-154.3,177.0,-151.4,13.5,141.9,160.5,,700.9,412.0,103.7,466.0,118.0,-124.5,64.9,1024.0,-40.5,36.0,-10.7,3.0,73.0,-12.0,,-26.1,-186.3,250.0,209.6,-156.0,-69.2,,-2.6,-34.7,-2.0,-28.6,233.0,89.6,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False,,False,False,False,False,False,False,True,False,True,True,True,True,True,True,,True,False,False,False,False,True,,True,True,True,True,False,False
Texas,28442,27942.3,28590.6,28441.3,28115.1,28279.0,28118.0,28275.0,28750.0,28175.0,28656.0,27516.4,27991.0,27951.7,28235.8,28102.7,28282.5,,28358.8,28699.0,28399.8,28276.7,28296.0,28367.1,28475.9,28995.5,28058.0,28108.0,28353.3,28165.0,28416.0,28178.0,,28145.2,27801.6,28495.0,28507.9,27650.0,27988.3,,28063.9,28355.2,28062.0,27978.1,28452.0,27621.0,-335.7,312.6,163.3,-162.9,1.0,-160.0,-3.0,472.0,-103.0,378.0,-761.6,-287.0,-326.3,-42.2,-175.3,4.5,,80.8,421.0,121.8,-1.3,18.0,89.1,197.9,717.5,-220.0,-170.0,75.3,-113.0,138.0,-100.0,,-132.8,-476.4,217.0,229.9,-628.0,-289.7,,-214.1,77.2,-216.0,-299.9,174.0,-657.0,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,,True,False,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,True,True,False,True,,True,True,True,True,True,False
