,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,38273,36489.3,36972.7,36352.7,37326.0,36484.5,37148.0,37182.0,37503.9,36835.0,37266.9,37654.0,36342.8,37425.5,36995.2,,37037.7,36633.0,36863.1,38007.9,37410.0,37433.6,38023.1,38041.0,37603.2,37297.0,36793.7,37136.3,37155.3,,36016.3,37174.8,34815.0,,35841.5,36474.1,39871.0,37640.4,37841.0,36834.9,,36030.6,36834.5,38288.0,,37336.0,39764.0,35950.1,35008.0,38385.0,-1744.7,-1261.3,-1881.3,-908.0,-1749.5,-1086.0,-1052.0,-730.1,-1399.0,-967.1,-580.0,-1891.2,-808.5,-1238.8,,-1196.3,-1601.0,-1370.9,-226.1,-824.0,-800.4,-210.9,-193.0,-630.8,-937.0,-1440.3,-1097.7,-1078.7,,-2217.7,-1059.2,-3419.0,,-2392.5,-1759.9,1637.0,-593.6,-393.0,-1399.1,,-2203.4,-1399.5,54.0,,-898.0,1530.0,-2283.9,-3226.0,151.0,True,False,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,False,True,True,True,True,,False,True,True,,True,True,False,False,True
North Carolina,6892,6711.7,7136.1,6759.5,7084.0,6703.7,6943.0,6946.0,6781.2,6869.0,6511.9,6756.0,6865.7,6938.3,6768.2,,7369.3,6564.0,7069.6,7078.2,6801.0,6964.6,7188.0,7260.0,7132.9,6903.0,7342.0,6932.6,6933.0,,6245.4,7155.0,6516.0,,6390.6,7263.0,6975.0,7324.4,7081.0,6755.2,,6880.4,7389.5,7234.0,,7276.0,6575.5,6432.3,6046.9,6979.0,-180.3,244.1,-132.5,192.0,-188.3,51.0,54.0,-110.8,-23.0,-380.1,-136.0,-26.3,46.3,-123.8,,477.3,-328.0,177.6,186.2,-91.0,72.6,296.0,368.0,240.9,11.0,450.0,40.6,41.0,,-646.6,263.0,-376.0,,-501.4,371.0,83.0,432.4,189.0,-136.8,,-11.6,497.5,342.0,,384.0,-316.5,-459.7,-845.1,87.0,False,True,False,False,True,True,True,True,False,True,True,True,True,,False,False,True,False,True,True,False,False,False,True,False,True,True,,False,False,False,,False,False,True,False,False,True,,True,False,False,,False,False,False,False,True
North Dakota,1317,1377.7,1246.2,1385.2,1461.0,1381.0,1285.0,1160.0,1266.0,1063.0,1351.6,1194.0,1404.7,1327.5,1218.6,,1367.6,1388.0,1358.2,1265.5,1418.0,1131.7,1244.8,1191.0,1283.4,1430.0,1310.1,1361.6,1362.1,,1261.6,1323.6,1255.0,,,1472.2,1279.0,1223.3,1219.0,1079.9,,1489.5,1348.6,1237.0,,1221.0,1203.0,1305.3,1181.5,1291.0,60.7,-70.8,68.2,144.0,64.0,-32.0,-157.0,-51.0,-254.0,34.6,-123.0,87.7,10.5,-98.4,,50.6,71.0,41.2,-51.5,101.0,-185.3,-72.2,-126.0,-33.6,113.0,-6.9,44.6,45.1,,-55.4,6.6,-62.0,,,155.2,-38.0,-93.7,-98.0,-237.1,,172.5,31.6,-80.0,,-96.0,-114.0,-11.7,-135.5,-26.0,False,False,False,False,True,False,True,False,True,False,False,True,False,,True,False,True,True,False,False,False,False,True,False,True,True,True,,True,True,False,,,False,True,False,False,False,,False,True,False,,False,False,True,False,True
Ohio,13722,9119.0,10465.9,9325.0,9990.0,9218.3,9454.0,9325.0,9571.9,8388.0,9474.0,9786.0,9014.2,9537.2,8915.6,,8941.4,9229.0,9926.4,9082.3,10430.0,9590.8,9479.8,10078.5,9695.0,9990.0,10204.8,9950.9,10004.7,10274.0,8479.5,9791.5,9014.0,,10109.8,9293.8,9454.0,10145.6,8901.0,9508.7,,9347.4,10274.2,9344.0,9774.2,9413.0,9449.5,10569.2,7493.2,9273.0,-2570.0,-1223.1,-2364.0,-1699.0,-2470.7,-2235.0,-2364.0,-2117.1,-3301.0,-2215.0,-1903.0,-2674.8,-2151.8,-2773.4,,-2747.6,-2460.0,-1762.6,-2606.7,-1259.0,-2098.2,-2209.2,-1610.5,-1994.0,-1699.0,-1484.2,-1738.1,-1684.3,-1415.0,-3209.5,-1897.5,-2675.0,,-1579.2,-2395.2,-2235.0,-1543.4,-2788.0,-2180.3,,-2341.6,-1414.8,-2345.0,-1914.8,-2276.0,-2239.5,-1119.8,-4195.8,-2416.0,True,True,True,True,True,True,True,False,True,True,False,True,False,,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,,True,True,True,True,False,True,,True,True,True,True,True,True,True,False,True
Oklahoma,2527,2513.1,2829.1,2521.7,2828.0,2502.1,2522.0,2482.0,2691.8,2186.0,2456.4,2942.0,2465.1,2605.0,2512.4,,2626.0,2566.0,2566.3,2366.0,2612.0,2516.6,2530.3,2380.0,2687.6,2919.0,2629.0,2576.7,2597.4,,2267.2,2651.7,2480.0,,,2517.6,2517.0,2279.9,2656.0,2664.6,,2767.4,2673.4,2642.0,,2618.0,2339.0,2410.4,2109.4,2596.0,-13.9,302.1,-5.3,301.0,-24.9,-5.0,-45.0,164.8,-341.0,-70.6,415.0,-61.9,78.0,-14.6,,99.0,39.0,39.3,-161.0,85.0,-10.4,3.3,-147.0,160.6,392.0,102.0,49.7,70.4,,-259.8,124.7,-47.0,,,-9.4,-10.0,-247.1,129.0,137.6,,240.4,146.4,115.0,,91.0,-188.0,-116.6,-417.6,69.0,False,True,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,True,False,False,False,False,False,False,,False,False,False,,,True,True,False,False,False,,False,False,False,,False,False,False,False,False
Oregon,1492,1526.7,1998.7,1551.2,1791.0,1551.1,1584.0,1477.0,1644.9,1472.0,1417.2,1557.0,1335.2,1772.5,1483.3,,1684.3,1534.0,1721.2,1604.6,1713.0,1625.1,1862.3,1989.0,1647.7,1643.0,1749.9,1603.6,1640.5,,1086.7,1629.2,1516.0,,,1554.5,1704.0,1353.6,1592.0,1616.1,,1460.6,1788.6,1540.0,,1635.0,1731.0,1596.9,1152.4,1471.0,34.7,506.7,59.2,299.0,59.1,92.0,-15.0,152.9,-20.0,-74.8,65.0,-156.8,280.5,-8.7,,192.3,42.0,229.2,112.6,221.0,133.1,370.3,497.0,155.7,151.0,257.9,111.6,148.5,,-405.3,137.2,24.0,,,62.5,212.0,-138.4,100.0,124.1,,-31.4,296.6,48.0,,143.0,239.0,104.9,-339.6,-21.0,False,False,False,False,False,True,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,,,False,False,False,False,False,,True,False,False,,False,False,False,False,True
Pennsylvania,16179,14950.1,16660.0,14778.8,15546.0,15018.9,15562.0,14836.0,15369.5,14242.0,15466.1,16349.0,14342.0,15842.4,15395.8,,16029.9,15140.0,15846.9,15920.7,14717.0,14455.5,17999.1,18121.0,15680.4,14757.0,16624.3,15469.6,15635.1,,14958.3,15322.3,13051.0,,17177.8,17716.8,16661.0,15810.6,16435.0,15183.3,,14047.4,16760.2,15703.0,15297.2,15658.0,17715.5,14422.5,11823.4,16088.0,-1228.9,481.0,-1400.2,-633.0,-1160.1,-617.0,-1343.0,-809.5,-1937.0,-712.9,170.0,-1837.0,-336.6,-783.2,,-149.1,-1039.0,-332.1,-258.3,-1462.0,-1723.5,1820.1,1942.0,-498.6,-1422.0,445.3,-709.4,-543.9,,-1220.7,-856.7,-3128.0,,998.8,1537.8,482.0,-368.4,256.0,-995.7,,-2131.6,581.2,-476.0,-881.8,-521.0,1536.5,-1756.5,-4355.6,-91.0,True,False,True,True,True,False,True,False,True,True,False,True,True,,True,True,True,True,False,False,False,False,True,False,True,True,True,,True,True,False,,True,False,True,True,True,True,,False,True,True,True,True,False,False,False,True
Rhode Island,1957,1671.4,1768.5,1683.0,1778.0,1681.2,1718.0,1635.0,1531.3,1653.0,1691.9,1683.0,1908.6,1718.6,1781.3,,1664.9,1622.0,1726.3,1854.7,1761.0,1578.2,1867.4,1720.0,1702.4,1667.0,1774.7,1800.6,1802.6,,1859.4,1696.8,1619.0,,,1678.0,1676.0,1845.5,1590.0,1650.9,,1731.0,1812.7,1816.0,,1650.0,1596.0,1686.1,1402.2,1803.0,-201.6,-104.5,-190.0,-95.0,-191.8,-155.0,-238.0,-341.7,-220.0,-181.1,-190.0,35.6,-154.4,-91.7,,-208.1,-251.0,-146.7,-18.3,-112.0,-294.8,-5.6,-153.0,-170.6,-206.0,-98.3,-72.4,-70.4,,-13.6,-176.2,-254.0,,,-195.0,-197.0,-27.5,-283.0,-222.1,,-142.0,-60.3,-57.0,,-223.0,-277.0,-186.9,-470.8,-70.0,True,True,True,True,True,False,False,False,True,True,True,True,True,,False,False,True,True,True,False,True,True,True,False,True,True,True,,True,True,False,,,True,True,True,False,False,,True,True,True,,False,False,True,False,True
South Carolina,5385,5387.6,5445.8,5259.1,5350.0,5200.6,5299.0,5233.0,5244.1,4852.0,4958.5,5245.0,5159.9,5560.1,5224.3,,5837.9,5055.0,5298.7,5234.7,5315.0,5151.4,5398.6,5256.0,5559.1,5238.0,5154.3,5398.8,5412.3,,4882.2,5449.3,6994.0,,5394.0,5566.4,5467.0,5969.5,5349.0,5366.3,,5087.3,5190.3,5842.0,,5450.0,5381.5,5038.5,4868.9,5361.0,2.6,60.8,-125.9,-35.0,-184.4,-86.0,-152.0,-140.9,-533.0,-426.5,-140.0,-225.1,175.1,-160.7,,452.9,-330.0,-86.3,-150.3,-70.0,-233.6,13.6,-129.0,174.1,-147.0,-230.7,13.8,27.3,,-502.8,64.3,1609.0,,9.0,181.4,82.0,584.5,-36.0,-18.7,,-297.7,-194.7,457.0,,65.0,-3.5,-346.5,-516.1,-24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False
South Dakota,1501,1754.1,1688.3,1655.0,1919.0,1687.1,1601.0,1264.0,1463.4,1305.0,1605.9,1614.0,1814.6,1798.0,1577.8,,1793.2,1878.0,1838.8,1551.0,1715.0,1246.5,1577.1,1470.0,1578.5,1628.0,1704.8,1667.4,1711.4,,1464.8,1557.8,1506.0,,,1992.1,1529.0,1091.8,1579.0,1466.0,,1992.3,1725.2,1542.0,,1594.0,2050.5,1887.8,1382.9,1597.0,253.1,187.3,154.0,418.0,186.1,100.0,-237.0,-37.6,-196.0,104.9,113.0,313.6,297.0,76.8,,292.2,377.0,337.8,50.0,214.0,-254.5,76.1,-31.0,77.5,127.0,203.8,166.4,210.4,,-36.2,56.8,5.0,,,491.1,28.0,-409.2,78.0,-35.0,,491.3,224.2,41.0,,93.0,549.5,386.8,-118.1,96.0,True,True,False,True,True,True,True,True,True,True,False,False,True,,False,False,False,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,True,False,True,True,,False,True,True,,True,False,False,True,True
Tennessee,6970,6443.4,6161.9,6358.6,6783.0,6360.3,6468.0,6331.0,6476.3,6140.0,6839.1,6771.0,6155.4,6478.0,6500.7,,7222.9,6475.0,6907.4,6850.4,6492.0,5998.6,7034.0,6699.0,6513.1,6399.0,6682.2,6495.8,6505.2,,5997.1,6697.8,6432.0,,6684.7,6989.9,6708.0,6303.3,6296.0,6468.4,,6452.4,6705.5,6452.0,,6322.0,5859.0,6358.8,5452.7,6507.0,-526.6,-808.1,-611.4,-187.0,-609.7,-502.0,-639.0,-493.7,-830.0,-130.9,-199.0,-814.6,-492.0,-469.3,,252.9,-495.0,-62.6,-119.6,-478.0,-971.4,64.0,-271.0,-456.9,-571.0,-287.8,-474.2,-464.8,,-972.9,-272.2,-538.0,,-285.3,19.9,-262.0,-666.7,-674.0,-501.6,,-517.6,-264.5,-518.0,,-648.0,-1111.0,-611.2,-1517.3,-463.0,False,False,True,False,True,False,True,False,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,True,,False,True,False,,True,True,True,False,False,True,,True,True,True,,False,False,False,False,True
Texas,28442,28128.1,28428.3,28031.5,29255.0,28120.4,28056.0,27484.0,28008.2,25160.0,28079.8,28025.0,26825.8,28795.4,27740.3,,29164.8,28386.0,29763.2,30102.1,26807.0,26500.9,29407.0,28268.0,28785.5,27641.0,29176.8,27968.5,28083.5,,25233.8,25614.0,27378.0,,30038.1,29600.4,29668.0,29039.7,27836.0,27955.0,,27449.4,29260.6,28569.0,,28938.0,27577.5,27130.2,24947.5,28114.0,-17.9,282.3,-114.5,1109.0,-25.6,-90.0,-662.0,-137.8,-2986.0,-66.2,-121.0,-1320.2,649.4,-405.7,,1018.8,240.0,1617.2,1956.1,-1339.0,-1645.1,1261.0,122.0,639.5,-505.0,1030.8,-177.5,-62.5,,-2912.2,-2532.0,-768.0,,1892.1,1454.4,1522.0,893.7,-310.0,-191.0,,-696.6,1114.6,423.0,,792.0,-568.5,-1015.8,-3198.5,-32.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Utah,1294,1212.9,1380.9,1241.3,1455.0,1243.0,1288.0,1306.0,1423.1,1091.0,1484.0,1248.0,1228.7,1288.6,938.6,,1433.7,1302.0,1427.8,1233.3,1436.0,1135.6,1293.5,1203.0,1389.9,1453.0,1402.7,1337.3,1331.7,,1800.8,1255.5,1421.0,,,1157.0,1277.0,1130.6,1272.0,1209.5,,1623.5,1442.1,1276.0,,1190.0,1128.0,1326.4,784.4,1261.0,-81.1,86.9,-52.7,161.0,-51.0,-6.0,12.0,129.1,-203.0,190.0,-46.0,-65.3,-5.4,-355.4,,139.7,8.0,133.8,-60.7,142.0,-158.4,-0.5,-91.0,95.9,159.0,108.7,43.3,37.7,,506.8,-38.5,127.0,,,-137.0,-17.0,-163.4,-22.0,-84.5,,329.5,148.1,-18.0,,-104.0,-166.0,32.4,-509.6,-33.0,False,True,False,True,True,True,False,False,False,True,True,True,False,,False,True,False,True,False,False,True,False,False,False,False,True,True,,False,True,False,,,False,True,False,True,False,,False,False,True,,False,False,True,False,True
Vermont,139,125.3,185.4,130.2,139.0,127.0,126.0,97.0,118.6,108.0,103.5,138.0,99.4,125.8,128.9,,86.7,81.5,133.7,123.1,123.0,133.7,163.9,98.0,114.9,156.0,128.7,126.5,132.6,,98.7,129.5,97.0,,,151.4,146.0,93.8,121.0,130.2,,109.7,170.2,113.0,,126.0,248.5,156.4,81.9,115.0,-13.7,46.4,-8.8,0.0,-12.0,-13.0,-42.0,-20.4,-31.0,-35.5,-1.0,-39.6,-13.2,-10.1,,-52.3,-57.5,-5.3,-15.9,-16.0,-5.3,24.9,-41.0,-24.1,17.0,-10.3,-12.5,-6.4,,-40.3,-9.5,-42.0,,,12.4,7.0,-45.2,-18.0,-8.8,,-29.3,31.2,-26.0,,-13.0,109.5,17.4,-57.1,-24.0,False,True,True,True,True,False,False,False,False,True,False,True,True,,False,False,True,False,False,True,False,False,False,False,True,True,True,,False,True,False,,,True,True,False,False,True,,False,False,False,,True,False,False,False,False
Virginia,5117,4747.7,4734.6,4783.6,4996.0,4768.9,4933.0,4826.0,4862.2,4888.0,4932.7,4693.0,4820.4,4954.7,4891.1,,6275.8,4920.0,5098.1,5112.8,4988.0,5084.6,5155.0,5094.0,5064.8,5121.0,4976.4,4985.5,4968.3,,4760.3,5028.9,4937.0,,4773.8,5364.9,4963.0,5373.7,4836.0,4745.0,,5000.8,5013.7,5134.0,,4819.0,4711.5,4817.2,4476.0,5109.0,-369.3,-382.4,-333.4,-121.0,-348.1,-184.0,-291.0,-254.8,-229.0,-184.3,-424.0,-296.6,-162.3,-225.9,,1158.8,-197.0,-18.9,-4.2,-129.0,-32.4,38.0,-23.0,-52.2,4.0,-140.6,-131.5,-148.7,,-356.7,-88.1,-180.0,,-343.2,247.9,-154.0,256.7,-281.0,-372.0,,-116.2,-103.3,17.0,,-298.0,-405.5,-299.8,-641.0,-8.0,False,True,True,True,True,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,False,,True,True,True,,True,False,True,False,True
Washington,3461,3781.3,4726.1,3818.6,4120.0,3813.3,3755.0,3500.0,3700.3,3457.0,3650.3,4343.0,3389.6,3923.0,3564.4,,3417.4,3755.0,3777.1,3759.2,3815.0,3808.3,3753.0,3347.0,3686.7,3814.0,3961.0,3787.1,3847.6,,3352.7,3742.7,3851.0,,3403.7,3986.3,3903.0,4641.3,3678.0,4039.9,,3644.9,3972.1,3682.0,,3730.0,3454.5,,3116.3,3397.0,278.3,1223.1,315.6,617.0,310.3,252.0,-3.0,197.3,-46.0,147.3,840.0,-113.4,420.0,61.4,,-85.6,252.0,274.1,256.2,312.0,305.3,250.0,-156.0,183.7,311.0,458.0,284.1,344.6,,-150.3,239.7,348.0,,-99.3,483.3,400.0,1138.3,175.0,536.9,,141.9,469.1,179.0,,227.0,-48.5,,-386.7,-106.0,False,False,False,False,True,True,True,True,True,False,True,False,True,,True,True,True,True,False,False,True,True,True,False,False,False,False,,True,True,False,,True,False,False,False,True,False,,True,False,True,,True,True,,False,True
West Virginia,1373,1258.4,1261.5,1268.2,1436.0,1273.0,1295.0,1131.0,1295.8,916.0,1471.0,1467.0,1341.5,1442.6,1299.3,,1475.4,1212.0,1419.3,1376.7,1234.0,1250.5,1568.8,1200.0,1291.3,1390.0,1514.9,1289.5,1286.6,,955.7,1345.5,1121.0,,,1323.1,1387.0,1359.3,1333.0,1403.4,,1257.4,1556.4,1346.0,,1293.0,1141.0,1137.1,974.7,1289.0,-114.6,-111.5,-104.8,63.0,-100.0,-78.0,-242.0,-77.2,-457.0,98.0,94.0,-31.5,69.6,-73.7,,102.4,-161.0,46.3,3.7,-139.0,-122.5,195.8,-173.0,-81.7,17.0,141.9,-83.5,-86.4,,-417.3,-27.5,-252.0,,,-49.9,14.0,-13.7,-40.0,30.4,,-115.6,183.4,-27.0,,-80.0,-232.0,-235.9,-398.3,-84.0,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,False,True,True,False,False,False,False,True,True,False,True,True,,False,True,False,,,True,True,True,True,True,,False,False,True,,True,False,False,False,True
Wisconsin,5256,5745.6,6009.1,5693.5,6143.0,5813.7,5524.0,4907.0,5390.7,4362.0,4758.8,4502.0,5074.2,5260.6,4884.0,,5796.1,5668.0,5528.5,4648.5,5601.0,5047.8,5169.6,5920.5,5732.7,5814.0,6037.5,5642.8,5832.4,4926.0,5302.6,5889.3,5524.0,,5062.3,6281.2,5489.0,4138.6,5131.0,5824.2,,5868.4,6067.9,4984.0,5183.9,5188.0,9660.0,5421.7,4602.5,4782.0,489.6,753.1,437.5,887.0,557.7,268.0,-349.0,134.7,-894.0,-497.2,-754.0,-181.8,4.6,-372.0,,540.1,412.0,272.5,-607.5,345.0,-208.2,-86.4,664.5,476.7,558.0,781.5,386.8,576.4,-330.0,46.6,633.3,268.0,,-193.7,1025.2,233.0,-1117.4,-125.0,568.2,,612.4,811.9,-272.0,-72.1,-68.0,4404.0,165.7,-653.5,-474.0,False,True,False,False,True,True,True,False,False,False,True,True,True,,False,True,True,False,True,True,True,False,True,False,False,True,False,True,True,False,True,,True,False,True,False,True,False,,False,False,True,True,True,False,True,False,True
Wyoming,438,462.7,504.7,469.6,438.0,470.0,444.0,367.0,425.9,310.0,477.9,418.0,495.1,498.5,394.7,,595.8,459.0,417.4,399.5,522.0,362.4,394.7,409.0,386.3,507.0,556.3,505.8,512.5,,485.4,462.3,493.5,,,422.2,373.0,379.3,489.0,351.8,,522.4,593.8,392.0,,381.0,400.0,469.6,322.3,433.0,24.7,66.7,31.6,0.0,32.0,6.0,-71.0,-12.1,-128.0,39.9,-20.0,57.1,60.5,-43.3,,157.8,21.0,-20.6,-38.5,84.0,-75.6,-43.3,-29.0,-51.7,69.0,118.3,67.8,74.5,,47.4,24.3,55.5,,,-15.8,-65.0,-58.7,51.0,-86.2,,84.4,155.8,-46.0,,-57.0,-38.0,31.6,-115.7,-5.0,False,False,True,False,True,False,True,False,False,True,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,True,False,False,False,False,,False,False,False,,False,False,False,False,True
US,356522,341799.3,360384.0,341760.7,,341740.0,346436.0,336722.0,344769.1,344520.0,337633.0,339549.0,336742.8,349626.9,,351224.0,351199.4,342053.0,353673.0,345211.1,346480.0,329625.0,355653.0,352240.5,356101.2,347563.0,354241.3,347545.1,349592.1,,326409.7,347901.1,345546.5,347201.5,354682.4,391864.2,355119.0,341409.6,341038.0,344364.7,360834.0,,356649.0,352330.0,339578.8,346114.0,355677.5,,302486.2,358672.0,-11471.7,7113.0,-11510.3,,-11531.0,-6835.0,-16549.0,-8501.9,-8751.0,-15638.0,-13722.0,-16528.2,-3644.1,,-2047.0,-2071.6,-11218.0,402.0,-8059.9,-6791.0,-23646.0,2382.0,-1030.5,2830.2,-5708.0,970.3,-5725.9,-3678.9,,-26861.3,-5369.9,-7724.5,-6069.5,1411.4,38593.2,1848.0,-11861.4,-12233.0,-8906.3,7563.0,,3378.0,-941.0,-13692.2,-7157.0,2406.5,,-50784.8,5401.0,True,False,,False,True,False,True,True,False,False,False,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,True,True,False,True,False,False,True,True,,True,True,False,True,True,,False,True
