,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
New Hampshire,8435,10796.0,7934.8,10958.4,8798.0,12079.0,6070.0,,10017.7,5904.0,13328.2,,10429.2,,6143.9,11982.0,6638.1,10715.0,9121.9,12421.5,6843.7,8169.5,7477.8,7445.8,11811.3,7066.5,15907.0,,8573.9,7835.0,12124.0,,15435.7,13240.9,9992.0,,2361.0,-500.2,2523.4,363.0,3644.0,-2365.0,,1582.7,-2531.0,4893.2,,1994.2,,-2291.1,3547.0,-1796.9,2280.0,686.9,3986.5,-1591.3,-265.5,-957.2,-989.2,3376.3,-1368.5,7472.0,,138.9,-600.0,3689.0,,7000.7,4805.9,1557.0,,True,False,True,False,False,,True,False,False,,True,,True,False,True,True,True,False,True,True,True,True,False,True,False,,True,True,False,,False,False,True,
New Jersey,92255,101168.0,64061.3,105462.9,87333.0,90119.0,92947.0,,88904.4,88611.0,112632.5,,103914.6,,77925.5,88050.0,73208.5,83898.0,75309.2,100419.5,74073.3,82361.5,78598.2,97654.9,83473.5,79492.2,106268.0,,89845.9,100201.0,58680.4,,69013.8,146650.7,85341.0,,8913.0,-28193.7,13207.9,-4922.0,-2136.0,692.0,,-3350.6,-3644.0,20377.5,,11659.6,,-14329.5,-4205.0,-19046.5,-8357.0,-16945.8,8164.5,-18181.7,-9893.5,-13656.8,5399.9,-8781.5,-12762.8,14013.0,,-2409.1,7946.0,-33574.6,,-23241.2,54395.7,-6914.0,,False,False,True,True,True,,True,True,False,,False,,False,True,False,True,False,True,False,False,False,True,True,False,False,,True,True,False,,False,False,True,
New Mexico,9528,14700.0,9447.1,14501.5,10875.0,11339.0,12431.0,,14084.4,13211.0,11140.7,,12638.7,,9314.8,17040.0,6376.6,14849.0,11045.5,10670.0,11551.7,8044.5,10413.1,6171.1,7203.6,8452.5,13485.0,,8738.1,,17153.7,,19428.6,17511.4,10840.0,,5172.0,-80.9,4973.5,1347.0,1811.0,2903.0,,4556.4,3683.0,1612.7,,3110.7,,-213.2,7512.0,-3151.4,5321.0,1517.5,1142.0,2023.7,-1483.5,885.1,-3356.9,-2324.4,-1075.5,3957.0,,-789.9,,7625.7,,9900.6,7983.4,1312.0,,True,True,True,True,True,,True,True,True,,True,,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,,False,,False,False,True,
New York,216692,246412.0,160975.9,235944.1,199606.0,225741.0,262491.0,,154941.7,186029.0,320914.2,,205752.0,,168978.1,217487.0,291932.9,169155.0,232698.0,186490.5,161103.2,153107.5,182228.4,216379.3,182969.8,182671.3,235468.0,,241138.9,207418.0,259339.7,,274397.9,191653.1,184919.0,,29720.0,-55716.1,19252.1,-17086.0,9049.0,45799.0,,-61750.3,-30663.0,104222.2,,-10940.0,,-47713.9,795.0,75240.9,-47537.0,16006.0,-30201.5,-55588.8,-63584.5,-34463.6,-312.7,-33722.2,-34020.7,18776.0,,24446.9,-9274.0,42647.7,,57705.9,-25038.9,-31773.0,,False,True,True,True,False,,False,False,False,,True,,False,True,False,False,True,False,False,False,False,True,False,False,True,,True,True,False,,False,True,False,
North Carolina,80655,155576.0,94600.4,154312.3,124440.0,118198.0,197902.0,,144825.4,75617.0,181146.4,,109082.9,,134301.3,165267.0,103649.7,167379.0,95888.6,125132.0,108838.4,83530.0,110822.8,70626.5,98233.3,122418.9,133540.0,,114321.6,,128167.9,,145233.2,170198.7,122072.0,,74921.0,13945.4,73657.3,43785.0,37543.0,117247.0,,64170.4,-5038.0,100491.4,,28427.9,,53646.3,84612.0,22994.7,86724.0,15233.6,44477.0,28183.4,2875.0,30167.8,-10028.5,17578.3,41763.9,52885.0,,33666.6,,47512.9,,64578.2,89543.7,41417.0,,True,True,True,True,False,,True,True,False,,True,,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,,True,,True,False,True,
North Dakota,2260,2180.0,749.8,2079.3,1681.0,5767.0,1238.0,,2171.1,545.0,2318.0,,2021.3,,1333.9,3220.0,660.5,2913.0,3466.8,1757.0,1019.4,1085.0,1772.2,1466.4,410.8,1516.7,9683.0,,1496.8,1640.0,2720.7,,3169.1,4026.5,1732.0,,-80.0,-1510.2,-180.7,-579.0,3507.0,-1022.0,,-88.9,-1715.0,58.0,,-238.7,,-926.1,960.0,-1599.5,653.0,1206.8,-503.0,-1240.6,-1175.0,-487.8,-793.6,-1849.2,-743.3,7423.0,,-763.2,-620.0,460.7,,909.1,1766.5,-528.0,,False,False,False,False,False,,False,False,True,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Ohio,59657,101192.0,65956.4,97561.8,74137.0,105512.0,80738.0,,91724.2,60608.0,101698.1,,74130.8,,59096.6,101929.0,65951.4,94951.0,72438.6,73156.5,66977.9,55812.5,68670.1,44653.1,151059.2,56418.5,134312.0,,47322.5,71617.0,35723.9,,104500.0,93630.8,73559.0,,41535.0,6299.4,37904.8,14480.0,45855.0,21081.0,,32067.2,951.0,42041.1,,14473.8,,-560.4,42272.0,6294.4,35294.0,12781.6,13499.5,7320.9,-3844.5,9013.1,-15003.9,91402.2,-3238.5,74655.0,,-12334.5,11960.0,-23933.1,,44843.0,33973.8,13902.0,,True,True,True,False,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,False,,True,True,True,,False,True,True,
Oklahoma,26756,60760.0,38041.0,62592.7,47215.0,47323.0,57991.0,,54087.9,42955.0,77475.5,,38212.2,,47021.0,59220.0,37620.0,61210.0,38076.0,43017.0,38418.9,34949.5,42450.6,45807.0,59848.0,39376.0,55181.0,,38825.0,86936.0,29369.5,,43724.3,65281.2,49971.0,,34004.0,11285.0,35836.7,20459.0,20567.0,31235.0,,27331.9,16199.0,50719.5,,11456.2,,20265.0,32464.0,10864.0,34454.0,11320.0,16261.0,11662.9,8193.5,15694.6,19051.0,33092.0,12620.0,28425.0,,12069.0,60180.0,2613.5,,16968.3,38525.2,23215.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,False,True,,True,False,True,
Oregon,10338,17300.0,9674.2,17504.1,15036.0,19705.0,19216.0,,16634.6,14371.0,15387.7,,13930.1,,12618.3,16108.0,11314.1,17223.0,14570.5,17860.0,13759.4,14655.0,14300.4,4265.3,15192.6,11812.5,26654.0,,10444.2,19746.0,23932.4,,13852.5,16072.1,19234.0,,6962.0,-663.8,7166.1,4698.0,9367.0,8878.0,,6296.6,4033.0,5049.7,,3592.1,,2280.3,5770.0,976.1,6885.0,4232.5,7522.0,3421.4,4317.0,3962.4,-6072.7,4854.6,1474.5,16316.0,,106.2,9408.0,13594.4,,3514.5,5734.1,8896.0,,True,False,True,False,False,,True,True,True,,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,,True,False,False,,True,True,False,
Pennsylvania,79905,106988.0,75758.3,102545.1,91749.0,114169.0,102215.0,,102823.9,37927.0,115281.6,,110500.9,,89455.3,108286.0,109807.6,82980.0,97046.2,85437.0,86994.2,91248.5,85662.3,58543.4,83738.3,80701.1,136159.0,,83268.2,,101974.7,,98491.2,128107.6,81964.0,,27083.0,-4146.7,22640.1,11844.0,34264.0,22310.0,,22918.9,-41978.0,35376.6,,30595.9,,9550.3,28381.0,29902.6,3075.0,17141.2,5532.0,7089.2,11343.5,5757.3,-21361.6,3833.3,796.1,56254.0,,3363.2,,22069.7,,18586.2,48202.6,2059.0,,True,True,True,False,True,,True,False,False,,False,,True,False,False,True,True,True,True,True,True,True,True,True,False,,True,,True,,True,False,True,
Rhode Island,10230,13812.0,8281.4,14789.2,10769.0,11670.0,22602.0,,12309.4,8296.0,2170179.0,,15014.9,,8236.4,15688.0,8049.5,11884.0,9899.0,11594.5,11660.0,7826.5,9811.3,9322.0,17058.4,9501.9,14388.0,,3924.9,11189.0,5078.4,,12023.8,18612.4,8500.0,,3582.0,-1948.6,4559.2,539.0,1440.0,12372.0,,2079.4,-1934.0,2159949.0,,4784.9,,-1993.6,5458.0,-2180.5,1654.0,-331.0,1364.5,1430.0,-2403.5,-418.7,-908.0,6828.4,-728.1,4158.0,,-6305.1,959.0,-5151.6,,1793.8,8382.4,-1730.0,,True,False,True,True,False,,True,True,False,,False,,True,False,True,True,True,True,True,True,True,True,False,True,False,,False,True,False,,True,False,True,
South Carolina,61476,92784.0,60023.5,94607.7,75605.0,68720.0,84007.0,,84567.7,57397.0,129823.0,,83182.4,,73285.2,84548.0,54061.7,98461.0,56031.1,61422.0,66017.4,53111.5,66081.8,62192.8,97873.7,69576.0,75291.0,,65555.1,110673.0,108533.4,,80808.3,91626.6,62417.0,,31308.0,-1452.5,33131.7,14129.0,7244.0,22531.0,,23091.7,-4079.0,68347.0,,21706.4,,11809.2,23072.0,-7414.3,36985.0,-5444.9,-54.0,4541.4,-8364.5,4605.8,716.8,36397.7,8100.0,13815.0,,4079.1,49197.0,47057.4,,19332.3,30150.6,941.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,True,False,True,True,,True,False,False,,True,True,True,
South Dakota,4246,4248.0,1829.4,4448.5,2866.0,7537.0,2359.0,,3592.6,3707.0,5469.3,,4517.3,,2507.2,3642.0,3088.0,4184.0,4290.0,2736.0,2452.1,1824.5,2738.3,800.9,1639.8,2021.6,11701.0,,1603.1,2987.0,4803.2,,4436.4,2268.9,2889.0,,2.0,-2416.6,202.5,-1380.0,3291.0,-1887.0,,-653.4,-539.0,1223.3,,271.3,,-1738.8,-604.0,-1158.0,-62.0,44.0,-1510.0,-1793.9,-2421.5,-1507.7,-3445.1,-2606.2,-2224.4,7455.0,,-2642.9,-1259.0,557.2,,190.4,-1977.1,-1357.0,,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Tennessee,39993,69884.0,44396.0,68410.6,54830.0,62846.0,75654.0,,59909.1,21130.0,73162.5,,50059.1,,49766.0,71307.0,33864.5,66509.0,48878.0,35129.5,38443.6,46337.5,53352.0,23703.6,84936.0,35567.7,79149.0,,32635.6,,55773.9,,61431.1,65350.1,56457.0,,29891.0,4403.0,28417.6,14837.0,22853.0,35661.0,,19916.1,-18863.0,33169.5,,10066.1,,9773.0,31314.0,-6128.5,26516.0,8885.0,-4863.5,-1549.4,6344.5,13359.0,-16289.4,44943.0,-4425.3,39156.0,,-7357.4,,15780.9,,21438.1,25357.1,16464.0,,True,True,True,True,False,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,False,,True,,True,,True,True,True,
Texas,206186,492956.0,297038.7,473485.1,403496.0,367980.0,525236.0,,490839.6,451427.0,361284.6,,455393.0,,362101.2,481221.0,368663.7,512724.0,329259.3,455561.0,340386.8,318995.5,281667.1,577270.2,278192.6,384851.6,403126.0,,321725.6,,285340.5,,429408.8,558600.6,362658.0,,286770.0,90852.7,267299.1,197310.0,161794.0,319050.0,,284653.6,245241.0,155098.6,,249207.0,,155915.2,275035.0,162477.7,306538.0,123073.3,249375.0,134200.8,112809.5,75481.1,371084.2,72006.6,178665.6,196940.0,,115539.6,,79154.5,,223222.8,352414.6,156472.0,,True,True,True,True,False,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,,True,,True,False,True,
Utah,20738,33080.0,15524.7,32185.1,25134.0,26321.0,26867.0,,29677.0,22081.0,43851.3,,24595.3,,20771.1,33218.0,9036.6,27055.0,21188.4,18039.0,18249.8,15899.5,23282.3,26473.4,32465.3,18631.5,34139.0,,26661.8,29746.0,11973.2,,21461.0,36156.1,28345.0,,12342.0,-5213.3,11447.1,4396.0,5583.0,6129.0,,8939.0,1343.0,23113.3,,3857.3,,33.1,12480.0,-11701.4,6317.0,450.4,-2699.0,-2488.2,-4838.5,2544.3,5735.4,11727.3,-2106.5,13401.0,,5923.8,9008.0,-8764.8,,723.0,15418.1,7607.0,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,True,False,True,
Vermont,3198,3740.0,1146.9,3763.2,3735.0,5359.0,5036.0,,3940.2,7626.0,2653.8,,2808.7,,3741.5,4090.0,4376.4,3786.0,2941.8,3922.5,4013.9,3596.5,3084.8,3216.3,3233.6,3449.6,7660.0,,3341.2,,4503.8,,2494.6,4087.2,4005.0,,542.0,-2051.1,565.2,537.0,2161.0,1838.0,,742.2,4428.0,-544.2,,-389.3,,543.5,892.0,1178.4,588.0,-256.2,724.5,815.9,398.5,-113.2,18.3,35.6,251.6,4462.0,,143.2,,1305.8,,-703.4,889.2,807.0,,False,False,True,False,False,,False,False,False,,True,,False,False,False,False,True,False,False,True,True,True,True,True,False,,True,,False,,False,False,False,
Virginia,58361,95820.0,63847.2,93218.8,75738.0,78790.0,66956.0,,91955.6,63855.0,110257.5,,100973.5,,63986.5,90391.0,96857.5,78055.0,71305.2,91230.5,62756.3,50800.5,81413.2,74772.8,56815.0,79536.7,86059.0,,76536.6,,105976.1,,45146.8,110574.0,67772.0,,37459.0,5486.2,34857.8,17377.0,20429.0,8595.0,,33594.6,5494.0,51896.5,,42612.5,,5625.5,32030.0,38496.5,19694.0,12944.2,32869.5,4395.3,-7560.5,23052.2,16411.8,-1546.0,21175.7,27698.0,,18175.6,,47615.1,,-13214.2,52213.0,9411.0,,True,True,True,True,True,,True,True,False,,False,,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,,False,,True,False,True,
Washington,24386,34196.0,26855.5,29379.5,29924.0,39085.0,27569.0,,27112.9,36209.0,13901.1,,22572.9,,28628.3,40477.0,27731.3,33548.0,39674.5,34153.5,33513.4,28697.5,25026.1,9854.0,52400.2,21375.1,43299.0,,28715.7,33681.0,52422.2,,28472.8,46544.5,29370.0,,9810.0,2469.5,4993.5,5538.0,14699.0,3183.0,,2726.9,11823.0,-10484.9,,-1813.1,,4242.3,16091.0,3345.3,9162.0,15288.5,9767.5,9127.4,4311.5,640.1,-14532.0,28014.2,-3010.9,18913.0,,4329.7,9295.0,28036.2,,4086.8,22158.5,4984.0,,True,True,True,False,True,,True,False,False,,True,,True,False,True,True,False,True,True,True,True,False,False,True,False,,True,True,False,,True,False,True,
West Virginia,9100,15400.0,10962.8,15340.8,11842.0,15128.0,11930.0,,14638.9,12502.0,20002.8,,11210.6,,9469.6,16357.0,13572.0,13242.0,11204.7,13419.0,9046.0,8798.0,11086.8,11650.2,9699.4,10356.6,18689.0,,10467.3,19963.0,12523.0,,11632.2,12379.0,11317.0,,6300.0,1862.8,6240.8,2742.0,6028.0,2830.0,,5538.9,3402.0,10902.8,,2110.6,,369.6,7257.0,4472.0,4142.0,2104.7,4319.0,-54.0,-302.0,1986.8,2550.2,599.4,1256.6,9589.0,,1367.3,10863.0,3423.0,,2532.2,3279.0,2217.0,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,,True,True,True,
Wisconsin,21259,36076.0,21450.8,36944.3,27362.0,53285.0,39286.0,,32583.1,21376.0,37376.5,,27504.4,,22436.6,33528.0,17021.9,34825.0,40337.4,24737.0,25034.6,21464.0,26720.3,4530.6,26995.3,20114.1,75135.0,,20067.2,40550.0,10634.4,,29602.6,20053.2,27215.0,,14817.0,191.8,15685.3,6103.0,32026.0,18027.0,,11324.1,117.0,16117.5,,6245.4,,1177.6,12269.0,-4237.1,13566.0,19078.4,3478.0,3775.6,205.0,5461.3,-16728.4,5736.3,-1144.9,53876.0,,-1191.8,19291.0,-10624.6,,8343.6,-1205.8,5956.0,,True,False,True,False,False,,True,True,False,,True,,True,True,True,True,False,True,True,True,True,False,True,True,False,,True,False,True,,True,True,True,
Wyoming,2146,3656.0,1997.1,3142.9,2650.0,4533.0,2813.0,,2896.4,9677.0,3189.9,,3624.7,,1370.5,5096.0,987.6,3651.0,2653.9,3001.0,2393.0,1352.0,2025.4,517.2,3529.9,1702.3,6599.0,,2246.1,5027.0,2974.8,,2063.0,3148.1,2639.0,,1510.0,-148.9,996.9,504.0,2387.0,667.0,,750.4,7531.0,1043.9,,1478.7,,-775.5,2950.0,-1158.4,1505.0,507.9,855.0,247.0,-794.0,-120.6,-1628.8,1383.9,-443.7,4453.0,,100.1,2881.0,828.8,,-83.0,1002.1,493.0,,True,True,True,False,True,,True,False,True,,True,,True,False,True,True,True,True,True,True,True,False,True,True,False,,True,False,True,,True,True,True,
US,2041921,3371608.0,2288899.1,3430865.8,2574290.0,2672192.0,3541052.0,2165218.0,3334801.9,2227044.0,12047256.7,2951104.8,,3342121.0,2110152.7,3269419.0,2471625.5,2987805.0,2742194.7,,2162974.4,2091012.0,2316894.3,2419520.7,2838569.8,2277355.9,2641654.0,2968171.5,2221134.0,2847977.0,2842306.4,2671559.0,2351936.4,2786668.0,2506078.0,2272767.8,1329687.0,246978.1,1388944.8,532369.0,630271.0,1499131.0,123297.0,1292880.9,185123.0,10005335.7,909183.8,,1300200.0,68231.7,1227498.0,429704.5,945884.0,700273.7,,121053.4,49091.0,274973.3,377599.7,796648.8,235434.9,599733.0,926250.5,179213.0,806056.0,800385.4,629638.0,310015.4,744747.0,464157.0,230846.8,True,False,True,True,False,True,True,True,False,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
