,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
17119,3033,7200.0,15442.0,,,,,,4145.0,1674.6,4140.2,5128.0,,5562.6,3122.0,,4167.0,12409.0,,,,,,1112.0,-1358.4,1107.2,2095.0,,2529.6,89.0,,False,,,,,,True,True,True,True,,True,True,
17121,225,750.0,396.0,,,,,,625.0,122.3,598.4,528.0,,641.5,,,525.0,171.0,,,,,,400.0,-102.7,373.4,303.0,,416.5,,,True,,,,,,True,True,True,True,,True,,
17123,146,276.0,380.0,,,,,,132.0,87.3,114.5,244.0,,,,,130.0,234.0,,,,,,-14.0,-58.7,-31.5,98.0,,,,,False,,,,,,True,True,True,True,,,,
17125,99,186.0,32.0,,,,,,170.0,19.7,160.7,159.0,,,,,87.0,-67.0,,,,,,71.0,-79.3,61.7,60.0,,,,,True,,,,,,True,True,True,True,,,,
17127,217,318.0,243.0,,,,,,298.0,72.6,153.6,241.0,,,,,101.0,26.0,,,,,,81.0,-144.4,-63.4,24.0,,,,,True,,,,,,True,False,True,True,,,,
17129,130,288.0,154.0,,,,,,163.0,105.7,161.1,266.0,,,,,158.0,24.0,,,,,,33.0,-24.3,31.1,136.0,,,,,True,,,,,,True,True,True,True,,,,
17131,107,90.0,26.0,,,,,,199.0,16.0,106.5,64.0,,,,,-17.0,-81.0,,,,,,92.0,-91.0,-0.5,-43.0,,,,,False,,,,,,False,False,True,False,,,,
17133,423,804.0,487.0,,,,,,509.0,125.7,445.6,465.0,,978.1,,,381.0,64.0,,,,,,86.0,-297.3,22.6,42.0,,555.1,,,True,,,,,,True,True,True,True,,False,,
17135,388,888.0,275.0,,,,,,484.0,217.5,761.1,365.5,,2029.6,,,500.0,-113.0,,,,,,96.0,-170.5,373.1,-22.5,,1641.6,,,True,,,,,,True,True,True,True,,False,,
17137,304,432.0,165.0,,,,,,465.0,88.5,332.2,447.0,,286.3,,,128.0,-139.0,,,,,,161.0,-215.5,28.2,143.0,,-17.7,,,False,,,,,,False,False,True,False,,True,,
17139,92,306.0,137.0,,,,,,257.0,66.0,154.8,224.0,,,,,214.0,45.0,,,,,,165.0,-26.0,62.8,132.0,,,,,True,,,,,,True,True,True,True,,,,
17141,376,738.0,264.0,,,,,,569.0,76.3,576.3,417.5,,1289.2,,,362.0,-112.0,,,,,,193.0,-299.7,200.3,41.5,,913.2,,,True,,,,,,True,True,True,True,,False,,
17143,1604,3228.0,3322.0,,,,,,2209.0,754.8,2424.0,2447.5,,1623.5,1426.0,,1624.0,1718.0,,,,,,605.0,-849.2,820.0,843.5,,19.5,-178.0,,False,,,,,,True,True,True,True,,True,True,
17145,307,912.0,501.0,,,,,,366.0,130.7,402.3,415.0,,339.5,,,605.0,194.0,,,,,,59.0,-176.3,95.3,108.0,,32.5,,,True,,,,,,True,True,True,True,,True,,
17147,149,186.0,40.0,,,,,,268.0,38.8,170.8,115.0,,,,,37.0,-109.0,,,,,,119.0,-110.2,21.8,-34.0,,,,,False,,,,,,False,False,True,True,,,,
17149,112,330.0,216.0,,,,,,208.0,26.9,171.4,317.0,,,,,218.0,104.0,,,,,,96.0,-85.1,59.4,205.0,,,,,True,,,,,,True,True,True,True,,,,
17151,30,78.0,16.0,,,,,,74.0,22.8,40.6,67.0,,,,,48.0,-14.0,,,,,,44.0,-7.2,10.6,37.0,,,,,True,,,,,,True,True,True,True,,,,
17153,52,84.0,9.0,,,,,,93.0,53.6,57.2,56.0,,,,,32.0,-43.0,,,,,,41.0,1.6,5.2,4.0,,,,,False,,,,,,False,True,True,True,,,,
17155,66,72.0,5.0,,,,,,71.0,2.7,27.3,21.0,,,,,6.0,-61.0,,,,,,5.0,-63.3,-38.7,-45.0,,,,,False,,,,,,True,False,False,False,,,,
17157,184,630.0,373.0,,,,,,584.0,107.8,481.3,394.0,,457.7,,,446.0,189.0,,,,,,400.0,-76.2,297.3,210.0,,273.7,,,True,,,,,,True,True,True,True,,True,,
17159,67,282.0,45.0,,,,,,267.0,36.6,190.0,123.0,,,,,215.0,-22.0,,,,,,200.0,-30.4,123.0,56.0,,,,,True,,,,,,True,True,True,True,,,,
17161,1001,2178.0,1929.0,,,,,,1938.0,640.2,1378.0,1745.5,,2685.2,941.0,,1177.0,928.0,,,,,,937.0,-360.8,377.0,744.5,,1684.2,-60.0,,True,,,,,,True,True,True,True,,False,True,
17163,2810,5766.0,2365.0,,,,,,3575.0,1265.7,4144.0,3979.0,,3789.9,2476.0,,2956.0,-445.0,,,,,,765.0,-1544.3,1334.0,1169.0,,979.9,-334.0,,True,,,,,,True,True,True,True,,True,True,
17165,253,462.0,433.0,,,,,,449.0,49.5,308.5,262.0,,,,,209.0,180.0,,,,,,196.0,-203.5,55.5,9.0,,,,,True,,,,,,True,True,True,True,,,,
17167,1429,2616.0,2501.0,,,,,,2759.0,1006.9,1817.6,2770.0,,1651.6,2132.0,,1187.0,1072.0,,,,,,1330.0,-422.1,388.6,1341.0,,222.6,703.0,,True,,,,,,False,True,True,False,,True,True,
17169,38,186.0,1.0,,,,,,113.0,66.9,101.2,156.0,,,,,148.0,-37.0,,,,,,75.0,28.9,63.2,118.0,,,,,True,,,,,,True,True,True,True,,,,
17171,42,204.0,50.0,,,,,,61.0,54.7,89.3,284.0,,,,,162.0,8.0,,,,,,19.0,12.7,47.3,242.0,,,,,True,,,,,,True,True,True,False,,,,
17173,145,360.0,320.0,,,,,,410.0,54.1,228.9,296.0,,,,,215.0,175.0,,,,,,265.0,-90.9,83.9,151.0,,,,,True,,,,,,False,True,True,True,,,,
17175,46,30.0,2.0,,,,,,64.0,1.2,25.3,5.0,,,,,-16.0,-44.0,,,,,,18.0,-44.8,-20.7,-41.0,,,,,False,,,,,,False,False,False,False,,,,
17177,497,738.0,857.0,,,,,,510.0,146.0,492.6,753.0,,678.2,,,241.0,360.0,,,,,,13.0,-351.0,-4.4,256.0,,181.2,,,False,,,,,,True,False,True,False,,True,,
17179,1403,2538.0,1877.0,,,,,,1950.0,458.1,1733.3,1825.0,,1663.4,976.0,,1135.0,474.0,,,,,,547.0,-944.9,330.3,422.0,,260.4,-427.0,,True,,,,,,True,True,True,True,,True,True,
17181,176,396.0,84.0,,,,,,293.0,53.4,340.6,195.0,,,,,220.0,-92.0,,,,,,117.0,-122.6,164.6,19.0,,,,,True,,,,,,True,True,True,True,,,,
17183,877,2124.0,2699.0,,,,,,1365.0,490.8,1098.4,1557.5,,1896.5,,,1247.0,1822.0,,,,,,488.0,-386.2,221.4,680.5,,1019.5,,,False,,,,,,True,True,True,True,,True,,
17185,89,318.0,102.0,,,,,,220.0,28.9,131.8,252.0,,,,,229.0,13.0,,,,,,131.0,-60.1,42.8,163.0,,,,,True,,,,,,True,True,True,True,,,,
17187,66,144.0,17.0,,,,,,241.0,14.8,114.4,71.0,,,,,78.0,-49.0,,,,,,175.0,-51.2,48.4,5.0,,,,,True,,,,,,False,True,True,True,,,,
17189,97,300.0,110.0,,,,,,235.0,43.8,242.5,162.0,,,,,203.0,13.0,,,,,,138.0,-53.2,145.5,65.0,,,,,True,,,,,,True,True,True,True,,,,
17191,145,270.0,104.0,,,,,,316.0,65.6,238.1,183.0,,,,,125.0,-41.0,,,,,,171.0,-79.4,93.1,38.0,,,,,True,,,,,,False,True,True,True,,,,
17193,226,420.0,401.0,,,,,,237.0,43.4,209.0,462.0,,,,,194.0,175.0,,,,,,11.0,-182.6,-17.0,236.0,,,,,True,,,,,,True,True,True,False,,,,
17195,530,1152.0,872.0,,,,,,689.0,207.2,950.6,659.0,,572.3,,,622.0,342.0,,,,,,159.0,-322.8,420.6,129.0,,42.3,,,True,,,,,,True,True,True,True,,True,,
17197,6262,11112.0,4526.0,,,,,,11157.0,2615.8,7881.4,8230.5,,11306.3,4614.0,,4850.0,-1736.0,,,,,,4895.0,-3646.2,1619.4,1968.5,,5044.3,-1648.0,,True,,,,,,False,True,True,True,,False,True,
17199,534,1248.0,269.0,,,,,,1238.0,172.3,956.9,845.0,,871.3,,,714.0,-265.0,,,,,,704.0,-361.7,422.9,311.0,,337.3,,,True,,,,,,True,True,True,True,,True,,
17201,1747,3636.0,6673.0,,,,,,3321.0,758.8,3925.4,2513.0,,2059.6,1596.0,,1889.0,4926.0,,,,,,1574.0,-988.2,2178.4,766.0,,312.6,-151.0,,False,,,,,,True,True,False,True,,True,True,
17203,373,1098.0,1585.0,,,,,,543.0,206.5,486.8,980.0,,422.3,,,725.0,1212.0,,,,,,170.0,-166.5,113.8,607.0,,49.3,,,False,,,,,,True,True,True,True,,True,,
18001,245,390.0,81.0,,,,,,820.0,68.3,347.9,384.0,,,,,145.0,-164.0,,,,,,575.0,-176.7,102.9,139.0,,,,,False,,,,,,False,False,True,True,,,,
18003,3299,6036.0,1461.0,,,,,,7791.0,959.8,6517.2,3711.0,,6697.7,2228.0,,2737.0,-1838.0,,,,,,4492.0,-2339.2,3218.2,412.0,,3398.7,-1071.0,,True,,,,,,False,True,False,True,,False,True,
18005,1038,1452.0,769.0,,,,,,1677.0,227.7,1075.7,1285.0,,2296.5,,,414.0,-269.0,,,,,,639.0,-810.3,37.7,247.0,,1258.5,,,True,,,,,,False,False,True,True,,False,,
18007,59,150.0,24.0,,,,,,123.0,22.3,98.9,146.0,,,,,91.0,-35.0,,,,,,64.0,-36.7,39.9,87.0,,,,,True,,,,,,True,True,True,True,,,,
18009,97,240.0,83.0,,,,,,247.0,22.7,155.8,108.0,,,,,143.0,-14.0,,,,,,150.0,-74.3,58.8,11.0,,,,,True,,,,,,False,True,True,True,,,,
18011,655,1182.0,605.0,,,,,,965.0,184.6,1060.1,825.0,,1209.7,,,527.0,-50.0,,,,,,310.0,-470.4,405.1,170.0,,554.7,,,True,,,,,,True,True,True,True,,False,,
18013,73,150.0,21.0,,,,,,268.0,15.8,155.6,103.0,,,,,77.0,-52.0,,,,,,195.0,-57.2,82.6,30.0,,,,,True,,,,,,False,True,False,True,,,,
18015,189,402.0,424.0,,,,,,303.0,38.2,318.9,293.0,,,,,213.0,235.0,,,,,,114.0,-150.8,129.9,104.0,,,,,False,,,,,,True,True,True,True,,,,
18017,653,852.0,392.0,,,,,,677.0,109.8,761.5,614.0,,558.5,,,199.0,-261.0,,,,,,24.0,-543.2,108.5,-39.0,,-94.5,,,False,,,,,,True,False,True,True,,True,,
18019,1383,3156.0,1730.0,,,,,,2902.0,607.2,1952.8,2139.0,,2892.9,,,1773.0,347.0,,,,,,1519.0,-775.8,569.8,756.0,,1509.9,,,True,,,,,,True,True,True,True,,True,,
18021,193,366.0,89.0,,,,,,536.0,105.3,314.1,225.0,,480.1,,,173.0,-104.0,,,,,,343.0,-87.7,121.1,32.0,,287.1,,,True,,,,,,False,True,True,True,,False,,
18023,245,564.0,154.0,,,,,,585.0,72.3,645.2,314.0,,233.8,,,319.0,-91.0,,,,,,340.0,-172.7,400.2,69.0,,-11.2,,,True,,,,,,False,True,False,True,,True,,
18025,124,312.0,223.0,,,,,,179.0,99.9,154.2,199.5,,,,,188.0,99.0,,,,,,55.0,-24.1,30.2,75.5,,,,,True,,,,,,True,True,True,True,,,,
18027,155,582.0,137.0,,,,,,648.0,155.0,590.1,449.0,,990.9,,,427.0,-18.0,,,,,,493.0,0.0,435.1,294.0,,835.9,,,True,,,,,,False,True,False,True,,False,,
18029,714,1518.0,820.0,,,,,,1159.0,308.0,1103.6,1131.0,,1396.9,,,804.0,106.0,,,,,,445.0,-406.0,389.6,417.0,,682.9,,,True,,,,,,True,True,True,True,,True,,
18031,240,384.0,88.0,,,,,,564.0,80.1,248.2,331.0,,337.0,,,144.0,-152.0,,,,,,324.0,-159.9,8.2,91.0,,97.0,,,False,,,,,,False,False,True,True,,True,,
18033,403,648.0,385.0,,,,,,832.0,83.2,652.1,618.0,,380.4,,,245.0,-18.0,,,,,,429.0,-319.8,249.1,215.0,,-22.6,,,True,,,,,,False,False,False,True,,True,,
18035,775,2004.0,652.0,,,,,,2404.0,482.8,1786.7,1124.0,,1412.0,,,1229.0,-123.0,,,,,,1629.0,-292.2,1011.7,349.0,,637.0,,,True,,,,,,False,True,True,True,,True,,
18037,381,834.0,186.0,,,,,,848.0,140.3,785.0,341.5,,388.2,,,453.0,-195.0,,,,,,467.0,-240.7,404.0,-39.5,,7.2,,,True,,,,,,False,True,True,True,,True,,
18039,1106,2082.0,1063.0,,,,,,3812.0,412.2,3279.9,1151.5,,1680.4,815.0,,976.0,-43.0,,,,,,2706.0,-693.8,2173.9,45.5,,574.4,-291.0,,True,,,,,,False,True,False,True,,True,True,
18041,256,348.0,80.0,,,,,,558.0,52.9,349.2,237.0,,305.8,,,92.0,-176.0,,,,,,302.0,-203.1,93.2,-19.0,,49.8,,,False,,,,,,False,False,False,True,,True,,
18043,835,1980.0,1771.0,,,,,,1731.0,471.6,1263.4,1441.0,,2034.4,,,1145.0,936.0,,,,,,896.0,-363.4,428.4,606.0,,1199.4,,,True,,,,,,True,True,True,True,,False,,
18045,188,324.0,124.0,,,,,,279.0,64.1,218.7,196.5,,,,,136.0,-64.0,,,,,,91.0,-123.9,30.7,8.5,,,,,True,,,,,,True,True,True,True,,,,
18047,116,348.0,72.0,,,,,,453.0,90.1,246.6,234.0,,,,,232.0,-44.0,,,,,,337.0,-25.9,130.6,118.0,,,,,True,,,,,,False,True,True,True,,,,
18049,160,312.0,109.0,,,,,,303.0,53.6,219.3,249.0,,,,,152.0,-51.0,,,,,,143.0,-106.4,59.3,89.0,,,,,True,,,,,,True,True,True,True,,,,
18051,351,918.0,829.0,,,,,,529.0,188.5,591.2,845.0,,,,,567.0,478.0,,,,,,178.0,-162.5,240.2,494.0,,,,,True,,,,,,True,True,True,True,,,,
18053,471,1152.0,289.0,,,,,,1272.0,200.4,894.7,664.0,,1304.6,,,681.0,-182.0,,,,,,801.0,-270.6,423.7,193.0,,833.6,,,True,,,,,,False,True,True,True,,False,,
18055,229,444.0,84.0,,,,,,548.0,76.1,465.5,420.5,,616.0,,,215.0,-145.0,,,,,,319.0,-152.9,236.5,191.5,,387.0,,,True,,,,,,False,True,False,True,,False,,
18057,3051,7296.0,5837.0,,,,,,6414.0,1236.0,5878.6,4813.0,,6726.6,2632.0,,4245.0,2786.0,,,,,,3363.0,-1815.0,2827.6,1762.0,,3675.6,-419.0,,True,,,,,,True,True,True,True,,True,True,
18059,786,2190.0,2299.0,,,,,,1550.0,318.5,1517.6,1562.0,,2341.7,,,1404.0,1513.0,,,,,,764.0,-467.5,731.6,776.0,,1555.7,,,False,,,,,,True,True,True,True,,False,,
18061,551,1326.0,60.0,,,,,,784.0,285.5,755.5,1040.0,,1677.6,,,775.0,-491.0,,,,,,233.0,-265.5,204.5,489.0,,1126.6,,,True,,,,,,True,True,True,True,,False,,
18063,1554,3648.0,1130.0,,,,,,2942.0,674.4,3017.7,2031.5,,4554.1,1286.0,,2094.0,-424.0,,,,,,1388.0,-879.6,1463.7,477.5,,3000.1,-268.0,,True,,,,,,True,True,True,True,,False,True,
18065,351,1002.0,292.0,,,,,,1133.0,163.6,902.0,704.5,,546.4,,,651.0,-59.0,,,,,,782.0,-187.4,551.0,353.5,,195.4,,,True,,,,,,False,True,True,True,,True,,
18067,876,2412.0,1782.0,,,,,,1498.0,371.0,1719.3,1488.0,,2200.0,,,1536.0,906.0,,,,,,622.0,-505.0,843.3,612.0,,1324.0,,,True,,,,,,True,True,True,True,,True,,
18069,605,624.0,483.0,,,,,,716.0,74.2,511.8,342.0,,541.2,,,19.0,-122.0,,,,,,111.0,-530.8,-93.2,-263.0,,-63.8,,,False,,,,,,False,False,False,False,,False,,
18071,405,714.0,393.0,,,,,,984.0,101.7,502.1,540.0,,1083.2,,,309.0,-12.0,,,,,,579.0,-303.3,97.1,135.0,,678.2,,,True,,,,,,False,True,True,True,,False,,
18073,301,498.0,122.0,,,,,,538.0,171.7,488.2,323.5,,606.4,,,197.0,-179.0,,,,,,237.0,-129.3,187.2,22.5,,305.4,,,True,,,,,,False,True,True,True,,False,,
18075,111,336.0,514.0,,,,,,495.0,60.9,164.0,284.0,,,,,225.0,403.0,,,,,,384.0,-50.1,53.0,173.0,,,,,False,,,,,,False,True,True,True,,,,
18077,329,888.0,1193.0,,,,,,795.0,252.7,475.8,672.5,,951.4,,,559.0,864.0,,,,,,466.0,-76.3,146.8,343.5,,622.4,,,False,,,,,,True,True,True,True,,False,,
18079,178,456.0,553.0,,,,,,626.0,105.9,338.7,277.0,,,,,278.0,375.0,,,,,,448.0,-72.1,160.7,99.0,,,,,False,,,,,,False,True,True,True,,,,
18081,1397,4026.0,2255.0,,,,,,3328.0,689.0,3074.5,2521.0,,2275.4,1520.0,,2629.0,858.0,,,,,,1931.0,-708.0,1677.5,1124.0,,878.4,123.0,,True,,,,,,True,True,True,True,,True,True,
18083,222,612.0,488.0,,,,,,643.0,140.3,470.4,265.5,,511.9,,,390.0,266.0,,,,,,421.0,-81.7,248.4,43.5,,289.9,,,True,,,,,,False,True,True,True,,True,,
18085,528,1338.0,581.0,,,,,,1378.0,174.4,1675.0,686.0,,655.5,,,810.0,53.0,,,,,,850.0,-353.6,1147.0,158.0,,127.5,,,True,,,,,,False,True,False,True,,True,,
18087,136,324.0,46.0,,,,,,702.0,44.3,399.7,220.0,,212.6,,,188.0,-90.0,,,,,,566.0,-91.7,263.7,84.0,,76.6,,,True,,,,,,False,True,False,True,,True,,
18089,3338,7368.0,3548.0,,,,,,7276.0,1555.2,7441.3,4987.0,,11216.7,3201.0,,4030.0,210.0,,,,,,3938.0,-1782.8,4103.3,1649.0,,7878.7,-137.0,,True,,,,,,True,True,False,True,,False,True,
18091,766,2064.0,1175.0,,,,,,1628.0,579.4,2067.2,1671.0,,2311.5,,,1298.0,409.0,,,,,,862.0,-186.6,1301.2,905.0,,1545.5,,,True,,,,,,True,True,False,True,,False,,
18093,285,696.0,343.0,,,,,,784.0,125.7,572.5,454.0,,492.1,,,411.0,58.0,,,,,,499.0,-159.3,287.5,169.0,,207.1,,,True,,,,,,False,True,True,True,,True,,
18095,834,2736.0,2542.0,,,,,,2623.0,550.7,2114.3,1365.0,,1261.3,914.0,,1902.0,1708.0,,,,,,1789.0,-283.3,1280.3,531.0,,427.3,80.0,,True,,,,,,True,True,True,True,,True,True,
18097,7225,17862.0,28126.0,,,,,,17294.0,3469.6,14018.3,11765.0,,30608.2,6196.0,,10637.0,20901.0,,,,,,10069.0,-3755.4,6793.3,4540.0,,23383.2,-1029.0,,False,,,,,,True,True,True,True,,False,True,
18099,412,690.0,553.0,,,,,,789.0,132.2,621.3,512.5,,511.7,,,278.0,141.0,,,,,,377.0,-279.8,209.3,100.5,,99.7,,,True,,,,,,False,False,True,True,,True,,
18101,70,270.0,79.0,,,,,,192.0,27.5,148.1,205.0,,,,,200.0,9.0,,,,,,122.0,-42.5,78.1,135.0,,,,,True,,,,,,True,True,True,True,,,,
18103,368,792.0,544.0,,,,,,578.0,161.6,547.5,639.0,,1025.0,,,424.0,176.0,,,,,,210.0,-206.4,179.5,271.0,,657.0,,,True,,,,,,True,True,True,True,,False,,
18105,1036,2124.0,1858.0,,,,,,2185.0,419.7,2467.9,1593.0,,1299.9,1186.0,,1088.0,822.0,,,,,,1149.0,-616.3,1431.9,557.0,,263.9,150.0,,True,,,,,,False,True,False,True,,True,True,
18107,459,714.0,142.0,,,,,,574.0,140.2,506.6,415.0,,622.7,,,255.0,-317.0,,,,,,115.0,-318.8,47.6,-44.0,,163.7,,,False,,,,,,True,False,True,True,,True,,
18109,717,1734.0,1014.0,,,,,,1276.0,342.5,1086.3,1266.5,,2160.2,,,1017.0,297.0,,,,,,559.0,-374.5,369.3,549.5,,1443.2,,,True,,,,,,True,True,True,True,,False,,
18111,59,114.0,7.0,,,,,,180.0,40.7,122.6,141.0,,,,,55.0,-52.0,,,,,,121.0,-18.3,63.6,82.0,,,,,True,,,,,,False,True,False,False,,,,
18113,401,858.0,260.0,,,,,,814.0,95.7,694.5,433.0,,931.2,,,457.0,-141.0,,,,,,413.0,-305.3,293.5,32.0,,530.2,,,True,,,,,,True,True,True,True,,False,,
18115,53,156.0,26.0,,,,,,106.0,34.1,84.0,159.0,,,,,103.0,-27.0,,,,,,53.0,-18.9,31.0,106.0,,,,,True,,,,,,True,True,True,False,,,,
18117,121,540.0,275.0,,,,,,391.0,115.5,375.0,353.0,,,,,419.0,154.0,,,,,,270.0,-5.5,254.0,232.0,,,,,True,,,,,,True,True,True,True,,,,
18119,179,474.0,223.0,,,,,,312.0,51.9,358.5,263.0,,,,,295.0,44.0,,,,,,133.0,-127.1,179.5,84.0,,,,,True,,,,,,True,True,True,True,,,,
18121,95,174.0,77.0,,,,,,266.0,28.8,136.0,43.0,,,,,79.0,-18.0,,,,,,171.0,-66.2,41.0,-52.0,,,,,True,,,,,,False,True,True,True,,,,
18123,199,534.0,147.0,,,,,,341.0,145.0,380.7,352.0,,,,,335.0,-52.0,,,,,,142.0,-54.0,181.7,153.0,,,,,True,,,,,,True,True,True,True,,,,
18125,117,228.0,57.0,,,,,,208.0,74.0,211.8,217.0,,,,,111.0,-60.0,,,,,,91.0,-43.0,94.8,100.0,,,,,True,,,,,,True,True,True,True,,,,
18127,1285,2646.0,1539.0,,,,,,2513.0,512.2,2685.3,2020.5,,3144.1,1542.0,,1361.0,254.0,,,,,,1228.0,-772.8,1400.3,735.5,,1859.1,257.0,,True,,,,,,True,True,False,True,,False,True,
18129,222,558.0,157.0,,,,,,399.0,115.3,354.4,331.0,,441.6,,,336.0,-65.0,,,,,,177.0,-106.7,132.4,109.0,,219.6,,,True,,,,,,True,True,True,True,,True,,
18131,107,144.0,23.0,,,,,,192.0,20.8,104.4,82.5,,,,,37.0,-84.0,,,,,,85.0,-86.2,-2.6,-24.5,,,,,False,,,,,,False,False,True,True,,,,
18133,371,864.0,1007.0,,,,,,552.0,198.2,525.2,738.0,,890.4,,,493.0,636.0,,,,,,181.0,-172.8,154.2,367.0,,519.4,,,False,,,,,,True,True,True,True,,False,,
18135,128,360.0,250.0,,,,,,594.0,68.2,345.6,316.5,,403.8,,,232.0,122.0,,,,,,466.0,-59.8,217.6,188.5,,275.8,,,True,,,,,,False,True,True,True,,False,,
18137,295,456.0,121.0,,,,,,677.0,69.3,420.0,279.0,,979.7,,,161.0,-174.0,,,,,,382.0,-225.7,125.0,-16.0,,684.7,,,False,,,,,,False,False,True,True,,False,,
18139,112,420.0,157.0,,,,,,362.0,94.4,291.6,230.0,,,,,308.0,45.0,,,,,,250.0,-17.6,179.6,118.0,,,,,True,,,,,,True,True,True,True,,,,
18141,2926,4176.0,2333.0,,,,,,4500.0,880.1,5055.2,2734.0,,4078.1,1771.0,,1250.0,-593.0,,,,,,1574.0,-2045.9,2129.2,-192.0,,1152.1,-1155.0,,True,,,,,,False,False,False,True,,True,True,
18143,266,534.0,397.0,,,,,,546.0,105.3,308.3,337.0,,591.9,,,268.0,131.0,,,,,,280.0,-160.7,42.3,71.0,,325.9,,,True,,,,,,False,True,True,True,,False,,
18145,458,984.0,962.0,,,,,,897.0,138.1,766.2,716.0,,1264.6,,,526.0,504.0,,,,,,439.0,-319.9,308.2,258.0,,806.6,,,True,,,,,,True,True,True,True,,False,,
18147,281,684.0,479.0,,,,,,303.0,85.8,449.4,511.0,,,,,403.0,198.0,,,,,,22.0,-195.2,168.4,230.0,,,,,True,,,,,,True,True,True,True,,,,
18149,145,282.0,136.0,,,,,,340.0,48.5,258.2,181.0,,,,,137.0,-9.0,,,,,,195.0,-96.5,113.2,36.0,,,,,True,,,,,,False,True,True,True,,,,
18151,263,528.0,192.0,,,,,,659.0,85.6,446.9,290.0,,409.0,,,265.0,-71.0,,,,,,396.0,-177.4,183.9,27.0,,146.0,,,True,,,,,,False,True,True,True,,True,,
18153,115,228.0,45.0,,,,,,337.0,42.0,221.7,156.0,,,,,113.0,-70.0,,,,,,222.0,-73.0,106.7,41.0,,,,,True,,,,,,False,True,True,True,,,,
18155,94,264.0,142.0,,,,,,220.0,61.9,149.2,249.0,,,,,170.0,48.0,,,,,,126.0,-32.1,55.2,155.0,,,,,True,,,,,,True,True,True,True,,,,
18157,2250,3990.0,2577.0,,,,,,2906.0,726.1,3154.7,2385.0,,3614.4,1196.0,,1740.0,327.0,,,,,,656.0,-1523.9,904.7,135.0,,1364.4,-1054.0,,True,,,,,,True,True,True,True,,True,True,
18159,172,300.0,82.0,,,,,,271.0,26.4,185.2,176.0,,,,,128.0,-90.0,,,,,,99.0,-145.6,13.2,4.0,,,,,True,,,,,,True,False,True,True,,,,
18161,48,132.0,32.0,,,,,,154.0,11.1,109.1,59.5,,,,,84.0,-16.0,,,,,,106.0,-36.9,61.1,11.5,,,,,True,,,,,,False,True,True,True,,,,
18163,1915,5352.0,4131.0,,,,,,2906.0,950.1,3622.1,3663.5,,3800.9,2667.0,,3437.0,2216.0,,,,,,991.0,-964.9,1707.1,1748.5,,1885.9,752.0,,True,,,,,,True,True,True,True,,True,True,
18165,124,288.0,58.0,,,,,,237.0,39.1,163.3,166.0,,,,,164.0,-66.0,,,,,,113.0,-84.9,39.3,42.0,,,,,True,,,,,,True,True,True,True,,,,
18167,959,1764.0,1261.0,,,,,,1692.0,307.3,1506.9,1248.0,,2852.3,,,805.0,302.0,,,,,,733.0,-651.7,547.9,289.0,,1893.3,,,True,,,,,,True,True,True,True,,False,,
18169,299,696.0,726.0,,,,,,521.0,211.1,448.0,541.0,,977.6,,,397.0,427.0,,,,,,222.0,-87.9,149.0,242.0,,678.6,,,False,,,,,,True,True,True,True,,False,,
18171,78,168.0,32.0,,,,,,126.0,16.9,101.0,93.0,,,,,90.0,-46.0,,,,,,48.0,-61.1,23.0,15.0,,,,,True,,,,,,True,True,True,True,,,,
18173,722,2172.0,953.0,,,,,,1109.0,419.6,1342.3,1397.0,,2485.1,,,1450.0,231.0,,,,,,387.0,-302.4,620.3,675.0,,1763.1,,,True,,,,,,True,True,True,True,,False,,
18175,266,684.0,446.0,,,,,,525.0,180.7,385.6,501.0,,,,,418.0,180.0,,,,,,259.0,-85.3,119.6,235.0,,,,,True,,,,,,True,True,True,True,,,,
18177,525,1398.0,1617.0,,,,,,1614.0,296.2,861.8,833.0,,1415.6,,,873.0,1092.0,,,,,,1089.0,-228.8,336.8,308.0,,890.6,,,False,,,,,,False,True,True,True,,False,,
18179,230,450.0,84.0,,,,,,617.0,104.3,470.7,228.0,,,,,220.0,-146.0,,,,,,387.0,-125.7,240.7,-2.0,,,,,True,,,,,,False,True,False,True,,,,
