,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Mississippi,7079,7798.0,5187.2,7841.1,6411.0,8498.0,5758.0,,7839.2,6064.0,6727.3,,6356.6,,4920.3,9710.8,8454.0,4194.9,7253.0,8551.3,3047.5,4665.8,3956.5,4971.7,9786.5,8864.6,5899.4,4661.0,14459.0,,6005.1,7345.0,7890.2,,8004.7,7478.5,18552.3,7777.0,6102.9,,719.0,-1891.8,762.1,-668.0,1419.0,-1321.0,,760.2,-1015.0,-351.7,,-722.4,,-2158.7,2631.8,1375.0,-2884.1,174.0,1472.3,-4031.5,-2413.2,-3122.5,-2107.3,2707.5,1785.6,-1179.6,-2418.0,7380.0,,-1073.9,266.0,811.2,,925.7,399.5,11473.3,698.0,-976.1,,False,False,True,False,False,,False,False,True,,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,True,False,True,False,
Missouri,10141,8444.0,7273.4,8645.0,7612.0,10504.0,5520.0,,8217.0,10133.0,7490.8,,6070.5,,5186.9,10082.3,8853.0,4964.4,7633.0,11671.1,13789.0,5740.5,4580.5,6566.8,2626.2,8306.9,7445.2,5571.0,16941.0,,8668.2,7914.0,10223.8,,13449.5,9050.5,17927.2,7061.0,6197.9,,-1697.0,-2867.6,-1496.0,-2529.0,363.0,-4621.0,,-1924.0,-8.0,-2650.2,,-4070.5,,-4954.1,-58.7,-1288.0,-5176.6,-2508.0,1530.1,3648.0,-4400.5,-5560.5,-3574.2,-7514.8,-1834.1,-2695.8,-4570.0,6800.0,,-1472.8,-2227.0,82.8,,3308.5,-1090.5,7786.2,-3080.0,-3943.1,,False,True,False,True,False,,False,True,False,,False,,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,,True,False,True,,False,True,False,False,False,
Montana,2015,2688.0,1756.0,2682.7,2311.0,2228.0,1386.0,,2407.0,2288.0,3545.1,,2067.0,,2215.9,2234.4,1928.0,2179.2,2273.0,2326.8,2719.5,1962.3,1885.0,2316.5,2134.4,2220.2,2450.5,2405.0,3303.0,,2320.8,2626.0,490.5,,1936.5,3101.2,3500.6,2385.0,2514.1,,673.0,-259.0,667.7,296.0,213.0,-629.0,,392.0,273.0,1530.1,,52.0,,200.9,219.4,-87.0,164.2,258.0,311.8,704.5,-52.7,-130.0,301.5,119.4,205.2,435.5,390.0,1288.0,,305.8,611.0,-1524.5,,-78.5,1086.2,1485.6,370.0,499.1,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,True,False,,True,False,False,True,True,
Nebraska,3902,3448.0,2935.3,3433.8,3735.0,4732.0,2251.0,,4942.0,2940.0,4648.6,,3225.6,,4070.2,3559.9,5910.0,7314.9,5006.0,5914.2,3867.5,3306.3,1807.0,2919.6,6415.0,4529.6,3678.3,4418.0,4350.0,,3713.0,2895.0,1057.9,,6986.6,3752.6,,3348.0,2223.8,,-454.0,-966.7,-468.2,-167.0,830.0,-1651.0,,1040.0,-962.0,746.6,,-676.4,,168.2,-342.1,2008.0,3412.9,1104.0,2012.2,-34.5,-595.7,-2095.0,-982.4,2513.0,627.6,-223.7,516.0,448.0,,-189.0,-1007.0,-2844.1,,3084.6,-149.4,,-554.0,-1678.2,,False,False,True,False,False,,False,False,False,,False,,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,,True,False,False,,False,True,,False,False,
Nevada,5289,5670.0,5525.6,5567.7,4456.0,3794.0,4224.0,,5847.4,4664.0,4960.9,,4272.2,,3728.5,4252.1,6488.0,3022.3,5480.0,7080.2,2070.0,3891.0,2689.0,4042.3,5302.9,4842.0,4541.4,3430.0,2939.0,,3335.9,4552.0,5628.2,,8151.5,4516.5,6274.9,5206.0,2884.7,,381.0,236.6,278.7,-833.0,-1495.0,-1065.0,,558.4,-625.0,-328.1,,-1016.8,,-1560.5,-1036.9,1199.0,-2266.7,191.0,1791.2,-3219.0,-1398.0,-2600.0,-1246.7,13.9,-447.0,-747.6,-1859.0,-2350.0,,-1953.1,-737.0,339.2,,2862.5,-772.5,985.9,-83.0,-2404.3,,True,True,False,False,False,,False,False,True,,False,,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,,False,False,True,,False,False,False,True,False,
New Hampshire,3534,4810.0,2015.3,4707.2,4155.0,3374.0,4280.0,,4556.7,1770.0,5055.0,,3715.9,,4378.1,3842.4,4122.0,3848.7,5095.0,3534.0,4735.5,2185.7,3989.0,4113.0,2418.1,4201.2,3815.0,4566.0,4045.0,,3898.0,4723.0,3726.7,,6048.4,3445.0,6417.1,4633.0,4724.9,,1276.0,-1518.7,1173.2,621.0,-160.0,746.0,,1022.7,-1764.0,1521.0,,181.9,,844.1,308.4,588.0,314.7,1561.0,-0.0,1201.5,-1348.3,455.0,579.0,-1115.9,667.2,281.0,1032.0,511.0,,364.0,1189.0,192.7,,2514.4,-89.0,2883.1,1099.0,1190.9,,False,True,True,True,True,,True,False,False,,True,,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,,True,True,True,,False,True,False,True,True,
New Jersey,45715,41112.0,27642.8,51497.2,35695.0,33532.0,37721.0,,35657.8,37019.0,45125.1,,24598.6,,34475.4,28859.7,43583.0,28868.0,40464.0,38884.2,17523.5,32336.1,27847.5,33559.1,34721.3,36199.0,31844.5,32793.0,25882.0,,34672.8,36714.0,25669.9,,33277.3,27377.7,46012.0,41535.0,37319.3,,-4603.0,-18072.2,5782.2,-10020.0,-12183.0,-7994.0,,-10057.2,-8696.0,-589.9,,-21116.4,,-11239.6,-16855.3,-2132.0,-16847.0,-5251.0,-6830.8,-28191.5,-13378.9,-17867.5,-12155.9,-10993.7,-9516.0,-13870.5,-12922.0,-19833.0,,-11042.2,-9001.0,-20045.1,,-12437.7,-18337.3,297.0,-4180.0,-8395.7,,False,False,False,False,False,,False,False,True,,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,True,True,False,
New Mexico,4267,4372.0,3447.4,4249.0,3693.0,4103.0,3126.0,,4281.6,4769.0,5190.3,,4971.2,,3294.6,3628.0,5080.0,2777.3,4453.0,5511.7,3397.0,2932.1,3005.5,3843.9,1796.5,3218.4,3636.2,3248.0,3341.0,,4656.4,3732.0,7037.4,,6845.0,4204.1,9366.3,4247.0,3287.5,,105.0,-819.6,-18.0,-574.0,-164.0,-1141.0,,14.6,502.0,923.3,,704.2,,-972.4,-639.0,813.0,-1489.7,186.0,1244.7,-870.0,-1334.9,-1261.5,-423.1,-2470.5,-1048.6,-630.8,-1019.0,-926.0,,389.4,-535.0,2770.4,,2578.0,-62.9,5099.3,-20.0,-979.5,,False,True,False,False,False,,True,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,True,False,True,False,
New York,101558,107790.0,65759.5,108871.8,86961.0,84694.0,93208.0,,88145.5,63596.0,110386.1,,72947.1,,90435.6,78197.6,98542.0,100153.7,107171.0,96560.6,45070.5,71552.2,70449.5,87571.7,77995.3,80972.7,77845.6,87285.0,73235.0,,86350.8,95225.0,110672.1,,113276.2,74318.0,56647.8,102256.0,104870.0,,6232.0,-35798.5,7313.8,-14597.0,-16864.0,-8350.0,,-13412.5,-37962.0,8828.1,,-28610.9,,-11122.4,-23360.4,-3016.0,-1404.3,5613.0,-4997.4,-56487.5,-30005.8,-31108.5,-13986.3,-23562.7,-20585.3,-23712.4,-14273.0,-28323.0,,-15207.2,-6333.0,9114.1,,11718.2,-27240.0,-44910.2,698.0,3312.0,,False,False,False,False,False,,False,False,False,,False,,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,True,True,
North Carolina,32080,42744.0,35742.7,40206.5,36784.0,35395.0,28537.0,,40903.8,25875.0,64179.2,,30007.9,,30691.5,32033.5,43798.0,25645.5,41093.0,38502.7,18709.0,34890.6,24455.0,32278.3,36921.7,38076.1,33256.8,29330.0,35470.0,,37390.7,36583.0,52693.0,,40964.3,31939.4,52126.9,38733.0,40519.5,,10664.0,3662.7,8126.5,4704.0,3315.0,-3543.0,,8823.8,-6205.0,32099.2,,-2072.1,,-1388.5,-46.5,11718.0,-6434.5,9013.0,6422.7,-13371.0,2810.6,-7625.0,198.3,4841.7,5996.1,1176.8,-2750.0,3390.0,,5310.7,4503.0,20613.0,,8884.3,-140.6,20046.9,6653.0,8439.5,,True,True,True,True,True,,True,True,False,,True,,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,True,True,False,True,True,
North Dakota,1129,1354.0,260.6,1453.0,1084.0,1239.0,428.0,,1275.8,203.0,1065.5,,897.5,,1095.6,1108.4,1245.0,547.7,1624.0,1618.5,1079.5,1065.2,762.5,1098.7,195.2,589.5,1205.8,1566.0,2231.0,,776.2,1600.0,992.8,,1378.9,1576.4,3255.3,1708.0,1083.4,,225.0,-868.4,324.0,-45.0,110.0,-701.0,,146.8,-926.0,-63.5,,-231.5,,-33.4,-20.6,116.0,-581.3,495.0,489.5,-49.5,-63.8,-366.5,-30.3,-933.8,-539.5,76.8,437.0,1102.0,,-352.8,471.0,-136.2,,249.9,447.4,2126.3,579.0,-45.6,,False,False,True,True,False,,True,False,True,,False,,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,,False,False,True,,False,False,False,False,True,
Ohio,25430,29530.0,15174.8,29312.2,23079.0,28860.0,21118.0,,28266.4,21759.0,40293.9,,18377.9,,20971.8,21544.4,30306.0,23078.6,23290.0,32668.5,11136.0,24564.5,17711.5,21917.9,22472.4,22014.0,25102.7,21038.0,38798.0,,18750.2,,12581.4,,48361.1,22740.2,56822.5,26794.0,18189.2,,4100.0,-10255.2,3882.2,-2351.0,3430.0,-4312.0,,2836.4,-3671.0,14863.9,,-7052.1,,-4458.2,-3885.6,4876.0,-2351.4,-2140.0,7238.5,-14294.0,-865.5,-7718.5,-3512.1,-2957.6,-3416.0,-327.3,-4392.0,13368.0,,-6679.8,,-12848.6,,22931.1,-2689.8,31392.5,1364.0,-7240.8,,False,True,True,True,False,,True,True,False,,False,,False,True,False,True,True,False,False,True,False,True,True,True,True,False,False,,False,,False,,False,True,False,True,False,
Oklahoma,10218,12084.0,13256.4,22345.5,11900.0,13051.0,8820.0,,12775.0,15550.0,19439.3,,10877.6,,8511.6,9329.5,13881.0,10187.7,9393.0,13775.2,5173.5,11586.5,5826.5,8870.0,14246.0,12826.0,10449.6,7578.0,18279.0,,10209.2,13571.0,12542.8,,14666.8,9331.5,40855.4,9119.0,9825.3,,1866.0,3038.4,12127.5,1682.0,2833.0,-1398.0,,2557.0,5332.0,9221.3,,659.6,,-1706.4,-888.5,3663.0,-30.3,-825.0,3557.2,-5044.5,1368.5,-4391.5,-1348.0,4028.0,2608.0,231.6,-2640.0,8061.0,,-8.8,3353.0,2324.8,,4448.8,-886.5,30637.4,-1099.0,-392.7,,False,False,True,False,True,,False,False,False,,True,,True,True,False,True,True,False,False,True,False,True,False,False,True,False,False,,True,False,False,,False,True,False,True,True,
Oregon,4368,5354.0,3311.7,5369.5,4649.0,4984.0,3780.0,,5014.4,5191.0,6357.7,,2225.2,,3815.2,3966.1,5378.0,5936.9,4773.0,6045.0,4720.5,5365.6,3514.5,4328.5,2456.9,4261.6,4546.4,4495.0,4741.0,,4375.6,4962.0,9378.3,,4761.4,5284.6,4316.4,4475.0,4139.6,,986.0,-1056.3,1001.5,281.0,616.0,-588.0,,646.4,823.0,1989.7,,-2142.8,,-552.8,-401.9,1010.0,1568.9,405.0,1677.0,352.5,997.6,-853.5,-39.5,-1911.1,-106.4,178.4,127.0,373.0,,7.6,594.0,5010.3,,393.4,916.6,-51.6,107.0,-228.4,,False,False,True,True,True,,True,True,False,,False,,True,True,False,False,True,False,True,False,True,True,False,True,True,True,True,,True,True,False,,True,True,True,True,True,
Pennsylvania,35215,38504.0,22709.4,39047.3,31058.0,35807.0,32634.0,,34240.0,17581.0,34156.6,,22925.9,,28362.1,26633.5,35040.0,27026.8,37927.0,41461.3,17513.0,29092.7,26663.0,29438.1,30330.6,33373.7,29502.0,30083.0,30183.0,,35837.3,30992.0,40731.8,,39013.9,25365.2,35425.2,36786.0,32026.7,,3289.0,-12505.6,3832.3,-4157.0,592.0,-2581.0,,-975.0,-17634.0,-1058.4,,-12289.1,,-6852.9,-8581.5,-175.0,-8188.2,2712.0,6246.3,-17702.0,-6122.3,-8552.0,-5776.9,-4884.4,-1841.3,-5713.0,-5132.0,-5032.0,,622.3,-4223.0,5516.8,,3798.9,-9849.8,210.2,1571.0,-3188.3,,False,False,False,True,True,,True,False,True,,False,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,,True,False,False,,False,False,True,True,True,
Rhode Island,4976,4648.0,3147.4,4725.0,3525.0,3206.0,3764.0,,4182.3,3133.0,408035.2,,144.1,,3458.8,3804.6,3365.0,2103.3,4462.0,4550.1,4439.5,2918.4,2450.5,2942.2,3372.3,4871.6,3481.0,2824.0,3305.0,,3559.3,5042.0,1944.3,,5033.9,3510.7,,3119.0,4170.4,,-328.0,-1828.6,-251.0,-1451.0,-1770.0,-1212.0,,-793.7,-1843.0,403059.2,,-4831.9,,-1517.2,-1171.4,-1611.0,-2872.7,-514.0,-425.9,-536.5,-2057.6,-2525.5,-2033.8,-1603.7,-104.4,-1495.0,-2152.0,-1671.0,,-1416.7,66.0,-3031.7,,57.9,-1465.3,,-1857.0,-805.6,,False,True,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,,True,False,,False,False,
South Carolina,23180,36274.0,24504.0,36414.1,30733.0,25634.0,31258.0,,33638.1,22574.0,46099.4,,31170.2,,31708.2,27579.4,29995.0,23683.4,34157.0,24396.9,14697.5,26968.0,24029.5,28583.5,32653.5,29682.3,27697.7,29482.0,29110.0,,30814.6,35522.0,38809.9,,34738.8,24791.2,42293.2,33561.0,36567.2,,13094.0,1324.0,13234.1,7553.0,2454.0,8078.0,,10458.1,-606.0,22919.4,,7990.2,,8528.2,4399.4,6815.0,503.4,10977.0,1216.9,-8482.5,3788.0,849.5,5403.5,9473.5,6502.3,4517.7,6302.0,5930.0,,7634.6,12342.0,15629.9,,11558.8,1611.2,19113.2,10381.0,13387.2,,True,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,True,False,True,False,
South Dakota,2213,1920.0,990.8,2000.0,1728.0,1820.0,594.0,,1796.4,1245.0,3019.7,,2065.9,,1907.6,1661.4,1865.0,1337.6,1905.0,1982.3,1726.0,916.9,1630.0,1750.5,750.4,1450.5,1747.2,1991.0,2983.0,,1366.9,1849.0,2098.5,,1811.2,2171.7,,1955.0,1842.4,,-293.0,-1222.2,-213.0,-485.0,-393.0,-1619.0,,-416.6,-968.0,806.7,,-147.1,,-305.4,-551.6,-348.0,-875.4,-308.0,-230.7,-487.0,-1296.1,-583.0,-462.5,-1462.6,-762.5,-465.8,-222.0,770.0,,-846.1,-364.0,-114.5,,-401.8,-41.3,,-258.0,-370.6,,False,True,False,False,False,,False,False,False,,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,,False,False,True,,False,True,,True,False,
Tennessee,18198,15874.0,15264.6,16852.6,14950.0,19643.0,22189.0,,16850.3,5373.0,18319.0,,10589.9,,12349.2,15445.1,23676.0,17602.0,11357.0,20482.3,6095.5,12778.5,6896.0,12410.3,22111.7,15992.6,13530.9,12416.0,31447.0,,13618.6,10266.0,19647.5,,15996.0,19259.0,42647.1,12555.0,19402.3,,-2324.0,-2933.4,-1345.4,-3248.0,1445.0,3991.0,,-1347.7,-12825.0,121.0,,-7608.1,,-5848.8,-2752.9,5478.0,-596.0,-6841.0,2284.3,-12102.5,-5419.5,-11302.0,-5787.7,3913.7,-2205.4,-4667.1,-5782.0,13249.0,,-4579.4,-7932.0,1449.5,,-2202.0,1061.0,24449.1,-5643.0,1204.3,,False,True,False,True,False,,True,False,True,,False,,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,,False,False,True,,True,True,False,False,True,
Texas,98875,59522.0,87891.6,155334.8,75306.0,94665.0,38722.0,,73503.8,180391.0,95841.7,,80722.2,,45768.0,60150.6,74279.0,63875.8,114304.0,116310.6,36605.0,85923.0,40369.5,55546.7,66579.4,80994.0,66710.2,43139.0,115049.0,,55255.1,,129941.4,,85959.9,54194.5,212936.3,44269.0,68760.0,,-39353.0,-10983.4,56459.8,-23569.0,-4210.0,-60153.0,,-25371.2,81516.0,-3033.3,,-18152.8,,-53107.0,-38724.4,-24596.0,-34999.2,15429.0,17435.6,-62270.0,-12952.0,-58505.5,-43328.3,-32295.6,-17881.0,-32164.8,-55736.0,16174.0,,-43619.9,,31066.4,,-12915.1,-44680.5,114061.3,-54606.0,-30115.0,,True,False,True,True,False,,True,False,True,,True,,False,True,True,True,True,True,False,True,False,False,True,True,True,False,True,,False,,True,,True,False,False,False,True,
Utah,8404,10900.0,5907.0,11045.5,8917.0,8120.0,6950.0,,10302.8,7818.0,18325.7,,10161.8,,7953.9,8699.3,9329.0,8602.7,9347.0,9819.8,3851.0,7342.8,6470.5,8627.8,9515.7,10570.4,8763.1,7577.0,9977.0,,9631.0,9905.0,4735.0,,8975.3,5366.1,21174.5,9202.0,6085.8,,2496.0,-2497.0,2641.5,513.0,-284.0,-1454.0,,1898.8,-586.0,9921.7,,1757.8,,-450.1,295.3,925.0,198.7,943.0,1415.8,-4553.0,-1061.2,-1933.5,223.8,1111.7,2166.4,359.1,-827.0,1573.0,,1227.0,1501.0,-3669.0,,571.3,-3037.9,12770.5,798.0,-2318.2,,False,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,True,False,False,True,True,
Vermont,1605,1596.0,1076.3,1613.4,1599.0,1289.0,1628.0,,1549.3,2416.0,2624.0,,1880.8,,1445.1,1175.4,1776.0,1664.3,1620.0,1273.7,1676.5,1734.2,1351.0,1329.3,1407.9,1498.9,1476.5,1466.0,1316.0,,1605.6,1596.0,2047.0,,1276.3,984.5,1682.9,1615.0,1592.7,,-9.0,-528.7,8.4,-6.0,-316.0,23.0,,-55.7,811.0,1019.0,,275.8,,-159.9,-429.6,171.0,59.3,15.0,-331.3,71.5,129.2,-254.0,-275.7,-197.1,-106.1,-128.5,-139.0,-289.0,,0.6,-9.0,442.0,,-328.7,-620.5,77.9,10.0,-12.3,,False,True,True,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,
Virginia,22725,28776.0,21934.2,29006.0,23351.0,24762.0,23371.0,,30178.3,18755.0,29146.1,,28120.4,,23419.2,22339.4,25760.0,40469.5,26525.0,27236.6,12052.0,22796.1,21530.5,22857.0,23495.9,28205.7,22592.5,21510.0,13563.0,,21658.5,22215.0,47370.4,,52292.1,21478.5,52804.6,23465.0,30917.8,,6051.0,-790.8,6281.0,626.0,2037.0,646.0,,7453.3,-3970.0,6421.1,,5395.4,,694.2,-385.6,3035.0,17744.5,3800.0,4511.6,-10673.0,71.1,-1194.5,132.0,770.9,5480.7,-132.5,-1215.0,-9162.0,,-1066.5,-510.0,24645.4,,29567.1,-1246.5,30079.6,740.0,8192.8,,True,False,True,True,True,,False,True,False,,True,,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,,True,True,False,,False,True,False,True,False,
Washington,10738,11494.0,9213.3,11518.5,10017.0,11064.0,10635.0,,10353.3,16310.0,10659.3,,5569.4,,8556.9,8414.3,10379.0,10383.2,9580.0,12944.7,5267.0,8906.8,7159.0,8348.9,4248.1,13088.7,10009.1,8977.0,11414.0,,12322.6,13090.0,22245.6,,11127.9,9414.3,23391.4,11611.0,10158.9,,756.0,-1524.7,780.5,-721.0,326.0,-103.0,,-384.7,5572.0,-78.7,,-5168.6,,-2181.1,-2323.7,-359.0,-354.8,-1158.0,2206.7,-5471.0,-1831.2,-3579.0,-2389.1,-6489.9,2350.7,-728.9,-1761.0,676.0,,1584.6,2352.0,11507.6,,389.9,-1323.7,12653.4,873.0,-579.1,,False,False,True,True,True,,True,False,True,,False,,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,,True,False,False,False,True,
West Virginia,3926,4164.0,2966.5,3952.6,3329.0,4096.0,3212.0,,3960.1,2263.0,4516.6,,3743.6,,2850.2,3068.5,4301.0,2982.5,3747.0,4491.6,3068.0,2843.0,2332.5,3193.0,3023.2,3401.9,3306.5,2828.0,5120.0,,3336.6,2779.0,4580.9,,4738.5,3641.9,3551.8,3448.0,2177.4,,238.0,-959.5,26.6,-597.0,170.0,-714.0,,34.1,-1663.0,590.6,,-182.4,,-1075.8,-857.5,375.0,-943.5,-179.0,565.6,-858.0,-1083.0,-1593.5,-733.0,-902.8,-524.1,-619.5,-1098.0,1194.0,,-589.4,-1147.0,654.9,,812.5,-284.1,-374.2,-478.0,-1748.6,,False,True,False,True,False,,True,False,False,,True,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Wisconsin,9486,10276.0,6652.3,10212.4,8472.0,11061.0,8006.0,,9812.3,8547.0,11257.4,,5927.8,,7102.5,7790.8,11321.0,4537.5,9182.0,15880.2,3600.0,6579.4,5676.0,7683.3,9004.2,8498.1,8731.6,7348.0,11310.0,,6908.5,10361.0,3300.4,,12736.5,8265.6,15003.7,8429.0,8893.1,,790.0,-2833.7,726.4,-1014.0,1575.0,-1480.0,,326.3,-939.0,1771.4,,-3558.2,,-2383.5,-1695.2,1835.0,-4948.5,-304.0,6394.2,-5886.0,-2906.6,-3810.0,-1802.7,-481.8,-987.9,-754.4,-2138.0,1824.0,,-2577.5,875.0,-6185.6,,3250.5,-1220.4,5517.7,-1057.0,-592.9,,False,True,False,False,False,,True,False,False,,False,,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,,False,False,False,,False,False,False,False,True,
Wyoming,1081,1194.0,533.9,1117.6,975.0,1021.0,399.0,,922.5,2191.0,1925.0,,1349.5,,772.3,1016.5,1008.0,363.2,1414.0,1220.9,1044.0,880.6,513.0,946.3,195.5,682.1,1055.7,983.0,1730.0,,655.2,1345.0,1349.9,,2292.2,1543.2,,968.0,1165.3,,113.0,-547.1,36.6,-106.0,-60.0,-682.0,,-158.5,1110.0,844.0,,268.5,,-308.7,-64.5,-73.0,-717.8,333.0,139.9,-37.0,-200.4,-568.0,-134.7,-885.5,-398.9,-25.3,-98.0,649.0,,-425.8,264.0,268.9,,1211.2,462.2,,-113.0,84.3,,False,True,True,True,False,,False,False,False,,False,,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,,False,False,False,,False,False,,False,True,
US,906028,996726.0,781433.5,1339113.8,811798.0,863291.0,720699.0,912455.0,848770.2,759310.0,2730428.2,810203.9,,779414.0,726896.3,1131626.3,991335.0,705439.1,892633.0,1088938.1,,713171.2,615515.5,809795.4,806487.6,854980.8,790259.5,704947.0,851438.0,869392.7,651987.3,771485.0,1053605.5,807543.0,1139023.0,748488.5,1641323.6,832515.0,820171.0,760861.4,90698.0,-124594.5,433085.8,-94230.0,-42737.0,-185329.0,6427.0,-57257.8,-146718.0,1824400.2,-95824.1,,-126614.0,-179131.7,225598.3,85307.0,-200588.9,-13395.0,182910.1,,-192856.8,-290512.5,-96232.6,-99540.4,-51047.2,-115768.5,-201081.0,-54590.0,-36635.3,-254040.7,-134543.0,147577.5,-98485.0,232995.0,-157539.5,735295.6,-73513.0,-85857.0,-145166.6,False,False,False,True,False,True,True,False,False,False,,False,False,False,True,False,True,False,,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,True,False
