,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New York,32809,33054.3,32998.0,33399.5,32918.0,32833.0,,32578.1,32625.0,33447.7,,33559.4,33188.0,33167.4,32553.8,32975.8,33008.4,28191.5,32757.0,,32459.9,33026.7,32774.5,,37389.7,,32669.0,32872.9,32984.0,,33244.0,33023.2,32916.5,32899.0,32965.0,266.3,210.0,611.5,130.0,45.0,,-209.9,-163.0,659.7,,771.4,400.0,379.4,-234.2,187.8,220.4,-4596.5,-31.0,,-328.1,238.7,-13.5,,4601.7,,-119.0,84.9,196.0,,456.0,235.2,128.5,111.0,177.0,True,False,True,True,,True,True,False,,False,False,False,True,True,True,False,True,,False,True,True,,False,,True,True,True,,False,True,True,True,True
North Carolina,2343,2153.4,2300.0,2187.9,2272.0,2153.0,,2315.0,3001.0,2062.6,3626.3,1905.5,1935.0,2933.9,2258.7,1970.4,2244.8,1972.9,2235.4,,1975.2,2370.0,1851.0,,0.0,,1985.0,2153.5,2152.0,2038.7,3913.1,2424.9,2241.0,2156.3,2210.0,-189.6,-43.0,-155.1,-71.0,-190.0,,-28.0,658.0,-280.4,1283.3,-437.5,-408.0,590.9,-84.3,-372.6,-98.2,-370.1,-107.6,,-367.8,27.0,-492.0,,-2343.0,,-358.0,-189.5,-191.0,-304.3,1570.1,81.9,-102.0,-186.7,-133.0,True,True,True,False,,True,False,False,False,False,False,False,True,False,True,False,True,,False,True,False,,False,,False,True,False,False,False,True,True,True,True
North Dakota,121,111.3,108.0,102.4,109.0,90.0,,117.5,98.0,127.4,,134.7,95.0,157.7,105.3,113.4,110.1,117.0,100.3,,115.4,110.4,97.0,,108.0,,101.0,106.7,143.0,,145.8,143.0,118.0,112.0,,-9.7,-13.0,-18.6,-12.0,-31.0,,-3.5,-23.0,6.4,,13.7,-26.0,36.7,-15.7,-7.6,-10.9,-4.0,-20.7,,-5.6,-10.6,-24.0,,-13.0,,-20.0,-14.3,22.0,,24.8,22.0,-3.0,-9.0,,False,False,False,False,,True,False,True,,False,False,False,False,True,False,True,False,,True,False,False,,False,,False,False,False,,False,False,True,True,
Ohio,3824,3621.4,3619.0,3515.8,3711.0,3565.0,,3839.9,3958.0,,,3674.7,3363.0,4124.0,3593.8,3500.4,3694.6,4010.8,4414.3,3498.0,3359.9,3695.7,3362.0,,2371.5,,3998.0,3666.3,3942.0,3481.5,3776.7,3976.3,3843.5,3887.1,3650.0,-202.6,-205.0,-308.2,-113.0,-259.0,,15.9,134.0,,,-149.3,-461.0,300.0,-230.2,-323.6,-129.4,186.8,590.3,-326.0,-464.1,-128.3,-462.0,,-1452.5,,174.0,-157.7,118.0,-342.5,-47.3,152.3,19.5,63.1,-174.0,False,False,True,False,,True,True,,,True,False,False,False,False,True,True,False,False,False,True,False,,False,,True,True,True,False,True,True,True,True,True
Oklahoma,657,562.9,613.0,571.0,612.0,630.0,,699.8,669.0,651.6,,575.3,585.0,886.9,554.3,507.2,599.0,552.6,592.2,,534.0,635.1,522.0,,690.8,,492.0,538.4,593.0,,1005.5,674.8,674.0,577.0,,-94.1,-44.0,-86.0,-45.0,-27.0,,42.8,12.0,-5.4,,-81.7,-72.0,229.9,-102.7,-149.8,-58.0,-104.4,-64.8,,-123.0,-21.9,-135.0,,33.8,,-165.0,-118.6,-64.0,,348.5,17.8,17.0,-80.0,,True,True,True,True,,True,True,True,,True,True,False,False,False,True,False,True,,False,True,False,,True,,False,False,True,,False,True,True,True,
Oregon,386,360.3,358.0,357.0,374.0,271.0,,364.6,374.0,357.1,,343.7,316.0,586.0,387.0,341.2,377.9,418.7,365.6,,445.2,389.9,406.0,,112.0,,370.0,333.5,396.0,,580.6,385.7,474.5,379.0,,-25.7,-28.0,-29.0,-12.0,-115.0,,-21.4,-12.0,-28.9,,-42.3,-70.0,200.0,1.0,-44.8,-8.1,32.7,-20.4,,59.2,3.9,20.0,,-274.0,,-16.0,-52.5,10.0,,194.6,-0.3,88.5,-7.0,,False,False,True,False,,True,True,False,,False,False,False,True,False,True,False,True,,False,True,True,,False,,True,False,True,,False,True,False,True,
Pennsylvania,7451,7477.1,7476.0,7509.3,7509.0,7258.0,,7455.0,7454.0,7557.8,,7558.9,7289.0,7713.0,7514.7,7391.6,7486.2,7766.5,8482.0,,7374.6,7549.9,7296.0,,8106.2,,7342.0,7447.2,7522.0,7343.3,7774.8,7505.2,7628.0,7573.3,7626.0,26.1,25.0,58.3,58.0,-193.0,,4.0,3.0,106.8,,107.9,-162.0,262.0,63.7,-59.4,35.2,315.5,1031.0,,-76.4,98.9,-155.0,,655.2,,-109.0,-3.8,71.0,-107.7,323.8,54.2,177.0,122.3,175.0,True,False,False,False,,True,True,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,,False,True,False,False,False,False,False,False,False
Rhode Island,1027,1044.0,1041.0,1052.0,1057.0,1051.0,,1063.1,1028.0,1081.2,,1015.6,1115.0,983.4,1024.2,1067.0,1010.2,1022.7,1253.6,,1034.1,1072.0,1021.0,,560.8,,1007.0,1039.5,1017.0,1056.6,1060.9,1034.0,1021.0,1040.6,,18.0,15.0,26.0,31.0,25.0,,37.1,2.0,55.2,,-10.4,89.0,-42.6,-1.8,41.0,-15.8,-3.3,227.6,,8.1,46.0,-5.0,,-465.2,,-19.0,13.5,-9.0,30.6,34.9,8.0,-5.0,14.6,,True,False,False,False,,False,True,False,,True,False,False,True,False,True,True,False,,True,False,True,,False,,False,True,True,False,False,True,True,True,
South Carolina,2260,1903.3,1871.0,1871.2,2038.0,1591.0,,1764.4,1819.0,1989.8,,1910.5,1498.0,2148.1,6543.7,1898.6,2016.6,1264.0,2215.8,,2083.2,2106.2,2619.5,,2308.7,,2049.0,1774.5,2067.0,,2798.6,1934.2,2916.0,1841.4,1839.0,-356.7,-389.0,-388.8,-222.0,-669.0,,-495.6,-441.0,-270.2,,-349.5,-762.0,-111.9,4283.7,-361.4,-243.4,-996.0,-44.2,,-176.8,-153.8,359.5,,48.7,,-211.0,-485.5,-193.0,,538.6,-325.8,656.0,-418.6,-421.0,False,False,True,False,,False,False,True,,True,False,True,False,False,True,False,True,,True,True,False,,True,,True,False,True,,False,True,False,False,False
South Dakota,152,152.7,146.0,144.0,150.0,117.0,,124.8,135.0,150.1,,151.4,154.0,178.4,149.3,145.2,138.0,145.6,143.0,,159.6,156.3,142.0,,52.6,,140.0,147.3,146.0,150.0,205.5,161.1,206.0,147.0,,0.7,-6.0,-8.0,-2.0,-35.0,,-27.2,-17.0,-1.9,,-0.6,2.0,26.4,-2.7,-6.8,-14.0,-6.4,-9.0,,7.6,4.3,-10.0,,-99.4,,-12.0,-4.7,-6.0,-2.0,53.5,9.1,54.0,-5.0,,False,False,False,False,,False,False,False,,True,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,
Tennessee,1345,1236.4,1303.0,1238.0,1370.0,1425.0,,1538.6,1457.0,1559.7,,1294.6,1155.0,1731.1,1376.4,1145.7,1463.3,1426.2,1487.3,,1179.0,1415.2,1088.0,,1710.6,,1174.0,1193.2,1402.0,1230.7,1608.5,1543.9,1883.0,1288.2,1263.0,-108.6,-42.0,-107.0,25.0,80.0,,193.6,112.0,214.7,,-50.4,-190.0,386.1,31.4,-199.3,118.3,81.2,142.3,,-166.0,70.2,-257.0,,365.6,,-171.0,-151.8,57.0,-114.3,263.5,198.9,538.0,-56.8,-82.0,True,True,True,True,,False,False,False,,True,False,False,True,False,False,True,False,,False,True,False,,False,,False,False,True,False,False,False,False,True,True
Texas,10629,7082.3,7057.0,7142.3,8163.0,6909.0,,7423.4,7321.0,,,8897.9,7866.0,7927.5,13188.0,6182.3,7810.3,4544.0,8697.3,,7534.7,8569.3,10661.0,,26688.3,9811.0,8175.0,6639.2,7700.0,9916.0,11309.7,9051.5,10614.0,7346.8,7211.0,-2614.7,-2640.0,-2554.7,-1534.0,-2788.0,,-2273.6,-2376.0,,,-799.1,-1831.0,-1769.5,3491.0,-3514.7,-1886.7,-5153.0,-999.7,,-2162.3,-1127.7,964.0,,16991.3,114.0,-1522.0,-3057.8,-1997.0,219.0,1612.7,-645.5,917.0,-2350.2,-2486.0,False,True,True,False,,True,True,,,True,True,True,False,False,True,False,True,,True,True,True,,False,True,True,False,True,True,True,True,True,True,True
Utah,363,351.0,381.0,367.1,379.0,312.0,,487.5,408.0,468.9,,455.8,319.0,515.4,434.3,344.5,366.4,288.1,377.6,,421.8,379.9,307.0,,858.2,,354.0,348.3,365.0,332.3,500.3,362.5,422.0,380.7,,-12.0,18.0,4.1,16.0,-51.0,,124.5,45.0,105.9,,92.8,-44.0,152.4,71.3,-18.5,3.4,-74.9,14.6,,58.8,16.9,-56.0,,495.2,,-9.0,-14.7,2.0,-30.7,137.3,-0.5,59.0,17.7,,False,True,False,False,,False,False,False,,False,False,False,False,False,True,False,False,,False,False,False,,False,,True,False,True,False,False,True,False,False,
Vermont,58,56.0,57.0,58.6,57.0,56.0,,59.9,56.0,58.7,,56.4,56.0,64.7,57.0,58.3,56.0,59.0,58.6,,60.2,56.3,56.0,,59.0,,58.0,56.1,58.0,,62.4,56.0,57.0,58.9,,-2.0,-1.0,0.6,-1.0,-2.0,,1.9,-2.0,0.7,,-1.6,-2.0,6.7,-1.0,0.3,-2.0,1.0,0.6,,2.2,-1.7,-2.0,,1.0,,0.0,-1.9,0.0,,4.4,-2.0,-1.0,0.9,,True,True,True,False,,True,False,True,,True,False,False,True,True,False,True,True,,False,True,False,,True,,True,True,True,,False,True,True,True,
Virginia,2381,2262.3,2381.0,2278.0,2363.0,2134.0,,2246.0,2230.0,2525.3,,2595.2,2164.0,2737.5,2958.9,2352.0,2341.9,2465.9,2795.2,,2300.1,2385.2,2208.0,,3213.8,,2384.0,2241.2,2478.0,2301.4,2652.0,2326.1,2389.0,2308.9,2408.0,-118.7,0.0,-103.0,-18.0,-247.0,,-135.0,-151.0,144.3,,214.2,-217.0,356.5,577.9,-29.0,-39.1,84.9,414.2,,-80.9,4.2,-173.0,,832.8,,3.0,-139.8,97.0,-79.6,271.0,-54.9,8.0,-72.1,27.0,True,True,True,False,,False,False,False,,False,False,False,False,True,True,True,False,,True,True,False,,False,,True,False,True,True,False,True,True,True,True
Washington,1791,1481.7,1702.0,1530.5,1668.0,1606.0,,1721.5,1739.0,1795.8,,1757.4,1610.0,1924.8,1674.4,1614.5,1706.6,1912.5,1756.3,,1664.6,1689.7,1608.0,,685.1,,1633.0,1523.1,1738.0,1530.7,1795.8,1788.9,1724.0,1618.0,1772.0,-299.3,-79.0,-250.5,-113.0,-175.0,,-59.5,-42.0,14.8,,-23.6,-171.0,143.8,-106.6,-166.5,-74.4,131.5,-24.7,,-116.4,-91.3,-173.0,,-1095.9,,-148.0,-257.9,-43.0,-250.3,14.8,7.9,-57.0,-163.0,-9.0,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,True
West Virginia,160,115.4,120.0,117.0,125.0,100.0,,151.0,146.0,115.9,,107.1,107.0,195.3,133.8,113.2,111.5,124.9,134.3,,118.0,123.5,101.0,,146.5,,110.0,113.3,119.0,,165.2,141.2,154.0,114.3,,-44.6,-40.0,-43.0,-35.0,-60.0,,-9.0,-14.0,-44.1,,-52.9,-53.0,35.3,-26.2,-46.8,-48.5,-35.1,-25.7,,-42.0,-36.5,-59.0,,-13.5,,-50.0,-46.7,-41.0,,5.2,-18.8,-6.0,-45.7,,True,True,True,False,,True,True,True,,False,False,True,True,False,False,True,True,,True,True,False,,True,,False,False,True,,True,True,True,False,
Wisconsin,1094,936.6,955.0,931.7,1012.0,1038.0,,1143.9,1019.0,1061.6,,901.7,889.0,1432.4,1097.2,943.1,983.8,1023.5,1061.0,1085.5,1044.7,972.0,943.0,,38.6,,916.0,955.7,1013.0,941.9,1582.8,1032.8,887.0,1004.5,,-115.4,-97.0,-120.3,-40.0,-14.0,,91.9,-33.0,9.6,,-150.3,-163.0,380.4,45.2,-108.9,-68.2,-28.5,9.0,33.5,-7.3,-80.0,-109.0,,-1013.4,,-136.0,-96.3,-39.0,-110.1,530.8,-19.2,-165.0,-47.5,,True,False,True,True,,True,True,True,,False,False,False,True,True,True,True,True,True,True,True,True,,False,,False,True,True,True,False,True,False,True,
Wyoming,30,40.4,33.0,36.0,35.0,24.0,,38.0,33.0,31.3,,21.4,26.0,63.8,30.2,29.3,25.4,32.8,33.1,,52.9,35.6,25.0,,53.7,,29.0,34.5,35.0,,37.6,35.7,51.0,33.5,,10.4,3.0,6.0,5.0,-6.0,,8.0,3.0,1.3,,-8.6,-4.0,33.8,0.2,-0.7,-4.6,2.8,3.1,,22.9,5.6,-5.0,,23.7,,-1.0,4.5,5.0,,7.6,5.7,21.0,3.5,,True,True,True,True,,True,True,True,,True,True,False,True,True,True,True,True,,False,True,True,,False,,True,True,True,,True,True,False,True,
US,169905,161088.7,,161494.8,164477.0,158517.0,166132.0,162109.7,166110.0,164480.2,,165928.4,159480.0,172570.7,,156450.6,169113.9,150867.4,175867.2,,158791.1,168139.3,167116.5,170663.9,164037.7,159282.0,162495.0,160300.0,166605.0,153530.1,193850.1,165852.3,178684.5,163913.3,159158.0,-7810.3,,-7404.2,-4422.0,-10382.0,-2767.0,-6789.3,-2789.0,-4418.8,,-2970.6,-9419.0,3671.7,,-12448.4,214.9,-18031.6,6968.2,,-10107.9,-759.7,-1782.5,1764.9,-4861.3,-9617.0,-6404.0,-8599.0,-2294.0,-15368.9,24951.1,-3046.7,9785.5,-4985.7,-9741.0,,True,True,False,True,True,True,True,,True,False,True,,False,True,False,True,,False,True,True,True,True,False,True,False,True,False,False,True,False,True,False
