,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Nevada,1069,1014.0,1058.0,1022.0,1032.0,1012.0,1009.0,,1009.3,986.0,1057.4,1032.6,,1019.2,1081.0,1077.8,1063.5,1014.5,995.9,995.7,936.4,1076.8,,987.9,1091.0,1165.0,,,934.5,,989.0,1014.4,,990.0,924.9,1066.2,1038.0,1313.5,1012.0,944.0,-55.0,-11.0,-47.0,-37.0,-57.0,-60.0,,-59.7,-83.0,-11.6,-36.4,,-49.8,12.0,8.8,-5.5,-54.5,-73.1,-73.3,-132.6,7.8,,-81.1,22.0,96.0,,,-134.5,,-80.0,-54.6,,-79.0,-144.1,-2.8,-31.0,244.5,-57.0,-125.0,True,True,True,False,False,,False,False,True,True,,True,True,True,True,True,False,False,False,True,,False,True,False,,,False,,False,True,,False,False,True,True,False,False,False
New Hampshire,423,431.9,438.0,435.0,430.0,430.0,430.0,,419.6,426.0,433.7,433.6,,427.0,419.0,436.1,433.5,427.3,437.4,422.6,437.6,438.6,,450.5,431.6,423.0,,,440.5,,432.0,429.4,,431.0,446.0,440.0,436.0,428.0,442.6,,8.9,15.0,12.0,7.0,7.0,7.0,,-3.4,3.0,10.7,10.6,,4.0,-4.0,13.1,10.5,4.3,14.4,-0.4,14.6,15.6,,27.5,8.6,0.0,,,17.5,,9.0,6.4,,8.0,23.0,17.0,13.0,5.0,19.6,,False,False,True,True,True,,True,True,False,False,,True,True,False,False,True,False,True,False,False,,False,True,True,,,False,,False,True,,True,False,False,False,True,False,
New Jersey,15910,15927.0,16413.0,16066.0,15980.4,16005.0,16202.0,,15830.5,15956.0,16007.5,,,16204.1,16020.0,15879.2,15971.3,16041.2,16311.0,15966.4,15941.6,15917.1,,16097.7,15908.7,15833.0,,,16209.8,,16005.0,15935.4,,15938.0,,16204.5,16072.0,16041.0,15996.4,16134.0,17.0,503.0,156.0,70.4,95.0,292.0,,-79.5,46.0,97.5,,,294.1,110.0,-30.8,61.3,131.2,401.0,56.4,31.6,7.1,,187.7,-1.3,-77.0,,,299.8,,95.0,25.4,,28.0,,294.5,162.0,131.0,86.4,224.0,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,False,False,False,True,,False,True,False,,,False,,False,False,,False,,False,False,False,False,False
New Mexico,711,728.3,730.0,729.0,739.0,724.0,710.0,,698.2,722.0,730.6,743.7,,702.5,768.0,742.7,764.4,709.7,699.3,721.5,717.7,728.1,,657.2,737.9,761.0,,,701.9,,720.0,735.9,,721.0,719.6,769.4,744.0,764.0,733.8,,17.3,19.0,18.0,28.0,13.0,-1.0,,-12.8,11.0,19.6,32.7,,-8.5,57.0,31.7,53.4,-1.3,-11.7,10.5,6.7,17.1,,-53.8,26.9,50.0,,,-9.1,,9.0,24.9,,10.0,8.6,58.4,33.0,53.0,22.8,,False,False,False,True,True,,True,True,False,False,,True,False,False,False,True,True,True,True,True,,False,False,False,,,True,,True,False,,True,True,False,False,False,False,
New York,32809,32858.6,34038.0,32891.0,32900.5,32901.0,32975.0,,32698.1,32735.0,32856.2,32945.4,,33137.5,32943.0,32909.5,32649.1,25262.1,32902.4,32819.6,28349.2,32850.9,,32359.8,32849.6,32794.0,,,32955.0,,32803.0,32811.7,,32874.0,,33438.4,32857.0,32948.0,32863.6,32884.0,36.6,1216.0,69.0,78.5,79.0,153.0,,-123.9,-87.0,34.2,123.4,,315.5,121.0,87.5,-172.9,-7559.9,80.4,-2.4,-4472.8,28.9,,-462.2,27.6,-28.0,,,133.0,,-19.0,-10.3,,52.0,,616.4,35.0,126.0,41.6,62.0,False,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,True,,False,True,True,,,False,,True,True,,False,,False,True,False,False,False
North Carolina,2343,2291.3,2422.0,2341.0,2315.0,2309.0,2472.0,,2308.7,2425.0,2376.9,,2505.0,2215.8,2169.0,2324.8,2667.2,2474.1,2195.6,2290.0,2187.1,2310.5,,2010.7,2341.4,2164.0,,,2174.1,,2266.0,2291.2,,2230.0,2234.0,2375.2,2327.0,2363.0,2265.8,2112.0,-51.7,79.0,-2.0,-28.0,-34.0,129.0,,-34.3,82.0,33.9,,162.0,-127.2,-174.0,-18.2,324.2,131.1,-147.4,-53.0,-155.9,-32.5,,-332.3,-1.6,-179.0,,,-168.9,,-77.0,-51.8,,-113.0,-109.0,32.2,-16.0,20.0,-77.2,-231.0,False,True,True,True,False,,True,False,True,,False,False,False,True,False,False,False,False,False,True,,False,True,False,,,False,,False,False,,False,False,True,True,True,False,False
North Dakota,121,116.1,128.0,118.0,111.0,117.0,117.0,,124.6,116.0,118.8,116.0,,120.2,108.0,127.0,140.7,118.5,113.3,113.9,124.3,108.8,,108.7,113.7,131.0,,,117.5,,113.0,108.7,,119.0,,128.0,121.0,122.0,117.8,,-4.9,7.0,-3.0,-10.0,-4.0,-4.0,,3.6,-5.0,-2.2,-5.0,,-0.8,-13.0,6.0,19.7,-2.5,-7.7,-7.1,3.3,-12.2,,-12.3,-7.3,10.0,,,-3.5,,-8.0,-12.3,,-2.0,,7.0,0.0,1.0,-3.2,,False,True,False,True,True,,True,False,True,False,,True,False,False,False,True,False,False,True,False,,False,False,False,,,True,,False,False,,True,,False,True,True,True,
Ohio,3824,3941.3,3880.0,3908.0,3951.1,3858.0,3853.0,,3718.1,3906.0,3859.5,4099.6,,3814.0,3693.0,4025.1,4095.9,3868.1,3762.6,3875.6,3964.5,3695.6,3534.0,3517.6,3983.9,3974.0,,,3748.1,,3882.0,3956.0,,3849.0,3798.5,4189.1,3934.0,3946.0,3846.7,3729.0,117.3,56.0,84.0,127.1,34.0,29.0,,-105.9,82.0,35.5,275.6,,-10.0,-131.0,201.1,271.9,44.1,-61.4,51.6,140.5,-128.4,-290.0,-306.4,159.9,150.0,,,-75.9,,58.0,132.0,,25.0,-25.5,365.1,110.0,122.0,22.7,-95.0,True,True,False,True,True,,True,True,True,False,,True,False,False,False,True,True,True,False,False,False,False,False,False,,,True,,True,False,,True,True,False,True,False,True,True
Oklahoma,657,650.3,689.0,664.0,655.0,671.0,828.0,,690.3,672.0,694.3,668.3,,624.2,624.0,674.9,789.9,683.2,609.0,647.5,622.3,656.3,,528.4,683.9,752.0,,,603.0,,633.0,645.0,,650.0,,707.8,687.0,716.5,648.1,616.0,-6.7,32.0,7.0,-2.0,14.0,171.0,,33.3,15.0,37.3,11.3,,-32.8,-33.0,17.9,132.9,26.2,-48.0,-9.5,-34.7,-0.7,,-128.6,26.9,95.0,,,-54.0,,-24.0,-12.0,,-7.0,,50.8,30.0,59.5,-8.9,-41.0,False,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,,False,,False,False,False,False,False
Oregon,386,394.7,398.0,402.0,405.0,396.0,376.0,,379.3,383.0,414.9,394.3,,365.6,380.0,401.3,483.4,397.3,379.1,377.5,427.7,432.8,,385.4,407.1,411.0,,,368.1,,382.0,402.0,,383.0,,399.4,406.0,445.0,408.0,,8.7,12.0,16.0,19.0,10.0,-10.0,,-6.7,-3.0,28.9,8.3,,-20.4,-6.0,15.3,97.4,11.3,-6.9,-8.5,41.7,46.8,,-0.6,21.1,25.0,,,-17.9,,-4.0,16.0,,-3.0,,13.4,20.0,59.0,22.0,,False,False,False,False,False,,True,True,False,True,,False,True,False,False,False,True,True,False,False,,True,False,False,,,False,,True,False,,True,,False,False,False,False,
Pennsylvania,7451,7401.3,7612.0,7429.0,7410.8,7402.0,7507.0,,7368.7,7358.0,7394.8,7469.3,,7463.5,7347.0,7427.8,7523.0,7399.8,7352.2,7399.9,7572.2,7363.6,,7363.2,7389.9,7357.0,,,7433.3,,7372.0,7402.4,,7411.0,7504.9,7897.7,7430.0,7435.0,7398.8,7298.0,-49.7,161.0,-22.0,-40.2,-49.0,56.0,,-82.3,-93.0,-56.2,18.3,,12.5,-104.0,-23.2,72.0,-51.2,-98.8,-51.1,121.2,-87.4,,-87.8,-61.1,-94.0,,,-17.7,,-79.0,-48.6,,-40.0,53.9,446.7,-21.0,-16.0,-52.2,-153.0,False,True,True,True,False,,False,False,False,True,,True,False,True,False,False,False,False,False,False,,False,False,False,,,True,,False,True,,True,False,False,True,True,False,False
Rhode Island,1027,1016.3,1069.0,1025.0,1018.1,1020.0,1041.0,,1020.2,1020.0,1019.8,1026.6,,1016.2,1053.0,1019.6,993.2,1046.1,1029.1,1014.7,1023.7,1101.0,,1027.8,1020.2,1017.0,,,1021.4,,1020.0,1018.1,,1018.0,1052.4,1052.4,1019.0,1015.0,1024.5,,2.3,55.0,11.0,4.1,6.0,27.0,,6.2,6.0,5.8,12.6,,2.2,39.0,5.6,-20.8,32.1,15.1,0.7,9.7,87.0,,13.8,6.2,3.0,,,7.4,,6.0,4.1,,4.0,38.4,38.4,5.0,1.0,10.5,,False,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,True,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,True,False,
South Carolina,2260,2308.1,2447.0,2463.0,2323.1,2245.0,2244.0,,1985.8,2142.0,2635.8,,,2253.7,2124.0,2372.0,2258.0,2405.0,2224.9,2292.5,2095.0,2612.6,,2195.0,2286.1,2911.0,,,2034.1,,2250.0,2192.3,,2222.0,2384.7,2214.8,2312.0,2917.5,2309.4,2013.0,48.1,187.0,203.0,63.1,-15.0,-16.0,,-274.2,-118.0,375.8,,,-6.3,-136.0,112.0,-2.0,145.0,-35.1,32.5,-165.0,352.6,,-65.0,26.1,651.0,,,-225.9,,-10.0,-67.7,,-38.0,124.7,-45.2,52.0,657.5,49.4,-247.0,False,False,False,True,True,,False,False,False,,,True,False,False,True,False,True,True,False,False,,False,True,False,,,False,,True,False,,True,False,True,False,False,False,False
South Dakota,152,157.3,166.0,149.0,158.0,152.0,136.0,,143.4,146.0,170.1,149.5,,143.4,148.0,154.8,162.6,155.0,152.2,146.2,148.6,148.6,,154.7,162.1,147.0,,,146.6,,167.0,161.2,,154.0,150.8,146.1,144.0,161.0,151.7,,5.3,14.0,-3.0,6.0,0.0,-16.0,,-8.6,-6.0,18.1,-2.5,,-8.6,-4.0,2.8,10.6,3.0,0.2,-5.8,-3.4,-3.4,,2.7,10.1,-5.0,,,-5.4,,15.0,9.2,,2.0,-1.2,-5.9,-8.0,9.0,-0.3,,False,True,False,True,False,,False,False,False,True,,False,True,True,False,True,True,False,True,True,,True,False,True,,,False,,False,False,,True,True,False,False,False,True,
Tennessee,1345,1269.9,1465.0,1324.0,1273.0,1321.0,1842.0,,1451.4,1332.0,1444.2,1300.1,,1333.0,1276.0,1348.0,1524.9,1439.9,1208.9,1320.9,1359.7,1365.0,,1247.8,1305.8,1384.0,,,1212.9,,1265.0,1242.8,,1265.0,1278.8,1330.4,1332.0,1359.0,1297.8,1191.0,-75.1,120.0,-21.0,-72.0,-24.0,497.0,,106.4,-13.0,99.2,-44.9,,-12.0,-69.0,3.0,179.9,94.9,-136.1,-24.1,14.7,20.0,,-97.2,-39.2,39.0,,,-132.1,,-80.0,-102.2,,-80.0,-66.2,-14.6,-13.0,14.0,-47.2,-154.0,False,True,True,True,False,,False,True,False,True,,True,True,True,False,False,False,True,True,True,,False,True,True,,,False,,False,False,,False,True,True,True,True,True,False
Texas,10268,10224.6,8710.0,9768.0,10614.6,9132.0,9100.0,,8112.8,8534.0,10972.3,,,8345.2,10045.0,9498.8,8699.7,9458.2,8094.9,9453.7,7688.5,12633.3,,7883.3,9969.0,13805.0,,,9082.8,8988.0,8885.0,10704.5,,8618.0,,8774.9,9547.0,12375.0,9195.3,8666.0,659.6,-855.0,203.0,1049.6,-433.0,-465.0,,-1452.2,-1031.0,1407.3,,,-1219.8,480.0,-66.2,-865.3,-106.8,-1470.1,-111.3,-1876.5,3068.3,,-1681.7,404.0,4240.0,,,-482.2,-577.0,-680.0,1139.5,,-947.0,,-790.1,-18.0,2810.0,-369.7,-899.0,False,True,False,True,True,,False,False,False,,,False,True,True,False,True,False,True,False,False,,False,True,False,,,True,True,False,False,,False,,False,True,False,True,False
Utah,363,379.7,455.0,373.0,382.0,380.0,356.0,,390.8,371.0,422.3,360.1,,346.4,359.0,392.7,445.7,380.1,352.5,363.5,353.9,397.5,,395.8,358.9,406.0,,,,,361.0,380.7,,360.0,371.6,357.1,377.0,412.0,387.4,,16.7,92.0,10.0,19.0,17.0,-7.0,,27.8,8.0,59.3,-2.9,,-16.6,-4.0,29.7,82.7,17.1,-10.5,0.5,-9.1,34.5,,32.8,-4.1,43.0,,,,,-2.0,17.7,,-3.0,8.6,-5.9,14.0,49.0,24.4,,False,True,False,False,True,,False,True,False,True,,True,True,False,False,False,True,True,True,False,,False,True,False,,,,,True,False,,True,True,True,True,False,False,
Vermont,58,58.9,61.0,57.0,59.0,58.0,57.0,,58.1,57.0,57.8,57.8,,56.5,57.0,59.2,60.4,58.1,57.4,57.0,58.7,57.7,,59.9,58.2,57.0,,,58.2,,57.0,59.3,,57.0,,60.4,57.0,62.0,58.5,,0.9,3.0,-1.0,1.0,0.0,-1.0,,0.1,-1.0,-0.2,-0.2,,-1.5,-1.0,1.2,2.4,0.1,-0.6,-1.0,0.7,-0.3,,1.9,0.2,-1.0,,,0.2,,-1.0,1.3,,-1.0,,2.4,-1.0,4.0,0.5,,False,False,False,True,False,,True,False,True,True,,False,False,False,False,True,True,False,True,True,,False,True,False,,,True,,False,False,,False,,False,False,False,True,
Virginia,2381,2478.0,2535.0,2392.0,2494.8,2409.0,2408.0,,2376.4,2337.0,2383.2,2393.7,,2158.9,2293.0,2537.8,2528.3,2520.6,2330.6,2435.4,2345.3,2467.8,,2271.6,2551.2,2309.0,,,2410.8,,2457.0,2540.5,,2441.0,2387.8,2528.8,2436.0,2445.0,2419.9,2412.0,97.0,154.0,11.0,113.8,28.0,27.0,,-4.6,-44.0,2.2,12.7,,-222.1,-88.0,156.8,147.3,139.6,-50.4,54.4,-35.7,86.8,,-109.4,170.2,-72.0,,,29.8,,76.0,159.5,,60.0,6.8,147.8,55.0,64.0,38.9,31.0,False,True,False,True,True,,True,True,True,True,,False,True,False,False,False,True,True,True,True,,False,False,True,,,True,,True,False,,True,True,False,True,True,True,True
Washington,1766,1772.4,1797.0,1766.0,1787.9,1747.0,1733.0,,1732.7,1769.0,1745.0,1696.7,,1637.1,1746.0,1847.2,1797.0,1719.6,1693.1,1736.7,1790.1,1768.8,,1673.5,1789.2,1748.0,,,1697.2,,1777.0,1802.7,,1749.0,,1892.9,1764.0,1815.0,1747.0,1714.0,6.4,31.0,0.0,21.9,-19.0,-33.0,,-33.3,3.0,-21.0,-69.3,,-128.9,-20.0,81.2,31.0,-46.4,-72.9,-29.3,24.1,2.8,,-92.5,23.2,-18.0,,,-68.8,,11.0,36.7,,-17.0,,126.9,-2.0,49.0,-19.0,-52.0,False,True,False,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,,False,,False,True,False,False,False
West Virginia,160,143.0,141.0,134.0,142.0,135.0,135.0,,137.3,134.0,135.4,134.4,,110.7,124.0,135.6,156.0,132.8,126.1,132.6,127.6,134.5,,116.8,135.9,182.0,,,131.9,,136.0,146.0,,135.0,,143.7,138.0,156.0,135.1,,-17.0,-19.0,-26.0,-18.0,-25.0,-25.0,,-22.7,-26.0,-24.6,-25.6,,-49.3,-36.0,-24.4,-4.0,-27.2,-33.9,-27.4,-32.4,-25.5,,-43.2,-24.1,22.0,,,-28.1,,-24.0,-14.0,,-25.0,,-16.3,-22.0,-4.0,-24.9,,False,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,,,False,,False,True,,False,,True,False,True,False,
Wisconsin,1038,1052.0,1141.0,1051.0,1059.0,1053.0,1109.0,,1096.6,1067.0,1031.6,1065.0,,1071.2,1000.0,1083.8,1212.0,1054.2,1020.5,1043.4,1028.7,995.7,1021.0,928.4,1056.3,980.0,,,1022.4,,1044.0,1052.6,,1042.0,1013.2,1146.8,1075.0,1057.0,1057.6,1017.0,14.0,103.0,13.0,21.0,15.0,71.0,,58.6,29.0,-6.4,27.0,,33.2,-38.0,45.8,174.0,16.2,-17.5,5.4,-9.3,-42.3,-17.0,-109.6,18.3,-58.0,,,-15.6,,6.0,14.6,,4.0,-24.8,108.8,37.0,19.0,19.6,-21.0,False,True,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,True,False,False,False,False,False,,,False,,True,False,,True,False,False,False,False,False,False
Wyoming,30,27.9,35.0,28.0,28.0,30.0,26.0,,33.9,31.0,30.4,29.6,,32.2,28.0,31.2,41.6,33.9,28.2,26.4,32.1,28.1,,46.0,28.1,29.0,,,25.8,,29.0,27.9,,29.0,,31.4,26.0,30.0,28.2,,-2.1,5.0,-2.0,-2.0,0.0,-4.0,,3.9,1.0,0.4,-0.4,,2.2,-2.0,1.2,11.6,3.9,-1.8,-3.6,2.1,-1.9,,16.0,-1.9,-1.0,,,-4.2,,-1.0,-2.1,,-1.0,,1.4,-4.0,0.0,-1.8,,False,True,True,True,False,,False,True,True,True,,False,True,True,False,False,True,False,True,True,,False,True,True,,,False,,True,False,,True,,True,False,True,True,
US,169463,169577.9,168389.0,,170411.1,169042.0,170467.0,168237.0,165102.9,166385.0,172146.9,169121.1,,166198.4,168010.0,170521.7,169339.1,161853.9,164635.8,171375.8,159860.9,173626.5,,160353.8,169837.8,176506.0,170331.5,171215.2,163916.3,178587.0,159319.0,170872.4,161740.0,167800.0,164573.7,173164.5,171537.0,177935.5,168587.9,162642.0,819.9,-369.0,,1653.1,284.0,1709.0,-521.0,-3655.1,-2373.0,3388.9,363.1,,-2559.6,-748.0,1763.7,581.1,-6904.1,-4122.2,2617.8,-8897.1,4868.5,,-8404.2,1079.8,7748.0,1573.5,2457.2,-4841.7,9829.0,-9439.0,2114.4,-7018.0,-958.0,-4184.3,4406.5,2779.0,9177.5,-170.1,-6116.0,True,,False,True,False,True,False,False,False,True,,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
