,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New Jersey,15910,15906.6,16211.0,15900.4,15916.0,15908.0,15915.0,15977.0,,15892.0,15941.2,16035.4,,15940.2,15999.5,15926.4,15925.4,15929.9,15979.4,15902.5,15925.5,,15973.4,15905.0,15891.0,,15940.7,15925.9,,15952.0,15909.6,,15911.0,16142.1,16013.9,15936.0,15920.1,16059.0,-3.4,301.0,-9.6,6.0,-2.0,5.0,67.0,,-18.0,31.2,125.4,,30.2,89.5,16.4,15.4,19.9,69.4,-7.5,15.5,,63.4,-5.0,-19.0,,30.7,15.9,,42.0,-0.4,,1.0,232.1,103.9,26.0,10.1,149.0,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,True,,True,False,False,False,False,False
New Mexico,711,711.6,728.0,713.3,713.0,711.0,714.0,701.0,,714.0,725.6,708.8,,716.2,734.6,724.9,731.2,724.7,704.8,709.6,704.4,,719.7,706.5,723.0,,,707.8,,718.0,706.4,,710.0,714.3,738.7,716.0,716.3,,0.6,17.0,2.3,2.0,0.0,3.0,-10.0,,3.0,14.6,-2.2,,5.2,23.6,13.9,20.2,13.7,-6.2,-1.4,-6.6,,8.7,-4.5,12.0,,,-3.2,,7.0,-4.6,,-1.0,3.3,27.7,5.0,5.3,,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,
New York,32809,32828.9,33548.0,32842.8,32842.0,32842.0,32835.0,32889.0,,32783.0,32828.7,32933.9,,32831.1,32829.9,32871.4,32492.8,32874.7,32868.5,32818.2,32837.1,,32458.9,32835.3,32784.0,,32835.7,33062.3,,32808.0,32833.9,,32833.0,32936.7,33080.2,32819.0,32834.9,32948.0,0.9,720.0,14.8,14.0,14.0,7.0,61.0,,-45.0,0.7,105.9,,3.1,1.9,43.4,-335.2,46.7,40.5,-9.8,9.1,,-369.1,7.3,-44.0,,7.7,234.3,,-20.0,5.9,,5.0,108.7,252.2,-9.0,6.9,120.0,False,False,False,False,False,False,,False,True,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,False,False
North Carolina,2343,2371.1,2466.0,2391.8,2404.0,2389.0,2384.0,2395.0,,2320.0,2427.7,,,2405.2,2295.4,2369.6,2469.6,2403.7,2326.3,2357.6,2302.6,,2235.3,2369.2,2419.0,,2413.7,2378.5,,2341.0,2390.4,,2324.0,2323.2,2376.1,2355.0,2349.0,2206.0,28.1,123.0,48.8,61.0,46.0,41.0,52.0,,-23.0,84.7,,,62.2,-47.6,26.6,126.6,60.7,-16.7,14.6,-40.4,,-107.7,26.2,76.0,,70.7,35.5,,-2.0,47.4,,-19.0,-19.8,33.1,12.0,6.0,-137.0,False,False,False,False,False,False,,True,False,,,False,False,True,False,False,True,True,False,,False,True,False,,False,False,,True,False,,True,True,False,True,True,False
North Dakota,121,118.0,127.0,121.9,118.0,121.0,119.0,116.0,,116.0,120.3,120.5,,121.2,114.4,121.2,129.1,125.3,117.2,117.0,116.3,,118.9,120.6,119.0,,,118.6,,114.0,120.6,,119.0,116.9,122.7,122.0,118.5,,-3.0,6.0,0.9,-3.0,0.0,-2.0,-5.0,,-5.0,-0.7,-0.5,,0.2,-6.6,0.2,8.1,4.3,-3.8,-4.0,-4.7,,-2.1,-0.4,-2.0,,,-2.4,,-7.0,-0.4,,-2.0,-4.1,1.7,1.0,-2.5,,False,True,False,True,True,False,,False,True,True,,True,False,True,False,False,False,False,False,,True,True,True,,,True,,False,True,,True,False,True,True,True,
Ohio,3501,3789.0,3870.0,3823.2,3838.0,3821.0,3823.0,3805.0,,3837.0,3852.2,3839.9,,3835.4,3922.0,3887.8,3892.1,3912.9,3787.1,3816.1,3765.6,3784.0,3773.4,3798.5,3873.0,,3888.1,3912.8,,3825.0,3795.0,,3802.0,3784.1,3959.0,3832.0,3810.4,3681.0,-22.0,59.0,12.2,27.0,10.0,12.0,-6.0,,26.0,41.2,28.9,,24.4,111.0,76.8,81.1,101.9,-23.9,5.1,-45.4,-27.0,-37.6,-12.5,62.0,,77.1,101.8,,14.0,-16.0,,-9.0,-26.9,148.0,21.0,-0.6,-130.0,False,True,False,True,True,True,,False,False,False,,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,,True,True,,True,False,False,True,True,False
Oklahoma,657,648.4,692.0,656.0,662.0,657.0,656.0,677.0,,642.0,677.5,651.8,,660.7,695.5,670.5,712.8,670.9,634.9,649.0,658.8,,642.4,651.8,682.0,,657.8,688.4,,638.0,653.0,,645.0,623.3,678.9,664.0,648.9,615.0,-8.6,35.0,-1.0,5.0,0.0,-1.0,20.0,,-15.0,20.5,-5.2,,3.7,38.5,13.5,55.8,13.9,-22.1,-8.0,1.8,,-14.6,-5.2,25.0,,0.8,31.4,,-19.0,-4.0,,-12.0,-33.7,21.9,7.0,-8.1,-42.0,False,True,True,True,True,False,,False,False,True,,True,False,False,False,False,False,True,True,,False,True,False,,True,False,,False,True,,False,False,False,True,True,False
Oregon,386,381.7,399.0,382.6,381.0,385.0,386.0,376.0,,379.0,394.8,388.4,,391.8,406.6,393.6,423.6,389.9,380.4,380.9,381.7,,397.9,383.2,394.0,,,376.9,,389.0,379.2,,382.0,380.3,388.9,384.0,386.8,,-4.3,13.0,-3.4,-5.0,-1.0,0.0,-10.0,,-7.0,8.8,2.4,,5.8,20.6,7.6,37.6,3.9,-5.6,-5.1,-4.3,,11.9,-2.8,8.0,,,-9.1,,3.0,-6.8,,-4.0,-5.7,2.9,-2.0,0.8,,False,True,False,True,True,False,,False,False,True,,False,False,False,False,True,False,False,True,,False,True,False,,,False,,True,False,,True,False,True,True,True,
Pennsylvania,7451,7386.4,7545.0,7403.8,7402.0,7401.0,7401.0,7415.0,,7361.0,7403.6,7434.5,,7418.7,7403.1,7422.8,7453.0,7408.2,7369.3,7385.4,7375.6,,7381.4,7377.1,7440.0,,7413.9,7478.9,,7378.0,7401.4,,7389.0,7446.4,7631.8,7405.0,7396.6,7381.0,-64.6,94.0,-47.2,-49.0,-50.0,-50.0,-36.0,,-90.0,-47.4,-16.5,,-32.3,-47.9,-28.2,2.0,-42.8,-81.7,-65.6,-75.4,,-69.6,-73.9,-11.0,,-37.1,27.9,,-73.0,-49.6,,-62.0,-4.6,180.8,-46.0,-54.4,-70.0,False,True,True,True,True,True,,False,True,True,,True,True,True,True,True,False,False,False,,False,False,True,,True,True,,False,True,,True,True,False,True,True,False
Rhode Island,1045,1020.0,1051.0,1020.5,1020.0,1021.0,1021.0,1027.0,,1019.0,1020.8,1020.9,,1019.9,1017.3,1023.8,996.2,1027.6,1021.6,1017.7,1027.2,,1017.3,1020.7,1017.0,,1017.2,1017.0,,1020.0,1022.8,,1019.0,1023.7,1035.3,1018.0,1022.4,,-2.0,29.0,-1.5,-2.0,-1.0,-1.0,5.0,,-3.0,-1.2,-1.1,,-2.1,-4.7,1.8,-25.8,5.6,-0.4,-4.3,5.2,,-4.7,-1.3,-5.0,,-4.8,-5.0,,-2.0,0.8,,-3.0,1.7,13.3,-4.0,0.4,,False,True,False,True,True,False,,False,True,True,,False,False,True,False,False,True,False,False,,False,True,False,,False,False,,False,True,,False,True,False,False,True,
South Carolina,2260,2248.7,2350.0,2253.5,2260.0,2263.0,2253.0,2211.0,,2223.0,2432.8,,,2270.0,2380.7,2337.3,2262.3,2332.8,2203.4,2226.3,2245.1,,2429.2,2243.3,2169.5,,2425.1,2151.5,,2318.0,2235.4,,2214.0,2315.0,2231.4,2252.0,2267.2,2044.0,-11.3,90.0,-6.5,0.0,3.0,-7.0,-49.0,,-37.0,172.8,,,10.0,120.7,77.3,2.3,72.8,-56.6,-33.7,-14.9,,169.2,-16.7,-90.5,,165.1,-108.5,,58.0,-24.6,,-46.0,55.0,-28.6,-8.0,7.2,-216.0,False,True,True,True,True,False,,False,False,,,True,False,False,True,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,True,True,False
South Dakota,152,155.4,165.0,158.5,160.0,158.0,157.0,146.0,,151.0,163.4,157.0,,160.1,145.9,156.1,158.3,157.2,156.3,152.3,154.5,,153.8,157.5,154.0,,,193.7,,157.0,156.9,,155.0,154.9,152.1,160.0,153.9,,3.4,13.0,6.5,8.0,6.0,5.0,-6.0,,-1.0,11.4,5.0,,8.1,-6.1,4.1,6.3,5.2,4.3,0.3,2.5,,1.8,5.5,2.0,,,41.7,,5.0,4.9,,3.0,2.9,0.1,8.0,1.9,,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,False,True,True,,True,False,True,,,False,,False,False,,True,True,True,False,True,
Tennessee,1345,1351.6,1473.0,1365.0,1365.0,1363.0,1341.0,1441.0,,1329.0,1407.3,1327.6,,1369.9,1303.1,1367.1,1411.2,1388.9,1338.5,1348.0,1358.1,,1280.8,1341.3,1341.0,,1338.7,1335.5,,1323.0,1371.0,,1330.0,1334.1,1348.1,1350.0,1338.0,1205.0,6.6,128.0,20.0,20.0,18.0,-4.0,96.0,,-16.0,62.3,-17.4,,24.9,-41.9,22.1,66.2,43.9,-6.5,3.0,13.1,,-64.2,-3.7,-4.0,,-6.3,-9.5,,-22.0,26.0,,-15.0,-10.9,3.1,5.0,-7.0,-140.0,False,False,False,False,True,False,,False,False,False,,False,False,False,False,False,True,True,False,,False,True,True,,True,False,,False,False,,False,False,True,True,False,False
Texas,10629,10507.9,10460.0,10513.7,10605.0,10540.0,10439.0,10096.0,,10040.0,11396.1,,,10814.0,9083.5,10382.1,9360.4,10411.5,10611.5,10555.2,10517.8,,10872.4,10453.4,10308.0,,10993.1,10599.9,10634.0,10389.0,10296.3,,10216.0,11323.6,10106.1,10378.0,10419.0,9329.0,244.9,197.0,250.7,342.0,277.0,176.0,-167.0,,-223.0,1133.1,,,551.0,-1179.5,119.1,-902.6,148.5,348.5,292.2,254.8,,609.4,190.4,45.0,,730.1,336.9,371.0,126.0,33.3,,-47.0,1060.6,-156.9,115.0,156.0,-934.0,True,False,False,False,True,True,,True,False,,,False,False,True,False,True,False,False,False,,False,True,True,,False,False,False,True,True,,True,False,True,True,True,False
Utah,363,357.4,425.0,360.2,365.0,360.0,360.0,359.0,,359.0,382.9,359.7,,358.1,364.5,366.3,387.2,374.0,357.6,357.4,361.3,,390.3,356.3,361.0,,,387.9,,354.0,356.4,,356.0,367.2,356.0,360.0,364.2,,-5.6,62.0,-2.8,2.0,-3.0,-3.0,-4.0,,-4.0,19.9,-3.3,,-4.9,1.5,3.3,24.2,11.0,-5.4,-5.6,-1.7,,27.3,-6.7,-2.0,,,24.9,,-9.0,-6.6,,-7.0,4.2,-7.0,-3.0,1.2,,False,True,True,True,True,True,,True,False,True,,True,True,True,False,False,True,False,True,,False,False,True,,,False,,False,False,,False,True,False,True,True,
Vermont,58,58.9,60.0,58.9,59.0,59.0,59.0,58.0,,58.0,58.5,58.6,,59.2,57.5,58.7,59.7,58.5,58.4,58.0,58.7,,58.9,59.2,58.0,,,59.3,,58.0,58.9,,58.0,,59.5,58.0,58.7,,0.9,2.0,0.9,1.0,1.0,1.0,0.0,,0.0,0.5,0.6,,1.2,-0.5,0.7,1.7,0.5,0.4,0.0,0.7,,0.9,1.2,0.0,,,1.3,,0.0,0.9,,0.0,,1.5,0.0,0.7,,False,False,False,False,False,True,,True,True,True,,False,True,True,False,True,True,True,True,,False,False,True,,,False,,True,False,,True,,False,True,True,
Virginia,2381,2418.6,2525.0,2425.3,2467.0,2429.0,2427.0,2428.0,,2391.0,2419.2,2418.6,,2443.3,2426.7,2457.0,2467.6,2449.5,2412.2,2442.2,2448.2,,2363.4,2430.0,2391.0,,2454.6,2465.9,,2433.0,2411.1,,2425.0,2397.8,2474.0,2454.0,2440.8,2334.0,37.6,144.0,44.3,86.0,48.0,46.0,47.0,,10.0,38.2,37.6,,62.3,45.7,76.0,86.6,68.5,31.2,61.2,67.2,,-17.6,49.0,10.0,,73.6,84.9,,52.0,30.1,,44.0,16.8,93.0,73.0,59.8,-47.0,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,True,False,False,,True,False,True,,False,False,,False,True,,False,True,False,False,False,False
Washington,1791,1766.9,1813.0,1788.4,1785.0,1784.0,1765.0,1745.0,,1766.0,1765.7,1718.9,,1797.8,1728.5,1782.8,1777.4,1789.3,1749.3,1767.4,1762.8,,1819.6,1753.9,1804.0,,1766.2,1876.1,,1776.0,1775.4,,1758.0,1727.9,1817.0,1784.0,1767.0,1760.0,9.9,56.0,31.4,28.0,27.0,8.0,-12.0,,9.0,8.7,-38.1,,40.8,-28.5,25.8,20.4,32.3,-7.7,10.4,5.8,,62.6,-3.1,47.0,,9.2,119.1,,19.0,18.4,,1.0,-29.1,60.0,27.0,10.0,3.0,False,False,False,False,True,False,,True,True,False,,False,False,False,False,False,True,False,True,,False,True,False,,True,False,,False,False,,True,False,False,False,False,True
West Virginia,160,157.9,155.0,144.9,142.0,146.0,146.0,132.0,,146.0,155.3,143.0,,147.5,135.6,143.5,156.4,143.6,145.1,149.4,141.8,,130.6,152.1,143.0,,,135.4,,155.0,145.1,,157.0,153.9,152.8,143.0,153.7,,-2.1,-5.0,-15.1,-18.0,-14.0,-14.0,-28.0,,-14.0,-4.7,-17.0,,-12.5,-24.4,-16.5,-3.6,-16.4,-14.9,-10.6,-18.2,,-29.4,-7.9,-17.0,,,-24.6,,-5.0,-14.9,,-3.0,-6.1,-7.2,-17.0,-6.3,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,
Wisconsin,1094,1040.9,1120.0,1045.0,1052.0,1045.0,1047.0,1068.0,,1045.0,1051.4,1059.9,,1053.3,1049.5,1064.3,1103.8,1074.3,1036.0,1045.9,1026.5,1059.0,1040.9,1041.4,1096.0,,1057.2,1040.6,,1039.0,1040.0,,1040.0,1029.3,1086.3,1046.0,1049.1,,-2.1,77.0,2.0,9.0,2.0,4.0,25.0,,2.0,8.4,16.9,,10.3,6.5,21.3,60.8,31.3,-7.0,2.9,-16.5,16.0,-2.1,-1.6,53.0,,14.2,-2.4,,-4.0,-3.0,,-3.0,-13.7,43.3,3.0,6.1,,False,True,False,True,False,False,,True,False,False,,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,,False,False,,False,False,False,False,False,
Wyoming,30,29.7,34.0,30.2,29.0,30.0,30.0,28.0,,30.0,30.5,29.8,,30.5,26.3,29.2,34.5,32.0,28.8,28.1,29.0,,31.3,29.5,28.0,,,28.3,,30.0,30.2,,29.0,,30.7,28.0,29.2,,-0.3,4.0,0.2,-1.0,0.0,0.0,-2.0,,0.0,0.5,-0.2,,0.5,-3.7,-0.8,4.5,2.0,-1.2,-1.9,-1.0,,1.3,-0.5,-2.0,,,-1.7,,0.0,0.2,,-1.0,,0.7,-2.0,-0.8,,False,True,False,True,True,False,,True,False,True,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,True,,False,,False,False,False,
US,169575,169257.7,170704.0,169580.2,,169687.0,168926.0,168938.0,168730.0,167947.0,171904.6,170158.5,,170692.9,167770.7,170346.1,167948.2,171010.2,167958.5,169904.1,168990.0,,167832.6,169121.5,168788.5,169994.3,169808.4,169197.3,169973.0,168841.0,169279.0,164465.0,168874.0,167696.7,171349.0,169795.0,169401.1,164452.0,-197.3,1249.0,125.2,,232.0,-529.0,-517.0,-725.0,-1508.0,2449.6,703.5,,1237.9,-1684.3,891.1,-1506.8,1555.2,-1496.5,449.1,-465.0,,-1622.4,-333.5,-666.5,539.3,353.4,-257.7,518.0,-614.0,-176.0,-4990.0,-581.0,-1758.3,1894.0,340.0,-53.9,-5003.0,False,True,,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
