,2020-07-06_2020-07-18,2020-07-13_2020-07-25,2020-07-20_2020-08-01,2020-07-27_2020-08-08,2020-08-03_2020-08-15,2020-08-10_2020-08-22,2020-08-17_2020-08-29,2020-08-24_2020-09-05,2020-08-31_2020-09-12,2020-09-07_2020-09-19,2020-09-14_2020-09-26,2020-09-21_2020-10-03,2020-09-28_2020-10-10,2020-10-05_2020-10-17,2020-10-12_2020-10-24,2020-10-19_2020-10-31,2020-10-26_2020-11-07,2020-11-02_2020-11-14,2020-11-09_2020-11-21,2020-11-16_2020-11-28,2020-11-23_2020-12-05,2020-11-30_2020-12-12,2020-12-07_2020-12-19,2020-12-14_2020-12-26,2020-12-21_2021-01-02,2020-12-28_2021-01-09,2021-01-04_2021-01-16,2021-01-11_2021-01-23,2021-01-18_2021-01-30,2021-01-25_2021-02-06,2021-02-01_2021-02-13,2021-02-08_2021-02-20,2021-02-15_2021-02-27,2021-02-22_2021-03-06
num_states_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,48,23,27,21,26,22,22,,17,15,43,38,42,33,,18
num_states_beat_baseline-UMich-RidgeTfReg,,,2,5,4,11,10,10,19,19,23,18,17,26,27,26,33,29,26,13,17,3,4,4,11,25,15,15,16,13,11,13,19,8
num_states_beat_baseline-USACE-ERDC_SEIR,12,11,17,20,23,27,27,21,22,27,19,21,28,,26,,33,,,22,24,10,,,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,29,18,12,33,23,27,29,18,20,28,11,17,24,23,26,28,30,32,27,20,22,25,33,22,36,34,16,35,18,43,47,42,42,25
num_states_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,44,45,,,,,,,,,,,,,,,
num_states_beat_baseline-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,25,17,29,20,6,5,10,28,14,5,6,41,,39,19
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,0,18,9,,1,,,,,,,
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,0.4901960784,0.4705882353,0.3137254902,0.5294117647,0.3725490196,0.2941176471,0.5294117647,0.431372549,0.2549019608,0.2352941176,0.568627451,0.4509803922,0.3921568627,0.568627451,0.6078431373,0.7450980392,0.8235294118,0.6078431373,0.2941176471
perc_beat_baseline-CEID-Walk,,,,,,0.5294117647,0.4509803922,0.5098039216,0.4901960784,0.5882352941,0.4117647059,0.5294117647,0.5098039216,0.4901960784,0.5098039216,0.5882352941,0.5098039216,0.4509803922,0.4509803922,0.5294117647,0.4117647059,0.5098039216,0.4705882353,0.4705882353,0.4705882353,0.4117647059,0.5294117647,0.4901960784,0.4509803922,0.6078431373,0.6078431373,0.5490196078,0.5294117647,0.431372549
perc_beat_baseline-COVIDhub-ensemble,,,0.6078431373,0.5490196078,0.5098039216,0.4705882353,0.7058823529,0.3333333333,0.4901960784,0.6862745098,0.2745098039,0.3137254902,0.3333333333,0.1960784314,0.137254902,0.2156862745,0.4705882353,0.5882352941,0.9019607843,0.6470588235,0.5294117647,0.7843137255,0.7647058824,0.568627451,0.5490196078,0.3921568627,0.3725490196,0.6666666667,0.6274509804,0.8039215686,0.9215686275,0.9215686275,0.862745098,0.4509803922
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7254901961,0.8039215686,0,0.5098039216
perc_beat_baseline-CU-select,,,,,,0.5098039216,0.3333333333,0.4509803922,0.3529411765,0.3529411765,0.3137254902,0.2549019608,0.3921568627,0.4901960784,0.4901960784,0.6666666667,0.6666666667,0.7058823529,0.7647058824,0.4901960784,0.6274509804,0.4901960784,0.5882352941,0.6274509804,0.6078431373,0.07843137255,0.4509803922,0.1568627451,0.6862745098,0.6666666667,0.7254901961,0.7254901961,0.8039215686,0.2941176471
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Covid19Sim-Simulator,0.3333333333,0.3137254902,0.2941176471,0.1568627451,0.1568627451,,0.625,0.2549019608,0.5294117647,0.5294117647,0.4509803922,0.3137254902,0.3529411765,0.3921568627,0.2156862745,0.1568627451,0.2352941176,0.2549019608,0.09803921569,,0.3137254902,0.431372549,0.3921568627,0.3529411765,0.431372549,0.7450980392,0.1568627451,0.8039215686,0.1176470588,0.2352941176,0.4509803922,0.7058823529,0.7843137255,0.568627451
perc_beat_baseline-CovidActNow-SEIR_CAN,0.3921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,0.1764705882,0.09803921569,0.09803921569,0.1960784314,0.2941176471,0.07843137255,0.1960784314,0.1960784314,0.1960784314,0.2745098039,0.137254902,0.03921568627,0.03921568627,0.03921568627,0.07843137255,0.03921568627,0.1960784314,0.1176470588,0.05882352941,0.03921568627,0.2745098039,0.3921568627,0.3137254902,0.2941176471,0.3725490196,0.431372549,0.1960784314,0.3921568627,0.3921568627,0.4901960784,0.4901960784,0.6078431373,0.5882352941,0.2745098039
perc_beat_baseline-DDS-NBDS,,,,0.3137254902,0.6078431373,0.4901960784,0.431372549,0.431372549,0.4117647059,0.5490196078,0.431372549,0.5098039216,0.5490196078,0.4117647059,0.5490196078,0.6470588235,0.7647058824,0.8235294118,0.8039215686,0.4705882353,0.3529411765,0.5294117647,0.4705882353,0.4509803922,0.4509803922,0.431372549,0.2549019608,0.1764705882,0.3137254902,0.568627451,0.5098039216,0.3137254902,,0.3137254902
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,0.09803921569,,0.5294117647,0.568627451,0.7647058824,0.4509803922,0.4705882353,0.6078431373,0.5098039216,0.3137254902,0.1764705882,0.3725490196,0.3529411765,0.3137254902,0.2156862745,0.3137254902,0.5882352941,0.7254901961,0.6470588235,0.3529411765
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,0.5294117647,0.3725490196,0.4901960784,0.3333333333,0.2745098039,0.3137254902,0.2941176471,0.7450980392,0.9411764706,0.862745098,0.8235294118,0.3137254902
perc_beat_baseline-IHME-CurveFit,,,0.137254902,0.137254902,0.1568627451,0.1176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IQVIA_ACOE-STAN,,,,,,,,0.387755102,0.2653061224,0.3673469388,0.6734693878,0.5306122449,0.4897959184,0.6326530612,0.612244898,,0.7142857143,0.5918367347,0.6734693878,0.4081632653,0.387755102,0.4081632653,0.387755102,0.2857142857,,,,,,,,,,
perc_beat_baseline-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
perc_beat_baseline-IowaStateLW-STEM,0.4693877551,0.387755102,0.306122449,0.4489795918,0.4489795918,,0.4897959184,0.3469387755,0.387755102,0.4285714286,0.3673469388,0.3673469388,0.3265306122,0.1224489796,0.1224489796,0.2040816327,0.4081632653,0.4081632653,0.5306122449,0.5714285714,0.3469387755,0.6734693878,0.5102040816,0.1632653061,0.1428571429,0.6734693878,0.4081632653,0.5918367347,0.1224489796,0.3265306122,0.4489795918,0.4489795918,0.306122449,0.5510204082
perc_beat_baseline-JCB-PRM,,,,,,,,,,0.4901960784,0.5294117647,0.431372549,0.568627451,0.6274509804,0.6078431373,0.3725490196,0.7450980392,0.568627451,0.5294117647,0.4705882353,0.3529411765,0.5882352941,0.4509803922,0.1764705882,0.09803921569,0.7058823529,,,,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,0.3529411765,0.2941176471,0.6078431373,0.5098039216,0.431372549,0.431372549,0.2549019608,0.3725490196,0.4117647059,0.4901960784,0.4705882353,0.3725490196,0.3921568627,0.568627451,0.5882352941,0.3529411765,0.4509803922,0.1764705882,0.4705882353,0.5294117647,0.5098039216,0.5882352941,0.6666666667,0.6274509804,0.5490196078,0.3137254902
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,0.6428571429,,0.7058823529,0.6470588235,0.8333333333,0.9411764706,0.4705882353,0.3333333333,0.6666666667,0.5490196078,0.46,0.4,0.4117647059,0.3469387755,0.1836734694,0.1836734694,0.6041666667,0.6078431373,0.7058823529,0.7058823529,0.4705882353
perc_beat_baseline-JHU_IDD-CovidSP,0.2156862745,0.2745098039,0.3921568627,0.3137254902,0.2745098039,0.2941176471,0.431372549,0.4117647059,0.4117647059,0.3529411765,0.2941176471,0.2549019608,0.3137254902,0.2745098039,0.1960784314,0.2156862745,0.1764705882,0.1176470588,,0.2745098039,0.2549019608,0.2941176471,0.2352941176,0.431372549,0.3921568627,0.2352941176,0.01960784314,0.5294117647,0.8235294118,0.7843137255,0.7843137255,0.6666666667,0.4117647059,0.431372549
perc_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,0.6274509804,0.6274509804,0.5098039216,0.3529411765,,,0.4901960784,0.4509803922,0.431372549,0.2549019608,0.01960784314,0.7647058824,,0.4117647059,0.8039215686,0.6666666667,0.5098039216,0.2156862745
perc_beat_baseline-Karlen-pypm,,,0.1176470588,0.07843137255,0.1176470588,0.2352941176,0.3333333333,0.3529411765,0.3333333333,0.3725490196,0.3725490196,0.3333333333,0.3137254902,0.2352941176,0.4705882353,0.7058823529,0.7647058824,0.8431372549,0.8039215686,0.3725490196,0.2745098039,0.5098039216,0.5294117647,0.3725490196,0.3921568627,0.4705882353,0.2549019608,0.6862745098,0.6078431373,0.568627451,0.9019607843,0.8039215686,0.7254901961,0.2941176471
perc_beat_baseline-LANL-GrowthRate,0.137254902,0.137254902,0.2549019608,0.4705882353,0.4901960784,0.4901960784,0.5294117647,0.2941176471,0.4901960784,0.4705882353,0.3137254902,0.2941176471,0.2941176471,0.1764705882,0.2549019608,0.09803921569,0.2745098039,0.862745098,0.862745098,0.568627451,0.568627451,0.568627451,0.6274509804,0.5294117647,0.4705882353,0.3921568627,0.2549019608,0.6274509804,0.7058823529,0.7843137255,0.8235294118,0.7843137255,0.6078431373,0.1960784314
perc_beat_baseline-LNQ-ens1,,0.66,0.3921568627,0.568627451,0.5098039216,0.6078431373,0.5098039216,0.2941176471,0.6078431373,0.7254901961,0.3921568627,0.4705882353,0.6470588235,0.4509803922,0.7450980392,0.7647058824,0.9019607843,0.9019607843,0.9607843137,0.5294117647,0.6274509804,0.5294117647,0.7647058824,0.5882352941,0.6470588235,0.09803921569,0.4117647059,0.3333333333,0.8431372549,0.8823529412,0.8823529412,0.862745098,0.8039215686,0.3137254902
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4489795918,0.46,0.56,0.64,0.62,0.2448979592
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.6,0.68,0.58,0.52,0.36,0.5
perc_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,0.6808510638,,0.9787234043,0.9361702128,0.42,0.34,0.66,0.66,,,,,,,,,,,
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,0.7,0.32,0.36,0.62,0.44,0.48,0.44,0.2,0.9,0.94,0.84,0.4509803922
