,actual_deaths,Baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,7425,6903.0,7424.5,7619.0,6915.8,7402.0,8243.0,7340.3,8599.0,7010.6,7403.0,7884.2,6986.1,7610.3,,6956.5,7382.0,7558.0,7656.9,7961.0,7466.7,7501.4,7461.0,7386.7,7458.0,6838.1,7463.2,,6224.9,7597.6,7687.0,,6725.8,7151.6,7301.0,7786.1,7655.0,6811.1,,7228.9,6880.2,7808.0,,7604.0,6919.0,7197.9,6348.2,7405.5,-522.0,-0.5,194.0,-509.2,-23.0,818.0,-84.7,1174.0,-414.4,-22.0,459.2,-438.9,185.3,,-468.5,-43.0,133.0,231.9,536.0,41.7,76.4,36.0,-38.3,33.0,-586.9,38.2,,-1200.1,172.6,262.0,,-699.2,-273.4,-124.0,361.1,230.0,-613.9,,-196.1,-544.8,383.0,,179.0,-506.0,-227.1,-1076.8,-19.5,True,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,False,True,,False,True,True,,False,True,True,True,True,False,,True,False,True,,True,True,True,False,True
North Dakota,1360,1665.0,1755.7,1906.0,1708.0,1467.0,1255.0,1439.6,1325.0,1301.7,1268.0,1721.0,1615.7,1440.7,,1278.0,1793.0,1410.7,1345.5,1555.0,1274.9,1390.1,1352.0,1444.3,1497.0,1601.6,1601.8,,1719.5,1556.1,1498.0,,,2034.5,1467.0,1245.3,1376.0,1613.5,,1443.0,1655.3,1416.0,,1442.0,1415.0,1595.0,1350.0,1499.2,305.0,395.7,546.0,348.0,107.0,-105.0,79.6,-35.0,-58.3,-92.0,361.0,255.7,80.7,,-82.0,433.0,50.7,-14.5,195.0,-85.1,30.1,-8.0,84.3,137.0,241.6,241.8,,359.5,196.1,138.0,,,674.5,107.0,-114.7,16.0,253.5,,83.0,295.3,56.0,,82.0,55.0,235.0,-10.0,139.2,False,False,False,True,True,True,True,True,True,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,,False,True,True,,,False,True,True,True,True,,True,True,True,,True,True,True,True,True
Ohio,14681,9547.9,9999.1,11106.0,9601.2,10216.0,12089.0,10405.4,10417.0,10117.2,10026.0,11641.1,9731.6,10216.0,,9737.7,10815.0,10752.8,10345.5,11403.0,10273.2,10196.4,10034.5,10374.4,10872.0,10991.7,10736.4,10095.0,9015.5,10057.1,12216.5,,10347.6,10144.6,10487.0,10833.7,10143.0,9762.2,,10018.6,11036.4,10249.0,9907.4,10094.0,10175.0,10697.6,8100.2,10163.5,-2352.1,-1900.9,-794.0,-2298.8,-1684.0,189.0,-1494.6,-1483.0,-1782.8,-1874.0,-258.9,-2168.4,-1684.0,,-2162.3,-1085.0,-1147.2,-1554.5,-497.0,-1626.8,-1703.6,-1865.5,-1525.6,-1028.0,-908.3,-1163.6,-1805.0,-2884.5,-1842.9,316.5,,-1552.4,-1755.4,-1413.0,-1066.3,-1757.0,-2137.8,,-1881.4,-863.6,-1651.0,-1992.6,-1806.0,-1725.0,-1202.4,-3799.8,-1736.5,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,False,True
Oklahoma,2738,2712.0,2978.6,2925.0,2714.1,2772.0,2858.0,2917.6,2515.0,2519.4,3201.0,3390.6,2709.1,2743.4,,2341.7,2969.0,2727.4,2405.6,3267.0,2718.8,2707.9,2661.0,2925.4,3148.0,2836.1,2879.5,,2230.4,2775.5,2709.0,,,2894.4,2753.0,2634.4,2770.0,2742.6,,2891.9,2890.7,2867.0,,2752.0,2952.5,2978.4,2305.8,2689.0,-26.0,240.6,187.0,-23.9,34.0,120.0,179.6,-223.0,-218.6,463.0,652.6,-28.9,5.4,,-396.3,231.0,-10.6,-332.4,529.0,-19.2,-30.1,-77.0,187.4,410.0,98.1,141.5,,-507.6,37.5,-29.0,,,156.4,15.0,-103.6,32.0,4.6,,153.9,152.7,129.0,,14.0,214.5,240.4,-432.2,-49.0,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,True,False,False,True,,False,False,False,,True,False,False,False,False
Oregon,1603,1625.6,1989.2,2004.0,1642.1,1778.0,1730.0,1768.2,1813.0,1720.5,1704.0,1888.5,1726.6,1813.5,,1901.7,1778.0,1830.7,1716.7,1878.0,1695.6,1777.6,1609.0,1719.6,1982.0,1973.1,1829.2,,1252.5,1854.6,2276.0,,,1801.3,1768.0,1944.3,1651.0,1600.7,,1784.4,2022.8,1576.0,,1784.0,1725.0,2117.6,1299.1,1601.9,22.6,386.2,401.0,39.1,175.0,127.0,165.2,210.0,117.5,101.0,285.5,123.6,210.5,,298.7,175.0,227.7,113.7,275.0,92.6,174.6,6.0,116.6,379.0,370.1,226.2,,-350.5,251.6,673.0,,,198.3,165.0,341.3,48.0,-2.3,,181.4,419.8,-27.0,,181.0,122.0,514.6,-303.9,-1.1,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,,,False,False,False,False,True,,False,False,False,,False,False,False,False,True
Pennsylvania,17626,17253.6,19587.0,17848.0,17090.0,18557.0,17248.0,17571.1,19191.0,17241.1,18534.0,20705.1,17899.4,18556.5,,16308.9,18166.0,19644.0,17595.4,17539.0,15889.8,20288.1,20848.5,18126.3,17358.0,20239.3,18632.9,,13338.8,19197.6,19848.5,,17104.3,19415.2,18109.0,17305.6,18798.0,16347.4,,16554.3,20368.8,17753.0,22643.8,19224.0,20893.5,20642.6,13218.4,18166.5,-372.4,1961.0,222.0,-536.0,931.0,-378.0,-54.9,1565.0,-384.9,908.0,3079.1,273.4,930.5,,-1317.1,540.0,2018.0,-30.6,-87.0,-1736.2,2662.1,3222.5,500.3,-268.0,2613.3,1006.9,,-4287.2,1571.6,2222.5,,-521.7,1789.2,483.0,-320.4,1172.0,-1278.6,,-1071.7,2742.8,127.0,5017.8,1598.0,3267.5,3016.6,-4407.6,540.5,False,True,False,False,False,True,False,False,False,False,True,False,,False,False,False,True,True,False,False,False,False,True,False,False,,False,False,False,,False,False,False,True,False,False,,False,False,True,False,False,False,False,False,False
Rhode Island,2062,1879.3,1995.9,1975.0,1892.8,1893.0,1864.0,1678.1,2045.0,1827.4,1816.0,1981.1,1887.3,2121.5,,1813.8,1842.5,1979.4,1941.7,2091.0,1649.1,2065.2,1925.0,1845.8,1854.0,1992.5,2012.3,,1663.3,2011.3,1795.0,,,1903.0,1880.0,1939.6,1676.0,1833.2,,1905.2,2040.9,1986.0,,1920.0,1797.5,2160.8,1489.5,2225.9,-39.7,76.9,56.0,-26.2,-26.0,-55.0,-240.9,126.0,-91.6,-103.0,62.1,-31.7,202.5,,-105.2,-76.5,60.4,22.7,172.0,-269.9,146.2,6.0,-73.2,-65.0,73.5,93.3,,-255.7,92.3,-124.0,,,-16.0,-39.0,20.6,-243.0,-85.8,,-13.8,121.9,67.0,,1.0,-121.5,241.8,-429.5,306.9,False,False,True,True,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,False,,,True,True,True,False,False,,True,False,False,,True,False,False,False,False
South Carolina,5758,5406.3,5841.3,5690.0,5357.2,5628.0,5960.0,5592.2,6151.0,5239.4,5469.0,5819.0,5600.4,5655.3,,5110.6,5454.0,5544.9,5587.5,5836.0,5416.2,5940.1,5775.0,5812.8,5519.0,5553.4,5751.6,,5097.8,5702.7,5186.0,,5583.0,5368.0,5632.0,6327.9,6133.0,5313.1,,5289.5,5604.8,6180.0,,5852.0,5660.5,5391.2,5051.6,5773.0,-351.7,83.3,-68.0,-400.8,-130.0,202.0,-165.8,393.0,-518.6,-289.0,61.0,-157.6,-102.7,,-647.4,-304.0,-213.1,-170.5,78.0,-341.8,182.1,17.0,54.8,-239.0,-204.6,-6.4,,-660.2,-55.3,-572.0,,-175.0,-390.0,-126.0,569.9,375.0,-444.9,,-468.5,-153.2,422.0,,94.0,-97.5,-366.8,-706.4,15.0,True,True,False,True,True,True,False,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,True,False,True,False,False,False,,False,True,False,,True,True,False,False,True
South Dakota,1570,1833.7,1761.4,2077.0,1851.0,1750.0,1388.0,1635.8,1554.0,1670.7,1742.0,2440.6,1769.2,1711.1,,1851.8,1984.0,1887.4,1604.5,1782.0,1381.7,1663.1,1662.0,1678.8,1721.0,1736.4,1876.5,,1622.9,1702.4,1752.0,,,1929.2,1747.0,1465.1,1789.0,1592.3,,1953.6,1774.7,1680.0,,1758.0,1893.5,1819.6,1552.8,1742.6,263.7,191.4,507.0,281.0,180.0,-182.0,65.8,-16.0,100.7,172.0,870.6,199.2,141.1,,281.8,414.0,317.4,34.5,212.0,-188.3,93.1,92.0,108.8,151.0,166.4,306.5,,52.9,132.4,182.0,,,359.2,177.0,-104.9,219.0,22.3,,383.6,204.7,110.0,,188.0,323.5,249.6,-17.2,172.6,True,False,False,True,True,True,True,True,True,False,True,True,,False,False,False,True,True,True,True,True,True,True,True,False,,True,True,True,,,False,True,True,True,True,,False,True,True,,True,False,True,True,True
Tennessee,7704,7463.9,8062.7,7867.0,7379.9,7565.0,7461.0,7375.6,7686.0,6838.5,7446.0,8577.7,7569.8,7490.0,,6644.0,7564.0,7779.9,7402.8,7842.0,6600.5,7829.3,8267.0,8116.6,7064.0,7845.6,7662.5,,6419.3,8326.0,7848.0,,6748.9,7796.1,7520.0,7096.9,8358.0,7561.5,,7143.1,7894.7,8530.0,,8010.0,7417.0,7016.4,6049.7,8101.7,-240.1,358.7,163.0,-324.1,-139.0,-243.0,-328.4,-18.0,-865.5,-258.0,873.7,-134.2,-214.0,,-1060.0,-140.0,75.9,-301.2,138.0,-1103.5,125.3,563.0,412.6,-640.0,141.6,-41.5,,-1284.7,622.0,144.0,,-955.1,92.1,-184.0,-607.1,654.0,-142.5,,-560.9,190.7,826.0,,306.0,-287.0,-687.6,-1654.3,397.7,False,True,False,True,False,False,True,False,False,False,True,True,,False,True,True,False,True,False,True,False,False,False,True,True,,False,False,True,,False,True,True,False,False,True,,False,True,False,,False,False,False,False,False
Texas,30313,29086.4,30415.3,30812.0,29516.6,29712.0,30744.0,30090.2,29604.0,29052.3,29460.0,33996.8,29760.1,29783.5,,27125.2,30930.0,30874.9,30117.6,29691.0,28127.9,30540.6,29625.0,29880.6,29500.0,29929.8,29945.9,,24479.8,30745.9,30951.0,,29552.8,32026.3,29760.0,30933.5,29665.0,28506.0,,30922.1,29991.1,29208.0,,30327.0,29103.5,28697.1,26335.9,28090.5,-989.6,339.3,736.0,-559.4,-364.0,668.0,14.2,-472.0,-1023.7,-616.0,3920.8,-315.9,-292.5,,-2950.8,854.0,798.9,41.6,-385.0,-1948.1,464.6,-451.0,-195.4,-576.0,-146.2,-130.1,,-5596.2,669.9,875.0,,-523.2,1950.3,-316.0,857.5,-411.0,-1570.0,,846.1,-84.9,-868.0,,251.0,-972.5,-1378.9,-3740.1,-1985.5,True,True,True,True,True,True,True,False,True,False,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,,False,True,True,,True,False,True,True,True,False,,True,True,True,,True,True,False,False,False
Utah,1390,1502.4,1535.7,1585.0,1434.0,1415.0,1367.0,1507.7,1291.0,1565.7,1341.0,1743.8,1415.4,995.0,,1323.4,1535.0,1458.1,1267.5,1836.0,1051.4,1386.9,1366.0,1570.0,1588.0,1561.6,1546.7,,1392.3,1494.1,1583.0,,,1528.8,1393.0,1170.4,1430.0,1414.4,,1792.3,1611.8,1398.0,,1399.0,1385.0,1438.8,870.2,1417.1,112.4,145.7,195.0,44.0,25.0,-23.0,117.7,-99.0,175.7,-49.0,353.8,25.4,-395.0,,-66.6,145.0,68.1,-122.5,446.0,-338.6,-3.1,-24.0,180.0,198.0,171.6,156.7,,2.3,104.1,193.0,,,138.8,3.0,-219.6,40.0,24.4,,402.3,221.8,8.0,,9.0,-5.0,48.8,-519.8,27.1,False,False,True,True,True,False,True,False,True,False,True,False,,True,False,True,False,False,False,True,True,False,False,False,False,,True,True,False,,,False,True,False,True,True,,False,False,True,,True,True,True,False,True
Vermont,156,156.7,197.0,185.0,159.0,161.0,119.0,150.1,147.0,133.9,159.0,183.5,174.9,168.9,,129.1,182.0,173.5,128.5,176.0,148.8,217.1,205.0,140.7,191.0,168.5,163.7,,118.8,179.5,95.0,,,163.4,149.0,104.4,149.0,141.6,,152.0,222.7,141.0,,174.0,242.0,301.3,99.4,154.8,0.7,41.0,29.0,3.0,5.0,-37.0,-5.9,-9.0,-22.1,3.0,27.5,18.9,12.9,,-26.9,26.0,17.5,-27.5,20.0,-7.2,61.1,49.0,-15.3,35.0,12.5,7.7,,-37.2,23.5,-61.0,,,7.4,-7.0,-51.6,-7.0,-14.4,,-4.0,66.7,-15.0,,18.0,86.0,145.3,-56.6,-1.2,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,,False,False,False,False,False
Virginia,5381,5224.9,5576.9,5680.0,5256.7,5392.0,6069.0,5371.5,5743.0,5230.7,4970.0,5167.6,5403.0,5373.5,,4622.4,5435.0,5470.1,5511.1,5781.0,5428.2,5626.0,5277.0,5467.7,5484.0,5597.2,5390.3,,5071.9,5727.2,5387.0,,4854.0,5366.3,5288.0,5610.2,5404.0,5239.7,,5175.2,5645.1,5624.0,,5683.0,5319.5,5082.3,4709.2,5382.7,-156.1,195.9,299.0,-124.3,11.0,688.0,-9.5,362.0,-150.3,-411.0,-213.4,22.0,-7.5,,-758.6,54.0,89.1,130.1,400.0,47.2,245.0,-104.0,86.7,103.0,216.2,9.3,,-309.1,346.2,6.0,,-527.0,-14.7,-93.0,229.2,23.0,-141.3,,-205.8,264.1,243.0,,302.0,-61.5,-298.7,-671.8,1.7,False,False,True,True,False,True,False,True,False,False,True,True,,False,True,True,True,False,True,False,True,True,True,False,True,,False,False,True,,False,True,True,False,True,True,,False,False,False,,False,True,False,False,True
Washington,3698,2701.6,3264.1,3348.0,2879.0,3674.0,4689.0,3712.0,3271.0,3869.8,3830.0,3579.9,3638.7,3714.2,,3808.2,3716.0,3759.8,3881.4,3905.0,3820.6,3829.6,3528.0,3616.4,3893.0,3833.0,3767.4,,3354.5,3505.0,3606.0,,3362.8,3455.6,3422.0,5179.7,3538.0,3245.8,,3592.4,3849.5,3875.0,,3460.0,3456.5,,3062.5,3806.1,-934.4,-371.9,-288.0,-757.0,38.0,1053.0,76.0,-365.0,233.8,194.0,-56.1,2.7,78.2,,172.2,80.0,123.8,245.4,269.0,184.6,193.6,-108.0,-19.6,257.0,197.0,131.4,,-281.5,-131.0,-30.0,,-273.2,-180.4,-214.0,1543.7,-98.0,-390.2,,-43.6,213.5,239.0,,-176.0,-179.5,,-573.5,170.1,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,,True,True,True,,True,True,,True,True
West Virginia,1570,1469.4,1766.2,1766.0,1514.0,1575.0,1733.0,1572.0,1476.0,1436.9,1680.0,2059.2,1614.1,1667.2,,1272.3,1522.0,1716.1,1466.4,1582.0,1337.1,1766.6,1433.0,1483.8,1565.0,1781.0,1557.7,,1311.3,1577.2,1584.0,,,1705.6,1620.0,1499.3,1481.0,1573.2,,1483.8,1831.4,1471.0,,1631.0,1493.5,1611.2,1138.3,1512.4,-100.6,196.2,196.0,-56.0,5.0,163.0,2.0,-94.0,-133.1,110.0,489.2,44.1,97.2,,-297.7,-48.0,146.1,-103.6,12.0,-232.9,196.6,-137.0,-86.2,-5.0,211.0,-12.3,,-258.7,7.2,14.0,,,135.6,50.0,-70.7,-89.0,3.2,,-86.2,261.4,-99.0,,61.0,-76.5,41.2,-431.7,-57.6,False,False,True,True,False,True,True,False,False,False,True,True,,False,True,False,False,True,False,False,False,True,True,False,True,,False,True,True,,,False,True,True,True,True,,True,False,True,,True,True,True,False,True
Wisconsin,5567,5831.7,6162.2,6442.0,5883.9,5641.0,5763.0,5649.6,5304.0,5208.8,4746.0,6462.0,5483.2,5616.9,,5582.6,6570.0,5913.8,4885.6,6368.0,5313.6,5432.2,5665.0,5910.4,6090.0,5810.1,5933.9,5439.0,5799.3,5793.3,6132.0,,5414.0,6127.0,5426.0,4185.5,5429.0,5408.0,,6089.9,5836.6,5296.0,6146.1,5493.0,5371.0,5985.7,5044.4,5190.7,264.7,595.2,875.0,316.9,74.0,196.0,82.6,-263.0,-358.2,-821.0,895.0,-83.8,49.9,,15.6,1003.0,346.8,-681.4,801.0,-253.4,-134.8,98.0,343.4,523.0,243.1,366.9,-128.0,232.3,226.3,565.0,,-153.0,560.0,-141.0,-1381.5,-138.0,-159.0,,522.9,269.6,-271.0,579.1,-74.0,-196.0,418.7,-522.6,-376.3,False,False,False,True,True,True,True,False,False,False,True,True,,True,False,False,False,False,True,True,True,False,False,True,False,True,True,True,False,,True,False,True,False,True,True,,False,False,False,False,True,True,False,False,False
Wyoming,489,533.1,559.9,564.0,541.0,494.0,455.0,488.9,430.0,447.6,530.0,662.4,566.1,454.9,,480.0,610.0,447.9,397.6,552.0,410.4,442.8,490.0,442.2,529.0,509.9,576.2,,458.4,482.5,539.0,,,540.3,494.0,395.5,485.0,401.2,,575.4,560.7,448.0,,472.0,623.0,532.3,405.5,533.6,44.1,70.9,75.0,52.0,5.0,-34.0,-0.1,-59.0,-41.4,41.0,173.4,77.1,-34.1,,-9.0,121.0,-41.1,-91.4,63.0,-78.6,-46.2,1.0,-46.8,40.0,20.9,87.2,,-30.6,-6.5,50.0,,,51.3,5.0,-93.5,-4.0,-87.8,,86.4,71.7,-41.0,,-17.0,134.0,43.3,-83.5,44.6,False,False,False,True,True,True,False,True,True,False,False,True,,True,False,True,False,False,False,False,True,False,True,True,False,,True,True,False,,,False,True,False,True,False,,False,False,True,,True,False,True,False,False
US,379070,364049.0,389920.4,,364332.2,376521.0,375744.0,369005.0,380016.0,354890.3,369625.0,410582.4,372584.9,,378787.0,353578.8,379260.0,381985.5,362117.6,382891.0,348950.0,379734.2,382725.5,387546.5,374184.0,377176.7,380199.2,,336332.9,376626.3,405741.5,372983.8,359744.7,376230.6,373815.0,377599.5,372822.0,357934.2,398511.0,,380003.5,378292.0,383440.6,377738.0,381395.0,,319214.0,367911.7,-10732.0,15139.4,,-10448.8,1740.0,963.0,-5776.0,5235.0,-19890.7,-5156.0,35801.4,-2196.1,,4006.0,-21202.2,4479.0,7204.5,-12663.4,8110.0,-25831.0,4953.2,7944.5,12765.5,-597.0,2395.7,5418.2,,-38448.1,1845.3,30960.5,-1797.2,-15036.3,1449.6,-966.0,2818.5,-1959.0,-16846.8,23730.0,,5222.5,3511.0,8659.6,2957.0,6614.0,,-55567.0,-6869.3,False,,True,True,True,True,True,False,True,False,True,,True,False,True,True,False,True,False,True,True,False,True,True,True,,False,True,False,True,False,True,True,True,True,False,False,,True,True,True,True,True,,False,True
