,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,7425,7219.4,7219.8,7120.2,7262.3,7260.0,7258.0,7240.0,7075.0,7270.8,7191.0,7017.9,7376.0,7134.8,7230.9,7442.8,7323.8,,7297.0,7409.5,7480.2,7354.6,7217.0,7229.0,7249.3,7335.0,7258.9,7253.3,7348.4,7319.0,,7145.5,7123.4,7277.0,7786.1,7196.0,7187.6,,7229.6,7277.8,7369.6,7282.0,7240.5,7237.0,7235.0,7087.4,7099.7,-205.6,-205.2,-304.8,-162.7,-165.0,-167.0,-185.0,-350.0,-154.2,-234.0,-407.1,-49.0,-290.2,-194.1,17.8,-101.2,,-128.0,-15.5,55.2,-70.4,-208.0,-196.0,-175.7,-90.0,-166.1,-171.7,-76.6,-106.0,,-279.5,-301.6,-148.0,361.1,-229.0,-237.4,,-195.4,-147.2,-55.4,-143.0,-184.5,-188.0,-190.0,-337.6,-325.3,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,,False,False,True,False,False,False,,True,True,True,True,True,True,True,False,False
North Dakota,1360,1347.7,1348.3,1366.7,1352.1,1354.0,1356.0,1348.0,1319.0,1338.8,1344.0,1362.0,1340.0,1341.3,1367.2,1355.5,1333.1,,1348.0,1340.2,1354.6,1340.1,1333.0,1333.9,1355.8,1369.0,1349.9,1350.5,1348.5,1346.0,,,1325.6,1337.0,1202.5,1337.0,1354.7,,1316.4,1361.5,1348.9,1338.0,1389.7,1335.0,1353.4,1353.4,1355.1,-5.3,-4.7,13.7,-0.9,1.0,3.0,-5.0,-34.0,-14.2,-9.0,9.0,-13.0,-11.7,14.2,2.5,-19.9,,-5.0,-12.8,1.6,-12.9,-20.0,-19.1,2.8,16.0,-3.1,-2.5,-4.5,-7.0,,,-27.4,-16.0,-150.5,-16.0,1.7,,-36.6,8.5,-4.1,-15.0,36.7,-18.0,0.4,0.4,2.1,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,,True,False,True,False,False,False,True,False,True,True,True,False,,,False,False,False,False,True,,False,False,True,False,False,False,True,True,True
Ohio,9599,9562.0,9649.2,9440.4,9545.2,9551.0,9558.0,9521.0,9179.0,9500.7,9400.0,9371.6,9677.0,9612.7,9508.8,9628.6,9489.1,,9782.0,9409.7,9863.4,9482.7,9626.0,9534.7,9416.9,9572.0,9624.9,9579.8,9541.9,9493.0,,9377.7,9339.6,9389.0,10218.5,9389.0,9587.7,,9520.5,9620.7,9622.2,9522.0,9568.9,9450.0,9537.5,9303.7,9533.3,-37.0,50.2,-158.6,-53.8,-48.0,-41.0,-78.0,-420.0,-98.3,-199.0,-227.4,78.0,13.7,-90.2,29.6,-109.9,,183.0,-189.3,264.4,-116.3,27.0,-64.3,-182.1,-27.0,25.9,-19.2,-57.1,-106.0,,-221.3,-259.4,-210.0,619.5,-210.0,-11.3,,-78.5,21.7,23.2,-77.0,-30.1,-149.0,-61.5,-295.3,-65.7,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,False,True,False,False,True,True,True,False,False,,False,False,False,False,False,True,,False,True,True,False,True,False,False,False,False
Oklahoma,2738,2698.7,2683.2,2649.4,2697.0,2697.0,2697.0,2699.0,2566.0,2711.0,2686.0,2612.7,2726.0,2663.6,2695.3,2692.6,2713.4,,2740.0,2757.6,2798.9,2706.8,2704.0,2683.9,2646.1,2750.0,2709.7,2715.1,2690.0,2713.0,,,2674.0,2684.0,2679.1,2672.0,2699.3,,2712.1,2719.2,2764.6,2701.0,2698.8,2698.0,2688.1,2629.5,2701.5,-39.3,-54.8,-88.6,-41.0,-41.0,-41.0,-39.0,-172.0,-27.0,-52.0,-125.3,-12.0,-74.4,-42.7,-45.4,-24.6,,2.0,19.6,60.9,-31.2,-34.0,-54.1,-91.9,12.0,-28.3,-22.9,-48.0,-25.0,,,-64.0,-54.0,-58.9,-66.0,-38.7,,-25.9,-18.8,26.6,-37.0,-39.2,-40.0,-49.9,-108.5,-36.5,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,,True,True,False,True,True,False,False,True,True,True,False,True,,,False,False,False,False,True,,True,True,True,True,True,False,False,False,True
Oregon,1603,1562.6,1538.0,1625.0,1540.2,1565.0,1562.0,1584.0,1584.0,1590.2,1573.0,1681.6,1643.0,1590.0,1585.2,1575.4,1577.4,,1611.0,1665.3,1681.7,1590.2,1557.0,1548.8,1593.1,1604.0,1573.6,1592.7,1632.0,1593.0,,,1536.0,1590.0,1674.9,1567.0,1560.5,,1574.5,1583.4,1615.7,1581.0,1582.8,1551.0,1687.5,1554.9,1591.2,-40.4,-65.0,22.0,-62.8,-38.0,-41.0,-19.0,-19.0,-12.8,-30.0,78.6,40.0,-13.0,-17.8,-27.6,-25.6,,8.0,62.3,78.7,-12.8,-46.0,-54.2,-9.9,1.0,-29.4,-10.3,29.0,-10.0,,,-67.0,-13.0,71.9,-36.0,-42.5,,-28.5,-19.6,12.7,-22.0,-20.2,-52.0,84.5,-48.1,-11.8,False,True,False,True,False,True,True,True,True,False,True,True,True,True,True,,True,False,False,True,False,False,True,True,True,True,True,True,,,False,True,False,True,False,,True,True,True,True,True,False,False,False,True
Pennsylvania,17626,17310.9,17568.8,17105.9,17495.6,17477.0,17500.0,17335.0,17325.0,17275.2,17239.0,17281.7,17698.0,17358.9,17418.1,17717.5,17345.3,,17753.0,16725.4,17240.5,17403.4,17383.0,17306.3,17104.7,17251.0,17645.6,17374.6,17381.0,17222.5,,17091.0,17017.5,17216.0,17344.0,17052.0,17500.9,,17405.6,17638.7,17360.0,17139.0,17586.2,17293.0,17560.3,16615.4,17132.1,-315.1,-57.2,-520.1,-130.4,-149.0,-126.0,-291.0,-301.0,-350.8,-387.0,-344.3,72.0,-267.1,-207.9,91.5,-280.7,,127.0,-900.6,-385.5,-222.6,-243.0,-319.7,-521.3,-375.0,19.6,-251.4,-245.0,-403.5,,-535.0,-608.5,-410.0,-282.0,-574.0,-125.1,,-220.4,12.7,-266.0,-487.0,-39.8,-333.0,-65.7,-1010.6,-493.9,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,,True,False,False,True,True,False,False,False,True,True,True,False,,False,False,False,True,False,True,,True,True,True,False,True,False,True,False,False
Rhode Island,1916,1839.6,1879.3,1882.2,1845.2,1861.0,1850.0,1850.0,1828.0,1831.7,1828.0,1886.9,1854.0,1935.6,1860.2,1817.7,1870.4,,1921.0,1820.7,1790.8,1860.2,1830.0,1834.6,1851.1,1878.0,1871.3,1854.7,1857.0,1903.0,,,1857.2,1811.0,1908.7,1792.0,1807.4,,1838.2,1880.1,1860.0,1838.0,1849.0,1828.0,1908.5,1751.7,1848.6,-76.4,-36.7,-33.8,-70.8,-55.0,-66.0,-66.0,-88.0,-84.3,-88.0,-29.1,-62.0,19.6,-55.8,-98.3,-45.6,,5.0,-95.3,-125.2,-55.8,-86.0,-81.4,-64.9,-38.0,-44.7,-61.3,-59.0,-13.0,,,-58.8,-105.0,-7.3,-124.0,-108.6,,-77.8,-35.9,-56.0,-78.0,-67.0,-88.0,-7.5,-164.3,-67.4,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,,True,False,False,True,False,False,True,True,True,True,True,True,,,True,False,True,False,False,,False,True,True,False,True,False,True,False,True
South Carolina,5758,5738.1,5671.2,5532.4,5644.9,5641.0,5646.0,5646.0,5617.0,5656.4,5639.0,5465.6,5709.0,5659.5,,5603.6,5695.1,,5621.0,5758.9,5747.4,5717.3,5799.0,5629.9,5569.4,5605.0,5645.1,5703.0,5715.4,5600.0,,5600.5,5687.8,5669.0,6323.5,5778.0,5644.9,,5566.9,5659.0,5686.9,5753.0,5630.8,5646.0,5666.0,5573.0,5807.4,-19.9,-86.8,-225.6,-113.1,-117.0,-112.0,-112.0,-141.0,-101.6,-119.0,-292.4,-49.0,-98.5,,-154.4,-62.9,,-137.0,0.9,-10.6,-40.7,41.0,-128.1,-188.6,-153.0,-112.9,-55.0,-42.6,-158.0,,-157.5,-70.2,-89.0,565.5,20.0,-113.1,,-191.1,-99.0,-71.1,-5.0,-127.2,-112.0,-92.0,-185.0,49.4,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False
South Dakota,1570,1570.4,1570.5,1601.8,1555.9,1550.0,1556.0,1565.0,1523.0,1548.3,1555.0,1572.7,1621.0,1558.8,1551.9,1537.8,1564.2,,1585.0,1597.2,1559.7,1573.2,1543.0,1542.1,1598.4,1582.0,1556.6,1570.2,1561.6,1565.0,,,1542.3,1552.0,1340.3,1584.0,1519.0,,1553.3,1567.0,1564.5,1578.0,1591.9,1552.0,1585.2,1572.3,1596.1,0.4,0.5,31.8,-14.1,-20.0,-14.0,-5.0,-47.0,-21.7,-15.0,2.7,51.0,-11.2,-18.1,-32.2,-5.8,,15.0,27.2,-10.3,3.2,-27.0,-27.9,28.4,12.0,-13.4,0.2,-8.4,-5.0,,,-27.7,-18.0,-229.7,14.0,-51.0,,-16.7,-3.0,-5.5,8.0,21.9,-18.0,15.2,2.3,26.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Tennessee,7704,7464.7,7452.3,7435.9,7499.0,7484.0,7497.0,7489.0,7385.0,7495.8,7301.0,7416.5,7845.0,7429.8,7487.4,7716.2,7554.8,,7614.0,7510.6,7349.9,7519.2,7433.0,7408.0,7374.5,7481.0,7517.1,7476.7,7499.9,7506.0,,7377.3,7309.1,7558.0,7957.5,7304.0,7511.9,,7423.3,7518.0,7506.0,7466.0,7509.3,7405.0,7610.7,7110.8,7572.1,-239.3,-251.7,-268.1,-205.0,-220.0,-207.0,-215.0,-319.0,-208.2,-403.0,-287.5,141.0,-274.2,-216.6,12.2,-149.2,,-90.0,-193.4,-354.1,-184.8,-271.0,-296.0,-329.5,-223.0,-186.9,-227.3,-204.1,-198.0,,-326.7,-394.9,-146.0,253.5,-400.0,-192.1,,-280.7,-186.0,-198.0,-238.0,-194.7,-299.0,-93.3,-593.2,-131.9,False,False,True,True,True,True,False,True,False,False,True,False,True,True,True,,True,True,False,True,False,False,False,True,True,True,True,True,,False,False,True,False,False,True,,False,True,True,True,True,False,True,False,True
Texas,30313,29684.9,30148.2,29379.7,29801.8,29696.0,29760.0,29697.0,29685.0,29592.0,29698.0,28857.2,29567.0,29621.9,29967.4,29739.1,29770.1,,29877.0,30210.9,29923.2,29853.2,29833.0,29708.0,29474.1,29448.0,29981.1,29720.2,29877.4,29732.5,,29432.5,29403.6,29820.0,29991.0,29447.0,29756.2,,29681.1,29996.7,29911.1,29650.0,29664.4,29626.0,29671.7,29093.8,29023.6,-562.1,-98.8,-867.3,-445.2,-551.0,-487.0,-550.0,-562.0,-655.0,-549.0,-1389.8,-680.0,-625.1,-279.6,-507.9,-476.9,,-370.0,-36.1,-323.8,-393.8,-414.0,-539.0,-772.9,-799.0,-265.9,-526.8,-369.6,-514.5,,-814.5,-843.4,-427.0,-256.0,-800.0,-490.8,,-565.9,-250.3,-335.9,-597.0,-582.6,-621.0,-575.3,-1153.2,-1223.4,True,False,True,True,True,True,True,False,True,False,False,False,True,True,True,,True,True,True,True,True,True,False,False,True,True,True,True,,False,False,True,True,False,True,,False,True,True,False,False,False,False,False,False
Utah,1390,1375.6,1363.8,1480.2,1378.9,1369.0,1376.0,1374.0,1372.0,1385.2,1361.0,1366.5,1363.0,1353.3,1380.8,1415.3,1358.0,,1364.0,1495.9,1037.0,1370.0,1351.0,1371.6,1361.4,1411.0,1392.9,1385.5,1381.8,1372.0,,,1352.1,1357.0,1259.1,1360.0,1380.8,,1417.2,1404.0,1366.6,1367.0,1388.6,1371.0,1388.0,968.5,1377.6,-14.4,-26.2,90.2,-11.1,-21.0,-14.0,-16.0,-18.0,-4.8,-29.0,-23.5,-27.0,-36.7,-9.2,25.3,-32.0,,-26.0,105.9,-353.0,-20.0,-39.0,-18.4,-28.6,21.0,2.9,-4.5,-8.2,-18.0,,,-37.9,-33.0,-130.9,-30.0,-9.2,,27.2,14.0,-23.4,-23.0,-1.4,-19.0,-2.0,-421.5,-12.4,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,True,True,True,False,,,False,False,False,False,True,,False,True,False,False,True,False,True,False,True
Vermont,156,151.1,153.2,150.5,157.7,156.0,157.0,154.0,147.0,154.2,154.0,161.7,150.0,154.7,158.8,156.9,151.6,,156.0,154.5,167.6,160.9,149.0,146.2,139.0,171.0,158.0,155.8,153.6,139.0,,,152.2,154.0,129.1,154.0,156.8,,147.8,170.4,157.5,152.0,153.5,152.0,153.6,143.7,153.5,-4.9,-2.8,-5.5,1.7,0.0,1.0,-2.0,-9.0,-1.8,-2.0,5.7,-6.0,-1.3,2.8,0.9,-4.4,,0.0,-1.5,11.6,4.9,-7.0,-9.8,-17.0,15.0,2.0,-0.2,-2.4,-17.0,,,-3.8,-2.0,-26.9,-2.0,0.8,,-8.2,14.4,1.5,-4.0,-2.5,-4.0,-2.4,-12.3,-2.5,True,False,True,True,True,True,False,True,True,False,False,True,True,True,True,,True,True,False,False,False,False,False,False,True,True,True,False,,,True,True,False,True,True,,False,False,True,True,True,True,True,False,True
Virginia,5381,5355.4,5407.4,5260.3,5382.1,5379.0,5394.0,5379.0,5313.0,5404.0,5357.0,5233.7,5355.0,5410.9,5407.5,5432.7,5381.2,,5370.0,5311.2,5539.3,5397.6,5379.0,5379.8,5297.0,5416.0,5411.7,5398.9,5409.6,5450.0,,5277.4,5254.8,5376.0,5610.2,5328.0,5403.5,,5360.9,5419.9,5442.7,5367.0,5389.1,5408.0,5354.9,5229.1,5372.1,-25.6,26.4,-120.7,1.1,-2.0,13.0,-2.0,-68.0,23.0,-24.0,-147.3,-26.0,29.9,26.5,51.7,0.2,,-11.0,-69.8,158.3,16.6,-2.0,-1.2,-84.0,35.0,30.7,17.9,28.6,69.0,,-103.6,-126.2,-5.0,229.2,-53.0,22.5,,-20.1,38.9,61.7,-14.0,8.1,27.0,-26.1,-151.9,-8.9,False,False,True,True,True,True,False,True,True,False,False,False,False,False,True,,True,False,False,True,True,True,False,False,False,True,False,False,,False,False,True,False,False,True,,True,False,False,True,True,False,False,False,True
Washington,3698,3694.7,3730.7,3563.4,3738.0,3638.0,3738.0,3600.0,3565.0,3626.3,3594.0,3385.9,3583.0,3554.8,3588.9,3834.8,3619.8,,3721.0,3517.0,3681.7,3640.1,3571.0,3603.1,3551.9,3627.0,3646.3,3654.7,3601.0,3762.0,,3500.0,3603.4,3608.0,3882.5,3620.0,3614.3,,3592.9,3658.5,3714.5,3588.0,3570.6,3566.0,,3525.4,3390.8,-3.3,32.7,-134.6,40.0,-60.0,40.0,-98.0,-133.0,-71.7,-104.0,-312.1,-115.0,-143.2,-109.1,136.8,-78.2,,23.0,-181.0,-16.3,-57.9,-127.0,-94.9,-146.1,-71.0,-51.7,-43.3,-97.0,64.0,,-198.0,-94.6,-90.0,184.5,-78.0,-83.7,,-105.1,-39.5,16.5,-110.0,-127.4,-132.0,,-172.6,-307.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False
West Virginia,1570,1480.6,1518.5,1488.1,1487.5,1484.0,1493.0,1499.0,1441.0,1514.9,1516.0,1478.1,1550.0,1482.2,1519.0,1497.8,1519.7,,1487.0,1480.8,1558.5,1531.7,1495.0,1484.1,1510.9,1501.0,1516.1,1500.3,1498.6,1568.0,,,1458.0,1510.0,1594.0,1490.0,1491.8,,1483.9,1525.1,1519.2,1485.0,1507.0,1490.0,1523.3,1443.4,1503.2,-89.4,-51.5,-81.9,-82.5,-86.0,-77.0,-71.0,-129.0,-55.1,-54.0,-91.9,-20.0,-87.8,-51.0,-72.2,-50.3,,-83.0,-89.2,-11.5,-38.3,-75.0,-85.9,-59.1,-69.0,-53.9,-69.7,-71.4,-2.0,,,-112.0,-60.0,24.0,-80.0,-78.2,,-86.1,-44.9,-50.8,-85.0,-63.0,-80.0,-46.7,-126.6,-66.8,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,False,True,True,True,True,,True,True,True,True,True,True,True,False,True
Wisconsin,5567,5451.3,5500.4,5638.6,5493.2,5489.0,5483.0,5488.0,5448.0,5474.9,5498.0,5612.5,5325.0,5402.5,5460.0,5362.5,5515.0,,5568.0,5651.3,5563.5,5489.7,5387.0,5452.1,5515.9,5536.0,5510.6,5479.3,5441.5,5520.0,,5499.2,5379.2,5459.0,4819.0,5419.0,5534.8,,5488.5,5510.0,5512.6,5416.0,5584.5,5488.0,5590.3,5451.6,5106.5,-115.7,-66.6,71.6,-73.8,-78.0,-84.0,-79.0,-119.0,-92.1,-69.0,45.5,-242.0,-164.5,-107.0,-204.5,-52.0,,1.0,84.3,-3.5,-77.3,-180.0,-114.9,-51.1,-31.0,-56.4,-87.7,-125.5,-47.0,,-67.8,-187.8,-108.0,-748.0,-148.0,-32.2,,-78.5,-57.0,-54.4,-151.0,17.5,-79.0,23.3,-115.4,-460.5,True,True,True,True,True,True,False,True,True,True,False,False,True,False,True,,True,True,True,True,False,True,True,True,True,True,False,True,,True,False,True,False,False,True,,True,True,True,False,True,True,True,True,False
Wyoming,489,493.7,473.7,464.6,504.4,492.0,503.0,466.0,444.0,466.7,469.0,430.8,476.0,466.3,491.8,544.9,461.2,,475.0,455.8,466.9,463.0,471.0,464.3,477.9,469.0,483.7,483.4,470.0,471.0,,,486.1,459.0,422.4,454.0,456.9,,455.4,495.4,488.3,462.0,484.3,480.0,457.2,462.7,484.2,4.7,-15.3,-24.4,15.4,3.0,14.0,-23.0,-45.0,-22.3,-20.0,-58.2,-13.0,-22.7,2.8,55.9,-27.8,,-14.0,-33.2,-22.1,-26.0,-18.0,-24.7,-11.1,-20.0,-5.3,-5.6,-19.0,-18.0,,,-2.9,-30.0,-66.6,-35.0,-32.1,,-33.6,6.4,-0.7,-27.0,-4.7,-9.0,-31.8,-26.3,-4.8,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,True,False,False,False,False,,False,False,True,False,False,False,False,False,False
US,372530,367404.6,366793.4,363661.5,368148.2,,368463.0,367424.0,362364.0,366701.6,368924.0,360839.6,368045.0,366951.5,369044.4,367872.1,,376536.0,366327.0,364359.1,366843.7,368815.4,368000.5,368134.8,,367269.0,369333.8,367703.7,368662.2,368473.0,373799.3,362819.9,365707.8,365221.0,373929.1,365494.0,367270.2,368378.0,,369819.4,369468.7,367188.0,370719.8,366431.0,,359336.2,361684.8,-5048.4,-5659.6,-8791.5,-4304.8,,-3990.0,-5029.0,-10089.0,-5751.4,-3529.0,-11613.4,-4408.0,-5501.5,-3408.6,-4580.9,,4083.0,-6126.0,-8093.9,-5609.3,-3637.6,-4452.5,-4318.2,,-5184.0,-3119.2,-4749.3,-3790.8,-3980.0,1346.3,-9633.1,-6745.2,-7232.0,1476.1,-6959.0,-5182.8,-4075.0,,-2633.6,-2984.3,-5265.0,-1733.2,-6022.0,,-13116.8,-10768.2,False,False,True,,True,True,False,False,True,False,True,False,True,True,,True,False,False,False,True,True,True,,False,True,True,True,True,True,False,False,False,True,False,False,True,,True,True,False,True,False,,False,False
