,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,6246,6393.7,6369.9,6474.3,6323.0,6347.6,6360.0,6267.0,6303.1,6424.0,6263.5,6167.0,6721.9,6369.0,6386.8,,6443.6,6281.0,6522.9,6149.3,6361.0,6323.8,6370.9,6360.0,6389.8,6495.0,6287.2,6580.4,6516.4,6576.0,,6055.2,6421.2,6445.0,6038.6,6107.0,6188.6,,6373.9,6317.4,6266.0,6760.4,6435.0,6748.0,6433.8,5554.2,6379.0,147.7,123.9,228.3,77.0,101.6,114.0,21.0,57.1,178.0,17.5,-79.0,475.9,123.0,140.8,,197.6,35.0,276.9,-96.7,115.0,77.8,124.9,114.0,143.8,249.0,41.2,334.4,270.4,330.0,,-190.8,175.2,199.0,-207.4,-139.0,-57.4,,127.9,71.4,20.0,514.4,189.0,502.0,187.8,-691.8,133.0,True,False,True,True,True,True,True,False,True,True,False,True,True,,False,True,False,True,True,True,True,True,True,False,True,False,False,False,,False,False,False,False,True,True,,True,True,True,False,False,False,False,False,True
Massachusetts,13074,12768.4,12772.8,12944.3,12909.0,12707.2,12988.0,12917.0,12959.8,13506.0,12933.0,12927.0,13201.7,12975.5,13559.0,,13561.1,13011.0,13218.4,13606.2,12874.0,13443.1,13436.3,12626.0,12956.1,13047.0,13078.6,13262.6,12785.3,12282.0,,12478.6,12937.3,13059.0,14255.1,12683.0,12490.5,,12981.7,13113.6,12928.0,12701.5,13202.0,13188.5,13112.2,11934.7,12994.8,-305.6,-301.2,-129.7,-165.0,-366.8,-86.0,-157.0,-114.2,432.0,-141.0,-147.0,127.7,-98.5,485.0,,487.1,-63.0,144.4,532.2,-200.0,369.1,362.3,-448.0,-117.9,-27.0,4.6,188.6,-288.7,-792.0,,-595.4,-136.7,-15.0,1181.1,-391.0,-583.5,,-92.3,39.6,-146.0,-372.5,128.0,114.5,38.2,-1139.3,-79.2,True,True,True,False,True,True,True,False,True,True,True,True,False,,False,True,True,False,True,False,False,False,True,True,True,True,True,False,,False,True,True,False,False,False,,True,True,True,False,True,True,True,False,True
Michigan,14145,14585.4,14473.3,14458.4,14509.0,14710.5,14295.0,14238.0,14151.6,14027.0,13960.4,13894.0,14938.4,14395.2,14086.6,,15023.0,14745.0,14831.3,13015.5,14775.0,14174.9,14132.8,14135.0,14213.1,14643.0,14610.4,14969.6,14209.8,14379.0,,13668.4,14440.3,13901.0,12855.0,13104.0,13968.3,,14380.6,14652.8,13924.0,14905.5,14352.0,14182.5,15149.5,12491.5,14183.7,440.4,328.3,313.4,364.0,565.5,150.0,93.0,6.6,-118.0,-184.6,-251.0,793.4,250.2,-58.4,,878.0,600.0,686.3,-1129.5,630.0,29.9,-12.2,-10.0,68.1,498.0,465.4,824.6,64.8,234.0,,-476.6,295.3,-244.0,-1290.0,-1041.0,-176.7,,235.6,507.8,-221.0,760.5,207.0,37.5,1004.5,-1653.5,38.7,True,True,True,False,True,True,True,True,True,True,False,True,True,,False,False,False,False,False,True,True,True,True,False,False,False,True,True,,False,True,True,False,False,True,,True,False,True,False,True,True,False,False,True
Minnesota,5731,6069.0,6457.6,6187.3,6093.0,6102.1,6019.0,6077.0,5881.9,5652.0,5641.4,6045.0,6078.0,5761.3,5612.3,,6341.1,6400.0,5982.5,5146.3,6144.0,5995.6,5662.5,5729.0,5974.3,6231.0,6056.3,6354.7,5754.1,6218.5,,7006.4,6140.6,5674.0,4905.9,5684.0,5974.7,,6189.8,6065.6,5702.0,6330.7,5806.0,6282.5,6446.7,5203.5,6050.6,338.0,726.6,456.3,362.0,371.1,288.0,346.0,150.9,-79.0,-89.6,314.0,347.0,30.3,-118.7,,610.1,669.0,251.5,-584.7,413.0,264.6,-68.5,-2.0,243.3,500.0,325.3,623.7,23.1,487.5,,1275.4,409.6,-57.0,-825.1,-47.0,243.7,,458.8,334.6,-29.0,599.7,75.0,551.5,715.7,-527.5,319.6,False,False,False,False,True,False,True,True,True,True,False,True,True,,False,False,True,False,False,True,True,True,True,False,True,False,True,False,,False,False,True,False,True,True,,False,True,True,False,True,False,False,False,True
Mississippi,5146,5009.0,5141.2,5284.0,5106.0,5019.9,5156.0,5264.0,5157.0,5469.0,5063.8,5091.0,5156.7,5166.2,5193.0,,5328.4,5174.0,5270.2,5370.7,5121.0,4977.4,5127.7,5462.0,5098.4,5087.0,5101.0,5297.7,5163.7,4915.0,,4932.3,5092.6,5225.0,4847.9,4996.0,4952.8,,5158.9,5131.9,5150.0,4942.9,5302.0,5186.5,5815.0,4629.2,5197.1,-137.0,-4.8,138.0,-40.0,-126.1,10.0,118.0,11.0,323.0,-82.2,-55.0,10.7,20.2,47.0,,182.4,28.0,124.2,224.7,-25.0,-168.6,-18.3,316.0,-47.6,-59.0,-45.0,151.7,17.7,-231.0,,-213.7,-53.4,79.0,-298.1,-150.0,-193.2,,12.9,-14.1,4.0,-203.1,156.0,40.5,669.0,-516.8,51.1,True,False,True,True,True,True,True,False,True,True,True,True,True,,False,True,True,False,True,False,True,False,True,True,True,False,True,False,,False,True,True,False,False,False,,True,True,True,False,False,True,False,False,True
Missouri,6173,6410.3,6139.5,6334.3,6366.0,6386.1,6199.0,6577.0,6018.9,6096.0,5766.0,6095.0,5945.9,5991.3,6189.1,,6371.6,6289.0,6259.0,5362.9,6284.0,6063.6,6070.3,6121.5,6225.8,6273.0,6258.9,6405.3,6579.5,6702.0,,5847.1,5996.4,6029.0,6145.5,5765.0,5486.5,,5865.9,6375.1,5948.0,6260.1,6208.0,6470.0,,5200.0,5165.8,266.3,-4.5,190.3,222.0,242.1,55.0,433.0,-125.1,-48.0,-378.0,-49.0,-198.1,-152.7,45.1,,227.6,145.0,115.0,-781.1,140.0,-80.4,-73.7,-22.5,81.8,129.0,114.9,261.3,435.5,558.0,,-296.9,-147.6,-115.0,1.5,-379.0,-657.5,,-278.1,231.1,-196.0,116.1,64.0,326.0,,-944.0,-978.2,True,True,True,True,True,False,True,True,False,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,False,False,,False,True,True,True,False,False,,False,True,True,True,True,False,,False,False
Montana,1054,999.3,1043.7,1003.5,1011.0,1008.0,1006.0,955.0,1016.0,981.0,957.3,974.0,968.3,985.0,983.2,,1044.1,1158.0,991.1,946.5,1055.0,1169.1,999.7,988.0,1010.9,1133.0,1033.2,1053.4,990.5,1070.0,,,970.6,1024.0,999.8,984.0,1021.9,,1049.0,1069.6,1010.0,1058.1,1014.0,965.0,1039.9,966.5,1041.4,-54.7,-10.3,-50.5,-43.0,-46.0,-48.0,-99.0,-38.0,-73.0,-96.7,-80.0,-85.7,-69.0,-70.8,,-9.9,104.0,-62.9,-107.5,1.0,115.1,-54.3,-66.0,-43.1,79.0,-20.8,-0.6,-63.5,16.0,,,-83.4,-30.0,-54.2,-70.0,-32.1,,-5.0,15.6,-44.0,4.1,-40.0,-89.0,-14.1,-87.5,-12.6,True,True,True,True,True,False,True,False,False,False,False,False,False,,True,False,False,False,True,False,True,False,True,False,True,True,False,True,,,False,True,True,False,True,,True,True,True,True,True,False,True,False,True
Nebraska,1737,1808.9,1853.2,1697.8,2019.0,1805.0,1884.0,1894.0,1805.1,1742.0,1918.8,1834.0,2014.3,1821.2,1883.8,,2125.1,1898.5,1921.0,1695.7,1938.0,1982.9,1811.6,1749.0,1815.3,2043.0,1881.0,1959.7,1725.6,2001.0,,,1568.3,1790.0,1606.5,1708.0,1571.6,,1999.9,1902.9,1737.0,1898.2,1745.0,1968.0,2138.0,1648.8,1855.8,71.9,116.2,-39.2,282.0,68.0,147.0,157.0,68.1,5.0,181.8,97.0,277.3,84.2,146.8,,388.1,161.5,184.0,-41.3,201.0,245.9,74.6,12.0,78.3,306.0,144.0,222.7,-11.4,264.0,,,-168.7,53.0,-130.5,-29.0,-165.4,,262.9,165.9,0.0,161.2,8.0,231.0,401.0,-88.2,118.8,False,True,False,True,False,False,True,True,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,False,False,False,True,False,,,False,True,False,True,False,,False,False,True,False,True,False,False,False,False
Nevada,3450,3464.7,3117.8,3595.6,3484.0,3435.9,3489.0,3761.0,3456.8,3468.0,3430.4,3260.0,3551.3,3489.6,3551.4,,3586.5,3451.0,3715.9,3265.1,3699.0,3439.5,3546.0,3421.0,3504.0,3585.0,3467.7,3664.1,3453.6,3836.5,,3273.0,3542.6,3529.0,3614.1,3357.0,3362.5,,3614.6,3500.7,3389.0,3540.0,3525.0,3744.0,,2943.7,3487.6,14.7,-332.2,145.6,34.0,-14.1,39.0,311.0,6.8,18.0,-19.6,-190.0,101.3,39.6,101.4,,136.5,1.0,265.9,-184.9,249.0,-10.5,96.0,-29.0,54.0,135.0,17.7,214.1,3.6,386.5,,-177.0,92.6,79.0,164.1,-93.0,-87.5,,164.6,50.7,-61.0,90.0,75.0,294.0,,-506.3,37.6,False,False,False,True,False,False,True,False,False,False,False,False,False,,False,True,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False
New Hampshire,862,807.4,990.8,847.8,811.0,800.0,854.0,751.0,827.1,898.0,820.2,766.0,846.8,864.1,897.3,,959.2,875.0,866.1,905.5,868.0,1039.5,929.6,782.0,810.8,888.0,816.2,881.8,837.4,814.0,,,870.2,842.0,1042.8,805.0,699.1,,836.7,854.3,844.0,794.0,874.0,957.5,875.0,671.6,844.0,-54.6,128.8,-14.2,-51.0,-62.0,-8.0,-111.0,-34.9,36.0,-41.8,-96.0,-15.2,2.1,35.3,,97.2,13.0,4.1,43.5,6.0,177.5,67.6,-80.0,-51.2,26.0,-45.8,19.8,-24.6,-48.0,,,8.2,-20.0,180.8,-57.0,-162.9,,-25.3,-7.7,-18.0,-68.0,12.0,95.5,13.0,-190.4,-18.0,False,True,True,False,True,False,True,True,True,False,True,True,True,,False,True,True,True,True,False,False,False,True,True,True,True,True,True,,,True,True,False,False,False,,True,True,True,False,True,False,True,False,True
New Jersey,19854,19459.7,19007.7,19743.1,19659.0,19495.8,19603.0,19692.0,19587.9,19249.0,19404.2,18855.0,20221.2,19828.7,20044.2,,19802.0,19586.0,19724.8,19318.6,19914.0,20131.2,19591.2,19739.0,19582.0,19928.0,19517.7,19879.5,19653.9,19261.0,,18998.8,19637.9,19946.0,19488.6,19299.0,19243.2,,19599.2,19561.4,19154.0,18958.4,19591.0,19935.0,20077.9,18406.0,19721.8,-394.3,-846.3,-110.9,-195.0,-358.2,-251.0,-162.0,-266.1,-605.0,-449.8,-999.0,367.2,-25.3,190.2,,-52.0,-268.0,-129.2,-535.4,60.0,277.2,-262.8,-115.0,-272.0,74.0,-336.3,25.5,-200.1,-593.0,,-855.2,-216.1,92.0,-365.4,-555.0,-610.8,,-254.8,-292.6,-700.0,-895.6,-263.0,81.0,223.9,-1448.0,-132.2,False,True,True,True,True,True,True,False,False,False,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,False,,False,True,True,True,False,False,,True,True,False,False,True,True,True,False,True
New Mexico,2732,2782.4,2516.4,2874.1,2944.0,2881.0,2782.0,2883.0,2740.0,2636.0,2564.4,2770.0,2794.3,3022.0,2806.5,,2777.0,2865.0,2805.4,2430.6,2822.0,2557.3,2698.2,2611.0,2727.6,2710.0,2748.7,2877.2,2875.7,3149.0,,,2805.0,2743.0,2722.7,2595.0,2779.7,,2491.1,2782.3,2691.0,2729.8,2731.0,2782.0,2821.4,2367.0,2730.4,50.4,-215.6,142.1,212.0,149.0,50.0,151.0,8.0,-96.0,-167.6,38.0,62.3,290.0,74.5,,45.0,133.0,73.4,-301.4,90.0,-174.7,-33.8,-121.0,-4.4,-22.0,16.7,145.2,143.7,417.0,,,73.0,11.0,-9.3,-137.0,47.7,,-240.9,50.3,-41.0,-2.2,-1.0,50.0,89.4,-365.0,-1.6,False,False,False,False,True,False,True,False,False,True,False,False,False,,True,False,False,False,False,False,True,False,True,True,True,False,False,False,,,False,True,True,False,True,,False,True,True,True,True,True,False,False,True
New York,39471,38748.1,41850.7,39835.0,39079.0,38762.7,39101.0,38826.0,39245.7,38615.0,38537.3,38365.0,39011.5,38797.9,39101.1,,39275.2,38551.0,39186.9,38983.5,39377.0,40810.9,39747.6,40029.5,39329.2,39275.0,39625.3,39390.1,38986.0,36694.5,,37437.4,38614.9,39969.0,39447.2,38950.0,39483.5,,38801.3,39703.3,38976.0,41160.2,39250.0,40016.5,38843.3,36386.0,39198.3,-722.9,2379.7,364.0,-392.0,-708.3,-370.0,-645.0,-225.3,-856.0,-933.7,-1106.0,-459.5,-673.1,-369.9,,-195.8,-920.0,-284.1,-487.5,-94.0,1339.9,276.6,558.5,-141.8,-196.0,154.3,-80.9,-485.0,-2776.5,,-2033.6,-856.1,498.0,-23.8,-521.0,12.5,,-669.7,232.3,-495.0,1689.2,-221.0,545.5,-627.7,-3085.0,-272.7,False,True,True,True,True,True,True,False,False,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,False,,False,False,True,True,True,True,,True,True,True,False,True,True,True,False,True
North Carolina,7425,7369.7,7112.4,7540.1,7618.0,7348.0,7535.0,7081.0,7452.5,7825.0,7068.7,7477.0,7423.3,7394.3,7665.3,,7511.4,7337.0,7658.4,7532.7,7665.0,8292.6,7557.3,7588.0,7617.1,7664.0,7614.9,7614.1,7589.5,7259.0,,6865.3,7219.1,7570.0,7786.1,7452.0,7424.4,,7320.5,7658.5,7575.0,7332.4,7823.0,7628.5,7144.4,6630.8,7623.0,-55.3,-312.6,115.1,193.0,-77.0,110.0,-344.0,27.5,400.0,-356.3,52.0,-1.7,-30.7,240.3,,86.4,-88.0,233.4,107.7,240.0,867.6,132.3,163.0,192.1,239.0,189.9,189.1,164.5,-166.0,,-559.7,-205.9,145.0,361.1,27.0,-0.6,,-104.5,233.5,150.0,-92.6,398.0,203.5,-280.6,-794.2,198.0,False,False,False,False,False,False,True,False,False,True,True,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,False
North Dakota,1360,1456.7,1435.1,1533.2,1649.0,1468.0,1422.0,1304.0,1394.5,1405.0,1342.9,1392.0,1388.5,1430.9,1421.7,,1584.2,1683.0,1413.5,1295.4,1543.0,1437.5,1392.1,1337.0,1398.2,1511.0,1460.0,1518.3,1352.0,1433.0,,,1438.3,1389.0,1202.5,1384.0,1310.1,,1489.8,1494.5,1374.0,1519.9,1363.0,1402.5,1761.1,1390.3,1450.2,96.7,75.1,173.2,289.0,108.0,62.0,-56.0,34.5,45.0,-17.1,32.0,28.5,70.9,61.7,,224.2,323.0,53.5,-64.6,183.0,77.5,32.1,-23.0,38.2,151.0,100.0,158.3,-8.0,73.0,,,78.3,29.0,-157.5,24.0,-49.9,,129.8,134.5,14.0,159.9,3.0,42.5,401.1,30.3,90.2,True,False,False,False,True,True,True,True,True,True,True,True,True,,False,False,True,True,False,True,True,True,True,False,False,False,True,True,,,True,True,False,True,True,,False,False,True,False,True,True,False,True,True
Ohio,14681,9632.7,9425.3,9535.7,10080.0,9692.8,9867.0,10118.0,9936.1,9933.0,10077.7,9783.0,10208.6,9442.1,9801.7,,9885.9,10532.0,10396.6,9311.4,10003.0,11288.5,9775.0,9470.0,9829.5,10595.0,10215.5,10400.0,9582.7,10430.0,,9648.8,9218.0,9911.0,10899.1,9065.0,9716.6,,10645.5,10215.6,9736.0,9868.0,9822.0,9877.0,9880.7,8524.7,9780.1,-1482.3,-1689.7,-1579.3,-1035.0,-1422.2,-1248.0,-997.0,-1178.9,-1182.0,-1037.3,-1332.0,-906.4,-1672.9,-1313.3,,-1229.1,-583.0,-718.4,-1803.6,-1112.0,173.5,-1340.0,-1645.0,-1285.5,-520.0,-899.5,-715.0,-1532.3,-685.0,,-1466.2,-1897.0,-1204.0,-215.9,-2050.0,-1398.4,,-469.5,-899.4,-1379.0,-1247.0,-1293.0,-1238.0,-1234.3,-2590.3,-1334.9,False,False,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,False,True,True,True,False,True,True,True,True,False,True,,True,False,True,True,False,True,,True,True,True,True,True,True,True,False,True
Oklahoma,2738,2634.9,2590.4,2676.1,2726.0,2630.0,2702.0,2851.0,2826.1,2628.0,2551.0,2679.0,2656.3,2619.0,2702.1,,2752.6,2861.0,2734.0,2571.3,2999.0,3156.9,2709.1,2653.0,2837.7,2978.0,2579.2,2823.9,2703.5,2795.0,,,2621.4,2702.0,2626.2,2744.0,2630.3,,2821.9,2615.0,2732.0,2694.2,2709.0,2632.0,2745.3,2389.6,2753.3,-103.1,-147.6,-61.9,-12.0,-108.0,-36.0,113.0,88.1,-110.0,-187.0,-59.0,-81.7,-119.0,-35.9,,14.6,123.0,-4.0,-166.7,261.0,418.9,-28.9,-85.0,99.7,240.0,-158.8,85.9,-34.5,57.0,,,-116.6,-36.0,-111.8,6.0,-107.7,,83.9,-123.0,-6.0,-43.8,-29.0,-106.0,7.3,-348.4,15.3,False,True,True,False,True,False,True,False,False,True,True,False,True,,True,False,True,False,False,False,True,True,True,False,False,True,True,True,,,False,True,False,True,False,,True,False,True,True,True,False,True,False,True
Oregon,1603,1872.4,1594.1,1909.5,1843.0,1910.0,1851.0,1949.0,1828.6,1647.0,1774.6,1763.0,1703.3,1883.3,1842.9,,1851.4,1879.0,1954.2,1625.5,1841.0,2090.5,1836.4,1726.0,1828.5,1967.0,1810.3,1862.6,1902.5,1988.5,,,1803.3,1819.0,1763.5,1702.0,1906.9,,1786.6,1843.5,1721.0,2133.4,1841.0,1870.0,1891.0,1481.2,1771.2,269.4,-8.9,306.5,240.0,307.0,248.0,346.0,225.6,44.0,171.6,160.0,100.3,280.3,239.9,,248.4,276.0,351.2,22.5,238.0,487.5,233.4,123.0,225.5,364.0,207.3,259.6,299.5,385.5,,,200.3,216.0,160.5,99.0,303.9,,183.6,240.5,118.0,530.4,238.0,267.0,288.0,-121.8,168.2,True,False,True,False,True,False,True,True,True,True,True,False,True,,True,False,False,True,True,False,True,True,True,False,True,True,False,False,,,True,True,True,True,False,,True,True,True,False,True,True,False,True,True
Pennsylvania,17626,17674.0,18548.3,18739.1,17823.0,17902.6,18304.0,17080.0,17932.8,18790.0,18045.4,17894.0,18617.7,18473.5,18104.3,,19100.0,18437.0,19424.2,18353.5,17638.0,18261.4,17803.4,18303.5,17889.9,18271.0,18887.1,19073.7,18339.5,17424.0,,16949.6,18073.6,19162.0,17350.2,16483.0,17265.4,,17289.3,18986.3,17296.0,20325.3,18869.0,19434.5,20410.4,14399.0,17848.8,48.0,922.3,1113.1,197.0,276.6,678.0,-546.0,306.8,1164.0,419.4,268.0,991.7,847.5,478.3,,1474.0,811.0,1798.2,727.5,12.0,635.4,177.4,677.5,263.9,645.0,1261.1,1447.7,713.5,-202.0,,-676.4,447.6,1536.0,-275.8,-1143.0,-360.6,,-336.7,1360.3,-330.0,2699.3,1243.0,1808.5,2784.4,-3227.0,222.8,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Rhode Island,2062,1956.4,1870.2,2007.6,1941.0,1972.9,1976.0,1868.0,1762.9,2010.0,1913.8,1928.0,2296.3,1858.0,2083.0,,2055.6,1976.0,2004.0,1943.0,1990.0,1872.9,1947.3,1971.5,1873.2,1942.0,2012.8,2059.9,2010.5,1975.5,,,2212.6,1830.0,1939.7,1685.0,1915.4,,1960.0,2046.3,1966.0,2026.7,1933.0,1895.5,2146.7,1580.0,1929.0,37.4,-48.8,88.6,22.0,53.9,57.0,-51.0,-156.1,91.0,-5.2,9.0,377.3,-61.0,164.0,,136.6,57.0,85.0,24.0,71.0,-46.1,28.3,52.5,-45.8,23.0,93.8,140.9,91.5,56.5,,,293.6,-89.0,20.7,-234.0,-3.6,,41.0,127.3,47.0,107.7,14.0,-23.5,227.7,-339.0,10.0,False,False,True,False,False,False,False,False,True,True,False,False,False,,False,False,False,True,False,False,True,False,False,True,False,False,False,False,,,False,False,True,False,True,,False,False,False,False,True,True,False,False,True
South Carolina,5758,5495.0,5764.7,5605.8,5650.0,5524.7,5710.0,5823.0,5661.4,6230.0,5450.9,5403.0,5551.9,5683.0,5713.6,,5776.9,5479.0,5753.5,5887.7,5752.0,5860.9,5888.6,5575.0,5695.3,5655.0,5702.3,5771.7,5772.3,5485.0,,5526.4,5533.4,5761.0,6564.9,5630.0,5535.9,,5426.9,5734.1,5748.0,5414.3,5784.0,5858.0,5539.9,5149.4,5754.8,-263.0,6.7,-152.2,-108.0,-233.3,-48.0,65.0,-96.6,472.0,-307.1,-355.0,-206.1,-75.0,-44.4,,18.9,-279.0,-4.5,129.7,-6.0,102.9,130.6,-183.0,-62.7,-103.0,-55.7,13.7,14.3,-273.0,,-231.6,-224.6,3.0,806.9,-128.0,-222.1,,-331.1,-23.9,-10.0,-343.7,26.0,100.0,-218.1,-608.6,-3.2,True,True,True,True,True,True,True,False,False,False,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,False,True,True,,False,True,True,False,True,True,True,False,True
South Dakota,1570,1652.4,1625.4,1594.4,1845.0,1671.0,1645.0,1464.0,1581.3,1648.0,1678.4,1673.0,1705.3,1649.8,1596.1,,1787.8,1832.0,1782.9,1517.3,1708.0,1554.2,1612.3,1550.0,1582.3,1686.0,1625.6,1724.3,1610.8,1610.0,,,1638.1,1631.0,1360.6,1585.0,1586.8,,1702.7,1648.6,1660.0,1719.9,1618.0,1745.5,1743.3,1576.3,1715.4,82.4,55.4,24.4,275.0,101.0,75.0,-106.0,11.3,78.0,108.4,103.0,135.3,79.8,26.1,,217.8,262.0,212.9,-52.7,138.0,-15.8,42.3,-20.0,12.3,116.0,55.6,154.3,40.8,40.0,,,68.1,61.0,-209.4,15.0,16.8,,132.7,78.6,90.0,149.9,48.0,175.5,173.3,6.3,145.4,True,True,False,False,True,False,True,True,False,False,False,True,True,,False,False,False,True,False,True,True,True,True,False,True,False,True,True,,,True,True,False,True,True,,False,True,False,False,True,False,False,True,False
Tennessee,7704,7811.0,7492.6,8424.8,8350.0,7640.4,7980.0,7886.0,7887.1,10822.0,7369.2,7993.0,7332.8,7802.8,7959.5,,8039.1,7924.0,8075.0,11449.6,7973.0,7582.2,8090.1,10722.0,8363.1,7578.0,7720.1,8194.8,8366.7,7795.0,,7345.6,8052.4,8321.0,7691.6,9121.0,7686.9,,7291.9,7767.2,8319.0,7916.5,8514.0,8164.5,8698.3,6459.2,8589.2,107.0,-211.4,720.8,646.0,-63.6,276.0,182.0,183.1,3118.0,-334.8,289.0,-371.2,98.8,255.5,,335.1,220.0,371.0,3745.6,269.0,-121.8,386.1,3018.0,659.1,-126.0,16.1,490.8,662.7,91.0,,-358.4,348.4,617.0,-12.4,1417.0,-17.1,,-412.1,63.2,615.0,212.5,810.0,460.5,994.3,-1244.8,885.2,False,False,False,True,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,False,True,False,True,,False,True,False,False,False,False,False,False,False
