,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Tennessee,5960,5906.9,5961.9,5902.3,5863.0,5895.0,5886.0,5842.0,5846.6,5876.0,5450.3,5882.0,6074.5,5872.0,6003.0,5831.5,,5592.6,5906.0,5904.8,5819.7,5902.0,5644.0,5909.6,5986.0,5975.2,5809.0,5940.2,5921.2,,5656.8,6014.9,5859.0,,5747.9,5880.3,5846.0,5774.2,6053.0,5925.0,,5817.7,5951.6,5970.9,5916.0,,5884.0,5888.5,5741.2,5554.6,5966.0,-53.1,1.9,-57.7,-97.0,-65.0,-74.0,-118.0,-113.4,-84.0,-509.7,-78.0,114.5,-88.0,43.0,-128.5,,-367.4,-54.0,-55.2,-140.3,-58.0,-316.0,-50.4,26.0,15.2,-151.0,-19.8,-38.8,,-303.2,54.9,-101.0,,-212.1,-79.7,-114.0,-185.8,93.0,-35.0,,-142.3,-8.4,10.9,-44.0,,-76.0,-71.5,-218.8,-405.4,6.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,True,True,True,False,True,True,,False,False,False,,False,False,False,False,False,True,,False,True,True,True,,False,False,False,False,True
Texas,25920,25441.4,25694.6,25501.0,25658.0,25639.0,25626.0,25695.0,25600.5,25643.0,24680.1,25464.0,26012.4,25745.3,25627.1,25584.9,,24073.1,25976.0,25717.1,25701.8,25637.0,25179.0,25743.2,25614.0,25621.1,25576.0,25688.6,25695.1,,24418.6,25756.0,25768.0,,25570.4,25843.7,25500.0,25651.8,25548.0,25564.6,,25720.1,25702.2,25454.8,25491.0,,25719.0,25445.0,25262.8,24920.9,24757.7,-241.6,11.6,-182.0,-25.0,-44.0,-57.0,12.0,-82.5,-40.0,-1002.9,-219.0,329.4,62.3,-55.9,-98.1,,-1609.9,293.0,34.1,18.8,-46.0,-504.0,60.2,-69.0,-61.9,-107.0,5.6,12.1,,-1264.4,73.0,85.0,,-112.6,160.7,-183.0,-31.2,-135.0,-118.4,,37.1,19.2,-228.2,-192.0,,36.0,-238.0,-420.2,-762.1,-925.3,True,True,True,True,True,True,True,True,False,True,False,True,True,True,,False,False,True,True,True,False,True,True,True,True,True,True,,False,True,True,,True,True,True,True,True,True,,True,True,True,True,,True,True,False,False,False
Utah,1148,1154.4,1254.4,1136.2,1140.0,1137.0,1137.0,1127.0,1151.4,1118.0,1087.7,1127.0,1188.8,1136.0,1139.7,824.3,,1080.3,1155.0,1136.4,1097.7,1152.0,848.8,1126.4,1133.0,1161.5,1176.0,1148.3,1156.2,,1128.5,1159.4,1152.0,,,1139.4,1110.0,1029.4,1138.0,1139.3,,1221.1,1159.7,1133.3,1132.0,,1127.0,1147.0,1130.0,806.2,1137.2,6.4,106.4,-11.8,-8.0,-11.0,-11.0,-21.0,3.4,-30.0,-60.3,-21.0,40.8,-12.0,-8.3,-323.7,,-67.7,7.0,-11.6,-50.3,4.0,-299.2,-21.6,-15.0,13.5,28.0,0.3,8.2,,-19.5,11.4,4.0,,,-8.6,-38.0,-118.6,-10.0,-8.7,,73.1,11.7,-14.7,-16.0,,-21.0,-1.0,-18.0,-341.8,-10.8,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,True,False,,False,False,True,,,False,False,False,False,False,,False,False,False,False,,False,True,False,False,False
Vermont,108,108.7,114.9,111.2,112.0,111.0,111.0,99.0,106.8,110.0,93.0,104.0,108.9,112.5,112.7,110.2,,99.2,116.0,111.2,98.2,113.0,106.8,113.7,114.0,104.6,117.0,108.7,112.2,,101.0,114.0,95.0,,,112.6,108.0,78.2,104.0,110.4,,104.7,120.9,112.8,106.0,,111.0,116.0,119.0,96.7,107.4,0.7,6.9,3.2,4.0,3.0,3.0,-9.0,-1.2,2.0,-15.0,-4.0,0.9,4.5,4.7,2.2,,-8.8,8.0,3.2,-9.8,5.0,-1.2,5.7,6.0,-3.4,9.0,0.7,4.2,,-7.0,6.0,-13.0,,,4.6,0.0,-29.8,-4.0,2.4,,-3.3,12.9,4.8,-2.0,,3.0,8.0,11.0,-11.3,-0.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,True,False,False,False,,False,False,False,False,,False,False,False,False,True
Virginia,4643,4591.9,4631.1,4623.5,4625.0,4621.0,4621.0,4695.0,4625.1,4640.0,4427.7,4529.0,4572.9,4622.4,4626.7,4616.6,,4339.9,4684.0,4618.7,4624.9,4640.0,4609.4,4635.7,4612.0,4636.8,4642.0,4645.6,4667.6,,4540.1,4672.8,4615.0,,4530.4,4634.4,4551.0,4896.7,4581.0,4631.8,,4598.8,4657.0,4682.9,4602.0,,4637.0,4581.0,4576.7,4492.0,4586.3,-51.1,-11.9,-19.5,-18.0,-22.0,-22.0,52.0,-17.9,-3.0,-215.3,-114.0,-70.1,-20.6,-16.3,-26.4,,-303.1,41.0,-24.3,-18.1,-3.0,-33.6,-7.3,-31.0,-6.2,-1.0,2.6,24.6,,-102.9,29.8,-28.0,,-112.6,-8.6,-92.0,253.7,-62.0,-11.2,,-44.2,14.0,39.9,-41.0,,-6.0,-62.0,-66.3,-151.0,-56.7,True,True,True,True,True,False,True,True,False,False,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,False,True,False,False,False,True,,True,True,True,True,,True,False,False,False,False
Washington,3104,2839.6,2999.6,2879.0,2970.0,2879.0,3049.0,3368.0,3065.2,2997.0,3146.7,3050.0,3025.6,3033.8,3062.8,3047.5,,3205.0,3132.0,3049.7,3216.7,3058.0,3058.8,3091.9,3034.0,3034.7,3111.0,3080.2,3144.3,,3142.4,2999.0,2999.0,,3026.9,3024.9,2985.0,3738.9,2962.0,2886.3,,3046.4,3084.4,3021.5,3066.0,,3002.0,3189.0,,2925.7,3119.0,-202.4,-42.4,-163.0,-72.0,-163.0,7.0,326.0,23.2,-45.0,104.7,8.0,-16.4,-8.2,20.8,5.5,,163.0,90.0,7.7,174.7,16.0,16.8,49.9,-8.0,-7.3,69.0,38.2,102.3,,100.4,-43.0,-43.0,,-15.1,-17.1,-57.0,696.9,-80.0,-155.7,,4.4,42.4,-20.5,24.0,,-40.0,147.0,,-116.3,77.0,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,,True,True,True,True,,True,True,,True,True
West Virginia,1122,1079.4,1122.3,1101.5,1109.0,1103.0,1101.0,1130.0,1110.9,1091.0,982.5,1092.0,1130.4,1104.0,1117.8,1102.7,,987.6,1098.0,1121.0,1110.1,1097.0,1062.6,1115.8,1072.0,1082.7,1103.0,1124.7,1103.3,,1040.8,1099.1,1096.0,,,1111.4,1096.0,1085.3,1071.0,1107.0,,1069.6,1136.3,1120.5,1073.0,,1105.0,1078.0,1065.3,1014.5,1080.1,-42.6,0.3,-20.5,-13.0,-19.0,-21.0,8.0,-11.1,-31.0,-139.5,-30.0,8.4,-18.0,-4.2,-19.3,,-134.4,-24.0,-1.0,-11.9,-25.0,-59.4,-6.2,-50.0,-39.3,-19.0,2.7,-18.7,,-81.2,-22.9,-26.0,,,-10.6,-26.0,-36.7,-51.0,-15.0,,-52.4,14.3,-1.5,-49.0,,-17.0,-44.0,-56.7,-107.5,-41.9,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,False,True,True,True,True,False,True,False,True,True,True,True,,False,True,True,,,True,True,True,False,True,,False,True,True,False,,True,False,False,False,True
Wisconsin,4722,4670.7,4791.5,4722.3,4765.0,4714.0,4676.0,4707.0,4686.3,4680.0,4379.9,4478.0,4736.5,4630.5,4626.2,4651.3,,4572.2,4898.0,4738.1,4495.4,4821.0,4598.3,4657.5,4707.0,4721.3,4774.0,4715.2,4741.9,4635.0,4624.2,4712.8,4753.0,,4655.0,4733.3,4600.0,3979.7,4602.0,4663.8,,4739.3,4721.2,4737.9,4608.0,4774.1,4651.0,4639.0,4730.6,4531.4,4365.4,-51.3,69.5,0.3,43.0,-8.0,-46.0,-15.0,-35.7,-42.0,-342.1,-244.0,14.5,-91.5,-95.8,-70.7,,-149.8,176.0,16.1,-226.6,99.0,-123.7,-64.5,-15.0,-0.7,52.0,-6.8,19.9,-87.0,-97.8,-9.2,31.0,,-67.0,11.3,-122.0,-742.3,-120.0,-58.2,,17.3,-0.8,15.9,-114.0,52.1,-71.0,-83.0,8.6,-190.6,-356.6,False,True,True,True,True,True,True,True,False,False,True,False,False,False,,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,,False,True,False,False,False,False,,True,True,True,False,False,False,False,True,False,False
Wyoming,351,368.1,377.4,376.5,369.0,376.0,366.0,366.0,363.6,362.0,332.8,367.0,382.7,381.3,503.6,357.3,,358.7,393.0,354.3,345.2,377.0,347.5,362.2,357.0,351.3,370.0,372.1,377.2,,359.1,369.0,375.0,,,376.5,359.0,321.7,345.0,345.7,,372.2,383.7,382.0,353.0,,367.0,370.0,372.9,346.5,361.3,17.1,26.4,25.5,18.0,25.0,15.0,15.0,12.6,11.0,-18.2,16.0,31.7,30.3,152.6,6.3,,7.7,42.0,3.3,-5.8,26.0,-3.5,11.2,6.0,0.3,19.0,21.1,26.2,,8.1,18.0,24.0,,,25.5,8.0,-29.3,-6.0,-5.3,,21.2,32.7,31.0,2.0,,16.0,19.0,21.9,-4.5,10.3,False,False,False,False,True,True,True,True,False,True,False,False,False,True,,True,False,True,True,False,True,True,True,True,False,False,False,,True,False,False,,,False,True,False,True,True,,False,False,False,True,,True,False,False,True,True
US,316382,313586.0,318066.9,314575.3,,314450.0,314881.0,315484.0,314275.0,317434.0,300450.3,323044.0,318745.5,314249.7,315043.8,,321799.0,304700.5,317765.0,315443.3,311318.4,316244.0,307426.3,315139.9,316503.5,317837.3,315620.0,315041.5,317958.6,,307360.7,315764.7,317355.0,314354.2,313911.1,314478.2,314282.0,318696.4,313803.0,314078.4,322799.0,,315698.8,315352.4,313676.0,316733.4,314744.0,314516.0,,304639.7,311319.5,-2428.0,2052.9,-1438.7,,-1564.0,-1133.0,-530.0,-1739.0,1420.0,-15563.7,7030.0,2731.5,-1764.3,-970.2,,5785.0,-11313.5,1751.0,-570.7,-4695.6,230.0,-8587.7,-874.1,489.5,1823.3,-394.0,-972.5,1944.6,,-8653.3,-249.3,1341.0,-1659.8,-2102.9,-1535.8,-1732.0,2682.4,-2211.0,-1935.6,6785.0,,-315.2,-661.6,-2338.0,719.4,-1270.0,-1498.0,,-11374.3,-4694.5,True,True,,True,True,True,True,True,False,False,False,True,True,,False,False,True,True,False,True,False,True,True,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,False,,True,True,True,True,True,True,,False,False
