,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,Microsoft-DeepSTIA,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,36318,35695.3,35976.9,35637.6,35850.0,35673.6,35855.0,35872.0,36021.6,35461.0,35602.8,36013.0,35635.0,35926.8,35810.2,,35706.0,35815.0,35724.3,35842.5,35886.0,35876.0,36057.7,36117.0,36070.2,35954.0,35731.1,35942.3,35944.7,,35528.4,35894.8,34797.0,,35406.0,35772.3,36641.0,36213.7,36088.0,35811.0,,35446.5,35751.1,36309.6,36072.0,,35868.0,36249.0,35423.4,34869.3,36026.0,-583.7,-302.1,-641.4,-429.0,-605.4,-424.0,-407.0,-257.4,-818.0,-676.2,-266.0,-644.0,-352.2,-468.8,,-573.0,-464.0,-554.7,-436.5,-393.0,-403.0,-221.3,-162.0,-208.8,-325.0,-547.9,-336.7,-334.3,,-750.6,-384.2,-1482.0,,-873.0,-506.7,362.0,-65.3,-191.0,-468.0,,-832.5,-527.9,30.6,-207.0,,-411.0,-30.0,-855.6,-1409.7,-253.0,True,False,True,False,True,True,True,False,False,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,True,True,True,True,True,,False,True,True,True,,True,True,False,False,True
North Carolina,6184,6105.7,6218.2,6139.8,6195.0,6110.0,6177.0,6159.0,6110.3,5872.0,5817.1,6103.0,6249.7,6178.7,6109.9,,6336.4,6025.0,6187.2,6239.5,6133.0,6209.1,6235.9,6295.0,6251.1,6201.0,6336.6,6218.8,6207.2,,5894.0,6243.3,6008.0,,5948.3,6407.7,6110.0,6437.6,6187.0,6150.9,,6184.9,6359.4,6444.1,6203.0,,6244.0,6038.5,5952.3,5815.2,6132.0,-78.3,34.2,-44.2,11.0,-74.0,-7.0,-25.0,-73.7,-312.0,-366.9,-81.0,65.7,-5.3,-74.1,,152.4,-159.0,3.2,55.5,-51.0,25.1,51.9,111.0,67.1,17.0,152.6,34.8,23.2,,-290.0,59.3,-176.0,,-235.7,223.7,-74.0,253.6,3.0,-33.1,,0.9,175.4,260.1,19.0,,60.0,-145.5,-231.7,-368.8,-52.0,True,True,True,True,True,True,True,False,False,False,True,True,True,,False,False,True,True,True,True,True,False,True,True,False,True,True,,False,True,False,,False,False,True,False,True,True,,True,False,False,True,,True,False,False,False,True
North Dakota,1231,1191.7,1146.1,1204.6,1216.0,1197.0,1168.0,1113.0,1151.1,1020.0,1177.5,1131.0,1216.3,1177.5,1129.2,,1247.4,1187.0,1191.5,1198.9,1209.0,1079.3,1156.3,1124.0,1159.9,1187.0,1179.8,1188.9,1189.3,,1149.6,1193.6,1151.0,,,1239.4,1164.0,1149.6,1131.0,1068.1,,1236.8,1197.5,1185.7,1146.0,,1143.0,1126.0,1173.3,1112.0,1191.0,-39.3,-84.9,-26.4,-15.0,-34.0,-63.0,-118.0,-79.9,-211.0,-53.5,-100.0,-14.7,-53.5,-101.8,,16.4,-44.0,-39.5,-32.1,-22.0,-151.7,-74.7,-107.0,-71.1,-44.0,-51.2,-42.1,-41.7,,-81.4,-37.4,-80.0,,,8.4,-67.0,-81.4,-100.0,-162.9,,5.8,-33.5,-45.3,-85.0,,-88.0,-105.0,-57.7,-119.0,-40.0,False,True,True,True,False,False,False,False,False,False,True,False,False,,True,False,False,True,True,False,False,False,False,False,False,False,False,,False,True,False,,,True,False,False,False,False,,True,True,False,False,,False,False,False,False,False
Ohio,8031,7999.0,8515.9,8133.1,8259.0,8082.1,8129.0,8211.0,8155.2,7416.0,7750.7,8133.0,8033.6,8025.8,7876.2,,7607.3,8081.0,8235.0,8024.1,8565.0,8276.3,8138.5,8341.0,8223.7,8271.0,8275.7,8421.8,8410.1,8926.0,7658.6,8257.7,7841.0,,8265.5,8249.2,8096.0,8696.8,7856.0,8186.3,,8129.4,8309.5,8622.1,8047.0,8204.2,8126.0,7970.0,8320.7,7243.5,8096.0,-32.0,484.9,102.1,228.0,51.1,98.0,180.0,124.2,-615.0,-280.3,102.0,2.6,-5.2,-154.8,,-423.7,50.0,204.0,-6.9,534.0,245.3,107.5,310.0,192.7,240.0,244.7,390.8,379.1,895.0,-372.4,226.7,-190.0,,234.5,218.2,65.0,665.8,-175.0,155.3,,98.4,278.5,591.1,16.0,173.2,95.0,-61.0,289.7,-787.5,65.0,False,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False
Oklahoma,2189,2193.1,2288.8,2196.3,2247.0,2188.0,2196.0,2198.0,2243.8,1960.0,2040.8,2318.0,2209.1,2195.3,2137.8,,2223.4,2211.0,2193.0,2101.2,2199.0,2196.1,2174.5,2140.0,2259.7,2320.0,2204.4,2216.1,2220.9,,2102.3,2250.4,2158.0,,,2273.8,2177.0,2111.8,2236.0,2246.9,,2307.5,2224.9,2449.9,2220.0,,2237.0,2142.0,2141.2,2010.5,2215.0,4.1,99.8,7.3,58.0,-1.0,7.0,9.0,54.8,-229.0,-148.2,129.0,20.1,6.3,-51.2,,34.4,22.0,4.0,-87.8,10.0,7.1,-14.5,-49.0,70.7,131.0,15.4,27.1,31.9,,-86.7,61.4,-31.0,,,84.8,-12.0,-77.2,47.0,57.9,,118.5,35.9,260.9,31.0,,48.0,-47.0,-47.8,-178.5,26.0,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False
Oregon,1340,1270.7,1406.4,1291.9,1332.0,1289.0,1289.0,1233.0,1309.3,1155.0,1124.8,1258.0,1193.7,1300.1,1241.1,,1262.2,1296.0,1320.0,1272.4,1323.0,1293.0,1348.9,1412.0,1314.1,1317.0,1320.4,1289.2,1302.0,,1072.2,1270.3,1235.0,,,1342.7,1287.0,1173.1,1283.0,1316.2,,1226.3,1338.5,1406.2,1264.0,,1289.0,1326.5,1260.7,1096.3,1239.0,-69.3,66.4,-48.1,-8.0,-51.0,-51.0,-107.0,-30.7,-185.0,-215.2,-82.0,-146.3,-39.9,-98.9,,-77.8,-44.0,-20.0,-67.6,-17.0,-47.0,8.9,72.0,-25.9,-23.0,-19.6,-50.8,-38.0,,-267.8,-69.7,-105.0,,,2.7,-53.0,-166.9,-57.0,-23.8,,-113.7,-1.5,66.2,-76.0,,-51.0,-13.5,-79.3,-243.7,-101.0,True,True,True,True,True,False,True,False,False,False,False,True,False,,False,True,True,True,True,True,True,False,True,True,True,True,True,,False,False,False,,,True,True,False,True,True,,False,True,True,False,,True,True,False,False,False
Pennsylvania,13754,13034.1,13657.8,13087.2,13216.0,13105.0,13146.0,12788.0,13068.5,12090.0,12460.8,13248.0,12847.1,13313.2,13019.8,,13376.6,13180.0,13148.1,13301.5,12885.0,12709.9,13731.0,14062.0,13234.4,12985.0,13312.0,13222.3,13240.0,,12865.0,13106.0,12151.0,,13682.0,14267.8,13128.0,13142.5,13320.0,13291.1,,12477.9,13378.4,13261.9,13028.0,13143.3,13061.0,13487.5,12574.8,11562.4,13183.0,-719.9,-96.2,-666.8,-538.0,-649.0,-608.0,-966.0,-685.5,-1664.0,-1293.2,-506.0,-906.9,-440.8,-734.2,,-377.4,-574.0,-605.9,-452.5,-869.0,-1044.1,-23.0,308.0,-519.6,-769.0,-442.0,-531.7,-514.0,,-889.0,-648.0,-1603.0,,-72.0,513.8,-626.0,-611.5,-434.0,-462.9,,-1276.1,-375.6,-492.1,-726.0,-610.7,-693.0,-266.5,-1179.2,-2191.6,-571.0,True,True,True,True,True,False,True,False,False,True,False,True,False,,True,True,True,True,False,False,True,True,True,False,True,True,True,,False,True,False,,True,True,True,True,True,True,,False,True,True,False,True,True,True,False,False,True
Rhode Island,1625,1537.4,1582.3,1547.5,1549.0,1547.0,1549.0,1534.0,1471.2,1493.0,1505.8,1540.0,1658.0,1541.1,1575.0,,1524.2,1532.0,1548.9,1666.3,1575.0,1461.9,1596.2,1559.5,1544.3,1538.0,1564.2,1603.7,1601.4,,1594.5,1549.0,1511.0,,,1552.6,1534.0,1643.8,1484.0,1544.2,,1554.2,1581.7,1572.4,1574.0,,1523.0,1503.0,1544.6,1379.2,1566.0,-87.6,-42.7,-77.5,-76.0,-78.0,-76.0,-91.0,-153.8,-132.0,-119.2,-85.0,33.0,-83.9,-50.0,,-100.8,-93.0,-76.1,41.3,-50.0,-163.1,-28.8,-65.5,-80.7,-87.0,-60.8,-21.3,-23.6,,-30.5,-76.0,-114.0,,,-72.4,-91.0,18.8,-141.0,-80.8,,-70.8,-43.3,-52.6,-51.0,,-102.0,-122.0,-80.4,-245.8,-59.0,True,True,True,True,True,False,False,False,False,True,True,True,True,,False,False,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,,,True,False,True,False,True,,True,True,True,True,,False,False,True,False,True
South Carolina,4895,4961.6,4934.2,4896.1,4887.0,4858.8,4870.0,4823.0,4850.5,4601.0,4640.2,4864.0,4886.0,4993.7,4827.9,,5170.7,4809.0,4868.9,4889.9,4865.0,4839.6,4897.0,4867.0,4999.2,4859.0,4834.5,4906.3,4916.0,,4727.9,4937.8,5382.5,,4881.3,5053.2,4797.0,5337.7,4932.0,4935.8,,4799.9,4851.3,5057.0,4992.0,,4911.0,4921.0,4775.6,4726.6,4895.0,66.6,39.2,1.1,-8.0,-36.2,-25.0,-72.0,-44.5,-294.0,-254.8,-31.0,-9.0,98.7,-67.1,,275.7,-86.0,-26.1,-5.1,-30.0,-55.4,2.0,-28.0,104.2,-36.0,-60.5,11.3,21.0,,-167.1,42.8,487.5,,-13.7,158.2,-98.0,442.7,37.0,40.8,,-95.1,-43.7,162.0,97.0,,16.0,26.0,-119.4,-168.4,0.0,True,True,True,True,True,False,True,False,False,True,True,False,False,,False,False,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,True,False,False,False,True,True,,False,True,False,False,,True,True,False,False,True
South Dakota,1350,1420.1,1423.6,1375.3,1428.0,1389.0,1373.0,1200.0,1298.4,1177.0,1321.9,1361.0,1471.6,1415.1,1365.0,,1544.8,1482.0,1469.4,1409.1,1426.0,1183.9,1362.5,1301.0,1339.9,1358.0,1420.5,1402.4,1409.3,,1330.2,1369.4,1341.0,,,1520.3,1329.0,1027.9,1349.0,1335.5,,1469.2,1429.7,1360.8,1334.0,,1371.0,1539.0,1471.4,1256.3,1402.0,70.1,73.6,25.3,78.0,39.0,23.0,-150.0,-51.6,-173.0,-28.1,11.0,121.6,65.1,15.0,,194.8,132.0,119.4,59.1,76.0,-166.1,12.5,-49.0,-10.1,8.0,70.5,52.4,59.3,,-19.8,19.4,-9.0,,,170.3,-21.0,-322.1,-1.0,-14.5,,119.2,79.7,10.8,-16.0,,21.0,189.0,121.4,-93.7,52.0,False,True,False,True,True,False,True,False,True,True,False,True,True,,False,False,False,True,False,False,True,True,True,True,False,True,True,,True,True,True,,,False,True,False,True,True,,False,False,True,True,,True,False,False,False,True
Tennessee,5960,5665.4,5564.1,5635.3,5735.0,5633.1,5656.0,5570.0,5671.2,5295.0,5631.2,5787.0,5612.5,5652.0,5648.5,,6192.0,5662.0,5826.4,5933.7,5674.0,5425.4,5848.3,5775.0,5705.9,5650.0,5746.2,5694.5,5695.1,,5406.0,5756.2,5611.0,,5711.4,5955.7,5686.0,5575.3,5570.0,5661.9,,5652.0,5756.0,5956.1,5656.0,,5561.0,5446.0,5666.3,5182.4,5678.0,-294.6,-395.9,-324.7,-225.0,-326.9,-304.0,-390.0,-288.8,-665.0,-328.8,-173.0,-347.5,-308.0,-311.5,,232.0,-298.0,-133.6,-26.3,-286.0,-534.6,-111.7,-185.0,-254.1,-310.0,-213.8,-265.5,-264.9,,-554.0,-203.8,-349.0,,-248.6,-4.3,-274.0,-384.7,-390.0,-298.1,,-308.0,-204.0,-3.9,-304.0,,-399.0,-514.0,-293.7,-777.6,-282.0,False,False,True,False,False,False,True,False,False,True,False,False,False,,True,False,True,True,True,False,True,True,True,False,True,True,True,,False,True,False,,True,True,True,False,False,False,,False,True,True,False,,False,False,True,False,True
Texas,25714,25540.1,25645.2,25524.5,25825.0,25588.7,25466.0,24851.0,25446.6,23637.0,24905.0,25338.0,25216.1,25956.8,25311.5,,25585.8,25720.0,26019.1,26073.2,24963.0,24666.6,25895.5,25603.0,25819.3,25355.0,25910.1,25404.2,25434.6,,24229.8,24155.5,25130.5,,25958.8,26516.6,25514.0,25651.8,25254.0,25652.2,,25159.4,25950.6,26345.7,25542.0,,25689.0,25165.0,25002.2,24095.9,25141.0,-125.9,-20.8,-141.5,159.0,-77.3,-200.0,-815.0,-219.4,-2029.0,-761.0,-328.0,-449.9,290.8,-354.5,,-80.2,54.0,353.1,407.2,-703.0,-999.4,229.5,-63.0,153.3,-311.0,244.1,-261.8,-231.4,,-1436.2,-1510.5,-535.5,,292.8,850.6,-152.0,-14.2,-412.0,-13.8,,-506.6,284.6,679.7,-124.0,,23.0,-501.0,-663.8,-1570.1,-525.0,True,False,False,True,False,False,False,False,False,False,False,False,False,,True,True,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,,False,False,False,True,False,True,,False,False,False,True,,True,False,False,False,False
Utah,1148,1070.9,1221.4,1090.5,1132.0,1091.0,1100.0,1100.0,1163.1,1002.0,1133.4,1096.0,1091.5,1100.4,815.6,,1153.6,1111.0,1157.0,1099.4,1144.0,920.8,1115.1,1072.0,1143.8,1154.0,1143.1,1134.4,1132.1,,1276.0,1090.8,1151.0,,,1073.1,1096.0,1029.4,1077.0,1080.1,,1271.9,1161.2,1188.8,1094.0,,1060.0,1055.0,1129.1,748.5,1102.0,-77.1,73.4,-57.5,-16.0,-57.0,-48.0,-48.0,15.1,-146.0,-14.6,-52.0,-56.5,-47.6,-332.4,,5.6,-37.0,9.0,-48.6,-4.0,-227.2,-32.9,-76.0,-4.2,6.0,-4.9,-13.6,-15.9,,128.0,-57.2,3.0,,,-74.9,-52.0,-118.6,-71.0,-67.9,,123.9,13.2,40.8,-54.0,,-88.0,-93.0,-18.9,-399.5,-46.0,True,True,True,True,True,True,True,False,True,True,True,True,False,,True,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,True,True,False,True,True,,False,True,True,True,,False,False,True,False,True
Vermont,108,101.3,120.0,103.7,103.0,103.0,98.0,81.0,95.5,89.0,81.2,96.0,88.4,100.5,97.6,,78.7,81.5,101.2,95.9,100.0,105.0,108.3,88.0,94.1,112.0,98.5,102.4,104.3,,89.8,100.5,85.0,,,117.1,98.0,78.2,93.0,105.9,,91.8,117.5,111.4,94.0,,98.0,147.0,100.0,80.6,92.0,-6.7,12.0,-4.3,-5.0,-5.0,-10.0,-27.0,-12.5,-19.0,-26.8,-12.0,-19.6,-7.5,-10.4,,-29.3,-26.5,-6.8,-12.1,-8.0,-3.0,0.3,-20.0,-13.9,4.0,-9.5,-5.6,-3.7,,-18.2,-7.5,-23.0,,,9.1,-10.0,-29.8,-15.0,-2.1,,-16.2,9.5,3.4,-14.0,,-10.0,39.0,-8.0,-27.4,-16.0,False,True,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,True,False,False,True,False,True,True,,False,False,False,,,False,False,False,False,True,,False,False,True,False,,False,False,False,False,False
Virginia,4643,4463.7,4460.6,4479.5,4534.0,4483.0,4528.0,4504.0,4527.6,4416.0,4445.0,4431.0,4511.7,4530.7,4513.7,,5079.8,4584.0,4579.7,4612.7,4543.0,4595.8,4598.7,4606.0,4583.2,4618.0,4542.8,4559.5,4556.6,,4444.4,4587.3,4528.0,,4469.3,4886.3,4552.0,4896.7,4481.0,4481.7,,4595.6,4560.4,4694.4,4571.0,,4473.0,4449.0,4512.7,4346.4,4587.0,-179.3,-182.4,-163.5,-109.0,-160.0,-115.0,-139.0,-115.4,-227.0,-198.0,-212.0,-131.3,-112.3,-129.3,,436.8,-59.0,-63.3,-30.3,-100.0,-47.2,-44.3,-37.0,-59.8,-25.0,-100.2,-83.5,-86.4,,-198.6,-55.7,-115.0,,-173.7,243.3,-91.0,253.7,-162.0,-161.3,,-47.4,-82.6,51.4,-72.0,,-170.0,-194.0,-130.3,-296.6,-56.0,False,True,True,True,True,True,True,False,False,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,True,False,True,False,True,True,,True,True,True,True,,True,False,True,False,True
Washington,3104,3337.3,3605.7,3371.5,3433.0,3369.0,3316.0,3252.0,3297.3,3061.0,3134.4,3470.0,3165.4,3338.9,3253.7,,3094.1,3397.0,3289.2,3333.1,3346.0,3317.3,3320.3,3173.0,3281.8,3337.0,3364.3,3366.7,3379.5,,3122.5,3297.6,3316.0,,3170.9,3471.1,3318.0,3738.4,3314.0,3463.2,,3277.2,3370.2,3437.6,3290.0,,3340.0,3224.0,,3024.9,3241.0,191.3,459.7,225.5,287.0,223.0,170.0,106.0,151.3,-85.0,-11.6,324.0,19.4,192.9,107.7,,-51.9,251.0,143.2,187.1,200.0,171.3,174.3,27.0,135.8,191.0,218.3,220.7,233.5,,-23.5,151.6,170.0,,24.9,325.1,172.0,592.4,168.0,317.2,,131.2,224.2,291.6,144.0,,194.0,78.0,,-121.1,95.0,False,False,False,False,True,True,True,True,True,False,True,False,True,,True,False,True,True,False,True,True,True,True,True,False,False,False,,True,True,True,,True,False,True,False,True,False,,True,False,False,True,,False,True,,True,True
West Virginia,1122,1040.4,1037.7,1053.0,1070.0,1051.0,1048.0,989.0,1059.0,829.0,1060.8,1091.0,1105.6,1088.1,1062.6,,1142.8,1015.0,1085.5,1092.7,1022.0,1044.4,1122.9,1011.0,1045.7,1078.0,1113.2,1044.6,1045.0,,895.5,1071.6,983.0,,,1142.8,1037.0,1085.6,1035.0,1095.1,,1024.6,1132.5,1138.7,1048.0,,1035.0,1009.0,977.8,911.3,1047.0,-81.6,-84.3,-69.0,-52.0,-71.0,-74.0,-133.0,-63.0,-293.0,-61.2,-31.0,-16.4,-33.9,-59.4,,20.8,-107.0,-36.5,-29.3,-100.0,-77.6,0.9,-111.0,-76.3,-44.0,-8.8,-77.4,-77.0,,-226.5,-50.4,-139.0,,,20.8,-85.0,-36.4,-87.0,-26.9,,-97.4,10.5,16.7,-74.0,,-87.0,-113.0,-144.2,-210.7,-75.0,False,True,True,True,True,False,True,False,True,True,True,True,True,,True,False,True,True,False,True,True,False,True,True,True,True,True,,False,True,False,,,True,False,True,False,True,,False,True,True,True,,False,False,False,False,True
Wisconsin,4722,4815.6,4938.1,4833.7,4959.0,4874.0,4698.0,4523.0,4691.1,4039.0,4151.3,4291.0,4546.4,4636.6,4469.0,,4927.8,4800.0,4743.1,4360.7,4777.0,4540.9,4633.1,4943.0,4810.8,4780.0,4909.1,4782.8,4847.1,4443.0,4674.7,4919.1,4704.0,,4515.5,5120.7,4637.0,3979.7,4583.0,4926.4,,4859.8,4922.8,5034.5,4537.0,4607.8,4639.0,6059.0,4697.3,4300.7,4315.0,93.6,216.1,111.7,237.0,152.0,-24.0,-199.0,-30.9,-683.0,-570.7,-431.0,-175.6,-85.4,-253.0,,205.8,78.0,21.1,-361.3,55.0,-181.1,-88.9,221.0,88.8,58.0,187.1,60.8,125.1,-279.0,-47.3,197.1,-18.0,,-206.5,398.7,-85.0,-742.3,-139.0,204.4,,137.8,200.8,312.5,-185.0,-114.2,-83.0,1337.0,-24.7,-421.3,-407.0,False,False,False,False,True,False,True,False,False,False,False,True,False,,False,True,True,False,True,False,True,False,True,True,False,True,False,False,True,False,True,,False,False,True,False,False,False,,False,False,False,False,False,True,False,True,False,False
Wyoming,351,360.7,384.5,368.2,348.0,368.0,353.0,326.0,343.3,276.0,351.7,346.0,377.2,369.2,336.8,,474.2,363.0,341.0,350.7,380.0,318.2,344.4,333.0,324.3,370.0,392.8,387.2,388.6,,355.1,371.9,372.0,,,355.4,322.0,312.4,325.0,310.6,,378.3,410.1,391.3,332.0,,331.0,331.0,366.9,295.1,371.0,9.7,33.5,17.2,-3.0,17.0,2.0,-25.0,-7.7,-75.0,0.7,-5.0,26.2,18.2,-14.2,,123.2,12.0,-10.0,-0.3,29.0,-32.8,-6.6,-18.0,-26.7,19.0,41.8,36.2,37.6,,4.1,20.9,21.0,,,4.4,-29.0,-38.6,-26.0,-40.4,,27.3,59.1,40.3,-19.0,,-20.0,-20.0,15.9,-55.9,20.0,False,False,True,False,True,False,True,False,True,True,False,False,False,,False,False,False,True,False,False,True,False,False,False,False,False,False,,True,False,False,,,True,False,False,False,False,,False,False,False,False,,False,False,False,False,False
US,316159,310947.3,317735.6,311360.4,,311464.7,312063.0,307180.0,311276.5,312617.0,299510.7,308242.0,310536.9,312912.4,,317625.0,312156.1,312144.0,313441.1,310761.5,313031.0,303020.9,314084.4,314302.0,316369.0,312115.0,313829.8,312808.8,313207.6,,303702.4,312915.7,308719.0,311982.7,313326.2,330401.8,310670.0,309724.6,308599.0,313385.9,320796.0,,314971.6,320765.4,313125.0,310765.0,310961.0,312619.0,,291988.6,312390.0,-5166.7,1621.6,-4753.6,,-4649.3,-4051.0,-8934.0,-4837.5,-3497.0,-16603.3,-7872.0,-5577.1,-3201.6,,1511.0,-3957.9,-3970.0,-2672.9,-5352.5,-3083.0,-13093.1,-2029.6,-1812.0,255.0,-3999.0,-2284.2,-3305.2,-2906.4,,-12411.6,-3198.3,-7395.0,-4131.3,-2787.8,14287.8,-5444.0,-6389.4,-7515.0,-2728.1,4682.0,,-1142.4,4651.4,-2989.0,-5349.0,-5153.0,-3495.0,,-24125.4,-3724.0,True,True,,True,True,False,True,True,False,False,False,True,,True,True,True,True,False,True,False,True,True,True,True,True,True,True,,False,True,False,True,True,False,False,False,False,True,True,,True,True,True,False,True,True,,False,True
