,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,36318,35426.0,36037.6,35385.4,36145.0,35496.2,35737.0,35458.0,35857.8,38225.0,35475.4,36421.0,35325.5,36389.2,35428.3,,36064.5,35522.0,35401.0,35978.2,35862.0,36389.8,36457.0,35382.0,36132.1,35699.0,35541.2,35732.0,,35207.6,35890.3,34396.0,,34729.3,34622.7,36366.0,36888.5,35256.0,36801.1,,35057.3,35592.0,36016.0,34912.9,44025.3,35970.0,35668.5,34415.7,36930.0,-892.0,-280.4,-932.6,-173.0,-821.8,-581.0,-860.0,-460.2,1907.0,-842.6,103.0,-992.5,71.2,-889.7,,-253.5,-796.0,-917.0,-339.8,-456.0,71.8,139.0,-936.0,-185.9,-619.0,-776.8,-586.0,,-1110.4,-427.7,-1922.0,,-1588.7,-1695.3,48.0,570.5,-1062.0,483.1,,-1260.7,-726.0,-302.0,-1405.1,7707.3,-348.0,-649.5,-1902.3,612.0,True,False,True,True,True,True,True,False,True,True,False,True,True,,True,True,False,True,True,True,True,False,True,True,True,True,,False,True,False,,False,False,True,True,False,True,,False,True,True,False,False,True,True,False,True
North Carolina,6184,5913.4,6614.8,5948.1,6457.0,6001.8,6128.0,6052.0,6052.3,5843.0,6273.9,6129.0,6263.7,6137.7,6002.0,,6695.2,6023.0,6100.5,5927.5,6495.0,6281.4,6334.7,5852.0,6330.3,6176.0,5891.8,5975.8,,5609.0,6356.2,6441.0,,5710.9,6392.4,6245.0,6268.7,6196.0,6127.8,,6404.9,5906.0,6372.0,5785.2,6490.6,6269.0,5919.5,5495.3,6100.0,-270.6,430.8,-235.9,273.0,-182.2,-56.0,-132.0,-131.7,-341.0,89.9,-55.0,79.7,-46.3,-182.0,,511.2,-161.0,-83.5,-256.5,311.0,97.4,150.7,-332.0,146.3,-8.0,-292.2,-208.2,,-575.0,172.2,257.0,,-473.1,208.4,61.0,84.7,12.0,-56.2,,220.9,-278.0,188.0,-398.8,306.6,85.0,-264.5,-688.7,-84.0,False,True,False,True,True,True,True,False,True,True,True,True,True,,False,True,True,True,False,True,True,False,True,True,False,True,,False,True,True,,False,True,True,True,True,True,,True,False,True,False,False,True,True,False,True
North Dakota,1231,1270.3,1186.5,1288.8,1388.0,1296.0,1332.0,1163.0,1296.7,1234.0,1567.4,1204.0,1514.4,1371.7,1331.9,,1251.0,1381.0,1481.0,1119.8,1558.0,1037.8,1396.1,1132.0,1249.6,1364.0,1405.4,1364.9,,1889.4,1436.2,1306.0,,,1235.8,1423.0,1149.6,1346.0,1107.5,,1656.6,1429.0,1289.0,1180.0,1286.6,1352.0,1139.0,1022.4,1318.0,39.3,-44.5,57.8,157.0,65.0,101.0,-68.0,65.7,3.0,336.4,-27.0,283.4,140.7,100.9,,20.0,150.0,250.0,-111.2,327.0,-193.2,165.1,-99.0,18.6,133.0,174.4,133.9,,658.4,205.2,75.0,,,4.8,192.0,-81.4,115.0,-123.5,,425.6,198.0,58.0,-51.0,55.6,121.0,-92.0,-208.6,87.0,False,False,False,False,False,False,False,True,False,True,False,False,False,,True,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False
Ohio,8031,7052.9,7685.7,6996.5,8365.0,7064.4,7681.0,8568.0,7889.4,8603.0,8499.8,7650.0,6956.9,7942.9,8292.2,,7666.4,7594.0,7764.2,7701.2,8010.0,8758.8,8602.7,7325.5,7889.9,7796.0,7616.6,7782.8,9548.5,9686.9,7680.7,6506.0,,6731.1,7734.1,8009.0,11217.2,7364.0,7439.5,,7481.2,7636.4,8084.0,6814.9,12436.5,8135.0,7364.0,6392.4,7454.0,-978.1,-345.3,-1034.5,334.0,-966.6,-350.0,537.0,-141.6,572.0,468.8,-381.0,-1074.1,-88.1,261.2,,-364.6,-437.0,-266.8,-329.8,-21.0,727.8,571.7,-705.5,-141.1,-235.0,-414.4,-248.2,1517.5,1655.9,-350.3,-1525.0,,-1299.9,-296.9,-22.0,3186.2,-667.0,-591.5,,-549.8,-394.6,53.0,-1216.1,4405.5,104.0,-667.0,-1638.6,-577.0,True,False,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,,False,True,True,False,True,True,,True,True,True,False,False,True,True,False,True
Oklahoma,2189,2042.9,2553.1,2058.7,2251.0,2056.2,2250.0,2308.0,2314.2,3188.0,2379.7,2320.0,2126.1,2381.8,2309.6,,2137.3,2196.0,2380.7,2424.1,2514.0,2254.3,2216.8,1934.0,2358.8,2362.0,2076.6,2147.5,,1875.8,2304.3,2225.0,,,2573.0,2344.0,1983.2,2250.0,2142.2,,2638.8,2102.0,2376.0,2017.7,2670.0,2438.0,1926.0,1811.8,2134.0,-146.1,364.1,-130.3,62.0,-132.8,61.0,119.0,125.2,999.0,190.7,131.0,-62.9,192.8,120.6,,-51.7,7.0,191.7,235.1,325.0,65.3,27.8,-255.0,169.8,173.0,-112.4,-41.5,,-313.2,115.3,36.0,,,384.0,155.0,-205.8,61.0,-46.8,,449.8,-87.0,187.0,-171.3,481.0,249.0,-263.0,-377.2,-55.0,False,True,True,True,True,True,True,False,False,True,True,False,True,,True,True,False,False,False,True,True,False,False,False,True,True,,False,True,True,,,False,False,False,True,True,,False,True,False,False,False,False,False,False,True
Oregon,1340,1047.6,1293.6,1069.9,1126.0,1059.0,1176.0,1098.0,1174.7,1396.0,1227.5,1246.0,986.1,1213.9,1172.9,,973.6,1127.0,1151.3,1073.0,1236.0,1400.3,1296.4,1022.0,1218.6,1227.0,1195.6,1093.2,,853.4,1204.7,1035.0,,,1540.5,1327.0,1107.6,1155.0,1136.8,,1236.5,1219.3,1275.0,1005.6,1373.7,1191.0,980.0,897.3,1415.0,-292.4,-46.4,-270.1,-214.0,-281.0,-164.0,-242.0,-165.3,56.0,-112.5,-94.0,-353.9,-126.1,-167.1,,-366.4,-213.0,-188.7,-267.0,-104.0,60.3,-43.6,-318.0,-121.4,-113.0,-144.4,-246.8,,-486.6,-135.3,-305.0,,,200.5,-13.0,-232.4,-185.0,-203.2,,-103.5,-120.7,-65.0,-334.4,33.7,-149.0,-360.0,-442.7,75.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,,True,True,True,True,True,,True,True,True,False,True,True,False,False,True
Pennsylvania,13754,11844.9,13945.3,11860.1,12421.0,11866.4,12707.0,12173.0,12040.4,15342.0,12264.3,12227.0,11747.8,,13024.3,,12226.3,12750.0,11953.3,12859.5,12841.0,12493.6,13688.1,14829.5,12976.4,11468.0,12688.7,12551.9,,12144.1,12482.0,11426.5,,11495.5,12520.1,13404.0,12160.6,12924.0,11933.0,,11102.4,12771.6,13293.0,15866.1,17987.2,13673.0,12717.0,10249.0,20810.0,-1909.1,191.3,-1893.9,-1333.0,-1887.6,-1047.0,-1581.0,-1713.6,1588.0,-1489.7,-1527.0,-2006.2,,-729.7,,-1527.7,-1004.0,-1800.7,-894.5,-913.0,-1260.4,-65.9,1075.5,-777.6,-2286.0,-1065.3,-1202.1,,-1609.9,-1272.0,-2327.5,,-2258.5,-1233.9,-350.0,-1593.4,-830.0,-1821.0,,-2651.6,-982.4,-461.0,2112.1,4233.2,-81.0,-1037.0,-3505.0,7056.0,True,True,True,True,True,True,True,True,True,True,False,,True,,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,False,,False,True,True,True,True,True,,False,True,True,False,False,True,True,False,False
Rhode Island,1625,1448.3,1558.0,1456.7,1488.0,1454.8,1521.0,1571.0,1410.3,1549.0,1563.3,1565.0,1786.9,1524.0,1579.4,,1534.4,1464.0,1534.7,1578.9,1498.0,1481.0,1597.4,1531.0,1547.2,1453.0,1512.2,1527.1,,1637.2,1520.0,1468.0,,,1407.5,1464.0,2081.3,1392.0,1449.5,,1602.6,1536.3,1648.0,1428.9,1983.7,1523.0,1424.0,1302.8,1493.0,-176.7,-67.0,-168.3,-137.0,-170.2,-104.0,-54.0,-214.7,-76.0,-61.7,-60.0,161.9,-101.0,-45.6,,-90.6,-161.0,-90.3,-46.1,-127.0,-144.0,-27.6,-94.0,-77.8,-172.0,-112.8,-97.9,,12.2,-105.0,-157.0,,,-217.5,-161.0,456.3,-233.0,-175.5,,-22.4,-88.7,23.0,-196.1,358.7,-102.0,-201.0,-322.2,-132.0,True,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,True,False,False,True,,True,True,True,False,False,True,False,False,True
South Carolina,4895,4942.6,5425.3,4903.3,4971.0,4930.3,4910.0,4863.0,4852.3,4875.0,4867.3,4907.0,4761.8,4951.1,4840.5,,4523.0,4765.0,4764.1,4857.0,5256.0,4756.9,4765.5,4945.0,5016.0,4891.0,4971.0,4906.4,,4285.6,5076.5,5132.0,,4628.8,5968.8,5075.0,5088.8,4913.0,5004.6,,5010.8,4996.0,5168.0,4905.3,5206.9,5090.0,4705.0,4582.4,4897.0,47.6,530.3,8.3,76.0,35.3,15.0,-32.0,-42.7,-20.0,-27.7,12.0,-133.2,56.1,-54.5,,-372.0,-130.0,-130.9,-38.0,361.0,-138.1,-129.5,50.0,121.0,-4.0,76.0,11.4,,-609.4,181.5,237.0,,-266.2,1073.8,180.0,193.8,18.0,109.6,,115.8,101.0,273.0,10.3,311.9,195.0,-190.0,-312.6,2.0,False,True,False,True,True,True,True,True,True,True,False,False,False,,False,False,False,True,False,False,False,False,False,True,False,True,,False,False,False,,False,False,False,False,True,False,,False,False,False,True,False,False,False,False,True
South Dakota,1350,1494.0,1524.9,1414.2,1529.0,1401.0,1523.0,1082.0,1192.9,1217.0,1435.4,1297.0,1548.3,,1308.6,,1106.2,1570.0,1613.6,985.0,1718.0,949.4,1377.7,1235.0,1349.4,1317.0,1601.1,1657.1,,1290.9,1566.1,1755.0,,,2403.4,1376.0,899.7,1539.0,1172.9,,1663.2,1618.8,1303.0,1677.3,1191.1,1529.0,2139.0,1012.8,3125.0,144.0,174.9,64.2,179.0,51.0,173.0,-268.0,-157.1,-133.0,85.4,-53.0,198.3,,-41.4,,-243.8,220.0,263.6,-365.0,368.0,-400.6,27.7,-115.0,-0.6,-33.0,251.1,307.1,,-59.1,216.1,405.0,,,1053.4,26.0,-450.3,189.0,-177.1,,313.2,268.8,-47.0,327.3,-158.9,179.0,789.0,-337.2,1775.0,False,True,False,True,False,False,False,True,True,True,False,,True,,False,False,False,False,False,False,True,True,True,True,False,False,,True,False,False,,,False,True,False,False,False,,False,False,True,False,False,False,False,False,False
Tennessee,5960,5704.7,6866.6,5562.7,6050.0,5546.5,5852.0,5420.0,5630.7,7161.0,5969.5,6045.0,5464.1,5768.5,5785.3,,5967.9,5803.0,6043.9,6097.7,6020.0,5334.7,5739.2,5852.0,5830.0,5458.0,5940.1,6041.2,,4404.8,5981.0,6938.0,,5641.5,5880.8,5986.0,5097.4,5626.0,5645.7,,6434.1,5935.5,5832.0,5408.1,5338.9,6173.0,5510.0,4718.7,5888.0,-255.3,906.6,-397.3,90.0,-413.5,-108.0,-540.0,-329.3,1201.0,9.5,85.0,-495.9,-191.5,-174.7,,7.9,-157.0,83.9,137.7,60.0,-625.3,-220.8,-108.0,-130.0,-502.0,-19.9,81.2,,-1555.2,21.0,978.0,,-318.5,-79.2,26.0,-862.6,-334.0,-314.3,,474.1,-24.5,-128.0,-551.9,-621.1,213.0,-450.0,-1241.3,-72.0,False,False,True,False,True,False,False,False,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,,False,True,False,,False,True,True,False,False,False,,False,True,True,False,False,True,False,False,True
Texas,25714,24939.6,26177.5,24813.4,25755.0,24876.3,25918.0,23888.0,24870.6,27358.0,25900.7,23232.0,23609.8,26651.6,25145.9,,25137.2,26092.0,26153.1,25574.7,26076.0,23814.4,26713.6,27383.5,26110.0,24645.0,25922.4,25844.1,,23048.2,26729.0,26498.5,,25626.9,28620.4,26384.0,24403.1,25581.0,24657.7,,25151.2,25977.8,26313.0,23325.4,26460.3,26439.0,25523.5,22601.5,27029.0,-678.4,559.5,-804.6,137.0,-741.7,300.0,-1730.0,-747.4,1740.0,282.7,-2386.0,-2008.2,1033.6,-472.1,,-480.8,474.0,535.1,-43.3,458.0,-1803.6,1095.6,1765.5,492.0,-973.0,304.4,226.1,,-2569.8,1111.0,880.5,,8.9,3002.4,766.0,-1214.9,-37.0,-960.3,,-466.8,359.8,695.0,-2292.6,842.3,821.0,-94.5,-3016.5,1411.0,True,False,True,False,True,False,False,False,True,False,False,False,True,,True,True,True,True,True,False,False,False,True,False,True,True,,False,False,False,,True,False,False,False,True,False,,True,True,False,False,False,False,True,False,False
Utah,1148,1082.3,1314.0,1092.2,1267.0,1095.0,1210.0,1128.0,1327.2,1451.0,1416.6,1110.0,1064.1,1188.5,955.2,,1110.4,1210.0,1220.6,1023.4,1013.0,1315.2,1326.2,1176.0,1442.3,1213.0,1241.0,1224.0,,913.0,1198.6,1158.5,,,1289.3,1223.0,993.5,1162.0,1124.2,,1632.9,1266.1,1225.0,1011.3,1299.8,1258.0,1040.0,670.9,1413.0,-65.7,166.0,-55.8,119.0,-53.0,62.0,-20.0,179.2,303.0,268.6,-38.0,-83.9,40.5,-192.8,,-37.6,62.0,72.6,-124.6,-135.0,167.2,178.2,28.0,294.3,65.0,93.0,76.0,,-235.0,50.6,10.5,,,141.3,75.0,-154.5,14.0,-23.8,,484.9,118.1,77.0,-136.7,151.8,110.0,-108.0,-477.1,265.0,False,True,False,True,True,True,False,False,False,True,False,True,False,,True,True,False,False,False,False,False,True,False,True,False,False,,False,True,True,,,False,False,False,True,True,,False,False,False,False,False,False,False,False,False
Vermont,108,78.4,141.1,81.7,79.0,79.0,88.0,70.0,98.3,172.0,57.9,111.0,70.9,90.4,93.6,,64.1,73.0,69.1,74.9,126.0,112.3,108.7,68.0,73.6,116.0,83.7,92.9,,68.2,77.5,63.0,,,155.6,80.0,70.9,96.0,80.2,,77.9,109.9,91.0,64.2,145.9,108.0,107.0,63.5,,-29.6,33.1,-26.3,-29.0,-29.0,-20.0,-38.0,-9.7,64.0,-50.1,3.0,-37.1,-17.6,-14.4,,-43.9,-35.0,-38.9,-33.1,18.0,4.3,0.7,-40.0,-34.4,8.0,-24.3,-15.1,,-39.8,-30.5,-45.0,,,47.6,-28.0,-37.1,-12.0,-27.8,,-30.1,1.9,-17.0,-43.8,37.9,0.0,-1.0,-44.5,,False,True,True,True,True,False,True,False,False,True,False,True,True,,False,False,False,False,True,True,True,False,False,True,True,True,,False,False,False,,,False,True,False,True,True,,False,True,True,False,False,True,True,False,
Virginia,4643,4470.3,5323.2,4500.8,4723.0,4493.9,4557.0,4613.0,4532.2,4381.0,4392.6,4333.0,4471.9,4535.2,4592.1,,4501.7,4608.0,4396.7,4497.6,4944.0,4784.9,4614.1,4686.0,4730.9,4672.0,4470.2,4635.7,,3932.8,4735.8,4373.0,,4407.5,4557.2,4497.0,4083.2,4617.0,4490.8,,4722.0,4490.3,4774.0,4678.8,5111.7,4781.0,4230.5,4203.2,4384.0,-172.7,680.2,-142.2,80.0,-149.1,-86.0,-30.0,-110.8,-262.0,-250.4,-310.0,-171.1,-107.8,-50.9,,-141.3,-35.0,-246.3,-145.4,301.0,141.9,-28.9,43.0,87.9,29.0,-172.8,-7.3,,-710.2,92.8,-270.0,,-235.5,-85.8,-146.0,-559.8,-26.0,-152.2,,79.0,-152.7,131.0,35.8,468.7,138.0,-412.5,-439.8,-259.0,False,True,True,True,True,True,True,False,False,False,True,True,True,,True,True,False,True,False,True,True,True,True,True,False,True,,False,True,False,,False,True,True,False,True,True,,True,True,True,True,False,True,False,False,False
Washington,3104,3004.7,3259.8,3020.6,3310.0,3019.0,3185.0,3076.0,3213.8,4370.0,3617.1,3652.0,2864.4,3585.4,3376.9,,2985.1,3159.0,3298.6,3681.3,3201.0,3448.1,3484.1,2983.0,3045.6,3199.0,3286.4,3137.2,,2888.1,3176.0,2953.0,,2969.4,2936.0,3548.0,3574.3,3046.0,3082.6,,3380.6,3278.4,3308.0,2970.0,3667.9,3387.0,2908.0,2771.9,3146.0,-106.3,148.8,-90.4,199.0,-92.0,74.0,-35.0,102.8,1259.0,506.1,541.0,-246.6,474.4,265.9,,-125.9,48.0,187.6,570.3,90.0,337.1,373.1,-128.0,-65.4,88.0,175.4,26.2,,-222.9,65.0,-158.0,,-141.6,-175.0,437.0,463.3,-65.0,-28.4,,269.6,167.4,197.0,-141.0,556.9,276.0,-203.0,-339.1,35.0,False,True,False,True,True,True,True,False,False,False,False,False,False,,False,True,False,False,True,False,False,False,True,True,False,True,,False,True,False,,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,True
West Virginia,1122,970.6,1029.3,982.8,1034.0,994.1,1202.0,995.0,1065.2,1746.0,1335.1,1054.0,998.3,1460.0,1229.9,,991.2,1094.0,1162.3,1303.8,1272.0,1079.0,1417.2,1269.0,1108.3,1078.0,1252.9,1119.8,,856.0,1173.5,1472.0,,,1298.5,1331.0,1287.0,1091.0,1011.0,,1137.1,1279.0,1272.0,889.7,1136.8,1286.0,1675.5,763.6,1431.0,-151.4,-92.7,-139.2,-88.0,-127.9,80.0,-127.0,-56.8,624.0,213.1,-68.0,-123.7,338.0,107.9,,-130.8,-28.0,40.3,181.8,150.0,-43.0,295.2,147.0,-13.7,-44.0,130.9,-2.2,,-266.0,51.5,350.0,,,176.5,209.0,165.0,-31.0,-111.0,,15.1,157.0,150.0,-232.3,14.8,164.0,553.5,-358.4,309.0,True,True,True,True,True,True,True,False,False,True,True,False,True,,True,True,True,False,True,True,False,True,True,True,True,True,,False,True,False,,,False,False,False,True,True,,True,False,True,False,True,False,False,False,False
Wisconsin,4722,4689.0,6823.8,4710.3,5945.0,4758.7,4792.0,4820.0,5107.5,4047.0,4431.0,3990.0,4754.8,5108.5,4394.4,,4826.0,4544.0,4792.5,4217.0,5734.0,4542.8,4912.4,4406.0,4923.1,4684.0,4983.7,4911.7,4140.5,4791.1,5173.6,4094.5,,3732.7,7808.3,5513.0,4365.5,4636.0,5065.5,,6204.1,4996.2,4757.0,5064.9,5715.9,5018.0,4049.5,3626.8,,-33.0,2101.8,-11.7,1223.0,36.7,70.0,98.0,385.5,-675.0,-291.0,-732.0,32.8,386.5,-327.6,,104.0,-178.0,70.5,-505.0,1012.0,-179.2,190.4,-316.0,201.1,-38.0,261.7,189.7,-581.5,69.1,451.6,-627.5,,-989.3,3086.3,791.0,-356.5,-86.0,343.5,,1482.1,274.2,35.0,342.9,993.9,296.0,-672.5,-1095.2,,False,True,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,
Wyoming,351,299.4,438.3,302.6,417.0,304.0,373.0,325.0,415.8,547.0,523.9,373.0,338.2,420.7,440.7,,327.3,418.0,362.0,358.4,442.0,320.6,476.8,283.0,344.0,416.0,427.4,374.2,,237.1,390.2,378.0,,,288.1,428.0,315.2,443.0,266.3,,513.7,451.1,344.0,245.3,357.6,435.0,316.0,224.9,338.0,-51.6,87.3,-48.4,66.0,-47.0,22.0,-26.0,64.8,196.0,172.9,22.0,-12.8,69.7,89.7,,-23.7,67.0,11.0,7.4,91.0,-30.4,125.8,-68.0,-7.0,65.0,76.4,23.2,,-113.9,39.2,27.0,,,-62.9,77.0,-35.8,92.0,-84.7,,162.7,100.1,-7.0,-105.7,6.6,84.0,-35.0,-126.1,-13.0,False,True,False,True,True,True,False,False,False,True,True,False,False,,True,False,True,True,False,True,False,False,True,False,False,True,,False,True,True,,,False,False,True,False,False,,False,False,True,False,True,False,True,False,True
US,316159,297571.3,317434.9,296645.9,,296951.5,309858.0,305012.0,307617.9,322929.0,320326.5,310316.0,296439.8,307612.1,,308996.0,307446.0,305745.0,312773.7,312560.0,315814.0,305355.3,322985.8,299601.0,314291.2,305309.0,310234.4,310228.9,,291555.9,312308.4,305218.5,315218.5,293235.2,317989.0,323961.0,311698.3,303310.0,299773.6,283075.0,,311544.9,325336.0,296557.0,376686.3,322254.0,305349.0,272438.8,348484.0,-18411.7,1451.9,-19337.1,,-19031.5,-6125.0,-10971.0,-8365.1,6946.0,4343.5,-5667.0,-19543.2,-8370.9,,-6987.0,-8537.0,-10238.0,-3209.3,-3423.0,-169.0,-10627.7,7002.8,-16382.0,-1691.8,-10674.0,-5748.6,-5754.1,,-24427.1,-3674.6,-10764.5,-764.5,-22747.8,2006.0,7978.0,-4284.7,-12673.0,-16209.4,-32908.0,,-4438.1,9353.0,-19426.0,60703.3,6271.0,-10634.0,-43544.2,32501.0,True,False,,False,True,True,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,False,True,True,True,True,True,False,,True,True,False,False,True,True,False,False
