,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,4144,4074.6,4144.2,4093.0,4090.0,4093.0,4090.0,4148.0,4133.2,3960.1,4030.0,4092.0,4110.5,4109.3,4136.2,,4056.9,4028.0,4128.5,4099.4,4109.2,4088.4,4121.6,4074.9,4082.3,4095.3,4098.0,4127.2,4088.0,,4021.8,4116.6,4067.0,,4049.5,4091.1,,4098.0,3511.2,4060.0,4085.1,,4125.5,4086.0,4091.9,4134.0,4041.0,4045.1,4112.0,-69.4,0.2,-51.0,-54.0,-51.0,-54.0,4.0,-10.8,-183.9,-114.0,-52.0,-33.5,-34.7,-7.8,,-87.1,-116.0,-15.5,-44.6,-34.8,-55.6,-22.4,-69.1,-61.7,-48.7,-46.0,-16.8,-56.0,,-122.2,-27.4,-77.0,,-94.5,-52.9,,-46.0,-632.8,-84.0,-58.9,,-18.5,-58.0,-52.1,-10.0,-103.0,-98.9,-32.0,True,True,True,True,True,True,True,False,False,True,True,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,True,,True,False,False,True,,True,True,True,True,False,False,True
North Dakota,448,461.4,479.2,464.9,462.0,462.0,465.0,434.0,491.1,416.7,430.0,472.3,476.1,491.8,462.0,,462.3,430.0,466.1,450.1,465.9,416.4,474.5,467.1,460.1,444.0,458.0,479.1,465.6,,464.6,480.8,459.0,,,462.0,,456.0,300.0,456.0,454.9,,482.0,467.0,491.6,472.0,473.0,428.3,472.0,13.4,31.2,16.9,14.0,14.0,17.0,-14.0,43.1,-31.3,-18.0,24.3,28.1,43.8,14.0,,14.3,-18.0,18.1,2.1,17.9,-31.6,26.5,19.1,12.1,-4.0,10.0,31.1,17.6,,16.6,32.8,11.0,,,14.0,,8.0,-148.0,8.0,6.9,,34.0,19.0,43.6,24.0,25.0,-19.7,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,True,True,True,False,False,,False,False,True,,,False,,True,False,True,True,,False,False,False,False,False,False,False
Ohio,5206,5125.3,5123.9,5152.6,5134.0,5137.0,5171.0,5389.0,5175.2,5139.1,5153.0,5165.9,5155.3,5142.8,5207.5,,5289.0,5211.0,5167.5,5345.8,5179.3,5201.1,5162.6,5152.9,5147.8,5230.5,5198.0,5208.3,5158.2,5196.0,5147.8,5157.2,5171.0,,5184.0,5122.7,,5163.0,5763.7,5135.0,5142.1,,5206.6,5198.0,5189.8,5140.0,5240.0,5166.2,5235.0,-80.7,-82.1,-53.4,-72.0,-69.0,-35.0,183.0,-30.8,-66.9,-53.0,-40.1,-50.7,-63.2,1.5,,83.0,5.0,-38.5,139.8,-26.7,-4.9,-43.4,-53.1,-58.2,24.5,-8.0,2.3,-47.8,-10.0,-58.2,-48.8,-35.0,,-22.0,-83.3,,-43.0,557.7,-71.0,-63.9,,0.6,-8.0,-16.2,-66.0,34.0,-39.8,29.0,False,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,True,True
Oklahoma,1245,1233.6,1248.5,1230.4,1236.0,1229.0,1224.0,1212.0,1212.1,1160.8,1190.0,1232.5,1222.7,1243.5,1223.1,,1186.9,1218.0,1219.3,1206.5,1243.1,1230.8,1222.7,1208.9,1232.1,1222.0,1255.0,1229.3,1224.7,,1193.4,1232.0,1204.0,,,1228.3,,1226.0,1698.0,1222.0,1227.4,,1232.8,1224.0,1219.0,1233.0,1234.0,1205.8,1228.0,-11.4,3.5,-14.6,-9.0,-16.0,-21.0,-33.0,-32.9,-84.2,-55.0,-12.5,-22.3,-1.5,-21.9,,-58.1,-27.0,-25.7,-38.5,-1.9,-14.2,-22.3,-36.1,-12.9,-23.0,10.0,-15.7,-20.3,,-51.6,-13.0,-41.0,,,-16.7,,-19.0,453.0,-23.0,-17.6,,-12.2,-21.0,-26.0,-12.0,-11.0,-39.2,-17.0,True,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,True,False,False
Oregon,653,638.0,639.3,638.3,641.0,639.0,642.0,645.0,649.5,630.4,629.0,648.5,643.4,649.3,643.1,,643.5,638.0,643.4,658.4,651.0,667.3,650.9,638.7,638.2,639.9,663.0,648.5,645.2,,642.0,642.1,637.5,,,639.8,,646.0,681.1,638.0,639.7,,651.4,644.0,642.9,642.0,635.0,635.6,643.0,-15.0,-13.7,-14.7,-12.0,-14.0,-11.0,-8.0,-3.5,-22.6,-24.0,-4.5,-9.6,-3.7,-9.9,,-9.5,-15.0,-9.6,5.4,-2.0,14.3,-2.1,-14.3,-14.8,-13.1,10.0,-4.5,-7.8,,-11.0,-10.9,-15.5,,,-13.2,,-7.0,28.1,-15.0,-13.3,,-1.6,-9.0,-10.1,-11.0,-18.0,-17.4,-10.0,True,True,True,True,True,True,True,False,False,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,,True,,True,False,False,True,,True,True,True,True,False,False,True
Pennsylvania,8636,8580.7,8585.9,8561.6,8624.0,8560.0,8573.0,8604.0,8621.9,8470.2,8562.0,8642.2,8553.1,8555.2,8546.3,,8574.9,8558.0,8587.2,8694.0,8571.4,8575.4,8605.3,8572.0,8586.6,8667.8,8573.0,8566.9,8569.3,,8640.5,8599.5,8552.0,,8561.3,8564.8,,8600.0,8246.2,8613.0,8548.3,,8569.9,8594.0,8577.2,8589.0,8602.0,8518.5,8584.0,-55.3,-50.1,-74.4,-12.0,-76.0,-63.0,-32.0,-14.1,-165.8,-74.0,6.2,-82.9,-80.8,-89.7,,-61.1,-78.0,-48.8,58.0,-64.6,-60.6,-30.7,-64.0,-49.4,31.8,-63.0,-69.1,-66.7,,4.5,-36.5,-84.0,,-74.7,-71.2,,-36.0,-389.8,-23.0,-87.7,,-66.1,-42.0,-58.8,-47.0,-34.0,-117.5,-52.0,True,False,True,False,False,True,True,False,False,True,False,False,False,,False,False,True,False,False,False,True,False,True,True,False,False,False,,True,True,False,,False,False,,True,False,True,False,,False,True,False,True,True,False,True
Rhode Island,1177,1170.9,1185.9,1174.2,1164.0,1174.0,1170.0,1168.0,1173.9,1148.2,1161.0,1188.3,1165.2,1174.0,1174.2,,1142.6,1164.0,1168.6,1186.0,1141.0,1172.4,1171.5,1163.6,1162.9,1170.3,1161.0,1154.9,1172.2,,1171.6,1173.1,1162.0,,,1168.8,,1176.0,1355.7,1175.0,1156.7,,1158.9,1172.0,1168.4,1175.0,1166.5,1131.9,1172.0,-6.1,8.9,-2.8,-13.0,-3.0,-7.0,-9.0,-3.1,-28.8,-16.0,11.3,-11.8,-3.0,-2.8,,-34.4,-13.0,-8.4,9.0,-36.0,-4.6,-5.5,-13.4,-14.1,-6.7,-16.0,-22.1,-4.8,,-5.4,-3.9,-15.0,,,-8.2,,-1.0,178.7,-2.0,-20.3,,-18.1,-5.0,-8.6,-2.0,-10.5,-45.1,-5.0,False,True,False,True,False,False,True,False,False,False,False,True,True,,False,False,False,False,False,True,True,False,False,False,False,False,True,,True,True,False,,,False,,True,False,True,False,,False,True,False,True,False,False,True
South Carolina,3793,3734.0,3728.9,3723.0,3725.0,3723.0,3729.0,3752.0,3716.9,3642.9,3729.0,3753.1,3735.7,3699.2,3736.8,,3766.6,3708.0,3731.3,3724.3,3727.2,3697.5,3742.1,3731.4,3736.2,3731.9,3732.0,3724.0,3739.5,,3713.6,3739.3,3697.0,,3742.6,3735.4,,3730.0,4311.1,3735.0,3725.7,,3727.5,3745.0,3746.8,3725.0,3719.0,3736.0,3738.0,-59.0,-64.1,-70.0,-68.0,-70.0,-64.0,-41.0,-76.1,-150.1,-64.0,-39.9,-57.3,-93.8,-56.2,,-26.4,-85.0,-61.7,-68.7,-65.8,-95.5,-50.9,-61.6,-56.8,-61.1,-61.0,-69.0,-53.5,,-79.4,-53.7,-96.0,,-50.4,-57.6,,-63.0,518.1,-58.0,-67.3,,-65.5,-48.0,-46.2,-68.0,-74.0,-57.0,-55.0,False,False,False,False,False,True,False,False,False,True,True,False,True,,True,False,False,False,False,False,True,False,True,False,False,False,True,,False,True,False,,True,True,,False,False,True,False,,False,True,True,False,False,True,True
South Dakota,366,354.7,352.1,343.7,345.0,344.0,355.0,335.0,372.3,330.6,347.0,371.7,348.1,351.9,355.6,,364.1,322.0,354.4,375.6,356.9,326.4,360.7,357.6,354.2,346.1,378.0,350.1,357.6,,346.0,357.7,356.0,,,345.9,,356.0,307.7,368.0,358.2,,353.6,358.0,348.8,355.0,368.0,336.5,359.0,-11.3,-13.9,-22.3,-21.0,-22.0,-11.0,-31.0,6.3,-35.4,-19.0,5.7,-17.9,-14.1,-10.4,,-1.9,-44.0,-11.6,9.6,-9.1,-39.6,-5.3,-8.4,-11.8,-19.9,12.0,-15.9,-8.4,,-20.0,-8.3,-10.0,,,-20.1,,-10.0,-58.3,2.0,-7.8,,-12.4,-8.0,-17.2,-11.0,2.0,-29.5,-7.0,False,False,False,False,True,False,True,False,False,True,False,False,True,,True,False,False,True,True,False,True,True,False,False,False,False,True,,False,True,True,,,False,,True,False,True,True,,False,True,False,True,True,False,True
Tennessee,3100,3030.7,3057.6,3047.5,3052.0,3048.0,3058.0,3057.0,3136.1,2972.1,3024.0,3095.9,3061.7,3017.7,3117.5,,3214.8,3024.0,3102.0,3220.7,3014.1,3023.4,3093.0,3070.7,3058.1,3040.3,3079.0,3101.9,3077.3,,3008.3,3060.3,3031.0,,3083.1,3058.6,,3094.0,3274.9,3046.0,3050.3,,3099.5,3054.0,3091.6,3068.0,3036.0,2973.9,3075.0,-69.3,-42.4,-52.5,-48.0,-52.0,-42.0,-43.0,36.1,-127.9,-76.0,-4.1,-38.3,-82.3,17.5,,114.8,-76.0,2.0,120.7,-85.9,-76.6,-7.0,-29.3,-41.9,-59.7,-21.0,1.9,-22.7,,-91.7,-39.7,-69.0,,-16.9,-41.4,,-6.0,174.9,-54.0,-49.7,,-0.5,-46.0,-8.4,-32.0,-64.0,-126.1,-25.0,True,True,True,True,True,True,True,False,False,True,True,False,True,,False,False,True,False,False,False,True,True,True,True,True,True,True,,False,True,True,,True,True,,True,False,True,True,,True,True,True,True,True,False,True
Texas,17916,17888.4,17968.3,17944.3,17893.0,17937.0,17949.0,18062.0,17931.8,17543.2,17827.0,17906.8,18105.1,17929.8,18082.8,,17442.8,17954.0,17984.3,17732.9,17966.4,17820.7,18020.8,17952.8,17942.1,17885.9,17968.0,18086.6,17957.0,,17865.0,17957.3,17796.0,,18039.1,17970.8,18718.0,17911.0,20876.6,17838.0,17932.1,,18083.6,17973.0,18018.9,17962.0,17861.0,17895.3,17497.0,-22.6,57.3,33.3,-18.0,26.0,38.0,151.0,20.8,-367.8,-84.0,-4.2,194.1,18.8,171.8,,-468.2,43.0,73.3,-178.1,55.4,-90.3,109.8,41.8,31.1,-25.1,57.0,175.6,46.0,,-46.0,46.3,-115.0,,128.1,59.8,807.0,0.0,2965.6,-73.0,21.1,,172.6,62.0,107.9,51.0,-50.0,-15.7,-414.0,False,False,True,False,False,False,True,False,False,True,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,True,False,False,True,,False,False,False,False,False,True,False
Utah,568,565.3,566.2,570.6,573.0,570.0,571.0,580.0,582.3,561.5,557.0,575.6,574.1,584.5,452.8,,597.0,564.0,571.7,476.9,471.4,572.6,581.4,570.3,577.5,560.1,593.0,570.8,577.7,,571.1,570.0,564.0,,,559.2,,576.0,511.6,574.0,569.5,,574.2,573.0,566.4,574.0,586.0,451.6,578.0,-2.7,-1.8,2.6,5.0,2.0,3.0,12.0,14.3,-6.5,-11.0,7.6,6.1,16.5,-115.2,,29.0,-4.0,3.7,-91.1,-96.6,4.6,13.4,2.3,9.5,-7.9,25.0,2.8,9.7,,3.1,2.0,-4.0,,,-8.8,,8.0,-56.4,6.0,1.5,,6.2,5.0,-1.6,6.0,18.0,-116.4,10.0,True,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,True,False,,,False,,False,False,False,True,,False,False,True,False,False,False,False
Vermont,58,58.0,57.9,58.0,58.0,58.0,58.0,59.0,58.0,58.1,58.0,58.5,58.6,58.0,58.7,,57.9,58.0,58.0,58.1,58.7,60.5,58.2,58.6,58.0,58.9,65.0,58.2,60.2,,58.4,58.0,58.0,,,58.0,,58.0,59.5,60.0,58.0,,62.0,58.0,58.5,58.0,59.0,57.9,,0.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.5,0.6,0.0,0.7,,-0.1,0.0,0.0,0.1,0.7,2.5,0.2,0.6,0.0,0.9,7.0,0.2,2.2,,0.4,0.0,0.0,,,0.0,,0.0,1.5,2.0,0.0,,4.0,0.0,0.5,0.0,1.0,-0.1,,False,True,True,True,True,False,False,False,True,False,False,True,False,,False,True,True,False,False,False,False,False,True,False,False,False,False,,False,True,True,,,True,,True,False,False,False,,False,True,False,True,False,False,
Virginia,3578,3494.3,3492.6,3497.3,3490.0,3487.0,3503.0,3560.0,3507.6,3442.3,3486.0,3560.0,3499.3,3470.3,3537.7,,3477.0,3525.0,3539.5,3548.8,3524.1,3508.5,3515.0,3496.0,3493.7,3542.4,3525.0,3531.3,3502.8,,3486.7,3500.3,3487.0,,3502.6,3478.9,,3504.0,3466.8,3512.0,3481.2,,3534.2,3523.0,3525.7,3498.0,3493.0,3500.4,,-80.7,-82.4,-77.7,-85.0,-88.0,-72.0,-15.0,-67.4,-132.7,-89.0,-15.0,-75.7,-104.7,-37.3,,-98.0,-50.0,-35.5,-26.2,-50.9,-66.5,-60.0,-79.0,-81.3,-32.6,-50.0,-43.7,-72.2,,-88.3,-74.7,-88.0,,-72.4,-96.1,,-71.0,-108.2,-63.0,-93.8,,-40.8,-52.0,-49.3,-77.0,-82.0,-74.6,,False,True,False,False,True,True,True,False,False,True,True,False,True,,False,True,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,True,False,,True,False,True,False,,True,True,True,True,False,True,
Washington,2296,2281.0,2297.8,2290.2,2288.0,2288.0,2290.0,2334.0,2291.9,2251.1,2260.0,2291.5,2285.8,2281.3,2292.1,,2254.1,2305.0,2296.7,2313.8,2287.1,2310.0,2295.2,2275.4,2274.0,2276.8,2299.0,2291.1,2291.4,,2275.4,2295.1,2267.0,,2273.5,2279.5,,2293.0,2192.3,2281.0,2288.9,,2288.0,2288.0,2290.9,2282.0,2308.0,2272.2,2327.0,-15.0,1.8,-5.8,-8.0,-8.0,-6.0,38.0,-4.1,-44.9,-36.0,-4.5,-10.2,-14.7,-3.9,,-41.9,9.0,0.7,17.8,-8.9,14.0,-0.8,-20.6,-22.0,-19.2,3.0,-4.9,-4.6,,-20.6,-0.9,-29.0,,-22.5,-16.5,,-3.0,-103.7,-15.0,-7.1,,-8.0,-8.0,-5.1,-14.0,12.0,-23.8,31.0,True,True,True,True,True,False,True,False,False,True,True,True,True,,False,True,True,False,True,True,True,False,False,False,True,True,True,,False,True,False,,False,False,,True,False,False,True,,True,True,True,True,True,False,False
West Virginia,424,416.6,418.8,415.5,419.0,415.0,422.0,422.0,418.3,406.6,423.0,426.0,419.1,413.4,426.4,,426.9,430.0,424.4,432.7,423.5,435.9,423.4,424.1,417.5,436.4,442.0,427.6,,,417.9,428.0,417.0,,,422.8,,423.0,473.4,419.0,420.3,,431.2,418.0,418.5,420.0,419.0,417.4,422.0,-7.4,-5.2,-8.5,-5.0,-9.0,-2.0,-2.0,-5.7,-17.4,-1.0,2.0,-4.9,-10.6,2.4,,2.9,6.0,0.4,8.7,-0.5,11.9,-0.6,0.1,-6.5,12.4,18.0,3.6,,,-6.1,4.0,-7.0,,,-1.2,,-1.0,49.4,-5.0,-3.7,,7.2,-6.0,-5.5,-4.0,-5.0,-6.6,-2.0,True,False,True,False,True,True,True,False,True,True,True,False,True,,True,True,True,False,True,False,True,True,True,False,False,True,,,True,True,True,,,True,,True,False,True,True,,True,True,True,True,True,True,True
Wisconsin,2039,1667.4,1717.1,1688.7,1694.0,1690.0,1683.0,1752.0,1709.6,1608.3,1631.0,1691.3,1680.7,1769.8,1711.5,,1697.1,1677.0,1691.2,1710.5,1737.0,1687.1,1705.6,1604.4,1691.8,1641.1,1720.0,1682.5,,1668.0,1674.2,1719.0,1646.0,,1648.5,1670.6,,1693.0,1668.4,1633.0,1681.8,,1685.1,1691.0,1667.2,1695.0,1690.0,1614.1,1700.0,-146.6,-96.9,-125.3,-120.0,-124.0,-131.0,-62.0,-104.4,-205.7,-183.0,-122.7,-133.3,-44.2,-102.5,,-116.9,-137.0,-122.8,-103.5,-77.0,-126.9,-108.4,-209.6,-122.2,-172.9,-94.0,-131.5,,-146.0,-139.8,-95.0,-168.0,,-165.5,-143.4,,-121.0,-145.6,-181.0,-132.2,,-128.9,-123.0,-146.8,-119.0,-124.0,-199.9,-114.0,True,True,True,True,True,True,True,False,False,True,True,True,True,,True,True,True,True,True,True,True,False,True,False,True,True,,True,True,True,False,,False,True,,True,True,False,True,,True,True,False,True,True,False,True
Wyoming,68,59.6,60.6,60.3,61.0,60.0,60.0,62.0,59.0,57.6,60.0,60.8,60.2,57.0,61.8,,60.1,62.0,58.5,62.4,65.0,63.4,60.2,61.7,58.8,57.0,73.0,60.7,,,58.4,60.9,60.0,,,59.2,,61.0,76.6,65.0,58.9,,64.4,61.0,59.2,60.0,59.0,58.1,,-8.4,-7.4,-7.7,-7.0,-8.0,-8.0,-6.0,-9.0,-10.4,-8.0,-7.2,-7.8,-11.0,-6.2,,-7.9,-6.0,-9.5,-5.6,-3.0,-4.6,-7.8,-6.3,-9.2,-11.0,5.0,-7.3,,,-9.6,-7.1,-8.0,,,-8.8,,-7.0,8.6,-3.0,-9.1,,-3.6,-7.0,-8.8,-8.0,-9.0,-9.9,,True,True,True,True,True,True,False,False,True,True,True,False,True,,True,True,False,True,True,True,True,True,False,False,True,True,,,False,True,True,,,False,,True,False,True,False,,True,True,False,True,False,False,
US,225402,223879.1,224896.9,224189.5,,224202.0,224202.0,224368.0,225143.8,219842.9,222858.0,224756.6,224789.5,224074.0,,229243.0,222208.2,222969.0,224464.0,224215.1,,223416.5,224696.8,223020.4,224564.2,,224619.0,224152.9,224005.6,,223158.0,224674.9,223100.5,224310.6,223891.4,223864.1,224075.0,224509.0,231747.1,224184.0,224163.5,227524.0,224296.5,224446.0,224575.6,224508.0,223974.0,223324.4,224239.0,-1087.9,-70.1,-777.5,,-765.0,-765.0,-599.0,176.8,-5124.1,-2109.0,-210.4,-177.5,-893.0,,4276.0,-2758.8,-1998.0,-503.0,-751.9,,-1550.5,-270.2,-1946.6,-402.8,,-348.0,-814.1,-961.4,,-1809.0,-292.1,-1866.5,-656.4,-1075.6,-1102.9,-892.0,-458.0,6780.1,-783.0,-803.5,2557.0,-670.5,-521.0,-391.4,-459.0,-993.0,-1642.6,-728.0,True,True,,True,True,True,True,False,False,True,True,True,,False,False,False,True,True,,False,True,False,True,,True,True,True,,False,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True
