,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9839,9812.9,9853.0,9849.8,9821.0,9859.0,9853.0,10043.0,10126.0,9965.8,9737.0,9739.2,9798.8,9809.6,9700.0,9948.8,10002.8,9805.0,9760.5,9943.2,9822.2,9807.0,9693.0,9877.1,,9732.0,9964.8,9663.0,,9750.9,9616.5,,9905.0,10198.8,9996.0,9749.4,,9881.9,9859.0,9856.5,9976.0,9828.0,9666.2,9842.9,9489.0,-26.1,14.0,10.8,-18.0,20.0,14.0,204.0,287.0,126.8,-102.0,-99.8,-40.2,-29.4,-139.0,109.8,163.8,-34.0,-78.5,104.2,-16.8,-32.0,-146.0,38.1,,-107.0,125.8,-176.0,,-88.1,-222.5,,66.0,359.8,157.0,-89.6,,42.9,20.0,17.5,137.0,-11.0,-172.8,3.9,-350.0,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,True,True,False,True,False,True,False
Michigan,7522,7352.6,7436.4,7370.4,7360.0,7367.7,7344.0,7482.0,7348.0,7291.3,7245.0,7284.3,,7449.2,7309.0,7383.2,7517.1,7470.5,7498.5,7362.2,7239.8,7347.4,7397.0,7474.1,7805.0,7220.6,7438.0,7317.0,,7175.9,7257.6,,7367.0,7922.4,7308.0,7304.8,,7480.6,7415.0,7390.1,7398.0,7273.5,7139.2,7353.4,7181.0,-169.4,-85.6,-151.6,-162.0,-154.3,-178.0,-40.0,-174.0,-230.7,-277.0,-237.7,,-72.8,-213.0,-138.8,-4.9,-51.5,-23.5,-159.8,-282.2,-174.6,-125.0,-47.9,283.0,-301.4,-84.0,-205.0,,-346.1,-264.4,,-155.0,400.4,-214.0,-217.2,,-41.4,-107.0,-131.9,-124.0,-248.5,-382.8,-168.6,-341.0,True,True,True,True,False,True,False,False,False,False,,True,False,True,True,True,True,True,False,False,True,True,False,False,True,False,,False,False,,True,False,False,False,,True,True,True,True,False,False,True,False
Minnesota,2381,2341.6,2414.4,2335.3,2333.0,2335.9,2325.0,2302.0,2417.0,2292.1,2268.0,2307.2,2332.6,2242.2,2300.0,2340.6,2369.9,2438.6,2334.2,2306.2,2275.4,2360.5,2372.0,2338.1,2621.0,2258.6,2390.2,2290.0,,2264.9,2309.9,,2330.0,2557.1,2416.0,2331.2,,2349.2,2365.0,2315.1,2403.0,2415.5,2177.6,2346.9,2275.0,-39.4,33.4,-45.7,-48.0,-45.1,-56.0,-79.0,36.0,-88.9,-113.0,-73.8,-48.4,-138.8,-81.0,-40.4,-11.1,57.6,-46.8,-74.8,-105.6,-20.5,-9.0,-42.9,240.0,-122.4,9.2,-91.0,,-116.1,-71.1,,-51.0,176.1,35.0,-49.8,,-31.8,-16.0,-65.9,22.0,34.5,-203.4,-34.1,-106.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,,False,False,,False,False,True,False,,True,True,False,True,True,False,True,False
Mississippi,3255,3281.6,3162.5,3319.3,3282.0,3311.0,3256.0,3237.0,3308.0,3265.9,3211.0,3243.0,3203.2,3172.4,3307.0,3308.8,3335.0,3326.1,3156.2,3236.7,3229.9,3221.2,3244.0,3168.2,,3198.0,3327.1,3202.0,,3295.1,3217.1,,3310.0,2761.6,3306.0,3296.0,,3164.4,3274.0,3349.0,3324.0,3188.0,3240.9,3273.2,3078.0,26.6,-92.5,64.3,27.0,56.0,1.0,-18.0,53.0,10.9,-44.0,-12.0,-51.8,-82.6,52.0,53.8,80.0,71.1,-98.8,-18.3,-25.1,-33.8,-11.0,-86.8,,-57.0,72.1,-53.0,,40.1,-37.9,,55.0,-493.4,51.0,41.0,,-90.6,19.0,94.0,69.0,-67.0,-14.1,18.2,-177.0,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,True,True,False
Missouri,2808,2566.0,2516.2,2577.4,2544.0,2546.1,2602.0,2709.0,2637.0,2653.4,2524.0,2470.7,2424.0,2329.1,2553.0,2488.9,2497.3,3040.3,2512.9,2659.2,3597.2,2528.6,2606.0,2537.3,,2588.5,2647.3,2730.0,,2436.1,2633.2,,2639.0,2764.3,2643.0,2362.6,,2550.8,2413.0,2481.0,2606.0,2707.0,2203.7,2765.9,2426.0,-242.0,-291.8,-230.6,-264.0,-261.9,-206.0,-99.0,-171.0,-154.6,-284.0,-337.3,-384.0,-478.9,-255.0,-319.1,-310.7,232.3,-295.1,-148.8,789.2,-279.4,-202.0,-270.7,,-219.5,-160.7,-78.0,,-371.9,-174.8,,-169.0,-43.7,-165.0,-445.4,,-257.2,-395.0,-327.0,-202.0,-101.0,-604.3,-42.1,-382.0,False,True,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,,True,True,True,,False,True,,True,True,True,False,,False,False,False,True,True,False,True,False
Montana,294,227.0,217.9,232.5,242.0,231.0,243.0,250.0,361.0,279.2,238.0,231.7,233.2,272.4,231.0,270.0,341.8,273.8,243.6,287.0,242.1,245.5,310.0,266.2,,243.0,253.6,226.0,,,193.1,,261.0,344.3,314.0,227.0,,267.8,284.0,231.7,276.0,229.0,212.6,254.9,218.0,-67.0,-76.1,-61.5,-52.0,-63.0,-51.0,-44.0,67.0,-14.8,-56.0,-62.3,-60.8,-21.6,-63.0,-24.0,47.8,-20.2,-50.4,-7.0,-51.9,-48.5,16.0,-27.8,,-51.0,-40.4,-68.0,,,-100.9,,-33.0,50.3,20.0,-67.0,,-26.2,-10.0,-62.3,-18.0,-65.0,-81.4,-39.1,-76.0,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,,False,,True,True,True,False,,True,True,True,True,True,False,True,False
Nebraska,595,589.6,609.8,578.1,584.0,581.0,577.0,620.0,604.0,573.8,574.0,579.7,615.9,575.1,556.0,564.9,598.3,599.2,578.2,575.7,555.3,583.1,697.0,572.4,,578.2,608.8,579.0,,,534.3,,582.0,581.4,648.0,520.3,,580.1,585.0,554.7,594.0,594.0,533.1,576.6,552.0,-5.4,14.8,-16.9,-11.0,-14.0,-18.0,25.0,9.0,-21.2,-21.0,-15.3,20.9,-19.9,-39.0,-30.1,3.3,4.2,-16.8,-19.3,-39.7,-11.9,102.0,-22.6,,-16.8,13.8,-16.0,,,-60.7,,-13.0,-13.6,53.0,-74.7,,-14.9,-10.0,-40.3,-1.0,-1.0,-61.9,-18.4,-43.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,True,True,False,False,False
Nevada,1743,1731.6,1663.9,1743.3,1737.0,1734.0,1748.0,1813.0,1874.0,1788.3,1741.0,1740.9,1745.3,1810.4,1735.0,1773.6,1848.3,1828.1,1724.6,1775.5,1758.4,1743.6,1759.0,1687.1,,1748.0,1750.8,1724.0,,1800.6,1736.4,,1775.0,1834.9,1813.0,1783.1,,1688.0,1783.0,1754.8,1769.0,1721.0,1751.2,1747.1,1693.0,-11.4,-79.1,0.3,-6.0,-9.0,5.0,70.0,131.0,45.3,-2.0,-2.1,2.3,67.4,-8.0,30.6,105.3,85.1,-18.4,32.5,15.4,0.6,16.0,-55.9,,5.0,7.8,-19.0,,57.6,-6.6,,32.0,91.9,70.0,40.1,,-55.0,40.0,11.8,26.0,-22.0,8.2,4.1,-50.0,False,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,,True,True,False,,False,True,,False,False,False,False,,False,False,False,False,False,True,True,False
New Hampshire,473,454.4,492.3,450.1,451.0,453.0,453.0,450.0,448.0,445.8,452.0,456.8,459.5,458.2,455.0,446.8,452.8,462.7,462.6,453.3,458.4,443.3,463.0,448.0,,460.2,459.0,444.0,,,444.2,,450.0,477.3,456.0,457.7,,453.6,453.0,464.0,456.0,453.0,448.1,453.3,,-18.6,19.3,-22.9,-22.0,-20.0,-20.0,-23.0,-25.0,-27.2,-21.0,-16.2,-13.5,-14.8,-18.0,-26.2,-20.2,-10.3,-10.4,-19.7,-14.6,-29.7,-10.0,-25.0,,-12.8,-14.0,-29.0,,,-28.8,,-23.0,4.3,-17.0,-15.3,,-19.4,-20.0,-9.0,-17.0,-20.0,-24.9,-19.7,,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,False,,True,True,False,,,False,,False,True,True,True,,False,False,True,True,False,False,False,
New Jersey,16281,16221.7,16243.4,16228.3,16241.0,16295.7,16283.0,16581.0,16414.0,16353.4,16311.0,16228.2,16458.9,16559.6,16294.5,16301.1,16435.2,16265.5,16265.5,16286.5,16264.2,16274.2,16283.0,16312.6,,16251.2,16266.9,16143.0,,16203.4,16170.9,,16281.0,16908.5,16316.0,16209.8,,16307.4,16242.0,16854.3,16279.0,16395.0,16261.8,16279.6,16364.0,-59.3,-37.6,-52.7,-40.0,14.7,2.0,300.0,133.0,72.4,30.0,-52.8,177.9,278.6,13.5,20.1,154.2,-15.5,-15.5,5.5,-16.8,-6.8,2.0,31.6,,-29.8,-14.1,-138.0,,-77.6,-110.1,,0.0,627.5,35.0,-71.2,,26.4,-39.0,573.3,-2.0,114.0,-19.2,-1.4,83.0,True,True,True,True,True,False,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,False,True,True,False
New Mexico,965,954.9,947.8,956.0,949.0,950.0,961.0,972.0,1088.0,974.2,931.0,962.6,973.7,957.7,954.0,987.2,1038.3,976.3,976.0,978.8,973.7,955.1,972.0,954.7,,959.0,991.1,946.0,,,962.1,,974.0,1138.8,1051.0,939.6,,959.2,978.0,976.2,993.0,954.0,941.3,965.8,910.0,-10.1,-17.2,-9.0,-16.0,-15.0,-4.0,7.0,123.0,9.2,-34.0,-2.4,8.7,-7.3,-11.0,22.2,73.3,11.3,11.0,13.8,8.7,-9.9,7.0,-10.3,,-6.0,26.1,-19.0,,,-2.9,,9.0,173.8,86.0,-25.4,,-5.8,13.0,11.2,28.0,-11.0,-23.7,0.8,-55.0,False,True,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,False,True,True,True,False,,True,False,False,,,True,,True,False,False,False,,True,False,False,False,False,False,True,False
New York,33634,33416.4,33803.1,33434.3,33363.0,33471.1,33415.0,33621.0,33381.0,33369.3,33388.0,33323.3,33381.1,33211.1,33363.0,33336.8,33507.7,33502.7,33534.9,33494.0,33383.6,33450.3,33470.0,33424.8,,33395.9,33506.7,33201.0,,33260.6,33421.3,,33344.0,33778.2,33423.0,33293.3,,33415.5,33515.0,33614.6,33470.0,33444.5,33184.7,33508.4,33226.0,-33.6,353.1,-15.7,-87.0,21.1,-35.0,171.0,-69.0,-80.7,-62.0,-126.7,-68.9,-238.9,-87.0,-113.2,57.7,52.7,84.9,44.0,-66.4,0.3,20.0,-25.2,,-54.1,56.7,-249.0,,-189.4,-28.7,,-106.0,328.2,-27.0,-156.7,,-34.5,65.0,164.6,20.0,-5.5,-265.3,58.4,-224.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,,False,False,False,,False,True,,False,False,True,False,,False,False,False,True,True,False,False,False
North Carolina,4144,4185.4,4048.7,4177.8,4154.0,4196.0,4118.0,4305.0,4148.0,4110.5,4014.0,4018.6,4144.4,4034.2,4105.0,4219.1,4145.4,4133.3,4228.8,4150.2,3992.7,4090.4,4096.0,4235.5,,3987.2,4293.4,3947.0,,4110.7,3981.2,,4270.0,3313.4,4096.0,4105.8,,4222.1,4115.0,4172.8,4271.0,4104.5,3954.4,4172.3,3993.0,41.4,-95.3,33.8,10.0,52.0,-26.0,161.0,4.0,-33.5,-130.0,-125.4,0.4,-109.8,-39.0,75.1,1.4,-10.7,84.8,6.2,-151.3,-53.6,-48.0,91.5,,-156.8,149.4,-197.0,,-33.3,-162.8,,126.0,-830.6,-48.0,-38.2,,78.1,-29.0,28.8,127.0,-39.5,-189.6,28.3,-151.0,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,,False,False,False,,True,False,,False,False,False,True,,False,True,True,False,True,False,True,False
North Dakota,448,396.9,408.5,403.7,390.0,403.0,400.0,368.0,434.0,427.7,352.0,368.1,392.8,354.8,359.0,404.5,341.5,434.9,322.1,439.8,372.7,388.6,411.0,423.8,,432.5,445.7,475.0,,,305.2,,354.0,286.7,365.0,342.5,,433.5,405.0,501.5,441.0,514.5,311.7,412.8,371.0,-51.1,-39.5,-44.3,-58.0,-45.0,-48.0,-80.0,-14.0,-20.3,-96.0,-79.9,-55.2,-93.2,-89.0,-43.5,-106.5,-13.1,-125.9,-8.2,-75.3,-59.4,-37.0,-24.2,,-15.5,-2.3,27.0,,,-142.8,,-94.0,-161.3,-83.0,-105.5,,-14.5,-43.0,53.5,-7.0,66.5,-136.3,-35.2,-77.0,True,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,True,,True,True,True,,,False,,False,False,False,False,,True,True,False,True,False,False,True,False
Ohio,5206,5450.7,5584.0,5474.3,5310.0,5479.6,5388.0,5542.0,5348.0,5258.8,5305.0,5243.6,5341.8,5273.3,5101.0,5327.5,5346.7,5493.0,5421.0,5417.3,5281.0,5331.5,5304.0,5472.5,5649.0,5137.2,5561.9,5425.0,,5229.8,5322.0,,5388.0,5765.3,5518.0,5310.5,,5496.1,5389.0,5435.7,5401.0,5354.5,5231.5,5435.4,5381.0,244.7,378.0,268.3,104.0,273.6,182.0,336.0,142.0,52.8,99.0,37.6,135.8,67.3,-105.0,121.5,140.7,287.0,215.0,211.3,75.0,125.5,98.0,266.5,443.0,-68.8,355.9,219.0,,23.8,116.0,,182.0,559.3,312.0,104.5,,290.1,183.0,229.7,195.0,148.5,25.5,229.4,175.0,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,,True,True,,True,False,False,True,,False,True,True,True,True,True,True,True
Oklahoma,1245,1179.6,1152.9,1189.1,1224.0,1192.0,1199.0,1195.0,1226.0,1227.6,1248.0,1157.6,1189.3,1198.7,1217.0,1246.1,1225.0,1314.0,1258.5,1242.8,1115.2,1214.9,1291.0,1264.8,,1146.0,1209.3,1137.0,,,1147.2,,1227.0,1714.2,1198.0,1199.9,,1263.6,1238.0,1183.1,1230.0,1164.0,1142.4,1222.5,1157.0,-65.4,-92.1,-55.9,-21.0,-53.0,-46.0,-50.0,-19.0,-17.4,3.0,-87.4,-55.7,-46.3,-28.0,1.1,-20.0,69.0,13.5,-2.2,-129.8,-30.1,46.0,19.8,,-99.0,-35.7,-108.0,,,-97.8,,-18.0,469.2,-47.0,-45.1,,18.6,-7.0,-61.9,-15.0,-81.0,-102.6,-22.5,-88.0,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,,False,True,False,,,False,,True,False,True,True,,True,True,True,True,False,False,True,False
Oregon,653,654.9,662.1,658.1,642.0,658.0,648.0,632.0,677.0,617.5,627.0,633.4,651.3,649.8,634.0,640.2,642.4,699.5,730.9,643.6,622.4,634.7,682.0,660.5,,648.7,677.6,599.0,,,619.6,,650.0,716.0,657.0,654.1,,665.6,651.0,639.6,662.0,615.0,617.0,650.0,626.0,1.9,9.1,5.1,-11.0,5.0,-5.0,-21.0,24.0,-35.5,-26.0,-19.6,-1.7,-3.2,-19.0,-12.8,-10.6,46.5,77.9,-9.4,-30.6,-18.3,29.0,7.5,,-4.3,24.6,-54.0,,,-33.4,,-3.0,63.0,4.0,1.1,,12.6,-2.0,-13.4,9.0,-38.0,-36.0,-3.0,-27.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,True,,False,False,False,False,False,False,False,False
Pennsylvania,8636,8506.4,8399.2,8456.8,8455.0,8475.5,8512.0,8507.0,8590.0,8579.6,8391.0,8507.7,8517.9,8421.0,8472.0,8536.9,8729.7,8550.7,8624.2,8540.4,8504.6,8506.7,8500.0,8395.3,,8720.9,8538.5,8308.0,,8510.0,8413.3,,8527.0,8246.2,8739.0,8405.6,,8382.8,8566.0,8612.1,8534.0,8557.0,8374.9,8625.8,8384.0,-129.6,-236.8,-179.2,-181.0,-160.5,-124.0,-129.0,-46.0,-56.4,-245.0,-128.3,-118.1,-215.0,-164.0,-99.1,93.7,-85.3,-11.8,-95.6,-131.4,-129.3,-136.0,-240.7,,84.9,-97.5,-328.0,,-126.0,-222.7,,-109.0,-389.8,103.0,-230.4,,-253.2,-70.0,-23.9,-102.0,-79.0,-261.1,-10.2,-252.0,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,,True,True,False,,True,False,,True,False,True,False,,False,True,True,True,True,False,True,False
Rhode Island,1177,1149.4,1128.8,1152.1,,1152.7,1159.0,1146.0,1171.0,1171.7,1142.0,1176.6,1164.7,1179.8,1158.0,1175.2,1193.8,1158.6,1178.0,1174.1,1149.2,1140.5,1139.0,1133.6,,1164.0,1160.5,1160.0,,,1119.5,,1157.0,1471.8,1148.0,1143.4,,1137.0,1154.0,1169.6,1159.0,1138.0,0.0,1174.0,1149.0,-27.6,-48.2,-24.9,,-24.3,-18.0,-31.0,-6.0,-5.3,-35.0,-0.4,-12.3,2.8,-19.0,-1.8,16.8,-18.4,1.0,-2.9,-27.8,-36.5,-38.0,-43.4,,-13.0,-16.5,-17.0,,,-57.5,,-20.0,294.8,-29.0,-33.6,,-40.0,-23.0,-7.4,-18.0,-39.0,-1177.0,-3.0,-28.0,False,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,,True,True,True,,,False,,True,False,False,False,,False,True,True,True,False,False,True,False
South Carolina,3793,3815.9,3729.4,3799.6,3774.0,3798.9,3736.0,3835.0,3667.0,3728.0,3784.0,3722.7,3773.8,3799.1,3744.0,3818.6,3653.6,3976.0,3662.8,3887.0,3671.5,3745.9,3727.0,3663.0,,3679.7,3815.8,3614.0,,3839.2,3649.2,,3824.0,4634.9,3785.0,3793.8,,3657.4,3800.0,3837.3,3823.0,3727.0,3722.4,3794.5,3617.0,22.9,-63.6,6.6,-19.0,5.9,-57.0,42.0,-126.0,-65.0,-9.0,-70.3,-19.2,6.1,-49.0,25.6,-139.4,183.0,-130.2,94.0,-121.5,-47.1,-66.0,-130.0,,-113.3,22.8,-179.0,,46.2,-143.8,,31.0,841.9,-8.0,0.8,,-135.6,7.0,44.3,30.0,-66.0,-70.6,1.5,-176.0,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,True,True,,False,True,False,False,False,False,True,False
South Dakota,366,333.7,359.8,338.5,327.0,338.0,322.0,296.0,364.0,324.6,309.0,303.3,349.2,308.3,284.0,311.7,328.8,441.2,272.9,338.6,308.4,311.5,386.0,318.3,,313.7,367.0,320.0,,,254.9,,329.0,279.2,355.0,281.4,,329.2,333.0,283.5,376.0,326.0,272.7,328.9,314.0,-32.3,-6.2,-27.5,-39.0,-28.0,-44.0,-70.0,-2.0,-41.4,-57.0,-62.7,-16.8,-57.7,-82.0,-54.3,-37.2,75.2,-93.1,-27.4,-57.6,-54.5,20.0,-47.7,,-52.3,1.0,-46.0,,,-111.1,,-37.0,-86.8,-11.0,-84.6,,-36.8,-33.0,-82.5,10.0,-40.0,-93.3,-37.1,-52.0,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,,False,True,False,,,False,,False,False,True,False,,False,False,False,True,False,False,False,False
Tennessee,3100,3148.4,3349.2,3148.2,3062.0,3117.9,3014.0,2918.0,3035.0,2957.7,2954.0,2944.3,,2846.1,2897.0,3034.5,2900.6,3427.2,2984.9,3013.7,2981.9,3042.1,2961.0,3152.8,,2894.3,3013.6,3017.0,,3033.2,2801.1,,3049.0,3274.9,3099.0,3086.4,,3159.1,3025.0,3117.3,3114.0,3103.0,2813.7,3010.4,2903.0,48.4,249.2,48.2,-38.0,17.9,-86.0,-182.0,-65.0,-142.3,-146.0,-155.7,,-253.9,-203.0,-65.5,-199.4,327.2,-115.1,-86.3,-118.1,-57.9,-139.0,52.8,,-205.7,-86.4,-83.0,,-66.8,-298.9,,-51.0,174.9,-1.0,-13.6,,59.1,-75.0,17.3,14.0,3.0,-286.3,-89.6,-197.0,False,True,True,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,True,True,,False,False,True,True,True,False,False,False
Texas,17916,17962.9,17920.0,18102.3,17965.0,18058.4,17939.0,18627.0,19265.0,18351.4,17710.0,17287.6,18352.9,17441.2,17953.0,17990.9,18503.7,18021.4,17705.9,17901.4,17382.4,17753.8,17808.0,17164.8,,17700.3,17985.6,17517.0,,18529.5,17546.9,17745.0,18254.0,21655.7,17830.0,17964.7,,17136.2,17922.0,18177.3,18294.0,17539.0,17604.2,17996.6,16558.0,60.9,18.0,200.3,63.0,156.4,37.0,725.0,1363.0,449.4,-192.0,-614.4,450.9,-460.8,51.0,88.9,601.7,119.4,-196.1,-0.6,-519.6,-148.2,-94.0,-737.2,,-201.7,83.6,-385.0,,627.5,-355.1,-157.0,352.0,3753.7,-72.0,62.7,,-765.8,20.0,275.3,392.0,-363.0,-297.8,94.6,-1344.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
Utah,568,549.4,654.5,557.1,595.0,560.0,548.0,562.0,544.0,534.7,543.0,520.0,561.4,439.9,502.0,533.3,455.4,717.4,558.9,554.8,562.4,589.4,574.0,531.7,,565.2,576.9,495.0,,,511.9,,545.0,448.0,612.0,551.1,,538.7,559.0,542.1,598.0,514.0,415.2,553.7,513.0,-18.6,86.5,-10.9,27.0,-8.0,-20.0,-6.0,-24.0,-33.3,-25.0,-48.0,-6.6,-128.1,-66.0,-34.7,-112.6,149.4,-9.1,-13.2,-5.6,21.4,6.0,-36.3,,-2.8,8.9,-73.0,,,-56.1,,-23.0,-120.0,44.0,-16.9,,-29.3,-9.0,-25.9,30.0,-54.0,-152.8,-14.3,-55.0,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,,True,True,False,,,False,,False,False,False,True,,False,True,False,False,False,False,True,False
Vermont,58,58.0,59.2,58.0,58.0,58.2,59.0,59.0,58.0,58.4,59.0,59.7,59.9,61.6,58.0,58.0,58.2,58.9,64.2,58.4,59.6,58.0,78.0,58.5,,59.6,58.0,58.0,,,58.0,,60.0,60.0,66.0,58.2,,64.3,59.0,61.5,58.0,59.0,57.9,58.8,,0.0,1.2,0.0,0.0,0.2,1.0,1.0,0.0,0.4,1.0,1.7,1.9,3.6,0.0,0.0,0.2,0.9,6.2,0.4,1.6,0.0,20.0,0.5,,1.6,0.0,0.0,,,0.0,,2.0,2.0,8.0,0.2,,6.3,1.0,3.5,0.0,1.0,-0.1,0.8,,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,,False,True,True,,,True,,False,False,False,False,,False,False,False,True,False,False,False,
