,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9839,9766.6,9757.1,9709.0,9797.2,9769.0,9826.0,10046.0,9802.0,9494.0,9747.8,9724.5,9749.3,,9808.6,9588.0,9878.4,9769.6,9780.0,9745.0,9768.3,9774.5,9821.7,9606.0,9918.0,,9613.1,9872.5,9439.0,,9712.2,9584.6,9856.0,10198.8,10014.0,9639.1,,9935.1,9835.0,9948.2,10181.9,9982.0,10052.0,9560.2,9707.6,9392.0,-72.4,-81.9,-130.0,-41.8,-70.0,-13.0,207.0,-37.0,-345.0,-91.2,-114.5,-89.7,,-30.4,-251.0,39.4,-69.4,-59.0,-94.0,-70.7,-64.5,-17.3,-233.0,79.0,,-225.9,33.5,-400.0,,-126.8,-254.4,17.0,359.8,175.0,-199.9,,96.1,-4.0,109.2,342.9,143.0,213.0,-278.8,-131.4,-447.0,False,False,True,True,True,False,True,False,False,False,False,,True,False,True,True,True,False,True,True,True,False,False,,False,True,False,,False,False,True,False,False,False,,False,True,False,False,False,False,False,False,False
Michigan,7522,7333.3,7367.3,7297.0,7357.4,7365.0,7703.0,7330.0,7285.8,7139.0,7329.5,7435.1,7415.5,,7344.2,7409.0,7337.1,7864.4,7601.4,7400.6,7165.0,7291.6,7509.1,7422.0,7339.1,7253.0,7191.3,7429.1,7379.0,,7129.8,7164.9,7365.0,7922.4,7256.0,7264.9,,7356.8,7373.0,7519.2,8313.1,7349.0,7257.0,7092.9,7320.5,7061.0,-188.7,-154.7,-225.0,-164.6,-157.0,181.0,-192.0,-236.2,-383.0,-192.5,-86.9,-106.5,,-177.8,-113.0,-184.9,342.4,79.4,-121.4,-357.0,-230.4,-12.9,-100.0,-182.9,-269.0,-330.7,-92.9,-143.0,,-392.2,-357.1,-157.0,400.4,-266.0,-257.1,,-165.2,-149.0,-2.8,791.1,-173.0,-265.0,-429.1,-201.5,-461.0,True,False,True,True,True,False,False,False,False,True,True,,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,,False,False,True,False,False,False,,True,True,True,False,True,False,False,False,False
Minnesota,2381,2225.9,2219.1,2238.0,2220.5,2272.0,3136.0,2319.0,2250.5,2110.0,2305.6,2272.9,2253.1,,2398.8,2272.0,2276.3,2407.7,2329.0,2268.4,2261.0,2301.8,2284.3,2344.0,2218.5,2360.0,2126.3,2303.9,2294.0,,2269.4,2126.9,2280.0,2557.1,2322.0,2258.6,,2235.8,2324.0,2300.0,2727.9,2356.0,2147.0,2127.2,2294.5,2184.0,-155.1,-161.9,-143.0,-160.5,-109.0,755.0,-62.0,-130.5,-271.0,-75.4,-108.1,-127.9,,17.8,-109.0,-104.7,26.7,-52.0,-112.6,-120.0,-79.2,-96.7,-37.0,-162.5,-21.0,-254.7,-77.1,-87.0,,-111.6,-254.1,-101.0,176.1,-59.0,-122.4,,-145.2,-57.0,-81.0,346.9,-25.0,-234.0,-253.8,-86.5,-197.0,False,True,False,True,False,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,,True,False,True,False,True,True,,True,True,True,False,True,False,False,True,False
Mississippi,3255,3339.4,3315.6,3270.0,3319.6,3256.0,3115.0,3270.0,3184.5,3205.0,3311.7,3173.8,3201.9,,3419.2,3181.0,3257.7,3157.1,3133.1,3202.1,3197.2,3226.5,3280.7,3203.0,3343.8,,3149.9,3462.9,3182.0,,3325.2,3168.6,3351.0,2761.6,3275.0,3293.3,,3360.9,3282.0,3382.1,3310.3,3313.0,3094.0,3218.5,3262.4,2993.0,84.4,60.6,15.0,64.6,1.0,-140.0,15.0,-70.5,-50.0,56.7,-81.2,-53.1,,164.2,-74.0,2.7,-97.9,-121.9,-52.9,-57.8,-28.5,25.7,-52.0,88.8,,-105.1,207.9,-73.0,,70.2,-86.4,96.0,-493.4,20.0,38.3,,105.9,27.0,127.1,55.3,58.0,-161.0,-36.5,7.4,-262.0,True,True,True,True,False,True,True,True,True,True,True,,False,True,True,False,False,True,True,True,True,True,False,,False,False,True,,True,False,False,False,True,True,,False,True,False,True,True,False,True,True,False
Missouri,2808,2928.6,2992.0,2676.0,2969.5,2587.0,2984.0,2707.0,2391.4,2469.0,2450.3,2826.9,2414.5,,2346.6,2229.0,2505.4,2365.1,2540.0,2586.1,2552.1,2752.9,2750.0,2523.0,2638.5,,2535.8,2986.5,2587.0,,2181.3,2403.2,2800.0,3548.9,2994.0,2646.0,,2655.9,2375.0,2461.5,2834.3,2936.0,2517.0,2123.6,2594.1,2496.0,120.6,184.0,-132.0,161.5,-221.0,176.0,-101.0,-416.6,-339.0,-357.7,18.9,-393.5,,-461.4,-579.0,-302.6,-442.9,-268.0,-221.9,-255.9,-55.1,-58.0,-285.0,-169.5,,-272.2,178.5,-221.0,,-626.7,-404.8,-8.0,740.9,186.0,-162.0,,-152.1,-433.0,-346.5,26.3,128.0,-291.0,-684.4,-213.9,-312.0,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,,False,False,True,False,False,False,,False,False,False,True,False,False,False,False,False
Montana,294,234.7,231.2,251.0,231.0,248.0,216.0,481.0,284.9,199.0,252.3,282.1,262.9,,257.6,231.0,257.9,268.3,245.1,284.4,246.9,246.4,297.4,316.0,252.4,,232.0,274.7,254.0,,,195.7,277.0,344.3,354.0,221.4,,270.1,303.0,222.4,264.9,289.0,227.0,205.0,258.4,228.0,-59.3,-62.8,-43.0,-63.0,-46.0,-78.0,187.0,-9.1,-95.0,-41.7,-11.9,-31.1,,-36.4,-63.0,-36.1,-25.7,-48.9,-9.6,-47.1,-47.6,3.4,22.0,-41.6,,-62.0,-19.3,-40.0,,,-98.3,-17.0,50.3,60.0,-72.6,,-23.9,9.0,-71.6,-29.1,-5.0,-67.0,-89.0,-35.6,-66.0,False,True,False,True,False,False,True,False,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,,,False,True,True,False,False,,True,True,False,True,True,False,False,True,False
Nebraska,595,578.0,575.6,561.0,577.0,561.0,930.0,602.0,557.7,505.0,567.9,558.9,591.7,,630.8,568.0,560.8,611.6,592.1,579.8,532.5,544.0,557.2,707.0,529.8,,549.1,595.1,559.0,,,524.1,565.0,581.4,596.0,539.8,,547.0,565.0,544.2,601.0,557.0,532.0,510.3,556.9,549.0,-17.0,-19.4,-34.0,-18.0,-34.0,335.0,7.0,-37.3,-90.0,-27.1,-36.1,-3.3,,35.8,-27.0,-34.2,16.6,-2.9,-15.2,-62.5,-51.0,-37.8,112.0,-65.2,,-45.9,0.1,-36.0,,,-70.9,-30.0,-13.6,1.0,-55.2,,-48.0,-30.0,-50.8,6.0,-38.0,-63.0,-84.7,-38.1,-46.0,False,False,False,False,False,True,False,False,False,False,True,,False,False,False,True,True,True,False,False,False,False,False,,False,True,False,,,False,False,True,True,False,,False,False,False,True,False,False,False,False,False
Nevada,1743,1793.3,1803.4,1756.0,1798.2,1803.0,2149.0,2020.0,1771.7,1761.0,1826.7,1772.7,1815.7,,1922.5,1786.0,1770.1,1711.0,1765.9,1735.7,1833.6,1797.6,1818.5,1772.0,1885.6,,1727.9,1898.5,1742.0,,1886.4,1670.7,1837.0,2337.6,1887.0,1848.2,,1903.1,1823.0,1812.6,1786.0,1913.0,1757.0,1763.9,1762.3,1742.0,50.3,60.4,13.0,55.2,60.0,406.0,277.0,28.7,18.0,83.7,29.7,72.7,,179.5,43.0,27.1,-32.0,22.9,-7.3,90.6,54.6,75.5,29.0,142.6,,-15.1,155.5,-1.0,,143.4,-72.3,94.0,594.6,144.0,105.2,,160.1,80.0,69.6,43.0,170.0,14.0,20.9,19.3,-1.0,False,True,False,False,False,False,True,True,False,True,False,,False,True,True,True,True,True,False,False,False,True,False,,True,False,True,,False,False,False,False,False,False,,False,False,False,True,False,True,True,True,True
New Hampshire,473,442.9,444.8,444.0,449.2,450.0,439.0,447.0,449.8,439.0,458.7,462.8,458.1,,453.2,448.0,446.8,463.1,469.8,456.3,450.2,439.0,463.4,467.0,463.3,,458.4,444.3,441.0,,,444.4,447.0,477.3,462.0,449.1,,480.4,448.0,483.4,498.2,442.0,442.0,446.4,446.7,,-30.1,-28.2,-29.0,-23.8,-23.0,-34.0,-26.0,-23.2,-34.0,-14.3,-10.2,-14.9,,-19.8,-25.0,-26.2,-9.9,-3.2,-16.7,-22.8,-34.0,-9.6,-6.0,-9.7,,-14.6,-28.7,-32.0,,,-28.6,-26.0,4.3,-11.0,-23.9,,7.4,-25.0,10.4,25.2,-31.0,-31.0,-26.6,-26.3,,True,True,True,True,False,True,True,False,True,True,True,,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,,True,True,True,True,True,,True,True,True,True,False,False,True,True,
New Jersey,16281,16256.4,16290.7,16236.0,16392.4,16302.0,16906.0,16610.0,16330.7,16128.0,16218.9,16307.8,16357.7,,16692.5,16280.0,16306.6,16587.1,16291.8,16281.5,16268.3,16278.9,16618.6,16284.0,16399.5,,16347.1,16314.8,16107.0,,16208.7,16260.4,16292.0,16908.5,16292.0,16223.4,,16417.0,16317.0,17474.0,17356.9,16291.0,16313.0,16288.7,16299.0,16371.0,-24.6,9.7,-45.0,111.4,21.0,625.0,329.0,49.7,-153.0,-62.1,26.8,76.7,,411.5,-1.0,25.6,306.1,10.8,0.5,-12.7,-2.1,337.6,3.0,118.5,,66.1,33.8,-174.0,,-72.3,-20.6,11.0,627.5,11.0,-57.6,,136.0,36.0,1193.0,1075.9,10.0,32.0,7.7,18.0,90.0,True,False,False,True,False,False,False,False,False,False,False,,False,True,False,False,True,True,True,True,False,True,False,,False,False,False,,False,True,True,False,True,False,,False,False,False,False,True,False,True,True,False
New Mexico,965,951.0,957.0,943.0,961.9,966.0,985.0,1044.0,938.8,915.0,979.9,976.4,959.0,,952.7,958.0,962.2,953.8,1002.1,977.7,976.8,948.8,1008.2,963.0,966.9,,957.0,1011.1,908.0,,,898.1,979.0,1299.8,1076.0,937.2,,984.2,972.0,1003.3,1007.4,1017.0,909.0,935.3,984.1,887.0,-14.0,-8.0,-22.0,-3.1,1.0,20.0,79.0,-26.2,-50.0,14.9,11.4,-6.0,,-12.3,-7.0,-2.8,-11.2,37.1,12.7,11.8,-16.2,43.2,-2.0,1.9,,-8.0,46.1,-57.0,,,-66.9,14.0,334.8,111.0,-27.8,,19.2,7.0,38.3,42.4,52.0,-56.0,-29.7,19.1,-78.0,True,False,True,True,False,False,False,False,False,True,True,,True,True,True,True,False,True,True,False,False,True,True,,True,False,False,,,False,False,False,False,False,,False,True,False,False,False,False,False,False,False
New York,33634,33300.7,33289.3,33278.0,33508.2,33320.0,33616.0,33318.0,33362.0,33133.0,33282.4,33319.6,33376.2,,33386.6,33316.0,33345.9,33956.7,33570.5,33321.8,33280.3,33334.2,34298.2,33506.0,33363.3,,33282.5,33357.9,33176.0,,33222.8,33309.6,33270.0,33778.2,33307.0,33267.0,,33382.1,33383.0,34237.7,35017.9,33326.0,32924.0,33157.3,33427.8,33148.0,-171.3,-182.7,-194.0,36.2,-152.0,144.0,-154.0,-110.0,-339.0,-189.6,-152.4,-95.8,,-85.4,-156.0,-126.1,484.7,98.5,-150.2,-191.7,-137.8,826.2,34.0,-108.7,,-189.5,-114.1,-296.0,,-249.2,-162.4,-202.0,306.2,-165.0,-205.0,,-89.9,-89.0,765.7,1545.9,-146.0,-548.0,-314.7,-44.2,-324.0,False,False,True,True,True,True,True,False,False,True,True,,True,True,True,False,True,True,False,True,False,True,True,,False,True,False,,False,True,False,False,True,False,,True,True,False,False,True,False,False,True,False
North Carolina,4144,4204.7,4260.0,4160.0,4260.5,4106.0,4336.0,4191.0,3948.9,3952.0,3982.6,4220.3,4040.9,,4241.8,4048.0,4147.7,4105.1,4280.3,4084.2,4106.4,4119.0,4123.1,4008.0,4328.8,,3887.9,4340.9,4343.0,,4063.1,3799.9,4262.0,5616.5,4242.0,4091.3,,4346.1,4088.0,4104.5,4304.6,4291.0,3911.5,3833.2,4199.1,3926.0,60.7,116.0,16.0,116.5,-38.0,192.0,47.0,-195.1,-192.0,-161.4,76.3,-103.1,,97.8,-96.0,3.7,-38.9,136.3,-59.8,-37.6,-25.0,-20.9,-136.0,184.8,,-256.1,196.9,199.0,,-80.9,-344.1,118.0,1472.5,98.0,-52.7,,202.1,-56.0,-39.5,160.6,147.0,-232.5,-310.8,55.1,-218.0,False,True,False,True,False,True,False,False,False,False,False,,False,False,True,True,False,True,True,True,True,False,False,,False,False,False,,False,False,False,False,False,True,,False,True,True,False,False,False,False,True,False
North Dakota,448,381.4,356.9,349.0,367.0,359.0,339.0,380.0,352.5,232.0,368.1,388.9,322.6,,382.9,275.0,373.3,364.5,289.6,401.1,323.9,351.1,325.2,391.0,372.3,,419.8,437.3,447.5,,,371.8,295.0,286.7,323.0,276.6,,389.7,381.0,379.6,358.8,405.0,407.5,267.5,413.2,347.0,-66.6,-91.1,-99.0,-81.0,-89.0,-109.0,-68.0,-95.5,-216.0,-79.9,-59.1,-125.4,,-65.1,-173.0,-74.7,-83.5,-158.4,-46.9,-124.1,-96.9,-122.8,-57.0,-75.7,,-28.2,-10.7,-0.5,,,-76.2,-153.0,-161.3,-125.0,-171.4,,-58.3,-67.0,-68.4,-89.2,-43.0,-40.5,-180.5,-34.8,-101.0,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,True,False,,True,True,True,,,False,False,False,False,False,,True,False,False,False,True,True,False,True,False
Ohio,5206,5227.0,5163.0,5200.0,5253.8,5247.0,5520.0,5258.0,5307.1,5247.0,5208.5,5210.5,5137.6,,5385.0,5107.0,5319.6,5178.8,5488.4,5348.2,5165.3,5181.3,5585.8,5201.0,5235.7,5186.5,4978.6,5262.2,5428.0,,5394.1,4925.6,5380.0,5765.3,5208.0,5215.6,,5253.7,5232.0,5413.8,5670.0,5230.0,4995.0,5120.7,5348.7,4999.0,21.0,-43.0,-6.0,47.8,41.0,314.0,52.0,101.1,41.0,2.5,4.5,-68.4,,179.0,-99.0,113.6,-27.2,282.4,142.2,-40.7,-24.7,379.8,-5.0,29.7,-19.5,-227.4,56.2,222.0,,188.1,-280.4,174.0,559.3,2.0,9.6,,47.7,26.0,207.8,464.0,24.0,-211.0,-85.3,142.7,-207.0,False,True,False,False,False,False,False,False,True,True,False,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,False
Oklahoma,1245,1237.4,1242.6,1233.0,1248.1,1247.0,1582.0,1332.0,1209.4,1254.0,1218.0,1261.9,1245.6,,1285.7,1194.0,1301.8,1429.9,1339.7,1278.5,1138.5,1243.5,1300.9,1282.0,1336.2,,1042.3,1325.4,1200.0,,,1095.1,1262.0,1360.4,1145.0,1229.8,,1353.4,1258.0,1173.8,1391.4,1301.0,1125.0,1123.4,1236.0,1203.0,-7.6,-2.4,-12.0,3.1,2.0,337.0,87.0,-35.6,9.0,-27.0,16.9,0.6,,40.7,-51.0,56.8,184.9,94.7,33.5,-106.5,-1.5,55.9,37.0,91.2,,-202.7,80.4,-45.0,,,-149.9,17.0,115.4,-100.0,-15.2,,108.4,13.0,-71.2,146.4,56.0,-120.0,-121.6,-9.0,-42.0,True,False,True,True,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Oregon,653,608.6,607.9,604.0,610.0,636.0,743.0,705.0,613.7,612.0,630.3,628.9,658.4,,650.1,632.0,626.0,647.4,769.3,609.6,618.2,610.3,655.0,666.0,664.2,,637.9,624.2,723.0,,,575.9,634.0,885.3,670.0,623.4,,680.8,650.0,620.3,663.9,661.0,578.0,598.3,651.9,584.0,-44.4,-45.1,-49.0,-43.0,-17.0,90.0,52.0,-39.3,-41.0,-22.7,-24.1,5.4,,-2.9,-21.0,-27.0,-5.6,116.3,-43.4,-34.8,-42.7,2.0,13.0,11.2,,-15.1,-28.8,70.0,,,-77.1,-19.0,232.3,17.0,-29.6,,27.8,-3.0,-32.7,10.9,8.0,-75.0,-54.7,-1.1,-69.0,False,False,True,True,False,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,,,False,True,False,True,True,,True,True,True,True,True,False,False,True,False
Pennsylvania,8636,8572.0,8644.2,8555.0,8658.6,8587.0,8445.0,8570.0,8584.2,8295.0,8528.2,8537.3,8411.8,,8560.8,8527.0,8541.9,8680.6,8728.0,8526.9,8392.2,8546.0,8810.1,8455.0,8953.7,,8270.1,8611.4,8674.0,,8490.8,8250.1,8672.0,14484.6,8656.0,8460.3,,8970.8,8498.0,8796.2,9405.1,8658.0,8635.0,8326.1,8633.2,8564.0,-64.0,8.2,-81.0,22.6,-49.0,-191.0,-66.0,-51.8,-341.0,-107.8,-98.7,-224.2,,-75.2,-109.0,-94.1,44.6,92.0,-109.1,-243.8,-90.0,174.1,-181.0,317.7,,-365.9,-24.6,38.0,,-145.2,-385.9,36.0,5848.6,20.0,-175.7,,334.8,-138.0,160.2,769.1,22.0,-1.0,-309.9,-2.8,-72.0,True,False,True,True,False,False,True,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,,False,True,True,,False,False,True,False,True,False,,False,False,False,False,True,True,False,True,False
Rhode Island,1177,1180.3,1182.1,,1184.3,1183.0,1147.0,1221.0,1190.4,1108.0,1199.0,1177.2,1180.0,,1205.3,1151.0,1172.4,1171.9,1197.8,1193.4,1124.9,1135.4,1253.1,1133.0,1185.4,,1185.1,1166.2,1198.0,,,1123.4,1183.0,1471.8,1141.0,1156.3,,1202.5,1162.0,1218.8,1201.4,1171.0,1151.0,0.0,1177.8,1156.0,3.3,5.1,,7.3,6.0,-30.0,44.0,13.4,-69.0,22.0,0.2,3.0,,28.3,-26.0,-4.6,-5.1,20.8,16.4,-52.1,-41.6,76.1,-44.0,8.4,,8.1,-10.8,21.0,,,-53.6,6.0,294.8,-36.0,-20.7,,25.5,-15.0,41.8,24.4,-6.0,-26.0,-1177.0,0.8,-21.0,False,,False,False,False,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,True,False
South Carolina,3793,3815.9,3866.3,3805.0,3863.4,3832.0,3922.0,3968.0,3825.2,3782.0,3732.9,,3829.8,,3957.8,3684.0,3925.7,3761.4,3680.1,4034.1,3642.7,3791.9,3807.9,3692.0,4150.1,,3715.3,3989.6,3710.0,,4011.9,3513.1,4006.0,5574.2,3893.0,3831.9,,4167.5,3866.0,3885.9,3965.5,4003.0,3615.0,3675.7,3777.2,3629.0,22.9,73.3,12.0,70.4,39.0,129.0,175.0,32.2,-11.0,-60.1,,36.8,,164.8,-109.0,132.7,-31.6,-112.9,241.1,-150.3,-1.1,14.9,-101.0,357.1,,-77.7,196.6,-83.0,,218.9,-279.9,213.0,1781.2,100.0,38.9,,374.5,73.0,92.9,172.5,210.0,-178.0,-117.3,-15.8,-164.0,False,True,False,False,False,False,False,True,False,,False,,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,False
South Dakota,366,279.7,290.8,290.0,290.0,289.0,270.0,293.0,288.2,223.0,285.6,,287.8,,296.6,262.0,286.4,359.9,255.5,295.8,284.3,290.3,287.7,385.0,278.5,,256.2,323.2,315.0,,,224.6,302.0,279.2,343.0,251.8,,295.6,326.0,254.2,355.1,312.0,286.0,242.8,294.9,282.0,-86.3,-75.2,-76.0,-76.0,-77.0,-96.0,-73.0,-77.8,-143.0,-80.4,,-78.2,,-69.4,-104.0,-79.6,-6.1,-110.5,-70.2,-81.7,-75.7,-78.3,19.0,-87.5,,-109.8,-42.8,-51.0,,,-141.4,-64.0,-86.8,-23.0,-114.2,,-70.4,-40.0,-111.8,-10.9,-54.0,-80.0,-123.2,-71.1,-84.0,True,True,True,True,False,True,True,False,True,,True,,True,False,True,True,False,True,True,True,True,True,False,,False,True,True,,,False,True,False,True,False,,True,True,False,True,True,True,False,True,True
Tennessee,3100,2990.3,2985.0,2905.0,3005.7,2940.0,3070.0,3067.0,2949.7,2866.0,2846.6,2931.5,2770.6,,3598.9,2797.0,2909.7,2746.2,2968.5,3013.0,2938.4,2944.7,2955.2,2869.0,3066.3,,2734.9,3034.8,2997.5,,3051.6,2586.5,3023.0,4249.3,2998.0,2994.5,,3083.4,2889.0,3002.1,2829.4,2964.0,2637.0,2665.1,2900.3,2862.0,-109.7,-115.0,-195.0,-94.3,-160.0,-30.0,-33.0,-150.3,-234.0,-253.4,-168.5,-329.4,,498.9,-303.0,-190.3,-353.8,-131.5,-87.0,-161.6,-155.3,-144.8,-231.0,-33.7,,-365.1,-65.2,-102.5,,-48.4,-513.5,-77.0,1149.3,-102.0,-105.5,,-16.6,-211.0,-97.9,-270.6,-136.0,-463.0,-434.9,-199.7,-238.0,False,False,True,False,True,True,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,True,,False,True,True,,True,False,True,False,True,True,,True,False,True,False,False,False,False,False,False
Texas,17999,18279.1,18368.0,18013.0,18331.0,18148.0,17318.0,24036.0,18209.0,17690.0,17172.8,,17293.7,,19082.1,17913.0,17871.4,18655.2,17954.1,18271.6,17217.9,18016.4,18132.6,17690.0,19401.4,,17641.9,18902.6,17513.0,,19278.4,16488.5,19060.0,27525.6,19132.0,18149.4,,19419.2,17842.0,18530.1,18403.4,18391.0,17287.0,17396.4,18042.9,17080.0,356.1,445.0,90.0,408.0,225.0,-605.0,6113.0,286.0,-233.0,-750.2,,-629.3,,1159.1,-10.0,-51.6,732.2,31.1,348.6,-705.1,93.4,209.6,-233.0,1478.4,,-281.1,979.6,-410.0,,1355.4,-1434.5,1137.0,9602.6,1209.0,226.4,,1496.2,-81.0,607.1,480.4,468.0,-636.0,-526.6,119.9,-843.0,False,True,False,True,False,False,True,True,False,,False,,False,True,True,False,True,True,False,True,True,True,False,,True,False,False,,False,False,False,False,False,True,,False,True,False,False,False,False,False,True,False
Utah,568,503.1,479.8,527.0,480.1,517.0,616.0,559.0,587.7,523.0,509.1,,419.1,,479.3,501.0,534.0,645.0,545.3,523.9,547.0,575.4,510.8,571.0,488.1,,571.6,503.1,469.0,,,465.1,504.0,927.1,569.0,502.9,,505.2,563.0,515.4,623.0,516.0,463.0,402.2,527.0,466.0,-64.9,-88.2,-41.0,-87.9,-51.0,48.0,-9.0,19.7,-45.0,-58.9,,-148.9,,-88.7,-67.0,-34.0,77.0,-22.7,-44.1,-21.0,7.4,-57.2,3.0,-79.9,,3.6,-64.9,-99.0,,,-102.9,-64.0,359.1,1.0,-65.1,,-62.8,-5.0,-52.6,55.0,-52.0,-105.0,-165.8,-41.0,-102.0,False,True,False,True,True,True,True,True,True,,False,,False,False,True,False,True,True,True,True,True,True,False,,True,False,False,,,False,True,False,True,False,,True,True,True,True,True,False,False,True,False
Vermont,58,58.0,58.0,58.0,59.3,59.0,59.0,58.0,58.7,59.0,66.5,60.3,60.0,,58.5,58.0,58.0,61.6,67.4,58.6,58.9,58.0,62.8,85.0,59.1,,60.3,58.0,58.0,,,58.0,61.0,60.0,61.0,58.3,,76.4,58.0,61.7,62.3,58.0,58.0,58.1,59.1,,0.0,0.0,0.0,1.3,1.0,1.0,0.0,0.7,1.0,8.5,2.3,2.0,,0.5,0.0,0.0,3.6,9.4,0.6,0.9,0.0,4.8,27.0,1.1,,2.3,0.0,0.0,,,0.0,3.0,2.0,3.0,0.3,,18.4,0.0,3.7,4.3,0.0,0.0,0.1,1.1,,True,True,False,False,False,True,False,False,False,False,False,,False,True,True,False,False,False,False,True,False,False,False,,False,True,True,,,True,False,False,False,False,,False,True,False,False,True,True,False,False,
