,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,4091,4075.1,4060.5,4067.5,4080.0,4071.1,4071.0,4131.0,4040.5,4039.8,4035.0,4067.4,4084.3,4087.3,,4078.0,4054.0,4080.2,4080.9,4096.9,4074.8,4058.3,4073.0,4068.0,4080.0,4075.6,,4059.1,4084.7,4071.0,,4051.6,4028.8,4135.0,4063.0,4454.1,4071.0,4060.6,,4085.9,4072.0,4075.6,4241.1,4069.0,4114.0,4047.7,4139.0,-15.9,-30.5,-23.5,-11.0,-19.9,-20.0,40.0,-50.5,-51.2,-56.0,-23.6,-6.7,-3.7,,-13.0,-37.0,-10.8,-10.1,5.9,-16.2,-32.7,-18.0,-23.0,-11.0,-15.4,,-31.9,-6.3,-20.0,,-39.4,-62.2,44.0,-28.0,363.1,-20.0,-30.4,,-5.1,-19.0,-15.4,150.1,-22.0,23.0,-43.3,48.0,False,False,True,False,False,False,False,False,False,False,True,True,,True,False,True,True,True,False,False,False,False,True,True,,False,True,False,,False,False,False,False,False,False,False,,True,False,True,False,False,False,False,False
Massachusetts,9839,9778.6,9742.8,9727.2,9734.0,9748.4,9786.0,9892.0,9928.8,9820.6,9863.0,9765.2,9755.3,9867.7,,9717.0,9729.0,9826.7,9906.7,9779.8,9856.8,9784.2,9784.8,9723.0,9763.1,9807.2,,9768.3,9791.7,9753.0,,9780.9,9655.6,,9849.0,10186.4,9788.0,9715.0,,9765.0,9786.0,9789.3,10081.9,9805.0,9807.0,9696.2,9683.0,-60.4,-96.2,-111.8,-105.0,-90.6,-53.0,53.0,89.8,-18.4,24.0,-73.8,-83.7,28.7,,-122.0,-110.0,-12.3,67.7,-59.2,17.8,-54.8,-54.2,-116.0,-75.9,-31.8,,-70.7,-47.3,-86.0,,-58.1,-183.4,,10.0,347.4,-51.0,-124.0,,-74.0,-53.0,-49.7,242.9,-34.0,-32.0,-142.8,-156.0,False,False,False,False,True,True,False,True,True,False,False,True,,False,False,True,False,True,True,True,True,False,False,True,,False,True,False,,True,False,,True,False,True,False,,False,True,True,False,True,True,False,False
Michigan,7522,7395.4,7486.9,7404.5,7412.0,7409.3,7408.0,7490.0,7404.3,7286.6,7364.0,7350.8,7417.1,7328.9,,7368.0,7360.0,7451.2,7515.4,7475.4,7426.6,7314.8,7415.6,7418.0,7457.1,7385.9,7747.0,7299.9,7459.1,7325.0,,7262.6,7336.1,,7415.0,7849.9,7348.0,7371.6,,7462.0,7431.0,7402.4,8024.9,7436.0,7345.0,7197.2,7372.0,-126.6,-35.1,-117.5,-110.0,-112.7,-114.0,-32.0,-117.7,-235.4,-158.0,-171.2,-104.9,-193.1,,-154.0,-162.0,-70.8,-6.6,-46.6,-95.4,-207.2,-106.4,-104.0,-64.9,-136.1,225.0,-222.1,-62.9,-197.0,,-259.4,-185.9,,-107.0,327.9,-174.0,-150.4,,-60.0,-91.0,-119.6,502.9,-86.0,-177.0,-324.8,-150.0,True,True,True,True,True,True,True,False,False,False,True,False,,False,False,True,True,True,True,False,True,True,True,False,False,False,True,False,,False,False,,True,False,False,False,,True,True,True,False,True,False,False,False
Minnesota,2381,2307.3,2337.6,2302.0,2321.0,2300.1,2324.0,2308.0,2353.9,2281.2,2397.0,2288.1,2328.5,2367.8,,2311.0,2320.0,2317.7,2368.1,2319.5,2332.7,2319.7,2343.6,2363.0,2309.6,2326.7,2373.0,2914.6,2323.1,2263.0,,2305.2,2290.7,,2329.0,2591.7,2353.0,2304.3,,2316.0,2337.0,2306.7,2541.2,2340.0,2375.0,2210.6,2343.0,-73.7,-43.4,-79.0,-60.0,-80.9,-57.0,-73.0,-27.1,-99.8,16.0,-92.9,-52.5,-13.2,,-70.0,-61.0,-63.3,-12.9,-61.5,-48.3,-61.3,-37.4,-18.0,-71.4,-54.3,-8.0,533.6,-57.9,-118.0,,-75.8,-90.3,,-52.0,210.7,-28.0,-76.7,,-65.0,-44.0,-74.3,160.2,-41.0,-6.0,-170.4,-38.0,True,False,True,False,True,True,True,False,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,False,False,,True,False,True,False,,True,True,False,False,True,True,False,True
Mississippi,3255,3264.4,3274.1,3264.4,3256.0,3265.8,3266.0,3241.0,3306.7,3222.3,3222.0,3268.4,3290.5,3264.2,,3289.0,3315.0,3329.8,3315.6,3186.1,3299.0,3250.4,3237.3,3243.0,3279.9,3288.2,,3215.7,3301.1,3207.0,,3280.5,3215.0,,3284.0,3005.1,3291.0,3268.4,,3284.2,3276.0,3298.5,3315.2,3294.0,3216.0,3250.9,3253.0,9.4,19.1,9.4,1.0,10.8,11.0,-14.0,51.7,-32.7,-33.0,13.4,35.5,9.2,,34.0,60.0,74.8,60.6,-68.9,44.0,-4.6,-17.7,-12.0,24.9,33.2,,-39.3,46.1,-48.0,,25.5,-40.0,,29.0,-249.9,36.0,13.4,,29.2,21.0,43.5,60.2,39.0,-39.0,-4.1,-2.0,False,True,True,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,True,True
Missouri,2808,2866.0,3099.3,2892.8,2745.0,2918.0,2790.0,2680.0,2780.0,2570.8,2655.0,2714.3,2872.6,2574.7,,2801.0,2599.0,2803.4,2510.7,2670.3,2851.8,2707.5,2762.9,2730.0,2868.9,2739.4,,2728.2,3075.4,2831.0,,2501.4,2681.4,,2790.0,2742.0,2820.0,2555.7,,2909.1,2633.0,2826.8,2751.6,2923.0,2824.0,2388.8,2790.0,58.0,291.3,84.8,-63.0,110.0,-18.0,-128.0,-28.0,-237.2,-153.0,-93.7,64.6,-233.3,,-7.0,-209.0,-4.6,-297.3,-137.7,43.8,-100.5,-45.1,-78.0,60.9,-68.6,,-79.8,267.4,23.0,,-306.6,-126.6,,-18.0,-66.0,12.0,-252.3,,101.1,-175.0,18.8,-56.4,115.0,16.0,-419.2,-18.0,False,False,False,False,True,False,True,False,False,False,False,False,,True,False,True,False,False,True,False,True,False,False,False,,False,False,True,,False,False,,True,False,True,False,,False,False,True,True,False,True,False,True
Montana,294,252.7,270.5,256.0,256.0,255.0,261.0,265.0,277.2,242.9,253.0,254.4,264.9,293.5,,256.0,246.0,266.1,295.8,249.2,282.2,258.5,255.1,305.0,271.0,265.4,,241.5,276.6,253.0,,,218.8,,276.0,345.6,277.0,250.9,,276.5,290.0,243.9,271.0,273.0,241.0,230.4,253.0,-41.3,-23.5,-38.0,-38.0,-39.0,-33.0,-29.0,-16.8,-51.1,-41.0,-39.6,-29.1,-0.5,,-38.0,-48.0,-27.9,1.8,-44.8,-11.8,-35.5,-38.9,11.0,-23.0,-28.6,,-52.5,-17.4,-41.0,,,-75.2,,-18.0,51.6,-17.0,-43.1,,-17.5,-4.0,-50.1,-23.0,-21.0,-53.0,-63.6,-41.0,True,True,True,True,True,True,True,False,True,True,True,True,,True,False,True,True,False,True,True,True,True,True,True,,False,True,True,,,False,,True,False,True,False,,True,True,False,True,True,False,False,True
Nebraska,595,552.4,560.8,566.3,567.0,563.0,574.0,606.0,575.9,560.3,584.0,574.6,587.0,575.3,,560.0,578.0,568.0,574.6,574.4,591.6,570.3,569.8,668.0,559.6,575.7,,566.4,572.8,573.0,,,543.5,,584.0,581.4,582.0,555.3,,566.4,577.0,558.3,594.0,576.0,574.0,542.5,582.0,-42.6,-34.2,-28.7,-28.0,-32.0,-21.0,11.0,-19.1,-34.7,-11.0,-20.4,-8.0,-19.7,,-35.0,-17.0,-27.0,-20.4,-20.6,-3.4,-24.7,-25.2,73.0,-35.4,-19.3,,-28.6,-22.2,-22.0,,,-51.5,,-11.0,-13.6,-13.0,-39.7,,-28.6,-18.0,-36.7,-1.0,-19.0,-21.0,-52.5,-13.0,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,,True,True,True,True,,True,True,True,True,True,True,False,True
Nevada,1743,1731.6,1744.8,1747.0,1734.0,1737.0,1747.0,1781.0,1787.9,1732.2,1737.0,1741.4,1727.7,1770.4,,1750.0,1726.0,1756.3,1774.5,1720.9,1777.3,1738.6,1726.9,1742.0,1783.8,1747.3,,1766.9,1752.0,1715.0,,1744.6,1709.1,,1761.0,1893.8,1746.0,1759.9,,1788.0,1753.0,1733.8,1777.6,1767.0,1724.0,1744.7,1751.0,-11.4,1.8,4.0,-9.0,-6.0,4.0,38.0,44.9,-10.8,-6.0,-1.6,-15.3,27.4,,7.0,-17.0,13.3,31.5,-22.1,34.3,-4.4,-16.1,-1.0,40.8,4.3,,23.9,9.0,-28.0,,1.6,-33.9,,18.0,150.8,3.0,16.9,,45.0,10.0,-9.2,34.6,24.0,-19.0,1.7,8.0,True,True,True,True,True,False,False,True,True,True,False,False,,True,False,False,False,False,False,True,False,True,False,True,,False,True,False,,True,False,,False,False,True,False,,False,True,True,False,False,False,True,True
New Hampshire,473,480.1,497.9,481.1,479.0,481.0,474.0,471.0,472.6,448.2,472.0,471.9,475.4,465.7,,486.0,458.0,465.3,470.6,470.4,474.4,467.5,466.5,472.0,462.3,465.3,,469.6,493.1,462.0,,,537.4,,474.0,490.5,473.0,476.4,,470.5,484.0,476.8,495.3,478.0,482.0,461.1,483.0,7.1,24.9,8.1,6.0,8.0,1.0,-2.0,-0.4,-24.8,-1.0,-1.1,2.4,-7.3,,13.0,-15.0,-7.7,-2.4,-2.6,1.4,-5.5,-6.5,-1.0,-10.7,-7.7,,-3.4,20.1,-11.0,,,64.4,,1.0,17.5,0.0,3.4,,-2.5,11.0,3.8,22.3,5.0,9.0,-11.9,10.0,False,False,True,False,True,True,True,False,True,True,True,False,,False,False,False,True,True,True,True,True,True,False,False,,True,False,False,,,False,,True,False,True,True,,True,False,True,False,True,False,False,False
New Jersey,16281,16244.6,16303.6,16243.8,16254.0,16254.0,16266.0,16535.0,16256.0,16272.7,16294.0,16264.6,16279.0,16366.3,,16236.0,16272.5,16278.0,16359.8,16266.5,16275.6,16268.6,16262.0,16269.0,16256.2,16254.6,,16268.3,16265.6,16178.0,,16222.2,16196.6,,16270.0,18232.8,16265.0,16235.3,,16260.8,16262.0,16601.4,16844.2,16250.0,16428.0,16245.0,16456.0,-36.4,22.6,-37.2,-27.0,-27.0,-15.0,254.0,-25.0,-8.3,13.0,-16.4,-2.0,85.3,,-45.0,-8.5,-3.0,78.8,-14.5,-5.4,-12.4,-19.0,-12.0,-24.8,-26.4,,-12.7,-15.4,-103.0,,-58.8,-84.4,,-11.0,1951.8,-16.0,-45.7,,-20.2,-19.0,320.4,563.2,-31.0,147.0,-36.0,175.0,True,False,True,True,True,False,True,True,True,True,True,False,,False,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,False,,True,False,True,False,,True,True,False,False,True,False,True,False
New Mexico,965,946.3,936.9,941.4,940.0,941.0,954.0,976.0,991.1,952.6,942.0,948.9,968.4,961.1,,945.0,951.0,984.4,1020.9,955.0,982.0,970.4,948.9,964.0,948.3,965.5,,950.9,954.0,954.0,,,934.2,,968.0,1087.1,977.0,937.8,,954.7,969.0,957.8,992.4,968.0,942.0,943.3,956.0,-18.7,-28.1,-23.6,-25.0,-24.0,-11.0,11.0,26.1,-12.4,-23.0,-16.1,3.4,-3.9,,-20.0,-14.0,19.4,55.9,-10.0,17.0,5.4,-16.1,-1.0,-16.7,0.5,,-14.1,-11.0,-11.0,,,-30.8,,3.0,122.1,12.0,-27.2,,-10.3,4.0,-7.2,27.4,3.0,-23.0,-21.7,-9.0,False,False,False,False,True,True,False,True,False,True,True,True,,False,True,False,False,True,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,True,True,True,False,True,False,False,True
New York,33634,33459.3,33791.1,33484.5,33429.0,33493.7,33486.0,33576.0,33525.2,33423.4,33486.0,33403.0,33411.3,33536.5,,33390.0,33416.0,33504.1,33608.2,33526.5,33527.1,33383.5,33476.7,33492.0,33585.8,33418.8,,33428.6,33524.2,33301.0,,33405.9,33336.1,,33437.0,33690.1,33403.0,33366.5,,33596.2,33486.0,33574.0,34381.0,33544.0,33466.0,33244.9,33387.0,0.3,332.1,25.5,-30.0,34.7,27.0,117.0,66.2,-35.6,27.0,-56.0,-47.7,77.5,,-69.0,-43.0,45.1,149.2,67.5,68.1,-75.5,17.7,33.0,126.8,-40.2,,-30.4,65.2,-158.0,,-53.1,-122.9,,-22.0,231.1,-56.0,-92.5,,137.2,27.0,115.0,922.0,85.0,7.0,-214.1,-72.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
North Carolina,4144,4022.6,4004.7,4041.2,4033.0,4037.0,4090.0,4247.0,4273.6,4038.5,4027.0,4091.7,4095.9,4172.3,,4056.0,4118.0,4201.9,4286.6,4132.4,4174.1,4045.4,4041.3,4069.0,4169.2,4115.7,,3956.2,4108.7,4107.0,,4111.0,3977.4,,4132.0,3511.2,4080.0,4028.1,,4162.3,4092.0,4088.6,4081.8,4130.0,4002.0,3986.9,4062.0,-121.4,-139.3,-102.8,-111.0,-107.0,-54.0,103.0,129.6,-105.5,-117.0,-52.3,-48.1,28.3,,-88.0,-26.0,57.9,142.6,-11.6,30.1,-98.6,-102.7,-75.0,25.2,-28.3,,-187.8,-35.3,-37.0,,-33.0,-166.6,,-12.0,-632.8,-64.0,-115.9,,18.3,-52.0,-55.4,-62.2,-14.0,-142.0,-157.1,-82.0,False,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,False,False,True
North Dakota,448,454.0,526.2,464.1,432.0,466.0,449.0,387.0,467.9,407.5,401.0,418.8,503.7,442.2,,432.0,399.0,452.1,410.6,387.3,478.2,454.3,441.3,439.0,497.6,450.7,,455.3,502.0,444.0,,,420.2,,417.0,288.3,422.0,363.1,,507.8,471.0,540.8,407.7,474.0,481.0,373.6,497.0,6.0,78.2,16.1,-16.0,18.0,1.0,-61.0,19.9,-40.5,-47.0,-29.2,55.7,-5.8,,-16.0,-49.0,4.1,-37.4,-60.7,30.2,6.3,-6.7,-9.0,49.6,2.7,,7.3,54.0,-4.0,,,-27.8,,-31.0,-159.7,-26.0,-84.9,,59.8,23.0,92.8,-40.3,26.0,33.0,-74.4,49.0,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,True,False,False,False,False,False,False,False,True,,False,False,True,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Ohio,5206,5136.4,5165.6,5169.1,5155.0,5141.3,5262.0,5468.0,5358.6,5223.3,5249.0,5207.2,5237.2,5324.5,,5188.0,5274.0,5216.6,5451.6,5299.4,5316.2,5225.1,5196.1,5246.0,5324.0,5278.1,5370.5,5171.0,5221.2,5313.0,,5262.5,5137.7,,5283.0,5772.2,5256.0,5162.3,,5311.9,5280.0,5286.3,5494.3,5188.0,5240.5,5200.9,5253.0,-69.6,-40.4,-36.9,-51.0,-64.7,56.0,262.0,152.6,17.3,43.0,1.2,31.2,118.5,,-18.0,68.0,10.6,245.6,93.4,110.2,19.1,-9.9,40.0,118.0,72.1,164.5,-35.0,15.2,107.0,,56.5,-68.3,,77.0,566.2,50.0,-43.7,,105.9,74.0,80.3,288.3,-18.0,34.5,-5.1,47.0,True,True,True,True,True,False,False,True,True,True,True,False,,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,,True,True,,False,False,True,True,,False,False,False,False,True,True,True,True
Oklahoma,1245,1185.3,1189.4,1189.4,1179.0,1183.0,1190.0,1185.0,1184.3,1177.0,1227.0,1192.7,1198.0,1219.2,,1182.0,1234.0,1210.0,1205.1,1233.7,1218.3,1171.3,1200.2,1255.0,1223.6,1221.2,,1174.8,1193.0,1177.0,,,1143.0,,1199.0,1698.0,1181.0,1190.5,,1225.2,1211.0,1179.8,1304.7,1185.0,1169.0,1161.2,1187.0,-59.7,-55.6,-55.6,-66.0,-62.0,-55.0,-60.0,-60.7,-68.0,-18.0,-52.3,-47.0,-25.8,,-63.0,-11.0,-35.0,-39.9,-11.3,-26.7,-73.7,-44.8,10.0,-21.4,-23.8,,-70.2,-52.0,-68.0,,,-102.0,,-46.0,453.0,-64.0,-54.5,,-19.8,-34.0,-65.2,59.7,-60.0,-76.0,-83.8,-58.0,True,True,False,False,True,False,False,False,True,True,True,True,,False,True,True,True,True,True,False,True,True,True,True,,False,True,False,,,False,,True,False,False,True,,True,True,False,True,False,False,False,True
Oregon,653,649.1,689.4,655.4,653.0,655.0,655.0,649.0,668.4,619.8,637.0,648.0,650.2,653.5,,648.0,651.0,650.8,669.4,705.2,664.4,645.6,645.3,681.0,659.2,656.4,,654.0,664.5,622.0,,,624.6,,659.0,681.0,660.0,655.4,,663.4,653.0,645.2,667.4,666.0,628.0,630.6,651.0,-3.9,36.4,2.4,0.0,2.0,2.0,-4.0,15.4,-33.2,-16.0,-5.0,-2.8,0.5,,-5.0,-2.0,-2.2,16.4,52.2,11.4,-7.4,-7.7,28.0,6.2,3.4,,1.0,11.5,-31.0,,,-28.4,,6.0,28.0,7.0,2.4,,10.4,0.0,-7.8,14.4,13.0,-25.0,-22.4,-2.0,False,True,True,True,True,False,False,False,False,False,True,True,,False,True,True,False,False,False,False,False,False,False,True,,True,False,False,,,False,,False,False,False,True,,False,True,False,False,False,False,False,True
Pennsylvania,8636,8580.7,8641.8,8600.6,8605.0,8612.3,8596.0,8656.0,8632.7,8488.5,8506.0,8603.4,8527.5,8597.5,,8587.0,8524.0,8632.1,8664.0,8564.5,8685.0,8543.8,8592.7,8549.0,8566.2,8553.5,,8694.9,8674.0,8438.0,,8504.1,8482.0,,8618.0,8246.2,8596.0,8557.8,,8576.9,8595.0,8610.8,9047.8,8648.0,8579.0,8450.0,8598.0,-55.3,5.8,-35.4,-31.0,-23.7,-40.0,20.0,-3.3,-147.5,-130.0,-32.6,-108.5,-38.5,,-49.0,-112.0,-3.9,28.0,-71.5,49.0,-92.2,-43.3,-87.0,-69.8,-82.5,,58.9,38.0,-198.0,,-131.9,-154.0,,-18.0,-389.8,-40.0,-78.2,,-59.1,-41.0,-25.2,411.8,12.0,-57.0,-186.0,-38.0,True,True,True,True,True,True,True,False,False,True,False,True,,True,False,True,True,False,True,False,True,False,False,False,,False,True,False,,False,False,,True,False,True,False,,False,True,True,False,True,False,False,True
Rhode Island,1177,1152.3,1141.7,1156.5,1153.0,1154.0,1156.0,1158.0,1168.4,1152.3,1151.0,1159.6,1157.8,1170.5,,1152.0,1155.0,1158.3,1180.9,1172.5,1162.7,1154.6,1147.2,1146.0,1139.3,1152.6,,1160.8,1166.4,1163.0,,,1138.5,,1158.0,1355.6,1145.0,1140.6,,1145.3,1163.0,1157.1,1195.2,1156.0,1148.0,0.0,1155.0,-24.7,-35.3,-20.5,-24.0,-23.0,-21.0,-19.0,-8.6,-24.7,-26.0,-17.4,-19.2,-6.5,,-25.0,-22.0,-18.7,3.9,-4.5,-14.3,-22.4,-29.8,-31.0,-37.7,-24.4,,-16.2,-10.6,-14.0,,,-38.5,,-19.0,178.6,-32.0,-36.4,,-31.7,-14.0,-19.9,18.2,-21.0,-29.0,-1177.0,-22.0,False,True,True,True,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,False,False,False,True,,True,True,True,,,False,,True,False,False,False,,False,True,True,True,True,False,False,True
South Carolina,3793,3735.9,3800.9,3769.1,3763.0,3768.9,3748.0,3784.0,3731.3,3645.3,3743.0,3790.6,3791.3,3784.7,,3797.0,3775.0,3786.0,3727.6,3691.9,3813.9,3712.8,3714.1,3725.0,3730.8,3774.1,,3717.5,3747.7,3709.0,,3783.0,3696.3,,3773.0,4299.6,3728.0,3770.8,,3735.5,3748.0,3795.3,3852.9,3766.0,3689.0,3732.6,3721.0,-57.1,7.9,-23.9,-30.0,-24.1,-45.0,-9.0,-61.7,-147.7,-50.0,-2.4,-1.7,-8.3,,4.0,-18.0,-7.0,-65.4,-101.1,20.9,-80.2,-78.9,-68.0,-62.2,-18.9,,-75.5,-45.3,-84.0,,-10.0,-96.7,,-20.0,506.6,-65.0,-22.2,,-57.5,-45.0,2.3,59.9,-27.0,-104.0,-60.4,-72.0,True,True,True,True,True,True,False,False,True,True,True,True,,True,True,True,False,False,True,False,False,False,False,True,,False,True,False,,True,False,,True,False,False,True,,False,True,True,False,True,False,False,False
South Dakota,366,356.6,423.5,362.9,360.0,362.0,362.0,309.0,390.9,323.8,338.0,352.4,,364.0,,301.0,329.0,367.8,376.0,333.7,370.9,362.9,349.1,393.0,369.4,342.7,,331.6,389.6,359.0,,,311.9,,367.0,307.7,382.0,295.0,,378.3,360.0,326.6,360.9,389.0,356.0,308.2,362.0,-9.4,57.5,-3.1,-6.0,-4.0,-4.0,-57.0,24.9,-42.2,-28.0,-13.6,,-2.0,,-65.0,-37.0,1.8,10.0,-32.3,4.9,-3.1,-16.9,27.0,3.4,-23.3,,-34.4,23.6,-7.0,,,-54.1,,1.0,-58.3,16.0,-71.0,,12.3,-6.0,-39.4,-5.1,23.0,-10.0,-57.8,-4.0,False,True,True,True,True,False,False,False,False,False,,True,,False,False,True,False,False,True,True,False,False,True,False,,False,False,True,,,False,,True,False,False,False,,False,True,False,True,False,False,False,True
Tennessee,3100,3119.9,3297.8,3143.7,3137.0,3153.9,3127.0,3096.0,3161.6,2933.0,3025.0,3177.9,3100.5,3079.4,,3162.0,3099.0,3113.7,3209.3,3027.0,3090.1,3112.7,3144.3,3045.0,3205.3,3130.5,,2949.5,3198.2,3065.0,,3135.8,2995.1,,3160.0,3274.9,3132.0,3135.5,,3216.6,3113.0,3137.8,2969.2,3179.0,3111.0,2934.8,3146.0,19.9,197.8,43.7,37.0,53.9,27.0,-4.0,61.6,-167.0,-75.0,77.9,0.5,-20.6,,62.0,-1.0,13.7,109.3,-73.0,-9.9,12.7,44.3,-55.0,105.3,30.5,,-150.5,98.2,-35.0,,35.8,-104.9,,60.0,174.9,32.0,35.5,,116.6,13.0,37.8,-130.8,79.0,11.0,-165.2,46.0,False,False,False,False,False,True,False,False,False,False,True,False,,False,True,True,False,False,True,True,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,True,False,False
Texas,17916,18180.0,18453.3,18227.2,18188.0,18238.5,18061.0,18114.0,18150.2,17728.3,17795.0,18213.7,18085.2,18043.5,,18213.0,18033.0,18042.9,17818.6,17817.0,18186.2,17690.9,18131.8,17940.0,18286.4,18113.4,,17781.3,18319.4,17770.0,,18290.5,17923.1,18356.0,17976.0,20875.8,17767.0,18156.1,,18295.4,17964.0,18311.8,18335.8,18229.0,17902.0,17871.2,17717.0,265.0,538.3,312.2,273.0,323.5,146.0,199.0,235.2,-186.7,-120.0,298.7,170.2,128.5,,298.0,118.0,127.9,-96.4,-98.0,271.2,-224.1,216.8,25.0,371.4,198.4,,-133.7,404.4,-145.0,,375.5,8.1,441.0,61.0,2960.8,-148.0,241.1,,380.4,49.0,396.8,420.8,314.0,-13.0,-43.8,-198.0,False,False,False,False,True,True,True,True,True,False,True,True,,False,True,True,True,True,False,True,True,True,False,True,,True,False,True,,False,True,False,True,False,True,True,,False,True,False,False,False,True,True,True
