,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
16065,3045,3264.0,,,,1200.0,,4058.7,15.0,,,0.0,219.0,,,,-1845.0,,1013.7,-3030.0,,,-3045.0,,,,False,,False,False,,,False
16067,922,1040.0,,,,216.0,,848.8,366.3,,,1523.0,118.0,,,,-706.0,,-73.2,-555.7,,,601.0,,,,False,,True,False,,,False
16069,1955,456.0,,,,543.0,,494.8,127.3,,,596.0,-1499.0,,,,-1412.0,,-1460.2,-1827.7,,,-1359.0,,,,True,,True,False,,,True
16071,147,8.0,,,,18.0,,17.5,,,,18.0,-139.0,,,,-129.0,,-129.5,,,,-129.0,,,,True,,True,,,,True
16073,393,144.0,,,,59.0,,128.1,0.0,,,60.0,-249.0,,,,-334.0,,-264.9,-393.0,,,-333.0,,,,False,,False,False,,,False
16075,746,480.0,,,,166.0,,385.2,0.1,,,232.0,-266.0,,,,-580.0,,-360.8,-745.9,,,-514.0,,,,False,,False,False,,,False
16077,177,192.0,,,,37.0,,191.7,65.3,,,188.0,15.0,,,,-140.0,,14.7,-111.7,,,11.0,,,,False,,True,False,,,True
16079,331,24.0,,,,44.0,,34.0,5.0,,,85.0,-307.0,,,,-287.0,,-297.0,-326.0,,,-246.0,,,,True,,True,False,,,True
16081,367,200.0,,,,120.0,,227.4,118.7,,,73.0,-167.0,,,,-247.0,,-139.6,-248.3,,,-294.0,,,,False,,True,False,,,False
16083,4297,3048.0,,,,971.0,,2731.5,850.5,1114.1,,1751.0,-1249.0,,,,-3326.0,,-1565.5,-3446.5,-3182.9,,-2546.0,,,,False,,False,False,False,,False
16085,178,48.0,,,,40.0,,39.0,103.5,,,15.0,-130.0,,,,-138.0,,-139.0,-74.5,,,-163.0,,,,False,,False,True,,,False
16087,406,120.0,,,,53.0,,81.9,0.0,,,63.0,-286.0,,,,-353.0,,-324.1,-406.0,,,-343.0,,,,False,,False,False,,,False
17001,3672,952.0,,,,848.0,,784.5,550.8,265.7,,435.0,-2720.0,,,,-2824.0,,-2887.5,-3121.2,-3406.3,,-3237.0,,,,False,,False,False,False,,False
17003,171,96.0,,,,40.0,,89.7,0.2,,,39.0,-75.0,,,,-131.0,,-81.3,-170.8,,,-132.0,,,,False,,False,False,,,False
17005,802,192.0,,,,111.0,,109.1,0.0,,,29.0,-610.0,,,,-691.0,,-692.9,-802.0,,,-773.0,,,,False,,False,False,,,False
17007,2786,1400.0,,,,554.0,,1065.4,662.7,880.4,,770.0,-1386.0,,,,-2232.0,,-1720.6,-2123.3,-1905.6,,-2016.0,,,,False,,False,False,False,,False
17009,271,56.0,,,,94.0,,49.8,,,,6.0,-215.0,,,,-177.0,,-221.2,,,,-265.0,,,,True,,False,,,,False
17011,1506,568.0,,,,330.0,,466.9,344.5,,,213.0,-938.0,,,,-1176.0,,-1039.1,-1161.5,,,-1293.0,,,,False,,False,False,,,False
17013,227,0.0,,,,31.0,,7.8,,,,2.0,-227.0,,,,-196.0,,-219.2,,,,-225.0,,,,True,,True,,,,True
17015,875,192.0,,,,188.0,,136.0,56.6,,,61.0,-683.0,,,,-687.0,,-739.0,-818.4,,,-814.0,,,,False,,False,False,,,False
17017,682,128.0,,,,81.0,,82.0,0.0,,,39.0,-554.0,,,,-601.0,,-600.0,-682.0,,,-643.0,,,,False,,False,False,,,False
17019,6311,2200.0,,,,1656.0,,1778.6,0.7,4978.2,,1701.0,-4111.0,,,,-4655.0,,-4532.4,-6310.3,-1332.8,,-4610.0,,,,False,,False,False,True,,False
17021,1317,632.0,,,,313.0,,640.5,70.0,,,252.0,-685.0,,,,-1004.0,,-676.5,-1247.0,,,-1065.0,,,,False,,True,False,,,False
17023,629,312.0,,,,131.0,,335.0,151.7,,,238.0,-317.0,,,,-498.0,,-294.0,-477.3,,,-391.0,,,,False,,True,False,,,False
17025,744,440.0,,,,103.0,,808.6,173.3,,,63.0,-304.0,,,,-641.0,,64.6,-570.7,,,-681.0,,,,False,,True,False,,,False
17027,2184,968.0,,,,258.0,,645.2,587.9,746.9,,258.0,-1216.0,,,,-1926.0,,-1538.8,-1596.1,-1437.1,,-1926.0,,,,False,,False,False,False,,False
17029,1882,616.0,,,,755.0,,430.2,0.3,513.2,,395.0,-1266.0,,,,-1127.0,,-1451.8,-1881.7,-1368.8,,-1487.0,,,,True,,False,False,False,,False
17031,172299,45384.0,,,,24977.0,,25973.1,6024.8,29552.7,,31689.0,-126915.0,,,,-147322.0,,-146325.9,-166274.2,-142746.3,,-140610.0,,,,False,,False,False,False,,False
17033,680,528.0,,,,175.0,,417.2,1.7,,,0.0,-152.0,,,,-505.0,,-262.8,-678.3,,,-680.0,,,,False,,False,False,,,False
17035,482,80.0,,,,85.0,,51.0,22.2,,,16.0,-402.0,,,,-397.0,,-431.0,-459.8,,,-466.0,,,,True,,False,False,,,False
17037,3594,1216.0,,,,1044.0,,991.8,795.4,709.9,,2338.0,-2378.0,,,,-2550.0,,-2602.2,-2798.6,-2884.1,,-1256.0,,,,False,,False,False,False,,True
17039,490,368.0,,,,131.0,,480.4,141.2,,,332.0,-122.0,,,,-359.0,,-9.6,-348.8,,,-158.0,,,,False,,True,False,,,False
17041,1116,248.0,,,,156.0,,225.2,163.2,,,167.0,-868.0,,,,-960.0,,-890.8,-952.8,,,-949.0,,,,False,,False,False,,,False
17043,30820,8216.0,,,,4950.0,,5443.2,9732.5,9161.3,,7426.0,-22604.0,,,,-25870.0,,-25376.8,-21087.5,-21658.7,,-23394.0,,,,False,,False,True,True,,False
17045,814,64.0,,,,151.0,,89.6,154.2,,,102.0,-750.0,,,,-663.0,,-724.4,-659.8,,,-712.0,,,,True,,True,True,,,True
17047,180,72.0,,,,43.0,,65.4,,,,39.0,-108.0,,,,-137.0,,-114.6,,,,-141.0,,,,False,,False,,,,False
17049,2131,440.0,,,,341.0,,319.7,0.3,,,288.0,-1691.0,,,,-1790.0,,-1811.3,-2130.7,,,-1843.0,,,,False,,False,False,,,False
17051,1496,376.0,,,,201.0,,310.7,0.6,,,129.0,-1120.0,,,,-1295.0,,-1185.3,-1495.4,,,-1367.0,,,,False,,False,False,,,False
17053,732,88.0,,,,121.0,,69.9,145.4,,,39.0,-644.0,,,,-611.0,,-662.1,-586.6,,,-693.0,,,,True,,False,True,,,False
17055,1643,552.0,,,,269.0,,460.5,229.7,,,451.0,-1091.0,,,,-1374.0,,-1182.5,-1413.3,,,-1192.0,,,,False,,False,False,,,False
17057,1413,440.0,,,,306.0,,584.6,307.7,,,329.0,-973.0,,,,-1107.0,,-828.4,-1105.3,,,-1084.0,,,,False,,True,False,,,False
17059,132,72.0,,,,48.0,,61.6,,,,64.0,-60.0,,,,-84.0,,-70.4,,,,-68.0,,,,False,,False,,,,False
17061,678,56.0,,,,137.0,,28.9,24.0,,,1.0,-622.0,,,,-541.0,,-649.1,-654.0,,,-677.0,,,,True,,False,False,,,False
17063,2309,472.0,,,,401.0,,436.1,408.0,,,880.0,-1837.0,,,,-1908.0,,-1872.9,-1901.0,,,-1429.0,,,,False,,False,False,,,True
17065,347,88.0,,,,81.0,,61.3,,,,51.0,-259.0,,,,-266.0,,-285.7,,,,-296.0,,,,False,,False,,,,False
17067,795,112.0,,,,147.0,,84.4,147.8,,,17.0,-683.0,,,,-648.0,,-710.6,-647.2,,,-778.0,,,,True,,False,True,,,False
17069,120,32.0,,,,33.0,,31.9,,,,51.0,-88.0,,,,-87.0,,-88.1,,,,-69.0,,,,True,,False,,,,True
17071,229,72.0,,,,74.0,,68.5,,,,63.0,-157.0,,,,-155.0,,-160.5,,,,-166.0,,,,True,,False,,,,False
17073,2209,384.0,,,,579.0,,232.9,300.8,,,271.0,-1825.0,,,,-1630.0,,-1976.1,-1908.2,,,-1938.0,,,,True,,False,False,,,False
17075,1482,248.0,,,,220.0,,160.2,168.7,,,476.0,-1234.0,,,,-1262.0,,-1321.8,-1313.3,,,-1006.0,,,,False,,False,False,,,True
17077,1581,424.0,,,,500.0,,260.3,0.0,344.8,,406.0,-1157.0,,,,-1081.0,,-1320.7,-1581.0,-1236.2,,-1175.0,,,,True,,False,False,False,,False
17079,498,104.0,,,,72.0,,76.8,4.7,,,45.0,-394.0,,,,-426.0,,-421.2,-493.3,,,-453.0,,,,False,,False,False,,,False
17081,1324,904.0,,,,319.0,,705.4,309.9,,,388.0,-420.0,,,,-1005.0,,-618.6,-1014.1,,,-936.0,,,,False,,False,False,,,False
17083,1009,160.0,,,,130.0,,133.2,128.2,,,12.0,-849.0,,,,-879.0,,-875.8,-880.8,,,-997.0,,,,False,,False,False,,,False
17085,835,280.0,,,,255.0,,274.1,229.6,,,235.0,-555.0,,,,-580.0,,-560.9,-605.4,,,-600.0,,,,False,,False,False,,,False
17087,542,592.0,,,,84.0,,853.9,168.0,,,266.0,50.0,,,,-458.0,,311.9,-374.0,,,-276.0,,,,False,,False,False,,,False
17089,20060,4768.0,,,,3489.0,,3127.1,872.4,3938.6,,3671.0,-15292.0,,,,-16571.0,,-16932.9,-19187.6,-16121.4,,-16389.0,,,,False,,False,False,False,,False
17091,6339,1000.0,,,,974.0,,601.6,545.9,780.6,,1942.0,-5339.0,,,,-5365.0,,-5737.4,-5793.1,-5558.4,,-4397.0,,,,False,,False,False,False,,True
17093,4599,1144.0,,,,681.0,,766.7,1022.0,782.9,,1094.0,-3455.0,,,,-3918.0,,-3832.3,-3577.0,-3816.1,,-3505.0,,,,False,,False,False,False,,False
17095,2245,744.0,,,,643.0,,657.9,353.9,,,442.0,-1501.0,,,,-1602.0,,-1587.1,-1891.1,,,-1803.0,,,,False,,False,False,,,False
17097,21786,5384.0,,,,5479.0,,3514.9,1137.4,3347.5,,3951.0,-16402.0,,,,-16307.0,,-18271.1,-20648.6,-18438.5,,-17835.0,,,,True,,False,False,False,,False
17099,4781,1032.0,,,,966.0,,769.2,718.7,912.8,,478.0,-3749.0,,,,-3815.0,,-4011.8,-4062.3,-3868.2,,-4303.0,,,,False,,False,False,False,,False
17101,946,136.0,,,,165.0,,79.3,0.0,,,54.0,-810.0,,,,-781.0,,-866.7,-946.0,,,-892.0,,,,True,,False,False,,,False
17103,1691,544.0,,,,442.0,,549.1,175.4,,,306.0,-1147.0,,,,-1249.0,,-1141.9,-1515.6,,,-1385.0,,,,False,,True,False,,,False
17105,2003,328.0,,,,344.0,,296.9,263.1,,,189.0,-1675.0,,,,-1659.0,,-1706.1,-1739.9,,,-1814.0,,,,True,,False,False,,,False
17107,1463,120.0,,,,216.0,,105.6,171.4,,,109.0,-1343.0,,,,-1247.0,,-1357.4,-1291.6,,,-1354.0,,,,True,,False,True,,,False
17109,1118,352.0,,,,316.0,,223.1,0.0,,,221.0,-766.0,,,,-802.0,,-894.9,-1118.0,,,-897.0,,,,False,,False,False,,,False
17111,10296,2520.0,,,,2247.0,,1677.0,2321.2,1593.9,,2980.0,-7776.0,,,,-8049.0,,-8619.0,-7974.8,-8702.1,,-7316.0,,,,False,,False,False,False,,True
17113,5699,1272.0,,,,1208.0,,848.3,495.5,2264.4,,1333.0,-4427.0,,,,-4491.0,,-4850.7,-5203.5,-3434.6,,-4366.0,,,,False,,False,False,True,,True
17115,4969,2032.0,,,,809.0,,1552.9,1016.5,1161.6,,0.0,-2937.0,,,,-4160.0,,-3416.1,-3952.5,-3807.4,,-4969.0,,,,False,,False,False,False,,False
17117,1859,344.0,,,,285.0,,321.9,336.2,,,226.0,-1515.0,,,,-1574.0,,-1537.1,-1522.8,,,-1633.0,,,,False,,False,False,,,False
17119,9618,2480.0,,,,1851.0,,1732.4,1200.4,1517.9,,1415.0,-7138.0,,,,-7767.0,,-7885.6,-8417.6,-8100.1,,-8203.0,,,,False,,False,False,False,,False
17121,2006,896.0,,,,295.0,,976.9,296.5,,,1313.0,-1110.0,,,,-1711.0,,-1029.1,-1709.5,,,-693.0,,,,False,,True,False,,,True
17123,338,32.0,,,,86.0,,45.4,74.0,,,9.0,-306.0,,,,-252.0,,-292.6,-264.0,,,-329.0,,,,True,,True,True,,,False
17125,589,224.0,,,,96.0,,210.8,66.5,,,87.0,-365.0,,,,-493.0,,-378.2,-522.5,,,-502.0,,,,False,,False,False,,,False
17127,555,40.0,,,,123.0,,59.2,76.3,,,22.0,-515.0,,,,-432.0,,-495.8,-478.7,,,-533.0,,,,True,,True,True,,,False
17129,392,96.0,,,,59.0,,74.6,86.4,,,119.0,-296.0,,,,-333.0,,-317.4,-305.6,,,-273.0,,,,False,,False,False,,,True
17131,645,208.0,,,,140.0,,199.7,131.0,,,244.0,-437.0,,,,-505.0,,-445.3,-514.0,,,-401.0,,,,False,,False,False,,,True
17133,1514,416.0,,,,153.0,,430.0,370.8,,,399.0,-1098.0,,,,-1361.0,,-1084.0,-1143.2,,,-1115.0,,,,False,,True,False,,,False
17135,839,432.0,,,,256.0,,360.6,189.2,,,307.0,-407.0,,,,-583.0,,-478.4,-649.8,,,-532.0,,,,False,,False,False,,,False
17137,1689,240.0,,,,276.0,,204.4,160.5,,,56.0,-1449.0,,,,-1413.0,,-1484.6,-1528.5,,,-1633.0,,,,True,,False,False,,,False
17139,734,216.0,,,,120.0,,208.5,132.2,,,136.0,-518.0,,,,-614.0,,-525.5,-601.8,,,-598.0,,,,False,,False,False,,,False
17141,2281,800.0,,,,436.0,,778.8,476.1,,,495.0,-1481.0,,,,-1845.0,,-1502.2,-1804.9,,,-1786.0,,,,False,,False,False,,,False
17143,6266,1328.0,,,,1710.0,,968.0,816.4,1033.6,,1043.0,-4938.0,,,,-4556.0,,-5298.0,-5449.6,-5232.4,,-5223.0,,,,True,,False,False,False,,False
17145,878,72.0,,,,135.0,,59.4,62.2,,,8.0,-806.0,,,,-743.0,,-818.6,-815.8,,,-870.0,,,,True,,False,False,,,False
17147,680,112.0,,,,100.0,,140.8,178.7,,,203.0,-568.0,,,,-580.0,,-539.2,-501.3,,,-477.0,,,,False,,True,True,,,True
17149,913,240.0,,,,111.0,,123.1,144.3,,,39.0,-673.0,,,,-802.0,,-789.9,-768.7,,,-874.0,,,,False,,False,False,,,False
17151,89,32.0,,,,32.0,,30.2,,,,33.0,-57.0,,,,-57.0,,-58.8,,,,-56.0,,,,False,,False,,,,True
17153,251,128.0,,,,45.0,,84.2,0.0,,,33.0,-123.0,,,,-206.0,,-166.8,-251.0,,,-218.0,,,,False,,False,False,,,False
17155,188,72.0,,,,47.0,,49.3,,,,15.0,-116.0,,,,-141.0,,-138.7,,,,-173.0,,,,False,,False,,,,False
17157,1457,488.0,,,,296.0,,294.1,21.9,,,238.0,-969.0,,,,-1161.0,,-1162.9,-1435.1,,,-1219.0,,,,False,,False,False,,,False
17159,629,160.0,,,,141.0,,208.5,28.9,,,60.0,-469.0,,,,-488.0,,-420.5,-600.1,,,-569.0,,,,False,,True,False,,,False
17161,5865,1352.0,,,,1653.0,,986.4,367.0,837.9,,728.0,-4513.0,,,,-4212.0,,-4878.6,-5498.0,-5027.1,,-5137.0,,,,True,,False,False,False,,False
17163,7513,2320.0,,,,1635.0,,1605.0,624.8,1264.0,,1158.0,-5193.0,,,,-5878.0,,-5908.0,-6888.2,-6249.0,,-6355.0,,,,False,,False,False,False,,False
17165,778,408.0,,,,286.0,,411.2,86.1,,,123.0,-370.0,,,,-492.0,,-366.8,-691.9,,,-655.0,,,,False,,True,False,,,False
17167,7968,2536.0,,,,1289.0,,1973.6,1358.8,1618.0,,631.0,-5432.0,,,,-6679.0,,-5994.4,-6609.2,-6350.0,,-7337.0,,,,False,,False,False,False,,False
17169,293,104.0,,,,70.0,,138.2,,,,129.0,-189.0,,,,-223.0,,-154.8,,,,-164.0,,,,False,,True,,,,True
17171,180,24.0,,,,45.0,,15.1,,,,5.0,-156.0,,,,-135.0,,-164.9,,,,-175.0,,,,True,,False,,,,False
17173,1014,496.0,,,,179.0,,454.7,283.3,,,440.0,-518.0,,,,-835.0,,-559.3,-730.7,,,-574.0,,,,False,,False,False,,,False
17175,259,48.0,,,,52.0,,36.1,,,,86.0,-211.0,,,,-207.0,,-222.9,,,,-173.0,,,,True,,False,,,,True
17177,1976,712.0,,,,593.0,,654.7,243.8,,,585.0,-1264.0,,,,-1383.0,,-1321.3,-1732.2,,,-1391.0,,,,False,,False,False,,,False
17179,5617,1472.0,,,,1030.0,,1271.5,1035.4,1132.1,,1291.0,-4145.0,,,,-4587.0,,-4345.5,-4581.6,-4484.9,,-4326.0,,,,False,,False,False,False,,False
17181,651,856.0,,,,128.0,,547.8,118.3,,,194.0,205.0,,,,-523.0,,-103.2,-532.7,,,-457.0,,,,False,,True,False,,,False
17183,3162,2120.0,,,,816.0,,3174.3,815.5,,,95.0,-1042.0,,,,-2346.0,,12.3,-2346.5,,,-3067.0,,,,False,,True,False,,,False
17185,512,120.0,,,,104.0,,74.5,25.4,,,14.0,-392.0,,,,-408.0,,-437.5,-486.6,,,-498.0,,,,False,,False,False,,,False
17187,805,272.0,,,,176.0,,196.3,143.4,,,236.0,-533.0,,,,-629.0,,-608.7,-661.6,,,-569.0,,,,False,,False,False,,,False
17189,578,192.0,,,,79.0,,153.1,68.5,,,101.0,-386.0,,,,-499.0,,-424.9,-509.5,,,-477.0,,,,False,,False,False,,,False
17191,650,344.0,,,,173.0,,223.3,206.1,,,62.0,-306.0,,,,-477.0,,-426.7,-443.9,,,-588.0,,,,False,,False,False,,,False
17193,493,128.0,,,,110.0,,119.5,76.4,,,68.0,-365.0,,,,-383.0,,-373.5,-416.6,,,-425.0,,,,False,,False,False,,,False
17195,3054,944.0,,,,655.0,,1103.5,368.4,,,2818.0,-2110.0,,,,-2399.0,,-1950.5,-2685.6,,,-236.0,,,,False,,True,False,,,True
17197,26986,6928.0,,,,3861.0,,4471.1,8482.8,4623.0,,4965.0,-20058.0,,,,-23125.0,,-22514.9,-18503.2,-22363.0,,-22021.0,,,,False,,False,True,False,,False
17199,2447,600.0,,,,698.0,,419.0,249.6,537.1,,404.0,-1847.0,,,,-1749.0,,-2028.0,-2197.4,-1909.9,,-2043.0,,,,True,,False,False,False,,False
17201,12612,7648.0,,,,3145.0,,5067.7,3375.9,4499.6,,2720.0,-4964.0,,,,-9467.0,,-7544.3,-9236.1,-8112.4,,-9892.0,,,,False,,False,False,False,,False
17203,1536,152.0,,,,282.0,,158.0,342.0,,,47.0,-1384.0,,,,-1254.0,,-1378.0,-1194.0,,,-1489.0,,,,True,,True,True,,,False
18001,1671,512.0,,,,349.0,,442.6,285.5,,,438.0,-1159.0,,,,-1322.0,,-1228.4,-1385.5,,,-1233.0,,,,False,,False,False,,,False
18003,14501,3664.0,,,,3098.0,,2218.7,3357.5,2873.1,,3118.0,-10837.0,,,,-11403.0,,-12282.3,-11143.5,-11627.9,,-11383.0,,,,False,,False,False,False,,False
18005,2733,416.0,,,,512.0,,288.5,379.6,315.1,,291.0,-2317.0,,,,-2221.0,,-2444.5,-2353.4,-2417.9,,-2442.0,,,,True,,False,False,False,,False
18007,402,24.0,,,,50.0,,41.0,,,,279.0,-378.0,,,,-352.0,,-361.0,,,,-123.0,,,,True,,True,,,,True
18009,526,184.0,,,,104.0,,256.9,69.4,,,231.0,-342.0,,,,-422.0,,-269.1,-456.6,,,-295.0,,,,False,,True,False,,,True
18011,1845,504.0,,,,613.0,,394.6,826.5,268.0,,1159.0,-1341.0,,,,-1232.0,,-1450.4,-1018.5,-1577.0,,-686.0,,,,True,,False,True,False,,True
18013,332,112.0,,,,70.0,,84.1,123.7,,,521.0,-220.0,,,,-262.0,,-247.9,-208.3,,,189.0,,,,False,,False,True,,,True
18015,553,88.0,,,,151.0,,65.5,97.4,,,20.0,-465.0,,,,-402.0,,-487.5,-455.6,,,-533.0,,,,True,,False,True,,,False
18017,1210,736.0,,,,401.0,,466.9,59.5,338.9,,62.0,-474.0,,,,-809.0,,-743.1,-1150.5,-871.1,,-1148.0,,,,False,,False,False,False,,False
18019,3452,1424.0,,,,780.0,,863.7,988.5,1139.6,,925.0,-2028.0,,,,-2672.0,,-2588.3,-2463.5,-2312.4,,-2527.0,,,,False,,False,False,False,,False
18021,1083,304.0,,,,179.0,,194.0,181.4,,,252.0,-779.0,,,,-904.0,,-889.0,-901.6,,,-831.0,,,,False,,False,False,,,False
18023,1460,336.0,,,,231.0,,284.2,58.5,,,227.0,-1124.0,,,,-1229.0,,-1175.8,-1401.5,,,-1233.0,,,,False,,False,False,,,False
18025,252,64.0,,,,52.0,,28.0,51.8,,,31.0,-188.0,,,,-200.0,,-224.0,-200.2,,,-221.0,,,,False,,False,False,,,False
18027,1095,304.0,,,,325.0,,205.8,55.1,,,303.0,-791.0,,,,-770.0,,-889.2,-1039.9,,,-792.0,,,,True,,False,False,,,False
18029,1894,520.0,,,,234.0,,363.3,290.1,,,591.0,-1374.0,,,,-1660.0,,-1530.7,-1603.9,,,-1303.0,,,,False,,False,False,,,True
18031,1050,96.0,,,,180.0,,76.5,222.3,,,145.0,-954.0,,,,-870.0,,-973.5,-827.7,,,-905.0,,,,True,,False,True,,,True
18033,1626,512.0,,,,359.0,,448.8,226.2,,,697.0,-1114.0,,,,-1267.0,,-1177.2,-1399.8,,,-929.0,,,,False,,False,False,,,True
18035,3374,2144.0,,,,1183.0,,1583.1,763.8,1903.2,,1475.0,-1230.0,,,,-2191.0,,-1790.9,-2610.2,-1470.8,,-1899.0,,,,False,,False,False,False,,False
18037,1728,992.0,,,,291.0,,429.4,465.5,450.2,,203.0,-736.0,,,,-1437.0,,-1298.6,-1262.5,-1277.8,,-1525.0,,,,False,,False,False,False,,False
18039,11787,3880.0,,,,2277.0,,3136.6,3018.7,2166.3,,2024.0,-7907.0,,,,-9510.0,,-8650.4,-8768.3,-9620.7,,-9763.0,,,,False,,False,False,False,,False
18041,1203,472.0,,,,209.0,,424.8,149.3,,,508.0,-731.0,,,,-994.0,,-778.2,-1053.7,,,-695.0,,,,False,,False,False,,,True
18043,2157,832.0,,,,411.0,,518.9,704.5,399.5,,547.0,-1325.0,,,,-1746.0,,-1638.1,-1452.5,-1757.5,,-1610.0,,,,False,,False,False,False,,False
18045,845,560.0,,,,107.0,,944.4,122.1,,,407.0,-285.0,,,,-738.0,,99.4,-722.9,,,-438.0,,,,False,,True,False,,,False
18047,515,80.0,,,,112.0,,76.2,126.6,,,29.0,-435.0,,,,-403.0,,-438.8,-388.4,,,-486.0,,,,True,,False,True,,,False
18049,737,168.0,,,,184.0,,134.7,144.5,,,301.0,-569.0,,,,-553.0,,-602.3,-592.5,,,-436.0,,,,True,,False,False,,,True
18051,1620,960.0,,,,234.0,,968.9,335.9,,,207.0,-660.0,,,,-1386.0,,-651.1,-1284.1,,,-1413.0,,,,False,,True,False,,,False
18053,2379,480.0,,,,663.0,,393.4,529.0,318.5,,312.0,-1899.0,,,,-1716.0,,-1985.6,-1850.0,-2060.5,,-2067.0,,,,True,,False,True,False,,False
18055,828,216.0,,,,245.0,,124.3,224.3,,,128.0,-612.0,,,,-583.0,,-703.7,-603.7,,,-700.0,,,,True,,False,True,,,False
18057,10847,2328.0,,,,1870.0,,1481.8,1672.9,1881.0,,5109.0,-8519.0,,,,-8977.0,,-9365.2,-9174.1,-8966.0,,-5738.0,,,,False,,False,False,False,,True
18059,2363,536.0,,,,490.0,,312.9,489.4,,,422.0,-1827.0,,,,-1873.0,,-2050.1,-1873.6,,,-1941.0,,,,False,,False,False,,,False
18061,1093,312.0,,,,190.0,,226.8,197.0,,,270.0,-781.0,,,,-903.0,,-866.2,-896.0,,,-823.0,,,,False,,False,False,,,False
18063,4785,896.0,,,,992.0,,567.6,857.7,634.7,,858.0,-3889.0,,,,-3793.0,,-4217.4,-3927.3,-4150.3,,-3927.0,,,,True,,False,False,False,,False
18065,1928,880.0,,,,442.0,,935.9,454.0,,,801.0,-1048.0,,,,-1486.0,,-992.1,-1474.0,,,-1127.0,,,,False,,True,False,,,False
18067,2956,664.0,,,,738.0,,450.3,709.6,418.6,,648.0,-2292.0,,,,-2218.0,,-2505.7,-2246.4,-2537.4,,-2308.0,,,,True,,False,True,False,,False
18069,1310,336.0,,,,355.0,,415.7,290.1,,,455.0,-974.0,,,,-955.0,,-894.3,-1019.9,,,-855.0,,,,True,,True,False,,,True
18071,1866,744.0,,,,321.0,,585.7,462.2,,,729.0,-1122.0,,,,-1545.0,,-1280.3,-1403.8,,,-1137.0,,,,False,,False,False,,,False
18073,1360,208.0,,,,226.0,,153.0,305.0,,,276.0,-1152.0,,,,-1134.0,,-1207.0,-1055.0,,,-1084.0,,,,True,,False,True,,,True
18075,979,216.0,,,,186.0,,225.3,94.0,,,241.0,-763.0,,,,-793.0,,-753.7,-885.0,,,-738.0,,,,False,,True,False,,,True
18077,1168,272.0,,,,192.0,,243.0,208.5,,,724.0,-896.0,,,,-976.0,,-925.0,-959.5,,,-444.0,,,,False,,False,False,,,True
18079,800,96.0,,,,159.0,,89.1,121.0,,,265.0,-704.0,,,,-641.0,,-710.9,-679.0,,,-535.0,,,,True,,False,True,,,True
18081,5481,1560.0,,,,1118.0,,892.5,1407.4,735.1,,1581.0,-3921.0,,,,-4363.0,,-4588.5,-4073.6,-4745.9,,-3900.0,,,,False,,False,False,False,,True
18083,1626,208.0,,,,351.0,,165.7,286.5,,,126.0,-1418.0,,,,-1275.0,,-1460.3,-1339.5,,,-1500.0,,,,True,,False,True,,,False
18085,3788,1024.0,,,,798.0,,739.3,522.5,460.1,,628.0,-2764.0,,,,-2990.0,,-3048.7,-3265.5,-3327.9,,-3160.0,,,,False,,False,False,False,,False
18087,955,304.0,,,,506.0,,185.5,65.9,,,186.0,-651.0,,,,-449.0,,-769.5,-889.1,,,-769.0,,,,True,,False,False,,,False
18089,19810,5120.0,,,,3076.0,,3246.8,3708.2,2472.7,,4449.0,-14690.0,,,,-16734.0,,-16563.2,-16101.8,-17337.3,,-15361.0,,,,False,,False,False,False,,False
18091,3657,1344.0,,,,1139.0,,1075.6,866.3,468.1,,1021.0,-2313.0,,,,-2518.0,,-2581.4,-2790.7,-3188.9,,-2636.0,,,,False,,False,False,False,,False
18093,1520,608.0,,,,303.0,,521.4,314.2,,,774.0,-912.0,,,,-1217.0,,-998.6,-1205.8,,,-746.0,,,,False,,False,False,,,True
18095,4092,1376.0,,,,1078.0,,992.2,784.1,694.6,,972.0,-2716.0,,,,-3014.0,,-3099.8,-3307.9,-3397.4,,-3120.0,,,,False,,False,False,False,,False
18097,27849,7384.0,,,,5525.0,,4247.1,379.8,4100.4,,7469.0,-20465.0,,,,-22324.0,,-23601.9,-27469.2,-23748.6,,-20380.0,,,,False,,False,False,False,,True
18099,2428,672.0,,,,502.0,,449.8,293.0,327.0,,689.0,-1756.0,,,,-1926.0,,-1978.2,-2135.0,-2101.0,,-1739.0,,,,False,,False,False,False,,True
18101,243,72.0,,,,68.0,,38.0,30.7,,,21.0,-171.0,,,,-175.0,,-205.0,-212.3,,,-222.0,,,,False,,False,False,,,False
