,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Nevada,16399,17496.0,21731.5,17273.2,18002.0,17877.0,,16021.0,21479.0,13756.1,20750.8,18876.3,,17835.0,18002.0,17905.4,19532.1,18670.0,13513.3,19776.9,19518.5,14141.5,16778.9,19306.0,18214.0,,20255.8,15625.2,,15832.8,21507.7,14668.9,,13194.2,18092.0,22364.4,1097.0,5332.5,874.2,1603.0,1478.0,,-378.0,5080.0,-2642.9,4351.8,2477.3,,1436.0,1603.0,1506.4,3133.1,2271.0,-2885.7,3377.9,3119.5,-2257.5,379.9,2907.0,1815.0,,3856.8,-773.8,,-566.2,5108.7,-1730.1,,-3204.8,1693.0,5965.4,False,True,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,True,,True,False,False,,False,False,False
New Hampshire,5225,2710.0,3755.6,2842.6,3183.0,2914.0,,2894.0,5772.0,2599.4,4134.8,3766.2,,2961.0,3534.0,3713.5,3948.1,3057.0,2547.7,3222.3,3944.0,3183.0,3775.3,3394.0,3277.0,,5222.8,4490.0,,2961.2,4106.8,2876.4,,4079.4,2905.0,4153.0,-2515.0,-1469.4,-2382.4,-2042.0,-2311.0,,-2331.0,547.0,-2625.6,-1090.2,-1458.8,,-2264.0,-1691.0,-1511.5,-1276.9,-2168.0,-2677.3,-2002.7,-1281.0,-2042.0,-1449.7,-1831.0,-1948.0,,-2.2,-735.0,,-2263.8,-1118.2,-2348.6,,-1145.6,-2320.0,-1072.0,True,True,True,True,,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,,True,True,True,,True,True,True
New Jersey,37664,27514.0,31773.4,27643.9,29209.0,27291.0,,28395.4,49147.0,34012.2,29564.2,30752.4,,23001.0,29209.0,32451.3,29713.4,29550.0,28132.1,26438.3,29406.0,27575.6,29095.7,31689.0,29061.0,,34703.2,45346.3,,31559.9,46474.1,25044.2,,24730.2,28273.0,44301.0,-10150.0,-5890.6,-10020.1,-8455.0,-10373.0,,-9268.6,11483.0,-3651.8,-8099.8,-6911.6,,-14663.0,-8455.0,-5212.7,-7950.6,-8114.0,-9531.9,-11225.7,-8258.0,-10088.4,-8568.3,-5975.0,-8603.0,,-2960.8,7682.3,,-6104.1,8810.1,-12619.8,,-12933.8,-9391.0,6637.0,True,True,True,False,,True,False,True,True,True,,False,True,True,True,True,True,False,True,True,True,True,True,,True,True,,True,True,False,,False,True,True
New Mexico,12874,14542.0,18699.8,13969.0,15416.0,13907.0,,15950.6,18784.0,14825.2,17811.0,18312.1,,16329.0,14352.0,17723.0,28781.3,15508.0,9395.0,15726.3,16692.0,11921.0,14104.2,17606.0,13444.0,,32484.2,21674.6,,15607.5,25954.9,12491.6,,9145.2,14971.0,18921.1,1668.0,5825.8,1095.0,2542.0,1033.0,,3076.6,5910.0,1951.2,4937.0,5438.1,,3455.0,1478.0,4849.0,15907.3,2634.0,-3479.0,2852.3,3818.0,-953.0,1230.2,4732.0,570.0,,19610.2,8800.6,,2733.5,13080.9,-382.4,,-3728.8,2097.0,6047.1,False,True,False,True,,False,False,False,False,False,,False,True,False,False,False,False,False,False,True,True,False,True,,False,False,,False,False,True,,False,False,False
New York,61520,43615.0,44762.0,43630.9,47341.0,47341.0,,40551.6,68756.0,44513.9,46256.6,47687.4,,33677.0,47060.0,42941.2,48511.5,46577.0,48426.4,62047.5,49061.0,48390.7,50099.5,51556.0,53428.0,,53684.8,40393.3,,45016.8,60476.1,41890.6,,50990.3,47402.0,56838.4,-17905.0,-16758.0,-17889.1,-14179.0,-14179.0,,-20968.4,7236.0,-17006.1,-15263.4,-13832.6,,-27843.0,-14460.0,-18578.8,-13008.5,-14943.0,-13093.6,527.5,-12459.0,-13129.3,-11420.5,-9964.0,-8092.0,,-7835.2,-21126.7,,-16503.2,-1043.9,-19629.4,,-10529.7,-14118.0,-4681.6,True,True,True,True,,False,True,True,True,True,,False,True,False,True,True,True,True,True,True,True,True,True,,True,False,,True,True,False,,True,True,True
North Carolina,30594,25697.0,30718.9,26273.3,26793.0,28310.0,,24440.3,26607.0,24291.3,29367.5,28234.4,,25283.0,26457.0,27700.9,26365.0,27810.0,20758.0,30692.7,26793.0,26688.6,29017.5,29575.0,29085.0,,37731.2,21637.8,,24784.6,34824.3,24625.0,,28119.4,27700.0,29112.2,-4897.0,124.9,-4320.7,-3801.0,-2284.0,,-6153.7,-3987.0,-6302.7,-1226.5,-2359.6,,-5311.0,-4137.0,-2893.1,-4229.0,-2784.0,-9836.0,98.7,-3801.0,-3905.4,-1576.5,-1019.0,-1509.0,,7137.2,-8956.2,,-5809.4,4230.3,-5969.0,,-2474.6,-2894.0,-1481.8,True,True,True,True,,False,True,False,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,,False,False,,False,True,False,,True,True,True
North Dakota,4569,6395.0,6018.4,6425.0,6395.0,4951.0,,7262.6,7182.0,5464.9,4760.6,6579.0,,6059.0,7210.0,9442.6,5048.6,6928.0,2937.4,5491.8,3285.0,5203.0,5886.6,6191.0,5625.0,,9037.7,7443.5,,5324.5,16367.2,5335.4,,3715.0,7285.0,8160.8,1826.0,1449.4,1856.0,1826.0,382.0,,2693.6,2613.0,895.9,191.6,2010.0,,1490.0,2641.0,4873.6,479.6,2359.0,-1631.6,922.8,-1284.0,634.0,1317.6,1622.0,1056.0,,4468.7,2874.5,,755.5,11798.2,766.4,,-854.0,2716.0,3591.8,True,False,False,True,,False,False,True,True,False,,True,False,False,True,False,True,True,True,True,True,True,True,,False,False,,True,False,True,,True,False,False
Ohio,60729,63417.0,83043.6,63228.7,66064.0,67944.0,,60892.1,93198.0,48869.5,58543.4,71080.4,,66065.0,71960.0,72270.2,67250.4,69395.0,47796.2,94034.6,60282.0,58298.9,64465.9,68143.0,68452.0,,59860.0,93734.7,,69234.9,95575.4,57809.5,58094.0,58381.8,64877.0,94115.6,2688.0,22314.6,2499.7,5335.0,7215.0,,163.1,32469.0,-11859.5,-2185.6,10351.4,,5336.0,11231.0,11541.2,6521.4,8666.0,-12932.8,33305.6,-447.0,-2430.1,3736.9,7414.0,7723.0,,-869.0,33005.7,,8505.9,34846.4,-2919.5,-2635.0,-2347.2,4148.0,33386.6,False,True,False,False,,True,False,False,True,False,,False,False,False,False,False,False,False,True,True,False,False,False,,True,False,,False,False,False,True,True,False,False
Oklahoma,19421,22900.0,28588.1,23122.9,23209.0,23089.0,,21008.7,31041.0,12992.0,30444.4,29807.3,,21885.0,22154.0,26672.8,23208.9,24460.0,11708.3,32240.6,21073.5,18998.9,21160.5,25098.0,23419.0,,24266.3,9829.2,,23221.1,30152.4,21829.3,,20116.8,24666.0,31696.3,3479.0,9167.1,3701.9,3788.0,3668.0,,1587.7,11620.0,-6429.0,11023.4,10386.3,,2464.0,2733.0,7251.8,3787.9,5039.0,-7712.7,12819.6,1652.5,-422.1,1739.5,5677.0,3998.0,,4845.3,-9591.8,,3800.1,10731.4,2408.3,,695.8,5245.0,12275.3,False,False,False,False,,True,False,False,False,False,,True,True,False,False,False,False,False,True,True,True,False,False,,False,False,,False,False,True,,True,False,False
Oregon,10737,8838.0,12289.8,8866.1,10121.0,9579.0,,9254.1,12879.0,6833.4,9601.2,10843.1,,9065.0,10954.0,10121.1,9456.1,9519.0,7709.2,12946.0,10896.0,10153.0,10530.8,9961.0,10257.0,,11960.2,5228.7,,9375.9,12460.4,9604.1,,12362.4,9982.0,11763.2,-1899.0,1552.8,-1870.9,-616.0,-1158.0,,-1482.9,2142.0,-3903.6,-1135.8,106.1,,-1672.0,217.0,-615.9,-1280.9,-1218.0,-3027.8,2209.0,159.0,-584.0,-206.2,-776.0,-480.0,,1223.2,-5508.3,,-1361.1,1723.4,-1132.9,,1625.4,-755.0,1026.2,True,True,True,True,,True,False,False,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,,True,False,,True,True,True,,True,True,True
Pennsylvania,59690,48957.0,61419.9,49399.1,52039.0,52594.0,,45847.4,71445.0,48546.1,59225.9,58080.6,,50516.0,52877.0,57187.4,56246.4,52379.0,46020.7,73172.7,48319.0,45603.0,49856.7,56950.0,54912.0,,71309.8,42124.8,,42585.3,71754.7,42930.2,59203.5,42025.3,49440.0,64784.6,-10733.0,1729.9,-10290.9,-7651.0,-7096.0,,-13842.6,11755.0,-11143.9,-464.1,-1609.4,,-9174.0,-6813.0,-2502.6,-3443.6,-7311.0,-13669.3,13482.7,-11371.0,-14087.0,-9833.3,-2740.0,-4778.0,,11619.8,-17565.2,,-17104.7,12064.7,-16759.8,-486.5,-17664.7,-10250.0,5094.6,True,True,True,True,,False,False,False,True,True,,True,True,True,True,True,False,False,False,False,True,True,True,,False,False,,False,False,False,True,False,True,True
Rhode Island,8183,5953.0,6887.9,5887.3,6230.0,6613.0,,6029.0,7950.0,32023.4,8498.9,5491.6,,5136.0,6169.0,8068.4,6750.7,6398.0,4375.9,9616.3,6628.0,4679.5,6917.5,5739.0,5884.0,,5591.2,9680.8,,6344.0,11092.2,5428.2,,3842.0,4768.0,8471.2,-2230.0,-1295.1,-2295.7,-1953.0,-1570.0,,-2154.0,-233.0,23840.4,315.9,-2691.4,,-3047.0,-2014.0,-114.6,-1432.3,-1785.0,-3807.1,1433.3,-1555.0,-3503.5,-1265.5,-2444.0,-2299.0,,-2591.8,1497.8,,-1839.0,2909.2,-2754.8,,-4341.0,-3415.0,288.2,True,False,True,True,,True,True,False,True,False,,False,True,True,True,True,False,True,True,False,True,False,False,,False,True,,True,False,False,,False,False,True
South Carolina,14324,9893.0,10047.0,9996.5,10263.0,9919.0,,10243.1,16624.0,8547.5,11053.4,11785.8,,10196.0,11824.0,12470.3,10321.8,10591.0,9547.1,13507.9,12227.5,10162.1,11038.9,11736.0,11118.0,,17796.4,6638.0,,9109.4,17882.2,10906.3,,8817.8,10461.0,12068.7,-4431.0,-4277.0,-4327.5,-4061.0,-4405.0,,-4080.9,2300.0,-5776.5,-3270.6,-2538.2,,-4128.0,-2500.0,-1853.7,-4002.2,-3733.0,-4776.9,-816.1,-2096.5,-4161.9,-3285.1,-2588.0,-3206.0,,3472.4,-7686.0,,-5214.6,3558.2,-3417.7,,-5506.2,-3863.0,-2255.3,True,True,True,True,,True,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,True,,False,True,True
South Dakota,6205,6885.0,7234.9,6836.6,6837.0,5335.0,,6882.2,8063.0,6042.6,7050.4,7447.8,,6883.0,7593.0,8425.1,4355.7,7853.0,3208.7,6533.4,5847.0,6024.8,6692.3,6272.0,6441.0,,3217.6,7545.9,,6184.6,15780.3,6460.4,,5619.9,7289.0,8489.0,680.0,1029.9,631.6,632.0,-870.0,,677.2,1858.0,-162.4,845.4,1242.8,,678.0,1388.0,2220.1,-1849.3,1648.0,-2996.3,328.4,-358.0,-180.2,487.3,67.0,236.0,,-2987.4,1340.9,,-20.4,9575.3,255.4,,-585.1,1084.0,2284.0,False,True,True,False,,True,False,True,False,False,,True,False,False,False,False,False,True,True,True,True,True,True,,False,False,,True,False,True,,True,False,False
Tennessee,34056,27579.0,29087.4,27477.0,27477.0,23527.0,,24890.3,34319.0,26487.6,34109.1,35521.6,,28217.0,27926.0,33294.7,17585.7,30160.0,18332.4,35966.3,24793.5,25778.5,26943.0,30619.0,27690.0,,16658.2,22999.5,,27957.7,52468.9,25658.2,,24386.0,26817.0,30957.3,-6477.0,-4968.6,-6579.0,-6579.0,-10529.0,,-9165.7,263.0,-7568.4,53.1,1465.6,,-5839.0,-6130.0,-761.3,-16470.3,-3896.0,-15723.6,1910.3,-9262.5,-8277.5,-7113.0,-3437.0,-6366.0,,-17397.8,-11056.5,,-6098.3,18412.9,-8397.8,,-9670.0,-7239.0,-3098.7,True,False,False,False,,False,True,False,True,True,,True,True,True,False,True,False,True,False,False,False,True,True,,False,False,,True,False,False,,False,False,True
Texas,107873,69153.0,80542.4,65893.8,75029.0,66557.0,,77536.3,70390.0,84828.3,74380.3,69933.6,,69722.0,91823.0,81932.1,109013.8,77717.0,61908.2,74125.6,94892.0,70435.7,65737.4,79164.0,73821.0,,117318.3,65423.3,,72224.4,134015.8,77664.0,,54555.5,68915.0,88487.6,-38720.0,-27330.6,-41979.2,-32844.0,-41316.0,,-30336.7,-37483.0,-23044.7,-33492.7,-37939.4,,-38151.0,-16050.0,-25940.9,1140.8,-30156.0,-45964.8,-33747.4,-12981.0,-37437.3,-42135.6,-28709.0,-34052.0,,9445.3,-42449.7,,-35648.6,26142.8,-30209.0,,-53317.5,-38958.0,-19385.4,True,False,True,False,,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,,True,False,,True,True,True,,False,False,True
Utah,20757,18108.0,20569.7,18759.2,18098.0,11550.0,,19747.4,29813.0,14033.7,17584.0,15625.3,,18660.0,24556.0,28382.9,17633.6,19103.0,12751.2,16783.3,11466.5,15934.0,17174.9,16702.0,16225.0,,33463.3,18647.5,,16635.3,39387.6,13363.1,,10198.5,18098.0,15424.3,-2649.0,-187.3,-1997.8,-2659.0,-9207.0,,-1009.6,9056.0,-6723.3,-3173.0,-5131.7,,-2097.0,3799.0,7625.9,-3123.4,-1654.0,-8005.8,-3973.7,-9290.5,-4823.0,-3582.1,-4055.0,-4532.0,,12706.3,-2109.5,,-4121.7,18630.6,-7393.9,,-10558.5,-2659.0,-5332.7,True,True,False,False,,True,False,False,False,False,,True,False,False,False,True,False,False,False,False,False,False,False,,False,True,,False,False,False,,False,False,False
Vermont,861,487.0,910.3,523.1,523.0,581.0,,0.0,1590.0,628.0,722.6,512.8,,303.0,648.0,806.0,721.8,538.0,510.7,397.9,504.0,493.5,726.0,732.0,792.0,,1583.8,799.2,,499.4,1005.1,649.5,,428.3,483.0,558.7,-374.0,49.3,-337.9,-338.0,-280.0,,-861.0,729.0,-233.0,-138.4,-348.2,,-558.0,-213.0,-55.0,-139.2,-323.0,-350.3,-463.1,-357.0,-367.5,-135.0,-129.0,-69.0,,722.8,-61.8,,-361.6,144.1,-211.5,,-432.7,-378.0,-302.3,True,True,True,True,,False,False,True,True,True,,False,True,True,True,True,True,False,True,True,True,True,True,,False,True,,True,True,True,,False,False,True
Virginia,17556,17938.0,23557.4,18113.2,19067.0,20177.0,,17300.7,14348.0,18858.5,22662.7,20131.6,,18487.0,18999.0,18894.1,22148.3,19819.0,13630.4,20251.6,20319.0,19283.0,19750.6,21448.0,20375.0,,22198.9,4011.7,,20204.7,20021.9,19371.0,,15958.8,18890.0,19067.0,382.0,6001.4,557.2,1511.0,2621.0,,-255.3,-3208.0,1302.5,5106.7,2575.6,,931.0,1443.0,1338.1,4592.3,2263.0,-3925.6,2695.6,2763.0,1727.0,2194.6,3892.0,2819.0,,4642.9,-13544.3,,2648.7,2465.9,1815.0,,-1597.2,1334.0,1511.0,False,False,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Washington,15850,19374.0,23043.4,19601.8,20339.0,21662.0,,20596.3,27278.0,12925.7,25423.6,20414.6,,18749.0,19552.0,17436.9,20339.3,21380.0,16157.3,24840.8,20893.5,18322.3,23052.6,18929.0,21885.0,,14720.9,15034.8,,20863.7,24034.3,18803.0,,17310.8,19821.0,25395.9,3524.0,7193.4,3751.8,4489.0,5812.0,,4746.3,11428.0,-2924.3,9573.6,4564.6,,2899.0,3702.0,1586.9,4489.3,5530.0,307.3,8990.8,5043.5,2472.3,7202.6,3079.0,6035.0,,-1129.1,-815.2,,5013.7,8184.3,2953.0,,1460.8,3971.0,9545.9,False,False,False,False,,False,False,True,False,False,,True,False,True,False,False,True,False,False,True,False,True,False,,True,True,,False,False,True,,True,False,False
West Virginia,7727,6247.0,7101.5,6283.5,6948.0,6948.0,,6151.8,9557.0,5547.4,7074.7,7641.7,,6440.0,6995.0,8586.7,8082.7,6713.0,4221.0,9691.8,8704.0,6827.6,7542.7,7746.0,6698.0,,11184.4,13109.0,,6855.5,10246.3,6363.2,,6854.8,6378.0,7679.3,-1480.0,-625.5,-1443.5,-779.0,-779.0,,-1575.2,1830.0,-2179.6,-652.3,-85.3,,-1287.0,-732.0,859.7,355.7,-1014.0,-3506.0,1964.8,977.0,-899.4,-184.3,19.0,-1029.0,,3457.4,5382.0,,-871.5,2519.3,-1363.8,,-872.2,-1349.0,-47.7,True,True,True,True,,False,False,False,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,,False,False,,True,False,True,,True,True,True
Wisconsin,32919,32780.0,43600.6,31644.7,32212.0,28903.0,,37842.3,39205.0,30444.8,26351.3,40415.3,,38856.0,35528.0,50696.7,29366.6,34427.0,20943.3,24042.8,30223.5,30239.9,31633.1,34021.0,27840.0,,48904.1,46356.1,,34077.7,82810.5,27905.5,30508.4,22949.3,31176.0,42739.1,-139.0,10681.6,-1274.3,-707.0,-4016.0,,4923.3,6286.0,-2474.2,-6567.7,7496.3,,5937.0,2609.0,17777.7,-3552.4,1508.0,-11975.7,-8876.2,-2695.5,-2679.1,-1285.9,1102.0,-5079.0,,15985.1,13437.1,,1158.7,49891.5,-5013.5,-2410.6,-9969.7,-1743.0,9820.1,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Wyoming,4013,4518.0,4774.1,4657.2,4657.0,4241.0,,4942.2,6852.0,2932.3,5287.9,4429.9,,4816.0,5426.0,7102.3,5386.3,4900.0,2261.6,3536.9,3261.5,3662.7,5060.9,4839.0,4179.0,,3956.3,7747.7,,4750.9,9679.4,4096.0,,2263.6,3810.0,5972.7,505.0,761.1,644.2,644.0,228.0,,929.2,2839.0,-1080.7,1274.9,416.9,,803.0,1413.0,3089.3,1373.3,887.0,-1751.4,-476.1,-751.5,-350.3,1047.9,826.0,166.0,,-56.7,3734.7,,737.9,5666.4,83.0,,-1749.4,-203.0,1959.7,False,False,False,True,,False,False,False,False,True,,False,False,False,False,False,False,True,False,True,False,False,True,,True,False,,False,False,True,,False,True,False
US,1363518,1140385.0,1351743.5,1120137.6,1148850.0,1114614.0,1017235.0,1156724.7,1655255.0,1223674.6,1320611.5,,1104789.0,1161098.0,1246500.0,1408971.5,1246570.5,1225109.0,893264.2,1306550.2,1157821.5,1100520.3,1144716.5,1278581.0,1320388.0,1270855.0,943978.3,1365819.9,1151797.0,1113283.0,,1077445.9,1199536.8,983161.6,1140043.0,1562116.2,-223133.0,-11774.5,-243380.4,-214668.0,-248904.0,-346283.0,-206793.3,291737.0,-139843.4,-42906.5,,-258729.0,-202420.0,-117018.0,45453.5,-116947.5,-138409.0,-470253.8,-56967.8,-205696.5,-262997.7,-218801.5,-84937.0,-43130.0,-92663.0,-419539.7,2301.9,-211721.0,-250235.0,,-286072.1,-163981.2,-380356.4,-223475.0,198598.2,True,False,True,False,False,True,False,True,True,,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,,False,True,False,False,True
