,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
New York,139574,92829.0,79553.1,93494.8,115087.0,137654.0,,40504.0,127645.1,176202.1,,87942.0,85472.7,250543.6,131714.0,156743.8,96199.5,182698.7,157612.0,135333.5,120352.5,128740.0,,141388.2,63774.6,,74014.6,74944.9,275422.2,134746.8,113541.0,117322.4,-46745.0,-60020.9,-46079.2,-24487.0,-1920.0,,-99070.0,-11928.9,36628.1,,-51632.0,-54101.3,110969.6,-7860.0,17169.8,-43374.5,43124.7,18038.0,-4240.5,-19221.5,-10834.0,,1814.2,-75799.4,,-65559.4,-64629.1,135848.2,-4827.2,-26033.0,-22251.6,False,True,True,True,,False,True,True,,False,False,False,True,True,True,True,True,True,True,True,,True,False,,False,False,False,True,True,True
North Carolina,79434,53619.0,39785.9,53355.7,59676.0,56340.0,,30208.0,87996.3,58432.0,,56140.0,63465.6,49924.4,77953.0,64154.5,57366.0,60910.7,60573.0,75387.6,69585.0,72607.0,,67435.4,33826.1,,62391.0,71038.5,47865.5,65805.9,51771.0,73195.7,-25815.0,-39648.1,-26078.3,-19758.0,-23094.0,,-49226.0,8562.3,-21002.0,,-23294.0,-15968.4,-29509.6,-1481.0,-15279.5,-22068.0,-18523.3,-18861.0,-4046.4,-9849.0,-6827.0,,-11998.6,-45607.9,,-17043.0,-8395.5,-31568.5,-13628.1,-27663.0,-6238.3,False,False,True,True,,False,True,True,,True,True,False,True,True,True,True,True,True,True,True,,True,False,,True,True,False,True,False,True
North Dakota,19632,29004.0,28048.7,28704.9,30527.0,25091.0,,30987.0,40698.9,38306.1,,30383.0,40431.5,19876.9,41014.0,11912.3,39752.5,43993.6,27545.0,32948.8,36934.5,32751.0,,37384.3,21123.0,,25294.1,39769.0,36618.7,15756.6,24305.0,33870.9,9372.0,8416.7,9072.9,10895.0,5459.0,,11355.0,21066.9,18674.1,,10751.0,20799.5,244.9,21382.0,-7719.7,20120.5,24361.6,7913.0,13316.8,17302.5,13119.0,,17752.3,1491.0,,5662.1,20137.0,16986.7,-3875.4,4673.0,14238.9,True,True,False,True,,False,False,False,,False,False,True,False,True,False,False,True,False,False,False,,False,True,,True,False,False,True,True,False
Ohio,177189,133548.0,199285.5,130884.5,175702.0,177349.0,,34423.0,185266.5,190528.1,,151529.0,138832.4,271808.7,188727.0,138324.0,165453.0,220550.2,282278.0,222142.1,199679.4,197067.0,,207514.8,178200.3,,78416.4,128400.5,357663.8,208910.0,122565.0,205331.7,-43641.0,22096.5,-46304.5,-1487.0,160.0,,-142766.0,8077.5,13339.1,,-25660.0,-38356.6,94619.7,11538.0,-38865.0,-11736.0,43361.2,105089.0,44953.1,22490.4,19878.0,,30325.8,1011.3,,-98772.6,-48788.5,180474.8,31721.0,-54624.0,28142.7,True,False,True,True,,False,True,True,,True,True,False,True,True,True,True,False,False,True,True,,True,True,,False,False,False,True,False,True
Oklahoma,63040,55362.0,70026.8,54708.6,59280.0,77149.0,,22429.0,58514.1,58726.7,,65882.0,47672.6,105786.1,65294.0,25711.6,46103.0,79427.8,83315.0,80691.3,67962.5,74462.0,,88315.4,23864.4,,33303.4,32199.9,43670.6,78920.5,37859.0,68261.6,-7678.0,6986.8,-8331.4,-3760.0,14109.0,,-40611.0,-4525.9,-4313.3,,2842.0,-15367.4,42746.1,2254.0,-37328.4,-16937.0,16387.8,20275.0,17651.3,4922.5,11422.0,,25275.4,-39175.6,,-29736.6,-30840.1,-19369.4,15880.5,-25181.0,5221.6,True,False,True,False,,False,True,True,,True,False,False,True,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,True
Oregon,27225,19293.0,21764.4,19412.6,23354.0,23364.0,,8276.0,20849.4,25102.2,,20400.0,22161.4,41004.3,28632.0,22846.8,21539.0,47092.7,28427.0,27189.4,25874.9,28894.0,,33661.5,13577.1,,11545.0,18456.5,34882.6,28182.8,23339.0,27942.7,-7932.0,-5460.6,-7812.4,-3871.0,-3861.0,,-18949.0,-6375.6,-2122.8,,-6825.0,-5063.6,13779.3,1407.0,-4378.2,-5686.0,19867.7,1202.0,-35.6,-1350.1,1669.0,,6436.5,-13647.9,,-15680.0,-8768.5,7657.6,957.8,-3886.0,717.7,True,True,True,True,,False,True,True,,True,True,False,True,True,True,False,True,True,True,True,,True,False,,False,False,True,True,True,True
Pennsylvania,151413,95187.0,169898.1,95895.3,129013.0,148918.0,,86141.0,150306.6,121382.5,,98872.0,107087.6,230097.5,138928.0,126716.3,106808.0,181711.5,170492.0,145820.0,127921.8,130228.0,,,56109.2,,77722.7,85277.8,227195.9,128682.5,100425.0,136175.1,-56226.0,18485.1,-55517.7,-22400.0,-2495.0,,-65272.0,-1106.4,-30030.5,,-52541.0,-44325.4,78684.5,-12485.0,-24696.7,-44605.0,30298.5,19079.0,-5593.0,-23491.2,-21185.0,,,-95303.8,,-73690.3,-66135.2,75782.9,-22730.5,-50988.0,-15237.9,True,True,True,True,,False,True,True,,True,True,False,True,True,True,True,True,True,True,True,,,False,,False,False,False,True,True,True
Rhode Island,20608,15447.0,17099.5,15456.3,16029.0,11925.0,,14215.0,1388004.2,21198.8,,15787.0,16940.9,22906.7,21524.0,9262.7,16693.0,25183.8,16500.0,17148.4,20552.7,11883.0,,14228.0,24628.5,,13003.1,16130.2,26927.5,6049.9,8556.0,13505.7,-5161.0,-3508.5,-5151.7,-4579.0,-8683.0,,-6393.0,1367396.2,590.8,,-4821.0,-3667.1,2298.7,916.0,-11345.3,-3915.0,4575.8,-4108.0,-3459.6,-55.3,-8725.0,,-6380.0,4020.5,,-7604.9,-4477.8,6319.5,-14558.1,-12052.0,-7102.3,True,True,True,False,,False,False,True,,True,True,True,True,False,True,True,True,True,True,False,,False,True,,False,True,False,False,False,False
South Carolina,35221,27816.0,24638.5,27816.4,29574.0,32956.0,,10472.0,32180.5,45826.8,,28655.0,30379.1,25713.2,40685.0,25100.9,26962.5,21532.7,30352.5,43893.1,37209.7,41177.0,,40774.2,15459.6,,16919.9,30928.6,25630.7,40545.0,30739.0,32538.7,-7405.0,-10582.5,-7404.6,-5647.0,-2265.0,,-24749.0,-3040.5,10605.8,,-6566.0,-4841.9,-9507.8,5464.0,-10120.1,-8258.5,-13688.3,-4868.5,8672.1,1988.7,5956.0,,5553.2,-19761.3,,-18301.1,-4292.4,-9590.3,5324.0,-4482.0,-2682.3,False,True,True,True,,False,True,False,,True,True,False,True,False,False,False,True,False,True,True,,True,False,,False,True,False,True,True,True
South Dakota,21122,30618.0,31150.3,31001.2,32245.0,32608.0,,21880.0,48461.6,31590.0,,29420.0,40090.1,28770.6,45417.0,11199.2,38844.5,41733.4,30277.5,33354.7,37257.4,37487.0,,46515.2,21452.4,,21457.6,36857.5,39346.2,19327.8,0.0,38812.1,9496.0,10028.3,9879.2,11123.0,11486.0,,758.0,27339.6,10468.0,,8298.0,18968.1,7648.6,24295.0,-9922.8,17722.5,20611.4,9155.5,12232.7,16135.4,16365.0,,25393.2,330.4,,335.6,15735.5,18224.2,-1794.2,-21122.0,17690.1,False,False,False,False,,True,False,False,,True,False,True,False,False,False,False,True,False,False,False,,False,True,,True,False,False,True,False,False
Tennessee,92402,80715.0,128908.4,84147.1,88383.0,106245.0,,31120.0,117418.1,98569.5,,82472.0,87680.9,138979.7,114254.0,52436.9,80003.5,119100.7,114430.0,119435.4,100883.0,122720.0,,92949.4,58762.3,,70638.2,74608.7,66360.2,99428.4,59631.0,100855.8,-11687.0,36506.4,-8254.9,-4019.0,13843.0,,-61282.0,25016.1,6167.5,,-9930.0,-4721.1,46577.7,21852.0,-39965.1,-12398.5,26698.7,22028.0,27033.4,8481.0,30318.0,,547.4,-33639.7,,-21763.8,-17793.3,-26041.8,7026.4,-32771.0,8453.8,False,True,True,False,,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,,True,False,,False,False,False,True,False,True
Texas,245785,201504.0,257198.3,201638.8,225700.0,248748.0,,52998.0,256548.3,207009.1,,237882.0,237394.5,403914.9,252171.0,184293.3,200464.5,234986.9,252033.5,252256.2,220448.8,255170.0,,314687.7,120856.7,,121202.7,219427.8,161473.4,191551.6,191537.0,201634.6,-44281.0,11413.3,-44146.2,-20085.0,2963.0,,-192787.0,10763.3,-38775.9,,-7903.0,-8390.5,158129.9,6386.0,-61491.7,-45320.5,-10798.1,6248.5,6471.2,-25336.2,9385.0,,68902.7,-124928.3,,-124582.3,-26357.2,-84311.6,-54233.4,-54248.0,-44150.4,True,True,True,True,,False,True,True,,True,True,False,True,False,False,True,True,True,True,True,,False,False,,False,True,False,False,False,True
Utah,61703,62718.0,70825.4,64129.9,65031.0,51898.0,,14040.0,79594.1,73183.9,,64520.0,74344.5,57465.2,69677.0,42545.6,71320.5,96374.0,77713.0,80983.3,78567.9,80343.0,,90638.4,48099.3,,54576.9,62893.2,91162.9,49070.3,38693.0,53467.8,1015.0,9122.4,2426.9,3328.0,-9805.0,,-47663.0,17891.1,11480.9,,2817.0,12641.5,-4237.8,7974.0,-19157.4,9617.5,34671.0,16010.0,19280.3,16864.9,18640.0,,28935.4,-13603.7,,-7126.1,1190.2,29459.9,-12632.7,-23010.0,-8235.2,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Vermont,2051,1488.0,1158.8,1572.3,1682.0,3431.0,,534.0,1622.7,3409.3,,1607.0,881.7,17914.0,2277.0,1587.3,1512.0,5550.5,4460.0,1830.7,2332.4,1816.0,,4688.0,848.3,,949.4,755.3,9447.8,5403.0,2525.0,1597.0,-563.0,-892.2,-478.7,-369.0,1380.0,,-1517.0,-428.3,1358.3,,-444.0,-1169.3,15863.0,226.0,-463.7,-539.0,3499.5,2409.0,-220.3,281.4,-235.0,,2637.0,-1202.7,,-1101.6,-1295.7,7396.8,3352.0,474.0,-454.0,False,True,True,False,,False,True,False,,True,False,False,True,True,True,False,False,True,True,True,,False,False,,False,False,False,False,True,True
Virginia,50374,29778.0,75555.5,29365.4,32286.0,31940.0,,18684.0,48803.8,37928.2,,31298.0,35317.7,41833.5,47383.0,39337.2,32955.0,35776.1,31776.5,31012.6,38049.4,36134.0,,32410.4,12826.2,,23003.5,39353.7,27631.7,23335.0,33242.0,36742.0,-20596.0,25181.5,-21008.6,-18088.0,-18434.0,,-31690.0,-1570.2,-12445.8,,-19076.0,-15056.3,-8540.5,-2991.0,-11036.8,-17419.0,-14597.9,-18597.5,-19361.4,-12324.6,-14240.0,,-17963.6,-37547.8,,-27370.5,-11020.3,-22742.3,-27039.0,-17132.0,-13632.0,False,False,True,True,,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,False,False,True,True
Washington,48062,35160.0,58084.7,35068.7,45498.0,52927.0,,9638.0,42653.4,64768.2,,35569.0,33151.2,70219.3,49428.0,48037.5,39149.0,97308.0,64180.0,55715.7,53129.3,54556.0,,55422.8,22934.5,,26560.7,33538.3,48961.9,77187.1,43199.0,60800.6,-12902.0,10022.7,-12993.3,-2564.0,4865.0,,-38424.0,-5408.6,16706.2,,-12493.0,-14910.8,22157.3,1366.0,-24.5,-8913.0,49246.0,16118.0,7653.7,5067.3,6494.0,,7360.8,-25127.5,,-21501.3,-14523.7,899.9,29125.1,-4863.0,12738.6,True,False,True,True,,False,True,False,,True,False,False,True,True,True,False,False,True,True,True,,True,False,,False,False,True,False,True,True
West Virginia,20780,15549.0,22727.4,15600.3,18909.0,24448.0,,7691.0,18767.7,22654.1,,13950.0,16873.2,36977.2,21790.0,12463.3,17032.0,19190.2,20746.0,23828.7,20921.7,22060.0,,26006.0,9704.1,,9646.9,13518.9,28483.6,27505.4,11478.0,20580.3,-5231.0,1947.4,-5179.7,-1871.0,3668.0,,-13089.0,-2012.3,1874.1,,-6830.0,-3906.8,16197.2,1010.0,-8316.7,-3748.0,-1589.8,-34.0,3048.7,141.7,1280.0,,5226.0,-11075.9,,-11133.1,-7261.1,7703.6,6725.4,-9302.0,-199.7,True,True,True,True,,False,True,True,,False,True,False,True,False,True,True,True,True,True,True,,True,False,,False,False,False,False,False,True
Wisconsin,114314,138303.0,78845.2,139353.7,164475.0,145174.0,,58714.0,235389.6,138796.8,,168503.0,184096.0,163555.3,196299.0,80883.2,175503.5,181246.0,175636.0,174218.3,155653.3,183119.0,,193117.9,142671.3,,157863.7,176375.8,160205.9,85991.2,53938.0,209386.7,23989.0,-35468.8,25039.7,50161.0,30860.0,,-55600.0,121075.6,24482.8,,54189.0,69782.0,49241.3,81985.0,-33430.8,61189.5,66932.0,61322.0,59904.3,41339.3,68805.0,,78803.9,28357.3,,43549.7,62061.8,45891.9,-28322.8,-60376.0,95072.7,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Wyoming,13985,15852.0,20235.1,16064.3,17361.0,14220.0,,10593.0,21548.0,17921.3,,17222.0,16019.6,35474.4,23156.0,8024.1,19767.0,24041.5,23102.0,16993.4,19620.8,20007.0,,22544.4,18957.4,,16477.7,14589.7,26185.9,9062.4,9645.0,22621.4,1867.0,6250.1,2079.3,3376.0,235.0,,-3392.0,7563.0,3936.3,,3237.0,2034.6,21489.4,9171.0,-5960.9,5782.0,10056.5,9117.0,3008.4,5635.8,6022.0,,8559.4,4972.4,,2492.7,604.7,12200.9,-4922.6,-4340.0,8636.4,False,False,False,True,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,False
US,3663777,3053430.0,4134170.3,3076591.1,3806969.0,3681151.0,6271529.0,2529023.0,7192247.6,,3459128.0,3142454.0,3419587.6,5113339.9,4146178.0,2705741.5,,4750151.4,4833895.5,4237097.9,3912114.0,4124654.0,3782024.5,5285029.0,2284729.1,2757200.0,3617562.0,,5137335.3,3248367.9,2787511.0,4219455.7,-610347.0,470393.3,-587185.9,143192.0,17374.0,2607752.0,-1134754.0,3528470.6,,-204649.0,-521323.0,-244189.4,1449562.9,482401.0,-958035.5,,1086374.4,1170118.5,573320.9,248337.0,460877.0,118247.5,1621252.0,-1379047.9,-906577.0,-46215.0,,1473558.3,-415409.1,-876266.0,555678.7,True,True,True,True,False,False,False,,True,True,True,False,True,False,,False,False,True,True,True,True,False,False,False,True,,False,True,False,True
