,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
North Dakota,29300,37152.0,51313.5,37664.5,42286.0,31320.0,,33651.5,36788.0,64657.2,29294.2,,36070.0,29084.2,73957.2,45002.0,54808.0,58074.3,48439.5,48084.6,31929.8,,53037.1,29154.0,29671.5,39789.0,66395.1,33106.0,48489.4,7852.0,22013.5,8364.5,12986.0,2020.0,,4351.5,7488.0,35357.2,-5.8,,6770.0,-215.8,44657.2,15702.0,25508.0,28774.3,19139.5,18784.6,2629.8,,23737.1,-146.0,371.5,10489.0,37095.1,3806.0,19189.4,False,False,False,True,,True,True,False,True,,True,True,False,False,False,False,False,False,True,,False,True,True,False,False,True,False
Ohio,221705,120120.0,224742.2,120729.0,138373.0,209555.0,,105156.6,40785.0,193882.4,159152.0,,123411.0,109279.2,125519.9,145449.0,153127.0,249380.3,216846.5,191295.5,119267.8,,175487.2,33999.5,62701.3,104331.1,335538.5,113228.0,143789.3,-101585.0,3037.2,-100976.0,-83332.0,-12150.0,,-116548.4,-180920.0,-27822.6,-62553.0,,-98294.0,-112425.8,-96185.1,-76256.0,-68578.0,27675.3,-4858.5,-30409.5,-102437.2,,-46217.8,-187705.5,-159003.7,-117373.9,113833.5,-108477.0,-77915.7,True,True,True,True,,False,False,True,True,,True,False,True,True,True,True,True,True,False,,True,False,False,False,False,False,True
Oklahoma,81494,35956.0,46302.3,38430.5,42274.0,40757.0,,34537.0,27944.0,89116.7,38546.7,,46277.0,42963.9,49504.3,44631.0,47662.0,40998.4,49625.5,69543.7,50490.6,,32245.9,32385.0,24638.8,40164.8,34840.9,28303.0,46370.1,-45538.0,-35191.7,-43063.5,-39220.0,-40737.0,,-46957.0,-53550.0,7622.7,-42947.3,,-35217.0,-38530.1,-31989.7,-36863.0,-33832.0,-40495.6,-31868.5,-11950.3,-31003.4,,-49248.1,-49109.0,-56855.2,-41329.2,-46653.1,-53191.0,-35123.9,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,True,True,True,,False,False,False,True,False,False,True
Oregon,33656,18664.0,27631.6,18314.3,21381.0,30675.0,,18070.0,8112.0,26709.4,25043.6,,17937.0,16030.2,25875.7,22208.0,19190.0,19659.3,26838.5,33484.0,26441.5,,53904.0,17383.5,10078.8,17122.6,22579.9,23070.0,26126.6,-14992.0,-6024.4,-15341.7,-12275.0,-2981.0,,-15586.0,-25544.0,-6946.6,-8612.4,,-15719.0,-17625.8,-7780.3,-11448.0,-14466.0,-13996.7,-6817.5,-172.0,-7214.5,,20248.0,-16272.5,-23577.2,-16533.4,-11076.1,-10586.0,-7529.4,True,False,True,True,,False,False,True,True,,False,False,True,True,True,True,True,True,True,,False,False,False,False,True,True,True
Pennsylvania,183142,78808.0,110752.3,77733.2,90092.0,121596.0,,76385.4,45616.0,166832.2,95308.7,,76709.0,77738.8,84296.2,94196.0,92045.0,122594.2,124010.5,114139.9,86305.3,,109715.5,46975.7,64895.6,82590.8,150568.6,77460.0,114651.4,-104334.0,-72389.7,-105408.8,-93050.0,-61546.0,,-106756.6,-137526.0,-16309.8,-87833.3,,-106433.0,-105403.2,-98845.8,-88946.0,-91097.0,-60547.8,-59131.5,-69002.1,-96836.7,,-73426.5,-136166.3,-118246.4,-100551.2,-32573.4,-105682.0,-68490.6,True,False,True,True,,False,False,True,True,,False,False,True,True,True,True,True,True,True,,True,False,False,True,True,False,True
Rhode Island,25757,14024.0,12754.9,14240.1,14739.0,10828.0,,14646.1,11476.0,37603.3,16979.7,,15728.0,16320.5,11929.0,16864.0,16220.0,29003.3,24131.0,16757.5,20328.7,,14729.9,29849.3,8840.4,17181.4,12630.6,7612.0,21847.9,-11733.0,-13002.1,-11516.9,-11018.0,-14929.0,,-11110.9,-14281.0,11846.3,-8777.3,,-10029.0,-9436.5,-13828.0,-8893.0,-9537.0,3246.3,-1626.0,-8999.5,-5428.3,,-11027.1,4092.3,-16916.6,-8575.6,-13126.4,-18145.0,-3909.1,False,True,True,False,,True,False,False,True,,True,True,False,True,True,True,True,True,True,,True,True,False,True,False,False,True
South Carolina,44493,32520.0,14774.0,32723.4,32364.0,38317.0,,29328.1,12738.0,45948.2,49785.2,,32135.0,31476.2,30254.1,35818.0,31836.5,26661.3,29933.0,41225.5,38230.5,,45551.6,21337.5,17167.2,33532.6,32098.9,27931.0,42422.0,-11973.0,-29719.0,-11769.6,-12129.0,-6176.0,,-15164.9,-31755.0,1455.2,5292.2,,-12358.0,-13016.8,-14238.9,-8675.0,-12656.5,-17831.7,-14560.0,-3267.5,-6262.5,,1058.6,-23155.5,-27325.8,-10960.4,-12394.1,-16562.0,-2071.0,False,True,False,True,,False,False,True,True,,False,False,False,True,False,False,False,True,True,,True,False,False,True,False,False,True
South Dakota,31328,31936.0,48210.2,31266.0,37979.0,29465.0,,31848.6,25300.0,61235.1,20454.0,,39157.0,31257.6,56937.0,38126.0,48039.0,54855.5,35198.5,40493.2,35013.8,,39512.4,29101.4,21881.8,44968.5,58284.4,4044.0,38712.3,608.0,16882.2,-62.0,6651.0,-1863.0,,520.6,-6028.0,29907.1,-10874.0,,7829.0,-70.4,25609.0,6798.0,16711.0,23527.5,3870.5,9165.2,3685.8,,8184.4,-2226.6,-9446.2,13640.5,26956.4,-27284.0,7384.3,False,True,False,False,,True,False,False,False,,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False
Tennessee,119307,70172.0,46992.1,68874.8,74976.0,80691.0,,61601.8,36554.0,161283.0,88383.5,,84139.0,87816.5,74123.5,75224.0,74284.0,104604.1,76859.5,104678.8,79294.9,,82400.4,17331.8,65489.2,94357.4,66971.1,45502.0,107261.1,-49135.0,-72314.9,-50432.2,-44331.0,-38616.0,,-57705.2,-82753.0,41976.0,-30923.5,,-35168.0,-31490.5,-45183.5,-44083.0,-45023.0,-14702.9,-42447.5,-14628.2,-40012.1,,-36906.6,-101975.2,-53817.8,-24949.6,-52335.9,-73805.0,-12045.9,False,False,True,True,,False,False,True,True,,True,True,True,True,True,True,True,True,True,,True,False,False,True,False,False,True
Texas,342357,211200.0,312936.9,209971.2,230241.0,346615.0,,202736.7,65065.0,338088.0,264827.6,,214177.0,201995.9,298622.8,247541.0,210174.5,281617.8,249199.0,255376.2,165025.2,,267351.9,161302.7,114943.2,223495.6,204650.4,224173.0,170774.9,-131157.0,-29420.1,-132385.8,-112116.0,4258.0,,-139620.3,-277292.0,-4269.0,-77529.4,,-128180.0,-140361.1,-43734.2,-94816.0,-132182.5,-60739.2,-93158.0,-86980.8,-177331.8,,-75005.1,-181054.3,-227413.8,-118861.4,-137706.6,-118184.0,-171582.1,True,False,True,True,,False,False,True,True,,True,False,True,True,False,True,True,True,False,,True,False,False,True,False,True,False
Utah,82609,62316.0,88112.3,61231.7,69360.0,76085.0,,54780.4,13992.0,112304.7,59033.4,,67225.0,56639.9,41444.4,73013.0,69758.5,102309.8,92141.0,92320.4,57771.4,,93339.0,62451.2,65818.5,63905.0,117000.0,42462.0,87598.1,-20293.0,5503.3,-21377.3,-13249.0,-6524.0,,-27828.6,-68617.0,29695.7,-23575.6,,-15384.0,-25969.1,-41164.6,-9596.0,-12850.5,19700.8,9532.0,9711.4,-24837.6,,10730.0,-20157.8,-16790.5,-18704.0,34391.0,-40147.0,4989.1,True,False,True,True,,False,False,False,False,,True,False,False,True,True,True,True,True,False,,True,True,True,True,False,False,True
Vermont,2547,672.0,19520.5,655.3,845.0,1297.0,,56.6,470.0,1378.6,1748.1,,640.0,691.3,3696.1,984.0,804.0,1370.4,1121.5,1175.8,3633.9,,1119.1,1034.3,546.4,821.7,349.3,828.0,908.3,-1875.0,16973.5,-1891.7,-1702.0,-1250.0,,-2490.4,-2077.0,-1168.4,-798.9,,-1907.0,-1855.7,1149.1,-1563.0,-1743.0,-1176.6,-1425.5,-1371.2,1086.9,,-1427.9,-1512.7,-2000.6,-1725.3,-2197.7,-1719.0,-1638.7,False,False,True,True,,False,False,True,True,,False,True,True,True,True,True,True,True,True,,True,True,False,True,False,True,True
Virginia,60300,38732.0,8916.7,37822.0,41459.0,50502.0,,38506.8,17928.0,63788.1,48059.3,,33464.0,39690.1,55497.4,45335.0,41223.5,44087.5,47776.0,57096.7,49049.1,,48932.1,17636.0,28296.8,40922.7,32579.6,42164.0,54137.9,-21568.0,-51383.3,-22478.0,-18841.0,-9798.0,,-21793.2,-42372.0,3488.1,-12240.7,,-26836.0,-20609.9,-4802.6,-14965.0,-19076.5,-16212.5,-12524.0,-3203.3,-11250.9,,-11367.9,-42664.0,-32003.2,-19377.3,-27720.4,-18136.0,-6162.1,False,False,True,True,,False,False,True,True,,False,True,True,True,True,True,True,True,True,,True,False,False,True,False,True,True
Washington,62860,34040.0,44200.0,33363.8,37747.0,75960.0,,39490.3,11590.0,57789.5,41206.6,,29042.0,23353.2,32875.4,40404.0,35660.0,34803.6,42415.0,55001.2,40733.6,,50783.0,29479.0,27596.5,28591.9,30871.4,45411.0,46371.5,-28820.0,-18660.0,-29496.2,-25113.0,13100.0,,-23369.7,-51270.0,-5070.5,-21653.4,,-33818.0,-39506.8,-29984.6,-22456.0,-27200.0,-28056.4,-20445.0,-7858.8,-22126.4,,-12077.0,-33381.0,-35263.5,-34268.1,-31988.6,-17449.0,-16488.5,True,False,True,True,,True,False,True,True,,False,False,False,True,True,True,True,True,True,,True,False,False,False,False,True,True
West Virginia,25963,12596.0,21203.5,12608.4,15089.0,20650.0,,12515.3,9174.0,23677.0,17891.3,,13975.0,14093.9,36456.4,14234.0,16616.0,20621.2,21421.0,23152.7,,,13071.3,12427.6,6796.9,13942.2,17242.4,9269.0,21077.0,-13367.0,-4759.5,-13354.6,-10874.0,-5313.0,,-13447.7,-16789.0,-2286.0,-8071.7,,-11988.0,-11869.1,10493.4,-11729.0,-9347.0,-5341.8,-4542.0,-2810.3,,,-12891.7,-13535.4,-19166.1,-12020.8,-8720.6,-16694.0,-4886.0,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,True,True,,,True,False,False,True,True,False,True
Wisconsin,160415,151044.0,159502.0,149420.5,168163.0,167143.0,,137945.7,62353.0,384132.3,150620.4,,163954.0,171323.3,257018.7,184150.0,202644.0,187331.4,152627.5,199958.3,,,233570.0,189423.2,194322.7,175783.2,231753.8,88009.0,154725.8,-9371.0,-913.0,-10994.5,7748.0,6728.0,,-22469.3,-98062.0,223717.3,-9794.6,,3539.0,10908.3,96603.7,23735.0,42229.0,26916.4,-7787.5,39543.3,,,73155.0,29008.2,33907.7,15368.2,71338.8,-72406.0,-5689.2,True,False,True,True,,False,False,False,False,,True,False,False,False,False,False,True,False,,,False,False,False,False,False,False,True
Wyoming,19344,13196.0,10735.3,13221.5,15556.0,11848.0,,12066.7,10414.0,26882.0,17621.0,,13715.0,13141.4,32707.7,16476.0,16367.0,24142.9,22834.5,18967.1,,,22610.6,23336.2,15505.2,14802.9,28650.2,7179.0,19305.1,-6148.0,-8608.7,-6122.5,-3788.0,-7496.0,,-7277.3,-8930.0,7538.0,-1723.0,,-5629.0,-6202.6,13363.7,-2868.0,-2977.0,4798.9,3490.5,-376.9,,,3266.6,3992.2,-3838.8,-4541.1,9306.2,-12165.0,-38.9,False,True,True,False,,False,False,False,True,,True,False,False,True,True,True,True,True,,,True,True,True,True,False,False,True
US,4716967,2908616.0,3898318.5,2959013.2,3809965.0,4311487.0,5861018.0,3662461.6,2340302.0,5480509.6,,3263123.0,2518207.0,2774553.8,3454025.3,3321147.0,,4695464.9,4882421.0,4223575.9,2790099.1,3358860.0,5709558.1,2245406.9,3686237.6,,5418313.1,2639248.5,3564990.0,-1808351.0,-818648.5,-1757953.8,-907002.0,-405480.0,1144051.0,-1054505.4,-2376665.0,763542.6,,-1453844.0,-2198760.0,-1942413.2,-1262941.7,-1395820.0,,-21502.1,165454.0,-493391.1,-1926867.9,-1358107.0,992591.1,-2471560.1,-1030729.4,,701346.1,-2077718.5,-1151977.0,True,True,True,True,True,True,False,True,,True,False,False,True,True,,True,True,True,False,True,True,False,True,,True,False,True
